Entity,Year,Deaths in state-based conflict,Deaths in non-state conflict,Deaths in one-sided violence,Deaths in all types of conflict,"Deaths in state-based conflict per 100,000","Deaths in non-state conflict per 100,000","Deaths in one-sided violence per 100,000","Deaths in all types of conflict per 100,000"
Americas,1994,1587,168,596,2351,NA,NA,NA,NA
Americas,1995,1131,65,280,1476,NA,NA,NA,NA
Americas,1996,1347,14,263,1624,NA,NA,NA,NA
Americas,1997,681,128,326,1135,NA,NA,NA,NA
Americas,1998,971,231,537,1739,NA,NA,NA,NA
Americas,1999,1450,222,626,2298,NA,NA,NA,NA
Americas,2000,1116,436,810,2362,NA,NA,NA,NA
Americas,2001,2133,922,4769,7824,NA,NA,NA,NA
Americas,2002,2280,691,601,3572,NA,NA,NA,NA
Americas,2003,743,208,393,1344,NA,NA,NA,NA
Americas,2004,1444,568,371,2383,NA,NA,NA,NA
Americas,2005,1403,493,215,2111,NA,NA,NA,NA
Americas,2006,516,696,100,1312,NA,NA,NA,NA
Americas,2007,363,1974,47,2384,NA,NA,NA,NA
Americas,2008,284,2051,75,2410,NA,NA,NA,NA
Americas,2009,438,2301,38,2777,NA,NA,NA,NA
Americas,2010,447,3314,112,3873,NA,NA,NA,NA
Americas,2011,214,2523,357,3094,NA,NA,NA,NA
Americas,2012,211,1715,29,1955,NA,NA,NA,NA
Americas,2013,143,759,21,923,NA,NA,NA,NA
Americas,2014,147,1631,60,1838,NA,NA,NA,NA
Americas,2015,148,1675,32,1855,NA,NA,NA,NA
Americas,2016,45,1340,6,1391,NA,NA,NA,NA
Americas,2017,27,4266,41,4334,NA,NA,NA,NA
Americas,2018,148,11142,171,11461,NA,NA,NA,NA
Americas,2019,143,13288,43,13474,NA,NA,NA,NA
Americas,2020,51,18587,211,18849,NA,NA,NA,NA
Asia,1989,9779,1214,3427,14420,NA,NA,NA,NA
Asia,1990,10092,2519,2037,14648,NA,NA,NA,NA
Asia,1991,15532,760,1494,17786,NA,NA,NA,NA
Asia,1992,17113,1041,1495,19649,NA,NA,NA,NA
Asia,1993,9474,555,641,10670,NA,NA,NA,NA
Asia,1994,12702,323,447,13472,NA,NA,NA,NA
Asia,1995,12815,1310,567,14692,NA,NA,NA,NA
Asia,1996,12108,635,1042,13785,NA,NA,NA,NA
Asia,1997,11544,653,1182,13379,NA,NA,NA,NA
Asia,1998,12316,440,7072,19828,NA,NA,NA,NA
Asia,1999,9310,796,2347,12453,NA,NA,NA,NA
Asia,2000,13660,781,2109,16550,NA,NA,NA,NA
Asia,2001,9166,746,1302,11214,NA,NA,NA,NA
Asia,2002,8387,354,2155,10896,NA,NA,NA,NA
Asia,2003,5815,345,1522,7682,NA,NA,NA,NA
Asia,2004,5946,167,1571,7684,NA,NA,NA,NA
Asia,2005,5479,178,1514,7171,NA,NA,NA,NA
Asia,2006,9986,278,1662,11926,NA,NA,NA,NA
Asia,2007,12337,704,1382,14423,NA,NA,NA,NA
Asia,2008,19235,851,1599,21685,NA,NA,NA,NA
Asia,2009,25828,668,1270,27766,NA,NA,NA,NA
Asia,2010,14688,554,1690,16932,NA,NA,NA,NA
Asia,2011,12058,418,908,13384,NA,NA,NA,NA
Asia,2012,12353,585,815,13753,NA,NA,NA,NA
Asia,2013,11439,407,1197,13043,NA,NA,NA,NA
Asia,2014,16721,176,860,17757,NA,NA,NA,NA
Asia,2015,21287,596,612,22495,NA,NA,NA,NA
Asia,2016,20212,376,921,21509,NA,NA,NA,NA
Asia,2017,22642,433,2713,25788,NA,NA,NA,NA
Asia,2018,27386,657,964,29007,NA,NA,NA,NA
Asia,2019,31761,141,872,32774,NA,NA,NA,NA
Asia,2020,22089,50,505,22644,NA,NA,NA,NA
Europe,1989,304,139,226,669,NA,NA,NA,NA
Europe,1990,255,201,6,462,NA,NA,NA,NA
Europe,1991,3399,359,46,3804,NA,NA,NA,NA
Europe,1992,21326,1340,5251,27917,NA,NA,NA,NA
Europe,1993,8967,NA,651,9618,NA,NA,NA,NA
Europe,1994,4593,244,331,5168,NA,NA,NA,NA
Europe,1995,4000,NA,8763,12763,NA,NA,NA,NA
Europe,1996,2734,NA,43,2777,NA,NA,NA,NA
Europe,1997,62,26,6,94,NA,NA,NA,NA
Europe,1998,1312,38,213,1563,NA,NA,NA,NA
Europe,1999,7276,NA,1124,8400,NA,NA,NA,NA
Europe,2000,2943,NA,1427,4370,NA,NA,NA,NA
Europe,2001,882,NA,202,1084,NA,NA,NA,NA
Europe,2002,1294,NA,223,1517,NA,NA,NA,NA
Europe,2003,483,NA,60,543,NA,NA,NA,NA
Europe,2004,1186,NA,358,1544,NA,NA,NA,NA
Europe,2005,707,NA,59,766,NA,NA,NA,NA
Europe,2006,266,NA,1,267,NA,NA,NA,NA
Europe,2007,190,NA,6,196,NA,NA,NA,NA
Europe,2008,1057,NA,6,1063,NA,NA,NA,NA
Europe,2009,708,NA,1,709,NA,NA,NA,NA
Europe,2010,441,NA,63,504,NA,NA,NA,NA
Europe,2011,379,NA,40,419,NA,NA,NA,NA
Europe,2012,541,NA,13,554,NA,NA,NA,NA
Europe,2013,333,NA,44,377,NA,NA,NA,NA
Europe,2014,4598,45,2,4645,NA,NA,NA,NA
Europe,2015,1473,NA,139,1612,NA,NA,NA,NA
Europe,2016,472,NA,132,604,NA,NA,NA,NA
Europe,2017,500,NA,21,521,NA,NA,NA,NA
Europe,2018,299,NA,16,315,NA,NA,NA,NA
Europe,2019,273,NA,2,275,NA,NA,NA,NA
Europe,2020,7860,NA,7,7867,NA,NA,NA,NA
Middle East,1989,1070,317,154,1541,NA,NA,NA,NA
Middle East,1990,2219,1138,382,3739,NA,NA,NA,NA
Middle East,1991,23734,25,1826,25585,NA,NA,NA,NA
Middle East,1992,2069,377,388,2834,NA,NA,NA,NA
Middle East,1993,2699,151,559,3409,NA,NA,NA,NA
Middle East,1994,5826,756,324,6906,NA,NA,NA,NA
Middle East,1995,4052,710,257,5019,NA,NA,NA,NA
Middle East,1996,4155,149,349,4653,NA,NA,NA,NA
Middle East,1997,4480,344,120,4944,NA,NA,NA,NA
Middle East,1998,2055,34,69,2158,NA,NA,NA,NA
Middle East,1999,1469,31,63,1563,NA,NA,NA,NA
Middle East,2000,343,164,17,524,NA,NA,NA,NA
Middle East,2001,512,20,102,634,NA,NA,NA,NA
Middle East,2002,679,87,261,1027,NA,NA,NA,NA
Middle East,2003,8337,72,202,8611,NA,NA,NA,NA
Middle East,2004,4782,155,310,5247,NA,NA,NA,NA
Middle East,2005,3183,1,1183,4367,NA,NA,NA,NA
Middle East,2006,5352,40,896,6288,NA,NA,NA,NA
Middle East,2007,3044,383,2148,5575,NA,NA,NA,NA
Middle East,2008,3481,58,538,4077,NA,NA,NA,NA
Middle East,2009,2109,29,719,2857,NA,NA,NA,NA
Middle East,2010,1662,26,753,2441,NA,NA,NA,NA
Middle East,2011,4101,64,3587,7752,NA,NA,NA,NA
Middle East,2012,54538,252,3701,58491,NA,NA,NA,NA
Middle East,2013,73860,1383,5352,80595,NA,NA,NA,NA
Middle East,2014,81304,10738,4898,96940,NA,NA,NA,NA
Middle East,2015,69466,7019,3117,79602,NA,NA,NA,NA
Middle East,2016,56996,8559,3465,69020,NA,NA,NA,NA
Middle East,2017,35470,12009,2296,49775,NA,NA,NA,NA
Middle East,2018,20424,8100,985,29509,NA,NA,NA,NA
Middle East,2019,10872,3761,314,14947,NA,NA,NA,NA
Middle East,2020,8860,1020,224,10104,NA,NA,NA,NA
World,1989,54414,4206,8071,66691,1.03894240529639,0.0803063872657151,0.154101961869136,1.27335075443124
World,1990,80023,5287,10001,95311,1.50206594517625,0.0992392518669234,0.187723048594874,1.78902824563804
World,1991,70364,3974,9802,84140,1.29959806422478,0.0733983671654438,0.181039455197705,1.55403588658793
World,1992,50160,10263,12183,72606,0.912179136890067,0.186636652350533,0.221552600174077,1.32036838941468
World,1993,37147,10815,7924,55886,0.665526300688911,0.193761728859681,0.14196652237486,1.00125455192345
World,1994,33681,5281,540909,579871,0.594739631943515,0.0932519817194769,9.55137969700825,10.2393713106712
World,1995,28731,4506,20102,53339,0.500172962860583,0.0784441672983811,0.349952208395929,0.928569338554894
World,1996,28063,4255,39262,71580,0.481777178902155,0.0730485655927261,0.674038256710132,1.22886400120501
World,1997,39928,3563,18069,61560,0.676167508040942,0.0603382295920125,0.305992554167296,1.04249829180025
World,1998,39996,3612,17668,61276,0.668293670907112,0.06035295377829,0.295214835923263,1.02386146060867
World,1999,80739,5540,12468,98747,1.33139540840296,0.0913552380206886,0.205598755892048,1.62834940231569
World,2000,77771,6703,7192,91666,1.26585005929694,0.109102273951311,0.117061547703689,1.49201388095194
World,2001,23301,5221,8687,37209,0.374438820303514,0.0838996215100059,0.139597014376062,0.597935456189582
World,2002,19907,6272,12752,38931,0.315880728191034,0.099522978209382,0.202346463349177,0.617750169749594
World,2003,21831,3590,11227,36648,0.342099470092418,0.0562565662421227,0.175931049916521,0.574287086251062
World,2004,19392,4266,10667,34325,0.300118178357817,0.0660222849048292,0.165086665044494,0.53122712830714
World,2005,12392,2342,5067,19801,0.189416249948242,0.0357983261280489,0.0774509472633749,0.302665523339666
World,2006,19841,3270,4448,27559,0.299540171596535,0.0493672879955985,0.0671515892979885,0.416059048890122
World,2007,19390,4395,4853,28638,0.289133217783999,0.0655358686003443,0.0723653174783779,0.427034403862721
World,2008,28771,4595,4268,37634,0.423763739656632,0.0676790651601343,0.0628627312521117,0.554305536068878
World,2009,34733,6261,5803,46797,0.505348563922441,0.0910945601796103,0.0844308788887204,0.680874002990772
World,2010,21268,6083,3555,30906,0.305700439811674,0.0874353853382741,0.0510986018210693,0.444234426971018
World,2011,25216,6799,6807,38822,0.35810503461267,0.0965560013614984,0.0966696133648654,0.551330649339034
World,2012,74276,5174,6463,85913,1.0423027228135,0.07260587925894,0.0906942013240296,1.20560280339647
World,2013,93011,5723,11653,110387,1.28986670145071,0.0793659581383107,0.1616025703627,1.53083522995172
World,2014,112983,17647,14915,145545,1.54864358012688,0.241885179704018,0.204438003926187,1.99496676375708
World,2015,102666,13033,10514,126213,1.39111599311083,0.176596095476724,0.142463849293507,1.71017593788106
World,2016,87759,13521,7932,109212,1.17570944308507,0.181141163640804,0.106265195621541,1.46311580234742
World,2017,68228,21717,9126,99071,0.903899702948747,0.287711641099518,0.120903275621596,1.31251461966986
World,2018,55211,25633,5163,86007,0.723500731470103,0.335902161702797,0.0676574283490634,1.12706032152196
World,2019,51506,20430,5320,77256,0.667741133359022,0.264861401672132,0.0689702719968547,1.00157280702801
World,2020,49562,23554,8023,81139,0.635834249844597,0.302175858941117,0.102927609590073,1.04093771837579
