Entity,Year,Price for Light – Fouquet and Pearson (2012)
Price for Lightning,1500,14472.14
Price for Lightning,1501,14604.11
Price for Lightning,1502,14732.25
Price for Lightning,1503,14928.21
Price for Lightning,1504,15468.13
Price for Lightning,1505,15572.46
Price for Lightning,1506,15719.45
Price for Lightning,1507,15754.05
Price for Lightning,1508,15893.33
Price for Lightning,1509,15708.5
Price for Lightning,1510,15193.51
Price for Lightning,1511,14731.5
Price for Lightning,1512,15487.71
Price for Lightning,1513,15376.3
Price for Lightning,1514,15490.54
Price for Lightning,1515,15935.66
Price for Lightning,1516,16194.29
Price for Lightning,1517,14670.01
Price for Lightning,1518,14315.61
Price for Lightning,1519,14035.28
Price for Lightning,1520,13980.37
Price for Lightning,1521,13733.77
Price for Lightning,1522,14226.09
Price for Lightning,1523,14352.9
Price for Lightning,1524,14176.85
Price for Lightning,1525,13440.95
Price for Lightning,1526,12909.53
Price for Lightning,1527,12389.24
Price for Lightning,1528,12168.32
Price for Lightning,1529,12377.05
Price for Lightning,1530,13043.53
Price for Lightning,1531,13543.18
Price for Lightning,1532,14157.68
Price for Lightning,1533,13943.12
Price for Lightning,1534,13677.18
Price for Lightning,1535,13489.65
Price for Lightning,1536,13490.54
Price for Lightning,1537,13187.79
Price for Lightning,1538,13583.7
Price for Lightning,1539,13623.59
Price for Lightning,1540,13378.01
Price for Lightning,1541,12871.9
Price for Lightning,1542,12691.25
Price for Lightning,1543,12325.68
Price for Lightning,1544,12421.54
Price for Lightning,1545,13104.21
Price for Lightning,1546,13834.81
Price for Lightning,1547,13703.7
Price for Lightning,1548,13659.96
Price for Lightning,1549,13300.69
Price for Lightning,1550,13214.93
Price for Lightning,1551,12989.99
Price for Lightning,1552,12981.87
Price for Lightning,1553,12498.86
Price for Lightning,1554,12634.32
Price for Lightning,1555,13183.09
Price for Lightning,1556,14269.15
Price for Lightning,1557,15278.01
Price for Lightning,1558,16458.92
Price for Lightning,1559,17068
Price for Lightning,1560,15784.72
Price for Lightning,1561,14254.1
Price for Lightning,1562,13706.38
Price for Lightning,1563,13533.81
Price for Lightning,1564,13659.66
Price for Lightning,1565,14427.59
Price for Lightning,1566,14967.65
Price for Lightning,1567,15239.72
Price for Lightning,1568,15468.9
Price for Lightning,1569,15341.84
Price for Lightning,1570,15019.66
Price for Lightning,1571,14511.43
Price for Lightning,1572,14449.27
Price for Lightning,1573,14427.93
Price for Lightning,1574,14142.89
Price for Lightning,1575,14411.02
Price for Lightning,1576,15399.28
Price for Lightning,1577,15708.59
Price for Lightning,1578,15761.75
Price for Lightning,1579,16113.84
Price for Lightning,1580,16262.19
Price for Lightning,1581,16226.96
Price for Lightning,1582,16367.25
Price for Lightning,1583,16106.43
Price for Lightning,1584,15310.97
Price for Lightning,1585,15848.02
Price for Lightning,1586,16521.4
Price for Lightning,1587,16419.2
Price for Lightning,1588,16728.25
Price for Lightning,1589,18382.61
Price for Lightning,1590,18336.06
Price for Lightning,1591,17950.33
Price for Lightning,1592,16883.86
Price for Lightning,1593,16164.88
Price for Lightning,1594,14241.01
Price for Lightning,1595,12947.03
Price for Lightning,1596,12505.04
Price for Lightning,1597,13018.99
Price for Lightning,1598,13576.36
Price for Lightning,1599,14790.79
Price for Lightning,1600,15733.67
Price for Lightning,1601,15665.83
Price for Lightning,1602,15965.27
Price for Lightning,1603,15967.58
Price for Lightning,1604,15703.75
Price for Lightning,1605,14906.96
Price for Lightning,1606,14330.5
Price for Lightning,1607,13999.59
Price for Lightning,1608,14162.64
Price for Lightning,1609,13650.35
Price for Lightning,1610,13713.8
Price for Lightning,1611,13718.26
Price for Lightning,1612,13549.88
Price for Lightning,1613,13017.63
Price for Lightning,1614,13158.86
Price for Lightning,1615,13057.79
Price for Lightning,1616,13492.3
Price for Lightning,1617,13915.86
Price for Lightning,1618,14328.92
Price for Lightning,1619,14234.27
Price for Lightning,1620,13944.96
Price for Lightning,1621,13381.05
Price for Lightning,1622,12852.08
Price for Lightning,1623,12202.16
Price for Lightning,1624,12529.88
Price for Lightning,1625,13012.4
Price for Lightning,1626,13432.21
Price for Lightning,1627,13158.55
Price for Lightning,1628,12876.91
Price for Lightning,1629,12537.98
Price for Lightning,1630,12230.51
Price for Lightning,1631,11939.63
Price for Lightning,1632,12375.7
Price for Lightning,1633,12834.06
Price for Lightning,1634,12835.32
Price for Lightning,1635,12694.21
Price for Lightning,1636,12911.74
Price for Lightning,1637,13142.79
Price for Lightning,1638,13149.59
Price for Lightning,1639,13633.09
Price for Lightning,1640,14629.23
Price for Lightning,1641,14604.61
Price for Lightning,1642,14476.25
Price for Lightning,1643,14593.8
Price for Lightning,1644,14414.39
Price for Lightning,1645,13473.2
Price for Lightning,1646,13018.43
Price for Lightning,1647,12379.92
Price for Lightning,1648,12061.91
Price for Lightning,1649,11923.07
Price for Lightning,1650,12752.6
Price for Lightning,1651,13691.83
Price for Lightning,1652,14449.49
Price for Lightning,1653,14502.66
Price for Lightning,1654,14477.73
Price for Lightning,1655,13621.51
Price for Lightning,1656,12758.51
Price for Lightning,1657,12215.53
Price for Lightning,1658,12362.06
Price for Lightning,1659,11860.49
Price for Lightning,1660,12267.09
Price for Lightning,1661,12796.4
Price for Lightning,1662,13250.89
Price for Lightning,1663,13608.11
Price for Lightning,1664,14688.24
Price for Lightning,1665,14992.79
Price for Lightning,1666,14698.18
Price for Lightning,1667,14384.92
Price for Lightning,1668,13998.13
Price for Lightning,1669,13183.85
Price for Lightning,1670,12557.79
Price for Lightning,1671,12190.62
Price for Lightning,1672,11901.82
Price for Lightning,1673,12002.5
Price for Lightning,1674,12408.35
Price for Lightning,1675,12471.16
Price for Lightning,1676,12567.32
Price for Lightning,1677,12810.63
Price for Lightning,1678,12472.83
Price for Lightning,1679,11952.88
Price for Lightning,1680,11723.44
Price for Lightning,1681,11942.98
Price for Lightning,1682,11862.03
Price for Lightning,1683,12206.16
Price for Lightning,1684,12344.3
Price for Lightning,1685,12743.52
Price for Lightning,1686,12980.25
Price for Lightning,1687,13120.17
Price for Lightning,1688,12997.91
Price for Lightning,1689,12773.02
Price for Lightning,1690,12274.47
Price for Lightning,1691,11716.2
Price for Lightning,1692,12058.98
Price for Lightning,1693,11965.08
Price for Lightning,1694,12220.37
Price for Lightning,1695,12463.96
Price for Lightning,1696,12694.49
Price for Lightning,1697,12405.56
Price for Lightning,1698,12879.42
Price for Lightning,1699,13436.22
Price for Lightning,1700,14102.07
Price for Lightning,1701,13894.11
Price for Lightning,1702,13513.44
Price for Lightning,1703,12751.06
Price for Lightning,1704,11912.79
Price for Lightning,1705,11048.47
Price for Lightning,1706,10890.78
Price for Lightning,1707,10540.64
Price for Lightning,1708,10982.99
Price for Lightning,1709,11699.18
Price for Lightning,1710,12571.37
Price for Lightning,1711,13369.31
Price for Lightning,1712,14537.88
Price for Lightning,1713,14727.77
Price for Lightning,1714,14647.51
Price for Lightning,1715,14656.71
Price for Lightning,1716,14967.99
Price for Lightning,1717,14890.18
Price for Lightning,1718,14951.93
Price for Lightning,1719,14993.15
Price for Lightning,1720,14639.31
Price for Lightning,1721,13983.83
Price for Lightning,1722,13417.53
Price for Lightning,1723,12933
Price for Lightning,1724,12698.54
Price for Lightning,1725,12692.84
Price for Lightning,1726,12936.38
Price for Lightning,1727,13594.05
Price for Lightning,1728,14295.95
Price for Lightning,1729,14834.09
Price for Lightning,1730,15322.61
Price for Lightning,1731,15249.01
Price for Lightning,1732,14399.13
Price for Lightning,1733,13321.3
Price for Lightning,1734,12315.29
Price for Lightning,1735,11532.37
Price for Lightning,1736,11235.69
Price for Lightning,1737,11472.18
Price for Lightning,1738,12084.7
Price for Lightning,1739,13219.14
Price for Lightning,1740,14208.33
Price for Lightning,1741,15103.55
Price for Lightning,1742,15810.04
Price for Lightning,1743,16166.73
Price for Lightning,1744,15793.74
Price for Lightning,1745,15431.3
Price for Lightning,1746,15165.72
Price for Lightning,1747,14981.9
Price for Lightning,1748,14883.5
Price for Lightning,1749,14301.09
Price for Lightning,1750,13732.18
Price for Lightning,1751,13513.49
Price for Lightning,1752,13696.36
Price for Lightning,1753,13775.92
Price for Lightning,1754,13817.2
Price for Lightning,1755,13967.28
Price for Lightning,1756,13940.6
Price for Lightning,1757,13742.3
Price for Lightning,1758,13784.99
Price for Lightning,1759,14588.59
Price for Lightning,1760,14930.11
Price for Lightning,1761,14936.35
Price for Lightning,1762,14495.01
Price for Lightning,1763,13909.83
Price for Lightning,1764,13313.55
Price for Lightning,1765,12835.33
Price for Lightning,1766,12563.69
Price for Lightning,1767,12755.52
Price for Lightning,1768,13050.38
Price for Lightning,1769,13094.82
Price for Lightning,1770,13130.6
Price for Lightning,1771,12943.73
Price for Lightning,1772,12512.01
Price for Lightning,1773,12127.23
Price for Lightning,1774,11982.43
Price for Lightning,1775,11836.82
Price for Lightning,1776,11912.13
Price for Lightning,1777,12189.76
Price for Lightning,1778,12543.08
Price for Lightning,1779,12510.31
Price for Lightning,1780,12530.8
Price for Lightning,1781,12534.79
Price for Lightning,1782,12394.45
Price for Lightning,1783,12292.69
Price for Lightning,1784,12573.23
Price for Lightning,1785,12804.83
Price for Lightning,1786,12936.49
Price for Lightning,1787,12874.87
Price for Lightning,1788,12478.96
Price for Lightning,1789,11936.99
Price for Lightning,1790,11620.64
Price for Lightning,1791,11231.2
Price for Lightning,1792,11182.85
Price for Lightning,1793,11076.46
Price for Lightning,1794,10783.55
Price for Lightning,1795,10658.71
Price for Lightning,1796,10709.87
Price for Lightning,1797,10414.37
Price for Lightning,1798,9916.1
Price for Lightning,1799,9588.92
Price for Lightning,1800,9539.93
Price for Lightning,1801,9476.27
Price for Lightning,1802,9355.62
Price for Lightning,1803,9386.32
Price for Lightning,1804,9452.98
Price for Lightning,1805,9380.13
Price for Lightning,1806,9732.83
Price for Lightning,1807,9616.13
Price for Lightning,1808,9639.57
Price for Lightning,1809,9776.77
Price for Lightning,1810,9448.72
Price for Lightning,1811,8645.94
Price for Lightning,1812,8393.04
Price for Lightning,1813,8132.55
Price for Lightning,1814,7607.97
Price for Lightning,1815,7455.07
Price for Lightning,1816,7065.72
Price for Lightning,1817,6677.83
Price for Lightning,1818,6312.53
Price for Lightning,1819,5969.65
Price for Lightning,1820,5392.22
Price for Lightning,1821,4888.56
Price for Lightning,1822,4480.78
Price for Lightning,1823,4169.63
Price for Lightning,1824,3980.72
Price for Lightning,1825,3790.08
Price for Lightning,1826,3744.82
Price for Lightning,1827,3695.97
Price for Lightning,1828,3750.99
Price for Lightning,1829,3747.29
Price for Lightning,1830,3760.7
Price for Lightning,1831,3795
Price for Lightning,1832,3845.85
Price for Lightning,1833,3857.73
Price for Lightning,1834,3825.11
Price for Lightning,1835,3722.18
Price for Lightning,1836,3589.9
Price for Lightning,1837,3407.04
Price for Lightning,1838,3163.61
Price for Lightning,1839,2985.11
Price for Lightning,1840,2858.47
Price for Lightning,1841,2789.39
Price for Lightning,1842,2746.91
Price for Lightning,1843,2736.07
Price for Lightning,1844,2671.61
Price for Lightning,1845,2565.64
Price for Lightning,1846,2483.91
Price for Lightning,1847,2460.01
Price for Lightning,1848,2447.91
Price for Lightning,1849,2491.87
Price for Lightning,1850,2524.59
Price for Lightning,1851,2436.67
Price for Lightning,1852,2213.82
Price for Lightning,1853,1952.37
Price for Lightning,1854,1685.09
Price for Lightning,1855,1503.67
Price for Lightning,1856,1381.65
Price for Lightning,1857,1370
Price for Lightning,1858,1394.29
Price for Lightning,1859,1368.47
Price for Lightning,1860,1270.76
Price for Lightning,1861,1186.43
Price for Lightning,1862,1077.65
Price for Lightning,1863,992.53
Price for Lightning,1864,946.73
Price for Lightning,1865,907.64
Price for Lightning,1866,889.82
Price for Lightning,1867,887.8
Price for Lightning,1868,856.7
Price for Lightning,1869,830.1
Price for Lightning,1870,827.04
Price for Lightning,1871,801.27
Price for Lightning,1872,759.55
Price for Lightning,1873,712.73
Price for Lightning,1874,699.66
Price for Lightning,1875,685.56
Price for Lightning,1876,648.33
Price for Lightning,1877,625.46
Price for Lightning,1878,605.03
Price for Lightning,1879,560.68
Price for Lightning,1880,529.71
Price for Lightning,1881,513.81
Price for Lightning,1882,495.45
Price for Lightning,1883,465.32
Price for Lightning,1884,431.44
Price for Lightning,1885,389.93
Price for Lightning,1886,356.77
Price for Lightning,1887,325.65
Price for Lightning,1888,306.59
Price for Lightning,1889,295.94
Price for Lightning,1890,289.01
Price for Lightning,1891,285
Price for Lightning,1892,280.89
Price for Lightning,1893,278.7
Price for Lightning,1894,274.44
Price for Lightning,1895,265.13
Price for Lightning,1896,251.03
Price for Lightning,1897,240.99
Price for Lightning,1898,235.02
Price for Lightning,1899,230.55
Price for Lightning,1900,236.28
Price for Lightning,1901,235.32
Price for Lightning,1902,230.62
Price for Lightning,1903,222.24
Price for Lightning,1904,221.33
Price for Lightning,1905,222.49
Price for Lightning,1906,224.84
Price for Lightning,1907,228.57
Price for Lightning,1908,236.74
Price for Lightning,1909,236.57
Price for Lightning,1910,228.75
Price for Lightning,1911,226.36
Price for Lightning,1912,218.87
Price for Lightning,1913,207.01
Price for Lightning,1914,198.92
Price for Lightning,1915,184.7
Price for Lightning,1916,166.74
Price for Lightning,1917,174.69
Price for Lightning,1918,170.18
Price for Lightning,1919,154.26
Price for Lightning,1920,145.75
Price for Lightning,1921,139.63
Price for Lightning,1922,113.39
Price for Lightning,1923,98.22
Price for Lightning,1924,94.52
Price for Lightning,1925,90.8
Price for Lightning,1926,87.88
Price for Lightning,1927,82.73
Price for Lightning,1928,79.26
Price for Lightning,1929,76.51
Price for Lightning,1930,75.07
Price for Lightning,1931,73.97
Price for Lightning,1932,73.35
Price for Lightning,1933,72.08
Price for Lightning,1934,70.02
Price for Lightning,1935,66.82
Price for Lightning,1936,63.1
Price for Lightning,1937,59.61
Price for Lightning,1938,55.17
Price for Lightning,1939,50.23
Price for Lightning,1940,45.87
Price for Lightning,1941,41.9
Price for Lightning,1942,37.62
Price for Lightning,1943,34.48
Price for Lightning,1944,31.74
Price for Lightning,1945,28.87
Price for Lightning,1946,25.54
Price for Lightning,1947,22.64
Price for Lightning,1948,19.93
Price for Lightning,1949,17.07
Price for Lightning,1950,14.69
Price for Lightning,1951,13.01
Price for Lightning,1952,11.54
Price for Lightning,1953,10.32
Price for Lightning,1954,9.96
Price for Lightning,1955,9.57
Price for Lightning,1956,9.18
Price for Lightning,1957,8.78
Price for Lightning,1958,8.42
Price for Lightning,1959,7.94
Price for Lightning,1960,7.49
Price for Lightning,1961,7.07
Price for Lightning,1962,6.73
Price for Lightning,1963,6.48
Price for Lightning,1964,6.35
Price for Lightning,1965,6.24
Price for Lightning,1966,6.16
Price for Lightning,1967,6.02
Price for Lightning,1968,5.82
Price for Lightning,1969,5.64
Price for Lightning,1970,5.47
Price for Lightning,1971,5.19
Price for Lightning,1972,5.07
Price for Lightning,1973,5.14
Price for Lightning,1974,5.25
Price for Lightning,1975,5.37
Price for Lightning,1976,5.59
Price for Lightning,1977,5.7
Price for Lightning,1978,5.78
Price for Lightning,1979,5.89
Price for Lightning,1980,6.03
Price for Lightning,1981,6.12
Price for Lightning,1982,6.2
Price for Lightning,1983,6.17
Price for Lightning,1984,6.04
Price for Lightning,1985,5.83
Price for Lightning,1986,5.65
Price for Lightning,1987,5.5
Price for Lightning,1988,5.34
Price for Lightning,1989,5.22
Price for Lightning,1990,5.18
Price for Lightning,1991,5.13
Price for Lightning,1992,5.07
Price for Lightning,1993,5.02
Price for Lightning,1994,4.81
Price for Lightning,1995,4.48
Price for Lightning,1996,4.07
Price for Lightning,1997,3.63
Price for Lightning,1998,3.19
Price for Lightning,1999,2.86
Price for Lightning,2000,2.62
Price for Lightning,2001,2.45
Price for Lightning,2002,2.38
Price for Lightning,2003,2.4
Price for Lightning,2004,2.53
Price for Lightning,2005,2.67
Price for Lightning,2006,2.89
