Entity,Year,CO₂ concentration (Scripps)
World,772,278.513
World,773,278.512
World,774,278.512
World,775,278.512
World,776,278.511
World,777,278.51
World,778,278.509
World,779,278.508
World,780,278.507
World,781,278.507
World,782,278.506
World,783,278.505
World,784,278.505
World,785,278.505
World,786,278.505
World,787,278.505
World,788,278.506
World,789,278.508
World,790,278.509
World,791,278.512
World,792,278.514
World,793,278.518
World,794,278.522
World,795,278.526
World,796,278.532
World,797,278.538
World,798,278.545
World,799,278.553
World,800,278.562
World,801,278.571
World,802,278.582
World,803,278.593
World,804,278.605
World,805,278.618
World,806,278.631
World,807,278.645
World,808,278.66
World,809,278.675
World,810,278.691
World,811,278.707
World,812,278.724
World,813,278.741
World,814,278.759
World,815,278.777
World,816,278.795
World,817,278.813
World,818,278.832
World,819,278.851
World,820,278.87
World,821,278.889
World,822,278.908
World,823,278.928
World,824,278.947
World,825,278.966
World,826,278.985
World,827,279.004
World,828,279.023
World,829,279.042
World,830,279.06
World,831,279.079
World,832,279.096
World,833,279.114
World,834,279.131
World,835,279.148
World,836,279.164
World,837,279.18
World,838,279.195
World,839,279.21
World,840,279.224
World,841,279.238
World,842,279.25
World,843,279.263
World,844,279.274
World,845,279.284
World,846,279.294
World,847,279.303
World,848,279.311
World,849,279.318
World,850,279.324
World,851,279.329
World,852,279.333
World,853,279.335
World,854,279.337
World,855,279.337
World,856,279.337
World,857,279.335
World,858,279.331
World,859,279.327
World,860,279.321
World,861,279.314
World,862,279.306
World,863,279.298
World,864,279.288
World,865,279.277
World,866,279.266
World,867,279.254
World,868,279.241
World,869,279.228
World,870,279.214
World,871,279.2
World,872,279.186
World,873,279.171
World,874,279.156
World,875,279.141
World,876,279.126
World,877,279.111
World,878,279.096
World,879,279.081
World,880,279.066
World,881,279.052
World,882,279.038
World,883,279.024
World,884,279.011
World,885,278.999
World,886,278.987
World,887,278.976
World,888,278.965
World,889,278.956
World,890,278.947
World,891,278.94
World,892,278.933
World,893,278.928
World,894,278.923
World,895,278.921
World,896,278.919
World,897,278.919
World,898,278.92
World,899,278.923
World,900,278.927
World,901,278.932
World,902,278.939
World,903,278.947
World,904,278.955
World,905,278.965
World,906,278.975
World,907,278.986
World,908,278.998
World,909,279.01
World,910,279.023
World,911,279.037
World,912,279.05
World,913,279.064
World,914,279.078
World,915,279.091
World,916,279.105
World,917,279.119
World,918,279.132
World,919,279.145
World,920,279.158
World,921,279.17
World,922,279.182
World,923,279.192
World,924,279.202
World,925,279.212
World,926,279.22
World,927,279.227
World,928,279.233
World,929,279.238
World,930,279.241
World,931,279.243
World,932,279.244
World,933,279.243
World,934,279.24
World,935,279.235
World,936,279.229
World,937,279.221
World,938,279.21
World,939,279.198
World,940,279.183
World,941,279.166
World,942,279.147
World,943,279.125
World,944,279.1
World,945,279.073
World,946,279.044
World,947,279.012
World,948,278.979
World,949,278.944
World,950,278.909
World,951,278.872
World,952,278.836
World,953,278.799
World,954,278.763
World,955,278.728
World,956,278.693
World,957,278.66
World,958,278.629
World,959,278.6
World,960,278.574
World,961,278.55
World,962,278.53
World,963,278.513
World,964,278.5
World,965,278.491
World,966,278.487
World,967,278.488
World,968,278.493
World,969,278.505
World,970,278.522
World,971,278.544
World,972,278.572
World,973,278.603
World,974,278.64
World,975,278.68
World,976,278.724
World,977,278.772
World,978,278.823
World,979,278.877
World,980,278.934
World,981,278.994
World,982,279.055
World,983,279.119
World,984,279.184
World,985,279.251
World,986,279.319
World,987,279.387
World,988,279.457
World,989,279.526
World,990,279.596
World,991,279.665
World,992,279.734
World,993,279.802
World,994,279.87
World,995,279.935
World,996,280
World,997,280.062
World,998,280.122
World,999,280.18
World,1000,280.235
World,1001,280.287
World,1002,280.336
World,1003,280.382
World,1004,280.423
World,1005,280.461
World,1006,280.495
World,1007,280.524
World,1008,280.55
World,1009,280.574
World,1010,280.594
World,1011,280.612
World,1012,280.628
World,1013,280.643
World,1014,280.657
World,1015,280.671
World,1016,280.683
World,1017,280.697
World,1018,280.711
World,1019,280.726
World,1020,280.742
World,1021,280.76
World,1022,280.781
World,1023,280.804
World,1024,280.83
World,1025,280.86
World,1026,280.894
World,1027,280.931
World,1028,280.972
World,1029,281.016
World,1030,281.064
World,1031,281.114
World,1032,281.167
World,1033,281.223
World,1034,281.28
World,1035,281.34
World,1036,281.401
World,1037,281.464
World,1038,281.529
World,1039,281.594
World,1040,281.66
World,1041,281.727
World,1042,281.794
World,1043,281.862
World,1044,281.929
World,1045,281.996
World,1046,282.063
World,1047,282.129
World,1048,282.194
World,1049,282.258
World,1050,282.32
World,1051,282.381
World,1052,282.44
World,1053,282.496
World,1054,282.551
World,1055,282.603
World,1056,282.652
World,1057,282.698
World,1058,282.741
World,1059,282.78
World,1060,282.817
World,1061,282.85
World,1062,282.879
World,1063,282.906
World,1064,282.93
World,1065,282.951
World,1066,282.97
World,1067,282.986
World,1068,282.999
World,1069,283.01
World,1070,283.019
World,1071,283.026
World,1072,283.03
World,1073,283.033
World,1074,283.034
World,1075,283.033
World,1076,283.031
World,1077,283.027
World,1078,283.022
World,1079,283.015
World,1080,283.007
World,1081,282.999
World,1082,282.989
World,1083,282.978
World,1084,282.967
World,1085,282.955
World,1086,282.943
World,1087,282.93
World,1088,282.918
World,1089,282.904
World,1090,282.891
World,1091,282.878
World,1092,282.865
World,1093,282.852
World,1094,282.84
World,1095,282.828
World,1096,282.817
World,1097,282.806
World,1098,282.796
World,1099,282.787
World,1100,282.779
World,1101,282.773
World,1102,282.767
World,1103,282.763
World,1104,282.76
World,1105,282.759
World,1106,282.76
World,1107,282.762
World,1108,282.766
World,1109,282.772
World,1110,282.779
World,1111,282.787
World,1112,282.797
World,1113,282.808
World,1114,282.821
World,1115,282.835
World,1116,282.85
World,1117,282.866
World,1118,282.884
World,1119,282.902
World,1120,282.921
World,1121,282.942
World,1122,282.963
World,1123,282.985
World,1124,283.007
World,1125,283.031
World,1126,283.055
World,1127,283.08
World,1128,283.105
World,1129,283.131
World,1130,283.157
World,1131,283.184
World,1132,283.211
World,1133,283.238
World,1134,283.265
World,1135,283.293
World,1136,283.321
World,1137,283.349
World,1138,283.376
World,1139,283.404
World,1140,283.432
World,1141,283.459
World,1142,283.487
World,1143,283.514
World,1144,283.541
World,1145,283.567
World,1146,283.593
World,1147,283.618
World,1148,283.643
World,1149,283.668
World,1150,283.691
World,1151,283.714
World,1152,283.737
World,1153,283.758
World,1154,283.779
World,1155,283.798
World,1156,283.817
World,1157,283.835
World,1158,283.851
World,1159,283.867
World,1160,283.881
World,1161,283.894
World,1162,283.906
World,1163,283.917
World,1164,283.926
World,1165,283.935
World,1166,283.942
World,1167,283.949
World,1168,283.954
World,1169,283.958
World,1170,283.962
World,1171,283.964
World,1172,283.965
World,1173,283.966
World,1174,283.965
World,1175,283.964
World,1176,283.962
World,1177,283.959
World,1178,283.955
World,1179,283.951
World,1180,283.945
World,1181,283.939
World,1182,283.933
World,1183,283.925
World,1184,283.917
World,1185,283.909
World,1186,283.899
World,1187,283.89
World,1188,283.879
World,1189,283.868
World,1190,283.857
World,1191,283.845
World,1192,283.833
World,1193,283.82
World,1194,283.807
World,1195,283.793
World,1196,283.779
World,1197,283.765
World,1198,283.75
World,1199,283.736
World,1200,283.721
World,1201,283.705
World,1202,283.69
World,1203,283.674
World,1204,283.658
World,1205,283.642
World,1206,283.626
World,1207,283.61
World,1208,283.593
World,1209,283.577
World,1210,283.56
World,1211,283.544
World,1212,283.527
World,1213,283.51
World,1214,283.493
World,1215,283.475
World,1216,283.458
World,1217,283.44
World,1218,283.421
World,1219,283.402
World,1220,283.383
World,1221,283.364
World,1222,283.344
World,1223,283.323
World,1224,283.302
World,1225,283.28
World,1226,283.258
World,1227,283.235
World,1228,283.212
World,1229,283.188
World,1230,283.163
World,1231,283.138
World,1232,283.111
World,1233,283.084
World,1234,283.056
World,1235,283.028
World,1236,282.998
World,1237,282.967
World,1238,282.936
World,1239,282.904
World,1240,282.87
World,1241,282.836
World,1242,282.8
World,1243,282.764
World,1244,282.726
World,1245,282.687
World,1246,282.647
World,1247,282.606
World,1248,282.564
World,1249,282.52
World,1250,282.475
World,1251,282.429
World,1252,282.381
World,1253,282.332
World,1254,282.281
World,1255,282.23
World,1256,282.176
World,1257,282.121
World,1258,282.065
World,1259,282.007
World,1260,281.948
World,1261,281.889
World,1262,281.829
World,1263,281.769
World,1264,281.71
World,1265,281.651
World,1266,281.594
World,1267,281.538
World,1268,281.484
World,1269,281.432
World,1270,281.383
World,1271,281.336
World,1272,281.293
World,1273,281.254
World,1274,281.218
World,1275,281.187
World,1276,281.161
World,1277,281.14
World,1278,281.123
World,1279,281.111
World,1280,281.103
World,1281,281.099
World,1282,281.098
World,1283,281.101
World,1284,281.107
World,1285,281.116
World,1286,281.127
World,1287,281.141
World,1288,281.157
World,1289,281.174
World,1290,281.193
World,1291,281.213
World,1292,281.234
World,1293,281.256
World,1294,281.278
World,1295,281.3
World,1296,281.322
World,1297,281.344
World,1298,281.365
World,1299,281.385
World,1300,281.404
World,1301,281.421
World,1302,281.437
World,1303,281.45
World,1304,281.462
World,1305,281.471
World,1306,281.477
World,1307,281.479
World,1308,281.479
World,1309,281.476
World,1310,281.469
World,1311,281.46
World,1312,281.448
World,1313,281.434
World,1314,281.417
World,1315,281.397
World,1316,281.375
World,1317,281.351
World,1318,281.325
World,1319,281.297
World,1320,281.267
World,1321,281.236
World,1322,281.203
World,1323,281.168
World,1324,281.132
World,1325,281.094
World,1326,281.056
World,1327,281.016
World,1328,280.975
World,1329,280.934
World,1330,280.891
World,1331,280.848
World,1332,280.805
World,1333,280.761
World,1334,280.717
World,1335,280.673
World,1336,280.628
World,1337,280.584
World,1338,280.539
World,1339,280.495
World,1340,280.452
World,1341,280.408
World,1342,280.365
World,1343,280.324
World,1344,280.282
World,1345,280.242
World,1346,280.203
World,1347,280.165
World,1348,280.128
World,1349,280.092
World,1350,280.058
World,1351,280.026
World,1352,279.995
World,1353,279.965
World,1354,279.937
World,1355,279.91
World,1356,279.885
World,1357,279.861
World,1358,279.838
World,1359,279.816
World,1360,279.796
World,1361,279.776
World,1362,279.758
World,1363,279.741
World,1364,279.725
World,1365,279.711
World,1366,279.697
World,1367,279.684
World,1368,279.672
World,1369,279.661
World,1370,279.65
World,1371,279.641
World,1372,279.632
World,1373,279.624
World,1374,279.617
World,1375,279.611
World,1376,279.605
World,1377,279.599
World,1378,279.595
World,1379,279.591
World,1380,279.587
World,1381,279.584
World,1382,279.581
World,1383,279.579
World,1384,279.577
World,1385,279.575
World,1386,279.574
World,1387,279.572
World,1388,279.572
World,1389,279.571
World,1390,279.57
World,1391,279.57
World,1392,279.569
World,1393,279.569
World,1394,279.569
World,1395,279.568
World,1396,279.568
World,1397,279.567
World,1398,279.567
World,1399,279.566
World,1400,279.565
World,1401,279.563
World,1402,279.562
World,1403,279.56
World,1404,279.558
World,1405,279.555
World,1406,279.552
World,1407,279.549
World,1408,279.545
World,1409,279.54
World,1410,279.535
World,1411,279.529
World,1412,279.523
World,1413,279.517
World,1414,279.514
World,1415,279.514
World,1416,279.519
World,1417,279.531
World,1418,279.551
World,1419,279.582
World,1420,279.624
World,1421,279.679
World,1422,279.749
World,1423,279.836
World,1424,279.94
World,1425,280.064
World,1426,280.209
World,1427,280.376
World,1428,280.568
World,1429,280.786
World,1430,281.03
World,1431,281.287
World,1432,281.539
World,1433,281.782
World,1434,282.017
World,1435,282.243
World,1436,282.462
World,1437,282.672
World,1438,282.874
World,1439,283.068
World,1440,283.254
World,1441,283.433
World,1442,283.604
World,1443,283.768
World,1444,283.924
World,1445,284.074
World,1446,284.216
World,1447,284.351
World,1448,284.479
World,1449,284.6
World,1450,284.715
World,1451,284.823
World,1452,284.925
World,1453,285.02
World,1454,285.109
World,1455,285.192
World,1456,285.269
World,1457,285.34
World,1458,285.405
World,1459,285.465
World,1460,285.519
World,1461,285.568
World,1462,285.611
World,1463,285.649
World,1464,285.682
World,1465,285.71
World,1466,285.733
World,1467,285.751
World,1468,285.764
World,1469,285.773
World,1470,285.777
World,1471,285.778
World,1472,285.774
World,1473,285.765
World,1474,285.753
World,1475,285.737
World,1476,285.717
World,1477,285.693
World,1478,285.666
World,1479,285.635
World,1480,285.601
World,1481,285.564
World,1482,285.523
World,1483,285.48
World,1484,285.433
World,1485,285.384
World,1486,285.332
World,1487,285.278
World,1488,285.221
World,1489,285.162
World,1490,285.1
World,1491,285.036
World,1492,284.971
