Entity,Year,Total government spending per capita,Public Spending - General public services,Public Spending - Defence,Public Spending - Public order and safety,Public Spending - Economic affairs,Public Spending - Environmental protection,Public Spending - Housing and community amenities,Public Spending - Health,"Public Spending - Recreation, culture and religion",Public Spending - Education,Public Spending - Social protection,Expenditures on general government outsourcing,General government procurement expenditure (%GDP),General government procurement (% government expenditures)
Indonesia,2012,1805.86,,,,,,,,,,,,,
Indonesia,2013,1938.08,,,,,,,,,,,,,
Indonesia,2014,1997.3,,,,,,,,,,,,,
Ireland,2007,,,,,,,,,,,,,11.64,32.42
Ireland,2008,,,,,,,,,,,,,12.95,30.94
Ireland,2009,19745.91,,,,,,,,,,,8.62,12.3,26.06
Ireland,2010,28376.27,,,,,,,,,,,8.39,11.74,17.89
Ireland,2011,20774.75,,,,,,,,,,,7.78,10.16,22.33
Ireland,2012,19137.17,,,,,,,,,,,7.71,9.75,23.33
Ireland,2013,18563.49,16.54245666,0.95441261,3.868779435,7.537129826,1.559899422,1.576218985,17.40830956,1.750548002,10.17285208,38.62939342,7.37,9.21,23.2
Ireland,2014,19078.56,,,,,,,,,,,7.39,9.51,24.65
Ireland,2015,,,,,,,,,,,,6.73,8.54,24.31
Israel,2007,,,,,,,,,,,,,14.45,33.93
Israel,2008,,,,,,,,,,,,,14.49,34.25
Israel,2009,11524.81,,,,,,,,,,,12.17,14.2,33.5
Israel,2010,11871.56,,,,,,,,,,,12.1,14.07,33.8
Israel,2011,12376.6,,,,,,,,,,,12.02,14.04,34.21
Israel,2012,13089.37,,,,,,,,,,,12.14,14.28,34.42
Israel,2013,13423.88,13.53229294,14.41930119,3.889019782,6.772082815,1.47783855,1.061754247,12.18579258,3.705625468,16.33094769,26.62534244,12.22,14.41,34.75
Israel,2014,,,,,,,,,,,,12.31,14.43,35.02
Italy,2007,,,,,,,,,,,,,10.41,22.25
Italy,2008,,,,,,,,,,,,,10.7,22.36
Italy,2009,17330.68,,,,,,,,,,,8.34,11.79,23.04
Italy,2010,17147.44,,,,,,,,,,,8.33,11.25,22.54
Italy,2011,17433.32,,,,,,,,,,,8.05,10.81,22
Italy,2012,17797.88,,,,,,,,,,,8.08,10.64,20.96
Italy,2013,17747.29,17.51259008,2.322543238,3.83971308,8.214710786,1.825667974,1.385550495,14.10284168,1.440473438,8.019850546,41.33605869,8.3,10.69,20.95
Italy,2014,18036,,,,,,,,,,,8.21,10.5,20.5
Italy,2015,,,,,,,,,,,,8.13,10.41,20.6
Japan,2007,,,,,,,,,,,,,13.33,37.26
Japan,2008,,,,,,,,,,,,,13.54,36.65
Japan,2009,13348.66,,,,,,,,,,,11.55,14.95,35.68
Japan,2010,13735.98,,,,,,,,,,,11.75,15.04,36.98
Japan,2011,14363.67,,,,,,,,,,,12.21,15.35,36.68
Japan,2012,14872.79,,,,,,,,,,,12.45,15.6,37.35
Japan,2013,15337.62,10.56266773,2.146362702,3.12118691,10.28953807,2.75105151,1.823501632,17.50383674,0.859046326,8.513753046,42.42045553,12.82,16.42,38.65
Japan,2014,,,,,,,,,,,,12.81,16.34,38.89
Latvia,2007,,,,,,,,,,,,,12.08,35.47
Latvia,2008,,,,,,,,,,,,,12.17,32.6
Latvia,2009,7458.61,,,,,,,,,,,7.13,12.01,27.46
Latvia,2010,7761.53,,,,,,,,,,,7.67,12.38,27.63
Latvia,2011,7753.09,,,,,,,,,,,7.73,12.73,32.53
Latvia,2012,7801.79,,,,,,,,,,,7.23,12.08,32.48
Latvia,2013,8273.68,13.16108682,2.415478547,5.239386914,12.9928677,1.813996691,3.301941982,9.954656052,4.181480854,15.70658001,31.23252443,7.36,11.78,31.83
Latvia,2014,8663.68,,,,,,,,,,,7.22,11.64,31.05
Latvia,2015,,,,,,,,,,,,7.52,11.97,32.19
Lithuania,2007,,,,,,,,,,,,,12.1,34.32
Lithuania,2008,,,,,,,,,,,,,12.67,33.27
Lithuania,2009,,,,,,,,,,,,7.65,12.06,26.87
Lithuania,2010,,,,,,,,,,,,8.19,13.15,31.09
Lithuania,2011,,,,,,,,,,,,7.05,11.78,27.73
Lithuania,2012,,,,,,,,,,,,6.68,10.66,29.51
Lithuania,2013,,,,,,,,,,,,6.42,10.16,28.59
Lithuania,2014,,,,,,,,,,,,6.52,10.05,28.86
Lithuania,2015,,,,,,,,,,,,7.05,10.64,30.26
Luxembourg,2007,,,,,,,,,,,,,11.28,29.5
Luxembourg,2008,,,,,,,,,,,,,11.79,29.32
Luxembourg,2009,35999.9,,,,,,,,,,,9.21,13.71,29.8
Luxembourg,2010,36984.03,,,,,,,,,,,8.86,13.65,30.43
Luxembourg,2011,38638.64,,,,,,,,,,,8.46,12.68,29.27
Luxembourg,2012,39912.21,,,,,,,,,,,8.79,12.84,28.82
Luxembourg,2013,39517.78,11.51756075,0.828128734,2.345375138,9.471762941,2.641809,1.644681529,11.8961738,2.63212912,12.65594462,44.36638447,8.72,12.26,28.35
Luxembourg,2014,,,,,,,,,,,,8.5,12.02,28.33
Luxembourg,2015,,,,,,,,,,,,8.26,12.11,29.15
Mexico,2007,,,,,,,,,,,,,4.52,21.91
Mexico,2008,,,,,,,,,,,,,5.27,21.2
Mexico,2009,3379.97,,,,,,,,,,,2.92,6.1,25.96
Mexico,2010,3576.62,,,,,,,,,,,2.77,5.79,24.5
Mexico,2011,3879.88,,,,,,,,,,,2.84,5.62,23.72
Mexico,2012,4100.09,,,,,,,,,,,2.91,5.23,21.45
Mexico,2013,4127.9,,,,,,,,,,,2.98,5.16,21.12
Netherlands,2007,,,,,,,,,,,,,18.98,44.72
Netherlands,2008,,,,,,,,,,,,,19.56,44.91
Netherlands,2009,21398.32,,,,,,,,,,,17.33,21.63,44.91
Netherlands,2010,21574.64,,,,,,,,,,,17.23,21.38,44.4
Netherlands,2011,21809.26,,,,,,,,,,,16.96,20.96,44.61
Netherlands,2012,21859.97,,,,,,,,,,,17.15,20.9,44.37
Netherlands,2013,21604.79,11.00176869,2.511735841,4.22722981,8.234038592,3.239823397,1.123050122,17.66626328,3.404391133,11.84588481,36.74581433,16.93,20.57,44.32
Netherlands,2014,21975.37,,,,,,,,,,,16.7,20.19,43.65
Netherlands,2015,,,,,,,,,,,,16.47,19.93,44.42
New Zealand,2007,,,,,,,,,,,,,14.34,37.29
New Zealand,2008,,,,,,,,,,,,,15.48,37.47
New Zealand,2009,12834.73,,,,,,,,,,,11.18,15.55,37.11
New Zealand,2010,14662.81,,,,,,,,,,,11.18,15.18,31.8
New Zealand,2011,13982.46,,,,,,,,,,,11.2,14.68,33.57
New Zealand,2012,13733.4,,,,,,,,,,,10.97,14.65,34.74
New Zealand,2013,14036.28,,,,,,,,,,,10.74,14.5,35.93
New Zealand,2014,,,,,,,,,,,,10.69,14.7,36.75
Norway,2007,,,,,,,,,,,,,11.2,27.02
Norway,2008,,,,,,,,,,,,,11.06,27.49
Norway,2009,25904.02,,,,,,,,,,,8.56,13.09,28.41
Norway,2010,26452.92,,,,,,,,,,,8.47,12.61,28.02
Norway,2011,27488.16,,,,,,,,,,,8.13,12.18,27.79
Norway,2012,28489.23,,,,,,,,,,,7.86,11.74,27.34
Norway,2013,28905.4,9.697440565,3.099291882,2.259021658,10.57137783,1.862934434,1.587160647,16.95635123,3.141172205,11.13580028,39.68944927,8.05,12.33,28.01
Norway,2014,30660.19,,,,,,,,,,,8.36,12.92,28.32
Norway,2015,,,,,,,,,,,,8.85,13.77,28.32
OECD Average (weighted),2013,,13.80630928,5.501309458,4.373101506,9.463598828,1.236596629,1.526335767,17.67463518,1.511293574,12.49472259,32.41117614,,,
Poland,2007,,,,,,,,,,,,,12.43,28.82
Poland,2008,,,,,,,,,,,,,13.1,29.44
Poland,2009,8655.44,,,,,,,,,,,8.04,13.1,28.93
Poland,2010,9405.63,,,,,,,,,,,8.34,13.94,30.56
Poland,2011,9695.42,,,,,,,,,,,7.63,13.47,30.9
Poland,2012,9808.82,,,,,,,,,,,7.71,12.43,29.19
Poland,2013,10003.66,13.45777502,3.914126117,5.314522647,9.634443056,1.75302564,1.746041475,10.93520832,2.516437733,12.45846916,38.26995084,7.88,12,28.31
Poland,2014,10377.9,,,,,,,,,,,8.04,12.53,29.71
Poland,2015,,,,,,,,,,,,7.78,12.17,29.35
Portugal,2007,,,,,,,,,,,,,10.67,23.99
Portugal,2008,,,,,,,,,,,,,11.41,25.17
Portugal,2009,13167.27,,,,,,,,,,,8.54,12.65,25.18
Portugal,2010,13951.86,,,,,,,,,,,8.06,13.33,25.72
Portugal,2011,13460.73,,,,,,,,,,,7.97,11.45,22.89
Portugal,2012,13085.35,,,,,,,,,,,7.74,10.21,21.05
Portugal,2013,13774.13,17.92336389,2.136385671,4.404655208,6.690210664,0.828522747,1.394817397,13.28959444,1.978211344,13.52653517,37.82771514,7.56,9.74,19.5
Portugal,2014,13934.61,,,,,,,,,,,7.76,9.79,18.94
Portugal,2015,,,,,,,,,,,,7.71,9.86,20.44
Russia,2007,,,,,,,,,,,,,13.17,37.35
Russia,2008,,,,,,,,,,,,,11.3,32.81
Russia,2009,8057.94,,,,,,,,,,,9.93,10.15,24.41
Russia,2010,8147.75,,,,,,,,,,,9.42,11.21,28.21
Russia,2011,8339.23,,,,,,,,,,,9.22,12.32,33.34
Russia,2012,9319.24,,,,,,,,,,,9.18,11.98,31.1
Russia,2013,,,,,,,,,,,,9.21,11.08,27.97
Slovakia,2007,,,,,,,,,,,,,12.34,34.15
Slovakia,2008,,,,,,,,,,,,,12.49,34.07
Slovakia,2009,10099.81,,,,,,,,,,,10.92,14.68,33.4
Slovakia,2010,10185.16,,,,,,,,,,,10.63,14.12,33.65
Slovakia,2011,10166.99,,,,,,,,,,,10.21,13.88,34.28
Slovakia,2012,10341.22,,,,,,,,,,,10.32,13.62,33.6
Slovakia,2013,10871.41,13.43753747,3.073197261,7.977336214,7.949746727,2.207490165,1.658482558,18.3446904,3.074588327,12.17921839,30.09767937,10.43,13.64,33.03
Slovakia,2014,11523.64,,,,,,,,,,,10.6,14.43,34.42
Slovakia,2015,,,,,,,,,,,,10.98,17.17,37.63
Slovenia,2007,,,,,,,,,,,,,11.97,28.36
Slovenia,2008,,,,,,,,,,,,,12.61,28.75
Slovenia,2009,13321.61,,,,,,,,,,,8.66,13.71,28.43
Slovenia,2010,13566.93,,,,,,,,,,,8.92,13.88,28.19
Slovenia,2011,14193.37,,,,,,,,,,,9.29,13.35,26.71
Slovenia,2012,13687.34,,,,,,,,,,,9.02,13.08,26.94
Slovenia,2013,17232.32,11.28562253,1.626492121,3.620065306,24.20450322,1.243330117,1.210843837,11.56113028,2.986003557,10.86853762,31.39347142,8.97,13.36,22.16
Slovenia,2014,15009.71,,,,,,,,,,,8.61,13.73,27.51
Slovenia,2015,,,,,,,,,,,,8.49,13.61,28.32
South Africa,2008,,,,,,,,,,,,,12.1,
South Africa,2009,,,,,,,,,,,,8.62,11.89,
South Africa,2010,,,,,,,,,,,,8.48,11.26,
South Africa,2011,,,,,,,,,,,,8.16,11.11,
South Africa,2012,,,,,,,,,,,,8.57,11.43,
South Africa,2013,,,,,,,,,,,,8.44,11.55,
South Africa,2014,,,,,,,,,,,,8.63,12.04,
South Korea,2007,,,,,,,,,,,,,12.31,41.49
South Korea,2008,,,,,,,,,,,,,12.97,40.54
South Korea,2009,9904.65,,,,,,,,,,,8.08,14.57,41.78
South Korea,2010,9444.68,,,,,,,,,,,7.96,13.18,42.5
South Korea,2011,10133.23,,,,,,,,,,,8.01,12.94,40.01
South Korea,2012,10480.03,,,,,,,,,,,8.08,12.83,39.22
South Korea,2013,10509.08,17.06970661,7.790632157,4.017675225,16.75384159,2.370970023,2.981069685,12.14987773,2.163366971,16.26466933,18.43816865,8.12,12.8,40.29
South Korea,2014,,,,,,,,,,,,8.11,12.43,38.89
Spain,2007,,,,,,,,,,,,,12,30.84
Spain,2008,,,,,,,,,,,,,12.51,30.39
Spain,2009,15014.07,,,,,,,,,,,8.59,13.7,29.94
Spain,2010,14762.67,,,,,,,,,,,8.57,13.26,29.06
Spain,2011,14851.25,,,,,,,,,,,8.58,12.28,26.82
Spain,2012,15508.43,,,,,,,,,,,8.36,10.84,22.61
Spain,2013,14667.89,15.4968489,2.130136264,4.510724913,10.03961193,1.859458343,1.03279334,13.55670358,2.567352112,9.121501682,39.68486893,8.07,10.27,22.76
Spain,2014,14805.43,,,,,,,,,,,7.98,10.08,22.66
Spain,2015,,,,,,,,,,,,7.85,10.31,23.79
Sweden,2007,,,,,,,,,,,,,14.47,29.15
Sweden,2008,,,,,,,,,,,,,15.07,29.94
Sweden,2009,21063.98,,,,,,,,,,,11.84,16.34,30.77
Sweden,2010,21715.43,,,,,,,,,,,11.6,16.11,31.49
Sweden,2011,22483.89,,,,,,,,,,,11.66,16.1,31.84
Sweden,2012,23072.77,,,,,,,,,,,11.81,16.37,31.68
Sweden,2013,23794.81,14.63509919,2.776419224,2.568162931,8.127413089,0.618257765,1.375535303,13.11786014,2.048317448,12.41416262,42.31877229,12.01,16.48,31.47
Sweden,2014,24269.72,,,,,,,,,,,11.98,16.44,31.77
Sweden,2015,,,,,,,,,,,,11.88,16.22,32.15
Switzerland,2007,,,,,,,,,,,,,7.67,24.77
Switzerland,2008,,,,,,,,,,,,,7.92,25.43
Switzerland,2009,16409.47,,,,,,,,,,,5.39,8.35,25.22
Switzerland,2010,16777.78,,,,,,,,,,,5.25,8.31,25.25
Switzerland,2011,17947.54,,,,,,,,,,,5.24,8.33,25.31
Switzerland,2012,18569.87,,,,,,,,,,,5.44,8.48,25.49
Switzerland,2013,19085.83,11.74319388,2.961038058,4.877321514,12.2585041,2.168021935,0.585323661,6.499088323,2.454367998,17.81158917,38.64164527,5.47,8.45,24.83
Switzerland,2014,,,,,,,,,,,,5.46,8.36,24.79
Turkey,2007,,,,,,,,,,,,,11.79,33.97
Turkey,2008,,,,,,,,,,,,,11.33,31.17
Turkey,2009,6249.1,,,,,,,,,,,9.59,12.56,29.14
Turkey,2010,6439.27,,,,,,,,,,,9.1,11.82,29.36
Turkey,2011,6612.22,,,,,,,,,,,8.31,10.82,28.94
Ukraine,2009,3546.74,,,,,,,,,,,,,
Ukraine,2010,3793.38,,,,,,,,,,,,,
Ukraine,2011,3806.24,,,,,,,,,,,,,
Ukraine,2012,4173.13,,,,,,,,,,,,,
Ukraine,2013,4398.85,,,,,,,,,,,,,
Ukraine,2014,3931.53,,,,,,,,,,,,,
United Kingdom,2007,,,,,,,,,,,,,13.39,31.27
United Kingdom,2008,,,,,,,,,,,,,14.64,31.45
United Kingdom,2009,18044.04,,,,,,,,,,,12.59,15.99,32.24
United Kingdom,2010,17485.14,,,,,,,,,,,12.06,15.29,31.34
United Kingdom,2011,17120.4,,,,,,,,,,,11.52,14.5,30.92
United Kingdom,2012,17555.34,,,,,,,,,,,11.35,14.13,30.21
United Kingdom,2013,17409.57,12.54055565,5.041270297,4.75771727,6.775276535,1.840018151,1.472501638,16.70193988,1.677731473,11.98831946,37.20466965,11.37,14.01,31.16
United Kingdom,2014,17597.75,,,,,,,,,,,11.28,14,31.89
United Kingdom,2015,,,,,,,,,,,,11.09,13.76,31.82
United States,2007,,,,,,,,,,,,,10.58,28.65
United States,2008,,,,,,,,,,,,,11.27,28.56
United States,2009,20135.28,,,,,,,,,,,7.6,11.8,27.46
United States,2010,20575.15,,,,,,,,,,,7.55,11.63,27.08
United States,2011,20631.54,,,,,,,,,,,7.27,11.14,26.63
United States,2012,20602.82,,,,,,,,,,,6.95,10.54,26.33
United States,2013,20513.32,14.25870417,9.769958688,5.578698615,9.210710152,0,1.503462781,22.28441743,0.697916909,15.96761242,20.72851884,6.51,9.85,25.41
United States,2014,,,,,,,,,,,,6.28,9.49,24.94
