Entity,Year,Number of trees,Tree density (trees per km2),Tree density (trees per capita)
Hong Kong,2014,29745610,26214.97691,4.10754519
Hungary,2014,983371136,10573.09873,99.7164615
Iceland,2014,662753024,6511.239502,2023.12356
India,2014,35181322240,11108.79205,27.75861679
Indonesia,2014,80665804800,42404.80098,319.0739626
Iran,2014,2269082112,1395.190556,28.91647372
Iraq,2014,522965664,1171.271426,15.25643593
Ireland,2014,708511936,10087.76185,153.5996309
Isle of Man,2014,10181441,17602.67668,117.7385487
Israel,2014,12726418,572.5708604,1.549111779
Italy,2014,8801768448,29249.4324,143.4999497
Jamaica,2014,433465696,39192.90548,159.2890684
Japan,2014,18616717312,49893.51488,146.4363543
Jersey,2014,328057.4688,2623.725107,3.297059987
Jordan,2014,2508885.75,28.06372456,0.379731459
Kazakhstan,2014,6124535808,2244.513191,354.2423788
Kenya,2014,3048628736,5205.467236,66.93518805
Kiribati,2014,998900,980.3998547,9.610167209
Kosovo,2014,241295664,22084.13392,132.3510388
Kuwait,2014,61079.32813,3.500288148,0.017554704
Kyrgyzstan,2014,1175723264,5913.62498,201.522619
Laos,2014,9979317248,43179.38518,1447.516013
Latvia,2014,2497626112,38701.10484,1254.867163
Lebanon,2014,28016004,2729.513937,6.211559716
Lesotho,2014,677510656,22170.72189,323.0069621
Liberia,2014,3352903168,34727.87257,762.5653886
Libya,2014,27197640,16.76341806,4.349220239
Liechtenstein,2014,6079023,37534.10101,163.4409582
Lithuania,2014,1474331136,22731.88774,503.3009798
Luxembourg,2014,55504704,21664.76866,99.81531954
Macao,2014,19784.8,635.115484,0.034379589
Macedonia,2014,644802752,25952.80988,305.8206954
Madagascar,2014,22365331456,37617.81182,948.8107717
Malawi,2014,3177856512,26763.15068,188.8305497
Malaysia,2014,15110054912,45591.03665,500.5335553
Maldives,2014,283428,939.4988067,0.806173415
Mali,2014,2619819264,2082.394811,166.1454559
Malta,2014,22929.52539,70.32776974,0.053648364
Marshall Islands,2014,217172,718.6128851,4.115288411
Martinique,2014,39376968,35015.75564,101.8845909
Mauritania,2014,114301136,109.2233428,28.68675355
Mauritius,2014,32607918,16001.29451,25.86013067
Mayotte,2014,10231596,25965.48626,48.11585506
Mexico,2014,56782200832,28958.83844,458.6636582
Micronesia (country),2014,12413473,15916.44346,119.4717477
Moldova,2014,136184752,4018.339844,38.29286694
Monaco,2014,10386.3,4409.475896,0.272849787
Mongolia,2014,7409460736,4732.574578,2571.466011
Montenegro,2014,589421888,44176.60151,947.9284143
Montserrat,2014,2752203.5,27192.73103,561.6741837
Morocco,2014,518983360,1251.388531,15.49532052
Mozambique,2014,25697536000,32490.1553,970.7082056
Myanmar,2014,24495407104,36420.38958,455.9918512
Namibia,2014,2277666048,2751.003754,970.0501229
Nauru,2014,27146.5,1217.315462,2.69203689
Nepal,2014,3355659520,22640.94351,119.3304131
Netherlands,2014,343683840,9089.54402,20.39160486
New Caledonia,2014,865954880,45772.18851,3255.469474
New Zealand,2014,11468801024,42493.09378,2543.140569
Nicaragua,2014,3939762176,30541.26557,638.6108591
Niger,2014,206806704,173.7594031,11.15775092
Nigeria,2014,10944556032,11972.0579,61.30823349
North Korea,2014,5014459392,40802.46218,200.3652832
Northern Cyprus,2014,11613969,3496.687862,38.45837914
Northern Mariana Islands,2014,3686553.25,7271.179111,67.60472484
Norway,2014,14247255040,43999.49056,2773.741728
Oman,2014,10066433,32.39065647,2.563721765
Pakistan,2014,992235520,1131.227136,5.359584281
Palau,2014,13204823,26911.16242,625.9099872
Palestine,2014,1045690.188,167.6193861,0.229822019
Panama,2014,2888506880,38213.92976,735.7346848
Papua New Guinea,2014,22899769344,49050.82347,3063.060264
Paraguay,2014,19003179008,47337.76824,2747.085217
Peru,2014,46197633024,35514.78554,1501.430577
Philippines,2014,6312320000,21205.6223,63.06234736
Poland,2014,6437707776,20657.24922,169.4332977
Portugal,2014,3126839552,33989.12284,300.7330349
Puerto Rico,2014,215847936,23932.28778,60.8297031
Qatar,2014,12644,1.121359396,0.005575162
Reunion,2014,117386000,46486.00699,138.9193296
Romania,2014,4836278272,20295.25578,242.8948564
Russia,2014,6.42E+11,38033.12068,4461.196348
Rwanda,2014,348708384,13689.60188,28.81875801
Saint Barthlemy,2014,105854.3672,4260.967652,11.716034
Saint Helena,2014,6161198,21278.96969,1447.990129
Saint Kitts and Nevis,2014,7343199.5,27338.38476,134.0268941
Saint Lucia,2014,21270334,34412.83755,115.8527544
Saint Pierre and Miquelon,2014,6063650,26764.34628,997.3108553
Saint Vincent and the Grenadines,2014,12621922,31527.37618,115.4046502
Samoa,2014,40661400,14165.66217,211.9646981
San Marino,2014,475865.75,7771.58407,15.04143092
Sao Tome and Principe,2014,59314388,58785.90273,299.7462528
Saudi Arabia,2014,2713285.5,1.414488247,0.09238469
Senegal,2014,1306909952,6598.788971,89.83328227
Serbia,2014,1657069056,21177.41327,232.4266485
Seychelles,2014,2028620.625,4083.185813,22.16441913
Sierra Leone,2014,2272701952,31103.63195,366.246905
Singapore,2014,2453930,3618.12772,0.448640693
Sint Maarten (Dutch part),2014,151533.6719,3965.376009,4.023302673
Slovakia,2014,1493392256,30445.76666,275.6095972
Slovenia,2014,1420915456,71131.48624,689.0229142
Solomon Islands,2014,1260014976,44009.68816,2199.497222
Somalia,2014,879845440,1381.514972,81.42456572
South Africa,2014,17791358976,14530.79409,329.4576953
South Korea,2014,3826071296,38096.51697,75.87804836
South Sudan,2014,27408459776,43102.38181,2334.876754
Spain,2014,11391461376,22485.21846,245.481286
Sri Lanka,2014,2437015296,36776.64322,118.0781674
Sudan,2014,3053661440,1621.803535,78.7755224
Suriname,2014,8310388736,56379.07719,15278.5563
Swaziland,2014,910721280,52462.71645,718.4021507
Sweden,2014,31008122880,69161.14537,3200.159644
Switzerland,2014,1107665792,26575.0923,135.2423469
Syria,2014,100087952,534.232646,4.295484203
Taiwan,2014,2291593216,62975.40764,98.04229359
Tajikistan,2014,148119840,1040.686297,17.61455269
Tanzania,2014,20814235648,21959.14136,410.0724516
Thailand,2014,8345450496,16141.13397,124.1458128
Timor,2014,512039872,34117.11333,422.4378475
Togo,2014,1023098432,17835.76,146.2981174
Tokelau,2014,18404.4,1167.236404,13.04351524
Tonga,2014,5572860,7262.276005,52.68249797
Trinidad and Tobago,2014,207744976,40015.5975,154.5451324
Tunisia,2014,151323136,974.6999118,13.7609021
Turkey,2014,8698405888,11125.98443,114.6986773
Turkmenistan,2014,7218816,14.72434443,1.360200378
Turks and Caicos Islands,2014,3895086,3909.563112,115.4578492
Tuvalu,2014,38189.2,909.3359494,3.859834243
Uganda,2014,2464824576,10139.84761,63.45342861
Ukraine,2014,7023662592,11693.12495,154.8327508
United Arab Emirates,2014,19529.21875,0.248461446,0.002067541
United Kingdom,2014,3004205568,12263.51514,46.56933899
United States,2014,2.28E+11,24087.25054,715.9756952
United States Virgin Islands,2014,4659548,12796.13991,44.73022943
Uruguay,2014,543400768,3053.482325,158.9498118
Uzbekistan,2014,114452776,255.5274208,3.722949532
Vanuatu,2014,572365824,46053.42839,2215.886985
Venezuela,2014,36278259712,39500.2561,1175.905364
Vietnam,2014,9353365504,28325.07761,103.0901081
Wallis and Futuna,2014,1646280,10507.87957,106.2116129
Western Sahara,2014,18573.01172,0.069174774,0.033892357
World,2014,3.04E+12,22540.35861,421.6097734
World (mean),2014,3.04E+12,22540.35861,421.6097734
World (median),2014,536104112,17249.64546,163.5473123
Yemen,2014,15551580,34.19417681,0.622847789
Zambia,2014,27612139520,36533.3207,1838.235526
Zimbabwe,2014,5652261376,14392.59874,387.1590896
