Entity,Year,Coastal population,Per capita waste generation rate,Share of plastics in waste stream,Share of plastic inadequately managed,Municipal waste generated,Plastic waste generated,Inadequately managed plastic waste,Plastic waste littered,Per capita mismanaged plastic waste,Total mismanaged plastic waste in 2010,Total mismanaged plastic waste in 2025,Per capita plastic waste (kg/person/day)
Greenland,2010,57068,2.1,12,0,119843,14321,0,286,0.005,105,148,0.252
Grenada,2010,96121,2.71,12,18,260488,31128,5536,623,0.064,2248,2452,0.325
Guadeloupe,2010,466166,1.2,12,25,559399,66848,16646,1337,0.039,6564,11502,0.144
Guam,2010,190809,2.1,12,0,400699,47884,118,958,0.006,393,574,0.252
Guatemala,2010,2392442,2,14,36,4784884,667491,237508,13350,0.105,91563,157698,0.28
Guernsey,2010,56289,2.1,12,0,118207,14126,0,283,0.005,103,146,0.252
Guinea,2010,1996496,0.6,5,84,1197898,59296,49538,1186,0.025,18514,59889,0.03
Guinea-Bissau,2010,1208106,0.6,9,83,724864,64875,54156,1298,0.046,20240,51947,0.054
Guyana,2010,513235,5.33,11,36,2735543,299542,109084,5991,0.224,42002,36103,0.586
Haiti,2010,9155693,1,9,47,9155693,819435,387416,16389,0.044,147389,324178,0.09
Honduras,2010,3324144,1.45,13,40,4820009,624191,249539,12484,0.079,95638,189169,0.189
Hong Kong,2010,7573074,1.99,20,1,15070417,3006548,17983,60131,0.01,28512,37606,0.398
Iceland,2010,292708,1.56,18,0,456624,81964,0,1639,0.006,598,883,0.281
India,2010,187493433,0.34,3,85,63747767,1880559,1605729,37611,0.009,599819,2881294,0.01
Indonesia,2010,187223476,0.52,11,81,97356208,10660505,8600093,213210,0.047,3216856,7415202,0.057
Iran,2010,9099695,1.2,12,50,10919634,1304896,651717,26098,0.074,247403,460067,0.144
Iraq,2010,639228,0.79,13,63,504990,65396,41330,1308,0.067,15563,47694,0.103
Ireland,2010,3749576,3.58,12,0,13423482,1604106,0,32082,0.009,11710,14045,0.43
Israel,2010,6677810,2.12,14,1,14156957,1974896,12577,39498,0.008,19007,28211,0.297
Italy,2010,33822532,2.23,6,0,75424246,4487743,0,89755,0.003,32761,45058,0.134
Jamaica,2010,2820558,0.18,19,27,507700,96209,25525,1924,0.01,10019,59575,0.034
Japan,2010,115228891,1.71,10,0,197041404,19605620,0,392112,0.003,143121,177241,0.171
Jordan,2010,55392,1.2,12,58,66470,7943,4600,159,0.086,1737,2975,0.144
Kenya,2010,2729945,0.3,9,83,818984,73299,60610,1466,0.023,22658,87109,0.027
Kiribati,2010,94487,0.79,13,84,74645,9666,8148,193,0.088,3045,6977,0.103
Kuwait,2010,2293604,5.72,12,0,13119415,1567770,122,31355,0.014,11489,13479,0.686
Latvia,2010,1432078,1.03,12,14,1475040,176267,24651,3525,0.02,10284,16654,0.124
Lebanon,2010,3890871,1.18,8,34,4591228,365003,123700,7300,0.034,47815,101852,0.094
Liberia,2010,2148271,0.6,14,84,1288963,179810,151822,3596,0.072,56728,142787,0.084
Libya,2010,4050128,1.2,12,23,4860154,580788,132985,11616,0.036,52779,102577,0.144
Lithuania,2010,443894,1.1,12,14,488283,58350,8364,1167,0.021,3479,5478,0.132
Macao,2010,257911,1.47,25,0,379129,94593,22,1892,0.007,698,1146,0.368
Madagascar,2010,7062413,0.8,2,84,5649930,110174,92377,2203,0.013,34522,177625,0.016
Malaysia,2010,22890252,1.52,13,55,34793183,4505717,2476510,90114,0.112,936818,1765977,0.198
Maldives,2010,392567,2.48,13,66,973566,126077,83695,2522,0.22,31469,40143,0.322
Malta,2010,404707,1.78,12,6,720378,86085,5456,1722,0.018,2620,3757,0.214
Marshall Islands,2010,58086,1.2,16,77,69703,11118,8510,222,0.15,3187,5717,0.192
Martinique,2010,402257,2.1,12,0,844740,100946,33,2019,0.005,749,955,0.252
Mauritania,2010,1005481,0.5,9,82,502741,44995,37056,900,0.038,13854,39754,0.045
Mauritius,2010,1255952,2.3,10,51,2888690,287425,147817,5748,0.122,56051,73172,0.23
Mexico,2010,22647771,1.24,7,12,28083236,1951785,238616,39036,0.012,101343,233393,0.087
Micronesia (country),2010,154895,0.79,13,81,122367,15847,12818,317,0.085,4794,10699,0.103
Monaco,2010,34050,2.1,12,0,71505,8545,0,171,0.005,62,88,0.252
Montenegro,2010,260336,1.2,12,30,312403,37332,11353,747,0.046,4416,7244,0.144
Montserrat,2010,5173,1.2,12,12,6208,742,89,15,0.02,38,71,0.144
Morocco,2010,17303431,1.46,5,66,25263009,1250519,824650,25010,0.049,310126,706583,0.073
Mozambique,2010,9566559,0.14,11,84,1339318,146655,123081,2933,0.013,45995,287067,0.015
Myanmar,2010,18988522,0.44,17,87,8354950,1416164,1227208,28323,0.066,458269,1149267,0.075
Namibia,2010,155084,1.2,12,66,186101,22239,14570,445,0.097,5480,11340,0.144
Nauru,2010,15289,1.2,12,67,18347,2192,1473,44,0.099,554,1043,0.144
Netherlands,2010,8971770,2.12,20,0,19020152,3794520,0,75890,0.008,27700,32387,0.424
Netherlands Antilles,2010,227165,2.1,12,0,477047,57007,0,1140,0.005,416,368,0.252
New Caledonia,2010,257904,2.1,12,0,541598,64721,0,1294,0.005,472,702,0.252
New Zealand,2010,3862054,3.68,9,0,14212359,1272006,0,25440,0.007,9286,11517,0.331
Nicaragua,2010,3482653,1.1,13,45,3830918,496104,221353,9922,0.066,84415,169439,0.143
Nigeria,2010,27477112,0.79,13,81,21706918,2811046,2276636,56221,0.085,851493,2481008,0.103
Niue,2010,1799,2.1,12,0,3778,451,1,9,0.006,4,5,0.252
Norfolk Island,2010,2156,0.79,13,82,1703,221,182,4,0.086,68,156,0.103
North Korea,2010,17327483,0.6,9,88,10396490,930486,815165,18610,0.048,304328,610607,0.054
Northern Mariana Islands,2010,106256,2.1,12,0,223138,26665,66,533,0.006,219,309,0.252
Norway,2010,4131679,2.8,10,0,11568701,1151086,0,23022,0.006,8403,9798,0.28
Oman,2010,2597556,0.7,12,4,1818289,217286,8416,4346,0.005,4658,11774,0.084
Pakistan,2010,14581952,0.79,13,86,11519742,1491807,1286583,29836,0.09,480493,1221460,0.103
Palau,2010,23446,1.2,12,56,28135,3362,1895,67,0.084,716,1350,0.144
Palestine,2010,3045258,0.79,8,6,2405754,191257,11515,3825,0.005,5599,18676,0.063
Panama,2010,3249531,1.21,12,18,3931933,469866,84815,9397,0.029,34388,70759,0.145
Papua New Guinea,2010,2747514,0.79,13,86,2170536,281084,240502,5622,0.09,89835,242328,0.103
Peru,2010,13765608,1.2,12,25,16518730,1973988,493267,39480,0.039,194453,377111,0.144
Philippines,2010,83446862,0.5,15,81,41723431,6237653,5035956,124753,0.062,1883659,5088394,0.075
Poland,2010,3272933,0.88,11,12,2880181,315380,36715,6308,0.013,15703,26855,0.097
Portugal,2010,8507951,2.21,12,0,18802572,2246907,0,44938,0.005,16402,19382,0.265
Puerto Rico,2010,4249848,2.1,12,2,8924681,1066499,23923,21330,0.011,16517,20481,0.252
Qatar,2010,653007,1.33,12,0,868499,103786,0,2076,0.003,758,1560,0.16
Reunion,2010,809426,1.2,12,0,971311,116072,0,2321,0.003,847,1615,0.144
Romania,2010,875170,1.04,4,26,910177,35952,9172,719,0.011,3610,8261,0.042
Russia,2010,10812537,0.93,12,16,10055659,1201651,197226,24033,0.02,80759,128946,0.112
Saint Helena,2010,6839,1.2,12,25,8207,981,244,20,0.039,96,182,0.144
Saint Kitts and Nevis,2010,36102,5.45,12,6,196756,23512,1489,470,0.054,715,742,0.654
Saint Lucia,2010,163227,4.35,12,20,710037,84849,16683,1697,0.113,6709,8610,0.522
Saint Pierre and Miquelon,2010,5888,2.1,12,0,12365,1478,0,30,0.005,11,15,0.252
Saint Vincent and the Grenadines,2010,120149,1.7,13,21,204253,26451,5621,529,0.051,2245,2996,0.221
Samoa,2010,168025,0.79,13,80,132740,17190,13688,344,0.084,5122,10989,0.103
Sao Tome and Principe,2010,163740,0.79,13,81,129355,16751,13587,335,0.085,5081,13309,0.103
Saudi Arabia,2010,3593471,1.3,12,8,4671512,558246,45142,11165,0.016,20552,43855,0.156
Senegal,2010,8125063,0.79,13,82,6418800,831235,681376,16625,0.086,254770,738264,0.103
Seychelles,2010,91361,2.98,12,37,272256,32535,12005,651,0.139,4619,5478,0.358
Sierra Leone,2010,2887017,0.45,9,84,1299158,116275,97423,2325,0.035,36408,121312,0.041
Singapore,2010,4492494,1.49,13,0,6693816,866849,393,17337,0.004,6472,10878,0.194
Sint Maarten (Dutch part),2010,37429,2.1,12,0,78601,9393,3,188,0.005,70,98,0.252
Slovenia,2010,336594,1.21,12,1,407279,48670,550,973,0.005,556,985,0.145
Solomon Islands,2010,618678,0.79,13,86,488756,63294,54608,1266,0.09,20394,176589,0.103
Somalia,2010,5971169,0.6,9,85,3582701,320652,271753,6413,0.047,101531,289601,0.054
South Africa,2010,12899201,2,12,54,25798402,3082909,1664382,61658,0.134,630005,836279,0.24
South Korea,2010,41654619,1.24,9,0,51651728,4622830,0,92457,0.001,33747,52764,0.112
Spain,2010,22771488,2.13,13,0,48503269,6281173,0,125623,0.006,45853,58932,0.277
Sri Lanka,2010,14568174,5.1,7,82,74297687,5163689,4256120,103274,0.299,1591179,1918670,0.357
Sudan,2010,752529,0.79,13,80,594498,76987,61277,1540,0.083,22928,52061,0.103
Suriname,2010,402263,1.36,12,15,547078,65376,9493,1308,0.027,3942,6394,0.163
Sweden,2010,6202234,1.61,3,0,9985597,294575,0,5892,0.001,2150,5245,0.048
Syria,2010,3621997,1.37,13,65,4962136,642597,419763,12852,0.119,157904,304960,0.178
Taiwan,2010,22211567,2.1,12,0,46644291,5573993,13776,111480,0.006,45718,64631,0.252
Tanzania,2010,6688695,0.26,9,84,1739061,155646,129999,3113,0.02,48586,214196,0.023
Thailand,2010,26043442,1.2,12,73,31252130,3734630,2741031,74693,0.108,1027739,2179508,0.144
Togo,2010,1991642,0.52,11,84,1035654,113404,94721,2268,0.049,35401,96994,0.057
Tokelau,2010,1379,0.79,13,82,1089,141,116,3,0.086,43,100,0.103
Tonga,2010,102872,3.71,6,78,381655,22708,17694,454,0.176,6624,10272,0.223
Trinidad and Tobago,2010,1358433,1.47,25,3,19561435,4880578,160103,97612,0.19,94066,73512,0.29
Tunisia,2010,7274973,1.2,12,60,8729968,1043231,621077,20865,0.088,234309,440701,0.144
Turkey,2010,34042862,1.77,12,16,60255866,7200576,1187323,144012,0.039,485937,790235,0.212
Turks and Caicos Islands,2010,22570,2.1,12,0,47397,5664,22,113,0.006,49,70,0.252
Tuvalu,2010,11563,1.2,12,73,13876,1658,1218,33,0.108,457,861,0.144
Ukraine,2010,6812799,0.79,13,49,5382111,696983,338841,13940,0.052,128765,233388,0.103
United Arab Emirates,2010,2018302,1.66,12,0,3350381,400371,256,8007,0.004,3016,5910,0.199
United Kingdom,2010,43258889,1.79,12,0,77433411,9253293,0,185066,0.004,67549,94165,0.215
United States,2010,112925034,2.58,13,0,291346588,37729383,0,754588,0.007,275424,336819,0.335
Uruguay,2010,2433597,2.1,12,8,5110554,610711,46861,12214,0.024,21562,8037,0.252
Vanuatu,2010,251851,3.28,9,81,826071,73933,60104,1479,0.245,22478,38006,0.295
Venezuela,2010,16094897,2.1,12,5,33799284,4039014,199585,80780,0.017,102333,154243,0.252
Vietnam,2010,55858245,0.79,13,86,44128014,5714578,4909870,114292,0.09,1833819,4172828,0.103
World,2010,,,,,,,,,,31865274,69143290,
Yemen,2010,6048920,0.79,13,73,4778647,618835,451134,12377,0.077,169181,513907,0.103
