Entity,Year,Plastic waste generated (% global total),Mismanaged waste (% global total),Mismanaged waste in 2025 (% global total)
Eritrea,2010,0.0208,0.0511,0.0629
Eritrea,2025,0.0629,,
Estonia,2010,0.0566,0.0188,0.0121
Estonia,2025,0.0121,,
Faeroe Islands,2010,0.0047,0.0003,0.0002
Faeroe Islands,2025,0.0002,,
Falkland Islands,2010,0.0002,0.0000,0.0000
Falkland Islands,2025,0.0000,,
Fiji,2010,0.0618,0.1547,0.1028
Fiji,2025,0.1028,,
Finland,2010,0.2506,0.0157,0.0093
Finland,2025,0.0093,,
France,2010,1.2118,0.0757,0.0502
France,2025,0.0502,,
French Guiana,2010,0.0088,0.0074,0.0081
French Guiana,2025,0.0081,,
French Polynesia,2010,0.0249,0.0040,0.0026
French Polynesia,2025,0.0026,,
Gabon,2010,0.0170,0.0191,0.0224
Gabon,2025,0.0224,,
Gambia,2010,0.0230,0.0616,0.0774
Gambia,2025,0.0774,,
Georgia,2010,0.0275,0.0454,0.0355
Georgia,2025,0.0355,,
Germany,2010,1.5702,0.0981,0.0482
Germany,2025,0.0482,,
Ghana,2010,0.1109,0.2876,0.4706
Ghana,2025,0.4706,,
Gibraltar,2010,0.0031,0.0002,0.0001
Gibraltar,2025,0.0001,,
Greece,2010,0.7152,0.0447,0.0270
Greece,2025,0.0270,,
Greenland,2010,0.0053,0.0003,0.0002
Greenland,2025,0.0002,,
Grenada,2010,0.0114,0.0071,0.0035
Grenada,2025,0.0035,,
Guadeloupe,2010,0.0245,0.0206,0.0167
Guadeloupe,2025,0.0167,,
Guam,2010,0.0176,0.0012,0.0008
Guam,2025,0.0008,,
Guatemala,2010,0.2449,0.2875,0.2283
Guatemala,2025,0.2283,,
Guernsey,2010,0.0052,0.0003,0.0002
Guernsey,2025,0.0002,,
Guinea,2010,0.0218,0.0581,0.0867
Guinea,2025,0.0867,,
Guinea-Bissau,2010,0.0238,0.0636,0.0752
Guinea-Bissau,2025,0.0752,,
Guyana,2010,0.1099,0.1319,0.0523
Guyana,2025,0.0523,,
Haiti,2010,0.3007,0.4628,0.4693
Haiti,2025,0.4693,,
Honduras,2010,0.2290,0.3003,0.2738
Honduras,2025,0.2738,,
Hong Kong,2010,1.1032,0.0895,0.0544
Hong Kong,2025,0.0544,,
Iceland,2010,0.0301,0.0019,0.0013
Iceland,2025,0.0013,,
India,2010,0.6900,1.8836,4.1711
India,2025,4.1711,,
Indonesia,2010,3.9117,10.1019,10.7345
Indonesia,2025,10.7345,,
Iran,2010,0.4788,0.7769,0.6660
Iran,2025,0.6660,,
Iraq,2010,0.0240,0.0489,0.0690
Iraq,2025,0.0690,,
Ireland,2010,0.5886,0.0368,0.0203
Ireland,2025,0.0203,,
Israel,2010,0.7247,0.0597,0.0408
Israel,2025,0.0408,,
Italy,2010,1.6467,0.1029,0.0652
Italy,2025,0.0652,,
Jamaica,2010,0.0353,0.0315,0.0862
Jamaica,2025,0.0862,,
Japan,2010,7.1940,0.4494,0.2566
Japan,2025,0.2566,,
Jordan,2010,0.0029,0.0055,0.0043
Jordan,2025,0.0043,,
Kenya,2010,0.0269,0.0712,0.1261
Kenya,2025,0.1261,,
Kiribati,2010,0.0035,0.0096,0.0101
Kiribati,2025,0.0101,,
Kuwait,2010,0.5753,0.0361,0.0195
Kuwait,2025,0.0195,,
Latvia,2010,0.0647,0.0323,0.0241
Latvia,2025,0.0241,,
Lebanon,2010,0.1339,0.1502,0.1474
Lebanon,2025,0.1474,,
Liberia,2010,0.0660,0.1781,0.2067
Liberia,2025,0.2067,,
Libya,2010,0.2131,0.1657,0.1485
Libya,2025,0.1485,,
Lithuania,2010,0.0214,0.0109,0.0079
Lithuania,2025,0.0079,,
Macao,2010,0.0347,0.0022,0.0017
Macao,2025,0.0017,,
Madagascar,2010,0.0404,0.1084,0.2571
Madagascar,2025,0.2571,,
Malaysia,2010,1.6533,2.9419,2.5565
Malaysia,2025,2.5565,,
Maldives,2010,0.0463,0.0988,0.0581
Maldives,2025,0.0581,,
Malta,2010,0.0316,0.0082,0.0054
Malta,2025,0.0054,,
Marshall Islands,2010,0.0041,0.0100,0.0083
Marshall Islands,2025,0.0083,,
Martinique,2010,0.0370,0.0024,0.0014
Martinique,2025,0.0014,,
Mauritania,2010,0.0165,0.0435,0.0575
Mauritania,2025,0.0575,,
Mauritius,2010,0.1055,0.1760,0.1059
Mauritius,2025,0.1059,,
Mexico,2010,0.7162,0.3182,0.3379
Mexico,2025,0.3379,,
Micronesia (country),2010,0.0058,0.0151,0.0155
Micronesia (country),2025,0.0155,,
Monaco,2010,0.0031,0.0002,0.0001
Monaco,2025,0.0001,,
Montenegro,2010,0.0137,0.0139,0.0105
Montenegro,2025,0.0105,,
Montserrat,2010,0.0003,0.0001,0.0001
Montserrat,2025,0.0001,,
Morocco,2010,0.4589,0.9739,1.0229
Morocco,2025,1.0229,,
Mozambique,2010,0.0538,0.1444,0.4156
Mozambique,2025,0.4156,,
Myanmar,2010,0.5196,1.4391,1.6637
Myanmar,2025,1.6637,,
Namibia,2010,0.0082,0.0172,0.0164
Namibia,2025,0.0164,,
Nauru,2010,0.0008,0.0017,0.0015
Nauru,2025,0.0015,,
Netherlands,2010,1.3923,0.0870,0.0469
Netherlands,2025,0.0469,,
Netherlands Antilles,2010,0.0209,0.0013,0.0005
Netherlands Antilles,2025,0.0005,,
New Caledonia,2010,0.0237,0.0015,0.0010
New Caledonia,2025,0.0010,,
New Zealand,2010,0.4667,0.0292,0.0167
New Zealand,2025,0.0167,,
Nicaragua,2010,0.1820,0.2651,0.2453
Nicaragua,2025,0.2453,,
Nigeria,2010,1.0315,2.6740,3.5916
Nigeria,2025,3.5916,,
Niue,2010,0.0002,0.0000,0.0000
Niue,2025,0.0000,,
Norfolk Island,2010,0.0001,0.0002,0.0002
Norfolk Island,2025,0.0002,,
North Korea,2010,0.3414,0.9557,0.8839
North Korea,2025,0.8839,,
Northern Mariana Islands,2010,0.0098,0.0007,0.0004
Northern Mariana Islands,2025,0.0004,,
Norway,2010,0.4224,0.0264,0.0142
Norway,2025,0.0142,,
Oman,2010,0.0797,0.0146,0.0170
Oman,2025,0.0170,,
Pakistan,2010,0.5474,1.5089,1.7682
Pakistan,2025,1.7682,,
Palau,2010,0.0012,0.0022,0.0020
Palau,2025,0.0020,,
Palestine,2010,0.0702,0.0176,0.0270
Palestine,2025,0.0270,,
Panama,2010,0.1724,0.1080,0.1024
Panama,2025,0.1024,,
Papua New Guinea,2010,0.1031,0.2821,0.3508
Papua New Guinea,2025,0.3508,,
Peru,2010,0.7243,0.6106,0.5459
Peru,2025,0.5459,,
Philippines,2010,2.2888,5.9153,7.3661
Philippines,2025,7.3661,,
Poland,2010,0.1157,0.0493,0.0389
Poland,2025,0.0389,,
Portugal,2010,0.8245,0.0515,0.0281
Portugal,2025,0.0281,,
Puerto Rico,2010,0.3913,0.0519,0.0296
Puerto Rico,2025,0.0296,,
Qatar,2010,0.0381,0.0024,0.0023
Qatar,2025,0.0023,,
Reunion,2010,0.0426,0.0027,0.0023
Reunion,2025,0.0023,,
Romania,2010,0.0132,0.0113,0.0120
Romania,2025,0.0120,,
Russia,2010,0.4409,0.2536,0.1867
Russia,2025,0.1867,,
Saint Helena,2010,0.0004,0.0003,0.0003
Saint Helena,2025,0.0003,,
Saint Kitts and Nevis,2010,0.0086,0.0022,0.0011
Saint Kitts and Nevis,2025,0.0011,,
Saint Lucia,2010,0.0311,0.0211,0.0125
Saint Lucia,2025,0.0125,,
Saint Pierre and Miquelon,2010,0.0005,0.0000,0.0000
Saint Pierre and Miquelon,2025,0.0000,,
Saint Vincent and the Grenadines,2010,0.0097,0.0070,0.0043
Saint Vincent and the Grenadines,2025,0.0043,,
Samoa,2010,0.0063,0.0161,0.0159
Samoa,2025,0.0159,,
Sao Tome and Principe,2010,0.0061,0.0160,0.0193
Sao Tome and Principe,2025,0.0193,,
Saudi Arabia,2010,0.2048,0.0645,0.0635
Saudi Arabia,2025,0.0635,,
Senegal,2010,0.3050,0.8001,1.0687
Senegal,2025,1.0687,,
Seychelles,2010,0.0119,0.0145,0.0079
Seychelles,2025,0.0079,,
Sierra Leone,2010,0.0427,0.1143,0.1756
Sierra Leone,2025,0.1756,,
Singapore,2010,0.3181,0.0203,0.0157
Singapore,2025,0.0157,,
Sint Maarten (Dutch part),2010,0.0034,0.0002,0.0001
Sint Maarten (Dutch part),2025,0.0001,,
Slovenia,2010,0.0179,0.0017,0.0014
Slovenia,2025,0.0014,,
Solomon Islands,2010,0.0232,0.0640,0.2556
Solomon Islands,2025,0.2556,,
Somalia,2010,0.1177,0.3188,0.4192
Somalia,2025,0.4192,,
South Africa,2010,1.1312,1.9784,1.2106
South Africa,2025,1.2106,,
South Korea,2010,1.6963,0.1060,0.0764
South Korea,2025,0.0764,,
Spain,2010,2.3048,0.1440,0.0853
Spain,2025,0.0853,,
Sri Lanka,2010,1.8947,4.9968,2.7775
Sri Lanka,2025,2.7775,,
Sudan,2010,0.0282,0.0720,0.0754
Sudan,2025,0.0754,,
Suriname,2010,0.0240,0.0124,0.0093
Suriname,2025,0.0093,,
Sweden,2010,0.1081,0.0068,0.0076
Sweden,2025,0.0076,,
Syria,2010,0.2358,0.4959,0.4415
Syria,2025,0.4415,,
Taiwan,2010,2.0453,0.1436,0.0936
Taiwan,2025,0.0936,,
Tanzania,2010,0.0571,0.1526,0.3101
Tanzania,2025,0.3101,,
Thailand,2010,1.3704,3.2274,3.1551
Thailand,2025,3.1551,,
Togo,2010,0.0416,0.1112,0.1404
Togo,2025,0.1404,,
Tokelau,2010,0.0001,0.0001,0.0001
Tokelau,2025,0.0001,,
Tonga,2010,0.0083,0.0208,0.0149
Tonga,2025,0.0149,,
Trinidad and Tobago,2010,1.7909,0.2954,0.1064
Trinidad and Tobago,2025,0.1064,,
Tunisia,2010,0.3828,0.7358,0.6380
Tunisia,2025,0.6380,,
Turkey,2010,2.6422,1.5260,1.1440
Turkey,2025,1.1440,,
Turks and Caicos Islands,2010,0.0021,0.0002,0.0001
Turks and Caicos Islands,2025,0.0001,,
Tuvalu,2010,0.0006,0.0014,0.0012
Tuvalu,2025,0.0012,,
Ukraine,2010,0.2557,0.4044,0.3379
Ukraine,2025,0.3379,,
United Arab Emirates,2010,0.1469,0.0095,0.0086
United Arab Emirates,2025,0.0086,,
United Kingdom,2010,3.3954,0.2121,0.1363
United Kingdom,2025,0.1363,,
United States,2010,13.8443,0.8649,0.4876
United States,2025,0.4876,,
Uruguay,2010,0.2241,0.0677,0.0116
Uruguay,2025,0.0116,,
Vanuatu,2010,0.0271,0.0706,0.0550
Vanuatu,2025,0.0550,,
Venezuela,2010,1.4821,0.3214,0.2233
Venezuela,2025,0.2233,,
Vietnam,2010,2.0969,5.7588,6.0407
Vietnam,2025,6.0407,,
Yemen,2010,0.227,0.531,0.744
Yemen,2025,0.744,,
