Entity,Year,Total health expenditure per capita (WHO (2017)),Out of Pocket Expenditure (OOPS) (WHO (2017)),External Resources on Health (WHO (2017)),GDP per capita (World Bank (2017))
Egypt,2014,177.7683606,55.66365484,1.25582851,3365.707421
El Salvador,2014,279.6467283,28.84781265,1.95491803,4102.063852
Equatorial Guinea,2014,663.0542294,20.14595434,0,26144.9405
Eritrea,2014,25.20042878,54.24416247,28.47491356,
Estonia,2014,1248.279632,20.71983229,,19941.4527
Ethiopia,2014,26.64777614,32.26457335,41.69485433,573.5659603
Fiji,2014,204.0112117,22.99607246,,5042.371396
Finland,2014,4612.290456,18.23218997,,49914.61864
France,2014,4958.989226,6.33740784,,42843.01322
Gabon,2014,321.3300907,21.87124713,0.81898938,10772.06175
Gambia,2014,30.72368182,17.04867598,45.50381126,440.3703892
Georgia,2014,302.6006332,58.57930065,2.30978854,4429.650075
Germany,2014,5410.634639,13.19748255,,47902.65288
Ghana,2014,57.89263246,26.84232846,15.37720781,1441.636453
Greece,2014,1743.037533,34.86415963,,21673.78107
Grenada,2014,505.8299094,50.92678885,4.52897275,8570.663396
Guatemala,2014,232.6252272,52.21633194,2.0087253,3666.579838
Guinea,2014,30.46022073,45.32853909,12.57012842,539.615775
Guinea-Bissau,2014,37.27708811,49.48848372,25.3525154,615.9396826
Guyana,2014,221.7832703,37.43755701,7.31066884,4028.163991
Haiti,2014,61.45512168,34.81658966,32.73982781,831.5905217
Honduras,2014,212.3151508,43.46306466,7.84336839,2434.280046
Hungary,2014,1036.623859,26.59021511,,14117.97668
Iceland,2014,4661.621362,17.47511941,,52475.1278
India,2014,74.99460433,62.41736322,0.95014852,1569.941828
Indonesia,2014,99.41035911,46.86519553,1.05628619,3499.588735
Iran,2014,406.3492227,40.63325391,0,5442.874771
Iraq,2014,292.0043788,39.73234481,0,6484.529337
Ireland,2014,4239.154489,17.66426677,,55503.32726
Israel,2014,2910.288637,26.98297487,,37582.84624
Italy,2014,3257.75341,21.18616196,,35365.10412
Jamaica,2014,266.1901164,27.81457549,2.81376938,4993.193756
Japan,2014,3702.952775,13.91121619,,38139.42236
Jordan,2014,358.9124715,20.86926547,5.98909747,4830.976915
Kazakhstan,2014,538.7827771,45.13577331,0,12806.56511
Kenya,2014,77.69658603,26.10559057,27.54941734,1368.491132
Kiribati,2014,154.1717478,0,13.81393968,1684.321292
Kuwait,2014,1385.776935,12.73600502,,43332.40625
Kyrgyzstan,2014,81.5662616,39.40230524,8.57192907,1279.769783
Laos,2014,32.56967352,38.97979164,31.82371773,1754.896196
Latvia,2014,920.7037654,35.13403506,,15710.16771
Lebanon,2014,568.7148319,36.41711068,1.01703019,8148.639167
Lesotho,2014,105.1127528,16.48061483,52.24283171,1203.695893
Liberia,2014,46.27042196,30.73108127,49.06750087,457.8585865
Libya,2014,371.7218704,26.4615227,0,
Lithuania,2014,1063.421183,31.2651939,4.80388863,16555.64652
Luxembourg,2014,8137.520806,10.60252853,,117507.8086
Macedonia,2014,353.9253425,36.66967495,0.7840129,
Madagascar,2014,13.67082999,41.36157061,39.84700596,452.8103949
Malawi,2014,29.01885819,10.63512718,73.7810467,362.6930683
Malaysia,2014,455.8255255,35.30071082,0,11305.9001
Maldives,2014,1165.12515,18.26099961,0,7716.204015
Mali,2014,48.65624944,45.99056464,27.2434136,819.6212972
Malta,2014,2470.59851,28.85806386,,25125.09562
Marshall Islands,2014,625.2021795,11.79009319,33.37269712,3461.645096
Mauritania,2014,48.83750877,43.84633918,11.88880113,1370.985212
Mauritius,2014,482.4541727,46.4223337,3.83112971,10153.93822
Mexico,2014,677.1899867,43.99573201,,10353.44798
Micronesia (country),2014,414.9857828,9.06011057,65.42220259,3057.091231
Moldova,2014,228.8466711,38.38943562,5.7075943,
Monaco,2014,8148.808358,7,,
Mongolia,2014,195.3334787,41.63444917,4.67837417,4201.737722
Montenegro,2014,457.6649363,42.84490709,0.92849072,7378.042271
Morocco,2014,190.0539696,58.4108695,1.60611462,3186.60876
Mozambique,2014,41.99657338,9.47638768,48.69429651,623.1979366
Myanmar,2014,20.28780579,50.68924186,21.80598083,1227.137217
Namibia,2014,200.5485329,,19.93165369,5349.447676
Nauru,2014,516.4416809,1.79962959,23.87161787,9872.636499
Nepal,2014,39.86817954,47.65267728,12.63303956,703.1825707
Netherlands,2014,5693.859921,5.2213441,,52157.40687
New Zealand,2014,4896.348025,11.0448104,,44380.42658
Nicaragua,2014,177.4628952,37.54052986,5.47486814,1960.490908
Niger,2014,25.25662967,54.70173204,14.40895265,431.3816821
Nigeria,2014,117.520545,71.6687143,6.71756099,3080.31727
Niue,2014,1162.203957,1.64262206,63.95350928,
Norway,2014,9522.221658,13.60863751,,97005.49856
Oman,2014,675.0433935,5.78115552,7.99355424,19129.84422
Pakistan,2014,36.15485065,56.28250693,,1320.55355
Palau,2014,1150.302172,15.3535995,38.75485865,11892.68616
Panama,2014,958.9817662,22.26752143,0.68103501,12712.43132
Papua New Guinea,2014,92.35819164,10.46107359,21.09993108,2268.172539
Paraguay,2014,464.0923634,49.42423233,0,4712.870205
Peru,2014,358.5769444,28.61904117,0.73978542,6490.18119
Philippines,2014,135.2022258,53.68513987,1.35565594,2873.088189
Poland,2014,910.2837803,23.45940208,,14341.85993
Portugal,2014,2096.823176,26.84162392,,22077.53613
Qatar,2014,2106.355503,6.86107701,,94944.08559
Romania,2014,556.8096847,18.87093587,,10020.27733
Russia,2014,892.8515629,45.84543803,,14125.9061
Rwanda,2014,52.48366269,28.13008159,46.18230357,697.6265013
Saint Kitts and Nevis,2014,770.5368532,50.76664669,0.99658999,15429.85922
Saint Lucia,2014,499.5702282,45.57009471,6.69007712,7548.196954
Saint Vincent and the Grenadines,2014,575.057346,49.18770234,1.19659512,6656.115717
Samoa,2014,301.0971126,5.88489926,23.75786581,4172.2171
San Marino,2014,3459.066537,5.82226233,,
Saudi Arabia,2014,1147.445577,14.30891904,,24406.47646
Senegal,2014,49.53139304,37.2844126,20.63302603,1041.717461
Serbia,2014,632.9248415,36.58918371,0,6200.173221
Seychelles,2014,494.1282842,2.33873697,4.30577025,15570.77892
Sierra Leone,2014,85.90729075,60.95901706,17.11556311,794.087082
Singapore,2014,2752.320439,54.82868321,,56007.28821
Slovakia,2014,1454.81013,22.53609096,,18595.15111
Slovenia,2014,2160.746701,12.06581854,,24020.67286
Solomon Islands,2014,102.2431255,4.60885583,56.55194069,2021.359214
South Africa,2014,570.2060736,6.49122387,1.83996359,6488.016875
South Korea,2014,2060.248497,36.08683485,,
South Sudan,2014,30.04834312,54.15002784,42.37593851,1115.093515
Spain,2014,2658.270424,23.99499858,,29600.47225
Sri Lanka,2014,127.3317445,42.09217075,1.32039517,3852.742066
Sudan,2014,129.8438771,75.51893485,2.64004541,2087.700544
Suriname,2014,588.627784,11.39916109,1.51594468,9680.115914
Swaziland,2014,247.8964248,10.28669173,21.65834848,3539.918351
Sweden,2014,6807.717778,14.06425667,,59180.19898
Switzerland,2014,9673.523535,26.8,,85814.58857
Syria,2014,66.45497393,53.69023192,0.68283837,
Tajikistan,2014,76.39130143,61.69458336,8.22169014,1113.366354
Tanzania,2014,51.71747631,23.21186131,35.94477579,
Thailand,2014,227.5171548,11.92299983,0.77564567,5969.940116
Timor,2014,57.08171056,9.56646817,31.57539968,1208.785512
Togo,2014,33.89092289,46.24472193,23.43340895,630.0460614
Tonga,2014,212.9750355,11.93526507,19.28784862,4200.132045
Trinidad and Tobago,2014,1136.305529,37.98364456,,19325.3855
Tunisia,2014,305.305519,37.72782384,0,4276.960399
Turkey,2014,567.6311267,17.75092348,,10303.69871
Turkmenistan,2014,186.7162285,34.77123283,0.67276316,8199.009383
Tuvalu,2014,632.8411611,0.79748287,13.39018011,3766.26806
Uganda,2014,52.29424027,40.95789382,,734.7440153
Ukraine,2014,202.6585798,46.21546909,0.64045546,3104.658296
United Arab Emirates,2014,1610.79898,17.80632795,,44238.59977
United Kingdom,2014,3934.823561,9.73311031,,46412.11727
United States,2014,9402.536971,11.04644464,,54539.66558
Uruguay,2014,1442.276451,15.57683672,0,16737.9731
Uzbekistan,2014,124.1090975,43.93235457,0.90813069,2036.691723
Vanuatu,2014,157.5106888,5.78819648,48.30386201,3147.963779
Venezuela,2014,873.3843222,64.33365191,0,
Vietnam,2014,142.3738891,36.75884027,2.65735692,2052.319084
Yemen,2014,79.93696624,76.41697531,6.38369248,1650.974597
Zambia,2014,85.85307416,29.9948809,38.40390371,1726.992844
Zimbabwe,2014,55.86511249,33.79319365,,931.1981847
