Entity,Year,Universal suffrage to women (OWID based on Paxton et al (2006)),First women in parliament (OWID based on Paxton et al (2006)),10% Share of women in parliament (OWID based on Paxton et al (2006)),20% Share of women in parliament (OWID based on Paxton et al (2006)),30% Share of women in parliament (OWID based on Paxton et al (2006))
Algeria,1986,Yes,Yes,No,No,No
Algeria,1987,Yes,Yes,No,No,No
Algeria,1988,Yes,Yes,No,No,No
Algeria,1989,Yes,Yes,No,No,No
Algeria,1990,Yes,Yes,No,No,No
Algeria,1991,Yes,Yes,No,No,No
Algeria,1992,Yes,Yes,Yes,No,No
Algeria,1993,Yes,Yes,Yes,No,No
Algeria,1994,Yes,Yes,Yes,No,No
Algeria,1995,Yes,Yes,Yes,No,No
Algeria,1996,Yes,Yes,Yes,No,No
Algeria,1997,Yes,Yes,Yes,No,No
Algeria,1998,Yes,Yes,Yes,No,No
Algeria,1999,Yes,Yes,Yes,No,No
Algeria,2000,Yes,Yes,Yes,No,No
Algeria,2001,Yes,Yes,Yes,No,No
Algeria,2002,Yes,Yes,Yes,No,No
Algeria,2003,Yes,Yes,Yes,No,No
Algeria,2004,Yes,Yes,Yes,No,No
Algeria,2005,Yes,Yes,Yes,No,No
Algeria,2006,Yes,Yes,Yes,No,No
Algeria,2007,Yes,Yes,Yes,No,No
Algeria,2008,Yes,Yes,Yes,No,No
Algeria,2009,Yes,Yes,Yes,No,No
Algeria,2010,Yes,Yes,Yes,No,No
Algeria,2011,Yes,Yes,Yes,No,No
Algeria,2012,Yes,Yes,Yes,Yes,Yes
Algeria,2013,Yes,Yes,Yes,Yes,Yes
Algeria,2014,Yes,Yes,Yes,Yes,Yes
Algeria,2015,Yes,Yes,Yes,Yes,Yes
Algeria,2016,Yes,Yes,Yes,Yes,Yes
Algeria,2017,Yes,Yes,Yes,Yes,Yes
American Samoa,1962,No,No,No,No,No
American Samoa,1963,No,No,No,No,No
American Samoa,1964,No,No,No,No,No
American Samoa,1965,No,No,No,No,No
American Samoa,1966,No,No,No,No,No
American Samoa,1967,No,No,No,No,No
American Samoa,1968,No,No,No,No,No
American Samoa,1969,No,No,No,No,No
American Samoa,1970,No,No,No,No,No
American Samoa,1971,No,No,No,No,No
American Samoa,1972,No,No,No,No,No
American Samoa,1973,No,No,No,No,No
American Samoa,1974,No,No,No,No,No
American Samoa,1975,No,No,No,No,No
American Samoa,1976,No,No,No,No,No
American Samoa,1977,No,No,No,No,No
American Samoa,1978,No,No,No,No,No
American Samoa,1979,No,No,No,No,No
American Samoa,1980,No,No,No,No,No
American Samoa,1981,No,No,No,No,No
American Samoa,1982,No,No,No,No,No
American Samoa,1983,No,No,No,No,No
American Samoa,1984,No,No,No,No,No
American Samoa,1985,No,No,No,No,No
American Samoa,1986,No,No,No,No,No
American Samoa,1987,No,No,No,No,No
American Samoa,1988,No,No,No,No,No
American Samoa,1989,No,No,No,No,No
American Samoa,1990,Yes,No,No,No,No
American Samoa,1991,Yes,Yes,No,No,No
American Samoa,1992,Yes,Yes,No,No,No
American Samoa,1993,Yes,Yes,No,No,No
American Samoa,1994,Yes,Yes,No,No,No
American Samoa,1995,Yes,Yes,No,No,No
American Samoa,1996,Yes,Yes,No,No,No
American Samoa,1997,Yes,Yes,No,No,No
American Samoa,1998,Yes,Yes,No,No,No
American Samoa,1999,Yes,Yes,No,No,No
American Samoa,2000,Yes,Yes,No,No,No
American Samoa,2001,Yes,Yes,No,No,No
American Samoa,2002,Yes,Yes,No,No,No
American Samoa,2003,Yes,Yes,No,No,No
American Samoa,2004,Yes,Yes,No,No,No
American Samoa,2005,Yes,Yes,No,No,No
American Samoa,2006,Yes,Yes,No,No,No
American Samoa,2007,Yes,Yes,No,No,No
American Samoa,2008,Yes,Yes,No,No,No
American Samoa,2009,Yes,Yes,No,No,No
American Samoa,2010,Yes,Yes,No,No,No
American Samoa,2011,Yes,Yes,No,No,No
American Samoa,2012,Yes,Yes,No,No,No
American Samoa,2013,Yes,Yes,No,No,No
American Samoa,2014,Yes,Yes,No,No,No
American Samoa,2015,Yes,Yes,No,No,No
American Samoa,2016,Yes,Yes,No,No,No
American Samoa,2017,Yes,Yes,No,No,No
Andorra,1993,Yes,Yes,No,No,No
Andorra,1994,Yes,Yes,No,No,No
Andorra,1995,Yes,Yes,No,No,No
Andorra,1996,Yes,Yes,No,No,No
Andorra,1997,Yes,Yes,No,No,No
Andorra,1998,Yes,Yes,No,No,No
Andorra,1999,Yes,Yes,No,No,No
Andorra,2000,Yes,Yes,No,No,No
Andorra,2001,Yes,Yes,Yes,No,No
Andorra,2002,Yes,Yes,Yes,No,No
Andorra,2003,Yes,Yes,Yes,No,No
Andorra,2004,Yes,Yes,Yes,No,No
Andorra,2005,Yes,Yes,Yes,Yes,No
Andorra,2006,Yes,Yes,Yes,Yes,No
Andorra,2007,Yes,Yes,Yes,Yes,No
Andorra,2008,Yes,Yes,Yes,Yes,No
Andorra,2009,Yes,Yes,Yes,Yes,Yes
Andorra,2010,Yes,Yes,Yes,Yes,Yes
Andorra,2011,Yes,Yes,Yes,Yes,Yes
Andorra,2012,Yes,Yes,Yes,Yes,Yes
Andorra,2013,Yes,Yes,Yes,Yes,Yes
Andorra,2014,Yes,Yes,Yes,Yes,Yes
Andorra,2015,Yes,Yes,Yes,Yes,Yes
Andorra,2016,Yes,Yes,Yes,Yes,Yes
Andorra,2017,Yes,Yes,Yes,Yes,Yes
Angola,1975,Yes,No,No,No,No
Angola,1976,Yes,No,No,No,No
Angola,1977,Yes,No,No,No,No
Angola,1978,Yes,No,No,No,No
Angola,1979,Yes,No,No,No,No
Angola,1980,Yes,Yes,No,No,No
Angola,1981,Yes,Yes,No,No,No
Angola,1982,Yes,Yes,No,No,No
Angola,1983,Yes,Yes,No,No,No
Angola,1984,Yes,Yes,No,No,No
Angola,1985,Yes,Yes,No,No,No
Angola,1986,Yes,Yes,Yes,No,No
Angola,1987,Yes,Yes,Yes,No,No
Angola,1988,Yes,Yes,Yes,No,No
Angola,1989,Yes,Yes,Yes,No,No
Angola,1990,Yes,Yes,Yes,No,No
Angola,1991,Yes,Yes,Yes,No,No
Angola,1992,Yes,Yes,Yes,No,No
Angola,1993,Yes,Yes,Yes,No,No
Angola,1994,Yes,Yes,Yes,No,No
Angola,1995,Yes,Yes,Yes,No,No
Angola,1996,Yes,Yes,Yes,No,No
Angola,1997,Yes,Yes,Yes,No,No
Angola,1998,Yes,Yes,Yes,No,No
Angola,1999,Yes,Yes,Yes,No,No
Angola,2000,Yes,Yes,Yes,No,No
Angola,2001,Yes,Yes,Yes,No,No
Angola,2002,Yes,Yes,Yes,No,No
Angola,2003,Yes,Yes,Yes,No,No
Angola,2004,Yes,Yes,Yes,No,No
Angola,2005,Yes,Yes,Yes,No,No
Angola,2006,Yes,Yes,Yes,No,No
Angola,2007,Yes,Yes,Yes,No,No
Angola,2008,Yes,Yes,Yes,Yes,Yes
Angola,2009,Yes,Yes,Yes,Yes,Yes
Angola,2010,Yes,Yes,Yes,Yes,Yes
Angola,2011,Yes,Yes,Yes,Yes,Yes
Angola,2012,Yes,Yes,Yes,Yes,Yes
Angola,2013,Yes,Yes,Yes,Yes,Yes
Angola,2014,Yes,Yes,Yes,Yes,Yes
Angola,2015,Yes,Yes,Yes,Yes,Yes
Angola,2016,Yes,Yes,Yes,Yes,Yes
Angola,2017,Yes,Yes,Yes,Yes,Yes
Antigua and Barbuda,1981,Yes,No,No,No,No
Antigua and Barbuda,1982,Yes,No,No,No,No
Antigua and Barbuda,1983,Yes,No,No,No,No
Antigua and Barbuda,1984,Yes,Yes,No,No,No
Antigua and Barbuda,1985,Yes,Yes,No,No,No
Antigua and Barbuda,1986,Yes,Yes,No,No,No
Antigua and Barbuda,1987,Yes,Yes,No,No,No
Antigua and Barbuda,1988,Yes,Yes,No,No,No
Antigua and Barbuda,1989,Yes,Yes,No,No,No
Antigua and Barbuda,1990,Yes,Yes,No,No,No
Antigua and Barbuda,1991,Yes,Yes,No,No,No
Antigua and Barbuda,1992,Yes,Yes,No,No,No
Antigua and Barbuda,1993,Yes,Yes,No,No,No
Antigua and Barbuda,1994,Yes,Yes,No,No,No
Antigua and Barbuda,1995,Yes,Yes,No,No,No
Antigua and Barbuda,1996,Yes,Yes,No,No,No
Antigua and Barbuda,1997,Yes,Yes,No,No,No
Antigua and Barbuda,1998,Yes,Yes,No,No,No
Antigua and Barbuda,1999,Yes,Yes,No,No,No
Antigua and Barbuda,2000,Yes,Yes,No,No,No
Antigua and Barbuda,2001,Yes,Yes,No,No,No
Antigua and Barbuda,2002,Yes,Yes,No,No,No
Antigua and Barbuda,2003,Yes,Yes,No,No,No
Antigua and Barbuda,2004,Yes,Yes,Yes,No,No
Antigua and Barbuda,2005,Yes,Yes,Yes,No,No
Antigua and Barbuda,2006,Yes,Yes,Yes,No,No
Antigua and Barbuda,2007,Yes,Yes,Yes,No,No
Antigua and Barbuda,2008,Yes,Yes,Yes,No,No
Antigua and Barbuda,2009,Yes,Yes,Yes,No,No
Antigua and Barbuda,2010,Yes,Yes,Yes,No,No
Antigua and Barbuda,2011,Yes,Yes,Yes,No,No
Antigua and Barbuda,2012,Yes,Yes,Yes,No,No
Antigua and Barbuda,2013,Yes,Yes,Yes,No,No
Antigua and Barbuda,2014,Yes,Yes,Yes,No,No
Antigua and Barbuda,2015,Yes,Yes,Yes,No,No
Antigua and Barbuda,2016,Yes,Yes,Yes,No,No
Antigua and Barbuda,2017,Yes,Yes,Yes,No,No
Argentina,1893,No,No,No,No,No
Argentina,1894,No,No,No,No,No
Argentina,1895,No,No,No,No,No
Argentina,1896,No,No,No,No,No
Argentina,1897,No,No,No,No,No
Argentina,1898,No,No,No,No,No
Argentina,1899,No,No,No,No,No
Argentina,1900,No,No,No,No,No
Argentina,1901,No,No,No,No,No
Argentina,1902,No,No,No,No,No
Argentina,1903,No,No,No,No,No
Argentina,1904,No,No,No,No,No
Argentina,1905,No,No,No,No,No
Argentina,1906,No,No,No,No,No
Argentina,1907,No,No,No,No,No
Argentina,1908,No,No,No,No,No
Argentina,1909,No,No,No,No,No
Argentina,1910,No,No,No,No,No
Argentina,1911,No,No,No,No,No
Argentina,1912,No,No,No,No,No
Argentina,1913,No,No,No,No,No
Argentina,1914,No,No,No,No,No
Argentina,1915,No,No,No,No,No
Argentina,1916,No,No,No,No,No
Argentina,1917,No,No,No,No,No
Argentina,1918,No,No,No,No,No
Argentina,1919,No,No,No,No,No
Argentina,1920,No,No,No,No,No
Argentina,1921,No,No,No,No,No
Argentina,1922,No,No,No,No,No
Argentina,1923,No,No,No,No,No
Argentina,1924,No,No,No,No,No
Argentina,1925,No,No,No,No,No
Argentina,1926,No,No,No,No,No
Argentina,1927,No,No,No,No,No
Argentina,1928,No,No,No,No,No
Argentina,1929,No,No,No,No,No
Argentina,1930,No,No,No,No,No
Argentina,1931,No,No,No,No,No
Argentina,1932,No,No,No,No,No
Argentina,1933,No,No,No,No,No
Argentina,1934,No,No,No,No,No
Argentina,1935,No,No,No,No,No
Argentina,1936,No,No,No,No,No
Argentina,1937,No,No,No,No,No
Argentina,1938,No,No,No,No,No
Argentina,1939,No,No,No,No,No
Argentina,1940,No,No,No,No,No
Argentina,1941,No,No,No,No,No
Argentina,1942,No,No,No,No,No
Argentina,1943,No,No,No,No,No
Argentina,1944,No,No,No,No,No
Argentina,1945,No,No,No,No,No
Argentina,1946,No,No,No,No,No
Argentina,1947,Yes,No,No,No,No
Argentina,1948,Yes,No,No,No,No
Argentina,1949,Yes,No,No,No,No
Argentina,1950,Yes,No,No,No,No
Argentina,1951,Yes,Yes,Yes,No,No
Argentina,1952,Yes,Yes,Yes,No,No
Argentina,1953,Yes,Yes,Yes,No,No
Argentina,1954,Yes,Yes,Yes,No,No
Argentina,1955,Yes,Yes,Yes,Yes,No
Argentina,1956,Yes,Yes,Yes,Yes,No
Argentina,1957,Yes,Yes,Yes,Yes,No
Argentina,1958,Yes,Yes,Yes,Yes,No
Argentina,1959,Yes,Yes,Yes,Yes,No
Argentina,1960,Yes,Yes,Yes,Yes,No
Argentina,1961,Yes,Yes,Yes,Yes,No
Argentina,1962,Yes,Yes,Yes,Yes,No
Argentina,1963,Yes,Yes,Yes,Yes,No
Argentina,1964,Yes,Yes,Yes,Yes,No
Argentina,1965,Yes,Yes,Yes,Yes,No
Argentina,1966,Yes,Yes,Yes,Yes,No
Argentina,1967,Yes,Yes,Yes,Yes,No
Argentina,1968,Yes,Yes,Yes,Yes,No
Argentina,1969,Yes,Yes,Yes,Yes,No
Argentina,1970,Yes,Yes,Yes,Yes,No
Argentina,1971,Yes,Yes,Yes,Yes,No
Argentina,1972,Yes,Yes,Yes,Yes,No
Argentina,1973,Yes,Yes,Yes,Yes,No
Argentina,1974,Yes,Yes,Yes,Yes,No
Argentina,1975,Yes,Yes,Yes,Yes,No
Argentina,1976,Yes,Yes,Yes,Yes,No
Argentina,1977,Yes,Yes,Yes,Yes,No
Argentina,1978,Yes,Yes,Yes,Yes,No
Argentina,1979,Yes,Yes,Yes,Yes,No
Argentina,1980,Yes,Yes,Yes,Yes,No
Argentina,1981,Yes,Yes,Yes,Yes,No
Argentina,1982,Yes,Yes,Yes,Yes,No
Argentina,1983,Yes,Yes,Yes,Yes,No
Argentina,1984,Yes,Yes,Yes,Yes,No
Argentina,1985,Yes,Yes,Yes,Yes,No
Argentina,1986,Yes,Yes,Yes,Yes,No
Argentina,1987,Yes,Yes,Yes,Yes,No
Argentina,1988,Yes,Yes,Yes,Yes,No
Argentina,1989,Yes,Yes,Yes,Yes,No
Argentina,1990,Yes,Yes,Yes,Yes,No
Argentina,1991,Yes,Yes,Yes,Yes,No
Argentina,1992,Yes,Yes,Yes,Yes,No
Argentina,1993,Yes,Yes,Yes,Yes,No
Argentina,1994,Yes,Yes,Yes,Yes,No
Argentina,1995,Yes,Yes,Yes,Yes,No
Argentina,1996,Yes,Yes,Yes,Yes,No
Argentina,1997,Yes,Yes,Yes,Yes,No
Argentina,1998,Yes,Yes,Yes,Yes,No
Argentina,1999,Yes,Yes,Yes,Yes,No
Argentina,2000,Yes,Yes,Yes,Yes,No
Argentina,2001,Yes,Yes,Yes,Yes,Yes
Argentina,2002,Yes,Yes,Yes,Yes,Yes
Argentina,2003,Yes,Yes,Yes,Yes,Yes
Argentina,2004,Yes,Yes,Yes,Yes,Yes
Argentina,2005,Yes,Yes,Yes,Yes,Yes
Argentina,2006,Yes,Yes,Yes,Yes,Yes
Argentina,2007,Yes,Yes,Yes,Yes,Yes
Argentina,2008,Yes,Yes,Yes,Yes,Yes
Argentina,2009,Yes,Yes,Yes,Yes,Yes
Argentina,2010,Yes,Yes,Yes,Yes,Yes
Argentina,2011,Yes,Yes,Yes,Yes,Yes
Argentina,2012,Yes,Yes,Yes,Yes,Yes
Argentina,2013,Yes,Yes,Yes,Yes,Yes
Argentina,2014,Yes,Yes,Yes,Yes,Yes
Argentina,2015,Yes,Yes,Yes,Yes,Yes
Argentina,2016,Yes,Yes,Yes,Yes,Yes
Argentina,2017,Yes,Yes,Yes,Yes,Yes
Armenia,1991,Yes,Yes,No,No,No
Armenia,1992,Yes,Yes,No,No,No
Armenia,1993,Yes,Yes,No,No,No
Armenia,1994,Yes,Yes,No,No,No
Armenia,1995,Yes,Yes,No,No,No
Armenia,1996,Yes,Yes,No,No,No
Armenia,1997,Yes,Yes,No,No,No
Armenia,1998,Yes,Yes,No,No,No
Armenia,1999,Yes,Yes,No,No,No
Armenia,2000,Yes,Yes,No,No,No
Armenia,2001,Yes,Yes,No,No,No
Armenia,2002,Yes,Yes,No,No,No
Armenia,2003,Yes,Yes,No,No,No
Armenia,2004,Yes,Yes,No,No,No
Armenia,2005,Yes,Yes,No,No,No
Armenia,2006,Yes,Yes,No,No,No
Armenia,2007,Yes,Yes,No,No,No
Armenia,2008,Yes,Yes,No,No,No
Armenia,2009,Yes,Yes,No,No,No
Armenia,2010,Yes,Yes,No,No,No
Armenia,2011,Yes,Yes,No,No,No
Armenia,2012,Yes,Yes,Yes,No,No
Armenia,2013,Yes,Yes,Yes,No,No
Armenia,2014,Yes,Yes,Yes,No,No
Armenia,2015,Yes,Yes,Yes,No,No
Armenia,2016,Yes,Yes,Yes,No,No
Armenia,2017,Yes,Yes,Yes,No,No
Australia,1901,No,No,No,No,No
Australia,1902,No,No,No,No,No
Australia,1903,No,No,No,No,No
Australia,1904,No,No,No,No,No
Australia,1905,No,No,No,No,No
Australia,1906,No,No,No,No,No
Australia,1907,No,No,No,No,No
Australia,1908,No,No,No,No,No
Australia,1909,No,No,No,No,No
Australia,1910,No,No,No,No,No
Australia,1911,No,No,No,No,No
Australia,1912,No,No,No,No,No
Australia,1913,No,No,No,No,No
Australia,1914,No,No,No,No,No
Australia,1915,No,No,No,No,No
Australia,1916,No,No,No,No,No
Australia,1917,No,No,No,No,No
Australia,1918,No,No,No,No,No
Australia,1919,No,No,No,No,No
Australia,1920,No,No,No,No,No
Australia,1921,No,No,No,No,No
Australia,1922,No,No,No,No,No
Australia,1923,No,No,No,No,No
Australia,1924,No,No,No,No,No
Australia,1925,No,No,No,No,No
