Entity,Year,Smoke (Fouquet and DPCC (2011)),Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
London,1863,314.5714286,571.9480519
London,1864,315.1428571,572.987013
London,1865,315.7142857,574.025974
London,1866,316.2857143,575.0649351
London,1867,316.8571429,576.1038961
London,1868,317.4285714,577.1428571
London,1869,318,578.1818182
London,1870,318.5714286,579.2207792
London,1871,319.1428571,580.2597403
London,1872,319.7142857,581.2987013
London,1873,320.2857143,582.3376623
London,1874,320.8571429,583.3766234
London,1875,321.4285714,584.4155844
London,1876,322.7678571,586.8506494
London,1877,324.1071429,589.2857143
London,1878,325.4464286,591.7207792
London,1879,326.7857143,594.1558442
London,1880,328.125,596.5909091
London,1881,329.4642857,599.025974
London,1882,330.8035714,601.461039
London,1883,332.1428571,603.8961039
London,1884,333.4821429,606.3311688
London,1885,334.8214286,608.7662338
London,1886,336.1607143,611.2012987
London,1887,337.5,613.6363636
London,1888,338.8392857,616.0714286
London,1889,340.1785714,618.5064935
London,1890,341.5178571,620.9415584
London,1891,342.8571429,623.3766234
London,1892,339.6825397,617.6046176
London,1893,336.5079365,611.8326118
London,1894,333.3333333,606.0606061
London,1895,330.1587302,600.2886003
London,1896,326.984127,594.5165945
London,1897,323.8095238,588.7445887
London,1898,320.6349206,582.972583
London,1899,317.4603175,577.2005772
London,1900,314.2857143,571.4285714
London,1901,314.1142857,571.1168831
London,1902,313.9428571,570.8051948
London,1903,313.7714286,570.4935065
London,1904,313.6,570.1818182
London,1905,313.4285714,569.8701299
London,1906,313.2571429,569.5584416
London,1907,313.0857143,569.2467532
London,1908,312.9142857,568.9350649
London,1909,312.7428571,568.6233766
London,1910,312.5714286,568.3116883
London,1911,312.4,568
London,1912,312.2285714,567.6883117
London,1913,310,563.6363636
London,1914,305.4545455,555.3719008
London,1915,300.9090909,547.107438
London,1916,296.3636364,538.8429752
London,1917,291.8181818,530.5785124
London,1918,287.2727273,522.3140496
London,1919,282.7272727,514.0495868
London,1920,278.1818182,505.785124
London,1921,273.6363636,497.5206612
London,1922,269.0909091,489.2561983
London,1923,264.5454545,480.9917355
London,1924,260,472.7272727
London,1925,225,409.0909091
London,1926,200,363.6363636
London,1927,198,360
London,1928,197,358.1818182
London,1929,198,360
London,1930,199,361.8181818
London,1931,200,363.6363636
London,1932,210,381.8181818
London,1933,220,400
London,1934,222,403.6363636
London,1935,225,409.0909091
London,1936,223,405.4545455
London,1937,221,401.8181818
London,1938,220,400
London,1939,211.25,384.0909091
London,1940,202.5,368.1818182
London,1941,193.75,352.2727273
London,1942,185,336.3636364
London,1943,176.25,320.4545455
London,1944,167.5,304.5454545
London,1945,158.75,288.6363636
London,1946,150,272.7272727
London,1947,141.25,256.8181818
London,1948,132.5,240.9090909
London,1949,123.75,225
London,1950,115,209.0909091
London,1951,112.6709302,204.8562368
London,1952,110.3418605,200.6215645
London,1953,108.0127907,196.3868922
London,1954,105.6837209,192.1522199
London,1955,103.3546512,187.9175476
London,1956,101.0255814,183.6828753
London,1957,98.69651163,179.448203
London,1958,96.36744186,175.2135307
London,1959,94.03837209,170.9788584
London,1960,91.70930233,166.744186
London,1961,89.38023256,162.5095137
London,1962,87.05116279,158.2748414
London,1963,84.72209302,154.0401691
London,1964,82.39302326,149.8054968
London,1965,80.06395349,145.5708245
London,1966,77.73488372,141.3361522
London,1967,75.40581395,137.1014799
London,1968,73.07674419,132.8668076
London,1969,70.74767442,128.6321353
London,1970,68.41860465,124.397463
London,1971,66.08953488,120.1627907
London,1972,63.76046512,115.9281184
London,1973,61.43139535,111.6934461
London,1974,59.10232558,107.4587738
London,1975,56.77325581,103.2241015
London,1976,54.44418605,98.98942918
London,1977,52.11511628,94.75475687
London,1978,49.78604651,90.52008457
London,1979,47.45697674,86.28541226
London,1980,45.12790698,82.05073996
London,1981,42.79883721,77.81606765
London,1982,40.46976744,73.58139535
London,1983,38.14069767,69.34672304
London,1984,35.81162791,65.11205074
London,1985,33.48255814,60.87737844
London,1986,31.15348837,56.64270613
London,1987,28.8244186,52.40803383
London,1988,26.49534884,48.17336152
London,1989,24.16627907,43.93868922
London,1990,21.8372093,39.70401691
London,1991,19.50813953,35.46934461
London,1992,17.17906977,31.2346723
London,1993,14.85,27
London,1994,14.3,26
London,1995,14.3,26
London,1996,14.3,26
London,1997,13.75,25
London,1998,13.75,25
London,1999,13.75,25
London,2000,13.75,25
London,2001,,23.22
London,2002,,23
London,2003,,24.79
London,2004,,22.03
London,2005,,22.35
London,2006,,23.82
London,2007,,21.56
London,2008,,18.81
London,2009,,19
London,2010,,20
London,2011,,20
London,2012,,17
London,2013,,17
London,2014,,17
London,2015,,15
London,2016,,16
