Entity,Year,number_oil_spills,quantity_oil_spilt,number_oil_spills_decadal_average,quantity_oil_spilt_decadal,quantity_oil_spilt_decadal_average
Smaller (7 - 700 tonnes),1996,20,,,,
Smaller (7 - 700 tonnes),1997,28,,,,
Smaller (7 - 700 tonnes),1998,25,,,,
Smaller (7 - 700 tonnes),1999,20,,,,
Smaller (7 - 700 tonnes),2000,21,,14.9,,
Smaller (7 - 700 tonnes),2001,18,,,,
Smaller (7 - 700 tonnes),2002,11,,,,
Smaller (7 - 700 tonnes),2003,19,,,,
Smaller (7 - 700 tonnes),2004,20,,,,
Smaller (7 - 700 tonnes),2005,22,,,,
Smaller (7 - 700 tonnes),2006,12,,,,
Smaller (7 - 700 tonnes),2007,12,,,,
Smaller (7 - 700 tonnes),2008,7,,,,
Smaller (7 - 700 tonnes),2009,7,,,,
Smaller (7 - 700 tonnes),2010,5,,4.5,,
Smaller (7 - 700 tonnes),2011,4,,,,
Smaller (7 - 700 tonnes),2012,7,,,,
Smaller (7 - 700 tonnes),2013,5,,,,
Smaller (7 - 700 tonnes),2014,4,,,,
Smaller (7 - 700 tonnes),2015,6,,,,
Smaller (7 - 700 tonnes),2016,4,,,,
Smaller (7 - 700 tonnes),2017,4,,,,
Smaller (7 - 700 tonnes),2018,4,,,,
Smaller (7 - 700 tonnes),2019,2,,,,
Smaller (7 - 700 tonnes),2020,4,,9,,
Smaller (7 - 700 tonnes),2021,5,,,,
World,1970,,383000,,3195000,319500
World,1971,,144000,,,
World,1972,,313000,,,
World,1973,,159000,,,
World,1974,,174000,,,
World,1975,,352000,,,
World,1976,,365000,,,
World,1977,,276000,,,
World,1978,,393000,,,
World,1979,,636000,,,
World,1980,,206000,,1175000,117500
World,1981,,48000,,,
World,1982,,12000,,,
World,1983,,384000,,,
World,1984,,29000,,,
World,1985,,85000,,,
World,1986,,19000,,,
World,1987,,38000,,,
World,1988,,190000,,,
World,1989,,164000,,,
World,1990,,61000,,1134000,113400
World,1991,,431000,,,
World,1992,,167000,,,
World,1993,,140000,,,
World,1994,,130000,,,
World,1995,,12000,,,
World,1996,,80000,,,
World,1997,,72000,,,
World,1998,,13000,,,
World,1999,,28000,,,
World,2000,,14000,,196000,19600
World,2001,,9000,,,
World,2002,,66000,,,
World,2003,,43000,,,
World,2004,,17000,,,
World,2005,,15000,,,
World,2006,,12000,,,
World,2007,,15000,,,
World,2008,,2000,,,
World,2009,,3000,,,
World,2010,,12000,,164000,16400
World,2011,,2000,,,
World,2012,,1000,,,
World,2013,,7000,,,
World,2014,,5000,,,
World,2015,,7000,,,
World,2016,,6000,,,
World,2017,,7000,,,
World,2018,,116000,,,
World,2019,,1000,,,
World,2020,,1000,,,5500
World,2021,,10000,,,
