Entity,Year,Value of global merchandise imports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Africa,1981,28.0306,26.17978
Africa,1982,24.72039,23.60128
Africa,1983,22.81051,22.5345
Africa,1984,22.33553,24.22225
Africa,1985,20.87338,25.16782
Africa,1986,18.5392,18.80522
Africa,1987,17.13863,17.70873
Africa,1988,18.98284,17.8793
Africa,1989,18.97374,20.06321
Africa,1990,20.94839,22.99871
Africa,1991,20.94219,21.88051
Africa,1992,22.08283,21.53174
Africa,1993,21.44727,19.94382
Africa,1994,22.48578,21.57617
Africa,1995,24.71708,22.76764
Africa,1996,23.66649,24.29441
Africa,1997,22.92327,23.69732
Africa,1998,25.26893,21.12106
Africa,1999,23.89408,22.16437
Africa,2000,23.12679,26.60544
Africa,2001,24.69148,26.43845
Africa,2002,25.61335,26.50896
Africa,2003,25.39592,26.61749
Africa,2004,27.39685,29.32033
Africa,2005,27.47982,31.84593
Africa,2006,28.5606,33.8854
Africa,2007,30.23389,33.59258
Africa,2008,32.58367,37.81069
Africa,2009,29.45162,26.66527
Africa,2010,26.46219,26.62068
Africa,2011,27.79469,29.21562
Africa,2012,27.59948,28.79044
Africa,2013,27.74957,26.5104
Africa,2014,27.82234,24.25814
Albania,1951,,0.09615
Albania,1955,16.24603,6.26417
Albania,1956,17.59989,10.0231
Albania,1957,24.56176,14.24786
Albania,1958,1.80382,0.7472
Albania,1959,1.01803,0.38394
Albania,1960,1.97225,0.45688
Albania,1961,3.69175,0.37176
Albania,1962,3.23814,1.11595
Albania,1963,3.05946,2.03553
Albania,1964,4.61026,1.95936
Albania,1965,4.98227,1.5168
Albania,1966,4.84931,1.67922
Albania,1967,3.17929,1.65729
Albania,1968,3.53696,2.24506
Albania,1969,3.53645,1.97194
Albania,1970,2.99514,2.13133
Albania,1971,3.25936,3.14289
Albania,1972,3.50465,2.86366
Albania,1973,4.31083,3.81405
Albania,1974,7.35458,6.26233
Albania,1975,7.24379,6.7508
Albania,1976,4.42461,5.34975
Albania,1977,5.09512,6.37861
Albania,1978,6.21885,5.06614
Albania,1979,8.00777,10.0172
Albania,1980,17.11789,19.99049
Albania,1981,13.80781,18.19
Albania,1982,16.65637,15.58286
Albania,1983,12.41965,13.54859
Albania,1984,13.08532,12.02183
Albania,1985,13.2794,11.17384
Albania,1986,11.6515,14.62503
Albania,1987,11.36597,11.88796
Albania,1988,14.94098,13.90973
Albania,1989,16.58407,14.46736
Albania,1990,20.1365,11.78376
Albania,1991,43.53179,15.02941
Albania,1992,80.97215,17.34592
Albania,1993,53.62489,11.54502
Albania,1994,34.39178,8.83554
Albania,1995,37.77178,9.82403
Albania,1996,36.11315,9.24478
Albania,1997,31.87419,10.97035
Albania,1998,29.35392,10.33607
Albania,1999,28.20907,8.0701
Albania,2000,30.38262,10.25662
Albania,2001,32.88819,8.70942
Albania,2002,33.85622,7.94269
Albania,2003,32.23138,8.10718
Albania,2004,31.36257,8.38121
Albania,2005,32.06538,7.74527
Albania,2006,33.45023,8.32368
Albania,2007,38.74082,9.51461
Albania,2008,40.70543,10.41684
Albania,2009,36.86659,9.13642
Albania,2010,38.12231,13.03174
Albania,2011,41.25905,15.13863
Albania,2012,39.65118,15.98169
Albania,2013,38.32813,17.98306
Albania,2014,39.22017,17.61166
Algeria,1950,31.61271,26.81223
Algeria,1951,37.58568,26.56698
Algeria,1952,34.53145,25.85089
Algeria,1953,30.02891,23.13828
Algeria,1954,29.80073,22.22196
Algeria,1955,32.46228,24.33635
Algeria,1956,28.95035,19.05885
Algeria,1957,35.59529,18.81386
Algeria,1958,39.97386,18.47317
Algeria,1959,39.42125,14.15128
Algeria,1960,46.98209,22.44572
Algeria,1961,43.32802,29.51946
Algeria,1962,35.68733,40.55817
Algeria,1963,25.77429,27.28335
Algeria,1964,24.122,27.12031
Algeria,1965,21.31408,24.4738
Algeria,1966,21.00755,27.70401
Algeria,1967,18.8527,25.73807
Algeria,1968,20.95714,24.66863
Algeria,1969,23.69368,23.56212
Algeria,1970,25.8436,21.80506
Algeria,1971,24.78434,17.56751
Algeria,1972,22.31202,19.03935
Algeria,1973,27.63248,21.67455
Algeria,1974,32.14703,35.4798
Algeria,1975,38.66092,30.21378
Algeria,1976,30.11019,30.09324
Algeria,1977,33.9612,29.6511
Algeria,1978,32.93851,26.38662
Algeria,1979,25.27613,30.85419
Algeria,1980,24.93525,36.89314
Algeria,1981,25.40917,34.39321
Algeria,1982,23.75269,30.35712
Algeria,1983,21.30151,27.51678
Algeria,1984,19.51962,24.94858
Algeria,1985,16.98982,22.94762
Algeria,1986,14.48761,13.27422
Algeria,1987,10.55144,13.94133
Algeria,1988,12.62926,15.12889
Algeria,1989,16.58332,18.00555
Algeria,1990,15.60015,21.86382
Algeria,1991,17.59836,28.69729
Algeria,1992,18.01516,25.14912
Algeria,1993,17.54533,22.4888
Algeria,1994,22.49659,23.45392
Algeria,1995,25.81742,28.07633
Algeria,1996,19.39781,29.99978
Algeria,1997,18.04221,31.92413
Algeria,1998,19.51455,24.80063
Algeria,1999,18.85844,27.82548
Algeria,2000,16.47541,42.03765
Algeria,2001,18.96085,40.02446
Algeria,2002,21.45655,37.43042
Algeria,2003,22.62928,40.45809
Algeria,2004,22.12493,41.29974
Algeria,2005,20.31369,46.97941
Algeria,2006,18.7715,51.4679
Algeria,2007,21.54709,47.18079
Algeria,2008,23.11605,49.11692
Algeria,2009,28.6466,34.84475
Algeria,2010,25.12517,35.39084
Algeria,2011,23.62766,36.74575
Algeria,2012,24.1131,34.37871
Algeria,2013,26.17629,31.45064
Algeria,2014,27.32682,29.49998
America,1960,4.8738,5.54214
America,1961,4.66895,5.46894
America,1962,4.62429,5.30313
America,1963,4.48097,5.32464
America,1964,4.60563,5.56119
America,1965,4.73267,5.36858
America,1966,5.06983,5.45312
America,1967,5.03485,5.47455
America,1968,5.4384,5.54611
America,1969,5.50483,5.58835
America,1970,5.68759,5.97294
America,1971,5.92792,5.70058
America,1972,6.41894,5.76683
America,1973,7.10854,6.9378
America,1974,9.60703,8.7464
America,1975,8.98873,8.24988
America,1976,9.34889,8.17352
America,1977,9.83168,8.16829
America,1978,9.9903,8.24744
America,1979,10.70696,9.31921
America,1980,11.37232,10.45483
America,1981,10.81634,10.01595
America,1982,9.4053,9.06038
America,1983,8.9978,8.48158
America,1984,10.08545,8.55809
America,1985,9.85193,7.98118
America,1986,9.95752,7.49047
America,1987,10.21734,7.82731
America,1988,10.34703,8.66703
America,1989,10.29376,8.89708
America,1990,10.07214,8.93434
America,1991,9.70725,8.9514
America,1992,10.33185,9.19275
America,1993,10.62862,9.00884
America,1994,11.35535,9.60384
America,1995,11.98708,10.63079
America,1996,12.1501,10.89571
America,1997,12.78184,10.89363
America,1998,12.84209,10.4678
America,1999,13.33887,10.59328
America,2000,14.51876,11.18566
America,2001,13.56794,10.36865
America,2002,13.40697,9.98162
America,2003,13.64863,10.12233
America,2004,14.7531,10.9144
America,2005,15.504,11.24357
America,2006,16.14378,11.65316
America,2007,16.33823,12.15442
America,2008,17.38313,13.16801
America,2009,13.51832,10.59549
America,2010,15.44598,11.93477
America,2011,16.70961,13.29729
America,2012,16.69384,13.24934
America,2013,16.29896,12.94399
America,2014,16.2671,12.76845
Andorra,1993,,0.00552
Andorra,1994,,0.00004
Andorra,1996,,0.03582
Angola,1975,10.58449,24.11183
Angola,1976,9.18052,16.54233
Angola,1977,17.28526,18.02712
Angola,1978,18.97269,19.78358
Angola,1979,21.48709,22.82086
Angola,1980,20.90305,25.62903
Angola,1981,25.13122,23.8114
Angola,1982,14.00089,20.17248
Angola,1983,11.93682,28.88499
Angola,1984,24.62081,51.61231
Angola,1985,32.55789,55.05719
Angola,1986,20.58466,33.35825
Angola,1987,19.7891,40.30965
Angola,1988,20.88895,41.3822
Angola,1989,14.64664,31.62478
Angola,1990,17.18151,41.39008
Angola,1991,12.71876,23.58351
Angola,1992,25.45555,37.54907
Angola,1993,14.3474,31.41075
Angola,1994,13.91962,30.90104
Angola,1995,38.0694,75.52266
Angola,1996,27.61247,65.57774
Angola,1997,33.00018,60.71386
Angola,1998,34.6036,54.4513
Angola,1999,36.38702,73.53621
Angola,2000,24.1048,84.84605
Angola,2001,38.52837,70.83051
Angola,2002,24.45655,58.76295
Angola,2003,31.45673,60.58094
Angola,2004,35.85395,61.12993
Angola,2005,29.09532,75.24806
Angola,2006,27.05514,72.67997
Angola,2007,21.68558,64.94651
Angola,2008,25.55584,78.95184
Angola,2009,23.16207,51.08056
Angola,2010,18.42723,60.82996
Angola,2011,16.599,57.43282
Angola,2012,18.22599,58.12221
Angola,2013,17.79724,53.05933
Angola,2014,21.87929,48.72895
Antigua and Barbuda,1977,66.52109,49.89082
Antigua and Barbuda,1978,41.41309,50.76444
Antigua and Barbuda,1979,68.29954,54.20599
Antigua and Barbuda,1980,79.95155,27.25621
Antigua and Barbuda,1981,89.18316,32.13808
Antigua and Barbuda,1982,100.75979,15.2227
Antigua and Barbuda,1983,71.11616,13.04884
Antigua and Barbuda,1984,76.07582,10.37398
Antigua and Barbuda,1985,82.23401,8.42156
Antigua and Barbuda,1986,84.18183,8.13351
Antigua and Barbuda,1987,86.22072,6.63236
Antigua and Barbuda,1988,73.81245,5.01925
Antigua and Barbuda,1989,51.41888,4.28491
Antigua and Barbuda,1990,65.12239,5.36302
Antigua and Barbuda,1991,71.88303,12.18357
Antigua and Barbuda,1992,73.62606,15.33876
Antigua and Barbuda,1993,70.75001,13.5805
Antigua and Barbuda,1994,68.38784,8.79844
Antigua and Barbuda,1995,70.01424,10.47227
Antigua and Barbuda,1996,67.45842,14.03252
Antigua and Barbuda,1997,63.8094,14.91135
Antigua and Barbuda,1998,61.16366,5.75366
Antigua and Barbuda,1999,114.0476,5.82955
Antigua and Barbuda,2000,109.56728,17.20436
Antigua and Barbuda,2001,70.03958,43.76185
Antigua and Barbuda,2002,78.5448,94.61527
Antigua and Barbuda,2003,55.99601,48.01107
Antigua and Barbuda,2004,71.27434,26.34997
Antigua and Barbuda,2005,91.88587,18.62654
Antigua and Barbuda,2006,99.19425,31.47189
Antigua and Barbuda,2007,142.22746,22.84865
Antigua and Barbuda,2008,144.89561,18.28463
Antigua and Barbuda,2009,128.89706,10.80675
Antigua and Barbuda,2010,164.08826,11.26444
Antigua and Barbuda,2011,161.24475,10.97571
Antigua and Barbuda,2012,159.18184,9.6479
Antigua and Barbuda,2013,106.99924,12.76916
Antigua and Barbuda,2014,94.50216,10.79257
Argentina,1884,52.9534,50.88217
Argentina,1885,39.7055,39.77808
Argentina,1886,39.78518,33.90013
Argentina,1887,45.57467,29.56157
Argentina,1888,45.27262,36.68337
Argentina,1889,41.50583,27.6831
Argentina,1890,26.58832,19.53098
Argentina,1891,9.03927,15.0927
Argentina,1892,14.15971,16.67359
Argentina,1893,15.17367,19.77861
Argentina,1894,13.94551,19.81306
Argentina,1895,11.86082,20.82457
Argentina,1896,15.20271,24.89083
Argentina,1897,13.72151,18.36303
Argentina,1898,14.34325,21.67936
Argentina,1899,16.7399,28.73039
Argentina,1900,14.70116,21.50486
Argentina,1901,15.60757,25.05016
Argentina,1902,13.11473,23.5249
Argentina,1903,15.46878,29.23984
Argentina,1904,19.49213,29.16481
Argentina,1905,17.31431,28.21129
Argentina,1906,20.48593,22.6334
Argentina,1907,20.64743,24.16233
Argentina,1908,18.60925,28.09356
Argentina,1909,18.10115,24.71718
Argentina,1910,18.13639,21.25003
Argentina,1911,23.41633,20.0443
Argentina,1912,23.36914,28.03537
Argentina,1913,24.30897,27.13858
Argentina,1914,17.07024,21.33198
Argentina,1915,14.55857,27.75358
Argentina,1916,15.63265,24.46359
Argentina,1917,15.84558,22.92474
Argentina,1918,15.60585,24.98582
Argentina,1919,19.62887,30.86607
Argentina,1920,26.66496,29.77691
Argentina,1921,22.93781,20.54032
Argentina,1922,20.91969,20.50584
Argentina,1923,23.11107,20.52366
Argentina,1924,20.0664,36.22183
Argentina,1925,21.5382,21.32206
Argentina,1926,20.44259,19.68789
Argentina,1927,20.2285,23.83369
Argentina,1928,17.99443,22.66806
Argentina,1929,18.0947,20.02517
Argentina,1930,16.78565,13.94808
Argentina,1931,14.54475,18.03846
Argentina,1932,11.54042,17.77997
Argentina,1933,11.31726,14.14342
Argentina,1934,12.80953,16.59468
Argentina,1935,12.64338,16.88294
Argentina,1936,10.89775,16.15637
Argentina,1937,13.02731,19.32356
Argentina,1938,12.78443,12.25065
Argentina,1939,11.3181,13.30596
Argentina,1940,12.19686,11.61915
Argentina,1941,9.55363,10.96011
Argentina,1942,8.33961,11.7108
Argentina,1943,5.82159,13.54663
Argentina,1944,5.38447,7.27198
Argentina,1945,5.46633,11.83266
Argentina,1946,8.45135,14.39847
Argentina,1947,15.70576,16.16381
Argentina,1948,18.22325,20.9431
Argentina,1949,14.51759,18.25442
Argentina,1950,15.48345,24.42767
Argentina,1951,17.25905,19.0571
Argentina,1952,13.8481,8.2176
Argentina,1953,8.20102,11.57096
Argentina,1954,8.66111,10.1444
Argentina,1955,23.36064,21.96219
Argentina,1956,18.85875,18.60938
Argentina,1957,16.38929,15.64883
Argentina,1958,21.63551,19.08313
Argentina,1959,10.39939,11.4593
Argentina,1960,9.62818,9.50672
Argentina,1961,9.43123,6.96816
Argentina,1962,9.59091,9.75147
Argentina,1963,5.31192,8.17852
Argentina,1964,4.12689,5.89963
Argentina,1965,4.15845,5.58186
Argentina,1966,3.92798,5.92047
Argentina,1967,4.5167,7.02346
Argentina,1968,4.47584,5.91871
Argentina,1969,5.22765,5.85308
Argentina,1970,5.60358,6.54746
Argentina,1971,5.6164,5.90911
Argentina,1972,5.48473,6.18667
Argentina,1973,4.26627,6.68895
Argentina,1974,5.02078,5.70839
Argentina,1975,7.54886,5.85713
Argentina,1976,5.92701,7.75622
Argentina,1977,7.33435,10.02706
Argentina,1978,7.32609,11.43576
Argentina,1979,11.79269,11.82257
Argentina,1980,14.193,10.42703
Argentina,1981,11.98851,12.71847
Argentina,1982,6.33513,10.0918
Argentina,1983,4.97349,8.36373
Argentina,1984,6.27191,11.38883
Argentina,1985,4.3139,10.83797
Argentina,1986,4.69462,7.08226
Argentina,1987,5.61283,6.96218
Argentina,1988,4.25579,8.23785
Argentina,1989,5.81911,15.30207
Argentina,1990,3.5174,9.41384
Argentina,1991,4.38537,7.65349
Argentina,1992,6.49613,5.6655
Argentina,1993,7.08489,5.76502
Argentina,1994,8.68696,6.49645
Argentina,1995,7.44908,8.29102
Argentina,1996,8.97579,9.11852
Argentina,1997,10.34109,9.08848
Argentina,1998,10.70396,9.12288
Argentina,1999,9.00026,8.60348
Argentina,2000,8.8952,9.57567
Argentina,2001,7.56228,10.47025
Argentina,2002,9.19887,28.16442
Argentina,2003,10.85603,25.16316
Argentina,2004,12.34119,21.41659
Argentina,2005,12.99144,20.08573
Argentina,2006,13.00269,18.83837
Argentina,2007,13.57581,18.94835
Argentina,2008,14.23107,19.60466
Argentina,2009,10.29688,15.74389
Argentina,2010,12.17095,15.33964
Argentina,2011,13.16349,15.38905
Argentina,2012,11.33634,14.14788
Argentina,2013,11.8607,13.17487
Argentina,2014,11.90556,13.49257
Armenia,1993,,14.25623
Armenia,1994,32.86137,18.37885
Armenia,1995,47.39963,24.30864
Armenia,1996,53.94645,18.17913
Armenia,1997,54.3675,15.21879
Armenia,1998,47.6515,11.64455
Armenia,1999,45.66492,12.5533
Armenia,2000,46.28321,15.71949
Armenia,2001,41.38907,16.12637
Armenia,2002,41.52453,21.22903
Armenia,2003,45.58113,24.42409
Armenia,2004,37.76476,20.21215
Armenia,2005,36.76668,19.87404
Armenia,2006,34.32072,15.4298
Armenia,2007,35.49514,12.51643
Armenia,2008,37.9533,9.06497
Armenia,2009,38.20738,8.06886
Armenia,2010,40.48418,11.24209
Armenia,2011,40.86526,13.15643
Armenia,2012,40.16105,13.44832
Armenia,2013,40.25369,13.30787
Armenia,2014,37.80002,13.46885
Aruba,1994,108.20244,45.39219
Aruba,1995,120.90525,43.07974
Aruba,1996,147.45749,54.51194
Aruba,1997,138.12546,59.01137
Aruba,1998,91.16069,37.84068
Aruba,1999,115.71401,51.43784
Aruba,2000,137.79715,102.82938
Aruba,2001,123.51082,66.85589
Aruba,2002,103.9182,49.96346
Aruba,2003,118.60824,66.4341
Aruba,2004,161.07326,111.86023
Aruba,2005,183.94247,171.8452
Aruba,2006,195.03789,173.39919
Aruba,2007,195.38292,168.17671
Aruba,2008,215.29892,197.21721
Aruba,2009,97.98819,85.00773
Aruba,2010,56.49972,11.57218
Aruba,2011,228.9357,165.63631
Asia,1960,10.07658,8.99308
Asia,1961,10.1778,8.63701
Asia,1962,9.60023,9.23253
Asia,1963,9.54357,9.09317
Asia,1964,9.24781,8.67927
Asia,1965,8.87682,8.78644
Asia,1966,9.55698,9.14567
Asia,1967,9.57545,8.85132
Asia,1968,9.63297,9.36808
Asia,1969,9.4884,9.43114
Asia,1970,9.46903,9.33868
Asia,1971,9.34451,10.39208
Asia,1972,9.14024,10.63673
Asia,1973,10.83203,11.69807
Asia,1974,14.21387,17.92158
Asia,1975,14.00597,16.24784
Asia,1976,13.85016,17.70043
Asia,1977,13.4886,17.05158
Asia,1978,13.04726,15.57958
Asia,1979,14.61793,17.18967
Asia,1980,17.00261,20.7825
Asia,1981,17.34341,20.40757
Asia,1982,17.36731,19.10809
Asia,1983,16.14293,17.02944
Asia,1984,15.72306,17.48644
Asia,1985,14.43305,16.47281
Asia,1986,11.46585,13.76749
Asia,1987,11.91589,14.45696
Asia,1988,12.42575,14.49554
Asia,1989,13.43792,15.571
Asia,1990,14.26497,16.34021
Asia,1991,14.19996,16.31112
Asia,1992,14.2666,16.67298
Asia,1993,14.13673,16.57572
Asia,1994,14.48925,17.16073
Asia,1995,15.87269,17.84544
Asia,1996,17.30516,19.10438
Asia,1997,17.96941,20.139
Asia,1998,16.40255,20.43243
Asia,1999,15.91115,20.07367
Asia,2000,17.95604,22.41082
Asia,2001,18.2048,22.44896
Asia,2002,19.03188,23.45706
Asia,2003,20.79453,25.34925
Asia,2004,23.60922,28.4719
Asia,2005,25.28033,30.62471
Asia,2006,27.13704,33.13511
Asia,2007,27.72781,33.52228
Asia,2008,29.14789,34.38118
Asia,2009,23.13269,26.79073
Asia,2010,25.6538,29.18229
Asia,2011,27.44865,30.07841
Asia,2012,27.24122,29.25295
Asia,2013,27.7554,29.16032
Asia,2014,26.83428,28.77137
Australia,1827,33.33333,6.66667
Australia,1828,41.17647,5.88235
Australia,1829,42.10526,10.52632
Australia,1830,31.81818,9.09091
Australia,1831,34.78261,17.3913
Australia,1832,41.66667,20.83333
Australia,1833,35.71429,17.85714
Australia,1834,36.84211,21.05263
Australia,1835,31.37255,17.64706
Australia,1836,32.07547,18.86792
Australia,1837,26.78572,17.85714
Australia,1838,35.59322,18.64407
Australia,1839,40,14.28571
Australia,1840,41.86047,17.44186
Australia,1841,44.28571,18.57143
Australia,1842,26.98413,20.63492
Australia,1843,32.20339,22.0339
Australia,1844,19.35484,20.96774
Australia,1845,22.22222,23.61111
Australia,1846,24.69136,22.22222
Australia,1847,27.90698,25.5814
Australia,1848,19.80198,22.77228
Australia,1849,24.75248,23.76238
Australia,1850,25.64103,23.07692
Australia,1851,21.89781,19.70803
Australia,1852,15.89404,36.09272
Australia,1853,34.09091,32.72727
Australia,1854,43.60465,26.93798
Australia,1855,28.29077,29.66601
Australia,1856,32.04633,31.27413
Australia,1857,34.48905,29.37956
Australia,1858,31.38298,25.88652
Australia,1859,33.38789,27.82324
Australia,1860,32.2327,25.31447
Australia,1861,27.44186,26.97674
Australia,1862,32.08723,26.63552
Australia,1863,33.59747,29.47702
Australia,1864,31.53846,28.61539
Australia,1865,31.60305,29.46565
Australia,1866,29.95781,27.42616
Australia,1867,22.28412,24.65181
Australia,1868,24.05229,26.53595
Australia,1869,26.04712,25.91623
Australia,1870,21.78703,22.52142
Australia,1871,21.68367,29.20918
Australia,1872,20.08547,28.09829
Australia,1873,22.56881,22.75229
Australia,1874,22.36364,24.36364
Australia,1875,20.92437,21.76471
Australia,1876,20.33898,21.69492
Australia,1877,21.5,21.25
Australia,1878,20.79365,19.84127
Australia,1879,18.75969,17.2093
Australia,1880,17.08955,22.16418
Australia,1881,20.49296,18.94366
Australia,1882,24.39189,19.39189
Australia,1883,21.51515,19.09091
Australia,1884,22.83951,17.03704
Australia,1885,23.06358,15.20231
Australia,1886,20.11765,12.23529
Australia,1887,15.73005,12.45791
Australia,1888,19.10931,14.9741
Australia,1889,17.7251,13.94009
Australia,1890,17.07193,14.23366
Australia,1891,18.57687,17.75495
Australia,1892,17.60663,19.51479
Australia,1893,15.53274,21.71586
Australia,1894,14.79535,21.71021
Australia,1895,16.45043,23.86123
Australia,1896,18.53637,20.6022
Australia,1897,20.88767,24.6945
Australia,1898,17.68604,22.56439
Australia,1899,18.96668,26.85029
Australia,1900,21.89843,24.31581
Australia,1901,22.33369,26.15588
Australia,1902,18.35838,19.82031
Australia,1903,17.83211,22.75503
Australia,1904,16.57533,25.73816
Australia,1905,17.35721,25.72845
Australia,1906,18.7214,29.18853
Australia,1907,17.4854,26.50653
Australia,1908,16.86998,23.72225
Australia,1909,17.83504,21.90304
Australia,1910,19.21021,22.99431
Australia,1911,19.47637,22.163
Australia,1912,21.23457,20.63767
Australia,1913,19.83941,18.69219
Australia,1914,15.12074,13.6401
Australia,1915,18.39411,17.43579
Australia,1916,15.92101,19.84991
Australia,1917,12.27418,15.44728
Australia,1918,19.39172,20.09126
Australia,1919,20.19629,29.50023
Australia,1920,27.74582,21.41565
Australia,1921,13.9396,16.70153
Australia,1922,18.14078,15.79928
Australia,1923,19.28671,15.40759
Australia,1924,16.96131,18.15099
Australia,1925,17.44377,16.1771
Australia,1926,19.76063,15.6386
Australia,1927,16.98393,15.63253
Australia,1928,16.59875,15.9715
Australia,1929,15.43099,11.19576
Australia,1930,8.19693,10.03972
Australia,1931,12.40946,18.01373
Australia,1932,10.55197,19.86253
Australia,1933,12.94317,19.51432
Australia,1934,12.58108,21.09182
Australia,1935,14.60387,18.29883
Australia,1936,15.17894,19.81251
Australia,1937,15.06381,21.64508
Australia,1938,17.18943,19.21968
Australia,1939,15.59249,16.97236
Australia,1940,16.74965,19.03369
Australia,1941,14.45222,15.73427
Australia,1942,17.03416,16.03215
Australia,1943,21.36083,11.03059
Australia,1944,20.9291,12.66081
Australia,1945,18.81718,13.62927
Australia,1946,15.16184,16.78024
Australia,1947,16.6479,24.73174
Australia,1948,22.1782,26.90473
Australia,1949,23.17859,24.73483
Australia,1950,26.44725,28.56782
Australia,1951,29.27189,28.26716
Australia,1952,22.93744,20.51937
Australia,1953,15.00962,21.28563
Australia,1954,17.71053,16.14516
Australia,1955,19.11128,17.25151
Australia,1956,15.67877,16.42535
Australia,1957,14.13542,17.80514
Australia,1958,14.72162,12.54624
Australia,1959,14.36801,14.19228
Australia,1960,13.59213,10.8851
Australia,1961,11.45179,11.90211
Australia,1962,12.26216,11.66393
Australia,1963,12.47297,12.87599
Australia,1964,13.51356,12.5166
Australia,1965,14.07541,11.26298
Australia,1966,13.08268,11.61115
Australia,1967,12.6908,11.48475
Australia,1968,13.18,10.77111
Australia,1969,12.19251,11.51384
Australia,1970,12.10701,11.65536
Australia,1971,11.40076,12.04573
Australia,1972,9.73748,12.9413
Australia,1973,11.87525,15.0353
Australia,1974,13.84068,13.02142
Australia,1975,11.31531,12.30499
Australia,1976,11.71451,12.98801
Australia,1977,12.2466,12.50431
Australia,1978,13.14048,13.05648
Australia,1979,13.5791,14.57344
Australia,1980,14.94675,15.18879
Australia,1981,14.82813,13.61637
Australia,1982,13.69468,12.52422
Australia,1983,12.08772,12.33253
Australia,1984,13.34606,13.03355
Australia,1985,14.35511,14.36916
Australia,1986,14.41689,14.00897
Australia,1987,15.71731,15.30937
Australia,1988,15.55364,14.88482
Australia,1989,15.03771,13.32485
Australia,1990,13.84493,13.60011
Australia,1991,13.09385,13.24337
Australia,1992,13.77877,13.43908
Australia,1993,14.97702,13.84326
Australia,1994,17.06595,15.15773
Australia,1995,17.18438,14.86179
Australia,1996,16.8728,15.36616
Australia,1997,15.60583,14.49724
Australia,1998,16.74245,14.02628
Australia,1999,18.50709,14.47086
Australia,2000,17.89971,15.42298
Australia,2001,17.66552,17.16881
Australia,2002,19.41005,16.54561
Australia,2003,19.98684,15.20424
Australia,2004,18.62214,14.63884
Australia,2005,18.8939,15.70719
Australia,2006,19.56484,17.06393
Australia,2007,20.3441,17.22368
Australia,2008,19.92627,18.22655
Australia,2009,18.88278,17.46909
Australia,2010,18.60152,18.52895
Australia,2011,18.5605,19.48351
Australia,2012,17.9371,16.74795
Australia,2013,16.37277,16.21195
Australia,2014,17.22295,16.88212
Austria,1925,28.23178,19.29914
Austria,1926,27.67075,16.97403
Austria,1927,28.71895,18.89398
Austria,1928,28.39784,19.2594
