Entity,Year,Cumulative production (LaFond (2017)),Unit cost (LaFond (2017))
Corn,1986,2648.4531,8.44
Corn,1987,2815.4817,8.42
Corn,1988,3002.0448,12.02
Corn,1989,3219.249,8.693384335
Corn,1990,3474.6156,8.51
Corn,1991,3731.9406,9.06
Corn,1992,3986.9184,7.47
Corn,1993,4261.2494,10.09
Corn,1994,4488.3029,6.985679357
Corn,1995,4784.6234,8.634087377
Corn,1996,5106.603,7.695267411
Corn,1997,5476.532,7.692307692
Corn,1998,5807.902,7.352941176
Corn,1999,6070.782,7.407407407
Corn,2000,6301.482,7.246376812
Corn,2001,6548.152,6.944444444
Corn,2002,6815.072,7.462686567
Corn,2003,7127.892,6.711409396
Corn,2004,7447.512,5.917159763
Corn,2005,7809.862,6.711409396
Corn,2006,8070.292,7.246376812
Corn,2007,8422.162,6.993006993
Corn,2008,8891.102,6.944444444
CrudeOil,1947,20.93,2.64
CrudeOil,1948,22.79,3.32
CrudeOil,1949,24.81,3.3
CrudeOil,1950,26.65,3.23
CrudeOil,1951,28.62,3.01
CrudeOil,1952,30.87,2.95
CrudeOil,1953,33.16,3.08
CrudeOil,1954,35.52,3.15
CrudeOil,1955,37.87,3.09
CrudeOil,1956,40.31,2.99
CrudeOil,1957,42.93,3.17
CrudeOil,1958,45.55,3.03
CrudeOil,1959,48,2.9
CrudeOil,1960,50.57,2.85
CrudeOil,1961,53.13,2.82
CrudeOil,1962,55.75,2.79
CrudeOil,1963,58.43,2.74
CrudeOil,1964,61.18,2.69
CrudeOil,1965,63.97,2.63
CrudeOil,1966,66.82,2.59
CrudeOil,1967,69.85,2.54
CrudeOil,1968,73.07,2.47
Cyclohexane,1956,416,5.995670996
Cyclohexane,1957,457,5.599169263
Cyclohexane,1958,528,5.622523462
Cyclohexane,1959,579,5.395252838
Cyclohexane,1960,639,5.345603272
Cyclohexane,1961,726,5.140816327
Cyclohexane,1962,834,4.60593654
Cyclohexane,1963,967,4.154554759
Cyclohexane,1964,1133,3.940451745
Cyclohexane,1965,1343,4.137931034
Cyclohexane,1966,1605,4.026785714
Cyclohexane,1967,1897,3.72303207
Cyclohexane,1968,2170,3.221153846
Cyclohexane,1969,2484,3.14797361
Cyclohexane,1970,2827,3.103074141
Cyclohexane,1971,3110,2.81255374
Cyclohexane,1972,3379,2.495812395
DRAM,1971,0,49.617952
DRAM,1972,0.00092,32.9276677
DRAM,1973,0.00471,25.1259413
DRAM,1974,0.013,15.60088634
DRAM,1975,0.03287,7.299822299
DRAM,1976,0.07557,3.62459676
DRAM,1977,0.20623,2.043005538
DRAM,1978,0.4823,1.239024459
DRAM,1979,1.14616,0.901530955
DRAM,1980,2.58488,0.638162733
DRAM,1981,5.75764,0.270379735
DRAM,1982,10.27031,0.148350229
DRAM,1983,21.79072,0.110235974
DRAM,1984,51.43921,0.087626193
DRAM,1985,119.85797,0.027144296
DRAM,1986,207.37638,0.016425558
DRAM,1987,399.78352,0.015803998
DRAM,1988,655.39194,0.022024975
DRAM,1989,1084.79692,0.01900752
DRAM,1990,1716.75401,0.008998422
DRAM,1991,2667.34714,0.005673695
DRAM,1992,4213.93776,0.003908046
DRAM,1993,7059.57642,0.003998369
DRAM,1994,11237.53574,0.003901705
DRAM,1995,18748.34145,0.003850863
DRAM,1996,31758.94139,0.001295655
DRAM,1997,55118.0194,0.00051369
DRAM,1998,100771.8986,0.000192708
DRAM,1999,185948.7767,0.000162376
DRAM,2000,333276.1814,0.000123933
DRAM,2001,596912.045,2.95E-05
DRAM,2002,1016584.015,2.81E-05
DRAM,2003,1606485.736,2.15E-05
DRAM,2004,2429501.009,2.10E-05
DRAM,2005,3750832.581,1.28E-05
DRAM,2006,5745430.459,1.11E-05
DRAM,2007,8690504.332,5.24E-06
ElectricRange,1947,4.9,301
ElectricRange,1948,6.2,295
ElectricRange,1949,7.7,288
ElectricRange,1950,8.6,280
ElectricRange,1951,10.4,288
ElectricRange,1952,11.7,282
ElectricRange,1953,12.9,285
ElectricRange,1954,14.3,285
ElectricRange,1955,15.2,282
ElectricRange,1956,16.7,271
ElectricRange,1957,17.7,257
ElectricRange,1958,18.2,259
ElectricRange,1959,19.3,250
ElectricRange,1960,20,245
ElectricRange,1961,21,240
ElectricRange,1962,22,230
ElectricRange,1963,22.9,227
ElectricRange,1964,23.8,200
ElectricRange,1965,25,200
ElectricRange,1966,26.2,197
ElectricRange,1967,27.7,190
Ethanol,1981,3383,27.37
Ethanol,1982,7089,26.25
Ethanol,1983,11252,23.65
Ethanol,1984,17075,23.26
Ethanol,1985,24936,24.25
Ethanol,1986,34188,18.44
Ethanol,1987,46008,19.44
Ethanol,1988,56514,16.9
Ethanol,1989,67971,14.18
Ethanol,1990,79675,12.89
Ethanol,1991,91573,13.12
Ethanol,1992,103356,13.6
Ethanol,1993,116108,12.22
Ethanol,1994,127795,12.2
Ethanol,1995,139091,10.95
Ethanol,1996,151783,11.88
Ethanol,1997,164454,10.35
Ethanol,1998,178688,9.46
Ethanol,1999,194097,4.98
Ethanol,2000,208025,9.61
Ethanol,2001,221093,11.26
Ethanol,2002,231708,10.06
Ethanol,2003,243211,10.63
Ethanol,2004,255849,8.4
Ethanolamine,1955,430.3,26.65957447
Ethanolamine,1956,508.4,25.68831169
Ethanolamine,1957,601.8,24.35410177
Ethanolamine,1958,695.5,23.63816475
Ethanolamine,1959,792.9,22.43240454
Ethanolamine,1960,917.7,21.82924335
Ethanolamine,1961,1043.8,20.99285714
Ethanolamine,1962,1175,21.2272262
Ethanolamine,1963,1310.5,20.23234391
Ethanolamine,1964,1456.3,19.03593429
Ethanolamine,1965,1630.2,18.0851927
Ethanolamine,1966,1831,16.5109127
Ethanolamine,1967,2038.8,15.17103984
Ethanolamine,1968,2265.6,13.0625
Ethanolamine,1969,2489.5,11.64373233
Ethanolamine,1970,2744.6,10.24954792
Ethanolamine,1971,3008.9,9.845227859
Ethanolamine,1972,3268.1,9.793132328
Ethylene2,1960,30831,5.110429448
Ethylene2,1961,36047,5.1
Ethylene2,1962,41535,4.812691914
Ethylene2,1963,47857,4.615148414
Ethylene2,1964,55007,4.784394251
Ethylene2,1965,63172,4.10851927
Ethylene2,1966,72209,4.096230159
Ethylene2,1967,82453,3.839650146
Ethylene2,1968,93319,3.3
Ethylene2,1969,106384,3.110273327
Ethylene2,1970,122211,2.792947559
Ethylene2,1971,139276,2.606190886
Ethylene2,1972,156751,2.495812395
EthyleneGlycol,1960,10968.9,10.47750511
EthyleneGlycol,1961,12266.2,11.06938776
EthyleneGlycol,1962,13449.5,9.556806551
EthyleneGlycol,1963,14883.4,9.255885363
EthyleneGlycol,1964,16543,9.396303901
EthyleneGlycol,1965,18357.6,8.820486815
EthyleneGlycol,1966,20155.5,8.08531746
EthyleneGlycol,1967,22236.7,7.325558795
EthyleneGlycol,1968,24225.5,6.441346154
EthyleneGlycol,1969,26268.3,6.030160226
EthyleneGlycol,1970,28839.2,5.984629295
EthyleneGlycol,1971,31876.7,5.496130696
EthyleneGlycol,1972,34946.7,5.005862647
Formaldehyde,1962,23103.6,3.245649949
Formaldehyde,1963,25501.7,3.090071648
Formaldehyde,1964,28038.9,2.689938398
Formaldehyde,1965,30878.8,2.576064909
Formaldehyde,1966,33985.4,2.677579365
Formaldehyde,1967,37698,2.535471331
Formaldehyde,1968,41405.1,2.365384615
Formaldehyde,1969,45709.7,2.176248822
Formaldehyde,1970,50107.5,2.151898734
Formaldehyde,1971,54534.4,1.909716251
Formaldehyde,1972,59056,1.617252931
FreeStandingGasRange,1947,34.7,116.6
FreeStandingGasRange,1948,37.1,119.4
FreeStandingGasRange,1949,40.1,114.7
FreeStandingGasRange,1950,42.2,117.2
FreeStandingGasRange,1951,45.2,117.8
FreeStandingGasRange,1952,47.4,112.5
FreeStandingGasRange,1953,49.6,115.8
FreeStandingGasRange,1954,51.5,105.1
FreeStandingGasRange,1955,53.6,106
FreeStandingGasRange,1956,55.9,101.2
FreeStandingGasRange,1957,57.9,98.6
FreeStandingGasRange,1958,59.7,96.4
FreeStandingGasRange,1959,61.4,97
FreeStandingGasRange,1960,63,92.4
FreeStandingGasRange,1961,64.5,91.2
FreeStandingGasRange,1962,65.9,90.6
FreeStandingGasRange,1963,67.6,93.2
FreeStandingGasRange,1964,69.3,86.1
FreeStandingGasRange,1965,70.7,84.6
FreeStandingGasRange,1966,72.3,84.2
FreeStandingGasRange,1967,73.8,83.1
GeothermalElectricity,1980,26599233,12.375
GeothermalElectricity,1981,31672312,11.74342105
GeothermalElectricity,1982,37358475,11.11111111
GeothermalElectricity,1983,42201340,10.47794118
GeothermalElectricity,1984,48276441,9.84375
GeothermalElectricity,1985,56016945,9.208333333
GeothermalElectricity,1986,65342175,8.571428571
GeothermalElectricity,1987,75650129,8.254869668
GeothermalElectricity,1988,86425590,7.932692308
GeothermalElectricity,1989,96725669,7.325581395
GeothermalElectricity,1990,111319112,7.181756297
GeothermalElectricity,1991,126753383,6.86277995
GeothermalElectricity,1992,142719827,6.428571429
GeothermalElectricity,1993,158857789,5.86306914
GeothermalElectricity,1994,175646354,5.676521739
GeothermalElectricity,1995,191181807,5.5125
GeothermalElectricity,1996,204560065,5.436231884
GeothermalElectricity,1997,218888749,5.0243309
GeothermalElectricity,1998,233614851,4.675324675
GeothermalElectricity,1999,248388769,4.426373626
GeothermalElectricity,2000,263215782,4.322033898
GeothermalElectricity,2001,277308940,4.219653179
GeothermalElectricity,2002,291049441,4.117159763
GeothermalElectricity,2003,305540751,3.945679012
GeothermalElectricity,2004,319964982,3.705263158
GeothermalElectricity,2005,334775957,3.61952862
HardDiskDrive,1989,1769.9,13.38268249
HardDiskDrive,1990,4205.8,9.50486357
HardDiskDrive,1991,7932.9,6.997576581
HardDiskDrive,1992,12643.7,3.925980122
HardDiskDrive,1993,20824.1,1.870505757
HardDiskDrive,1994,35679.6,0.883271817
HardDiskDrive,1995,68612.6,0.405048884
HardDiskDrive,1996,149289.8,0.216065177
HardDiskDrive,1997,309913.2,0.111202621
HardDiskDrive,1998,647974.6,0.040066604
HardDiskDrive,1999,1447974.6,0.018487629
HardDiskDrive,2000,2947974.6,0.009924938
HardDiskDrive,2001,5447974.6,0.006980927
HardDiskDrive,2002,7947974.6,0.001892621
HardDiskDrive,2003,16947974.6,0.001963277
HardDiskDrive,2004,27947974.6,0.001094871
HardDiskDrive,2005,47947974.6,0.0006954
HardDiskDrive,2006,87947974.6,0.000342648
HardDiskDrive,2007,172947974.6,0.000307196
HydrofluoricAcid,1962,2092.5,14.55987718
HydrofluoricAcid,1963,2259,14.24257932
HydrofluoricAcid,1964,2447.4,13.71252567
HydrofluoricAcid,1965,2644.7,13.8336714
HydrofluoricAcid,1966,2870.9,13.23710317
HydrofluoricAcid,1967,3138.1,13.24198251
HydrofluoricAcid,1968,3410.9,13.70480769
HydrofluoricAcid,1969,3712.7,13.7464656
HydrofluoricAcid,1970,4040,14.54520796
HydrofluoricAcid,1971,4364.9,14.54170249
HydrofluoricAcid,1972,4699,13.31239531
LaserDiode,1983,0.1,3500
LaserDiode,1984,1.1,2000
LaserDiode,1985,11,1500
LaserDiode,1986,110,1000
LaserDiode,1987,300,750
LaserDiode,1988,600,400
LaserDiode,1989,1150,300
LaserDiode,1990,1850,200
LaserDiode,1991,3150,170
LaserDiode,1992,5030,140
LaserDiode,1993,6580,140
LaserDiode,1994,8400,140
LowDensityPolyethylene,1953,265,0.498
LowDensityPolyethylene,1954,400,0.458
LowDensityPolyethylene,1955,610,0.43
LowDensityPolyethylene,1956,1012,0.386
LowDensityPolyethylene,1957,1578,0.329
LowDensityPolyethylene,1958,2286,0.32
LowDensityPolyethylene,1959,3076,0.315
LowDensityPolyethylene,1960,4156,0.27
LowDensityPolyethylene,1961,5266,0.22
LowDensityPolyethylene,1962,6586,0.199
LowDensityPolyethylene,1963,8176,0.168
LowDensityPolyethylene,1964,9926,0.156
LowDensityPolyethylene,1965,11886,0.153
LowDensityPolyethylene,1966,14146,0.149
LowDensityPolyethylene,1967,16766,0.128
LowDensityPolyethylene,1968,19526,0.107
Magnesium,1954,789.4,30.4785553
Magnesium,1955,859.1,33.0212766
Magnesium,1956,920.2,36.67316017
Magnesium,1957,988.5,36.66043614
Magnesium,1958,1069.8,36.81334724
Magnesium,1959,1099.9,36.43343653
Magnesium,1960,1130.9,36.09815951
Magnesium,1961,1171,36.0244898
Magnesium,1962,1211.7,36.13510747
Magnesium,1963,1280.7,36.13510747
Magnesium,1964,1356.5,35.81416838
Magnesium,1965,1436,34.99087221
Magnesium,1966,1517.4,33.81944444
Magnesium,1967,1597.2,33.03012634
Magnesium,1968,1694.6,32.3875
Magnesium,1969,1793,31.58812441
Magnesium,1970,1892.9,30.12206148
Magnesium,1971,2004.9,30.17454858
Magnesium,1972,2128.4,30.16499162
MaleicAnhydride,1959,409.3,26.9370485
MaleicAnhydride,1960,469.9,24.17280164
MaleicAnhydride,1961,560,22.11428571
MaleicAnhydride,1962,637.7,17.06857728
MaleicAnhydride,1963,721.7,13.62947799
MaleicAnhydride,1964,808.3,12.52053388
MaleicAnhydride,1965,926.4,11.80020284
MaleicAnhydride,1966,1054.6,12.60416667
MaleicAnhydride,1967,1223.2,12.8765792
MaleicAnhydride,1968,1391.4,11.86730769
MaleicAnhydride,1969,1573.1,13.7737983
MaleicAnhydride,1970,1773.8,14.34267631
MaleicAnhydride,1971,1988.9,12.6672399
MaleicAnhydride,1972,2217.5,10.99748744
Methanol,1957,2466.2,4.173416407
Methanol,1958,2695.6,3.713242961
Methanol,1959,2910.1,3.809081527
Methanol,1960,3175.4,3.680981595
Methanol,1961,3471.9,3.633673469
Methanol,1962,3779.6,3.481064483
Methanol,1963,4115.7,3.512794268
Methanol,1964,4467.7,2.925051335
Methanol,1965,4864.6,3.193711968
Methanol,1966,5297.3,3.235119048
Methanol,1967,5790.3,3.041788144
Methanol,1968,6308,2.549038462
Methanol,1969,6883.8,2.525918944
Methanol,1970,7518.2,2.59403255
Methanol,1971,8262,1.702493551
Methanol,1972,9008.6,1.215242881
Milk,1931,100158,224.2494832
Milk,1932,203187,232.2059532
Milk,1933,306997,236.8530574
Milk,1934,411759,247.9487508
Milk,1935,513380,238.9684304
Milk,1936,614585,231.6775705
Milk,1937,716995,228.999686
Milk,1938,818903,219.3720642
Milk,1939,924710,217.939546
Milk,1940,1031502,216.3455562
Milk,1941,1140914,211.0341652
Milk,1942,1256002,211.1369829
Milk,1943,1374535,217.4966031
Milk,1944,1491552,218.732215
Milk,1945,1608575,208.9244584
Milk,1946,1728403,204.671317
Milk,1947,1846100,199.7123632
Milk,1948,1962914,198.3207746
Milk,1949,2075585,189.6953567
Milk,1950,2191688,188.197458
Milk,1951,2308290,187.5227806
Milk,1952,2422971,186.0801772
Milk,1953,2537642,180.4277123
Milk,1954,2657863,176.7597097
Milk,1955,2779957,171.1684086
Milk,1956,2902902,164.1894922
Milk,1957,3027762,158.6665918
Milk,1958,3152390,151.8535952
Milk,1959,3275610,146.7451983
Milk,1960,3397599,142.2836673
Milk,1961,3520708,137.1586308
Milk,1962,3646415,133.416765
Milk,1963,3772666,129.8765195
Milk,1964,3897868,123.4722408
Milk,1965,4024835,120.4139153
Milk,1966,4149015,117.3477217
Milk,1967,4268927,112.9813361
Milk,1968,4387659,109.4612924
Milk,1969,4504884,105.9935577
Milk,1970,4620992,102.5340364
Milk,1971,4737999,99.84143852
Milk,1972,4856565,97.45053114
Milk,1973,4976590,98.82848014
Milk,1974,5092081,97.16142093
Milk,1975,5207667,96.98175012
Milk,1976,5323065,91.78981528
Milk,1977,5443245,89.23076923
Milk,1978,5565900,88.94780175
Milk,1979,5687360,87.01175517
Milk,1980,5810710,84.07083781
Milk,1981,5939116,82.08179559
Milk,1982,6071886,80.96567061
Milk,1983,6207688,79.22815715
Milk,1984,6347276,79.73934437
Milk,1985,6482627,76.78446564
Milk,1986,6625639,75.41445519
Milk,1987,6769020,72.44119896
Milk,1988,6911577,70.49381524
Milk,1989,7056611,69.81576588
Milk,1990,7200504,67.64779551
Milk,1991,7348225,66.52809468
Milk,1992,7495922,64.20784041
Milk,1993,7646807,63.60365384
Milk,1994,7797443,61.80909103
Milk,1995,7951045,60.95613425
Milk,1996,8106337,64.92604184
Milk,1997,8260343,59.27311632
Milk,1998,8416434,58.18633872
Milk,1999,8573696,56.29175405
Milk,2000,8736285,54.95600174
Milk,2001,8903678,55.05437544
Milk,2002,9069010,53.74037857
Milk,2003,9239073,53.30146601
Milk,2004,9409467,52.71818363
Milk,2005,9580401,51.1094846
Milk,2006,9757330,50.26212716
Milk,2007,9939112,49.4948668
Milk,2008,10124766,49.03011706
MonochromeTelevision,1948,18,296
MonochromeTelevision,1949,116,249
MonochromeTelevision,1950,416,226
MonochromeTelevision,1951,1162,208
MonochromeTelevision,1952,1700,197
MonochromeTelevision,1953,2310,193
MonochromeTelevision,1954,3032,156
MonochromeTelevision,1955,3767,152
MonochromeTelevision,1956,4543,135
MonochromeTelevision,1957,5282,134
MonochromeTelevision,1958,5922,135
MonochromeTelevision,1959,6414,126
MonochromeTelevision,1960,7049,127
MonochromeTelevision,1961,7620,118
MonochromeTelevision,1962,8238,121
MonochromeTelevision,1963,8885,110
MonochromeTelevision,1964,9598,100
MonochromeTelevision,1965,10409,85.5
MonochromeTelevision,1966,11245,93
MonochromeTelevision,1967,11969,90.5
MonochromeTelevision,1968,12447,89
MotorGasoline,1947,9.72,0.113
MotorGasoline,1948,10.56,0.128
MotorGasoline,1949,11.48,0.131
MotorGasoline,1950,12.44,0.134
MotorGasoline,1951,13.46,0.132
MotorGasoline,1952,14.6,0.129
MotorGasoline,1953,15.79,0.134
MotorGasoline,1954,17.08,0.128
MotorGasoline,1955,18.37,0.126
MotorGasoline,1956,19.79,0.123
MotorGasoline,1957,21.27,0.124
MotorGasoline,1958,22.75,0.116
MotorGasoline,1959,24.24,0.114
MotorGasoline,1960,25.79,0.113
MotorGasoline,1961,27.38,0.112
MotorGasoline,1962,28.98,0.109
MotorGasoline,1963,30.64,0.106
MotorGasoline,1964,32.35,0.104
MotorGasoline,1965,34.13,0.104
MotorGasoline,1966,35.95,0.101
MotorGasoline,1967,37.86,0.1
MotorGasoline,1968,39.84,0.094
NeopreneRubber,1960,2300.7,43.95807771
NeopreneRubber,1961,2601.8,43.86836735
NeopreneRubber,1962,2867.2,44.00307062
NeopreneRubber,1963,3155.9,44.00307062
NeopreneRubber,1964,3444.6,44.1386037
NeopreneRubber,1965,3761.3,43.60141988
NeopreneRubber,1966,4074.9,41.68055556
NeopreneRubber,1967,4395.2,39.86200194
NeopreneRubber,1968,4724.5,39.44038462
NeopreneRubber,1969,5065,38.65975495
NeopreneRubber,1970,5414.4,37.08679928
NeopreneRubber,1971,5774.4,35.26913156
NeopreneRubber,1972,6134.4,34.35343384
NukeHult,1971,0,3.862646283
NukeHult,1972,697.325,3.895603961
NukeHult,1973,3338.575,4.079965034
NukeHult,1974,9594.734679,4.211613206
NukeHult,1975,17889.05187,5.215616202
NukeHult,1976,26595.38928,4.804035743
NukeHult,1977,29205.18928,4.754893167
NukeHult,1978,34708.33928,5.672081441
NukeHult,1979,38459.73928,4.670055656
NukeHult,1980,39288.76428,4.2561653
NukeHult,1981,41054.61428,5.313783067
NukeHult,1982,45254.33928,4.690630471
NukeHult,1983,46380.51428,6.739835164
NukeHult,1984,49376.33928,6.336345537
NukeHult,1985,56893.58928,6.474272102
NukeHult,1986,64766.91428,7.601250435
NukeHult,1987,73747.88928,8.585659506
NukeHult,1988,79925.83928,7.720590493
NukeHult,1989,86871.56428,9.46922608
NukeHult,1990,90088.23928,9.996140534
OnshoreGasPipeline,1980,2.29091076,1100.857653
OnshoreGasPipeline,1981,4.39749396,1344.168761
OnshoreGasPipeline,1982,5.297134,1269.087998
OnshoreGasPipeline,1983,8.66864657,1093.767385
OnshoreGasPipeline,1984,10.57472857,899.3719363
OnshoreGasPipeline,1985,18.41544861,880.9327245
OnshoreGasPipeline,1986,20.73811173,1017.384558
OnshoreGasPipeline,1987,22.86011845,1182.683369
OnshoreGasPipeline,1988,24.36061967,1218.19917
OnshoreGasPipeline,1989,25.04263927,1169.700718
OnshoreGasPipeline,1990,25.45144815,1109.240881
OnshoreGasPipeline,1991,26.59021767,1040.934204
OnshoreGasPipeline,1992,29.03981215,777.7948949
Paraxylene,1958,285,0.16
Paraxylene,1959,390,0.135
Paraxylene,1960,550,0.135
Paraxylene,1961,760,0.125
Paraxylene,1962,1050,0.11
Paraxylene,1963,1250,0.084
Paraxylene,1964,1550,0.082
Paraxylene,1965,1850,0.082
Paraxylene,1966,2320,0.07
Paraxylene,1967,2800,0.07
Paraxylene,1968,3400,0.057
Pentaerythritol,1952,204.4,38.55902778
Pentaerythritol,1953,245.3,38.34733258
Pentaerythritol,1954,301.6,36.56320542
Pentaerythritol,1955,355.3,35.52295633
Pentaerythritol,1956,416.5,35.02380952
Pentaerythritol,1957,473.6,32.32087227
Pentaerythritol,1958,530.1,29.93013556
Pentaerythritol,1959,583.4,30.37151703
Pentaerythritol,1960,647.5,30.21267894
