Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Algeria,1965,0.51229,18.68243,0.51162,21.69648
Algeria,1966,0.34580,18.10801,0.42817,24.67184
Algeria,1967,0.28252,14.85016,0.43489,23.09685
Algeria,1968,0.25785,17.05182,0.31496,21.86746
Algeria,1969,0.27416,18.30799,0.27503,20.88176
Algeria,1970,0.54123,20.57731,0.48936,19.56111
Algeria,1971,0.44792,21.02666,0.36669,15.81428
Algeria,1972,0.38149,19.15626,0.44851,15.18033
Algeria,1973,0.46681,21.91509,0.31987,16.93360
Algeria,1974,0.60549,27.54553,0.68833,33.34366
Algeria,1975,0.77247,36.83125,0.23514,29.16629
Algeria,1976,0.29627,28.59558,0.21339,29.69955
Algeria,1977,0.40053,32.48261,0.26529,29.11167
Algeria,1978,0.39166,31.48118,0.13935,25.83674
Algeria,1979,0.17720,24.25679,0.23960,30.72393
Algeria,1980,0.31112,23.71040,0.09622,33.14551
Algeria,1981,0.38235,24.18871,0.08597,32.34599
Algeria,1982,0.03546,18.54539,0.00864,29.29894
Algeria,1983,0.33176,19.99441,0.14475,26.72254
Algeria,1984,0.23369,18.07868,0.26238,24.25085
Algeria,1985,0.22558,16.10937,0.30668,22.15302
Algeria,1986,0.22447,13.36100,0.15508,14.63481
Algeria,1987,0.28259,9.81882,0.16761,14.32785
Algeria,1988,0.17753,11.71737,0.20846,14.75807
Algeria,1989,0.35291,14.41539,0.25591,17.52235
Algeria,1990,0.28100,14.61249,0.31874,21.58338
Algeria,1991,0.41976,15.32995,0.43165,27.69824
Algeria,1992,0.60207,16.48752,0.53640,23.71293
Algeria,1993,0.55724,15.98148,0.47735,21.11923
Algeria,1994,0.95868,20.72015,0.63434,22.72811
Algeria,1995,0.78748,24.13940,0.73170,26.95252
Algeria,1996,0.50796,18.25251,0.53083,30.24688
Algeria,1997,0.35974,16.61650,0.44981,31.13304
Algeria,1998,0.47290,18.11305,0.28648,24.42661
Algeria,1999,0.56228,17.52873,0.49727,27.12326
Algeria,2000,0.51275,15.65661,0.57617,39.74334
Argentina,1962,0.08037,4.37680,0.03494,4.61357
Argentina,1963,0.09726,4.17749,0.02332,6.62448
Argentina,1964,0.11150,3.33613,0.03809,5.24294
Argentina,1965,0.06684,3.34300,0.01811,4.85900
Argentina,1966,0.02554,3.05204,0.02293,5.03898
Argentina,1967,0.02071,3.62745,0.03032,5.78025
Argentina,1968,0.02515,3.56234,0.02713,4.67639
Argentina,1969,0.02850,3.99647,0.04747,4.70097
Argentina,1970,0.06433,4.36024,0.05184,5.35062
Argentina,1971,0.04650,4.00986,0.01837,4.31616
Argentina,1972,0.03441,2.75005,0.01576,3.07137
Argentina,1973,0.01698,1.89496,0.16054,2.88726
Argentina,1974,0.03202,2.19668,0.10655,2.59369
Argentina,1975,0.05454,5.89549,0.15694,4.81198
Argentina,1976,0.02171,3.17632,0.05879,4.44209
Argentina,1977,0.01188,4.58374,0.24545,6.79670
Argentina,1978,0.00835,3.29923,0.11609,6.02910
Argentina,1979,0.00357,3.47945,0.06343,4.36637
Argentina,1980,0.00566,4.00463,0.05751,2.68235
Argentina,1981,0.00662,4.37715,0.08604,3.11384
Argentina,1982,0.00582,4.83553,0.19134,5.98562
Argentina,1983,0.00104,2.89859,0.01069,3.38531
Argentina,1984,0.00285,2.92923,0.21083,5.05739
Argentina,1985,0.00264,3.14057,0.34245,6.72153
Argentina,1986,0.00341,3.40385,0.18927,5.41648
Argentina,1987,0.00744,4.13169,0.10683,4.99179
Argentina,1988,0.00690,3.29229,0.24216,5.96060
Argentina,1989,0.00607,4.31296,0.22448,11.00783
Argentina,1990,0.00857,2.33361,0.21512,7.68202
Argentina,1991,0.01498,3.28772,0.19066,5.72440
Argentina,1992,0.02577,5.27525,0.18971,4.49393
Argentina,1993,0.02651,5.77694,0.15107,4.44350
Argentina,1994,0.03496,6.82723,0.14980,5.15202
Argentina,1995,0.03905,6.22691,0.26022,6.57555
Argentina,1996,0.05428,6.94509,0.32634,7.18383
Argentina,1997,0.06985,8.19492,0.37078,7.15805
Argentina,1998,0.07809,8.48067,0.44484,7.02250
Argentina,1999,0.06673,7.27193,0.42629,6.47603
Argentina,2000,0.07246,6.59504,0.28750,7.28140
Armenia,1992,,6.38677,,3.20559
Armenia,1993,,22.65793,,7.22348
Armenia,1994,,14.96003,,7.67622
Armenia,1995,,9.62720,0.02052,3.62519
Armenia,1996,0.04371,20.33165,,6.31242
Armenia,1997,0.06835,23.11893,,11.13732
Armenia,1998,,24.56989,,8.88076
Armenia,1999,0.01203,18.77011,0.03332,9.43567
Armenia,2000,,15.42093,,11.14794
Australia,1962,0.35523,7.78017,0.43681,9.12676
Australia,1963,0.39876,8.63620,0.42522,10.95235
Australia,1964,0.37776,9.78806,0.44742,10.84491
Australia,1965,0.38485,10.69558,0.45832,9.98683
Australia,1966,0.31634,9.23874,0.50489,9.60687
Australia,1967,0.32574,8.98369,0.75092,9.36299
Australia,1968,0.27694,9.20291,0.43623,8.86131
Australia,1969,0.24034,8.44805,0.36768,9.53801
Australia,1970,0.23978,9.35772,0.46004,10.23398
Australia,1971,0.20411,8.70345,0.53722,10.02144
Australia,1972,0.16656,7.26457,0.48764,10.33559
Australia,1973,0.17118,7.53981,0.29772,10.56271
Australia,1974,0.23629,10.25866,0.71288,10.49026
Australia,1975,0.16242,8.56039,0.71036,10.24764
Australia,1976,0.16645,9.04244,0.59407,11.07533
Australia,1977,0.22279,9.87638,0.57393,11.38972
Australia,1978,0.07965,8.14539,0.32233,8.93393
Australia,1979,0.22638,10.28152,0.53447,12.19244
Australia,1980,0.20651,10.72343,0.48132,11.87643
Australia,1981,0.17661,11.00665,0.44815,10.48732
Australia,1982,0.16537,11.71883,0.55800,11.06440
Australia,1983,0.02394,7.90695,0.06257,7.67970
Australia,1984,0.15340,10.51386,0.48793,10.44099
Australia,1985,0.15734,12.27452,0.73494,11.77438
Australia,1986,0.19467,12.29394,0.55067,11.17227
Australia,1987,0.24672,11.26395,0.45351,11.29392
Australia,1988,0.15803,10.94347,0.47676,10.91619
Australia,1989,0.16106,12.12822,0.51532,10.86307
Australia,1990,0.15110,11.85341,0.58770,11.71956
Australia,1991,0.15027,11.47166,0.46555,11.94042
Australia,1992,0.15666,12.21039,0.59146,12.03786
Australia,1993,0.18717,12.47277,0.53419,12.22515
Australia,1994,0.20768,13.00769,0.57957,11.93438
Australia,1995,0.21059,13.83770,0.60444,12.40337
Australia,1996,0.21371,13.21152,0.67926,12.38351
Australia,1997,0.24339,13.16888,0.82355,12.89707
Australia,1998,0.25005,14.44749,0.77957,12.98967
Australia,1999,0.23125,14.21737,0.67944,11.89867
Australia,2000,0.26577,16.06369,0.45103,14.73647
Austria,1962,0.04974,15.28721,0.09656,11.73001
Austria,1963,0.30778,17.05717,0.21692,12.42521
Austria,1964,0.32796,17.44856,0.27996,12.17675
Austria,1965,0.35481,18.13289,0.24777,12.22197
Austria,1966,0.32190,18.53423,0.24448,11.96894
Austria,1967,0.25063,17.38962,0.24587,12.10704
Austria,1968,0.28690,17.37219,0.21158,12.58350
Austria,1969,0.26224,18.01353,0.18545,14.18566
Austria,1970,0.27347,21.24968,0.23547,15.93971
Austria,1971,0.25928,21.42038,0.20384,15.50203
Austria,1972,0.19995,21.96190,0.19138,15.40688
Austria,1973,0.19964,22.42772,0.15993,16.10315
Austria,1974,0.21893,22.83591,0.29766,18.00283
Austria,1975,0.20747,21.00638,0.29059,15.77421
Austria,1976,0.21402,24.22256,0.34154,16.43721
Austria,1977,0.26072,25.17122,0.42852,15.83883
Austria,1978,0.22337,23.50978,0.36666,17.10085
Austria,1979,0.31176,24.58355,0.38343,17.26326
Austria,1980,0.26483,26.60601,0.39718,17.89715
Austria,1981,0.36790,26.33438,0.62224,18.47280
Austria,1982,0.34842,24.57463,0.68084,18.12170
Austria,1983,0.35679,24.30630,0.52036,18.38376
Austria,1984,0.30444,25.52836,0.47314,20.97067
Austria,1985,0.32895,26.66845,0.44575,22.42209
Austria,1986,0.25094,25.00509,0.28872,20.87291
Austria,1987,0.21326,24.60999,0.26356,20.61402
Austria,1988,0.20357,25.87838,0.25943,21.77497
Austria,1989,0.27093,27.49670,0.22991,22.93596
Austria,1990,0.27184,28.74944,0.23113,22.95245
Austria,1991,0.22056,27.94225,0.21125,23.20790
Austria,1992,0.24695,26.59913,0.25380,21.77613
Austria,1993,0.25225,24.89949,0.18700,20.88324
Austria,1994,0.30722,26.60352,0.20077,22.16594
Austria,1995,0.26612,27.04443,0.21981,20.69765
Austria,1996,0.31288,27.73974,0.28774,21.76090
Austria,1997,0.29944,29.22680,0.27889,24.22106
Austria,1998,0.28299,30.16066,0.24863,25.31951
Austria,1999,0.28144,29.78205,0.24341,25.95499
Austria,2000,0.30242,31.72319,0.24357,28.36764
Azerbaijan,1992,,48.26534,,14.08384
Azerbaijan,1993,0.02431,16.60147,,6.48987
Azerbaijan,1994,,25.32167,,4.47987
Azerbaijan,1995,0.21131,17.65115,,5.99744
Azerbaijan,1996,0.39338,23.71334,0.00979,8.36664
Azerbaijan,1997,0.36663,29.50155,0.01524,14.27100
Azerbaijan,1998,0.14823,25.61162,,8.68303
Azerbaijan,1999,0.16801,18.36311,0.03488,15.60361
Azerbaijan,2000,0.01100,18.14190,0.00277,23.93368
Bahamas,1970,0.02463,49.88188,0.01372,18.26928
Bahamas,1971,0.02000,36.76497,0.09189,47.55782
Bahamas,1972,0.01075,71.48395,0.10921,8.34121
Bahamas,1973,0.01794,73.94590,0.00579,11.13280
Bahamas,1974,0.04772,172.22664,0.01375,142.14711
Bahamas,1975,0.04282,190.59229,0.17947,125.22340
Bahamas,1976,0.05857,236.32167,0.74753,97.53456
Bahamas,1977,0.05862,156.55016,0.02006,126.47108
Bahamas,1978,0.02149,42.83319,0.00367,113.19940
Bahamas,1979,0.04824,83.43370,2.51425,151.22984
Bahamas,1980,0.05320,125.24124,0.89543,160.08316
Bahamas,1981,0.16845,78.90571,1.86817,92.07544
Bahamas,1982,0.94223,53.20635,0.08175,84.42987
Bahamas,1983,0.00011,42.56327,0.01557,111.18345
Bahamas,1984,0.01997,63.74461,0.11789,78.71034
Bahamas,1985,,55.01685,0.07686,44.64480
Bahamas,1986,,65.53632,0.07861,27.01642
Bahamas,1987,,69.67470,0.05770,24.22514
Bahamas,1988,0.00370,47.02046,0.00689,21.66157
Bahamas,1989,0.01036,38.06719,0.00603,30.47216
Bahamas,1990,0.00295,53.05288,0.00867,28.62474
Bahamas,1991,0.02016,49.67106,0.00566,25.72695
Bahamas,1992,0.01398,57.67069,0.02127,30.34066
Bahamas,1993,0.00371,77.73638,0.40188,24.93861
Bahamas,1994,0.00276,55.96530,0.05453,16.71529
Bahamas,1995,0.01646,40.41524,0.01035,15.42374
Bahamas,1996,0.00804,71.16252,0.05505,14.74977
Bahamas,1997,0.03060,44.26860,,14.23759
Bahamas,1998,0.02319,41.67121,,9.98519
Bahamas,1999,0.06621,43.27734,0.05698,10.44799
Bahamas,2000,0.06954,36.10436,0.01332,11.77804
Bahrain,1970,4.03148,35.34994,0.54052,51.81734
Bahrain,1971,3.43330,39.06389,1.83896,45.75663
Bahrain,1972,2.46256,62.66440,1.48372,63.64115
Bahrain,1973,2.83418,61.77784,2.00945,48.54237
Bahrain,1974,3.19003,103.31659,7.13561,84.73501
Bahrain,1975,2.37558,95.28785,5.21414,65.34449
Bahrain,1976,3.34634,93.53248,4.70518,59.72111
Bahrain,1977,2.78448,49.53705,3.75729,49.33214
Bahrain,1978,2.62683,44.82847,3.27018,36.71336
Bahrain,1979,1.62375,82.92725,5.75143,53.47133
Bahrain,1980,2.24179,90.03091,6.98011,59.00907
Bahrain,1981,1.35033,37.03607,4.54004,53.75925
Bahrain,1982,0.29090,70.76714,0.44917,37.99147
Bahrain,1983,0.37861,25.56412,0.35141,19.12740
Bahrain,1984,0.83093,22.90158,5.81299,27.47006
Bahrain,1985,0.84744,21.42885,2.70828,24.80682
Bahrain,1986,0.81159,19.75746,3.46257,26.79863
Bahrain,1987,0.91780,20.79012,4.54389,28.79784
Bahrain,1988,0.91636,25.63502,4.86853,28.96795
Bahrain,1989,1.32857,33.42164,5.52096,27.46243
Bahrain,1990,0.87498,34.43979,9.38814,27.84650
Bahrain,1991,1.15822,35.73930,11.43812,26.74693
Bahrain,1992,1.59241,39.01773,8.95576,24.93243
Bahrain,1993,1.54084,34.16244,8.89694,26.77741
Bahrain,1994,1.31513,27.58630,8.72332,22.78478
Bahrain,1995,1.35455,21.88167,9.35507,24.63526
Bahrain,1996,1.45751,21.49531,12.11669,26.32533
Bahrain,1997,1.39278,22.64412,9.17948,26.30663
Bahrain,1998,1.36634,30.27458,8.72745,25.07418
Bahrain,1999,1.35356,25.26913,6.51904,24.25979
Bahrain,2000,0.55430,14.94806,1.42782,23.42885
Bangladesh,1972,1.51390,4.43545,0.03161,0.81362
Bangladesh,1973,1.84420,6.29178,0.34356,2.11572
Bangladesh,1974,0.61338,5.85419,0.20538,2.22734
Bangladesh,1975,0.77012,6.89258,0.14754,1.47304
Bangladesh,1976,0.87458,5.03369,0.56007,3.19489
Bangladesh,1977,0.83872,7.46784,0.51318,2.84733
Bangladesh,1978,0.72773,9.31434,0.83574,3.43855
Bangladesh,1979,1.10362,9.07795,0.70626,3.37766
Bangladesh,1980,0.64495,9.78937,0.59207,2.65688
Bangladesh,1981,1.19670,9.26238,0.91319,2.74219
Bangladesh,1982,1.22900,9.92277,0.89129,3.14392
Bangladesh,1983,0.87397,8.40151,0.82385,3.68150
Bangladesh,1984,0.73707,9.00032,0.63016,3.33043
Bangladesh,1985,0.95291,8.13342,0.33189,3.45143
Bangladesh,1986,0.85414,7.72240,0.30518,3.55862
Bangladesh,1987,1.03656,8.10020,0.28454,4.36240
Bangladesh,1988,1.18863,7.59409,0.21261,4.75966
Bangladesh,1989,1.33225,8.15837,0.22312,4.58909
Bangladesh,1990,1.48579,7.87550,0.22338,5.59018
Bangladesh,1991,1.49893,6.72912,0.17696,5.77839
Bangladesh,1992,1.74525,7.19778,0.24573,7.26132
Bangladesh,1993,1.70999,7.46071,0.20946,7.76491
Bangladesh,1994,2.27242,8.51411,0.21701,8.66598
Bangladesh,1995,3.15658,9.41238,0.35133,9.63959
Bangladesh,1996,2.43373,9.55283,0.29649,9.97503
Bangladesh,1997,2.12804,9.52230,0.24933,11.15507
Bangladesh,1998,2.56711,9.62115,0.27158,11.44215
Bangladesh,1999,1.70565,8.93076,0.25689,11.35722
Bangladesh,2000,0.35415,9.70433,0.08560,13.83129
Barbados,1962,0.11615,26.97854,0.05054,11.70840
Barbados,1963,0.25670,28.55655,0.01919,32.19669
Barbados,1964,0.39958,31.49754,0.06154,25.63086
Barbados,1965,0.26848,32.80710,0.05565,20.61047
Barbados,1966,0.28060,34.64231,,19.02033
Barbados,1967,0.44108,44.76463,,19.13289
Barbados,1968,0.52422,49.58099,0.00497,20.28647
Barbados,1969,0.66537,49.66554,0.04042,20.17246
Barbados,1970,0.79169,51.74598,0.18622,19.46931
Barbados,1971,0.73812,46.85307,0.37174,16.07913
Barbados,1972,0.75474,48.72741,0.00432,12.81654
Barbados,1973,1.08068,46.93628,0.00443,11.99641
Barbados,1974,0.88972,47.82166,1.61818,18.02223
Barbados,1975,0.59767,41.56958,0.02647,18.92172
Barbados,1976,0.79204,42.11073,0.00290,13.12919
Barbados,1977,0.72574,42.75731,0.00749,12.78491
Barbados,1978,0.71044,43.63134,0.01064,14.88357
Barbados,1979,0.42895,50.05678,0.02031,15.42842
Barbados,1980,0.23468,48.74814,0.03068,18.19592
Barbados,1981,0.04882,33.01279,0.00249,14.37985
Barbados,1982,0.10433,30.03541,0.00195,16.48906
Barbados,1983,0.14893,30.86997,0.00024,22.61698
Barbados,1984,0.01189,24.11822,0.03363,21.61502
Barbados,1985,0.02813,18.90448,0.03087,16.59321
Barbados,1986,,18.77572,0.12965,9.46441
Barbados,1987,0.00679,15.50462,0.00981,6.82974
Barbados,1988,,16.54822,,5.36060
Barbados,1989,,16.76333,,4.79486
Barbados,1990,,17.28050,0.00752,4.43966
Barbados,1991,,15.06403,,4.01462
Barbados,1992,,11.51571,,4.29714
Barbados,1993,0.02532,12.74718,,4.68580
Barbados,1994,0.02242,13.97463,,3.93298
Barbados,1995,0.00721,15.41053,0.01833,4.70812
Barbados,1996,0.05038,16.91610,0.00734,7.07693
Barbados,1997,0.08324,25.85720,,5.78246
Barbados,1998,0.11129,16.78714,0.00550,4.47338
Barbados,1999,0.06672,16.47146,,3.82774
Barbados,2000,0.12484,7.33340,0.01871,3.43018
Belarus,1992,,10.25703,,9.65852
Belarus,1993,0.16862,135.29167,0.05358,91.79942
Belarus,1994,0.02200,16.06889,0.08316,15.84958
Belarus,1995,0.02909,14.60525,0.52607,12.70563
Belarus,1996,0.18608,34.44404,0.07564,29.63732
Belarus,1997,0.02561,55.40953,0.08952,43.29035
Belarus,1998,0.01345,41.60207,0.07040,37.25516
Belarus,1999,0.01904,42.54376,0.19173,36.02029
Belarus,2000,0.01786,66.83289,0.08397,49.43412
Belgium,1962,0.80347,29.73511,0.62643,27.86706
Belgium,1963,0.77986,31.32339,0.61125,29.03796
Belgium,1964,0.87198,32.52522,0.62951,30.36334
Belgium,1965,0.87394,32.17429,0.76188,31.82307
Belgium,1966,0.76120,33.42030,0.72203,32.21945
Belgium,1967,0.74319,31.28717,0.62179,31.23535
Belgium,1968,0.76300,33.45874,0.53279,33.92814
Belgium,1969,0.65500,36.61921,0.49669,37.87808
Belgium,1970,0.61031,39.01396,0.52766,39.79791
Belgium,1971,0.59825,40.11020,0.55321,38.40800
Belgium,1972,0.54012,39.32685,0.50007,39.10713
Belgium,1973,0.54697,42.84794,0.59966,41.92747
Belgium,1974,0.77124,48.81855,0.82175,46.12857
Belgium,1975,0.57981,43.03683,0.83402,38.93589
Belgium,1976,0.63068,46.22566,0.70879,41.17805
Belgium,1977,0.73853,45.22585,0.79858,39.45247
Belgium,1978,0.70118,44.64442,1.09677,38.35141
Belgium,1979,0.64004,48.14084,0.85620,41.97155
Belgium,1980,0.66047,52.09979,0.94416,43.63402
Belgium,1981,0.71290,54.82167,1.30272,45.40898
Belgium,1982,0.85754,57.05828,1.50529,49.28288
Belgium,1983,0.92984,56.90959,1.74745,51.78047
Belgium,1984,1.03262,59.72364,1.95655,56.65884
Belgium,1985,1.05820,59.55526,1.72544,58.40429
Belgium,1986,0.84437,53.39164,1.44249,53.98703
Belgium,1987,0.79660,52.07784,1.29138,52.62959
Belgium,1988,0.89955,52.96780,1.43450,54.40752
Belgium,1989,1.13705,56.45039,1.68034,57.15415
Belgium,1990,0.97862,55.55843,1.39764,54.51276
Belgium,1991,0.98818,55.07731,1.33528,53.71088
Belgium,1992,0.94016,50.81185,1.51375,51.09684
Belgium,1993,0.95831,47.29015,1.52605,44.51692
Belgium,1994,1.11323,48.73255,1.22498,47.59269
Belgium,1995,1.11444,50.61810,1.30403,48.46497
Belgium,1996,1.23247,53.54307,1.53357,49.45896
Belgium,1997,1.56499,59.47953,1.86461,53.87147
Belgium,1998,1.65050,60.91824,1.94582,53.20429
Belgium,1999,1.48178,62.50114,2.22822,52.24098
Belgium,2000,1.70236,70.95023,0.92620,58.96222
Belize,1970,0.11106,92.73591,0.13089,63.15006
Belize,1971,0.05320,80.30989,0.40682,61.65239
Belize,1972,0.12518,81.87613,,31.13806
Belize,1973,2.46457,47.07991,0.17467,24.25786
Belize,1974,3.60160,47.50873,0.06879,55.28224
Belize,1975,2.20643,53.23482,0.37348,61.89868
Belize,1976,2.39819,66.99009,0.07411,42.16266
Belize,1977,1.28828,56.74291,0.57372,45.56333
Belize,1978,0.00083,51.96442,,51.54737
Belize,1979,10.23725,64.30808,2.34136,51.17847
Belize,1980,15.86903,48.88855,2.65126,54.91782
Belize,1981,10.17418,55.12183,4.44790,45.96890
Belize,1982,0.36206,47.05439,0.05467,47.57043
Belize,1983,0.31217,26.81799,0.03439,35.68518
Belize,1984,,30.87008,,34.78521
Belize,1985,,31.28346,,34.92352
Belize,1986,,31.92541,,36.73015
Belize,1987,,40.32188,,31.24448
Belize,1988,,45.10702,,36.19657
Belize,1989,0.15668,40.12116,,34.02726
Belize,1990,0.15711,37.38019,,28.77469
Belize,1991,0.05316,39.10690,,24.68786
Belize,1992,0.06389,36.16496,,36.45043
Belize,1993,0.01923,38.52964,,34.84712
Belize,1994,0.11046,32.21693,0.05251,33.22101
Belize,1995,,30.44060,0.02336,35.03039
Belize,1996,,33.54234,,37.28536
Belize,1997,0.02766,37.93001,,37.20599
Belize,1998,,31.18116,0.03353,37.08913
Belize,1999,0.09531,32.26914,0.01529,46.15799
Belize,2000,0.01334,13.64881,0.34264,35.20487
Benin,1962,1.78798,9.62662,0.46243,5.80759
Benin,1963,1.56586,11.43231,0.55537,6.04028
Benin,1964,1.56155,10.29514,0.53942,6.44886
Benin,1965,1.33992,10.70445,0.57131,5.92253
Benin,1966,1.12440,10.68475,0.43121,6.01674
Benin,1967,1.39446,14.12756,0.44056,5.38539
Benin,1968,1.42019,14.29881,0.45313,7.20265
Benin,1969,1.47655,14.72811,0.59678,7.88477
Benin,1970,1.43640,16.82847,0.57257,10.03554
Benin,1971,1.97403,19.10836,0.71448,11.97264
Benin,1972,1.50052,19.24545,0.45543,9.07084
Benin,1973,2.10566,17.84431,0.82698,9.85455
Benin,1974,1.13106,25.76550,0.54612,11.02647
Benin,1975,2.08796,22.66255,0.36679,5.38520
Benin,1976,2.35258,25.45205,0.23030,5.24029
Benin,1977,4.98341,30.38538,0.07800,4.76556
Benin,1978,0.02516,25.21339,0.00010,2.80421
Benin,1979,2.96824,32.79821,0.06740,3.93928
Benin,1980,0.27141,32.13657,0.02728,4.66536
Benin,1981,0.58080,41.57249,0.14791,2.32333
Benin,1982,0.05717,44.41682,0.00110,1.98183
Benin,1983,0.00279,27.57779,,6.38184
Benin,1984,0.36431,20.74161,,9.92579
Benin,1985,0.52427,28.00009,,14.38483
Benin,1986,1.12142,21.58497,,8.75916
Benin,1987,0.99824,22.08172,0.11423,6.28931
Benin,1988,0.78213,18.96789,0.01269,3.65105
Benin,1989,0.59222,13.11724,0.41998,4.64022
Benin,1990,0.79716,15.01474,0.56665,5.05894
Benin,1991,0.67282,18.53449,0.95878,4.56570
Benin,1992,0.64021,19.12083,1.02873,3.81111
Benin,1993,0.59217,22.95105,1.15054,4.06661
Benin,1994,0.56093,24.03295,1.86865,7.61227
Benin,1995,0.60504,25.80024,1.68738,6.81204
Benin,1996,0.97339,24.14740,1.42455,8.27483
Benin,1997,1.09134,28.68139,1.45469,8.97701
Benin,1998,1.22759,28.01039,1.15602,7.16555
Benin,1999,1.68817,30.31085,1.76609,5.52413
Benin,2000,0.86436,38.25122,0.39884,5.32182
Bermuda,1970,0.12691,77.82106,0.02448,24.04871
Bermuda,1971,0.05151,35.24748,0.05085,26.22008
Bermuda,1972,0.05722,33.27710,0.78177,8.72678
Bermuda,1973,0.09710,30.83836,0.01588,8.29319
Bermuda,1974,0.11424,31.13679,0.01302,10.16915
Bermuda,1975,0.05836,30.91431,0.62229,7.16323
Bermuda,1976,0.05521,26.66732,0.00472,7.77081
Bermuda,1977,0.05572,27.56073,0.00402,8.22865
Bermuda,1978,0.01562,48.28209,,9.21474
Bermuda,1979,0.05735,25.87216,0.03712,11.16662
Bermuda,1980,0.61567,286.99445,0.01097,6.75253
Bermuda,1981,0.06089,28.33159,0.01074,7.15788
Bermuda,1982,0.04813,28.06683,0.02697,4.74569
