Entity,Year,DALY number from ambient PM2.5 air pollution (State of Global Air (2017))
Chad,1990,309500
Chad,1995,352100
Chad,2000,425000
Chad,2005,425200
Chad,2010,482100
Chad,2015,442000
Chile,1990,98200
Chile,1995,87200
Chile,2000,76100
Chile,2005,77400
Chile,2010,82700
Chile,2015,88200
China,1990,28005400
China,1995,25580900
China,2000,24312100
China,2005,24406800
China,2010,22490000
China,2015,21778700
Colombia,1990,221500
Colombia,1995,227900
Colombia,2000,217200
Colombia,2005,221300
Colombia,2010,198000
Colombia,2015,207300
Comoros,1990,9000
Comoros,1995,8700
Comoros,2000,7700
Comoros,2005,6400
Comoros,2010,5400
Comoros,2015,5300
Congo,1990,62800
Congo,1995,74300
Congo,2000,88000
Congo,2005,76500
Congo,2010,73000
Congo,2015,76400
Costa Rica,1990,13600
Costa Rica,1995,14900
Costa Rica,2000,15400
Costa Rica,2005,14600
Costa Rica,2010,13000
Costa Rica,2015,17400
Cote d'Ivoire,1990,308900
Cote d'Ivoire,1995,380500
Cote d'Ivoire,2000,401800
Cote d'Ivoire,2005,340100
Cote d'Ivoire,2010,336800
Cote d'Ivoire,2015,317000
Croatia,1990,73600
Croatia,1995,67300
Croatia,2000,61800
Croatia,2005,54500
Croatia,2010,50400
Croatia,2015,52000
Cuba,1990,102200
Cuba,1995,106000
Cuba,2000,105900
Cuba,2005,101100
Cuba,2010,87300
Cuba,2015,102400
Cyprus,1990,5100
Cyprus,1995,5400
Cyprus,2000,5200
Cyprus,2005,4400
Cyprus,2010,4300
Cyprus,2015,4400
Czech Republic,1990,235800
Czech Republic,1995,178700
Czech Republic,2000,140800
Czech Republic,2005,122400
Czech Republic,2010,117200
Czech Republic,2015,115300
Denmark,1990,54400
Denmark,1995,48300
Denmark,2000,38400
Denmark,2005,31900
Denmark,2010,29800
Denmark,2015,29700
Djibouti,1990,15500
Djibouti,1995,17700
Djibouti,2000,17300
Djibouti,2005,15700
Djibouti,2010,15100
Djibouti,2015,15200
Dominica,1990,400
Dominica,1995,400
Dominica,2000,400
Dominica,2005,400
Dominica,2010,300
Dominica,2015,400
Dominican Republic,1990,46200
Dominican Republic,1995,49500
Dominican Republic,2000,59500
Dominican Republic,2005,58200
Dominican Republic,2010,63400
Dominican Republic,2015,68000
Ecuador,1990,80200
Ecuador,1995,82600
Ecuador,2000,83500
Ecuador,2005,86800
Ecuador,2010,67400
Ecuador,2015,63400
Egypt,1990,2419200
Egypt,1995,1848700
Egypt,2000,1445500
Egypt,2005,1484600
Egypt,2010,1708800
Egypt,2015,1697800
El Salvador,1990,57700
El Salvador,1995,58000
El Salvador,2000,55500
El Salvador,2005,46800
El Salvador,2010,40400
El Salvador,2015,44100
Equatorial Guinea,1990,18900
Equatorial Guinea,1995,20900
Equatorial Guinea,2000,17700
Equatorial Guinea,2005,12000
Equatorial Guinea,2010,13200
Equatorial Guinea,2015,13300
Eritrea,1990,109500
Eritrea,1995,79600
Eritrea,2000,73200
Eritrea,2005,81900
Eritrea,2010,92800
Eritrea,2015,94100
Estonia,1990,22200
Estonia,1995,21400
Estonia,2000,15800
Estonia,2005,12600
Estonia,2010,8600
Estonia,2015,9300
Ethiopia,1990,1960900
Ethiopia,1995,2019000
Ethiopia,2000,1993800
Ethiopia,2005,1637400
Ethiopia,2010,1385000
Ethiopia,2015,1180200
Fiji,1990,5200
Fiji,1995,6100
Fiji,2000,6600
Fiji,2005,6800
Fiji,2010,5200
Fiji,2015,6300
Finland,1990,37800
Finland,1995,30800
Finland,2000,25900
Finland,2005,21800
Finland,2010,20600
Finland,2015,21300
France,1990,313800
France,1995,293500
France,2000,279200
France,2005,250700
France,2010,239900
France,2015,255400
Gabon,1990,20200
Gabon,1995,21100
Gabon,2000,21600
Gabon,2005,20700
Gabon,2010,19100
Gabon,2015,20000
Gambia,1990,31300
Gambia,1995,30200
Gambia,2000,27000
Gambia,2005,24700
Gambia,2010,25000
Gambia,2015,24600
Georgia,1990,112000
Georgia,1995,90200
Georgia,2000,85400
Georgia,2005,81100
Georgia,2010,78800
Georgia,2015,69500
Germany,1990,942000
Germany,1995,790900
Germany,2000,677500
Germany,2005,588600
Germany,2010,558700
Germany,2015,585200
Ghana,1990,304200
Ghana,1995,303000
Ghana,2000,320900
Ghana,2005,291700
Ghana,2010,301700
Ghana,2015,280200
Greece,1990,89600
Greece,1995,87200
Greece,2000,88900
Greece,2005,80200
Greece,2010,82300
Greece,2015,91900
Greenland,1990,200
Greenland,1995,200
Greenland,2000,200
Greenland,2005,200
Greenland,2010,100
Greenland,2015,100
Grenada,1990,1100
Grenada,1995,900
Grenada,2000,900
Grenada,2005,800
Grenada,2010,700
Grenada,2015,800
Guatemala,1990,199700
Guatemala,1995,217600
Guatemala,2000,241300
Guatemala,2005,211700
Guatemala,2010,153800
Guatemala,2015,153300
Guinea,1990,274300
Guinea,1995,294800
Guinea,2000,280000
Guinea,2005,223600
Guinea,2010,235500
Guinea,2015,199700
Guinea-Bissau,1990,44000
Guinea-Bissau,1995,43100
Guinea-Bissau,2000,44000
Guinea-Bissau,2005,40700
Guinea-Bissau,2010,47400
Guinea-Bissau,2015,42800
Guyana,1990,9800
Guyana,1995,9900
Guyana,2000,8800
Guyana,2005,7400
Guyana,2010,6700
Guyana,2015,7400
Haiti,1990,208800
Haiti,1995,187100
Haiti,2000,165900
Haiti,2005,161400
Haiti,2010,138800
Haiti,2015,141100
Honduras,1990,53100
Honduras,1995,58500
Honduras,2000,61100
Honduras,2005,64100
Honduras,2010,59300
Honduras,2015,67600
Hungary,1990,267000
Hungary,1995,234200
Hungary,2000,194000
Hungary,2005,171500
Hungary,2010,160800
Hungary,2015,138400
Iceland,1990,1200
Iceland,1995,1100
Iceland,2000,1000
Iceland,2005,900
Iceland,2010,800
Iceland,2015,800
India,1990,29918800
India,1995,29641100
India,2000,29221600
India,2005,28396100
India,2010,27766800
India,2015,29609600
Indonesia,1990,2083700
Indonesia,1995,1975900
Indonesia,2000,2023500
Indonesia,2005,2141800
Indonesia,2010,2043100
Indonesia,2015,2185000
Iran,1990,892500
Iran,1995,702600
Iran,2000,667000
Iran,2005,661000
Iran,2010,730300
Iran,2015,781300
Iraq,1990,322800
Iraq,1995,369800
Iraq,2000,401700
Iraq,2005,439700
Iraq,2010,534700
Iraq,2015,456800
Ireland,1990,25400
Ireland,1995,23200
Ireland,2000,21100
Ireland,2005,17000
Ireland,2010,15300
Ireland,2015,16400
Israel,1990,30500
Israel,1995,31700
Israel,2000,28400
Israel,2005,26300
Israel,2010,25900
Israel,2015,29900
Italy,1990,482300
Italy,1995,427300
Italy,2000,381600
Italy,2005,331200
Italy,2010,316700
Italy,2015,404400
Jamaica,1990,14800
Jamaica,1995,14800
Jamaica,2000,14900
Jamaica,2005,13300
Jamaica,2010,12100
Jamaica,2015,15400
Japan,1990,620000
Japan,1995,631100
Japan,2000,623300
Japan,2005,663900
Japan,2010,636700
Japan,2015,705800
Jordan,1990,30400
Jordan,1995,33500
Jordan,2000,32800
Jordan,2005,30700
Jordan,2010,32000
Jordan,2015,37800
Kazakhstan,1990,264800
Kazakhstan,1995,293200
Kazakhstan,2000,259500
Kazakhstan,2005,260100
Kazakhstan,2010,224100
Kazakhstan,2015,237600
Kenya,1990,286300
Kenya,1995,282500
Kenya,2000,281100
Kenya,2005,264200
Kenya,2010,277600
Kenya,2015,287600
Kiribati,1990,200
Kiribati,1995,200
Kiribati,2000,300
Kiribati,2005,300
Kiribati,2010,100
Kiribati,2015,100
Kuwait,1990,12600
Kuwait,1995,12800
Kuwait,2000,13400
Kuwait,2005,16700
Kuwait,2010,22600
Kuwait,2015,22300
Kyrgyzstan,1990,91600
Kyrgyzstan,1995,81500
Kyrgyzstan,2000,74100
Kyrgyzstan,2005,70200
Kyrgyzstan,2010,67700
Kyrgyzstan,2015,68500
Laos,1990,201500
Laos,1995,194900
Laos,2000,172500
Laos,2005,155100
Laos,2010,123500
Laos,2015,112500
Latvia,1990,62100
Latvia,1995,66600
Latvia,2000,45300
Latvia,2005,42900
Latvia,2010,34200
Latvia,2015,33100
Lebanon,1990,33600
Lebanon,1995,28800
Lebanon,2000,25000
Lebanon,2005,27400
Lebanon,2010,32400
Lebanon,2015,41900
Lesotho,1990,27600
Lesotho,1995,28400
Lesotho,2000,32100
Lesotho,2005,39700
Lesotho,2010,35200
Lesotho,2015,36200
Liberia,1990,34500
Liberia,1995,30700
Liberia,2000,30500
Liberia,2005,23900
Liberia,2010,24600
Liberia,2015,18600
Libya,1990,43200
Libya,1995,39700
Libya,2000,42600
Libya,2005,46000
Libya,2010,52900
Libya,2015,65400
Lithuania,1990,70300
Lithuania,1995,72100
Lithuania,2000,51400
Lithuania,2005,53200
Lithuania,2010,47100
Lithuania,2015,43600
Luxembourg,1990,4300
Luxembourg,1995,3600
Luxembourg,2000,3100
Luxembourg,2005,2700
Luxembourg,2010,2500
Luxembourg,2015,2500
Macedonia,1990,34400
Macedonia,1995,33200
Macedonia,2000,32300
Macedonia,2005,30400
Macedonia,2010,31200
Macedonia,2015,31100
Madagascar,1990,238800
Madagascar,1995,270100
Madagascar,2000,262400
Madagascar,2005,238300
Madagascar,2010,248800
Madagascar,2015,285000
Malawi,1990,246400
Malawi,1995,251400
Malawi,2000,290100
Malawi,2005,243800
Malawi,2010,217200
Malawi,2015,214100
Malaysia,1990,121900
Malaysia,1995,138100
Malaysia,2000,153700
Malaysia,2005,192800
Malaysia,2010,196300
Malaysia,2015,223700
Maldives,1990,2900
Maldives,1995,2300
Maldives,2000,1800
Maldives,2005,1400
Maldives,2010,1300
Maldives,2015,1500
Mali,1990,311700
Mali,1995,317500
Mali,2000,311700
Mali,2005,266000
Mali,2010,291200
Mali,2015,240300
Malta,1990,2500
Malta,1995,2300
Malta,2000,2300
Malta,2005,2000
Malta,2010,2300
Malta,2015,2400
Marshall Islands,1990,400
Marshall Islands,1995,400
Marshall Islands,2000,500
Marshall Islands,2005,500
Marshall Islands,2010,500
Marshall Islands,2015,500
Mauritania,1990,62400
Mauritania,1995,67500
Mauritania,2000,74100
Mauritania,2005,62600
Mauritania,2010,60900
Mauritania,2015,61700
Mauritius,1990,12200
Mauritius,1995,13400
Mauritius,2000,13800
Mauritius,2005,12100
Mauritius,2010,9300
Mauritius,2015,9800
Mexico,1990,603800
Mexico,1995,588100
Mexico,2000,555200
Mexico,2005,528100
Mexico,2010,504700
Mexico,2015,558000
Moldova,1990,93900
Moldova,1995,102800
Moldova,2000,74900
Moldova,2005,68800
Moldova,2010,68800
Moldova,2015,54200
Mongolia,1990,56100
Mongolia,1995,43600
Mongolia,2000,42000
Mongolia,2005,39900
Mongolia,2010,41500
Mongolia,2015,44200
Montenegro,1990,7000
Montenegro,1995,7900
Montenegro,2000,8400
Montenegro,2005,7700
Montenegro,2010,7600
Montenegro,2015,8000
Morocco,1990,239500
Morocco,1995,214800
Morocco,2000,194000
Morocco,2005,193500
Morocco,2010,194100
Morocco,2015,224300
Mozambique,1990,297100
Mozambique,1995,303400
Mozambique,2000,292700
Mozambique,2005,268600
Mozambique,2010,239600
Mozambique,2015,235000
Myanmar,1990,1533200
Myanmar,1995,1404100
Myanmar,2000,1332400
Myanmar,2005,1207500
Myanmar,2010,956900
Myanmar,2015,919700
Namibia,1990,20700
Namibia,1995,21000
Namibia,2000,28000
Namibia,2005,24800
Namibia,2010,19600
Namibia,2015,18400
Nepal,1990,944700
Nepal,1995,842000
Nepal,2000,700500
Nepal,2005,619500
Nepal,2010,535100
Nepal,2015,528100
Netherlands,1990,138500
Netherlands,1995,132500
Netherlands,2000,125800
Netherlands,2005,106600
Netherlands,2010,97800
Netherlands,2015,98200
New Zealand,1990,14200
New Zealand,1995,13200
New Zealand,2000,11800
New Zealand,2005,10400
New Zealand,2010,7900
New Zealand,2015,8500
Nicaragua,1990,39700
Nicaragua,1995,34400
Nicaragua,2000,31100
Nicaragua,2005,29600
Nicaragua,2010,24300
Nicaragua,2015,27100
Niger,1990,863400
Niger,1995,911100
Niger,2000,863100
Niger,2005,755200
Niger,2010,663500
Niger,2015,574100
Nigeria,1990,4369100
Nigeria,1995,4473700
Nigeria,2000,4346400
Nigeria,2005,3475000
Nigeria,2010,3055400
Nigeria,2015,2410000
North Korea,1990,308600
North Korea,1995,332300
North Korea,2000,370600
North Korea,2005,388300
North Korea,2010,396300
North Korea,2015,431800
Norway,1990,34900
Norway,1995,29800
Norway,2000,25600
Norway,2005,19600
Norway,2010,18500
Norway,2015,17900
Oman,1990,20200
Oman,1995,16500
Oman,2000,13600
Oman,2005,13500
Oman,2010,16900
Oman,2015,23800
Pakistan,1990,3614400
Pakistan,1995,3846300
Pakistan,2000,4016600
Pakistan,2005,3954400
Pakistan,2010,4080000
Pakistan,2015,4217300
Palestine,1990,14700
Palestine,1995,14600
Palestine,2000,15800
Palestine,2005,17900
Palestine,2010,22700
Palestine,2015,28000
Panama,1990,10600
Panama,1995,11200
Panama,2000,11400
Panama,2005,11600
Panama,2010,10700
Panama,2015,13800
Papua New Guinea,1990,87500
Papua New Guinea,1995,92500
Papua New Guinea,2000,104400
Papua New Guinea,2005,102900
Papua New Guinea,2010,92000
Papua New Guinea,2015,106000
Paraguay,1990,31200
Paraguay,1995,34200
Paraguay,2000,34200
Paraguay,2005,35900
Paraguay,2010,33900
Paraguay,2015,33600
Peru,1990,391300
Peru,1995,320900
Peru,2000,235900
Peru,2005,223900
Peru,2010,174300
Peru,2015,168100
Philippines,1990,1053500
Philippines,1995,923600
Philippines,2000,949600
Philippines,2005,1091000
Philippines,2010,1097800
Philippines,2015,1162800
Poland,1990,856900
Poland,1995,715800
Poland,2000,568100
Poland,2005,514200
Poland,2010,509800
Poland,2015,455200
Portugal,1990,74200
Portugal,1995,70200
Portugal,2000,66700
Portugal,2005,58800
Portugal,2010,49100
Portugal,2015,48200
Qatar,1990,3400
Qatar,1995,4000
Qatar,2000,4900
Qatar,2005,5500
Qatar,2010,7400
Qatar,2015,8100
Romania,1990,543500
Romania,1995,515700
Romania,2000,425200
Romania,2005,352600
Romania,2010,344100
Romania,2015,305400
Russia,1990,2737400
Russia,1995,3491700
Russia,2000,3350300
Russia,2005,3380700
Russia,2010,2760700
Russia,2015,2601600
Rwanda,1990,323600
Rwanda,1995,372100
Rwanda,2000,346000
Rwanda,2005,232700
Rwanda,2010,171400
Rwanda,2015,184800
Saint Lucia,1990,1200
Saint Lucia,1995,1100
Saint Lucia,2000,1000
Saint Lucia,2005,900
Saint Lucia,2010,900
Saint Lucia,2015,1000
Saint Vincent and the Grenadines,1990,800
Saint Vincent and the Grenadines,1995,800
Saint Vincent and the Grenadines,2000,800
Saint Vincent and the Grenadines,2005,700
Saint Vincent and the Grenadines,2010,700
Saint Vincent and the Grenadines,2015,700
Samoa,1990,300
Samoa,1995,300
Samoa,2000,300
Samoa,2005,300
Samoa,2010,100
Samoa,2015,200
Sao Tome and Principe,1990,1800
Sao Tome and Principe,1995,1900
Sao Tome and Principe,2000,1800
Sao Tome and Principe,2005,1700
Sao Tome and Principe,2010,1400
Sao Tome and Principe,2015,1400
Saudi Arabia,1990,130700
Saudi Arabia,1995,133400
Saudi Arabia,2000,139300
Saudi Arabia,2005,151700
Saudi Arabia,2010,181700
Saudi Arabia,2015,207000
Senegal,1990,192000
Senegal,1995,201300
Senegal,2000,208300
Senegal,2005,168700
Senegal,2010,173800
Senegal,2015,188500
Serbia,1990,138600
Serbia,1995,155100
Serbia,2000,162300
Serbia,2005,139500
Serbia,2010,131800
Serbia,2015,119000
Seychelles,1990,800
Seychelles,1995,800
Seychelles,2000,800
Seychelles,2005,800
Seychelles,2010,700
Seychelles,2015,600
Sierra Leone,1990,147000
Sierra Leone,1995,129100
Sierra Leone,2000,122400
Sierra Leone,2005,110300
Sierra Leone,2010,114300
Sierra Leone,2015,87800
Singapore,1990,22500
Singapore,1995,22400
Singapore,2000,21700
Singapore,2005,26700
Singapore,2010,22500
Singapore,2015,23600
Slovakia,1990,111400
Slovakia,1995,88900
Slovakia,2000,78200
Slovakia,2005,71800
Slovakia,2010,65700
Slovakia,2015,57300
Slovenia,1990,22000
Slovenia,1995,19800
Slovenia,2000,17000
Slovenia,2005,15100
Slovenia,2010,13000
Slovenia,2015,14000
Solomon Islands,1990,2200
Solomon Islands,1995,2300
Solomon Islands,2000,2600
Solomon Islands,2005,3500
Solomon Islands,2010,2600
Solomon Islands,2015,3200
Somalia,1990,233100
Somalia,1995,232600
Somalia,2000,245000
Somalia,2005,203000
Somalia,2010,230500
Somalia,2015,221700
South Africa,1990,678000
South Africa,1995,662500
South Africa,2000,800100
South Africa,2005,800800
South Africa,2010,612700
South Africa,2015,598000
South Korea,1990,356400
South Korea,1995,296800
South Korea,2000,269100
South Korea,2005,249400
South Korea,2010,237400
South Korea,2015,283900
South Sudan,1990,254000
South Sudan,1995,208900
South Sudan,2000,189500
South Sudan,2005,170800
South Sudan,2010,213200
South Sudan,2015,253500
Spain,1990,225700
Spain,1995,216700
Spain,2000,209500
Spain,2005,197200
Spain,2010,171200
Spain,2015,169200
Sri Lanka,1990,169100
Sri Lanka,1995,154000
Sri Lanka,2000,172100
Sri Lanka,2005,184700
Sri Lanka,2010,164700
Sri Lanka,2015,164600
Sudan,1990,805900
Sudan,1995,847500
Sudan,2000,765000
Sudan,2005,736500
Sudan,2010,720500
Sudan,2015,664800
Suriname,1990,4200
Suriname,1995,4400
Suriname,2000,4700
Suriname,2005,3700
Suriname,2010,3400
Suriname,2015,3800
Swaziland,1990,14600
Swaziland,1995,13200
Swaziland,2000,17900
Swaziland,2005,23200
Swaziland,2010,20000
Swaziland,2015,16900
Sweden,1990,45300
Sweden,1995,36900
Sweden,2000,31100
Sweden,2005,23300
Sweden,2010,21300
Sweden,2015,26900
Switzerland,1990,44700
Switzerland,1995,40600
Switzerland,2000,35200
Switzerland,2005,30500
Switzerland,2010,28400
Switzerland,2015,31200
Syria,1990,174800
Syria,1995,154100
Syria,2000,150300
Syria,2005,144600
Syria,2010,183100
Syria,2015,176300
Taiwan,1990,135200
Taiwan,1995,140000
Taiwan,2000,143000
Taiwan,2005,158700
Taiwan,2010,163800
Taiwan,2015,174500
Tajikistan,1990,303000
Tajikistan,1995,280600
Tajikistan,2000,217500
Tajikistan,2005,147800
Tajikistan,2010,140800
Tajikistan,2015,135100
Tanzania,1990,607400
Tanzania,1995,629500
Tanzania,2000,590300
Tanzania,2005,539400
Tanzania,2010,518900
Tanzania,2015,549700
Thailand,1990,492400
Thailand,1995,571400
Thailand,2000,610400
Thailand,2005,585000
Thailand,2010,582400
Thailand,2015,721000
Timor-Leste,1990,19100
Timor-Leste,1995,17600
Timor-Leste,2000,15500
Timor-Leste,2005,12500
Timor-Leste,2010,10900
Timor-Leste,2015,9300
Togo,1990,119800
Togo,1995,126700
Togo,2000,130900
Togo,2005,112200
Togo,2010,106700
Togo,2015,100400
Tonga,1990,200
Tonga,1995,200
Tonga,2000,200
Tonga,2005,200
Tonga,2010,100
Tonga,2015,100
Trinidad and Tobago,1990,11500
Trinidad and Tobago,1995,11900
Trinidad and Tobago,2000,11800
Trinidad and Tobago,2005,9600
Trinidad and Tobago,2010,9000
Trinidad and Tobago,2015,10500
Tunisia,1990,78000
Tunisia,1995,76600
Tunisia,2000,73700
Tunisia,2005,67100
Tunisia,2010,77200
Tunisia,2015,93000
Turkey,1990,1047600
Turkey,1995,901900
Turkey,2000,733300
Turkey,2005,580400
Turkey,2010,493600
Turkey,2015,562400
Turkmenistan,1990,175500
Turkmenistan,1995,169600
Turkmenistan,2000,158500
Turkmenistan,2005,103400
Turkmenistan,2010,106900
Turkmenistan,2015,97200
Uganda,1990,582600
Uganda,1995,627900
Uganda,2000,630200
Uganda,2005,601900
Uganda,2010,586800
Uganda,2015,668200
Ukraine,1990,1247000
Ukraine,1995,1472400
Ukraine,2000,1300200
Ukraine,2005,1269000
Ukraine,2010,1031700
Ukraine,2015,1016500
United Arab Emirates,1990,19200
United Arab Emirates,1995,23400
United Arab Emirates,2000,25700
United Arab Emirates,2005,31400
United Arab Emirates,2010,65900
United Arab Emirates,2015,93800
United Kingdom,1990,700100
United Kingdom,1995,609500
United Kingdom,2000,512500
United Kingdom,2005,417200
United Kingdom,2010,362400
United Kingdom,2015,364400
United States,1990,1902100
United States,1995,1857900
United States,2000,1803700
United States,2005,1714900
United States,2010,1422700
United States,2015,1485900
Uruguay,1990,28100
Uruguay,1995,28000
Uruguay,2000,25600
Uruguay,2005,22200
Uruguay,2010,21000
Uruguay,2015,20500
Uzbekistan,1990,636700
Uzbekistan,1995,671000
Uzbekistan,2000,574100
Uzbekistan,2005,501900
Uzbekistan,2010,504300
Uzbekistan,2015,487200
Vanuatu,1990,1500
Vanuatu,1995,1700
Vanuatu,2000,1800
Vanuatu,2005,2100
Vanuatu,2010,1700
Vanuatu,2015,2000
Venezuela,1990,158000
Venezuela,1995,160600
Venezuela,2000,167700
Venezuela,2005,168200
Venezuela,2010,170400
Venezuela,2015,205500
Vietnam,1990,766600
Vietnam,1995,716400
Vietnam,2000,693100
Vietnam,2005,740800
Vietnam,2010,729100
Vietnam,2015,806900
Yemen,1990,544600
Yemen,1995,538500
Yemen,2000,455400
Yemen,2005,373200
Yemen,2010,397200
Yemen,2015,425000
Zambia,1990,260600
Zambia,1995,270300
Zambia,2000,275000
Zambia,2005,246200
Zambia,2010,233000
Zambia,2015,214200
Zimbabwe,1990,102900
Zimbabwe,1995,92900
Zimbabwe,2000,117600
Zimbabwe,2005,147400
Zimbabwe,2010,152500
Zimbabwe,2015,129700
