Entity,Year,Blue whale (Rocha et al.; IWC),Fin whale (Rocha et al.; IWC),Sperm whale (Rocha et al.; IWC),Humpback whale (Rocha et al.; IWC),Sei whale (Rocha et al.; IWC),Bryde's whale (Rocha et al.; IWC),Minke whale (Rocha et al.; IWC),Gray whale (Rocha et al.; IWC),Right whale (Rocha et al.; IWC),Unspecified/Other (Rocha et al.; IWC),All whale species (Rocha et al.; IWC),Bowhead whale (Rocha et al.; IWC)
Northern Hemisphere,1943,16,734,1821,116,399,0,1911,99,13,0,5109,
Northern Hemisphere,1944,7,898,1748,75,789,0,1610,6,3,0,5136,
Northern Hemisphere,1945,27,847,1050,21,108,0,1878,58,1,35,4025,
Northern Hemisphere,1946,46,1419,2187,36,556,29,2013,22,0,0,6308,
Northern Hemisphere,1947,66,1459,2420,38,405,158,2716,31,0,0,7293,
Northern Hemisphere,1948,142,2037,3046,170,643,115,3893,0,1,0,10047,
Northern Hemisphere,1949,98,1769,3303,113,923,116,4180,1,0,0,10503,
Northern Hemisphere,1950,73,1992,4073,147,420,243,2275,0,0,0,9223,
Northern Hemisphere,1951,125,2053,4943,103,759,280,3195,1,1,0,11460,
Northern Hemisphere,1952,147,1886,4557,131,960,411,3898,0,0,49,12039,
Northern Hemisphere,1953,157,1836,4681,122,975,0,2931,10,0,29,10741,
Northern Hemisphere,1954,223,2697,5331,286,1180,0,3952,0,0,82,13751,
Northern Hemisphere,1955,155,2718,6539,195,962,0,4840,0,0,98,15507,
Northern Hemisphere,1956,161,2719,7800,156,1154,0,4338,0,2,28,16358,
Northern Hemisphere,1957,154,3084,8593,330,969,0,4444,0,0,13,17587,
Northern Hemisphere,1958,132,3224,9008,495,1651,0,5265,8,0,0,19783,
Northern Hemisphere,1959,156,2928,8567,473,1911,0,3838,9,1,0,17883,
Northern Hemisphere,1960,86,2946,8711,298,1294,0,3991,9,0,0,17335,
Northern Hemisphere,1961,92,2421,8230,526,1025,0,3856,4,3,0,16157,
Northern Hemisphere,1962,150,2651,8581,1920,2216,196,3987,4,3,0,19708,
Northern Hemisphere,1963,605,3725,13171,2722,2680,0,4083,2,3,0,26991,
Northern Hemisphere,1964,254,4816,13093,1450,3789,0,3796,20,0,0,27218,
Northern Hemisphere,1965,279,3480,18405,538,3291,0,3391,4,0,0,29388,
Northern Hemisphere,1966,61,3195,23017,82,3824,2,3232,57,0,3,33473,
Northern Hemisphere,1967,97,3040,20890,106,5208,22,3266,99,0,1,32729,
Northern Hemisphere,1968,56,2497,18967,46,5073,171,3795,66,2,0,30673,
Northern Hemisphere,1969,51,2053,20128,12,5039,89,3532,74,0,0,30978,
Northern Hemisphere,1970,20,1839,16131,28,3966,73,3812,0,0,0,25869,
Northern Hemisphere,1971,8,1424,11974,21,3221,281,3764,0,0,0,20693,
Northern Hemisphere,1972,0,1464,6977,0,2638,130,4497,0,0,1,15707,
Northern Hemisphere,1973,1,822,7036,0,2004,73,3930,0,2,0,13868,
Northern Hemisphere,1974,0,875,8805,10,1336,705,3525,0,1,0,15257,
Northern Hemisphere,1975,0,558,8508,0,699,804,3543,0,0,0,14112,
Northern Hemisphere,1976,1,561,7798,1,13,972,4055,0,0,0,13401,
Northern Hemisphere,1977,2,430,6696,0,139,721,3612,0,1,0,11601,
Northern Hemisphere,1978,3,945,4861,0,139,380,3288,0,0,4,9620,
Northern Hemisphere,1979,0,851,3643,0,98,801,3524,0,0,0,8917,
Northern Hemisphere,1980,0,459,1517,0,103,755,3557,0,0,3,6394,
Northern Hemisphere,1981,0,404,1163,0,100,485,3212,0,0,4,5368,
Northern Hemisphere,1982,0,347,621,0,71,482,3391,0,0,3,4915,
Northern Hemisphere,1983,0,269,414,0,100,545,2848,0,0,3,4179,
Northern Hemisphere,1984,0,271,454,0,95,528,1753,0,0,0,3101,
Northern Hemisphere,1985,0,210,400,0,38,357,1365,0,0,0,2370,
Northern Hemisphere,1986,0,76,200,0,40,317,759,0,0,0,1392,
Northern Hemisphere,1987,0,80,191,0,20,317,673,0,0,0,1281,
Northern Hemisphere,1988,0,68,0,0,10,0,29,0,0,0,107,
Northern Hemisphere,1989,0,68,0,0,0,0,19,0,0,0,87,
Northern Hemisphere,1990,0,0,0,0,0,0,0,0,0,0,0,
Northern Hemisphere,1991,0,0,0,0,0,0,1,0,0,0,1,
Northern Hemisphere,1992,0,0,0,0,0,0,95,0,0,0,95,
Northern Hemisphere,1993,0,0,0,0,0,0,226,0,0,0,226,
Northern Hemisphere,1994,0,0,0,0,0,0,280,0,0,0,280,
Northern Hemisphere,1995,0,0,0,0,0,0,318,0,0,0,318,
Northern Hemisphere,1996,0,0,0,0,0,0,465,0,0,0,465,
Northern Hemisphere,1997,0,0,0,0,0,0,617,0,0,0,617,
Northern Hemisphere,1998,0,0,0,0,0,0,725,0,0,0,725,
Northern Hemisphere,1999,0,0,0,0,0,0,691,0,0,0,691,
Southern Hemisphere,1900,0,0,0,8,0,0,0,,0,0,8,
Southern Hemisphere,1901,0,0,0,8,0,0,0,,0,0,8,
Southern Hemisphere,1902,0,0,0,8,0,0,0,,0,0,8,
Southern Hemisphere,1903,0,0,0,9,0,0,0,,0,0,9,
Southern Hemisphere,1904,11,4,0,188,0,0,0,,0,0,203,
Southern Hemisphere,1905,51,104,3,319,97,0,0,,16,130,720,
Southern Hemisphere,1906,68,93,1,449,0,0,0,,81,428,1120,
Southern Hemisphere,1907,106,122,0,1399,0,0,0,,93,520,2240,
Southern Hemisphere,1908,310,310,1,3422,218,0,0,,68,46,4375,
Southern Hemisphere,1909,212,437,6,5793,346,3,0,,73,239,7109,
Southern Hemisphere,1910,365,721,0,10201,225,0,0,,99,734,12345,
Southern Hemisphere,1911,1292,2034,20,11830,38,73,0,,107,1287,16681,
Southern Hemisphere,1912,2590,5132,480,11185,175,187,0,,23,419,20191,
Southern Hemisphere,1913,3112,5707,525,10553,1055,126,0,,78,261,21417,
Southern Hemisphere,1914,5376,4897,681,7605,398,51,0,,25,0,19033,
Southern Hemisphere,1915,5702,6150,766,3888,98,96,1,,36,140,16877,
Southern Hemisphere,1916,4441,2956,684,744,99,26,0,,20,470,9440,
Southern Hemisphere,1917,3159,2265,191,316,109,0,5,,60,0,6105,
Southern Hemisphere,1918,2219,3203,224,340,105,32,0,,18,0,6141,
Southern Hemisphere,1919,2007,3688,551,543,247,16,0,,21,0,7073,
Southern Hemisphere,1920,3023,5924,409,567,107,17,0,,16,43,10106,
Southern Hemisphere,1921,4637,2787,422,370,150,0,1,,8,0,8375,
Southern Hemisphere,1922,6787,4339,250,1710,143,3,0,,4,0,13236,
Southern Hemisphere,1923,4926,3914,299,1572,390,11,0,,15,0,11127,
Southern Hemisphere,1924,6714,5364,437,1420,672,84,0,,11,0,14702,
Southern Hemisphere,1925,6196,10173,807,2686,404,29,0,,17,0,20312,
Southern Hemisphere,1926,8663,7019,743,1878,1255,60,0,,26,0,19644,
Southern Hemisphere,1927,10278,5953,808,1345,1343,31,0,,6,260,20024,
Southern Hemisphere,1928,14333,7708,1096,1408,1447,60,0,,4,0,26056,
Southern Hemisphere,1929,18762,12903,1338,1134,462,27,0,,12,10,34648,
Southern Hemisphere,1930,30490,11171,676,1441,358,14,0,,4,0,44154,
Southern Hemisphere,1931,6657,3336,197,418,44,0,0,,0,0,10652,
Southern Hemisphere,1932,19023,5517,454,506,35,0,0,,23,0,25558,
Southern Hemisphere,1933,17456,7824,1084,1089,26,0,0,,14,0,27493,
Southern Hemisphere,1934,16625,13228,1246,3283,324,0,0,,17,200,34923,
Southern Hemisphere,1935,17892,10294,1191,4906,187,0,0,,30,44,34544,
Southern Hemisphere,1936,14670,15865,4149,8806,803,7,0,,4,0,44304,
Southern Hemisphere,1937,15174,29446,5621,7206,285,36,0,,8,1,57777,
Southern Hemisphere,1938,14175,21479,3964,3810,133,0,0,,15,4,43580,
Southern Hemisphere,1939,11525,19330,2958,293,138,0,0,,7,1949,36200,
Southern Hemisphere,1940,4975,8168,1366,2967,139,0,0,,0,26,17641,
Southern Hemisphere,1941,65,1382,2563,181,57,0,0,,0,0,4248,
Southern Hemisphere,1942,127,980,3543,227,86,0,0,,0,0,4963,
Southern Hemisphere,1943,349,1459,3755,174,231,0,0,,1,0,5969,
Southern Hemisphere,1944,1050,1953,860,263,102,0,0,,0,0,4228,
Southern Hemisphere,1945,3647,9429,1062,461,119,0,0,,0,0,14718,
Southern Hemisphere,1946,9237,14970,2431,249,469,0,0,,1,31,27388,
Southern Hemisphere,1947,6968,21766,6788,253,810,55,0,,0,12,36652,
Southern Hemisphere,1948,7731,19962,8179,461,788,238,0,,0,17,37376,
Southern Hemisphere,1949,6240,20636,4341,5869,1504,157,1,,0,1,38749,
Southern Hemisphere,1950,7107,20160,6318,5621,1157,100,0,,0,6,40469,
Southern Hemisphere,1951,5202,23920,15852,4788,1642,23,4,,22,0,51453,
Southern Hemisphere,1952,4005,23945,4015,3492,1852,0,6,,9,0,37324,
Southern Hemisphere,1953,2888,28568,5377,2952,1576,7,12,,17,0,41397,
Southern Hemisphere,1954,2535,28833,12605,4067,827,0,0,,34,0,48901,
Southern Hemisphere,1955,1739,27734,10126,6168,906,0,36,,18,1,46728,
Southern Hemisphere,1956,1715,28374,8255,3149,1955,14,45,,49,0,43556,
Southern Hemisphere,1957,1769,27817,12318,4774,3615,36,13,,19,8,50369,
Southern Hemisphere,1958,1251,27469,11541,8065,3076,29,11,,3,0,51445,
Southern Hemisphere,1959,938,25584,10590,15773,4696,43,5,,79,0,57708,
Southern Hemisphere,1960,1743,27299,11757,14902,6409,10,3,,6,0,62129,
Southern Hemisphere,1961,1145,27085,14458,7210,7195,23,3,,1355,8,58482,
Southern Hemisphere,1962,1748,17910,15884,3744,6962,73,19,,727,0,47067,
Southern Hemisphere,1963,1508,14218,21814,844,10903,139,120,,374,0,49920,
Southern Hemisphere,1964,3349,7957,20610,270,21964,681,63,,82,0,54976,
Southern Hemisphere,1965,1477,3931,12631,2195,21298,428,81,,350,1,42392,
Southern Hemisphere,1966,665,3882,13073,1096,17611,151,389,,161,0,37028,
Southern Hemisphere,1967,461,2603,9911,928,16412,73,1118,,4,0,31510,
Southern Hemisphere,1968,674,3760,9323,5,11679,8,630,,0,0,26079,
Southern Hemisphere,1969,926,3131,12293,1,11105,33,770,,78,0,28337,
Southern Hemisphere,1970,835,3422,12632,0,9431,19,915,,2,1,27257,
Southern Hemisphere,1971,544,2324,17073,3,7466,486,4162,,2,0,32060,
Southern Hemisphere,1972,7,1822,13311,5,4373,8,6583,,0,0,26109,
Southern Hemisphere,1973,1,1341,12708,4,4926,317,8541,,0,0,27838,
Southern Hemisphere,1974,0,1026,14038,4,4406,467,8037,,0,0,27978,
Southern Hemisphere,1975,0,233,10797,8,2272,434,7185,,0,0,20929,
Southern Hemisphere,1976,0,8,6666,4,1898,623,8676,,0,0,17875,
Southern Hemisphere,1977,0,2,6026,4,590,506,6000,,0,0,13128,
Southern Hemisphere,1978,0,0,5681,11,101,417,6156,,0,0,12366,
Southern Hemisphere,1979,0,0,803,0,65,300,7897,,0,0,9065,
Southern Hemisphere,1980,0,0,574,0,0,211,7142,,0,0,7927,
Southern Hemisphere,1981,0,0,289,0,0,162,7903,,0,0,8354,
Southern Hemisphere,1982,0,0,0,0,0,320,7301,,0,0,7621,
Southern Hemisphere,1983,0,1,0,0,0,333,6680,,0,0,7014,
Southern Hemisphere,1984,0,0,0,0,0,0,5568,,0,0,5568,
Southern Hemisphere,1985,0,0,0,0,0,0,5567,,0,0,5567,
Southern Hemisphere,1986,0,0,0,0,0,0,4969,,0,0,4969,
Southern Hemisphere,1987,0,0,0,0,0,0,273,,0,0,273,
Southern Hemisphere,1988,0,0,0,0,0,0,241,,0,0,241,
Southern Hemisphere,1989,0,0,0,0,0,0,330,,0,0,330,
Southern Hemisphere,1990,0,0,0,0,0,0,327,,0,0,327,
Southern Hemisphere,1991,0,0,0,0,0,0,288,,0,0,288,
Southern Hemisphere,1992,0,0,0,0,0,0,330,,0,0,330,
Southern Hemisphere,1993,0,0,0,0,0,0,330,,0,0,330,
Southern Hemisphere,1994,0,0,0,0,0,0,330,,0,0,330,
Southern Hemisphere,1995,0,0,0,0,0,0,440,,0,0,440,
Southern Hemisphere,1996,0,0,0,0,0,0,440,,0,0,440,
Southern Hemisphere,1997,0,0,0,0,0,0,438,,0,0,438,
Southern Hemisphere,1998,0,0,0,0,0,0,389,,0,0,389,
Southern Hemisphere,1999,0,0,0,0,0,0,439,,0,0,439,
World,1900,381,502,0,139,40,0,0,0,0,597,1659,
World,1901,299,570,8,316,29,0,0,0,0,1029,2251,
World,1902,142,673,2,431,58,0,0,0,2,1643,2951,
World,1903,492,988,152,731,106,0,0,0,2,966,3437,
World,1904,873,1949,13,885,176,0,0,0,2,651,4549,
World,1905,1053,1986,14,642,233,0,0,0,16,877,4821,
World,1906,545,1272,11,772,473,0,0,0,87,1461,4621,
World,1907,497,1487,16,1692,476,0,0,0,118,2660,6946,
World,1908,722,1886,14,3932,864,0,0,0,96,1524,9038,
World,1909,584,2327,75,6472,1109,3,0,0,100,1167,11837,
World,1910,701,2452,78,11089,728,0,0,0,118,2038,17204,
World,1911,1869,4739,258,13126,619,73,0,122,110,1472,22388,
World,1912,3195,7244,658,12320,565,187,0,193,36,738,25136,
World,1913,3360,7612,729,11326,1622,126,0,132,81,288,25276,
World,1914,5776,7558,1061,8648,952,51,1,174,32,83,24336,
World,1915,5876,7885,1078,4482,829,96,11,139,44,140,20580,
World,1916,4605,4400,1122,1199,560,26,0,78,29,531,12550,
World,1917,3394,3310,469,666,837,0,11,69,62,0,8818,
World,1918,2359,4927,953,646,1132,32,7,104,21,104,10285,
World,1919,2168,5174,1165,1140,1165,16,14,46,26,70,10984,
World,1920,3265,7577,833,1357,1188,17,6,68,21,84,14416,
World,1921,4697,3806,809,701,715,0,21,116,16,11,10892,
World,1922,6950,6203,1090,2703,695,3,20,49,9,13,17735,
World,1923,5100,6520,1011,2505,1191,11,20,27,26,20,16431,
World,1924,6975,8547,1077,2044,1633,84,20,18,22,0,20420,
World,1925,6517,13906,1587,3771,1348,31,20,142,27,44,27393,
World,1926,9014,10657,1680,3013,2113,78,13,53,36,18,26675,
World,1927,10535,8417,1591,2563,2133,31,13,42,16,260,25601,
World,1928,14833,9778,2108,1964,1985,60,9,21,15,0,30773,
World,1929,19171,14650,2335,1474,1049,27,15,14,19,10,38764,
World,1930,30727,12900,1677,1772,929,14,60,30,6,300,48415,
World,1931,6732,4215,565,527,522,0,194,11,8,3,12777,
World,1932,19180,6550,924,735,490,0,369,17,43,0,28308,
World,1933,17542,9197,1987,1391,447,0,546,106,18,5,31239,
World,1934,16719,14395,2207,3575,812,0,731,154,17,706,39316,
World,1935,18064,11275,2323,5280,698,0,908,144,32,659,39383,
World,1936,14755,16983,5715,9077,1309,7,1078,188,4,613,49729,
World,1937,15297,31451,7486,7469,907,36,1283,14,14,1,63958,
World,1938,14231,22556,5583,3931,791,0,1422,54,15,212,48795,
World,1939,11566,20567,4867,514,874,4,987,29,7,1949,41364,
World,1940,5028,9035,3744,3168,571,0,727,105,1,34,22413,
World,1941,144,2516,4951,262,749,0,2365,57,5,0,11049,
World,1942,147,1747,4868,299,394,0,2459,101,6,0,10021,
World,1943,365,2193,5576,290,630,0,1911,99,14,0,11078,
World,1944,1057,2851,2608,338,891,0,1610,6,3,0,9364,
World,1945,3674,10276,2112,482,227,0,1878,58,1,35,18743,
World,1946,9283,16389,4618,285,1025,29,2013,22,1,31,33696,
World,1947,7034,23225,9208,291,1215,213,2716,31,0,12,43945,
World,1948,7873,21999,11225,631,1431,353,3893,0,1,17,47423,
World,1949,6338,22405,7644,5982,2427,273,4181,1,0,1,49252,
World,1950,7180,22152,10391,5768,1577,343,2275,0,0,6,49692,
World,1951,5327,25973,20795,4891,2401,303,3199,1,23,0,62913,
World,1952,4152,25831,8572,3623,2812,411,3904,0,9,49,49363,
World,1953,3045,30404,10058,3074,2551,7,2943,10,17,29,52138,
World,1954,2758,31530,17936,4353,2007,0,3952,0,34,82,62652,
World,1955,1894,30452,16665,6363,1868,0,4876,0,18,99,62235,
World,1956,1876,31093,16055,3305,3109,14,4383,0,51,28,59914,
World,1957,1923,30901,20911,5104,4584,36,4457,0,19,21,67956,
World,1958,1383,30693,20549,8560,4727,29,5276,8,3,0,71228,
World,1959,1094,28512,19157,16246,6607,43,3843,9,80,0,75591,
World,1960,1829,30245,20468,15200,7703,10,3994,9,6,0,79464,
World,1961,1237,29506,22688,7736,8220,23,3859,4,1358,8,74639,
World,1962,1898,20561,24465,5664,9178,269,4006,4,730,0,66775,
World,1963,2113,17943,34985,3566,13583,139,4203,2,377,0,76911,
World,1964,3603,12773,33703,1720,25753,681,3859,20,82,0,82194,
World,1965,1756,7411,31036,2733,24589,428,3472,4,350,1,71780,
World,1966,726,7077,36090,1178,21435,153,3621,57,161,3,70501,
World,1967,558,5643,30801,1034,21620,95,4384,99,4,1,64239,
World,1968,730,6257,28290,51,16752,179,4425,66,2,0,56752,
World,1969,977,5184,32421,13,16144,122,4302,74,78,0,59315,
World,1970,855,5261,28763,28,13397,92,4727,0,2,1,53126,
World,1971,552,3748,29047,24,10687,767,7926,0,2,0,52753,
World,1972,7,3286,20288,5,7011,138,11080,0,0,1,41816,
World,1973,2,2163,19744,4,6930,390,12471,0,2,0,41706,
World,1974,0,1901,22843,14,5742,1172,11562,0,1,0,43235,
World,1975,0,791,19305,8,2971,1238,10728,0,0,0,35041,
World,1976,1,569,14464,5,1911,1595,12731,0,0,0,31276,
World,1977,2,432,12722,4,729,1227,9612,0,1,0,24729,
World,1978,3,945,10542,11,240,797,9444,0,0,4,21986,
World,1979,0,851,4446,0,163,1101,11421,0,0,0,17982,
World,1980,0,459,2091,0,103,966,10699,0,0,3,14321,
World,1981,0,404,1452,0,100,647,11115,0,0,4,13722,
World,1982,0,347,621,0,71,802,10692,0,0,3,12536,
World,1983,0,270,414,0,100,878,9528,0,0,3,11193,
World,1984,0,271,454,0,95,528,7321,0,0,0,8669,
World,1985,0,210,400,0,38,357,6932,0,0,0,7937,
World,1986,0,76,200,0,40,317,5728,0,0,0,6361,
World,1987,0,80,191,0,20,317,946,0,0,0,1554,
World,1988,0,68,0,0,10,0,270,0,0,0,348,
World,1989,0,68,0,0,0,0,349,0,0,0,443,26
World,1990,0,0,0,0,0,0,327,0,0,0,371,44
World,1991,0,0,0,0,0,0,289,0,0,0,337,48
World,1992,0,0,0,0,0,0,425,0,0,0,475,50
World,1993,0,0,0,0,0,0,556,0,0,0,608,52
World,1994,0,0,0,0,0,0,610,0,0,0,657,47
World,1995,0,0,0,0,0,0,758,0,0,0,815,57
World,1996,0,0,0,0,0,0,905,0,0,0,950,45
World,1997,0,0,0,0,0,0,1055,0,0,0,1121,66
World,1998,0,0,0,0,0,0,1114,0,0,0,1170,56
World,1999,0,0,0,0,0,0,1130,0,0,0,1178,48
World,2000,0,7,5,2,0,44,1128,115,0,0,1350,49
World,2001,0,8,8,4,1,50,1261,112,0,0,1520,76
World,2002,0,13,5,4,40,50,1377,131,0,0,1674,54
World,2003,0,9,10,2,50,50,1482,128,0,0,1775,44
World,2004,0,13,3,1,100,51,1368,111,0,0,1692,45
World,2005,0,23,5,1,100,51,1939,124,0,0,2314,71
World,2006,0,21,6,2,102,51,1497,134,0,0,1855,42
World,2007,0,12,3,1,100,50,1592,132,0,0,1953,63
World,2008,0,15,2,2,100,50,1585,130,0,0,1940,56
World,2009,0,136,1,1,101,50,1421,116,0,0,1871,45
World,2010,0,156,23,12,100,51,1025,118,0,0,1565,80
World,2011,0,6,21,10,96,50,1193,128,0,0,1559,55
World,2012,0,5,23,12,100,34,959,143,0,0,1348,72
World,2013,0,143,21,12,100,28,1169,127,0,0,1661,61
World,2014,0,149,20,9,90,25,1009,124,0,0,1481,55
World,2015,0,168,20,7,90,25,1247,125,0,0,1734,52
World,2016,0,9,20,6,90,26,1174,120,0,0,1508,63
World,2017,0,8,20,3,134,0,1056,120,0,0,1400,59
World,2018,0,153,20,6,135,0,1083,108,0,0,1576,71
