Entity,Year,Terrain Ruggedness Index 100m (Nunn and Puga 2012)
Jordan,1996,1.097
Kazakhstan,1996,0.372
Kenya,1996,0.669
Kiribati,1996,0.01
Kuwait,1996,0.245
Kyrgyzstan,1996,4.287
Laos,1996,2.553
Latvia,1996,0.154
Lebanon,1996,4.197
Lesotho,1996,6.202
Liberia,1996,0.263
Libya,1996,0.403
Liechtenstein,1996,5.328
Lithuania,1996,0.175
Luxembourg,1996,0.881
Macao,1996,0.732
Macedonia,1996,2.665
Madagascar,1996,1.169
Malawi,1996,1.027
Malaysia,1996,1.009
Maldives,1996,0.012
Mali,1996,0.147
Malta,1996,1.527
Marshall Islands,1996,0.014
Martinique,1996,1.206
Mauritania,1996,0.115
Mauritius,1996,0.949
Mayotte,1996,2.673
Mexico,1996,1.732
Micronesia (country),1996,1.353
Moldova,1996,0.799
Monaco,1996,6.612
Mongolia,1996,1.057
Montserrat,1996,3.395
Morocco,1996,2.413
Mozambique,1996,0.612
Myanmar,1996,1.988
Namibia,1996,0.913
Nauru,1996,0.311
Nepal,1996,5.043
Netherlands,1996,0.037
Netherlands Antilles,1996,0.255
New Caledonia,1996,1.586
New Zealand,1996,2.038
Nicaragua,1996,0.992
Niger,1996,0.178
Nigeria,1996,0.312
Niue,1996,0.177
Norfolk Island,1996,1.154
North Korea,1996,2.521
Northern Mariana Islands,1996,1.7
Norway,1996,2.409
Oman,1996,1.109
Pakistan,1996,1.949
Palau,1996,0.475
Palestine,1996,2.775
Panama,1996,1.54
Papua New Guinea,1996,1.589
Paraguay,1996,0.245
Peru,1996,1.347
Philippines,1996,2.028
Pitcairn,1996,0.404
Poland,1996,0.297
Portugal,1996,1.304
Puerto Rico,1996,1.447
Qatar,1996,0.181
Reunion,1996,3.873
Romania,1996,1.267
Russia,1996,0.94
Rwanda,1996,3.309
Saint Helena,1996,3.863
Saint Kitts and Nevis,1996,0.006
Saint Lucia,1996,2.147
Saint Pierre and Miquelon,1996,0.833
Saint Vincent and the Grenadines,1996,3.071
Samoa,1996,1.677
San Marino,1996,1.802
Sao Tome and Principe,1996,2.347
Saudi Arabia,1996,0.914
Senegal,1996,0.244
Serbia,1996,1.673
Seychelles,1996,4.885
Sierra Leone,1996,0.498
Singapore,1996,0.016
Slovakia,1996,1.56
Slovenia,1996,2.496
Solomon Islands,1996,1.54
Somalia,1996,0.65
South Africa,1996,1.761
South Korea,1996,1.96
Spain,1996,1.689
Sri Lanka,1996,0.65
Sudan,1996,0.442
Suriname,1996,0.307
Svalbard and Jan Mayen,1996,1.623
Swaziland,1996,3.063
Sweden,1996,0.715
Switzerland,1996,4.761
Syria,1996,0.756
Taiwan,1996,3.49
Tajikistan,1996,5.301
Tanzania,1996,0.677
Thailand,1996,1.051
Timor,1996,1.85
Togo,1996,0.28
Tokelau,1996,0
Tonga,1996,0.773
Trinidad and Tobago,1996,0.603
Tunisia,1996,0.726
Turkey,1996,2.62
Turkmenistan,1996,0.284
Turks and Caicos Islands,1996,0.007
Tuvalu,1996,0.025
Uganda,1996,0.913
Ukraine,1996,0.416
United Arab Emirates,1996,0.769
United Kingdom,1996,0.568
United States,1996,1.073
United States Minor Outlying Islands,1996,0.005
United States Virgin Islands,1996,1.404
Uruguay,1996,0.435
Uzbekistan,1996,0.526
Vanuatu,1996,1.729
Vatican,1996,0.438
Venezuela,1996,0.634
Vietnam,1996,2.054
Wallis and Futuna,1996,1.306
Western Sahara,1996,0.203
Yemen,1996,2.323
Zambia,1996,0.533
Zimbabwe,1996,1.194
