Entity,Year,"Number of people without access to safe drinking water (WHO Wash, 2019)","Number of people without access to safe sanitation (WHO Wash, 2019)"
Australia,2002,,6878825.215
Australia,2003,,6978261.162
Australia,2004,,7046486.918
Australia,2005,,6963372.015
Australia,2006,,6882433.831
Australia,2007,,6597180.583
Australia,2008,,6580999.169
Australia,2009,,6575308.481
Australia,2010,,6466527.524
Australia,2011,,6328718.896
Australia,2012,,6286586.109
Australia,2013,,6246749.694
Australia,2014,,6161291.476
Australia,2015,,6062546.254
Austria,2000,135373.8415,219749.0015
Austria,2001,134084.6442,223377.7756
Austria,2002,134033.2392,228344.6105
Austria,2003,128894.6066,228393.2047
Austria,2004,134403.808,239152.7111
Austria,2005,148054.7615,258062.6082
Austria,2006,150262.9605,265528.0122
Austria,2007,141015.6809,261534.4755
Austria,2008,132607.9841,258391.202
Austria,2009,120257.0981,251335.3572
Austria,2010,105410.5476,241836.1993
Austria,2011,97752.49981,239571.1587
Austria,2012,99827.37139,247081.6419
Austria,2013,113776.4848,266412.3831
Austria,2014,145900.5705,303836.1802
Austria,2015,210054.3961,373195.9538
Azerbaijan,2000,3874278.909,8048600
Azerbaijan,2001,3866021.564,8111200
Azerbaijan,2002,3851853.101,8171950
Azerbaijan,2003,3835478.639,8234100
Azerbaijan,2004,3678435.868,8306500
Azerbaijan,2005,3527125.596,8391850
Azerbaijan,2006,3376141.28,8484550
Azerbaijan,2007,3221504.442,8581300
Azerbaijan,2008,3143289.012,8763400
Azerbaijan,2009,3056051.135,8947243
Azerbaijan,2010,2879841.542,9054332
Azerbaijan,2011,2733597.491,9173082
Azerbaijan,2012,2722653.774,9295784
Azerbaijan,2013,2707160.845,9416801
Azerbaijan,2014,2690157.347,9535079
Azerbaijan,2015,2673579.708,9649341
Bahrain,2000,6833.361305,664614
Bahrain,2001,12042.63922,697549
Bahrain,2002,19508.96444,735148
Bahrain,2003,27251.84739,778711
Bahrain,2004,32531.76557,829848
Bahrain,2005,33520.02093,889168
Bahrain,2006,29845.65173,958414
Bahrain,2007,22576.05535,1035891
Bahrain,2008,13106.54794,1114590
Bahrain,2009,3466.87839,1185029
Bahrain,2010,-4550.413255,1240862
Bahrain,2011,-11289.2236,1278269
Bahrain,2012,-16556.9298,1300217
Bahrain,2013,-17013.2198,1315411
Bahrain,2014,-8372.682,1336397
Bahrain,2015,11971.1862,1371855
Bangladesh,2000,58257918.58,131581243
Bangladesh,2001,59346964.55,134107160
Bangladesh,2002,60459471.49,136600667
Bangladesh,2003,61546715.64,139019001
Bangladesh,2004,62580670.31,141307489
Bangladesh,2005,63542562.45,143431101
Bangladesh,2006,64422399.2,145368004
Bangladesh,2007,65229402.06,147139191
Bangladesh,2008,65989991.95,148805814
Bangladesh,2009,66742254.93,150454708
Bangladesh,2010,67514417.15,152149102
Bangladesh,2011,68317876.81,153911916
Bangladesh,2012,69143155.1,155727053
Bangladesh,2013,69974385.71,157571292
Bangladesh,2014,70788538.29,159405279
Bangladesh,2015,71569385.04,161200886
Belarus,2000,2102880.151,1849318.551
Belarus,2001,2099471.266,1837570.41
Belarus,2002,2088253.619,1818362.725
Belarus,2003,2072234.763,1794624.118
Belarus,2004,1916379.923,1805964.21
Belarus,2005,1756210.034,1814910.512
Belarus,2006,1597470.228,1827480.511
Belarus,2007,1448055.448,1851868.808
Belarus,2008,1303289.77,1883724.041
Belarus,2009,1163629.96,1923892.331
Belarus,2010,1022477.147,1966047.402
Belarus,2011,872491.6634,2003401.192
Belarus,2012,724190.6179,2046723.278
Belarus,2013,599207.9208,2101147.526
Belarus,2014,505032.7564,2168272.635
Belarus,2015,522833.9112,2250976.311
Belgium,2000,31831.10808,3081197.864
Belgium,2001,24404.9046,3086507.786
Belgium,2002,17591.96082,3095498.702
Belgium,2003,-322.531348,3095844.894
Belgium,2004,-21475.57379,2855947.147
Belgium,2005,-21210.62333,2623778.938
Belgium,2006,-9649.776,2398962.634
Belgium,2007,8292.778333,2177600.409
Belgium,2008,31423.44667,1958230.542
Belgium,2009,56076.074,1736981.274
Belgium,2010,93124.41,1524579.31
Belgium,2011,183802.0792,1362152.379
Belgium,2012,203838.294,1125419.768
Belgium,2013,198850.6837,860066.391
Belgium,2014,166098.2593,563416.8333
Belgium,2015,159557.4693,302659.4932
Bhutan,2000,420020.1987,573416
Bhutan,2001,428294.284,589600
Bhutan,2002,436714.3288,606399
Bhutan,2003,445067.8422,623434
Bhutan,2004,453136.5956,640282
Bhutan,2005,460851.5274,656639
Bhutan,2006,468557.428,672228
Bhutan,2007,475661.9883,686958
Bhutan,2008,482251.3555,700950
Bhutan,2009,488488.1251,714458
Bhutan,2010,494458.187,727641
Bhutan,2011,500178.5215,740510
Bhutan,2012,505622.8642,752967
Bhutan,2013,510754.5743,764961
Bhutan,2014,516151.1204,776448
Bhutan,2015,522744.3292,787386
Bolivia,2000,,7108598.412
Bolivia,2001,,7217686.127
Bolivia,2002,,7326005.47
Bolivia,2003,,7433589.766
Bolivia,2004,,7540561.836
Bolivia,2005,,7647016.914
Bolivia,2006,,7752858.762
Bolivia,2007,,7858048.262
Bolivia,2008,,7962686.53
Bolivia,2009,,8066919.772
Bolivia,2010,,8170856.37
Bolivia,2011,,8274504.179
Bolivia,2012,,8377808.139
Bolivia,2013,,8480805.48
Bolivia,2014,,8583493.899
Bolivia,2015,,8685872.207
Bosnia and Herzegovina,2000,483535.427,2884868.621
Bosnia and Herzegovina,2001,467113.0096,2888472.092
Bosnia and Herzegovina,2002,449040.5259,2891616.789
Bosnia and Herzegovina,2003,438651.1228,2893599.884
Bosnia and Herzegovina,2004,429364.2397,2893567.591
Bosnia and Herzegovina,2005,419185.333,2891977.805
Bosnia and Herzegovina,2006,408772.2026,2888629.857
Bosnia and Herzegovina,2007,397765.0775,2882616.727
Bosnia and Herzegovina,2008,384066.9955,2872445.081
Bosnia and Herzegovina,2009,364898.3507,2856121.937
Bosnia and Herzegovina,2010,338678.7856,2832643.885
Bosnia and Herzegovina,2011,304124.2959,2800725.522
Bosnia and Herzegovina,2012,262950.7695,2761776.745
Bosnia and Herzegovina,2013,221984.7206,2720715.733
Bosnia and Herzegovina,2014,184711.629,2684317.892
Bosnia and Herzegovina,2015,160866.2389,2656524.86
Brazil,2000,,128962502.1
Brazil,2001,,129635225.6
Brazil,2002,,130169160.8
Brazil,2003,,130559705.2
Brazil,2004,,130813570.1
Brazil,2005,,130937329.8
Brazil,2006,,130929874.2
Brazil,2007,,130791516.1
Brazil,2008,,130531860.1
Brazil,2009,,130162282.2
Brazil,2010,,129688413.1
Brazil,2011,,129111939.7
Brazil,2012,,128429712.5
Brazil,2013,,127631659.4
Brazil,2014,,126704836.5
Brazil,2015,,125639695.5
Bulgaria,2000,392995.5981,2424314.713
Bulgaria,2001,296172.7007,2287626.81
Bulgaria,2002,187540.5037,2137603.325
Bulgaria,2003,187908.5548,2097372.661
Bulgaria,2004,192624.3763,2059652.889
Bulgaria,2005,196667.0427,2178540.597
Bulgaria,2006,198512.7465,2316668.886
Bulgaria,2007,200835.2465,2457110.244
Bulgaria,2008,204539.4505,2600697.922
Bulgaria,2009,211727.4688,2749428.808
Bulgaria,2010,217320.3082,2898076.45
Bulgaria,2011,223749.8634,3048998.149
Bulgaria,2012,234389.9134,3205474.766
Bulgaria,2013,246357.0572,3364455.823
Bulgaria,2014,271827.9529,3527769.312
Bulgaria,2015,274756.3144,3684955.858
Cambodia,2000,10095172.73,12152354
Cambodia,2001,10245115.35,12402473
Cambodia,2002,10377906.26,12634729
Cambodia,2003,10497058.62,12853124
Cambodia,2004,10607355.92,13063377
Cambodia,2005,10712707.52,13270201
Cambodia,2006,10813900.02,13474489
Cambodia,2007,10911271.27,13676693
Cambodia,2008,11007846.12,13880509
Cambodia,2009,11106329.08,14090208
Cambodia,2010,11209015.42,14308740
Cambodia,2011,11317021.65,14537886
Cambodia,2012,11429487.52,14776866
Cambodia,2013,11543840.8,15022692
Cambodia,2014,11656186.18,15270790
Cambodia,2015,11763549.4,15517635
Canada,2000,,8335094.946
Canada,2001,,8435793.577
Canada,2002,,8498702.063
Canada,2003,,8447234.14
Canada,2004,,8390244.939
Canada,2005,,8319294.286
Canada,2006,,8176576.128
Canada,2007,,8080585.092
Canada,2008,,8016949.362
Canada,2009,,7976112.46
Canada,2010,,7931683.135
Canada,2011,,7852377.119
Canada,2012,,7977388.155
Canada,2013,,8100901.145
Canada,2014,,8209621.329
Canada,2015,,8236403.801
Channel Islands,2009,12718.69325,158603
Channel Islands,2010,12804.53575,159581
Channel Islands,2011,12887.24225,160497
Channel Islands,2012,12969.214,161358
Channel Islands,2013,13053.5745,162180
Channel Islands,2014,13126.08925,162969
Channel Islands,2015,13202.283,163758
Chile,2000,1370998.232,11145661.01
Chile,2001,1285681.926,10731289.8
Chile,2002,1197497.961,10292291.61
Chile,2003,1107241.613,9829302.981
Chile,2004,1015392.697,9343187.201
Chile,2005,922262.05,8834402.057
Chile,2006,828203.3812,8303205.895
Chile,2007,732784.6763,7749150.572
Chile,2008,634721.074,7171033.864
Chile,2009,532428.9264,6567281.364
Chile,2010,454463.0344,5936645.263
Chile,2011,374372.562,5278409.878
Chile,2012,289921.8509,4592830.496
Chile,2013,206696.5034,3888665.402
Chile,2014,158907.431,3149710.489
Chile,2015,145845.2181,2421226.988
China,2000,,893529353.4
China,2001,,899469126.7
China,2002,,901202258.9
China,2003,,883002505.4
China,2004,,863243736.3
China,2005,,842196967.5
China,2006,,819546614.1
China,2007,,794979612.6
China,2008,,768991384.1
China,2009,,741494906.1
China,2010,,712468371.8
China,2011,,682038604.8
China,2012,,650464005.4
China,2013,,617815697.8
China,2014,,584282915.4
China,2015,,549832485.8
"China, Hong Kong Special Administrative Region",2000,-6648497.701,-1134480.695
"China, Hong Kong Special Administrative Region",2001,-6710491.983,-1143350.496
"China, Hong Kong Special Administrative Region",2002,-6738420.251,-1146397.129
"China, Hong Kong Special Administrative Region",2003,-6744148.173,-1145662.271
"China, Hong Kong Special Administrative Region",2004,-6745667.679,-1141129.896
"China, Hong Kong Special Administrative Region",2005,-6756466.069,-1138180.285
"China, Hong Kong Special Administrative Region",2006,-6779726.57,-1137327.78
"China, Hong Kong Special Administrative Region",2007,-6812337.53,-1138026.401
"China, Hong Kong Special Administrative Region",2008,-6854018.117,-1140210.009
"China, Hong Kong Special Administrative Region",2009,-6902824.812,-1143537.98
"China, Hong Kong Special Administrative Region",2010,-6957128.669,-1147727.127
"China, Hong Kong Special Administrative Region",2011,-7017892.187,-1152924.611
"China, Hong Kong Special Administrative Region",2012,-7085802.092,-1159229.943
"China, Hong Kong Special Administrative Region",2013,-7158310.586,-1166213.919
"China, Hong Kong Special Administrative Region",2014,-7226869,-1173293.296
"China, Hong Kong Special Administrative Region",2015,-7287983,-1180031.301
Colombia,2000,13163723.97,33633266.2
Colombia,2001,13202409.87,34029846.28
Colombia,2002,13237647.4,34424594.68
Colombia,2003,13268702.03,34815473.92
Colombia,2004,13294293.7,35199526.32
Colombia,2005,13314056.57,35574420.09
Colombia,2006,13327689.43,35939609.7
Colombia,2007,13402679.28,36295329.3
Colombia,2008,13474066.13,36641179.44
Colombia,2009,13541879.64,36976911.77
Colombia,2010,13606140.76,37302327.51
Colombia,2011,13666817.34,37617022.45
Colombia,2012,13724091.94,37920748.31
Colombia,2013,13777896.42,38213958.57
Colombia,2014,13836426.01,38497323.91
Colombia,2015,13927178.03,38771177.19
Congo,2000,2296024.839,3225727
Congo,2001,2359310.418,3315806
Congo,2002,2423136.093,3407180
Congo,2003,2490158.261,3502519
Congo,2004,2547618.803,3605439
Congo,2005,2611201.883,3718243
Congo,2006,2681688.315,3842365
Congo,2007,2757807.39,3976246
Congo,2008,2836166.503,4115435
Congo,2009,2912192.605,4253712
Congo,2010,2982762.177,4386693
Congo,2011,3048157.158,4512730
Congo,2012,3109497.508,4633363
Congo,2013,3167040.367,4751393
Congo,2014,3223977.123,4871101
Congo,2015,3286051.326,4995648
Costa Rica,2000,1166902.529,3925443
Costa Rica,2001,1120264.692,3996798
Costa Rica,2002,1070049.303,4063204
Costa Rica,2003,1016890.528,4125971
Costa Rica,2004,961442.8519,4187038
Costa Rica,2005,904156.1532,4247841
Costa Rica,2006,845154.0484,4308794
Costa Rica,2007,784380.4997,4369469
Costa Rica,2008,721830.6068,4429508
Costa Rica,2009,657481.9358,4488263
Costa Rica,2010,601865.146,4545280
Costa Rica,2011,577014.731,4600474
Costa Rica,2012,552907.7635,4654122
Costa Rica,2013,529616.9147,4706401
Costa Rica,2014,507699.066,4757575
Costa Rica,2015,490343.0827,4807852
Cote d'Ivoire,2000,10672424.65,16686561
Cote d'Ivoire,2001,10783124.92,17040152
Cote d'Ivoire,2002,10874028.34,17366517
Cote d'Ivoire,2003,10954493.82,17679355
Cote d'Ivoire,2004,11036622.66,17997738
Cote d'Ivoire,2005,11129614.88,18336303
Cote d'Ivoire,2006,11235501.15,18699435
Cote d'Ivoire,2007,11344489.86,19085941
Cote d'Ivoire,2008,11466605.22,19497986
Cote d'Ivoire,2009,11602637.05,19936366
Cote d'Ivoire,2010,11753274.85,20401331
Cote d'Ivoire,2011,11919751.6,20895311
Cote d'Ivoire,2012,12102206.43,21418603
Cote d'Ivoire,2013,12297454.11,21966312
Cote d'Ivoire,2014,12501324.71,22531350
Cote d'Ivoire,2015,12710788.69,23108472
Croatia,2000,473404.46,1785321.977
Croatia,2001,503869.7678,1810358.748
Croatia,2002,487343.2554,1816218.622
Croatia,2003,466225.5658,1818906.681
Croatia,2004,444010.0097,1819802.812
Croatia,2005,427503.337,1825686.375
Croatia,2006,408498.4434,1828036.339
Croatia,2007,389434.3741,1829451.57
Croatia,2008,374587.4698,1834258.531
Croatia,2009,399266.519,1835547.417
Croatia,2010,419049.7895,1831060.173
Croatia,2011,313284.9259,1700886.736
Croatia,2012,332228.1525,1695191.217
Croatia,2013,352747.4349,1690927.246
Croatia,2014,367908.7217,1681264.609
Croatia,2015,368163.0063,1654013.947
Cuba,2000,,7569386.726
Cuba,2001,,7589516.076
Cuba,2002,,7605930.827
Cuba,2003,,7618330.319
Cuba,2004,,7626930.281
Cuba,2005,,7652782.912
Cuba,2006,,7675457.176
Cuba,2007,,7695439.366
Cuba,2008,,7715001.721
Cuba,2009,,7737132.828
Cuba,2010,,7763882.889
Cuba,2011,,7796421.408
Cuba,2012,,7833863.672
Cuba,2013,,7873719.604
Cuba,2014,,7912412.043
Cuba,2015,,7947302.681
Cyprus,2000,39169.80585,221979.3339
Cyprus,2001,38726.36891,224689.8119
Cyprus,2002,37773.4863,227531.1
Cyprus,2003,36862.03922,230607.4838
Cyprus,2004,33587.25395,234574.2659
Cyprus,2005,31488.45971,239747.8355
Cyprus,2006,30905.96814,246374.5376
Cyprus,2007,31509.32414,254108.6462
Cyprus,2008,32425.27603,262104.8902
Cyprus,2009,32398.5565,269164.0335
Cyprus,2010,30577.06086,274472.834
Cyprus,2011,26605.99976,277685.2836
Cyprus,2012,20848.82457,279144.8577
Cyprus,2013,13926.24934,279403.455
Cyprus,2014,6845.949931,279466.3867
Cyprus,2015,316.062931,280023.4388
Czech Republic,2000,369540.8719,1288160.884
Czech Republic,2001,349545.818,1267445.543
Czech Republic,2002,336161.6607,1265249.075
Czech Republic,2003,334045.0649,1274844.636
Czech Republic,2004,324801.558,1323932.419
Czech Republic,2005,308579.6541,1367983.391
Czech Republic,2006,284712.7143,1407005.355
Czech Republic,2007,275081.3968,1462871.858
Czech Republic,2008,282875.6021,1537871.941
Czech Republic,2009,269338.4513,1591651.017
Czech Republic,2010,241792.0939,1630099.113
Czech Republic,2011,224047.8608,1676261.013
Czech Republic,2012,221995.1171,1729152.412
Czech Republic,2013,224736.1423,1779878.949
Czech Republic,2014,237795.5475,1840334.252
Czech Republic,2015,258002.496,1907645.371
Denmark,2000,330524.0504,364059.7654
Denmark,2001,334282.6693,367921.5531
Denmark,2002,337961.8243,371690.902
Denmark,2003,339566.6747,373383.0649
Denmark,2004,321981.0754,372706.3505
Denmark,2005,302088.7491,369862.62
Denmark,2006,281258.8548,366261.7512
Denmark,2007,263485.5066,365922.2869
Denmark,2008,251636.6311,371715.2142
Denmark,2009,236769.4024,374669.581
Denmark,2010,218038.1832,373902.0754
Denmark,2011,198966.254,372913.8085
Denmark,2012,179027.6425,371176.446
Denmark,2013,174022.6728,372800.1068
Denmark,2014,180807.3222,380273.184
Denmark,2015,199465.521,399606.4506
Ecuador,2000,4248478.311,7284407.973
Ecuador,2001,4246403.153,7408348.272
Ecuador,2002,4246256.139,7530197.74
Ecuador,2003,4247348.782,7651203.211
Ecuador,2004,4246887.701,7774271.792
Ecuador,2005,4245801.834,7901170.218
Ecuador,2006,4244338.146,8032567.461
Ecuador,2007,4242036.792,8167988.218
Ecuador,2008,4238421.332,8306530.652
Ecuador,2009,4232703.979,8446776.235
Ecuador,2010,4224289.811,8587693.487
Ecuador,2011,4213065.119,8729068.357
Ecuador,2012,4198782.772,8871381.391
Ecuador,2013,4181406.402,9014637.006
Ecuador,2014,4160856.816,9159004.297
Ecuador,2015,4139293.445,9304574.68
Egypt,2000,,33863004.8
Egypt,2001,,34149231.98
Egypt,2002,,34440782.92
Egypt,2003,,34730758.51
Egypt,2004,,35009481.22
Egypt,2005,,35271561.48
Egypt,2006,,35511812.06
Egypt,2007,,35741357.56
Egypt,2008,,35976194.36
Egypt,2009,,36236349.9
Egypt,2010,,36536264.2
Egypt,2011,,36880258.11
Egypt,2012,,37254104.21
Egypt,2013,,37636264.74
Egypt,2014,,37997973.42
Egypt,2015,,38318516.56
Estonia,2000,92368.80112,176942.736
Estonia,2001,87362.50894,169808.8076
Estonia,2002,83990.27722,164256.3291
Estonia,2003,81542.10779,159626.996
Estonia,2004,79095.0489,154462.5166
Estonia,2005,75684.88584,148456.7439
Estonia,2006,70586.38494,140885.481
Estonia,2007,84428.88852,134145.1734
Estonia,2008,104466.5109,129209.6959
Estonia,2009,125074.182,124978.9107
Estonia,2010,145108.7725,120298.3976
Estonia,2011,164127.8087,114727.0194
Estonia,2012,182338.7288,108474.8439
Estonia,2013,200452.0835,102211.9786
Estonia,2014,219586.1101,97047.24739
Estonia,2015,243170.7592,95992.13532
Ethiopia,2000,63387955.56,66537331
Ethiopia,2001,65009996.5,68492257
Ethiopia,2002,66692414.13,70497192
Ethiopia,2003,68485981.79,72545144
Ethiopia,2004,70281509.87,74624405
Ethiopia,2005,72069812.4,76727083
Ethiopia,2006,73846498.1,78850689
Ethiopia,2007,75610512.99,81000409
Ethiopia,2008,77321544.74,83184892
Ethiopia,2009,79037467.5,85416253
Ethiopia,2010,80763508.52,87702670
Ethiopia,2011,82500970.27,90046756
Ethiopia,2012,84243109.38,92444183
Ethiopia,2013,85982165.28,94887724
Ethiopia,2014,87704838.7,97366774
Ethiopia,2015,89401797.4,99873033
Finland,2000,415286.312,579224.8591
Finland,2001,381211.0742,561159.7105
Finland,2002,347558.8581,544922.0319
Finland,2003,312645.8755,527689.2131
Finland,2004,278523.9552,511585.1902
Finland,2005,244597.7839,496062.4122
Finland,2006,210086.1476,480376.1238
Finland,2007,175164.6739,464718.5192
Finland,2008,140116.4112,464093.6058
Finland,2009,104078.5486,462907.7983
Finland,2010,99127.11036,459909.6052
Finland,2011,112831.3516,456466.7986
Finland,2012,126856.6974,453109.7434
Finland,2013,140818.9394,449360.4275
Finland,2014,154315.6563,444764.8468
Finland,2015,149377.9081,438166.8606
France,2000,5543453.829,8944024.449
France,2001,5680979.858,8922067.44
France,2002,5784967.453,8866539.696
France,2003,5857279.077,8778280.493
France,2004,5945620.818,8703840.523
France,2005,6058477.081,8651006.154
France,2006,6152719.836,8576587.017
France,2007,6211101.983,8463565.446
France,2008,6245455.781,8323854.722
France,2009,6264320.269,8166135.795
France,2010,6282036.03,8004881.009
France,2011,6306718.12,7848256.881
France,2012,6346150.126,7704147.897
France,2013,6422011.671,7589855.571
France,2014,6482047.097,7457912.533
France,2015,6504369.543,7286531.967
Georgia,2000,912751.7203,4418300
Georgia,2001,912111.6224,4386400
Georgia,2002,912204.1197,4357000
Georgia,2003,883803.8834,4301000
Georgia,2004,836602.5883,4245000
Georgia,2005,789170.5951,4190000
Georgia,2006,757429.5353,4136000
Georgia,2007,765463.96,4082000
Georgia,2008,774705.1777,4030000
Georgia,2009,785138.7018,3978000
Georgia,2010,797964.9189,3926000
Georgia,2011,815312.0551,3875000
Georgia,2012,835961.1388,3825000
Georgia,2013,817260.3978,3776000
Georgia,2014,792887.9445,3727000
Georgia,2015,798417.8874,3717100
Germany,2000,847906.5125,3207244.179
Germany,2001,1072248.347,3427089.263
Germany,2002,1319714.889,3668745.32
Germany,2003,1494896.627,3837615.002
Germany,2004,1627684.642,4063606.83
Germany,2005,1750725.206,4278468.747
Germany,2006,1847410.376,4462809.891
Germany,2007,1937411.348,4637061.833
Germany,2008,1968519.389,4752496.158
Germany,2009,1905999.953,4775517.849
Germany,2010,1864452.496,4821499.13
Germany,2011,373078.3225,3420342.596
Germany,2012,491348.2672,3610847.11
Germany,2013,667981.1322,3738247.793
Germany,2014,969205.0262,3989826.756
Germany,2015,1631131.057,4644873.654
Ghana,2000,15963118.48,18938762
Ghana,2001,16310353.16,19421605
Ghana,2002,16597710.52,19924522
Ghana,2003,16890900.28,20446782
Ghana,2004,17188234.08,20986536
Ghana,2005,17488388.63,21542009
Ghana,2006,17790991.86,22113425
Ghana,2007,18094962.78,22700212
Ghana,2008,18396493.53,23298640
Ghana,2009,18691004.11,23903831
Ghana,2010,18974535.08,24512104
Ghana,2011,19245570.55,25121796
Ghana,2012,19504600.9,25733049
Ghana,2013,19752407.16,26346251
Ghana,2014,19990338.32,26962563
Ghana,2015,20219176.19,27582821
Gibraltar,2000,4088.217059,31180
Gibraltar,2001,4055.38739,31374
Gibraltar,2002,3905.448598,31544
Gibraltar,2003,3698.116362,31720
Gibraltar,2004,3473.945242,31896
Gibraltar,2005,3280.603528,32085
Gibraltar,2006,3137.986969,32296
Gibraltar,2007,3022.142951,32510
Gibraltar,2008,2928.16625,32732
Gibraltar,2009,2837.180071,32956
Gibraltar,2010,2748.260234,33189
Gibraltar,2011,2632.435172,33405
Gibraltar,2012,2518.610109,33623
Gibraltar,2013,2411.62393,33831
Gibraltar,2014,2344.249177,34038
Gibraltar,2015,2316.334211,34228
Greece,2000,11807.4579,2843650.991
Greece,2001,30646.92105,2860739.476
Greece,2002,42087.87552,2862610.37
Greece,2003,45548.71168,2854958.196
Greece,2004,50233.18309,2848410.482
Greece,2005,56560.43287,2844404.388
Greece,2006,57471.8181,2836554.958
Greece,2007,49206.1781,2820526.588
Greece,2008,45046.67771,2807807.18
Greece,2009,53581.59791,2804557.564
Greece,2010,66884.70169,2801619.071
Greece,2011,71980.24337,2787749.065
Greece,2012,52617.56511,2744965.1
Greece,2013,29435.8696,2691084.635
Greece,2014,13252.59855,2644640.646
Greece,2015,-12770.1759,2577846.717
Greenland,2000,3490.031049,3842.915198
Greenland,2001,3489.897624,3843.787422
Greenland,2002,3569.675848,3924.766034
Greenland,2003,3545.515737,3901.812591
Greenland,2004,3371.810683,3906.141224
Greenland,2005,3139.389218,3851.849466
Greenland,2006,2796.310983,3690.892267
Greenland,2007,2458.904478,3537.151686
Greenland,2008,2157.763616,3418.30038
Greenland,2009,2095.564617,3537.303065
Greenland,2010,2613.463022,4235.865886
Greenland,2011,2523.531124,4326.300548
Greenland,2012,2361.522257,4344.352162
Greenland,2013,2042.090482,4098.680032
Greenland,2014,1908.887304,3968.766377
Greenland,2015,1754.492241,3818.893632
Guatemala,2000,5786405.941,11650743
Guatemala,2001,5833601.15,11924946
Guatemala,2002,5882353.754,12208848
Guatemala,2003,5931415.176,12500478
Guatemala,2004,5978983.841,12796925
Guatemala,2005,6023782.79,13096028
Guatemala,2006,6065340.44,13397008
Guatemala,2007,6103867.49,13700286
Guatemala,2008,6139601.464,14006366
Guatemala,2009,6172973.893,14316208
Guatemala,2010,6204191.16,14630417
Guatemala,2011,6233161.116,14948919
Guatemala,2012,6259312.364,15271056
Guatemala,2013,6281939.342,15596214
Guatemala,2014,6300025.077,15923559
Guatemala,2015,6312847.814,16252429
Hungary,2000,4863728.068,4866733.749
Hungary,2001,4855042.482,4857775.648
Hungary,2002,4840554.022,4842217.151
Hungary,2003,4825404.093,4825933.449
Hungary,2004,4569177.8,4576898.712
Hungary,2005,4314733.268,4327367.961
Hungary,2006,4063471.87,4078411.236
Hungary,2007,3811193.059,3826148.313
Hungary,2008,3557037.919,3569740.742
Hungary,2009,3307134.859,3315393.053
Hungary,2010,3054077.698,3055697.312
Hungary,2011,2800266.048,2793117.938
Hungary,2012,2528147.543,2510182.926
Hungary,2013,2284141.006,2408303.032
Hungary,2014,2043349.248,2396965.893
Hungary,2015,1807067.341,2388755.65
Iceland,2000,29413.65387,88418.45126
