Entity,Year,DALY rate from ambient PM2.5 air pollution (State of Global Air (2017))
Cyprus,2015,378
Czech Republic,1990,1942
Czech Republic,1995,1422
Czech Republic,2000,1064
Czech Republic,2005,855
Czech Republic,2010,750
Czech Republic,2015,671
Denmark,1990,778
Denmark,1995,667
Denmark,2000,510
Denmark,2005,402
Denmark,2010,349
Denmark,2015,320
Djibouti,1990,2772
Djibouti,1995,2816
Djibouti,2000,2783
Djibouti,2005,2459
Djibouti,2010,2306
Djibouti,2015,2237
Dominica,1990,792
Dominica,1995,769
Dominica,2000,666
Dominica,2005,603
Dominica,2010,549
Dominica,2015,558
Dominican Republic,1990,912
Dominican Republic,1995,904
Dominican Republic,2000,974
Dominican Republic,2005,854
Dominican Republic,2010,838
Dominican Republic,2015,806
Ecuador,1990,958
Ecuador,1995,898
Ecuador,2000,849
Ecuador,2005,803
Ecuador,2010,570
Ecuador,2015,480
Egypt,1990,4101
Egypt,1995,3374
Egypt,2000,2688
Egypt,2005,2624
Egypt,2010,2705
Egypt,2015,2452
El Salvador,1990,1449
El Salvador,1995,1341
El Salvador,2000,1204
El Salvador,2005,1012
El Salvador,2010,826
El Salvador,2015,828
Equatorial Guinea,1990,4811
Equatorial Guinea,1995,4612
Equatorial Guinea,2000,3610
Equatorial Guinea,2005,2344
Equatorial Guinea,2010,2193
Equatorial Guinea,2015,2052
Eritrea,1990,3736
Eritrea,1995,2821
Eritrea,2000,2569
Eritrea,2005,2465
Eritrea,2010,2582
Eritrea,2015,2549
Estonia,1990,1218
Estonia,1995,1190
Estonia,2000,858
Estonia,2005,651
Estonia,2010,427
Estonia,2015,417
Ethiopia,1990,3821
Ethiopia,1995,3305
Ethiopia,2000,2862
Ethiopia,2005,2269
Ethiopia,2010,1861
Ethiopia,2015,1651
Fiji,1990,1144
Fiji,1995,1202
Fiji,2000,1181
Fiji,2005,1065
Fiji,2010,759
Fiji,2015,820
Finland,1990,609
Finland,1995,461
Finland,2000,358
Finland,2005,275
Finland,2010,235
Finland,2015,220
France,1990,436
France,1995,382
France,2000,340
France,2005,281
France,2010,249
France,2015,240
Gabon,1990,2532
Gabon,1995,2465
Gabon,2000,2330
Gabon,2005,2010
Gabon,2010,1683
Gabon,2015,1662
Gambia,1990,3122
Gambia,1995,2771
Gambia,2000,2523
Gambia,2005,2107
Gambia,2010,2017
Gambia,2015,1880
Georgia,1990,2034
Georgia,1995,1724
Georgia,2000,1646
Georgia,2005,1512
Georgia,2010,1462
Georgia,2015,1324
Germany,1990,856
Germany,1995,679
Germany,2000,546
Germany,2005,440
Germany,2010,389
Germany,2015,365
Ghana,1990,2709
Ghana,1995,2366
Ghana,2000,2381
Ghana,2005,1991
Ghana,2010,1858
Ghana,2015,1603
Greece,1990,677
Greece,1995,605
Greece,2000,571
Greece,2005,480
Greece,2010,460
Greece,2015,477
Greenland,1990,665
Greenland,1995,575
Greenland,2000,521
Greenland,2005,393
Greenland,2010,254
Greenland,2015,271
Grenada,1990,1393
Grenada,1995,1267
Grenada,2000,1158
Grenada,2005,1036
Grenada,2010,857
Grenada,2015,853
Guatemala,1990,2144
Guatemala,1995,2085
Guatemala,2000,2041
Guatemala,2005,1678
Guatemala,2010,1217
Guatemala,2015,1160
Guinea,1990,3237
Guinea,1995,2994
Guinea,2000,2803
Guinea,2005,2289
Guinea,2010,2356
Guinea,2015,1963
Guinea-Bissau,1990,3576
Guinea-Bissau,1995,3414
Guinea-Bissau,2000,3383
Guinea-Bissau,2005,2973
Guinea-Bissau,2010,3186
Guinea-Bissau,2015,2773
Guyana,1990,2139
Guyana,1995,2187
Guyana,2000,1863
Guyana,2005,1522
Guyana,2010,1261
Guyana,2015,1252
Haiti,1990,3286
Haiti,1995,2824
Haiti,2000,2422
Haiti,2005,2241
Haiti,2010,1886
Haiti,2015,1828
Honduras,1990,1554
Honduras,1995,1704
Honduras,2000,1675
Honduras,2005,1593
Honduras,2010,1314
Honduras,2015,1325
Hungary,1990,2090
Hungary,1995,1779
Hungary,2000,1418
Hungary,2005,1199
Hungary,2010,1074
Hungary,2015,874
Iceland,1990,455
Iceland,1995,384
Iceland,2000,311
Iceland,2005,249
Iceland,2010,207
Iceland,2015,190
India,1990,4138
India,1995,3932
India,2000,3667
India,2005,3314
India,2010,3022
India,2015,2922
Indonesia,1990,1505
Indonesia,1995,1410
Indonesia,2000,1345
Indonesia,2005,1308
Indonesia,2010,1136
Indonesia,2015,1081
Iran,1990,2190
Iran,1995,1925
Iran,2000,1751
Iran,2005,1526
Iran,2010,1472
Iran,2015,1356
Iraq,1990,2820
Iraq,1995,2994
Iraq,2000,2975
Iraq,2005,2889
Iraq,2010,3120
Iraq,2015,2357
Ireland,1990,706
Ireland,1995,608
Ireland,2000,509
Ireland,2005,367
Ireland,2010,298
Ireland,2015,287
Israel,1990,792
Israel,1995,651
Israel,2000,495
Israel,2005,402
Israel,2010,331
Israel,2015,342
Italy,1990,626
Italy,1995,510
Italy,2000,421
Italy,2005,333
Italy,2010,291
Italy,2015,336
Jamaica,1990,806
Jamaica,1995,774
Jamaica,2000,715
Jamaica,2005,593
Jamaica,2010,502
Jamaica,2015,580
Japan,1990,421
Japan,1995,374
Japan,2000,325
Japan,2005,307
Japan,2010,265
Japan,2015,262
Jordan,1990,1609
Jordan,1995,1451
Jordan,2000,1301
Jordan,2005,1110
Jordan,2010,868
Jordan,2015,839
Kazakhstan,1990,1950
Kazakhstan,1995,2240
Kazakhstan,2000,2113
Kazakhstan,2005,1977
Kazakhstan,2010,1607
Kazakhstan,2015,1519
Kenya,1990,1157
Kenya,1995,1146
Kenya,2000,1040
Kenya,2005,900
Kenya,2010,854
Kenya,2015,847
Kiribati,1990,477
Kiribati,1995,484
Kiribati,2000,497
Kiribati,2005,422
Kiribati,2010,181
Kiribati,2015,182
Kuwait,1990,1235
Kuwait,1995,1506
Kuwait,2000,1294
Kuwait,2005,1335
Kuwait,2010,1422
Kuwait,2015,1013
Kyrgyzstan,1990,2327
Kyrgyzstan,1995,2315
Kyrgyzstan,2000,2117
Kyrgyzstan,2005,2012
Kyrgyzstan,2010,1826
Kyrgyzstan,2015,1645
Laos,1990,4257
Laos,1995,3989
Laos,2000,3607
Laos,2005,3199
Laos,2010,2504
Laos,2015,2227
Latvia,1990,1960
Latvia,1995,2147
Latvia,2000,1426
Latvia,2005,1319
Latvia,2010,1029
Latvia,2015,950
Lebanon,1990,1653
Lebanon,1995,1270
Lebanon,2000,990
Lebanon,2005,860
Lebanon,2010,852
Lebanon,2015,827
Lesotho,1990,1994
Lesotho,1995,1961
Lesotho,2000,2223
Lesotho,2005,2865
Lesotho,2010,2558
Lesotho,2015,2637
Liberia,1990,1335
Liberia,1995,1173
Liberia,2000,1018
Liberia,2005,843
Liberia,2010,833
Liberia,2015,618
Libya,1990,1599
Libya,1995,1414
Libya,2000,1384
Libya,2005,1334
Libya,2010,1365
Libya,2015,1536
Lithuania,1990,1727
Lithuania,1995,1731
Lithuania,2000,1197
Lithuania,2005,1184
Lithuania,2010,1014
Lithuania,2015,899
Luxembourg,1990,880
Luxembourg,1995,693
Luxembourg,2000,559
Luxembourg,2005,449
Luxembourg,2010,361
Luxembourg,2015,320
Macedonia,1990,2006
Macedonia,1995,1912
Macedonia,2000,1671
Macedonia,2005,1402
Macedonia,2010,1311
Macedonia,2015,1202
Madagascar,1990,2254
Madagascar,1995,2203
Madagascar,2000,2043
Madagascar,2005,1812
Madagascar,2010,1687
Madagascar,2015,1752
Malawi,1990,2307
Malawi,1995,2320
Malawi,2000,2440
Malawi,2005,1967
Malawi,2010,1585
Malawi,2015,1402
Malaysia,1990,1278
Malaysia,1995,1242
Malaysia,2000,1165
Malaysia,2005,1214
Malaysia,2010,1037
Malaysia,2015,971
Maldives,1990,1825
Maldives,1995,1470
Maldives,2000,1111
Maldives,2005,837
Maldives,2010,648
Maldives,2015,643
Mali,1990,3086
Mali,1995,2903
Mali,2000,2567
Mali,2005,2039
Mali,2010,2015
Mali,2015,1699
Malta,1990,714
Malta,1995,576
Malta,2000,515
Malta,2005,378
Malta,2010,383
Malta,2015,362
Marshall Islands,1990,1432
Marshall Islands,1995,1376
Marshall Islands,2000,1415
Marshall Islands,2005,1380
Marshall Islands,2010,1253
Marshall Islands,2015,1156
Mauritania,1990,3502
Mauritania,1995,3329
Mauritania,2000,2991
Mauritania,2005,2230
Mauritania,2010,2064
Mauritania,2015,2026
Mauritius,1990,1805
Mauritius,1995,1701
Mauritius,2000,1507
Mauritius,2005,1161
Mauritius,2010,763
Mauritius,2015,710
Mexico,1990,917
Mexico,1995,861
Mexico,2000,770
Mexico,2005,682
Mexico,2010,577
Mexico,2015,560
Moldova,1990,2351
Moldova,1995,2586
Moldova,2000,1934
Moldova,2005,1656
Moldova,2010,1570
Moldova,2015,1159
Mongolia,1990,2605
Mongolia,1995,2550
Mongolia,2000,2723
Mongolia,2005,2436
Mongolia,2010,2172
Mongolia,2015,2016
Montenegro,1990,1224
Montenegro,1995,1257
Montenegro,2000,1253
Montenegro,2005,1048
Montenegro,2010,978
Montenegro,2015,962
Morocco,1990,1292
Morocco,1995,1142
Morocco,2000,982
Morocco,2005,885
Morocco,2010,793
Morocco,2015,808
Mozambique,1990,1857
Mozambique,1995,1735
Mozambique,2000,1684
Mozambique,2005,1491
Mozambique,2010,1358
Mozambique,2015,1286
Myanmar,1990,3854
Myanmar,1995,3583
Myanmar,2000,3271
Myanmar,2005,2914
Myanmar,2010,2354
Myanmar,2015,2179
Namibia,1990,2144
Namibia,1995,2132
Namibia,2000,2642
Namibia,2005,2173
Namibia,2010,1461
Namibia,2015,1242
Nepal,1990,4282
Nepal,1995,3732
Nepal,2000,3129
Nepal,2005,2842
Nepal,2010,2600
Nepal,2015,2506
Netherlands,1990,782
Netherlands,1995,693
Netherlands,2000,610
Netherlands,2005,476
Netherlands,2010,396
Netherlands,2015,362
New Zealand,1990,406
New Zealand,1995,334
New Zealand,2000,268
New Zealand,2005,209
New Zealand,2010,142
New Zealand,2015,136
Nicaragua,1990,995
Nicaragua,1995,899
Nicaragua,2000,817
Nicaragua,2005,766
Nicaragua,2010,605
Nicaragua,2015,615
Niger,1990,6695
Niger,1995,6080
Niger,2000,5182
Niger,2005,4195
Niger,2010,3567
Niger,2015,2799
Nigeria,1990,4105
Nigeria,1995,3748
Nigeria,2000,3397
Nigeria,2005,2645
Nigeria,2010,2064
Nigeria,2015,1581
North Korea,1990,2047
North Korea,1995,1972
North Korea,2000,2017
North Korea,2005,1902
North Korea,2010,1751
North Korea,2015,1713
Norway,1990,605
Norway,1995,495
Norway,2000,405
Norway,2005,295
Norway,2010,258
Norway,2015,232
Oman,1990,1734
Oman,1995,1505
Oman,2000,1375
Oman,2005,1237
Oman,2010,1231
Oman,2015,1087
Pakistan,1990,3557
Pakistan,1995,3794
Pakistan,2000,3818
Pakistan,2005,3524
Pakistan,2010,3288
Pakistan,2015,3114
Palestine,1990,1364
Palestine,1995,1203
Palestine,2000,1076
Palestine,2005,1078
Palestine,2010,1181
Palestine,2015,1220
Panama,1990,685
Panama,1995,612
Panama,2000,532
Panama,2005,461
Panama,2010,366
Panama,2015,402
Papua New Guinea,1990,3019
Papua New Guinea,1995,2839
Papua New Guinea,2000,2802
Papua New Guinea,2005,2503
Papua New Guinea,2010,2055
Papua New Guinea,2015,2156
Paraguay,1990,1057
Paraguay,1995,1066
Paraguay,2000,961
Paraguay,2005,928
Paraguay,2010,797
Paraguay,2015,703
Peru,1990,1803
Peru,1995,1538
Peru,2000,1162
Peru,2005,1038
Peru,2010,741
Peru,2015,649
Philippines,1990,2027
Philippines,1995,1836
Philippines,2000,1816
Philippines,2005,1980
Philippines,2010,1718
Philippines,2015,1640
Poland,1990,2195
Poland,1995,1740
Poland,2000,1292
Poland,2005,1073
Poland,2010,978
Poland,2015,797
Portugal,1990,606
Portugal,1995,526
Portugal,2000,459
Portugal,2005,373
Portugal,2010,287
Portugal,2015,262
Qatar,1990,1645
Qatar,1995,1739
Qatar,2000,1650
Qatar,2005,1351
Qatar,2010,972
Qatar,2015,874
Romania,1990,2290
Romania,1995,2087
Romania,2000,1685
Romania,2005,1319
Romania,2010,1228
Romania,2015,1040
Russia,1990,1724
Russia,1995,2107
Russia,2000,1953
Russia,2005,1919
Russia,2010,1510
Russia,2015,1255
Rwanda,1990,4333
Rwanda,1995,5868
Rwanda,2000,4319
Rwanda,2005,2484
Rwanda,2010,1923
Rwanda,2015,2012
Saint Lucia,1990,1096
Saint Lucia,1995,987
Saint Lucia,2000,853
Saint Lucia,2005,722
Saint Lucia,2010,553
Saint Lucia,2015,549
Saint Vincent and the Grenadines,1990,1084
Saint Vincent and the Grenadines,1995,1084
Saint Vincent and the Grenadines,2000,1018
Saint Vincent and the Grenadines,2005,875
Saint Vincent and the Grenadines,2010,754
Saint Vincent and the Grenadines,2015,753
Samoa,1990,321
Samoa,1995,299
Samoa,2000,281
Samoa,2005,253
Samoa,2010,105
Samoa,2015,145
Sao Tome and Principe,1990,1640
Sao Tome and Principe,1995,1611
Sao Tome and Principe,2000,1612
Sao Tome and Principe,2005,1537
Sao Tome and Principe,2010,1264
Sao Tome and Principe,2015,1222
Saudi Arabia,1990,1565
Saudi Arabia,1995,1457
Saudi Arabia,2000,1369
Saudi Arabia,2005,1269
Saudi Arabia,2010,1276
Saudi Arabia,2015,1152
Senegal,1990,2487
Senegal,1995,2396
Senegal,2000,2322
Senegal,2005,1819
Senegal,2010,1813
Senegal,2015,1883
Serbia,1990,1405
Serbia,1995,1421
Serbia,2000,1387
Serbia,2005,1136
Serbia,2010,1008
Serbia,2015,888
Seychelles,1990,1478
Seychelles,1995,1358
Seychelles,2000,1179
Seychelles,2005,1066
Seychelles,2010,825
Seychelles,2015,685
Sierra Leone,1990,2840
Sierra Leone,1995,2616
Sierra Leone,2000,2598
Sierra Leone,2005,2323
Sierra Leone,2010,2322
Sierra Leone,2015,1764
Singapore,1990,1136
Singapore,1995,974
Singapore,2000,780
Singapore,2005,765
Singapore,2010,532
Singapore,2015,485
Slovakia,1990,2127
Slovakia,1995,1622
Slovakia,2000,1348
Slovakia,2005,1140
Slovakia,2010,961
Slovakia,2015,768
Slovenia,1990,1000
Slovenia,1995,834
Slovenia,2000,664
Slovenia,2005,529
Slovenia,2010,405
Slovenia,2015,397
Solomon Islands,1990,1264
Solomon Islands,1995,1191
Solomon Islands,2000,1156
Solomon Islands,2005,1333
Solomon Islands,2010,883
Solomon Islands,2015,942
Somalia,1990,2961
Somalia,1995,2846
Somalia,2000,2757
Somalia,2005,2232
Somalia,2010,2288
Somalia,2015,2107
South Africa,1990,2354
South Africa,1995,2171
South Africa,2000,2529
South Africa,2005,2245
South Africa,2010,1630
South Africa,2015,1512
South Korea,1990,1256
South Korea,1995,905
South Korea,2000,697
South Korea,2005,529
South Korea,2010,422
South Korea,2015,423
South Sudan,1990,3532
South Sudan,1995,3185
South Sudan,2000,2757
South Sudan,2005,2283
South Sudan,2010,2364
South Sudan,2015,2320
Spain,1990,470
Spain,1995,410
Spain,2000,362
Spain,2005,307
Spain,2010,241
Spain,2015,214
Sri Lanka,1990,1311
Sri Lanka,1995,1133
Sri Lanka,2000,1161
Sri Lanka,2005,1124
Sri Lanka,2010,909
Sri Lanka,2015,794
Sudan,1990,4206
Sudan,1995,3922
Sudan,2000,3404
Sudan,2005,3067
Sudan,2010,2844
Sudan,2015,2510
Suriname,1990,1432
Suriname,1995,1360
Suriname,2000,1326
Suriname,2005,987
Suriname,2010,806
Suriname,2015,824
Swaziland,1990,2257
Swaziland,1995,1912
Swaziland,2000,2512
Swaziland,2005,3152
Swaziland,2010,2583
Swaziland,2015,2194
Sweden,1990,348
Sweden,1995,271
Sweden,2000,219
Sweden,2005,156
Sweden,2010,134
Sweden,2015,158
Switzerland,1990,498
Switzerland,1995,422
Switzerland,2000,342
Switzerland,2005,272
Switzerland,2010,230
Switzerland,2015,230
Syria,1990,2348
Syria,1995,1953
Syria,2000,1720
Syria,2005,1515
Syria,2010,1523
Syria,2015,1524
Taiwan,1990,941
Taiwan,1995,830
Taiwan,2000,729
Taiwan,2005,684
Taiwan,2010,609
Taiwan,2015,565
Tajikistan,1990,4895
Tajikistan,1995,4734
Tajikistan,2000,4196
Tajikistan,2005,3052
Tajikistan,2010,2639
Tajikistan,2015,2235
Tanzania,1990,2100
Tanzania,1995,2022
Tanzania,2000,1781
Tanzania,2005,1465
Tanzania,2010,1320
Tanzania,2015,1351
Thailand,1990,1264
Thailand,1995,1286
Thailand,2000,1191
Thailand,2005,992
Thailand,2010,857
Thailand,2015,920
Timor-Leste,1990,2297
Timor-Leste,1995,1940
Timor-Leste,2000,1729
Timor-Leste,2005,1471
Timor-Leste,2010,1137
Timor-Leste,2015,1004
Togo,1990,3119
Togo,1995,3107
Togo,2000,3108
Togo,2005,2536
Togo,2010,2310
Togo,2015,2005
Tonga,1990,355
Tonga,1995,333
Tonga,2000,341
Tonga,2005,335
Tonga,2010,161
Tonga,2015,176
Trinidad and Tobago,1990,1370
Trinidad and Tobago,1995,1307
Trinidad and Tobago,2000,1173
Trinidad and Tobago,2005,842
Trinidad and Tobago,2010,694
Trinidad and Tobago,2015,730
Tunisia,1990,1321
Tunisia,1995,1220
Tunisia,2000,1025
Tunisia,2005,829
Tunisia,2010,842
Tunisia,2015,901
Turkey,1990,2282
Turkey,1995,1885
Turkey,2000,1419
Turkey,2005,1045
Turkey,2010,814
Turkey,2015,805
Turkmenistan,1990,4488
Turkmenistan,1995,4503
Turkmenistan,2000,4365
Turkmenistan,2005,2883
Turkmenistan,2010,2779
Turkmenistan,2015,2355
Uganda,1990,3284
Uganda,1995,3284
Uganda,2000,3159
Uganda,2005,2761
Uganda,2010,2361
Uganda,2015,2375
Ukraine,1990,2029
Ukraine,1995,2350
Ukraine,2000,2066
Ukraine,2005,2001
Ukraine,2010,1582
Ukraine,2015,1420
United Arab Emirates,1990,2353
United Arab Emirates,1995,2212
United Arab Emirates,2000,1971
United Arab Emirates,2005,1572
United Arab Emirates,2010,1645
United Arab Emirates,2015,1657
United Kingdom,1990,901
United Kingdom,1995,755
United Kingdom,2000,610
United Kingdom,2005,473
United Kingdom,2010,385
United Kingdom,2015,359
United States,1990,687
United States,1995,616
United States,2000,549
United States,2005,476
United States,2010,356
United States,2015,337
Uruguay,1990,831
Uruguay,1995,783
Uruguay,2000,677
Uruguay,2005,562
Uruguay,2010,501
Uruguay,2015,459
Uzbekistan,1990,3360
Uzbekistan,1995,3514
Uzbekistan,2000,3153
Uzbekistan,2005,2667
Uzbekistan,2010,2388
Uzbekistan,2015,2118
Vanuatu,1990,1705
Vanuatu,1995,1677
Vanuatu,2000,1603
Vanuatu,2005,1608
Vanuatu,2010,1131
Vanuatu,2015,1158
Venezuela,1990,1322
Venezuela,1995,1197
Venezuela,2000,1090
Venezuela,2005,931
Venezuela,2010,804
Venezuela,2015,832
Vietnam,1990,1413
Vietnam,1995,1327
Vietnam,2000,1243
Vietnam,2005,1194
Vietnam,2010,1039
Vietnam,2015,1005
Yemen,1990,4602
Yemen,1995,4164
Yemen,2000,3732
Yemen,2005,3035
Yemen,2010,2931
Yemen,2015,2868
Zambia,1990,2710
Zambia,1995,2884
Zambia,2000,2931
Zambia,2005,2712
Zambia,2010,2388
Zambia,2015,2101
Zimbabwe,1990,1365
Zimbabwe,1995,1278
Zimbabwe,2000,1638
Zimbabwe,2005,2008
Zimbabwe,2010,1839
Zimbabwe,2015,1408
