Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares)
Azerbaijan,2012,1084.604941,,1085
Azerbaijan,2013,903.3685956,,903
Bahamas,2005,278.1095508,127.9521834,150
Bahamas,2006,239.1132832,156.6321131,82
Bahamas,2007,292.7605068,171.9691001,121
Bahamas,2008,315.08397,232.1875395,83
Bahamas,2009,364.79111,241.610954,123
Bahamas,2010,386.6616302,256.9080961,130
Bahamas,2011,346.7147761,213.2199272,133
Bahamas,2012,361.7778645,171.3601588,190
Bahamas,2013,214.6315657,66.61940888,148
Bahrain,2005,537.0820933,,537
Bahrain,2006,484.153574,,484
Bahrain,2007,487.6440798,,488
Bahrain,2008,408.0077854,,408
Bahrain,2009,490.9259859,,491
Bahrain,2010,1559.550516,,1560
Bahrain,2011,889.3200763,,889
Bahrain,2012,970.2994831,,970
Bahrain,2013,755.1940543,,755
Bangladesh,2005,11037.60896,3686.628075,7351
Bangladesh,2006,18932.28512,3367.745351,15565
Bangladesh,2007,24630.96885,3087.685561,21543
Bangladesh,2008,14633.91413,3109.578371,11524
Bangladesh,2009,20867.29654,2716.689085,18151
Bangladesh,2010,19405.32359,2879.030751,16526
Bangladesh,2011,22419.1274,3133.090235,19286
Bangladesh,2012,20712.87082,3712.519702,17000
Bangladesh,2013,19798.04801,4543.694479,15254
Barbados,2005,157.221647,2.352,155
Barbados,2006,121.2488441,2.744120251,119
Barbados,2007,161.3411632,3.136,158
Barbados,2008,123.7960241,3.528,120
Barbados,2009,158.0881977,3.245333334,155
Barbados,2010,143.7268256,2.592,141
Barbados,2011,199.4485896,1.808,198
Barbados,2012,113.1848908,1.024,112
Barbados,2013,155.5401399,0.24,155
Belarus,2005,897.0999102,,897
Belarus,2006,1041.260444,,1041
Belarus,2007,812.61712,,813
Belarus,2008,1015.125107,,1015
Belarus,2009,1078.259224,,1078
Belarus,2010,965.3895529,,965
Belarus,2011,1293.240317,,1293
Belarus,2012,1719.344145,,1719
Belarus,2013,1062.036104,,1062
Belgium,2005,12588.61669,,12589
Belgium,2006,15538.82525,,15539
Belgium,2007,13476.15468,,13476
Belgium,2008,13660.34342,,13660
Belgium,2009,14655.20479,,14655
Belgium,2010,11481.46726,,11481
Belgium,2011,11437.45749,,11437
Belgium,2012,10251.30542,,10251
Belgium,2013,8520.406,,8520
Belize,2005,495.9043059,597.0893161,-101
Belize,2006,358.2988115,355.9385968,2
Belize,2007,407.7509029,371.1694274,37
Belize,2008,643.1076375,735.5082047,-92
Belize,2009,992.2597908,1076.935922,-85
Belize,2010,1172.905139,1414.524733,-242
Belize,2011,1241.294804,1588.977108,-348
Belize,2012,1161.854003,1579.72448,-418
Belize,2013,880.7583192,1215.689533,-335
Benin,2005,4148.279603,4003.222125,145
Benin,2006,4681.060418,3547.791839,1133
Benin,2007,5299.075476,4111.003224,1188
Benin,2008,4810.845173,3129.919096,1681
Benin,2009,6138.947702,4850.650677,1288
Benin,2010,5318.065678,4384.526431,934
Benin,2011,6575.030415,4043.061086,2532
Benin,2012,3996.598756,3442.446892,554
Benin,2013,4512.5433,4040.57052,472
Bermuda,2005,48.13399358,,48
Bermuda,2006,42.08651839,,42
Bermuda,2007,30.41098986,,30
Bermuda,2008,24.45813028,,24
Bermuda,2009,20.23466961,,20
Bermuda,2010,19.97422417,,20
Bermuda,2011,14.73055202,,15
Bermuda,2012,14.33430599,,14
Bermuda,2013,16.24805143,,16
Bhutan,2005,576.6078862,575.7966545,1
Bhutan,2006,641.7995269,641.4448555,0
Bhutan,2007,701.9054054,699.184834,3
Bhutan,2008,676.4082887,669.0421229,7
Bhutan,2009,546.8253205,538.8215803,8
Bhutan,2010,476.80226,454.1460909,23
Bhutan,2011,393.2471192,381.4572446,12
Bhutan,2012,457.1625615,433.9601658,23
Bhutan,2013,459.5219266,455.6798258,4
Bolivia (Plurinational State of),2005,62482.43914,82688.57951,-20206
Bolivia (Plurinational State of),2006,89966.37178,114225.4474,-24259
Bolivia (Plurinational State of),2007,117504.376,151816.1486,-34312
Bolivia (Plurinational State of),2008,123227.0405,162868.3881,-39641
Bolivia (Plurinational State of),2009,108796.8403,131728.5402,-22932
Bolivia (Plurinational State of),2010,77727.57601,90590.26566,-12863
Bolivia (Plurinational State of),2011,59565.26277,67301.36195,-7736
Bolivia (Plurinational State of),2012,38094.14957,40748.49426,-2654
Bolivia (Plurinational State of),2013,38774.17933,41947.0496,-3173
Bosnia and Herzegovina,2005,835.4043657,,835
Bosnia and Herzegovina,2006,1034.281458,,1034
Bosnia and Herzegovina,2007,927.4697521,,927
Bosnia and Herzegovina,2008,888.096631,,888
Bosnia and Herzegovina,2009,706.1314863,,706
Bosnia and Herzegovina,2010,561.1491183,,561
Bosnia and Herzegovina,2011,481.3237412,,481
Bosnia and Herzegovina,2012,551.6481902,,552
Bosnia and Herzegovina,2013,533.194144,,533
Botswana,2005,109.8910654,107.4565207,2
Botswana,2006,101.9627777,75.14532245,27
Botswana,2007,434.4861917,78.99625223,355
Botswana,2008,400.3046768,82.95085132,317
Botswana,2009,596.3441149,78.23278814,518
Botswana,2010,795.966582,66.42744322,730
Botswana,2011,484.5269872,61.40106204,423
Botswana,2012,1278.88066,53.57730763,1225
Botswana,2013,1005.135636,50.91712061,954
Brazil,2005,1581221.647,2071324.332,-490103
Brazil,2006,1452819.845,1900375.719,-447556
Brazil,2007,1279345.832,1646574.446,-367229
Brazil,2008,1237038.35,1486196.412,-249158
Brazil,2009,1232099.51,1425671.51,-193572
Brazil,2010,1430995.331,1647441.857,-216447
Brazil,2011,1481749.926,1702931.969,-221182
Brazil,2012,1494437.494,1795049.488,-300612
Brazil,2013,1378584.163,1707697.162,-329113
Brunei,2005,653.6113864,731.5524328,-78
Brunei,2006,690.8138642,591.5708629,99
Brunei,2007,663.4574284,1024.001764,-361
Brunei,2008,672.4222155,592.3600491,80
Brunei,2009,743.9420289,639.1776026,105
Brunei,2010,769.590673,635.1389326,134
Brunei,2011,797.0593893,632.0813951,165
Brunei,2012,793.5588648,579.3006169,214
Brunei,2013,715.2171025,474.9075748,240
Bulgaria,2005,9578.184353,,9578
Bulgaria,2006,10710.99779,,10711
Bulgaria,2007,1363.942816,,1364
Bulgaria,2008,1401.065674,,1401
Bulgaria,2009,1651.106295,,1651
Bulgaria,2010,1455.368404,,1455
Bulgaria,2011,1476.383006,,1476
Bulgaria,2012,1481.137727,,1481
Bulgaria,2013,1423.75215,,1424
Burkina Faso,2005,209.839513,62.38363937,147
Burkina Faso,2006,215.9959364,27.86749607,188
Burkina Faso,2007,197.9849528,26.97703643,171
Burkina Faso,2008,162.4234816,31.95063138,130
Burkina Faso,2009,641.2042089,31.90201707,609
Burkina Faso,2010,554.7468363,33.67346955,521
Burkina Faso,2011,624.878138,43.73456237,581
Burkina Faso,2012,501.6020458,40.80942394,461
Burkina Faso,2013,647.1375344,37.80593368,609
Burundi,2005,730.0672469,684.9476559,45
Burundi,2006,905.0321202,767.3563197,138
Burundi,2007,1319.044937,1156.852376,162
Burundi,2008,1477.21358,1381.252668,96
Burundi,2009,1506.900225,1453.371839,54
Burundi,2010,1766.539181,1644.959636,122
Burundi,2011,1879.192667,1776.009685,103
Burundi,2012,2051.440619,1541.113601,510
Burundi,2013,1646.400948,1432.246582,214
Cambodia,2005,54041.70294,53749.62843,292
Cambodia,2006,49605.74694,49148.66631,457
Cambodia,2007,39383.07202,38913.20749,470
Cambodia,2008,34110.07178,34334.06787,-224
Cambodia,2009,24783.59708,25337.25365,-554
Cambodia,2010,22181.70223,22902.77606,-721
Cambodia,2011,21859.44245,22568.6445,-709
Cambodia,2012,20814.99823,22766.59991,-1952
Cambodia,2013,16534.497,17267.4808,-733
Cameroon,2005,15451.82857,16362.30156,-910
Cameroon,2006,17996.04784,19461.63338,-1466
Cameroon,2007,21296.54109,22972.03751,-1675
Cameroon,2008,24564.45138,26101.49306,-1537
Cameroon,2009,27547.054,29008.43423,-1461
Cameroon,2010,37676.86075,39777.88741,-2101
Cameroon,2011,37641.01826,39388.17815,-1747
Cameroon,2012,32258.23475,33310.10691,-1052
Cameroon,2013,27410.03139,27745.66683,-336
Canada,2005,5387.216305,,5387
Canada,2006,5533.022949,,5533
Canada,2007,6331.469014,,6331
Canada,2008,5030.494172,,5030
Canada,2009,5503.007117,,5503
Canada,2010,6050.570249,,6051
Canada,2011,5542.4585,,5542
Canada,2012,5744.721993,,5745
Canada,2013,5401.245028,,5401
Cape Verde,2005,175.4269435,6.20600939,169
Cape Verde,2006,230.5822229,6.023427286,225
Cape Verde,2007,237.6921819,2.811610675,235
Cape Verde,2008,232.7200449,1.866127156,231
Cape Verde,2009,193.9355137,1.783939791,192
Cape Verde,2010,202.5827997,1.449575337,201
Cape Verde,2011,210.1074003,3.790744865,206
Cape Verde,2012,230.9522917,5.656446575,225
Cape Verde,2013,284.7718375,5.615507185,279
Cayman Islands,2005,5123.366656,,5123
Cayman Islands,2006,6627.4292,,6627
Cayman Islands,2007,4493.962865,,4494
Cayman Islands,2008,743.6368782,,744
Cayman Islands,2009,1747.079022,,1747
Cayman Islands,2010,25.41865992,,25
Cayman Islands,2011,45.87063517,,46
Cayman Islands,2012,217.7816013,,218
Cayman Islands,2013,35.20645052,,35
Central African Republic,2005,17668.9671,17647.66668,21
Central African Republic,2006,12424.3248,12427.73061,-3
Central African Republic,2007,7826.517657,8052.13211,-226
Central African Republic,2008,5795.560396,5973.092678,-178
Central African Republic,2009,4904.144713,4873.005484,31
Central African Republic,2010,4284.33378,4283.535706,1
Central African Republic,2011,4084.212061,4234.753252,-151
Central African Republic,2012,2975.637975,3072.394483,-97
Central African Republic,2013,2946.060274,3034.520783,-88
Chad,2005,2140.595196,2117.319806,23
Chad,2006,3308.047549,3302.451757,6
Chad,2007,2831.42838,2817.07565,14
Chad,2008,4411.620142,4396.716311,15
Chad,2009,4789.906451,4716.363435,74
Chad,2010,4743.352475,4584.118118,159
Chad,2011,3468.372189,3474.511911,-6
Chad,2012,4287.317979,4299.629762,-12
Chad,2013,4343.69341,4350.375759,-7
Chile,2005,24507.61878,,24508
Chile,2006,19376.4435,,19376
Chile,2007,36449.63698,,36450
Chile,2008,33276.22368,,33276
Chile,2009,37190.15252,,37190
Chile,2010,31897.14872,,31897
Chile,2011,27696.42334,,27696
Chile,2012,25361.67639,,25362
Chile,2013,26662.60278,,26663
China,2005,149357.9182,,149358
China,2006,171139.4637,,171139
China,2007,154436.9626,,154437
China,2008,150654.1016,,150654
China,2009,188946.8551,,188947
China,2010,215512.2609,,215512
China,2011,220344.3151,,220344
China,2012,276111.3234,,276111
China,2013,270174.0557,,270174
Colombia,2005,125627.2516,118028.7808,7598
Colombia,2006,139708.6411,135141.4874,4567
Colombia,2007,131896.5284,133243.4606,-1347
Colombia,2008,122973.5826,132437.7105,-9464
Colombia,2009,96421.47374,93948.61689,2473
Colombia,2010,98619.25578,87165.97462,11453
Colombia,2011,118784.1481,106166.768,12617
Colombia,2012,132261.8553,117248.49,15013
Colombia,2013,127445.1003,121367.4816,6078
Congo,2005,15202.67598,16139.13472,-936
Congo,2006,15841.65691,16639.87385,-798
Congo,2007,16833.89401,17579.69639,-746
Congo,2008,16650.06335,16711.53729,-61
Congo,2009,18109.93921,16229.64209,1880
Congo,2010,14742.47824,15495.72142,-753
Congo,2011,14194.07254,14748.29332,-554
Congo,2012,12401.53326,14216.97335,-1815
Congo,2013,12207.70989,14507.56392,-2300
Cook Islands,2005,1.200044017,,1
Cook Islands,2006,1.214857168,,1
Cook Islands,2007,3.267578165,,3
Cook Islands,2008,4.45409703,,4
Cook Islands,2009,3.946895821,,4
Cook Islands,2010,7.900368687,,8
Cook Islands,2011,4.010689537,,4
Cook Islands,2012,5.015614896,,5
Cook Islands,2013,4.781795491,,5
Costa Rica,2005,2906.284302,2311.873164,594
Costa Rica,2006,2958.211834,2763.355099,195
Costa Rica,2007,4192.689643,4083.074246,110
Costa Rica,2008,6574.627573,6917.696802,-343
Costa Rica,2009,8013.459564,9245.261068,-1232
Costa Rica,2010,7883.289536,9682.85683,-1800
Costa Rica,2011,7883.356197,9423.001385,-1540
Costa Rica,2012,7162.503941,8683.828003,-1521
Costa Rica,2013,6695.749421,7065.189028,-369
Cote d'Ivoire,2005,42949.88609,78545.87459,-35596
Cote d'Ivoire,2006,52162.17239,95632.9759,-43471
Cote d'Ivoire,2007,45211.05275,85167.44297,-39956
Cote d'Ivoire,2008,38516.77373,70713.56401,-32197
Cote d'Ivoire,2009,34891.25894,63308.70793,-28417
Cote d'Ivoire,2010,35215.73916,50786.94794,-15571
Cote d'Ivoire,2011,24547.68109,32018.29422,-7471
Cote d'Ivoire,2012,12590.13019,14942.5001,-2352
Cote d'Ivoire,2013,11606.3981,14852.99232,-3247
Croatia,2005,1631.40155,,1631
Croatia,2006,1706.705174,,1707
Croatia,2007,1588.384085,,1588
Croatia,2008,1120.23307,,1120
Croatia,2009,903.6928757,,904
Croatia,2010,818.6889585,,819
Croatia,2011,733.393789,,733
Croatia,2012,915.0281008,,915
Croatia,2013,741.4627994,,741
Cuba,2005,16125.89896,13986.23703,2140
Cuba,2006,15386.20687,12637.95618,2748
Cuba,2007,13649.44061,12380.27865,1269
Cuba,2008,16098.63653,14494.33924,1604
Cuba,2009,13973.63579,13335.43088,638
Cuba,2010,14219.09664,12486.52699,1733
Cuba,2011,15125.04315,13300.23643,1825
Cuba,2012,15914.37116,13798.62062,2116
Cuba,2013,13895.02589,11597.68614,2297
Cyprus,2005,650.5621331,62.1192257,588
Cyprus,2006,585.8649793,57.69914247,528
Cyprus,2007,796.3050721,210.703964,586
Cyprus,2008,906.7755239,229.0396201,678
Cyprus,2009,867.3940882,224.1657597,643
Cyprus,2010,687.7835621,231.6696406,456
Cyprus,2011,624.8099807,238.0097591,387
Cyprus,2012,543.4467274,90.71200414,453
Cyprus,2013,443.3323749,75.54118267,368
Czech Republic,2005,4511.256725,,4511
Czech Republic,2006,4031.162861,,4031
Czech Republic,2007,3212.644553,,3213
Czech Republic,2008,2394.048813,,2394
Czech Republic,2009,3116.577461,,3117
Czech Republic,2010,2707.757324,,2708
Czech Republic,2011,2507.902589,,2508
Czech Republic,2012,3216.582082,,3217
Czech Republic,2013,2456.330746,,2456
Democratic Republic of Congo,2005,65662.31577,64961.23823,701
Democratic Republic of Congo,2006,74481.41931,73821.31049,660
Democratic Republic of Congo,2007,77995.98546,76617.66,1378
Democratic Republic of Congo,2008,81243.71372,79806.01834,1438
Democratic Republic of Congo,2009,92586.16925,94308.23462,-1722
Democratic Republic of Congo,2010,112806.7906,112983.4587,-177
Democratic Republic of Congo,2011,114532.9542,113191.6847,1341
Democratic Republic of Congo,2012,105187.9828,103750.0949,1438
Democratic Republic of Congo,2013,98054.14082,96523.6438,1530
Denmark,2005,5967.090392,,5967
Denmark,2006,5191.716872,,5192
Denmark,2007,4730.603811,,4731
Denmark,2008,3985.13559,,3985
Denmark,2009,4432.203288,,4432
Denmark,2010,4020.957596,,4021
Denmark,2011,4341.193228,,4341
Denmark,2012,4052.355999,,4052
Denmark,2013,2959.179476,,2959
Djibouti,2005,397.7590565,,398
Djibouti,2006,1366.587474,,1367
Djibouti,2007,1456.158404,,1456
Djibouti,2008,1135.094449,,1135
Djibouti,2009,1464.756864,,1465
Djibouti,2010,1454.16492,,1454
Djibouti,2011,2598.799477,,2599
Djibouti,2012,4310.761492,,4311
Djibouti,2013,3679.354355,,3679
Dominica,2005,6.623912702,,7
Dominica,2006,5.14283913,,5
Dominica,2007,1.76360651,,2
Dominica,2008,2.194171691,,2
Dominica,2009,2.701826305,,3
Dominica,2010,1.778375535,,2
Dominica,2011,2.218835566,,2
Dominica,2012,0.677919241,,1
Dominica,2013,0.847311276,,1
Dominican Republic,2005,12297.48603,11065.9052,1232
Dominican Republic,2006,12777.88209,11925.18611,853
Dominican Republic,2007,13342.70627,12600.12721,743
Dominican Republic,2008,13662.27471,12968.25784,694
Dominican Republic,2009,13536.92778,13032.14061,505
Dominican Republic,2010,13602.69463,12259.13854,1344
Dominican Republic,2011,12544.95423,11265.80844,1279
Dominican Republic,2012,13437.79561,10180.94691,3257
Dominican Republic,2013,11552.04975,9578.922634,1973
Ecuador,2005,14787.86088,12543.81894,2244
Ecuador,2006,15318.47681,12543.81894,2775
Ecuador,2007,20769.18762,22119.7812,-1351
Ecuador,2008,24517.48962,28326.27669,-3809
Ecuador,2009,17919.43564,20808.13057,-2889
Ecuador,2010,19432.6601,21490.23706,-2058
Ecuador,2011,21358.58518,25194.60813,-3836
Ecuador,2012,12531.59491,13779.43429,-1248
Ecuador,2013,6124.876522,4732.819444,1392
Egypt,2005,33437.61568,102.529493,33335
Egypt,2006,43098.71229,79.22635128,43019
Egypt,2007,33077.42099,86.65598884,32991
Egypt,2008,24503.17948,91.04797198,24412
Egypt,2009,12183.7403,78.37014634,12105
Egypt,2010,37509.34971,89.47114795,37420
Egypt,2011,29004.38462,104.1773306,28900
Egypt,2012,42300.66795,191.1597264,42110
Egypt,2013,41220.55568,201.6812536,41019
El Salvador,2005,8430.245493,4296.105585,4134
El Salvador,2006,7354.025166,3182.810035,4171
El Salvador,2007,7590.44903,2939.365128,4651
El Salvador,2008,7635.6993,2404.985338,5231
El Salvador,2009,7348.492487,1672.737978,5676
El Salvador,2010,6988.072393,2105.451063,4883
El Salvador,2011,6830.633694,2607.136179,4223
El Salvador,2012,5952.721754,2516.295984,3436
El Salvador,2013,5025.714816,2468.149626,2558
Equatorial Guinea,2005,583.6240199,301.3961108,282
Equatorial Guinea,2006,434.6940439,272.8856759,162
Equatorial Guinea,2007,542.5445466,257.882173,285
Equatorial Guinea,2008,547.6852488,265.2200915,282
Equatorial Guinea,2009,467.5777775,273.0989858,194
Equatorial Guinea,2010,379.0363145,250.8194692,128
Equatorial Guinea,2011,411.6272804,217.4169271,194
Equatorial Guinea,2012,449.630519,260.862916,189
Equatorial Guinea,2013,489.123356,289.0907215,200
Eritrea,2005,82.31880328,0.505906423,82
Eritrea,2006,36.22651735,,36
Eritrea,2007,33.77784388,17740.06776,-17706
Eritrea,2008,27.22043494,20293.50255,-20266
Eritrea,2009,66.7223521,,67
Eritrea,2010,37.95939289,,38
Eritrea,2011,111.7970468,,112
Eritrea,2012,79.72067726,,80
Eritrea,2013,90.43391448,,90
Estonia,2005,236.645458,,237
Estonia,2006,267.0056286,,267
Estonia,2007,352.1651295,,352
Estonia,2008,214.2830201,,214
Estonia,2009,212.2928423,,212
Estonia,2010,186.8700633,,187
Estonia,2011,233.6589024,,234
Estonia,2012,292.2318796,,292
Estonia,2013,356.7086262,,357
Ethiopia,2005,12178.58483,15578.99998,-3400
Ethiopia,2006,11724.2354,15332.78303,-3609
Ethiopia,2007,15156.70138,1116.575845,14040
Ethiopia,2008,18328.73466,767.5947529,17561
Ethiopia,2009,21184.48036,23805.38137,-2621
Ethiopia,2010,23465.11217,24484.27689,-1019
Ethiopia,2011,25314.20608,25015.83663,298
Ethiopia,2012,30594.77343,28386.49488,2208
Ethiopia,2013,31657.15151,30045.12759,1612
Faroe Islands,2005,19.68612301,,20
Faroe Islands,2006,16.84221117,,17
Faroe Islands,2007,17.96052668,,18
Faroe Islands,2008,10.37371434,,10
Faroe Islands,2009,27.51825973,,28
Faroe Islands,2010,12.19727535,,12
Faroe Islands,2011,13.24548188,,13
Faroe Islands,2012,12.31660413,,12
Faroe Islands,2013,9.623270988,,10
Fiji,2005,719.9772494,1157.26932,-437
Fiji,2006,787.5679466,1129.077489,-342
Fiji,2007,933.2927588,467.1235977,466
Fiji,2008,752.9243914,471.4640214,281
Fiji,2009,447.5844701,426.4709746,21
Fiji,2010,570.7799032,573.7102362,-3
Fiji,2011,557.0034897,453.1407304,104
Fiji,2012,674.7954663,579.6039922,95
Fiji,2013,778.6855046,1102.697675,-324
Finland,2005,2329.350318,,2329
Finland,2006,1986.373705,,1986
Finland,2007,2639.791641,,2640
Finland,2008,2103.829377,,2104
Finland,2009,1864.770879,,1865
Finland,2010,2008.879396,,2009
Finland,2011,1706.745025,,1707
Finland,2012,2448.482458,,2448
Finland,2013,1388.855757,,1389
France,2005,39049.00127,,39049
France,2006,36215.11106,,36215
France,2007,32482.63939,,32483
France,2008,29031.76276,,29032
France,2009,26503.01263,,26503
France,2010,24171.71424,,24172
France,2011,23363.77182,,23364
France,2012,25091.08186,,25091
France,2013,21888.55941,,21889
French Guiana,2005,287.7873351,287.7873351,0
French Guiana,2006,395.9575907,395.9575907,0
French Guiana,2007,467.1235977,3948.205958,-3481
French Guiana,2008,471.4640214,4403.683299,-3932
French Guiana,2009,444.3893776,444.3893776,0
French Guiana,2010,504.9431374,504.9431374,0
French Guiana,2011,674.7562684,674.7562684,0
French Guiana,2012,925.564227,925.564227,0
French Guiana,2013,1146.612185,1146.612185,0
French Polynesia,2005,90.40063279,,90
French Polynesia,2006,169.5900288,,170
French Polynesia,2007,395.5386845,,396
French Polynesia,2008,228.6491393,,229
French Polynesia,2009,97.27309761,,97
French Polynesia,2010,104.2079375,,104
French Polynesia,2011,102.0831958,,102
French Polynesia,2012,93.49245206,,93
French Polynesia,2013,101.023336,,101
Gabon,2005,3461.894679,2907.509881,554
Gabon,2006,3826.217276,3337.239556,489
Gabon,2007,4424.137644,30.14703583,4394
Gabon,2008,4661.469385,142.1305818,4519
Gabon,2009,5019.475056,4581.909991,438
Gabon,2010,4650.767075,4499.853341,151
Gabon,2011,4340.976287,4113.924022,227
Gabon,2012,3869.530738,3524.901067,345
Gabon,2013,3526.172361,3163.984744,362
Gambia,2005,347.3990659,4.585862769,343
Gambia,2006,439.6356127,7.83773798,432
Gambia,2007,354.7860621,781.4432004,-427
Gambia,2008,380.2126578,871.6776906,-491
Gambia,2009,818.8541154,151.2145343,668
Gambia,2010,713.6443396,148.7184899,565
Gambia,2011,922.5742789,172.2341389,750
Gambia,2012,832.6331206,147.1268096,686
Gambia,2013,164.674865,36.14834738,129
Georgia,2005,1100.780838,774.3310982,326
Georgia,2006,1026.814852,692.6994723,334
Georgia,2007,1199.794407,29935.55296,-28736
Georgia,2008,1225.687524,34501.16268,-33275
Georgia,2009,945.4653416,598.0211524,347
Georgia,2010,1070.105623,650.9141777,419
Georgia,2011,1351.007394,711.5910211,639
Georgia,2012,1710.764103,607.8954893,1103
Georgia,2013,1359.731634,509.6686277,850
Germany,2005,46834.52914,,46835
Germany,2006,48728.38628,,48728
Germany,2007,51240.46002,,51240
Germany,2008,45485.67893,,45486
Germany,2009,48914.77767,,48915
Germany,2010,46622.59162,,46623
Germany,2011,42165.76321,,42166
Germany,2012,45163.42441,,45163
Germany,2013,36883.03954,,36883
Ghana,2005,28203.27165,40558.33609,-12355
Ghana,2006,21647.74232,37535.77586,-15888
Ghana,2007,22120.71316,1120.000273,21001
Ghana,2008,27132.49197,1160.000221,25972
Ghana,2009,33495.3071,38536.01123,-5041
Ghana,2010,33247.11148,35104.85842,-1858
Ghana,2011,33901.4546,39479.83285,-5578
Ghana,2012,28859.36334,34095.72003,-5236
Ghana,2013,25887.16289,33630.61627,-7743
Greece,2005,6773.063446,1040.000249,5733
Greece,2006,7378.602892,1080.000374,6299
Greece,2007,7574.620887,19.43974699,7555
Greece,2008,6492.573878,26.59909146,6466
Greece,2009,7761.160346,1106.666667,6654
Greece,2010,6103.226463,960.0003664,5143
Greece,2011,6438.644573,1951.650116,4487
Greece,2012,7572.121483,2021.865841,5550
Greece,2013,6552.410547,3111.260775,3441
Grenada,2005,81.38532221,,81
Grenada,2006,66.20026894,,66
Grenada,2007,54.52357754,,55
Grenada,2008,57.78738381,,58
Grenada,2009,64.03697791,45.27776741,19
Grenada,2010,55.9609186,45.51089495,10
Grenada,2011,70.28406398,45.3688351,25
Grenada,2012,35.99769402,42.36120178,-6
Grenada,2013,32.42041767,18.84870646,14
Guadeloupe,2005,45.06012422,45.06012422,0
Guadeloupe,2006,57.54339893,57.54339893,0
Guadeloupe,2007,89.33718304,89.33718304,0
