Entity,Year,welfare,mean,pop,d1avgincome,d2avgincome,d3avgincome,d4avgincome,d5avgincome,d6avgincome,d7avgincome,d8avgincome,d9avgincome,d10avgincome,q1avgincome,q2avgincome,q3avgincome,q4avgincome,q5avgincome,flag
Argentina (Urban),1997,i,544.81,31.74,58.83948,134.56807,191.77312,255.51589,323.61714,398.25611,505.58368,657.58567,941.97649,1980.92916,96.703775,223.644505,360.936625,581.584675,1461.452825,0
Argentina (Urban),1998,i,529.15002,32.169998,56.61905,123.8211,177.7944,234.41345,298.4406,373.5799,479.4099,632.8634,901.14245,2013.41575,90.220075,206.103925,336.01025,556.13665,1457.2791,0
Argentina (Urban),1999,i,504.48999,32.599998,53.98043,122.08658,174.55354,228.02948,292.09971,368.2777,463.12182,609.92841,863.18239,1869.13545,88.033505,201.29151,330.188705,536.525115,1366.15892,0
Argentina (Urban),2000,i,493.44,33.029999,46.8768,110.53056,160.368,213.65952,276.3264,353.79648,449.52384,602.49024,861.0528,1860.2688,78.70368,187.01376,315.06144,526.00704,1360.6608,0
Argentina (Urban),2001,i,454.26001,33.470001,29.5269,87.67218,137.18652,184.88382,243.0291,313.89366,408.834,547.83756,796.77204,1792.50996,58.59954,161.03517,278.46138,478.33578,1294.641,0
Argentina (Urban),2002,i,319.20999,33.91,27.77127,60.01148,92.5709,129.28005,170.13893,218.65885,277.39349,372.19886,551.27567,1293.11971,43.891375,110.925475,194.39889,324.796175,922.19769,0
Argentina (Urban),2003,i,438.70999,34.360001,44.30971,95.63878,140.82591,192.15498,248.30986,317.18733,412.82611,545.75524,763.79411,1626.29797,69.974245,166.490445,282.748595,479.290675,1195.04604,0
Argentina (Urban),2004,i,473.56,34.799999,54.4594,110.81304,162.90464,220.67896,286.97736,363.69408,457.45896,601.89476,832.04492,1644.67388,82.63622,191.7918,325.33572,529.67686,1238.3594,0
Argentina (Urban),2005,i,523.21997,35.240002,61.21674,129.23534,185.7431,251.1456,320.73386,405.4955,513.27882,658.21076,897.3223,1809.81798,95.22604,218.44435,363.11468,585.74479,1353.57014,0
Argentina (Urban),2006,i,585.20001,35.68,69.0536,149.8112,216.524,288.5036,368.676,464.0636,584.0296,742.6188,1002.4476,1966.272,109.4324,252.5138,416.3698,663.3242,1484.3598,0
Argentina (Urban),2007,i,601.47998,36.119999,75.78648,156.98628,221.94612,299.53704,384.34572,478.1766,601.48,762.67664,1023.71896,2010.74764,116.38638,260.74158,431.26116,682.07832,1517.2333,0
Argentina (Urban),2008,i,615.38,36.560001,79.9994,168.61412,243.0751,319.9976,406.1508,507.6885,628.30298,794.45558,1059.06898,1945.83156,124.30676,281.53635,456.91965,711.37928,1502.45027,0
Argentina (Urban),2009,i,640.42999,37,81.97504,177.39911,258.09329,340.06833,432.29025,537.32077,659.6429,828.07599,1097.69702,1991.09687,129.687075,299.08081,484.80551,743.859445,1544.396945,0
Argentina (Urban),2010,i,659.67999,37.450001,106.86816,199.22336,275.74624,353.58848,441.9856,548.85376,671.55424,835.81456,1118.1576,2045.66768,153.04576,314.66736,495.41968,753.6844,1581.91264,0
Argentina (Urban),2011,i,707.31,37.900002,120.2427,219.2661,301.31406,386.89857,478.84887,592.72578,723.57813,898.2837,1191.11004,2160.83205,169.7544,344.106315,535.787325,810.930915,1675.971045,0
Argentina (Urban),2012,i,704.10999,38.360001,121.10692,226.72342,307.69607,391.48516,484.42768,603.42227,738.61139,909.71012,1186.42535,2072.19573,173.91517,349.590615,543.924975,824.160755,1629.31054,0
Argentina (Urban),2013,i,705.85999,38.82,125.64308,228.69864,309.16668,393.86988,490.5727,604.92202,743.97644,914.79456,1177.37448,2068.87566,177.17086,351.51828,547.74736,829.3855,1623.12507,0
Argentina (Urban),2014,i,648.48999,39.279999,119.32216,210.75925,281.44466,352.13007,441.62169,543.43462,673.78111,841.74002,1105.02696,1915.63946,165.040705,316.787365,492.528155,757.760565,1510.33321,0
Argentina (Urban),2016,i,707.35999,40.18,128.73952,224.23312,299.92064,381.9744,475.34592,587.1088,713.01888,894.10304,1183.41328,2185.03504,176.48632,340.94752,531.22736,803.56096,1684.22416,0
Argentina (Urban),2017,i,727.65002,40.619999,136.7982,243.76275,323.0766,409.66695,507.17205,622.14075,758.2113,928.4814,1211.53725,2136.3804,190.280475,366.371775,564.6564,843.34635,1673.958825,0
Armenia,1996,I,162.44,3.1700001,37.3612,52.63056,68.06236,84.30636,102.17476,123.12952,149.28236,185.83136,249.83272,572.11368,44.99588,76.18436,112.65214,167.55686,410.9732,0
Armenia,1999,c,122.42,3.0899999,37.21568,55.33384,66.1068,75.77798,87.65272,101.24134,118.25772,141.76236,178.1211,362.73046,46.27476,70.94239,94.44703,130.01004,270.42578,0
Armenia,2001,c,116.32,3.05,37.10608,52.80928,63.85968,74.4448,85.14624,96.66192,110.73664,131.90688,172.26992,338.4912,44.95768,69.15224,90.90408,121.32176,255.38056,0
Armenia,2002,c,122.02,3.03,40.75468,57.47142,68.3312,78.45886,89.19662,101.03256,116.28506,137.76058,177.05102,353.858,49.11305,73.39503,95.11459,127.02282,265.45451,0
Armenia,2003,c,125.41,3.02,46.15088,62.45418,73.11403,82.89601,93.93209,105.97145,120.01737,140.71002,175.07236,353.6562,54.30253,78.00502,99.95177,130.363695,264.36428,0
Armenia,2004,c,155.48,3,47.88784,70.12148,82.87084,95.6202,109.14696,123.91756,143.819,170.09512,218.91584,492.71612,59.00466,89.24552,116.53226,156.95706,355.81598,0
Armenia,2005,c,171.32001,2.98,57.04956,80.86304,94.91128,107.58896,122.15116,138.7692,158.64232,187.76672,238.1348,527.32296,68.9563,101.25012,130.46018,173.20452,382.72888,0
Armenia,2006,c,165.37,2.96,61.68301,85.9924,101.53718,115.92437,131.46915,149.49448,169.50425,196.45956,237.14058,404.32965,73.837705,108.730775,140.481815,182.981905,320.735115,0
Armenia,2007,c,184.2,2.9300001,64.6542,90.258,108.4938,127.2822,144.7812,163.017,186.5946,220.119,274.2738,462.7104,77.4561,117.888,153.8991,203.3568,368.4921,0
Armenia,2008,c,188.27,2.9100001,72.48395,99.21829,114.46816,131.60073,149.67465,170.57262,195.98907,226.48881,276.00382,446.01163,85.85112,123.034445,160.123635,211.23894,361.007725,0
Armenia,2009,c,167.34,2.8900001,66.76866,90.02892,105.92622,119.98278,135.04338,152.44674,173.53158,201.47736,244.65108,383.54328,78.39879,112.9545,143.74506,187.50447,314.09718,0
Armenia,2010,c,170.84,2.8800001,66.45676,89.00764,103.69988,119.07548,135.13444,151.36424,171.52336,199.19944,245.1554,427.61252,77.7322,111.38768,143.24934,185.3614,336.38396,0
Armenia,2011,c,174.39999,2.8800001,66.7952,90.8624,107.0816,123.1264,139.3456,156.96,178.5856,208.7568,254.4496,418.0368,78.8288,115.104,148.1528,193.6712,336.2432,0
Armenia,2012,c,180.67,2.8800001,68.47393,93.9484,110.38937,127.73369,144.71667,163.50635,184.82541,213.00993,256.5514,443.36418,81.211165,119.06153,154.11151,198.91767,349.95779,0
Armenia,2013,c,187.46001,2.8900001,66.73576,94.85476,112.10108,129.3474,148.65578,168.52654,192.33396,223.63978,275.75366,462.83874,80.79526,120.72424,158.59116,207.98687,369.2962,0
Armenia,2014,c,192.27,2.9100001,67.67904,94.78911,112.47795,130.93587,151.12422,173.23527,195.92313,226.49406,275.13837,494.90298,81.234075,121.70691,162.179745,211.208595,385.020675,0
Armenia,2015,c,206.12,2.9200001,69.66856,99.76208,118.93124,139.95548,160.97972,183.85904,209.2118,239.92368,287.5374,550.95876,84.71532,129.44336,172.41938,224.56774,419.24808,0
Armenia,2016,c,216.99001,2.9200001,70.95573,99.59841,119.77848,143.2134,171.4221,198.54585,229.35843,266.02974,322.66413,548.55072,85.27707,131.49594,184.983975,247.694085,435.607425,0
Armenia,2017,c,211.11,2.9300001,73.8885,103.02168,121.81047,139.12149,157.48806,178.38795,202.87671,239.18763,296.18733,598.91907,88.45509,130.46598,167.938005,221.03217,447.5532,0
Australia,1981,i,1043.14,14.93,291.03606,510.09546,623.79772,721.85288,817.82176,945.08484,1110.9441,1326.87408,1653.3769,2430.5162,400.56576,672.8253,881.4533,1218.90909,2041.94655,0
Australia,1985,i,1077.87,15.76,293.18064,513.06612,632.70969,725.40651,828.88203,963.61578,1120.9848,1364.58342,1721.35839,2614.91262,403.12338,679.0581,896.248905,1242.78411,2168.135505,0
Australia,1989,i,1107.75,16.809999,292.446,512.88825,633.633,736.65375,847.42875,993.65175,1168.67625,1397.9805,1761.3225,2732.81925,402.667125,685.143375,920.54025,1283.328375,2247.070875,0
Australia,1995,i,1020.03,18.07,290.70855,481.45416,589.57734,683.4201,786.44313,912.92685,1064.91132,1272.99744,1608.58731,2509.2738,386.081355,636.49872,849.68499,1168.95438,2058.930555,0
Australia,2001,i,1175.2,19.41,323.18,545.2928,660.4624,766.2304,887.276,1045.928,1229.2592,1490.1536,1860.3416,2946.2264,434.2364,713.3464,966.602,1359.7064,2403.284,0
Australia,2003,i,1211.95,19.9,329.6504,563.55675,678.692,791.40335,921.082,1073.7877,1271.33555,1533.11675,1917.3049,3039.5706,446.603575,735.047675,997.43485,1402.22615,2478.43775,0
Australia,2004,i,1320.55,20.129999,396.165,620.6585,746.11075,864.96025,1003.618,1163.40455,1365.4487,1637.482,2053.45525,3354.197,508.41175,805.5355,1083.511275,1501.46535,2703.826125,0
Australia,2008,i,1667.8101,21.25,468.65461,737.17202,890.61054,1045.71687,1225.84035,1429.31317,1702.83401,2049.73849,2560.08835,4566.46378,602.913315,968.163705,1327.57676,1876.28625,3563.276065,0
Australia,2010,i,1661.8101,22.030001,458.65956,751.13812,910.67188,1053.58754,1231.40121,1447.43651,1713.32611,2067.29164,2592.4236,4392.16383,604.89884,982.12971,1339.41886,1890.308875,3492.293715,0
Australia,2014,i,1765.88,23.5,425.57708,776.9872,971.234,1149.58788,1312.04884,1522.18856,1787.07056,2122.58776,2687.66936,4905.61464,601.28214,1060.41094,1417.1187,1954.82916,3796.642,0
Austria,2003,i,1490.39,8.1199999,493.31909,770.53163,927.02258,1076.06158,1216.15824,1374.13958,1569.38067,1807.84307,2175.9694,3493.47416,631.92536,1001.54208,1295.14891,1688.61187,2834.72178,0
Austria,2004,i,1572.83,8.1700001,541.05352,805.28896,967.29045,1115.13647,1273.9923,1435.99379,1634.17037,1898.40581,2312.0601,3746.48106,673.17124,1041.21346,1354.993045,1766.28809,3029.27058,0
Austria,2005,i,1503.21,8.2299995,526.1235,790.68846,945.51909,1074.79515,1231.12899,1396.48209,1584.38334,1841.43225,2209.7187,3431.82843,658.40598,1010.15712,1313.80554,1712.907795,2820.773565,0
Austria,2006,i,1538.91,8.2700005,526.30722,797.15538,958.74093,1092.6261,1237.28364,1409.64156,1609.69986,1866.69783,2245.26969,3645.67779,661.7313,1025.683515,1323.4626,1738.198845,2945.47374,0
Austria,2007,i,1602.79,8.3000002,490.45374,788.57268,969.68795,1136.37811,1296.65711,1482.58075,1703.76577,1961.81496,2380.14315,3817.84578,639.51321,1053.03303,1389.61893,1832.790365,3098.994465,0
Austria,2008,i,1629.59,8.3199997,492.13618,811.53582,1003.82744,1163.52726,1334.63421,1520.40747,1720.84704,1962.02636,2366.16468,3924.05272,651.836,1083.67735,1427.52084,1841.4367,3145.1087,0
Austria,2009,i,1687.53,8.3400002,477.57099,816.76452,1010.83047,1188.02112,1365.21177,1562.65278,1778.65662,2036.84871,2477.29404,4161.44898,647.167755,1099.425795,1463.932275,1907.752665,3319.37151,0
Austria,2010,i,1704.59,8.3599997,526.71831,845.47664,1038.09531,1213.66808,1390.94544,1586.97329,1810.27458,2093.23652,2529.61156,4012.60486,686.097475,1125.881695,1488.959365,1951.75555,3271.10821,0
Austria,2011,i,1672.62,8.3900003,490.07766,819.5838,1006.91724,1179.1971,1354.8222,1553.86398,1784.68554,2069.03094,2508.93,3957.41892,654.83073,1093.05717,1454.34309,1926.85824,3233.17446,0
Austria,2012,i,1634.39,8.4300003,467.43554,807.38866,1003.51546,1168.58885,1335.29663,1526.52026,1745.52852,2015.20287,2446.68183,3829.37577,637.4121,1086.052155,1430.908445,1880.365695,3138.0288,0
Austria,2013,i,1714.46,8.4799995,533.19706,857.23,1033.81938,1205.26538,1385.28368,1570.44536,1801.89746,2084.78336,2511.6839,4157.5655,695.21353,1119.54238,1477.86452,1943.34041,3334.6247,0
Austria,2014,i,1688.03,8.5500002,523.2893,832.19879,1022.94618,1198.5013,1379.12051,1569.8679,1780.87165,2049.26842,2464.5238,4058.02412,677.744045,1110.72374,1474.494205,1915.070035,3261.27396,0
Austria,2015,i,1681.71,8.6400003,502.83129,822.35619,1020.79797,1199.05923,1385.72904,1582.48911,1791.02115,2058.41304,2450.25147,4005.83322,662.59374,1109.9286,1484.109075,1924.717095,3228.042345,0
Azerbaijan,1995,c,171.56,7.6900001,46.14964,75.14328,94.358,112.20024,130.04248,150.80124,175.33432,210.84724,261.45744,459.26612,60.64646,103.27912,140.42186,193.09078,360.36178,0
Azerbaijan,2001,c,209.45,8.1099997,64.0917,91.52965,111.4274,130.06845,148.2906,172.37735,202.11925,242.5431,313.96555,618.08695,77.810675,120.747925,160.333975,222.331175,466.02625,0
Azerbaijan,2002,c,264.34,8.1700001,127.94056,160.98306,180.54422,198.51934,216.49446,234.99826,259.31754,295.26778,356.59466,613.00446,144.46181,189.53178,225.74636,277.29266,484.79956,0
Azerbaijan,2003,c,275.39999,8.2299995,123.1038,157.8042,180.387,202.419,223.3494,247.0338,275.6754,314.5068,379.5012,649.6686,140.454,191.403,235.1916,295.0911,514.5849,0
Azerbaijan,2004,c,283.41,8.3100004,136.0368,166.64508,188.75106,208.58976,227.01141,247.13352,274.9077,313.45146,381.46986,690.10335,151.34094,198.67041,237.072465,294.17958,535.786605,0
Azerbaijan,2005,c,315.14001,8.3900003,152.8429,186.87802,208.62268,229.73706,250.22116,274.48694,306.94636,350.43568,429.22068,762.00852,169.86046,219.17987,262.35405,328.69102,595.6146,0
Bangladesh,1984,C,80.800003,90.730003,33.3704,45.1672,53.9744,61.4888,68.68,76.0328,84.436,95.344,112.8776,176.7096,39.2688,57.7316,72.3564,89.89,144.7936,0
Bangladesh,1986,C,89.080002,95.739998,39.81876,49.61756,57.81292,65.29564,72.77836,80.79556,90.23804,102.70924,123.19764,208.53628,44.71816,61.55428,76.78696,96.47364,165.86696,0
Bangladesh,1989,C,78.440002,100.98,32.63104,41.49476,48.94656,55.84928,62.752,70.28224,78.98908,90.67664,109.97288,192.80552,37.0629,52.39792,66.51712,84.83286,151.3892,0
Bangladesh,1992,c,71.459999,111.22,29.44152,39.303,45.66294,51.87996,58.38282,65.45736,73.6038,83.89404,100.54422,166.43034,34.37226,48.77145,61.92009,78.74892,133.48728,0
Bangladesh,1996,c,86.760002,121.27,32.70852,43.46676,50.84136,57.2616,63.94212,72.09756,81.81468,97.1712,124.58736,243.62208,38.08764,54.05148,68.01984,89.49294,184.10472,0
Bangladesh,2000,c,89.589996,131.58,33.50666,43.98869,50.79753,57.69596,65.66947,74.27011,85.64804,102.1326,132.5932,249.59774,38.747675,54.246745,69.96979,93.89032,191.09547,0
Bangladesh,2005,c,100.01,143.42999,38.50385,49.10491,57.10571,64.80648,73.0073,82.90829,95.70957,113.81138,145.21452,280.028,43.80438,60.956095,77.957795,104.760475,212.62126,0
Bangladesh,2010,c,107.04,152.14999,41.2104,53.52,62.40432,70.96752,80.17296,90.76992,104.25696,122.98896,155.85024,288.15168,47.3652,66.68592,85.47144,113.62296,222.00096,0
Bangladesh,2016,c,117.31,162.95,43.4047,57.95114,68.0398,77.89384,88.09981,100.18274,115.43304,135.96229,171.2726,314.74273,50.67792,72.96682,94.141275,125.697665,243.007665,0
Belarus,1993,I,210.46001,10.24,102.49402,131.5375,152.37304,169.84122,186.04664,202.67298,221.61438,245.81728,284.121,408.2924,117.01576,161.10713,194.35981,233.71583,346.2067,0
Belarus,1995,I,314.20999,10.19,106.51719,160.56131,195.43862,227.80225,260.7943,296.30003,337.14733,387.42093,461.26028,708.54355,133.53925,211.620435,278.547165,362.28413,584.901915,0
Belarus,1998,c,134.75999,10.07,42.17988,63.87624,78.02604,91.6368,105.65184,121.55352,140.1504,164.67672,204.29616,335.68716,53.02806,84.83142,113.60268,152.41356,269.99166,0
Belarus,1999,c,142.98,10.03,42.46506,66.34272,82.2135,98.08428,114.09804,131.82756,152.55966,179.01096,219.4743,343.72392,54.40389,90.14889,122.9628,165.78531,281.59911,0
Belarus,2000,c,158.71001,9.9799995,49.04139,75.86338,93.6389,110.62087,127.28542,145.37836,167.75647,196.95911,239.01726,381.53884,62.452385,102.129885,136.33189,182.35779,310.27805,0
Belarus,2001,c,197.02,9.9300003,64.22852,96.5398,118.80306,138.30804,158.99514,180.47032,206.08292,240.3644,293.75682,472.65098,80.38416,128.55555,169.73273,223.22366,383.2039,0
Belarus,2002,c,216.42,9.8699999,72.5007,106.69506,130.71768,153.00894,174.43452,198.88998,226.1589,262.30104,319.65234,519.84084,89.59788,141.86331,186.66225,244.22997,419.74659,0
Belarus,2003,c,223.3,9.8000002,77.0385,114.1063,140.2324,161.4459,183.106,207.8923,235.5815,274.4357,333.6102,505.3279,95.5724,150.83915,195.49915,255.0086,419.46905,0
Belarus,2004,c,250.78,9.7299995,96.29952,138.43056,163.75934,186.8311,211.40754,236.73632,267.83304,305.45004,365.38646,535.4153,117.36504,175.29522,224.07193,286.64154,450.40088,0
Belarus,2005,c,308.42999,9.6599998,111.96009,161.61732,196.16148,229.78035,259.38963,290.84949,329.40324,380.91105,452.15838,672.3774,136.788705,212.970915,275.11956,355.157145,562.26789,0
Belarus,2006,c,356.62,9.6000004,128.73982,183.6593,223.24412,259.97598,295.28136,335.57942,380.87016,435.43302,524.58802,798.8288,156.19956,241.61005,315.43039,408.15159,661.70841,0
Belarus,2007,c,409.84,9.5600004,143.85384,208.19872,251.64176,290.16672,332.79008,376.23312,427.05328,495.08672,607.79272,965.99288,176.02628,270.90424,354.5116,461.07,786.8928,0
Belarus,2008,c,425.87,9.5299997,157.14603,226.13697,270.00158,310.45923,351.76862,401.16954,456.10677,519.13553,615.38215,950.96771,191.6415,290.230405,376.46908,487.62115,783.17493,0
Belarus,2009,c,430.10999,9.5100002,159.57081,230.10885,277.42095,317.42118,359.14185,401.72274,449.03484,515.27178,619.78851,971.18838,194.83983,297.421065,380.432295,482.15331,795.488445,0
Belarus,2010,c,485.23001,9.4899998,177.10895,250.37868,300.8426,350.33606,399.34429,450.29344,512.40288,592.95106,709.40626,1108.75055,213.743815,325.58933,424.818865,552.67697,909.078405,0
Belarus,2011,c,497.07001,9.4700003,187.39539,267.42366,321.10722,368.32887,414.55638,470.22822,529.37955,606.4254,720.25443,1086.09795,227.409525,344.718045,442.3923,567.902475,903.17619,0
Belarus,2012,c,556.65002,9.46,220.4334,307.2708,362.9358,416.3742,469.8126,525.4776,587.26575,666.31005,797.67945,1213.497,263.8521,389.655,497.6451,626.7879,1005.588225,0
Belarus,2013,c,620.56,9.4700003,246.36232,345.03136,406.4668,465.42,521.2704,580.84416,652.20856,742.18976,876.85128,1368.95536,295.69684,435.9434,551.05728,697.19916,1122.90332,0
Belarus,2014,c,646.27002,9.4700003,253.33784,349.63207,418.78296,484.7025,540.28172,601.0311,677.93723,767.12249,912.53324,1457.98512,301.484955,451.74273,570.65641,722.52986,1185.25918,0
Belarus,2015,c,578.90997,9.4899998,235.03746,326.50524,386.71188,438.81378,491.49459,547.64886,612.48678,697.00764,824.36784,1227.86811,280.77135,412.76283,519.571725,654.74721,1026.117975,0
Belarus,2016,c,556.15997,9.5,231.36256,318.67968,376.52032,426.01856,472.17984,523.90272,581.1872,660.16192,788.63488,1182.95232,275.02112,401.26944,498.04128,620.67456,985.7936,0
Belarus,2017,c,571.14001,9.5100002,242.7345,324.40752,378.66582,434.63754,483.75558,536.8716,601.98156,681.37002,812.16108,1215.38592,283.57101,406.65168,510.31359,641.67579,1013.7735,0
Belgium,2003,i,1312.2,10.38,430.4016,691.5294,847.6812,978.9012,1107.4968,1237.4046,1390.932,1589.0742,1931.5584,2917.0206,560.9655,913.2912,1172.4507,1490.0031,2424.2895,0
Belgium,2004,i,1415.9301,10.42,478.58434,716.46058,882.12439,1013.80588,1145.48737,1281.41665,1437.16895,1662.30182,1987.96572,3553.9843,597.52246,947.965135,1213.45201,1549.735385,2770.97501,0
Belgium,2005,i,1414.3101,10.48,480.8654,743.92706,900.91547,1029.61768,1156.90558,1294.09365,1455.32499,1684.44321,2023.87761,3374.54366,612.39623,965.266575,1225.499615,1569.8841,2699.210635,0
Belgium,2006,i,1390.36,10.55,475.50312,735.50044,900.95328,1033.03748,1160.9506,1302.76732,1473.7816,1686.50668,2021.58344,3113.01604,605.50178,966.99538,1231.85896,1580.14414,2567.29974,0
Belgium,2007,i,1430.76,10.63,483.59688,743.9952,905.67108,1045.88556,1173.2232,1317.72996,1485.12888,1712.61972,2074.602,3365.14752,613.79604,975.77832,1245.47658,1598.8743,2719.87476,0
Belgium,2008,i,1449.96,10.71,497.33628,761.229,936.67416,1075.87032,1203.4668,1344.11292,1529.7078,1763.15136,2098.09212,3291.4092,629.28264,1006.27224,1273.78986,1646.42958,2694.75066,0
Belgium,2009,i,1464.98,10.8,473.18854,769.1145,950.77202,1089.94512,1221.79332,1368.29132,1544.08892,1787.2756,2121.29104,3324.03962,621.15152,1020.35857,1295.04232,1665.68226,2722.66533,0
Belgium,2010,i,1454.17,10.9,478.42193,767.80176,939.39382,1087.71916,1225.86531,1362.55729,1525.42433,1752.27485,2099.82148,3303.87424,623.111845,1013.55649,1294.2113,1638.84959,2701.84786,0
Belgium,2011,i,1418.73,11.05,469.59963,744.83325,913.66212,1066.88496,1204.50177,1343.53731,1505.27253,1719.50076,2050.06485,3168.02409,607.21644,990.27354,1274.01954,1612.386645,2609.04447,0
Belgium,2012,i,1459.04,11.13,490.23744,777.66832,954.21216,1110.32944,1243.10208,1383.16992,1555.33664,1769.81552,2108.3128,3198.21568,633.95288,1032.2708,1313.136,1662.57608,2653.26424,0
Belgium,2013,i,1456.01,11.18,483.39532,764.40525,949.31852,1099.28755,1239.06451,1387.57753,1559.38671,1785.06826,2118.49455,3175.55781,623.900285,1024.303035,1313.32102,1672.227485,2647.02618,0
Belgium,2014,i,1473.47,11.21,503.92674,766.2044,945.96774,1100.68209,1240.66174,1388.00874,1569.24555,1791.73952,2129.16415,3300.5728,635.06557,1023.324915,1314.33524,1680.492535,2714.868475,0
Belgium,2015,i,1490.91,11.27,512.87304,772.29138,966.10968,1125.63705,1277.70987,1419.34632,1587.81915,1802.51019,2133.49221,3309.8202,642.58221,1045.873365,1348.528095,1695.16467,2721.656205,0
Belize,1993,i,341.14001,.2,28.9969,71.98054,97.2249,125.19838,154.53642,188.30928,240.84484,311.11968,448.94024,1744.24882,50.48872,111.21164,171.42285,275.98226,1096.59453,0
Belize,1994,i,331.64001,.2,32.83236,69.6444,95.18068,121.38024,147.5798,175.7692,220.87224,284.54712,427.8156,1741.11,51.23838,108.28046,161.6745,252.70968,1084.4628,0
Belize,1995,c,421.04999,.20999999,31.57875,67.368,106.52565,142.3149,201.68295,267.7878,349.89255,477.89175,708.2061,1857.6726,49.473375,124.420275,234.735375,413.89215,1282.93935,0
Belize,1996,i,265.47,.20999999,26.81247,62.11998,83.88852,105.12612,126.36372,157.15824,202.02267,264.93906,390.77184,1235.49738,44.466225,94.50732,141.76098,233.480865,813.13461,0
Belize,1997,i,274.67999,.22,17.57952,55.21068,77.45976,97.78608,123.33132,157.11696,198.59364,257.92452,380.4318,1381.6404,36.3951,87.62292,140.22414,228.25908,881.0361,0
Belize,1998,i,257.91,.23,26.56473,59.06139,79.17837,102.13236,127.92336,162.74121,212.77575,280.60608,401.05005,1127.32461,42.81306,90.655365,145.332285,246.690915,764.18733,0
Belize,1999,i,268.57999,.23999999,24.97794,61.23624,91.3172,114.95224,143.42172,179.14286,227.75584,293.28936,409.85308,1139.58494,43.10709,103.13472,161.28229,260.5226,774.71901,0
