Entity,Year,Hydropower (BP Statistics (2016))
Asia Pacific,2015,361.8548574
Europe and Eurasia,1965,88.53377486
Europe and Eurasia,1966,96.15770141
Europe and Eurasia,1967,95.33944312
Europe and Eurasia,1968,101.7096655
Europe and Eurasia,1969,102.7470879
Europe and Eurasia,1970,108.3305265
Europe and Eurasia,1971,109.6361323
Europe and Eurasia,1972,112.147504
Europe and Eurasia,1973,112.3563903
Europe and Eurasia,1974,120.9229838
Europe and Eurasia,1975,120.4144248
Europe and Eurasia,1976,117.5630262
Europe and Eurasia,1977,138.4544809
Europe and Eurasia,1978,140.4502186
Europe and Eurasia,1979,148.7821469
Europe and Eurasia,1980,146.081637
Europe and Eurasia,1981,148.7504344
Europe and Eurasia,1982,145.1464346
Europe and Eurasia,1983,149.5493288
Europe and Eurasia,1984,156.1038961
Europe and Eurasia,1985,158.5736496
Europe and Eurasia,1986,154.8394214
Europe and Eurasia,1987,165.4389671
Europe and Eurasia,1988,175.7271747
Europe and Eurasia,1989,157.2641506
Europe and Eurasia,1990,162.5310562
Europe and Eurasia,1991,163.7905616
Europe and Eurasia,1992,169.3353455
Europe and Eurasia,1993,175.7255034
Europe and Eurasia,1994,177.477758
Europe and Eurasia,1995,178.706637
Europe and Eurasia,1996,170.1354564
Europe and Eurasia,1997,173.6175811
Europe and Eurasia,1998,179.830258
Europe and Eurasia,1999,182.827954
Europe and Eurasia,2000,188.1021525
Europe and Eurasia,2001,188.4785404
Europe and Eurasia,2002,175.475427
Europe and Eurasia,2003,167.1115109
Europe and Eurasia,2004,180.471783
Europe and Eurasia,2005,180.5162026
Europe and Eurasia,2006,178.3459334
Europe and Eurasia,2007,179.4828116
Europe and Eurasia,2008,183.1329531
Europe and Eurasia,2009,184.0307794
Europe and Eurasia,2010,197.4674409
Europe and Eurasia,2011,178.394219
Europe and Eurasia,2012,191.226827
Europe and Eurasia,2013,202.8145145
Europe and Eurasia,2014,196.6575173
Europe and Eurasia,2015,194.3547967
Latin America and the Carribean,1965,9.02964724
Latin America and the Carribean,1966,10.05725249
Latin America and the Carribean,1967,10.64549417
Latin America and the Carribean,1968,11.31463859
Latin America and the Carribean,1969,12.22412454
Latin America and the Carribean,1970,14.9306911
Latin America and the Carribean,1971,16.48362172
Latin America and the Carribean,1972,18.69216091
Latin America and the Carribean,1973,20.94490619
Latin America and the Carribean,1974,24.04440529
Latin America and the Carribean,1975,26.07221953
Latin America and the Carribean,1976,29.12267807
Latin America and the Carribean,1977,32.35111762
Latin America and the Carribean,1978,35.70949661
Latin America and the Carribean,1979,40.51532472
Latin America and the Carribean,1980,45.38482251
Latin America and the Carribean,1981,46.04807978
Latin America and the Carribean,1982,49.67033434
Latin America and the Carribean,1983,53.55080543
Latin America and the Carribean,1984,59.19019683
Latin America and the Carribean,1985,63.8917274
Latin America and the Carribean,1986,69.13792883
Latin America and the Carribean,1987,73.7741936
Latin America and the Carribean,1988,76.68473612
Latin America and the Carribean,1989,78.39810448
Latin America and the Carribean,1990,81.69311457
Latin America and the Carribean,1991,87.34305489
Latin America and the Carribean,1992,89.11044583
Latin America and the Carribean,1993,95.86804369
Latin America and the Carribean,1994,101.64056
Latin America and the Carribean,1995,105.4993652
Latin America and the Carribean,1996,109.9455497
Latin America and the Carribean,1997,116.5230221
Latin America and the Carribean,1998,119.1323746
Latin America and the Carribean,1999,119.3357153
Latin America and the Carribean,2000,125.9899934
Latin America and the Carribean,2001,118.5348551
Latin America and the Carribean,2002,124.3060112
Latin America and the Carribean,2003,129.5590294
Latin America and the Carribean,2004,133.4331886
Latin America and the Carribean,2005,141.4876694
Latin America and the Carribean,2006,148.3417776
Latin America and the Carribean,2007,153.0161463
Latin America and the Carribean,2008,154.1208899
Latin America and the Carribean,2009,158.1163799
Latin America and the Carribean,2010,158.7843325
Latin America and the Carribean,2011,168.3936817
Latin America and the Carribean,2012,165.3329482
Latin America and the Carribean,2013,160.644836
Latin America and the Carribean,2014,154.4096502
Latin America and the Carribean,2015,152.8772499
Middle East,1965,0.530808933
Middle East,1966,0.576122686
Middle East,1967,0.640085894
Middle East,1968,0.697187899
Middle East,1969,0.768413857
Middle East,1970,0.809983256
Middle East,1971,0.849384803
Middle East,1972,1.033633027
Middle East,1973,0.849006155
Middle East,1974,1.091216319
Middle East,1975,1.231726343
Middle East,1976,1.432338372
Middle East,1977,1.607074354
Middle East,1978,2.223066299
Middle East,1979,2.179306467
Middle East,1980,2.19282423
Middle East,1981,2.30522546
Middle East,1982,2.396079242
Middle East,1983,2.308963027
Middle East,1984,2.341188035
Middle East,1985,2.292034711
Middle East,1986,2.517218355
Middle East,1987,2.805437209
Middle East,1988,2.649218355
Middle East,1989,2.573050821
Middle East,1990,2.318094719
Middle East,1991,2.359393945
Middle East,1992,2.927846178
Middle East,1993,3.09549595
Middle East,1994,2.696525003
Middle East,1995,2.753846495
Middle East,1996,2.672999502
Middle East,1997,2.276845861
Middle East,1998,2.62622546
Middle East,1999,2.00105856
Middle East,2000,1.842706748
Middle East,2001,1.9352103
Middle East,2002,2.892113183
Middle East,2003,3.226879803
Middle East,2004,4.044900394
Middle East,2005,5.112787301
Middle East,2006,6.643662036
Middle East,2007,6.307417296
Middle East,2008,3.229043083
Middle East,2009,2.77452753
Middle East,2010,4.031664462
Middle East,2011,4.26717579
Middle East,2012,5.076216201
Middle East,2013,5.423853944
Middle East,2014,4.78710722
Middle East,2015,5.935863131
North America,1965,73.52987321
North America,1966,76.68973564
North America,1967,84.04240312
North America,1968,85.33271957
North America,1969,94.53886922
North America,1970,95.90000024
North America,1971,100.4072899
North America,1972,105.3234769
North America,1973,107.0995956
North America,1974,118.1158529
North America,1975,116.854777
North America,1976,115.3785951
North America,1977,100.380865
North America,1978,117.5590006
North America,1979,116.8870338
North America,1980,117.9880446
North America,1981,116.8005123
North America,1982,134.9364126
North America,1983,141.5343013
North America,1984,144.2378218
North America,1985,139.6582061
North America,1986,142.0460288
North America,1987,133.5249572
North America,1988,126.0297503
North America,1989,133.4279381
North America,1990,139.1974912
North America,1991,140.5727145
North America,1992,135.1402431
North America,1993,143.0309831
North America,1994,138.2521687
North America,1995,152.887643
North America,1996,166.7240521
North America,1997,166.3758215
North America,1998,154.3655429
North America,1999,158.5255393
North America,2000,151.2201015
North America,2001,131.0630244
North America,2002,145.0979881
North America,2003,143.5932027
North America,2004,143.6200241
North America,2005,149.9592506
North America,2006,152.8422937
North America,2007,145.8986931
North America,2008,152.485903
North America,2009,151.9325091
North America,2010,147.3199186
North America,2011,166.1337131
North America,2012,156.2938949
North America,2013,156.2705728
North America,2014,154.487858
North America,2015,150.9010234
