Entity,Year,Palmer Drought Severity Index (annual) (NOAA),Palmer Drought Severity Index (9-year avg) (NOAA)
Southwest US,1959,-2.231097605,-0.782213264
Southwest US,1960,-1.817177379,-1.075759422
Southwest US,1961,-1.005879357,-1.062871838
Southwest US,1962,-0.153371934,-0.885823666
Southwest US,1963,-1.162367048,-0.670938898
Southwest US,1964,-1.443053333,-0.369143084
Southwest US,1965,1.658649133,-0.035041518
Southwest US,1966,-0.363190896,0.16812774
Southwest US,1967,0.401640516,0.23356359
Southwest US,1968,-0.163845448,0.275305142
Southwest US,1969,0.917570118,0.304662248
Southwest US,1970,0.192756963,0.270733836
Southwest US,1971,0.222077061,0.222477627
Southwest US,1972,-0.759103803,0.224568442
Southwest US,1973,2.00019866,0.180967931
Southwest US,1974,-1.014311021,-0.076362102
Southwest US,1975,0.450386803,-0.516916658
Southwest US,1976,-1.596949208,-0.793704177
Southwest US,1977,-2.887906169,-0.518879355
Southwest US,1978,1.323647758,0.200336444
Southwest US,1979,2.490213807,0.760708932
Southwest US,1980,1.273635128,0.89595445
Southwest US,1981,-1.786410365,1.083925161
Southwest US,1982,1.656852662,1.71941287
Southwest US,1983,4.929926902,2.409944173
Southwest US,1984,2.603659005,2.546757943
Southwest US,1985,2.13176259,2.075109519
Southwest US,1986,1.289387494,1.315022792
Southwest US,1987,0.597914631,0.452330151
Southwest US,1988,-0.001102085,-0.442095328
Southwest US,1989,-2.245105616,-1.125354846
Southwest US,1990,-2.480230933,-1.246561027
Southwest US,1991,-0.945235068,-0.750736788
Southwest US,1992,0.391174197,-0.033766712
Southwest US,1993,2.169917598,0.449606848
Southwest US,1994,-1.198443646,0.612132048
Southwest US,1995,2.06872993,0.665357308
Southwest US,1996,-0.193697866,0.784788063
Southwest US,1997,0.590890376,0.892471802
Southwest US,1998,3.01824911,0.679467983
Southwest US,1999,-0.152474292,-0.056278827
Southwest US,2000,-1.959416128,-1.107327344
Southwest US,2001,-1.626612031,-2.012442616
Southwest US,2002,-3.936242464,-2.350266401
Southwest US,2003,-3.057827097,-1.930527775
Southwest US,2004,-1.054831451,-1.063861978
Southwest US,2005,2.424620865,-0.494005077
Southwest US,2006,-0.599124436,-0.662385424
Southwest US,2007,-2.390523027,-1.206433306
Southwest US,2008,-1.964146003,-1.453818988
Southwest US,2009,-2.183707479,-1.24048992
Southwest US,2010,0.858450734,-1.051248394
Southwest US,2011,-0.083871822,-1.381841072
Southwest US,2012,-3.462829588,-2.105454625
Southwest US,2013,-3.432893829,-2.64908584
Southwest US,2014,-3.084923597,-2.694389945
Southwest US,2015,-1.98715449,-2.424099371
United States,1895,-0.118333333,-0.072910156
United States,1896,0.2225,-0.069573568
United States,1897,-0.4525,-0.073688151
United States,1898,0.101666667,-0.090869141
United States,1899,0.02,-0.170442708
United States,1900,-0.0475,-0.299860026
United States,1901,-1.144166667,-0.312021484
United States,1902,-0.840833333,-0.052233073
United States,1903,1.705,0.448313802
United States,1904,-0.031666667,1.118837891
United States,1905,1.553333333,1.94703125
United States,1906,3.608333333,2.731914063
United States,1907,4.315,2.992864583
United States,1908,3.363333333,2.369781901
United States,1909,1.8175,1.105299479
United States,1910,-2.465833333,0.015338542
United States,1911,-2.398333333,-0.250182292
United States,1912,2.6125,0.141246745
United States,1913,0.485,0.613958333
United States,1914,-0.27,0.921731771
United States,1915,2.091666667,1.00789388
United States,1916,2.3975,0.717148438
United States,1917,-0.640833333,0.230485026
United States,1918,-2.930833333,0.133235677
United States,1919,1.7725,0.545517578
United States,1920,3.469166667,0.868603516
United States,1921,-0.545833333,0.71179362
United States,1922,-0.47,0.321132813
United States,1923,1.145833333,-0.019501953
United States,1924,-0.386666667,-0.215520833
United States,1925,-2.058333333,-0.04781901
United States,1926,0.4175,0.602949219
United States,1927,2.823333333,1.278453776
United States,1928,2.774166667,1.247412109
United States,1929,1.090833333,0.326383464
United States,1930,-1.983333333,-0.8746875
United States,1931,-4.178333333,-1.677200521
United States,1932,0.075833333,-2.133723958
United States,1933,-1.039166667,-2.70186849
United States,1934,-6.6775,-3.320677083
United States,1935,-3.103333333,-3.472363281
United States,1936,-3.5325,-3.013336589
United States,1937,-2.320833333,-2.384023438
United States,1938,0.075,-2.025611979
United States,1939,-2.88,-1.789163411
United States,1940,-4.238333333,-1.126822917
United States,1941,1.6675,0.003557943
United States,1942,3.1875,0.931699219
United States,1943,0.8775,1.249580078
United States,1944,-0.154166667,1.313277995
United States,1945,2.056666667,1.513795573
United States,1946,2.371666667,1.72265625
United States,1947,2.1375,1.690218099
United States,1948,0.819166667,1.481119792
United States,1949,1.244166667,1.269641927
United States,1950,1.329166667,0.959876302
United States,1951,1.683333333,0.247405599
United States,1952,-0.9375,-0.960198568
United States,1953,-2.883333333,-2.31061849
United States,1954,-4.345,-3.19453776
United States,1955,-4.465,-3.112779948
United States,1956,-3.595,-2.042135417
United States,1957,0.904166667,-0.608935547
United States,1958,2.735833333,0.351982422
United States,1959,-0.335,0.564983724
United States,1960,0.010833333,0.344586589
United States,1961,0.890833333,-0.047913411
United States,1962,0.020833333,-0.539752604
United States,1963,-2.929166667,-0.908300781
United States,1964,-1.0625,-0.918522135
United States,1965,0.708333333,-0.62742513
United States,1966,-1.764166667,-0.162454427
United States,1967,0.435,0.457880859
United States,1968,1.795833333,1.066269531
United States,1969,2.501666667,1.381298828
United States,1970,0.7425,1.466894531
United States,1971,0.603333333,1.745065104
United States,1972,1.979166667,2.394775391
United States,1973,4.8475,3.008681641
United States,1974,3.474166667,2.991497396
United States,1975,3.718333333,2.206471354
United States,1976,-0.348333333,1.174261068
United States,1977,-1.150833333,0.57289388
United States,1978,0.919166667,0.525084635
United States,1979,2.23,0.643850911
United States,1980,-0.398333333,0.817822266
United States,1981,-0.755,1.387460938
United States,1982,3.3725,2.35296875
United States,1983,5.010833333,3.05469401
United States,1984,3.9475,2.931497396
United States,1985,0.960833333,2.06860026
United States,1986,2.135833333,0.86063151
United States,1987,-0.57,-0.296126302
United States,1988,-3.51,-0.94773763
United States,1989,-0.851666667,-0.805817057
United States,1990,0.030833333,-0.044977214
United States,1991,1.150833333,0.931292318
United States,1992,1.185,1.826897786
United States,1993,4.37,2.455146484
United States,1994,2.138333333,2.763297526
United States,1995,2.795833333,2.879729818
United States,1996,2.789166667,2.837281901
United States,1997,4.295833333,2.349287109
United States,1998,1.553333333,1.152057292
United States,1999,-0.138333333,-0.476474609
United States,2000,-4.435833333,-1.757936198
United States,2001,-2.870833333,-2.050390625
United States,2002,-2.058333333,-1.409501953
United States,2003,0.583333333,-0.523841146
United States,2004,1.3075,-0.120159505
United States,2005,0.089166667,-0.350983073
United States,2006,-2.215833333,-0.705572917
United States,2007,-1.651666667,-0.576110026
United States,2008,0.346666667,0.085670573
United States,2009,1.250833333,0.692213542
United States,2010,3.05,0.610465495
United States,2011,-0.1575,-0.092431641
United States,2012,-4.005833333,-0.629039714
United States,2013,-0.224166667,-0.416432292
United States,2014,1.231666667,0.280732422
United States,2015,1.1675,0.862480469
