Entity,Year,Natural Gas (BP Statistics (2016))
Europe and Eurasia,2010,1004.399531
Europe and Eurasia,2011,980.165372
Europe and Eurasia,2012,964.4287957
Europe and Eurasia,2013,946.0534424
Europe and Eurasia,2014,905.760313
Europe and Eurasia,2015,903.1136336
Latin America and the Carribean,1965,12.79469679
Latin America and the Carribean,1966,13.67650296
Latin America and the Carribean,1967,14.73085118
Latin America and the Carribean,1968,15.50072431
Latin America and the Carribean,1969,15.95530631
Latin America and the Carribean,1970,16.31222
Latin America and the Carribean,1971,16.69202058
Latin America and the Carribean,1972,17.7224909
Latin America and the Carribean,1973,19.9741687
Latin America and the Carribean,1974,21.01097344
Latin America and the Carribean,1975,21.02911177
Latin America and the Carribean,1976,24.48558243
Latin America and the Carribean,1977,26.45320198
Latin America and the Carribean,1978,27.29173552
Latin America and the Carribean,1979,29.46450789
Latin America and the Carribean,1980,31.44031599
Latin America and the Carribean,1981,32.48448396
Latin America and the Carribean,1982,36.03413943
Latin America and the Carribean,1983,37.35537879
Latin America and the Carribean,1984,40.33977471
Latin America and the Carribean,1985,41.2283431
Latin America and the Carribean,1986,44.5261664
Latin America and the Carribean,1987,44.72735679
Latin America and the Carribean,1988,48.72011749
Latin America and the Carribean,1989,50.39472493
Latin America and the Carribean,1990,51.99429089
Latin America and the Carribean,1991,52.8177459
Latin America and the Carribean,1992,54.45783132
Latin America and the Carribean,1993,58.6083923
Latin America and the Carribean,1994,61.55597761
Latin America and the Carribean,1995,67.69674524
Latin America and the Carribean,1996,74.9762366
Latin America and the Carribean,1997,76.34827308
Latin America and the Carribean,1998,81.20957334
Latin America and the Carribean,1999,80.26725557
Latin America and the Carribean,2000,85.22600009
Latin America and the Carribean,2001,89.82088831
Latin America and the Carribean,2002,90.81525932
Latin America and the Carribean,2003,95.61447552
Latin America and the Carribean,2004,106.6030369
Latin America and the Carribean,2005,111.1233871
Latin America and the Carribean,2006,121.851602
Latin America and the Carribean,2007,128.2466813
Latin America and the Carribean,2008,129.0730497
Latin America and the Carribean,2009,123.0994222
Latin America and the Carribean,2010,135.7504149
Latin America and the Carribean,2011,136.3633489
Latin America and the Carribean,2012,144.5229229
Latin America and the Carribean,2013,149.1962493
Latin America and the Carribean,2014,152.5670264
Latin America and the Carribean,2015,157.3020792
Middle East,1965,3.354733435
Middle East,1966,3.761306867
Middle East,1967,4.427820324
Middle East,1968,5.342066834
Middle East,1969,6.431226828
Middle East,1970,8.811827856
Middle East,1971,9.68203604
Middle East,1972,10.8892456
Middle East,1973,13.28682422
Middle East,1974,13.99138943
Middle East,1975,15.71716644
Middle East,1976,17.03138391
Middle East,1977,19.82774457
Middle East,1978,21.64004092
Middle East,1979,29.22340152
Middle East,1980,29.34735206
Middle East,1981,31.87339148
Middle East,1982,35.54147208
Middle East,1983,36.36927612
Middle East,1984,46.83037022
Middle East,1985,50.53361807
Middle East,1986,60.65270217
Middle East,1987,64.79166862
Middle East,1988,72.09306076
Middle East,1989,81.25657169
Middle East,1990,87.43514417
Middle East,1991,93.25484406
Middle East,1992,106.3754074
Middle East,1993,99.32199741
Middle East,1994,115.2065799
Middle East,1995,126.863997
Middle East,1996,136.5519493
Middle East,1997,144.1140639
Middle East,1998,154.7356051
Middle East,1999,162.5704322
Middle East,2000,171.414357
Middle East,2001,188.39045
Middle East,2002,201.4769731
Middle East,2003,211.314474
Middle East,2004,234.1948459
Middle East,2005,251.4097618
Middle East,2006,267.0993196
Middle East,2007,289.5986686
Middle East,2008,312.2608024
Middle East,2009,322.3661121
Middle East,2010,359.5481213
Middle East,2011,364.1679245
Middle East,2012,376.1434894
Middle East,2013,402.1940278
Middle East,2014,415.2618833
Middle East,2015,441.1707338
North America,1965,425.3632807
North America,1966,458.6120597
North America,1967,482.8146223
North America,1968,517.8775723
North America,1969,559.7233671
North America,1970,591.1511769
North America,1971,610.6793061
North America,1972,621.4793921
North America,1973,620.3860282
North America,1974,601.7770796
North America,1975,558.381166
North America,1976,568.5753235
North America,1977,560.92255
North America,1978,566.3519824
North America,1979,587.2152013
North America,1980,577.6494584
North America,1981,565.6680569
North America,1982,535.3456209
North America,1983,505.1238565
North America,1984,540.0636051
North America,1985,525.6444209
North America,1986,492.7225249
North America,1987,520.1270148
North America,1988,545.9789972
North America,1989,579.0310572
North America,1990,579.0137094
North America,1991,591.7590967
North America,1992,612.5336672
North America,1993,629.9482937
North America,1994,646.5661414
North America,1995,673.8134984
North America,1996,689.4904465
North America,1997,695.7280444
North America,1998,685.6624613
North America,1999,690.7404577
North America,2000,720.5084487
North America,2001,691.2976075
North America,2002,715.4379183
North America,2003,709.3825808
North America,2004,712.0557386
North America,2005,711.4684927
North America,2006,707.5586843
North America,2007,739.9379231
North America,2008,746.9573593
North America,2009,740.5302588
North America,2010,770.0285339
North America,2011,788.5584767
North America,2012,819.5291508
North America,2013,843.9333554
North America,2014,864.6307672
North America,2015,880.6902473
