Entity,Year,Coal (%),Crude oil (%),Natural gas (%),Hydroelectricity (Vaclav Smil (2017)),Nuclear (%),Wind and solar (Vaclav Smil (2017)),Modern biofuels (Vaclav Smil (2017)),Traditional biofuels (%),Solar (%),Other renewables (%),Hydropower (%),Wind (%)
World,1970,26.7,40.6,16.0,2,0.1,,,14.6,0.0,0.0,1.8,0.0
World,1971,25.7,41.6,16.5,,0.2,,,14.2,0.0,0.0,1.8,0.0
World,1972,24.8,42.8,16.7,,0.2,,,13.7,0.0,0.0,1.8,0.0
World,1973,24.4,43.9,16.6,,0.3,,,13.1,0.0,0.0,1.8,0.0
World,1974,24.4,43.3,16.9,,0.4,,,13.2,0.0,0.0,1.9,0.0
World,1975,24.8,42.7,16.8,,0.5,,,13.2,0.0,0.0,2.0,0.0
World,1976,24.5,43.4,17.0,,0.6,,,12.7,0.0,0.0,1.9,0.0
World,1977,24.5,43.6,17.0,,0.7,,,12.4,0.0,0.0,1.9,0.0
World,1978,24.2,43.7,17.3,,0.8,,,12.2,0.0,0.0,2.0,0.0
World,1979,24.5,43.1,17.8,,0.8,,,11.9,0.0,0.0,2.0,0.0
World,1980,25.3,41.7,18.0,2,0.9,,,12.0,0.0,0.0,2.0,0.0
World,1981,25.9,40.4,18.3,,1.0,,,12.2,0.0,0.0,2.1,0.0
World,1982,26.3,39.4,18.5,,1.1,,,12.4,0.0,0.0,2.2,0.0
World,1983,26.8,38.7,18.6,,1.2,,,12.4,0.0,0.1,2.3,0.0
World,1984,26.9,38.0,19.3,,1.4,,,12.1,0.0,0.1,2.2,0.0
World,1985,27.3,37.2,19.5,,1.7,,,11.9,0.0,0.1,2.2,0.0
World,1986,27.1,37.6,19.3,,1.8,,,11.8,0.0,0.1,2.2,0.0
World,1987,27.4,37.2,19.7,,1.9,,,11.6,0.0,0.1,2.2,0.0
World,1988,27.3,37.2,19.9,,2.0,,,11.3,0.0,0.1,2.2,0.0
World,1989,27.0,37.1,20.4,,2.0,,,11.2,0.0,0.1,2.1,0.0
World,1990,26.4,37.2,20.8,2,2.0,,,11.2,0.0,0.1,2.2,0.0
World,1991,26.0,37.0,21.2,,2.1,,,11.3,0.0,0.1,2.2,0.0
World,1992,25.7,37.3,21.2,,2.1,,,11.4,0.0,0.1,2.2,0.0
World,1993,25.7,36.9,21.3,,2.2,,,11.4,0.0,0.1,2.3,0.0
World,1994,25.6,37.2,21.2,,2.2,,,11.4,0.0,0.1,2.3,0.0
World,1995,25.3,37.0,21.6,,2.2,,,11.4,0.0,0.1,2.4,0.0
World,1996,25.2,36.8,22.0,,2.3,,,11.2,0.0,0.1,2.4,0.0
World,1997,25.0,37.3,21.7,,2.2,,,11.2,0.0,0.1,2.4,0.0
World,1998,24.6,37.4,22.0,,2.2,,,11.3,0.0,0.2,2.4,0.0
World,1999,24.3,37.5,22.1,,2.3,,,11.3,0.0,0.2,2.4,0.0
World,2000,24.6,37.0,22.5,2,2.3,,,11.1,0.0,0.2,2.4,0.0
World,2001,24.7,36.9,22.6,,2.3,,,11.0,0.0,0.2,2.3,0.0
World,2002,25.1,36.5,22.8,,2.3,,,10.7,0.0,0.2,2.3,0.0
World,2003,26.4,36.1,22.6,,2.2,,,10.2,0.0,0.2,2.2,0.1
World,2004,27.1,36.0,22.5,,2.2,,,9.7,0.0,0.2,2.2,0.1
World,2005,28.2,35.4,22.5,,2.1,,,9.3,0.0,0.2,2.3,0.1
World,2006,28.8,34.9,22.5,,2.1,,,9.0,0.0,0.2,2.3,0.1
World,2007,29.6,34.4,22.8,,2.0,,,8.7,0.0,0.2,2.3,0.1
World,2008,29.7,33.9,23.1,,2.0,,,8.6,0.0,0.2,2.4,0.2
World,2009,29.7,33.9,22.9,,2.0,,,8.6,0.0,0.2,2.4,0.2
World,2010,29.8,33.5,23.6,3,2.0,,1,8.2,0.0,0.3,2.4,0.2
World,2011,30.6,33.1,23.5,,1.8,,,8.0,0.0,0.3,2.4,0.3
World,2012,30.3,33.1,23.9,,1.7,,,7.8,0.1,0.3,2.5,0.4
World,2013,30.4,33.0,23.9,,1.7,,,7.6,0.1,0.3,2.6,0.4
World,2014,30.3,33.1,23.9,,1.7,,,7.5,0.1,0.3,2.6,0.5
World,2015,29.3,33.6,24.3,3,1.7,,1,7.4,0.2,0.4,2.6,0.6
World,2016,28.6,33.9,24.6,,1.7,,,7.3,0.2,0.4,2.7,0.6
