Entity,Year,Average monthly precipitation,Precipitation weighted by Population,Precipitation weighted by Area
Afghanistan,2002,2.137605401,2.41167567,2.121931985
Afghanistan,2003,2.275586301,2.802520325,2.259915343
Afghanistan,2004,1.863300401,2.291733345,1.845878178
Afghanistan,2005,2.090869563,2.413587156,2.088531722
Afghanistan,2006,1.874054673,2.310182963,1.862359849
Afghanistan,2007,2.12810606,2.85262076,2.116126136
Afghanistan,2008,1.946683134,2.911018491,1.928798521
Afghanistan,2009,2.422684454,3.189815138,2.406372883
Afghanistan,2010,1.71594202,2.271881401,1.696721579
Afghanistan,2011,1.943185104,2.48597899,1.931451317
Afghanistan,2012,2.128932806,2.747730204,2.110547914
Afghanistan,2013,2.072081688,2.655952258,2.055905825
Afghanistan,2014,2.287760214,3.00051545,2.274052978
Albania,1900,13.11951387,12.36052131,13.09596392
Albania,1901,12.1624999,11.31626203,12.14118939
Albania,1902,10.90826396,10.15832504,10.88292482
Albania,1903,10.23687522,9.357201613,10.21688114
Albania,1904,12.16638879,11.3650233,12.148735
Albania,1905,11.99659729,11.1899485,11.97616507
Albania,1906,11.79034734,10.93869374,11.7694993
Albania,1907,10.73513901,9.923550594,10.71432427
Albania,1908,10.99902777,10.19548946,10.97829463
Albania,1909,10.94534711,10.20381964,10.92138895
Albania,1910,12.44097233,11.72156781,12.41507695
Albania,1911,9.740277747,8.95167138,9.717135373
Albania,1912,10.98520847,10.02425776,10.96493286
Albania,1913,10.30395838,9.44613231,10.27756107
Albania,1914,10.68944438,9.794243344,10.67127221
Albania,1915,13.45326396,12.86026099,13.41983107
Albania,1916,11.21979185,10.37491384,11.19870072
Albania,1917,10.41277778,9.569001919,10.39321958
Albania,1918,10.58687492,9.6658034,10.5716908
Albania,1919,12.8879166,11.8459026,12.87226643
Albania,1920,10.6522222,9.604206299,10.6401315
Albania,1921,11.3055557,10.45047243,11.29109561
Albania,1922,11.55694453,10.59978297,11.53876106
Albania,1923,10.39694456,9.404093374,10.38533276
Albania,1924,10.64576399,9.712687252,10.62865564
Albania,1925,10.47694449,9.742666045,10.45143465
Albania,1926,10.34631952,9.572069842,10.32289115
Albania,1927,10.14368073,9.232936637,10.12488264
Albania,1928,10.70375013,9.60598126,10.69431543
Albania,1929,10.93513882,10.16235567,10.9094483
Albania,1930,11.18472211,10.22706949,11.17007858
Albania,1931,11.49180551,10.56344458,11.47281135
Albania,1932,9.858958284,9.035033588,9.836380495
Albania,1933,10.87062482,10.05768735,10.8471517
Albania,1934,10.72263889,9.926689374,10.70050317
Albania,1935,11.02763887,10.11549182,11.01051326
Albania,1936,11.81583329,10.93565428,11.79625403
Albania,1937,12.72340282,11.90782502,12.69589454
Albania,1938,10.68645819,9.71354225,10.66865744
Albania,1939,12.07423619,11.06488228,12.05748529
Albania,1940,12.38062501,11.46175242,12.35929035
Albania,1941,10.81125009,9.95009445,10.78783006
Albania,1942,10.87972232,9.97737398,10.85913332
Albania,1943,10.30958331,9.409260392,10.29072927
Albania,1944,11.90666676,11.10034825,11.88229063
Albania,1945,10.18618047,9.238719805,10.16743679
Albania,1946,12.31583333,11.75618041,12.29669091
Albania,1947,12.99291666,12.43820696,12.97131682
Albania,1948,8.350972176,7.205714584,8.330940308
Albania,1949,11.15722203,10.16153051,11.13763853
Albania,1950,10.67083323,9.833796381,10.65164567
Albania,1951,11.15694439,9.981244643,11.14774609
Albania,1952,11.34909721,9.996709704,11.31768972
Albania,1953,8.494722307,7.704018306,8.485994331
Albania,1954,12.31805567,10.37749243,12.31081789
Albania,1955,11.49930569,10.2955641,11.47347447
Albania,1956,12.68548616,11.85942685,12.67058218
Albania,1957,10.61083329,9.467042252,10.5841366
Albania,1958,12.56625009,11.53243129,12.53785635
Albania,1959,11.90826388,11.10714012,11.89098594
Albania,1960,13.48993047,12.49319573,13.45775871
Albania,1961,9.594097177,9.086551491,9.577895348
Albania,1962,13.15458337,12.53458195,13.13442143
Albania,1963,13.15749999,12.95330514,13.13230323
Albania,1964,11.91541668,11.51220504,11.8864893
Albania,1965,10.44729169,9.790904631,10.42212642
Albania,1966,13.30326382,12.62544164,13.27479069
Albania,1967,9.804791689,8.764677365,9.77726615
Albania,1968,11.73090259,10.64789558,11.69272939
Albania,1969,13.10159735,12.31597094,13.06551305
Albania,1970,12.61923587,12.51444517,12.58044603
Albania,1971,11.0023611,10.28572892,10.98140406
Albania,1972,11.11798624,10.24145786,11.0998358
Albania,1973,11.23756945,10.46007188,11.21767247
Albania,1974,11.94541649,11.40070812,11.91948863
Albania,1975,8.061111112,7.326986903,8.043293057
Albania,1976,11.93791668,11.2764687,11.90873365
Albania,1977,8.864236236,8.178718835,8.83820046
Albania,1978,11.41263874,10.61976958,11.37993307
Albania,1979,13.68229179,13.09531977,13.65842227
Albania,1980,11.59284735,11.16416005,11.56499547
Albania,1981,10.48993067,10.25409247,10.47892244
Albania,1982,9.373333255,7.874075003,9.366867609
Albania,1983,8.999097188,8.667161431,8.989152828
Albania,1984,9.828750034,9.216416198,9.806826849
Albania,1985,10.83409731,10.29055636,10.81995704
Albania,1986,9.384097258,8.75058781,9.370352664
Albania,1987,10.02673608,8.917093171,10.01306781
Albania,1988,9.247500042,8.551794585,9.235785045
Albania,1989,8.558819453,7.939175036,8.543013796
Albania,1990,9.166041573,8.565615262,9.156366923
Albania,1991,9.249444366,8.415387109,9.233249349
Albania,1992,8.783194641,7.991605026,8.760089436
Albania,1993,8.641805549,7.611205351,8.627145179
Albania,1994,9.131736199,7.958226769,9.119428781
Albania,1995,11.32618054,10.85386699,11.29821431
Albania,1996,11.29736098,10.55383434,11.27429723
Albania,1997,8.22659721,7.144487565,8.211409591
Albania,1998,10.45645821,9.743275474,10.43413171
Albania,1999,10.78965267,9.894099485,10.77264255
Albania,2000,9.730555455,8.770821513,9.712834532
Albania,2001,9.072013895,8.12090653,9.052146066
Albania,2002,10.61090275,9.524660177,10.60553056
Albania,2003,10.53194439,9.627347472,10.51977066
Albania,2004,11.56909736,11.10556112,11.54206082
Albania,2005,11.32833342,10.72641998,11.30400354
Albania,2006,10.05333344,9.003804468,10.03467002
Albania,2007,9.491111159,8.189014603,9.478734135
Albania,2008,9.358541608,7.986155213,9.341609438
Albania,2009,13.10930566,12.0461341,13.09231546
Albania,2010,14.05090284,13.30955676,14.02144866
Albania,2011,7.497638861,6.823419844,7.482531068
Albania,2012,10.59972219,10.33540713,10.58178252
Albania,2013,10.43812513,9.891679922,10.41603597
Albania,2014,10.60048608,10.48539825,10.57866392
Algeria,1900,1.301198282,5.084065111,1.263654104
Algeria,1901,1.392073573,4.769506905,1.355520583
Algeria,1902,1.117964478,4.204883936,1.085046903
Algeria,1903,0.899128611,3.372848652,0.880854765
Algeria,1904,1.133613386,4.923794635,1.094837905
Algeria,1905,0.798013271,4.025962843,0.766499381
Algeria,1906,1.217272641,4.80050916,1.181289425
Algeria,1907,1.192603436,4.308013874,1.157758293
Algeria,1908,1.079626266,5.191177349,1.038914029
Algeria,1909,0.987281419,3.374484526,0.961906587
Algeria,1910,0.840729899,4.20432135,0.808415992
Algeria,1911,0.898560694,4.189712675,0.865173508
Algeria,1912,0.901079236,3.363324563,0.869957234
Algeria,1913,0.536201209,2.605533865,0.513778168
Algeria,1914,0.900315186,4.199655635,0.866035212
Algeria,1915,0.847643441,4.577466524,0.810422291
Algeria,1916,0.902673694,4.655179203,0.868253632
Algeria,1917,0.912156519,4.136532958,0.875764087
Algeria,1918,0.898991999,4.589496572,0.862989988
Algeria,1919,0.719255466,3.940189106,0.68765205
Algeria,1920,0.672381928,3.435602065,0.649756506
Algeria,1921,0.871935985,4.77304988,0.834410505
Algeria,1922,0.76248634,3.101481916,0.73966439
Algeria,1923,0.983848555,4.930017133,0.944381171
Algeria,1924,0.668481656,3.304398306,0.642403555
Algeria,1925,0.869574549,4.272423195,0.831742716
Algeria,1926,0.472808353,2.852520204,0.451369847
Algeria,1927,0.894759955,4.160468259,0.863703355
Algeria,1928,1.002308742,4.784518702,0.966432082
Algeria,1929,0.75799473,4.45842153,0.723162902
Algeria,1930,0.829153003,3.981465802,0.804613391
Algeria,1931,0.651641297,4.166114504,0.618222498
Algeria,1932,0.692412178,3.221325027,0.664594642
Algeria,1933,1.072776153,4.287092044,1.037142139
Algeria,1934,0.903940278,4.870139928,0.8629995
Algeria,1935,0.721539811,4.698306492,0.684940944
Algeria,1936,0.688856359,4.655495911,0.654776021
Algeria,1937,0.543555815,2.967484003,0.519753989
Algeria,1938,0.753669984,3.657205463,0.721509944
Algeria,1939,0.789968774,4.576274825,0.754440441
Algeria,1940,0.661369049,3.652933555,0.631732817
Algeria,1941,0.751764247,3.659211615,0.717401337
Algeria,1942,0.710257609,3.892752187,0.678320606
Algeria,1943,1.027766393,4.180848768,0.994703047
Algeria,1944,0.621639343,3.56506096,0.595262318
Algeria,1945,0.542250194,3.055983414,0.519418788
Algeria,1946,0.815330794,5.000825757,0.776566408
Algeria,1947,0.506985753,3.579690934,0.481277672
Algeria,1948,0.679388172,3.876286616,0.646672784
Algeria,1949,0.725151249,3.936962655,0.690756199
Algeria,1950,0.898040592,4.426929238,0.861661372
Algeria,1951,0.944034932,4.102959116,0.915421736
Algeria,1952,0.853080601,4.259637361,0.821683197
Algeria,1953,1.032999608,3.858324812,1.006641197
Algeria,1954,0.833706092,4.535223113,0.798960111
Algeria,1955,0.812875683,4.128134523,0.778934623
Algeria,1956,0.765417641,4.002489708,0.73454463
Algeria,1957,1.147318499,5.289356529,1.107213477
Algeria,1958,0.891371975,4.22345683,0.857843196
Algeria,1959,0.782853237,4.643983208,0.74534287
Algeria,1960,0.745114168,3.792982626,0.715774231
Algeria,1961,0.491840357,2.78775964,0.469875653
Algeria,1962,0.870795277,4.703670429,0.830263672
Algeria,1963,0.951084112,4.568409799,0.908258007
Algeria,1964,0.86234485,3.984333094,0.8296672
Algeria,1965,0.845317132,3.801978726,0.817169935
Algeria,1966,0.628119632,3.137969505,0.606625171
Algeria,1967,0.785660614,4.319676563,0.752741917
Algeria,1968,0.636405153,3.557173978,0.610635481
Algeria,1969,0.966814989,5.619232001,0.920433063
Algeria,1970,0.568218189,3.573050028,0.542682852
Algeria,1971,0.815073184,4.335029607,0.778824336
Algeria,1972,0.829180329,5.239911922,0.783895076
Algeria,1973,0.726616899,5.097519811,0.684934448
Algeria,1974,0.733262099,3.9850499,0.70278754
Algeria,1975,0.694127633,4.055488469,0.65871292
Algeria,1976,1.128628024,5.055978039,1.086517064
Algeria,1977,0.539175448,3.066552518,0.51169515
Algeria,1978,0.557176035,3.650745591,0.532292583
Algeria,1979,0.960337628,4.671139952,0.927835896
Algeria,1980,0.840973849,4.188311039,0.806399372
Algeria,1981,0.487572209,2.972953523,0.465957697
Algeria,1982,0.879902419,4.858300916,0.838792893
Algeria,1983,0.422611241,2.355116691,0.405951216
Algeria,1984,0.6743267,4.907028908,0.637337718
Algeria,1985,0.67253708,3.55546932,0.643787203
Algeria,1986,0.903213307,4.533455703,0.864713054
Algeria,1987,0.609853632,3.366318555,0.581972965
Algeria,1988,0.768596798,3.406689652,0.745608909
Algeria,1989,0.64913544,2.759215611,0.626272959
Algeria,1990,0.855468386,3.727196242,0.81963242
Algeria,1991,0.85172814,3.609106598,0.820536649
Algeria,1992,0.763901249,4.413135331,0.729145261
Algeria,1993,0.623158664,3.137650294,0.596296744
Algeria,1994,0.836144614,3.115151201,0.810612854
Algeria,1995,0.713699259,3.569541231,0.685155502
Algeria,1996,0.900134658,4.320475697,0.866086429
Algeria,1997,0.783487508,3.852901246,0.750976407
Algeria,1998,0.536567136,3.537284894,0.510628376
Algeria,1999,0.857309718,4.192188893,0.826960449
Algeria,2000,0.542880562,2.662322571,0.520739386
Algeria,2001,0.507899102,3.180310723,0.481766997
Algeria,2002,0.775958235,3.475547409,0.752286612
Algeria,2003,0.94162178,4.516335188,0.904176446
Algeria,2004,0.890703553,4.362526469,0.851621529
Algeria,2005,0.82977459,3.454167041,0.810425796
Algeria,2006,0.782724435,3.581688051,0.754288121
Algeria,2007,0.715081969,4.335749705,0.681447354
Algeria,2008,0.807936186,3.523037431,0.774412416
Algeria,2009,0.952421936,4.395110795,0.914161591
Algeria,2010,0.777972286,4.060459508,0.748559773
Algeria,2011,0.870019516,4.438052309,0.833218798
Algeria,2012,0.720028296,4.149317371,0.684707065
Algeria,2013,0.667083333,4.609434322,0.630263283
Algeria,2014,0.718443599,3.712385188,0.686964006
Andorra,1900,8.141874909,8.270137924,8.135559924
Andorra,1901,7.749166608,7.893978878,7.745036844
Andorra,1902,6.452708364,6.596496793,6.448292272
Andorra,1903,7.213750005,7.417224482,7.20925009
Andorra,1904,5.546666622,5.685327221,5.542568396
Andorra,1905,7.16729176,7.322904676,7.162122086
Andorra,1906,7.292916656,7.48354295,7.288581068
Andorra,1907,8.377500057,8.605365718,8.3727578
Andorra,1908,7.233749866,7.335164063,7.229092264
Andorra,1909,6.123333216,6.236850855,6.11896609
Andorra,1910,8.081666589,8.172141072,8.075671128
Andorra,1911,6.91624999,7.043289698,6.911876225
Andorra,1912,6.178749919,6.356994095,6.174001023
Andorra,1913,8.189583302,8.371493539,8.18463688
Andorra,1914,7.912083268,8.047781109,7.906494476
Andorra,1915,8.481041551,8.616820756,8.476306763
Andorra,1916,7.021458507,7.205487705,7.015767632
Andorra,1917,8.148541689,8.394574979,8.144216891
Andorra,1918,7.86041677,8.062109648,7.856179115
Andorra,1919,7.480208158,7.564071958,7.475548066
Andorra,1920,9.19104135,9.499008201,9.186829423
Andorra,1921,6.971250057,7.115326927,6.968592601
Andorra,1922,6.388125181,6.46844297,6.382834337
Andorra,1923,6.701666594,6.805162126,6.696530947
Andorra,1924,5.643541813,5.777799836,5.638571324
Andorra,1925,6.361666679,6.493729434,6.356796612
Andorra,1926,7.259166837,7.366118263,7.254097586
Andorra,1927,6.826666594,6.896809104,6.821273667
Andorra,1928,5.772916675,5.951864171,5.767525408
Andorra,1929,6.156249881,6.196310571,6.151374834
Andorra,1930,8.558958292,8.764164425,8.552703061
Andorra,1931,6.315000057,6.500545463,6.310295978
Andorra,1932,9.957916737,10.24935477,9.953938021
Andorra,1933,6.723541617,7.153493161,6.717707994
Andorra,1934,6.774791598,6.895413152,6.76980949
Andorra,1935,7.090833187,7.232401618,7.08518962
Andorra,1936,8.146249771,8.295793442,8.14196896
Andorra,1937,6.799374819,6.957772129,6.793761959
Andorra,1938,7.868958473,8.083325705,7.864973948
Andorra,1939,7.922708511,8.050012005,7.918758844
Andorra,1940,6.516458392,6.72082396,6.510191542
Andorra,1941,7.29791677,7.471433502,7.291989365
Andorra,1942,6.259791493,6.48317895,6.255300708
Andorra,1943,7.179999948,7.360535137,7.175553149
Andorra,1944,6.542708397,6.883923711,6.539542189
Andorra,1945,5.580416679,5.658140548,5.575795593
Andorra,1946,6.89729178,7.001575839,6.893539637
Andorra,1947,6.884583116,6.914398838,6.879709729
Andorra,1948,6.086250067,6.270658348,6.082332767
Andorra,1949,5.842916727,6.17618013,5.839215211
Andorra,1950,5.428125083,5.635391279,5.423489889
Andorra,1951,8.839791656,8.916654379,8.834716595
Andorra,1952,6.824375033,6.879296928,6.820184685
Andorra,1953,6.848541737,7.044381667,6.845342331
Andorra,1954,5.66520834,5.952596347,5.660591404
Andorra,1955,8.3549999,8.370450459,8.350880096
Andorra,1956,7.004166484,7.202119873,6.999805999
Andorra,1957,6.992291689,7.279341641,6.988415056
Andorra,1958,6.446041584,6.550278944,6.440456943
Andorra,1959,9.441041827,9.610086105,9.435843936
Andorra,1960,10.20479178,9.985289856,10.20052674
Andorra,1961,6.515624881,6.534173448,6.510720787
Andorra,1962,7.875416636,7.988470275,7.871336669
Andorra,1963,9.635833502,9.502153827,9.631023191
Andorra,1964,8.17062521,8.054665913,8.167233259
Andorra,1965,7.607291579,7.794737286,7.601791591
Andorra,1966,7.399999976,7.411324368,7.393526472
Andorra,1967,6.220416546,6.213744636,6.217471931
Andorra,1968,7.953750134,7.977587535,7.947977096
Andorra,1969,8.27458334,8.455699931,8.270750693
Andorra,1970,6.333333254,6.517531862,6.329420934
Andorra,1971,8.198541641,8.346424092,8.193843371
Andorra,1972,8.617083549,8.706739774,8.613997846
Andorra,1973,6.219583392,6.280468241,6.21452576
Andorra,1974,7.816041708,7.857455171,7.809718423
Andorra,1975,7.098124981,7.288606704,7.095033468
Andorra,1976,7.176875114,7.35792164,7.173215925
Andorra,1977,8.494999886,8.640752399,8.491009552
Andorra,1978,6.298333406,6.494776098,6.291403438
Andorra,1979,8.354375005,8.446154743,8.348207747
Andorra,1980,6.258749962,6.434646612,6.252281438
Andorra,1981,7.333958507,7.440447972,7.328973079
Andorra,1982,8.138124824,8.294878226,8.134610044
Andorra,1983,6.266875148,6.361110916,6.263044991
Andorra,1984,7.123333335,7.321314176,7.117829196
Andorra,1985,5.906458259,6.034830075,5.899484303
Andorra,1986,5.376666725,5.614154088,5.370714421
Andorra,1987,6.703541636,6.895973842,6.702100037
Andorra,1988,6.82249999,7.017497934,6.81885325
Andorra,1989,5.253541708,5.415334882,5.25182623
Andorra,1990,6.727083206,6.836626092,6.722870449
Andorra,1991,6.810833335,7.0666356,6.807555085
Andorra,1992,8.48229146,8.734083609,8.476791471
Andorra,1993,7.058541656,7.406424526,7.054616886
Andorra,1994,6.999791861,7.170578662,6.99496578
Andorra,1995,6.628124952,6.799758049,6.621984253
Andorra,1996,8.863333225,9.148388401,8.858479758
Andorra,1997,6.357708216,6.431813648,6.354556947
Andorra,1998,6.273958206,6.393932775,6.268547851
Andorra,1999,6.883124828,7.048451304,6.878243973
Andorra,2000,7.144583464,7.155863628,7.138246069
Andorra,2001,5.97979176,6.04119173,5.975342471
Andorra,2002,7.71104157,7.821388875,7.706442892
Andorra,2003,7.074999928,7.263882635,7.071653625
Andorra,2004,7.33479178,7.585685414,7.329505914
Andorra,2005,6.825208187,7.068451967,6.820290815
Andorra,2006,5.880833268,6.098115595,5.876745001
Andorra,2007,6.133333325,6.272346782,6.1279238
Andorra,2008,7.033541679,7.134293875,7.028723899
Andorra,2009,6.465624928,6.540924222,6.460598004
Andorra,2010,7.307916641,7.424984499,7.303016697
Andorra,2011,6.975000024,7.261806,6.971364902
Andorra,2012,5.941666603,6.036890722,5.937206525
Andorra,2013,8.315208316,8.278200431,8.30861945
Andorra,2014,7.794375062,7.92642186,7.788768841
Angola,1900,8.048355367,7.401351094,8.064719032
Angola,1901,7.455580926,6.761042193,7.466715389
Angola,1902,8.320214344,7.576142842,8.333833551
Angola,1903,8.184757609,8.239604624,8.212886535
Angola,1904,8.233225149,7.619102979,8.248254321
Angola,1905,7.345919485,7.217024133,7.367409869
Angola,1906,8.449753622,8.309399948,8.471874787
Angola,1907,8.809405066,8.509141513,8.823344684
Angola,1908,8.420088124,8.018429784,8.443740331
Angola,1909,10.03777643,10.04896683,10.05753897
Angola,1910,9.28736577,9.036628871,9.313369621
Angola,1911,7.705062111,6.858887111,7.732491085
Angola,1912,11.70001206,12.04466646,11.72498125
Angola,1913,7.884156648,7.282160976,7.904677551
Angola,1914,7.097740385,6.492549383,7.110976598
Angola,1915,7.245877417,7.046959693,7.26327244
Angola,1916,9.708896233,10.16497654,9.735173282
Angola,1917,8.394194725,8.374202252,8.409407426
Angola,1918,7.87379207,7.141270986,7.893895666
Angola,1919,8.306057672,7.682219409,8.325118613
Angola,1920,8.099208733,7.849315403,8.125498433
Angola,1921,8.966374208,8.353192747,8.980972043
Angola,1922,8.920909474,8.616638183,8.954387464
Angola,1923,10.96444314,11.15672683,11.00063788
Angola,1924,9.765927498,10.48425311,9.804445526
Angola,1925,9.837331727,8.825825141,9.853857884
Angola,1926,10.02957933,8.991783805,10.06259254
Angola,1927,10.05946115,8.440283089,10.1140545
Angola,1928,7.821127816,7.373329669,7.846999623
Angola,1929,8.422407829,8.219949356,8.454863854
Angola,1930,7.034407053,6.986260898,7.057401157
Angola,1931,8.462932691,7.983899341,8.486134751
Angola,1932,7.130024042,6.674908631,7.156688056
Angola,1933,9.241067721,10.27200996,9.278587606
Angola,1934,9.521562484,8.53138776,9.533403244
Angola,1935,10.17094751,10.09110441,10.2188713
Angola,1936,7.961870979,7.147726682,7.983306488
Angola,1937,9.336798866,8.744698336,9.351179647
Angola,1938,9.412896646,9.043593068,9.436274806
Angola,1939,8.012912679,6.652928187,8.03446445
Angola,1940,8.608549687,8.3345164,8.630400945
Angola,1941,7.086804891,6.784455153,7.112941342
Angola,1942,8.126125824,8.112205572,8.14846811
Angola,1943,8.712660234,7.740363977,8.731755606
Angola,1944,9.313036859,9.780001057,9.337815288
Angola,1945,9.298056907,9.73384442,9.322607435
Angola,1946,8.305697116,8.583751386,8.334485348
Angola,1947,9.509961945,9.731143856,9.532633254
Angola,1948,8.324146626,6.965628305,8.35028511
Angola,1949,8.496864989,9.319219756,8.533156909
Angola,1950,9.643609774,9.233963497,9.65999619
Angola,1951,9.985510846,9.826515285,10.00091612
Angola,1952,8.280705133,8.382529782,8.311514625
Angola,1953,8.248555708,6.959197344,8.266063232
Angola,1954,9.185090147,8.725835871,9.204588331
Angola,1955,8.183337339,7.899313015,8.212347541
Angola,1956,8.429951919,7.452283875,8.449502511
Angola,1957,9.54743388,9.520371196,9.571979176
Angola,1958,7.47201522,6.258296874,7.483845659
Angola,1959,8.892766425,9.068504337,8.922654234
Angola,1960,9.482365791,9.904607631,9.518395416
Angola,1961,10.41290664,10.71715902,10.44524407
Angola,1962,8.773649838,8.736356832,8.80239998
Angola,1963,9.514699526,8.973276894,9.532202981
Angola,1964,7.732906663,7.85180997,7.763178561
Angola,1965,8.187720349,8.304546976,8.209761304
Angola,1966,8.35533654,8.341907227,8.386630372
Angola,1967,9.904178686,8.931252753,9.914546624
Angola,1968,8.863826139,8.59991881,8.886924096
Angola,1969,9.965258435,9.730118837,9.993728325
Angola,1970,7.935300471,7.993855383,7.964528962
Angola,1971,7.98655249,7.675020033,8.007473466
Angola,1972,8.2154988,7.639436814,8.2396168
