Entity,Year,"Agriculture GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Manufacturing & Industry GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Building & Construction GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Transport & Comunications GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Private services GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Public services GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Services of dwellings GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Labor Productivity (GDP/worker) (Schön and Krantz (2007, 2012, 2015))"
Sweden,1846,310174514.9,49779531.92,42005608.7,22807344.15,135880511.8,59201789.27,133844112,
Sweden,1847,316938463.7,54901921.96,42885709.05,22696251.73,144910306.2,62958526.77,134624593.8,
Sweden,1848,324603643.4,49692992.56,38205458.82,22699426.85,153947090.4,69119300.56,135352831.8,
Sweden,1849,356067629.4,56313004.53,35601869.85,26365355.68,151380978.9,66610772.21,139037852.9,
Sweden,1850,362715210.2,67806317.29,42183941.39,26075810.17,159626417,66972304.58,139792056.5,382.202
Sweden,1851,345198604.1,65350313.76,56452290.95,29306032.95,153133107,66561956.9,141737423.5,366.53
Sweden,1852,330510449.2,64046187.79,59477527.74,27253845.25,157254120.5,65859229.71,141581152.3,350.637
Sweden,1853,334786534,64592908.6,63480505.93,29399764.68,163646534.7,62923735.26,144740429.7,351.573
Sweden,1854,344356608.9,63980730.92,63671931.59,31551296.77,166546281.4,66682821.08,144911628.3,355.617
Sweden,1855,376683395.5,80203229.59,68936416.06,31269759.11,182744179.2,60213552.45,150141374.8,378.949
Sweden,1856,355177566.6,81480342.98,67836876.3,32488458.83,196987381.3,59105941.28,152373360.6,362.667
Sweden,1857,373120501.6,89976002.46,64517326.99,31864706.15,204367468.3,60553545.31,152347902.9,375.922
Sweden,1858,405968662.8,80777590.13,62427908.69,27559457.79,198522336.5,68282548.99,153083098.8,398.333
Sweden,1859,437389729.5,85870151.18,65772174.83,32533264,202581414.1,67917659.62,154427688.9,423.116
Sweden,1860,449151169.5,91204622.53,69866486.9,34188335.3,212493584.4,68381989.37,158134114.8,432.672
Sweden,1861,441005153.1,84177775.42,64193398.13,36436506.39,222223755.7,63096515.13,147966963,425.589
Sweden,1862,406258970.6,98885873.11,62244023.57,33888932.87,212270994.8,69780792.55,156097931.6,400.898
Sweden,1863,451117866.4,98132144.73,68539469.79,34838254.79,217854346.6,73689559.6,154603341.3,432.703
Sweden,1864,453270074.1,101941301.5,75902612.2,34319059.87,229563345.3,79647311.68,158254319.5,433.795
Sweden,1865,484415376.8,108388966.5,65542466.85,37391045.7,234120991.9,74134670.1,161581594.8,456.254
Sweden,1866,464568182.2,114648504.7,66246620.07,41704381.11,226145614.9,78230538.64,167539188,443.579
Sweden,1867,491395550.7,116805370.7,67449145.7,44538418.03,232903984.8,75281318.06,163217394.2,462.383
Sweden,1868,398925331.9,114721662.8,61601138.06,48090754.6,224618093.2,73156587.83,164058584.1,396.804
Sweden,1869,448070825,119217006.6,63678422.99,51658715.87,222218109.5,86135802.17,163818755.3,431.514
Sweden,1870,547109975.9,130939860.8,68377763.36,52811521.08,250611794.1,85689481.52,167648199.1,503.1
Sweden,1871,571921475,139166501,63439351.59,56320956.57,265672701.5,86999880.77,166830191.6,523.858
Sweden,1872,573733612.8,155912459.9,68464299.97,61620594.06,273707688.1,90552048.82,173597541.3,523.424
Sweden,1873,557472146.1,158102524.4,93868080.9,68706533.36,276166624.2,95750973.96,174692320.1,506.585
Sweden,1874,577465629.9,163985783.4,117947597.2,79119489.44,288059793.2,89996302.21,177851796.1,522.757
Sweden,1875,544596555.2,179420152.5,99134097.1,72804197.14,286131520.1,88784739.49,180451188.3,491.298
Sweden,1876,604141621,185029974.2,114114747.8,81052906.48,301461278.6,93727978.04,182585499.1,543.268
Sweden,1877,571204357.5,191503724.1,117227674.4,84436944.04,299276096.8,97422921.73,183328358.2,511.887
Sweden,1878,544737504.9,184649201.2,121998840.2,73903501.01,295680507.5,99026272.26,186161106,486.682
Sweden,1879,623374671.7,184565518.4,120939838.1,74217449.84,321813551,90603883.8,190109516.2,554.977
Sweden,1880,602386419.6,195049641.2,107541213.2,86769357.53,304042525,89470590.2,188074792.4,534.464
Sweden,1881,599669103.8,212287671.6,116065496.2,90381595.01,329091606.1,88548133.75,194202623.8,533.346
Sweden,1882,573807263,224142533.5,88269933.99,98962018.79,303195868.7,90464414.34,193500156.1,511.715
Sweden,1883,642120213.5,223880697.8,101887499.2,101008343.8,341345438.7,89632018.91,197202776.2,573.538
Sweden,1884,599270979.4,228168471.8,122440617.1,102390576.2,328028022.7,91951652.82,199996907.3,535.89
Sweden,1885,628956773.9,237872333.6,109926770.7,97637377.43,348499749.8,91326644.94,202690399.7,562.958
Sweden,1886,614869691,248814280.2,134807911.8,94614410.28,350898864.9,94594612.05,208723038.1,551.281
Sweden,1887,607156939,252963125.5,101332348.9,96090341.66,340935875.5,97290137.33,209030260.8,545.917
Sweden,1888,633508728.8,253860639.5,104047232.1,105577529.3,337764840,93583605.59,208205831.3,571.437
Sweden,1889,609699251.9,274892730,115533739,114510990.3,349901126.3,93026761.12,212133150,550.845
Sweden,1890,619124607.9,287292108.8,107682342.7,117538047.5,374309634.5,96801867.28,214466083.4,560.605
Sweden,1891,685360032.5,306234690,93625361.92,113673722.8,403421282.3,102045191.6,217372835.2,621.689
Sweden,1892,663787454.2,319470646.3,88799769.44,112834927.3,393561864,106059115.2,218250959.5,603.539
Sweden,1893,692307146.2,335724961,85772961.1,112120537.8,399579719.3,109473321.1,218703797.7,630.709
Sweden,1894,681804096.8,355803103.5,98412644.26,117059815.1,395845586.7,106438799.4,220415313.7,621.434
Sweden,1895,705895920.6,386198352.8,130812299.5,124286021.3,408218163.3,110623813.3,226090471.2,644.107
Sweden,1896,731643853.6,443739243.9,97402846.77,138065562.2,421003724.1,107508898.9,227036848.4,668.511
Sweden,1897,737674167.1,466068056.3,132420084.1,149448436.2,434694415.4,116456737.3,235147379.9,674.55
Sweden,1898,743082422.3,499774920.7,114015748.4,151944987.4,503213546.5,122669289.1,235791780.5,680.009
Sweden,1899,732199609.6,524710349.2,135787045.1,153126751.7,541142741.2,125700230.8,237428588.7,670.749
Sweden,1900,693607144.5,542439397.5,154548617.1,162484544.5,537910666.1,138530497.1,245756905.2,636.845
Sweden,1901,741352865.9,562865549.9,141245633.2,170020622.5,549466184.6,141701260.9,252174225.7,685.335
Sweden,1902,694749867.2,583562431.3,134948502.6,174356568,555554351.4,137742840.9,259464125.9,647.591
Sweden,1903,714808445.4,620386229.4,184518100.5,195092801.9,569360487.6,150882641.7,250575334.7,671.961
Sweden,1904,724077135.1,646192950.8,178843442,203179937.7,584778989.2,148292889.2,262719043.7,685.986
Sweden,1905,648338099.4,671021265.1,196343167.7,216575423.9,581963901.2,148563054.5,262100271.9,619.117
Sweden,1906,715982454,750040286.2,195414701,230230128.3,650672446.2,152641845,269156478.1,689.391
Sweden,1907,811145845.9,805281192.7,161563236,235646285.3,755506533.6,151449675.8,265431788,787.54
Sweden,1908,799316513.5,788723387.1,149305970.6,229318528.8,718283935.7,156139194.1,273452135.8,779.214
Sweden,1909,831062879.9,767841212.7,145522255.5,228547354.8,747531231,160990964.9,274658043.4,812.701
Sweden,1910,850509040.8,866158039.2,147767768.1,223586955.7,715895196.4,153440556.1,284041602.9,838.731
Sweden,1911,826634938.3,906941377.6,189942624.5,243924028.5,735545270.4,150869826.6,290608876.6,817.533
Sweden,1912,822214267.9,969918185.2,205064245.8,250414982.7,780963582,159952995.3,301415754.6,815.714
Sweden,1913,861664406,1045085320,233986980,321149596,796649102.3,162527443,308330867.5,858.071
Sweden,1914,902610679.6,1080158670,227661618.6,329459047.7,803438196,173024214.9,321597859,901.477
Sweden,1915,848529076.2,1140881634,175380848.5,371930730.3,909018018.1,193166928.4,326082830.5,849.849
Sweden,1916,868605817.8,1326345437,151307600.9,359840538.4,891749015.3,239584111.8,350458562.4,872.121
Sweden,1917,866455949.1,1315578376,122002795.7,240498461,866383491.9,214937768.4,378091559.4,870.32
Sweden,1918,691468000.7,1134272531,128178681.4,232987578.6,833231687.6,249556602.1,422291980.9,695.337
Sweden,1919,709574485.9,1038535797,143598203.6,251422933.2,917357028.6,216826760.2,497375806.4,714.984
Sweden,1920,798207074.7,1097245443,134120744.6,284613599.7,972527958.6,208008961.1,571638676.1,806.379
Sweden,1921,842974534.2,932050138.7,174185021.2,278592789.2,868480206,210760581.6,608859371.6,860.14
Sweden,1922,901311325.6,1059670932,222767769.5,299565273.2,902869418.2,218791664.3,620795838.2,929.38
Sweden,1923,853635169.2,1155275512,197147013,326806193.4,1003505297,223485490.1,619905182.1,886.472
Sweden,1924,876795501.7,1283202193,210287671.9,338421351.4,1078090870,225041119.7,685910705.5,916.587
Sweden,1925,817377318.7,1346966731,249562939.4,370936913.4,1079778241,225699570.6,728344217.1,860.599
Sweden,1926,918129796.9,1431043576,229317437.3,398953390.9,1136576024,217966122.8,737313991.1,969.23
Sweden,1927,905797443.4,1521809755,237982236.3,435748643.8,1140901215,223468812.8,783285537.8,957.429
Sweden,1928,860720746.2,1600196302,256443502.8,446625088.1,1222491261,222631915.6,803684609.3,912.653
Sweden,1929,914765110.1,1758039605,264556788.6,484640358.3,1279799819,222372771.8,825671227,971.931
Sweden,1930,952636468.9,1822143022,328122667.8,498914426.1,1334683527,223155159.3,862019890.2,1014.833
Sweden,1931,1027186604,1643538488,291388479.8,489377431,1299149645,229910962,874689118.9,1120.526
Sweden,1932,933249606.4,1594904422,261941875.3,503909209.2,1217635182,229960628.5,875458992.9,1035.884
Sweden,1933,1018739812,1604589694,281305394.1,505543969.5,1216368161,229661726.6,858853777.8,1143.891
Sweden,1934,941839685.8,1954271979,271463095.1,547648718.6,1333332727,218709566.5,850539792.2,1044.544
Sweden,1935,928470495.1,2115612121,301990276.6,584055783.8,1403281311,233734863.1,858807354.2,1029.28
Sweden,1936,924196699.2,2277904555,350743388.8,607629183.1,1400917489,232696479.6,862494368.4,1028.647
Sweden,1937,940104959.3,2429314252,302361287.5,637677923.3,1428003603,244122038.5,857865182.5,1059.588
Sweden,1938,909425281.5,2576630774,360030733.1,655212654.3,1464283486,246789834.7,883026516.9,1028.564
Sweden,1939,891289434.7,2771146565,378179731.1,703213084.8,1648633678,309805578.1,903442913.5,1019.961
Sweden,1940,823639259.5,2573000715,246529409.3,697948696.1,1441111960,460618922.1,944887077.4,964.996
Sweden,1941,748814552.4,2539958435,266949721.7,744113251.7,1189408728,529899540.4,964605843.1,913.908
Sweden,1942,698451688.5,2594960026,326366147.1,786416884.1,1131975782,542332910.1,979498336.2,889.811
Sweden,1943,770002426.5,2729441504,336117917.1,776116536.1,1187193734,559719393.8,1012225438,1025.663
Sweden,1944,816164694.1,2885484369,341395581.2,790964360.2,1275424204,588965118.4,997078434.2,1093.736
Sweden,1945,816454435,2970685744,437465621.2,837911071.4,1187431130,544175222.4,1102555273,1103.53
Sweden,1946,841071160.8,3398612516,416196923.5,968765595.3,1514963182,455386014.5,1151764726,1183.12
Sweden,1947,826513120.7,3630196320,494850395.5,1061140188,1862859218,464297538.5,1235027621,1190.68
Sweden,1948,731071925.2,3890499088,464030094.6,1127658723,1833636340,471976483.9,1301588291,1076.3
Sweden,1949,814535115.3,3902312782,484463551.4,1279806128,1863788765,473950326.2,1360988158,1219.828
Sweden,1950,850269481.2,4315780888,530591676.9,1200917134,2038396690,494060621.8,1437001625,1318.358
Sweden,1951,801842165,4352641434,504775320.7,1278072126,2040402780,501669615.5,1415548703,1282.92
Sweden,1952,846502801.8,4337989912,554605244.3,1320487328,2130169208,538320542.2,1462839547,1399.443
Sweden,1953,814893011.7,4440171470,612009372.1,1298215792,2144129325,551551874.3,1449698959,1394.024
Sweden,1954,832848934.9,4664099592,658909715.3,1400955757,2288398100,569541774.6,1481180354,1476.573
Sweden,1955,776081470.9,4872255877,669865235.1,1493572148,2355277490,578699317,1504365739,1428.389
Sweden,1956,808568405.2,5125656038,695580609.3,1497999240,2474863841,604801807.4,1540117716,1547.75
Sweden,1957,805996248.5,5345525734,707208899,1546968291,2527065454,615427562.5,1555064638,1607.785
Sweden,1958,789122141.9,5359829462,740170765.4,1581951666,2586288542,634790127.4,1563374617,1643.985
Sweden,1959,762544426.8,5607928633,805706572.3,1657509928,2733445569,666013981.7,1614335965,1663.103
Sweden,1960,787591030.3,5941848555,788244184.9,1784974327,2767639235,665737949,1623105229,1803.04
Sweden,1961,810887204.8,6446570997,848611854,1810615073,2979308626,698888064.6,1689189264,1932.814
Sweden,1962,804114684.6,6870199843,877239328.7,1851785884,3080858438,710642763.3,1729250552,2001.056
Sweden,1963,748604404.8,7184441329,931150734.9,1881701523,3268174290,754971938.6,1830337599,1950.826
Sweden,1964,807804221.6,7969121261,973263208.5,1992105414,3462544952,763913466.2,1893844876,2211.874
Sweden,1965,793108100.1,8515178232,997668463.8,2072790405,3579895675,783012998.2,1968241001,2290.424
Sweden,1966,740559085.7,8692573654,1007732658,2112553804,3615970931,792199703.1,1992434095,2233.566
Sweden,1967,792127660.2,8893824912,1066268799,2135714237,3791524908,834683448.4,2056184767,2500.183
Sweden,1968,779159467.8,9374841901,1060912777,2257729159,3896560799,873367851.6,2094019780,2579.335
Sweden,1969,733748583.9,9710098857,1123525909,2384242821,4107982480,944941070.4,2210287161,2553.873
Sweden,1970,773081332.2,10269757520,1136956453,2604303898,4227564841,1015266793,2246753337,2836.79
Sweden,1971,867285429,10360342020,1116577785,2639210314,4292706990,1043853184,2302999048,3377.582
Sweden,1972,777650178.9,10299564140,1139688539,2683521265,4408456670,1064077832,2340608124,3226.29
Sweden,1973,759798271.9,10908126290,1112332162,2845526436,4549633445,1064545080,2375040519,3338.464
Sweden,1974,833642808,11693456780,1040565565,3407889389,4851803891,1135766256,2484517344,3710.105
Sweden,1975,774583747.9,12001301670,1112635274,3238235378,5052512877,1201482566,2575824516,3562.39
Sweden,1976,766508077.8,11793235030,1123303844,3373361486,5179692362,1238172598,2593680470,3676.447
Sweden,1977,698642036.7,11052380540,1102291871,3459532859,5102613920,1262292380,2611890710,3457.681
Sweden,1978,725806516.1,10964500160,1099406079,3579302853,5143250213,1317663813,2696541954,3587.922
Sweden,1979,717824976.9,11611636670,1096476264,3868675133,5274626594,1349454470,2703627607,3629.203
Sweden,1980,737455794.4,11635846980,1084701510,4021473326,5293055583,1377443038,2706091629,3818.512
Sweden,1981,739081072,11403001370,1031211551,4050573047,5360890742,1405826865,2743751368,3969.541
Sweden,1982,778337746.9,11446881290,1060159495,4138934876,5585923070,1447261843,2807701784,4256.262
Sweden,1983,832059524.1,11892939330,1008133975,3988162631,5628876355,1446167540,2775658956,4644.683
Sweden,1984,831869172.9,12805489760,1044649819,4052112355,5735894801,1462021438,2769785247,4693.044
Sweden,1985,799291770.9,13022682140,1030360909,4069697384,5901621397,1462332923,2776243922,4611.686
Sweden,1986,801992183.1,13329792570,1059475999,4289017163,6315499993,1489970476,2832339353,4750.758
Sweden,1987,760259260.3,13574670740,1092331497,4541739480,6688894887,1478599982,2851903737,5008.806
Sweden,1988,756319954.4,13801726740,1116491791,4785102738,7022648104,1491508609,2885242134,5053.586
Sweden,1989,823646019.4,13948715280,1208971359,4956963888,7275639146,1523793719,2916378030,5776.752
Sweden,1990,845460484.4,13503700750,1211224359,5399997211,7240108569,1514589524,2908982473,5995.605
Sweden,1991,765423237.8,12738076800,1172522938,5257912052,7196829643,1502463652,2899362803,5677.578
Sweden,1992,760755392.8,12708874500,1131625295,5424949188,7131499513,1502592239,3007551705,5843.276
Sweden,1993,763899726.2,12832401500,1017360493,5091298686,6836660295,1448122645,2984600888,6004.032
Sweden,1994,720600178.9,13971432740,949634222.7,5100198119,7017140233,1398713562,2963951354,5814.256
Sweden,1995,706703932.2,15188993950,922007037.9,5381842540,7178077509,1361862088,2915891311,5831.873
Sweden,1996,696704656.3,15446972120,913622227.4,5546710375,7246806372,1350542466,2928264019,6045.866
Sweden,1997,683166948.6,15991968870,852123439.2,5731767851,7354939948,1288167842,2883470934,6448.204
Sweden,1998,635988462.2,16788728170,851449741.9,5764764860,7625764297,1276775023,2863444054,6206.569
Sweden,1999,634014714.5,17619900480,854033837.2,5943595723,7972824199,1262381754,2850309694,6244.452
Sweden,2000,637058968.2,18727702060,853056804.7,6125524731,8380255081,1225763481,2866270711,6086.679
Sweden,2001,666862281.1,18710173430,897882719,6051729502,8829537790,1238081598,2907264594,6876.01
Sweden,2002,671661022.5,19593101610,892707898.2,5982197510,8980731101,1230798802,2830457225,7103.879
Sweden,2003,673200732.8,20147367920,862447854.7,5995133448,9308930105,1231926588,2832034783,7588.095
Sweden,2004,709757572.4,21626041820,873072918.6,6004930520,9601348368,1216877667,2701884287,8310.135
Sweden,2005,679346332.7,22409936220,888858267.8,6125901901,10052317350,1205462763,2673868101,8285.702
Sweden,2006,748667867.9,23071062110,925138791.3,6332103593,10668727740,1184433396,2788288211,9314.257
Sweden,2007,777352837.5,23886888210,970187661.9,6523557372,11086334280,1173230097,2746077273,9904.648
Sweden,2008,784490714.7,22491798180,912092972.4,6628278598,11220395690,1171189525,2874045998,9793.971
Sweden,2009,792217644.3,19477304220,893285228.2,6676713083,11549869020,1246115259,2983626586,9964.588
Sweden,2010,710761348,22761815890,891432255.9,6997358679,11456794320,1204203277,2736929294,8742.379
