Entity,Year,Living Planet Index
Asia-Pacific,2011,0.458939869
Asia-Pacific,2012,0.479994571
Asia-Pacific,2013,0.487517008
Asia-Pacific,2014,0.525624257
Asia-Pacific,2015,0.524613442
Asia-Pacific,2016,0.547602427
Europe and Central Asia,1970,1
Europe and Central Asia,1971,0.997486616
Europe and Central Asia,1972,1.01192744
Europe and Central Asia,1973,1.033593332
Europe and Central Asia,1974,1.052216185
Europe and Central Asia,1975,1.064158251
Europe and Central Asia,1976,1.071422441
Europe and Central Asia,1977,1.079318758
Europe and Central Asia,1978,1.113177077
Europe and Central Asia,1979,1.132077234
Europe and Central Asia,1980,1.114801897
Europe and Central Asia,1981,1.082924693
Europe and Central Asia,1982,1.05267218
Europe and Central Asia,1983,1.053306736
Europe and Central Asia,1984,0.993747814
Europe and Central Asia,1985,1.031060653
Europe and Central Asia,1986,1.037658395
Europe and Central Asia,1987,1.03955134
Europe and Central Asia,1988,1.087754239
Europe and Central Asia,1989,1.151159735
Europe and Central Asia,1990,1.189700781
Europe and Central Asia,1991,1.193476527
Europe and Central Asia,1992,1.154208051
Europe and Central Asia,1993,1.12540589
Europe and Central Asia,1994,1.096256744
Europe and Central Asia,1995,1.08553023
Europe and Central Asia,1996,1.061806378
Europe and Central Asia,1997,1.010461555
Europe and Central Asia,1998,0.994378692
Europe and Central Asia,1999,0.967670889
Europe and Central Asia,2000,0.949907109
Europe and Central Asia,2001,0.960713976
Europe and Central Asia,2002,0.909974287
Europe and Central Asia,2003,0.930908989
Europe and Central Asia,2004,0.949613022
Europe and Central Asia,2005,0.962425469
Europe and Central Asia,2006,0.96756804
Europe and Central Asia,2007,0.972939863
Europe and Central Asia,2008,0.958964817
Europe and Central Asia,2009,0.933311549
Europe and Central Asia,2010,0.899347657
Europe and Central Asia,2011,0.864450249
Europe and Central Asia,2012,0.829309058
Europe and Central Asia,2013,0.815283356
Europe and Central Asia,2014,0.781957133
Europe and Central Asia,2015,0.792109488
Europe and Central Asia,2016,0.761268799
Freshwater,1970,1
Freshwater,1971,0.978583836
Freshwater,1972,0.98415964
Freshwater,1973,0.966372532
Freshwater,1974,0.925651845
Freshwater,1975,0.892381274
Freshwater,1976,0.853046468
Freshwater,1977,0.823389121
Freshwater,1978,0.809869339
Freshwater,1979,0.788822277
Freshwater,1980,0.758337047
Freshwater,1981,0.752246789
Freshwater,1982,0.716386671
Freshwater,1983,0.680120395
Freshwater,1984,0.63217455
Freshwater,1985,0.616110827
Freshwater,1986,0.584417937
Freshwater,1987,0.537473384
Freshwater,1988,0.495230788
Freshwater,1989,0.481652616
Freshwater,1990,0.493746526
Freshwater,1991,0.452103906
Freshwater,1992,0.436449809
Freshwater,1993,0.431479772
Freshwater,1994,0.395064799
Freshwater,1995,0.383397102
Freshwater,1996,0.357649201
Freshwater,1997,0.332933267
Freshwater,1998,0.304820366
Freshwater,1999,0.289610974
Freshwater,2000,0.277155442
Freshwater,2001,0.259412118
Freshwater,2002,0.236002374
Freshwater,2003,0.230914646
Freshwater,2004,0.23345722
Freshwater,2005,0.209693612
Freshwater,2006,0.202308865
Freshwater,2007,0.192347982
Freshwater,2008,0.191034303
Freshwater,2009,0.191009743
Freshwater,2010,0.186605302
Freshwater,2011,0.167953369
Freshwater,2012,0.154784996
Freshwater,2013,0.149574758
Freshwater,2014,0.153329664
Freshwater,2015,0.156500523
Freshwater,2016,0.155070688
Latin America and the Caribbean,1970,1
Latin America and the Caribbean,1971,1.006943028
Latin America and the Caribbean,1972,1.023271879
Latin America and the Caribbean,1973,0.955478379
Latin America and the Caribbean,1974,0.8776166
Latin America and the Caribbean,1975,0.853595461
Latin America and the Caribbean,1976,0.770722786
Latin America and the Caribbean,1977,0.717865966
Latin America and the Caribbean,1978,0.702724778
Latin America and the Caribbean,1979,0.666189656
Latin America and the Caribbean,1980,0.655045673
Latin America and the Caribbean,1981,0.630261185
Latin America and the Caribbean,1982,0.590107351
Latin America and the Caribbean,1983,0.528402732
Latin America and the Caribbean,1984,0.482687003
Latin America and the Caribbean,1985,0.479843028
Latin America and the Caribbean,1986,0.445724961
Latin America and the Caribbean,1987,0.403936836
Latin America and the Caribbean,1988,0.367367168
Latin America and the Caribbean,1989,0.355708542
Latin America and the Caribbean,1990,0.34612072
Latin America and the Caribbean,1991,0.333903152
Latin America and the Caribbean,1992,0.313823279
Latin America and the Caribbean,1993,0.303481842
Latin America and the Caribbean,1994,0.282345371
Latin America and the Caribbean,1995,0.260136889
Latin America and the Caribbean,1996,0.245082364
Latin America and the Caribbean,1997,0.233291706
Latin America and the Caribbean,1998,0.215992577
Latin America and the Caribbean,1999,0.198245923
Latin America and the Caribbean,2000,0.187787316
Latin America and the Caribbean,2001,0.183908732
Latin America and the Caribbean,2002,0.162716629
Latin America and the Caribbean,2003,0.158244405
Latin America and the Caribbean,2004,0.152415866
Latin America and the Caribbean,2005,0.132426547
Latin America and the Caribbean,2006,0.126916375
Latin America and the Caribbean,2007,0.116543049
Latin America and the Caribbean,2008,0.105642681
Latin America and the Caribbean,2009,0.100934035
Latin America and the Caribbean,2010,0.09334209
Latin America and the Caribbean,2011,0.077071711
Latin America and the Caribbean,2012,0.070828663
Latin America and the Caribbean,2013,0.065063711
Latin America and the Caribbean,2014,0.06246798
Latin America and the Caribbean,2015,0.067240504
Latin America and the Caribbean,2016,0.063339295
North America,1970,1
North America,1971,0.966324102
North America,1972,1.00074528
North America,1973,0.940590487
North America,1974,0.8977932
North America,1975,0.8796133
North America,1976,0.862857948
North America,1977,0.856364465
North America,1978,0.877559885
North America,1979,0.875023029
North America,1980,0.845808388
North America,1981,0.8543585
North America,1982,0.840539601
North America,1983,0.829806782
North America,1984,0.844932487
North America,1985,0.815008321
North America,1986,0.81573142
North America,1987,0.820988537
North America,1988,0.790216062
North America,1989,0.79101915
North America,1990,0.787449694
North America,1991,0.790227783
North America,1992,0.764403804
North America,1993,0.783124956
North America,1994,0.777871799
North America,1995,0.768508476
North America,1996,0.717451466
North America,1997,0.703280118
North America,1998,0.695400662
North America,1999,0.663276727
North America,2000,0.656796696
North America,2001,0.651494462
North America,2002,0.633308619
North America,2003,0.671285421
North America,2004,0.675674152
North America,2005,0.684613031
North America,2006,0.674097892
North America,2007,0.683002145
North America,2008,0.69528134
North America,2009,0.680726772
North America,2010,0.679526553
North America,2011,0.674184869
North America,2012,0.652591611
North America,2013,0.631352393
North America,2014,0.658816514
North America,2015,0.68292616
North America,2016,0.667051981
Reptiles,1970,1
Reptiles,1971,0.995715505
Reptiles,1972,0.996179387
Reptiles,1973,0.972005818
Reptiles,1974,0.96404622
Reptiles,1975,0.972280833
Reptiles,1976,0.978696341
Reptiles,1977,0.986857938
Reptiles,1978,0.971839364
Reptiles,1979,0.947696764
Reptiles,1980,0.915100806
Reptiles,1981,0.903860924
Reptiles,1982,0.898946529
Reptiles,1983,0.891613054
Reptiles,1984,0.92897958
Reptiles,1985,0.947472724
Reptiles,1986,0.96197692
Reptiles,1987,1.016666075
Reptiles,1988,1.035033159
Reptiles,1989,1.028126939
Reptiles,1990,1.042717704
Reptiles,1991,0.988578912
Reptiles,1992,0.975761463
Reptiles,1993,1.019411258
Reptiles,1994,0.970708871
Reptiles,1995,0.983241103
Reptiles,1996,0.968991788
Reptiles,1997,0.990277004
Reptiles,1998,1.037737316
Reptiles,1999,1.017680775
Reptiles,2000,0.968968661
Reptiles,2001,0.928326386
Reptiles,2002,0.833403666
Reptiles,2003,0.855623956
Reptiles,2004,0.847627432
Reptiles,2005,0.856192907
Reptiles,2006,0.817678999
Reptiles,2007,0.815637765
Reptiles,2008,0.773554907
Reptiles,2009,0.721400158
Reptiles,2010,0.726759722
Reptiles,2011,0.659873281
Reptiles,2012,0.625189904
Reptiles,2013,0.619201588
Reptiles,2014,0.64559627
Reptiles,2015,0.641649412
Reptiles,2016,0.690232784
World,1970,1
World,1971,0.98944457
World,1972,0.977427827
World,1973,0.959018968
World,1974,0.939175659
World,1975,0.936385847
World,1976,0.915234653
World,1977,0.893562469
World,1978,0.866088588
World,1979,0.847706052
World,1980,0.825282996
World,1981,0.806654462
World,1982,0.782869375
World,1983,0.754044065
World,1984,0.720518594
World,1985,0.700362481
World,1986,0.682967799
World,1987,0.657545831
World,1988,0.631676672
World,1989,0.6252562
World,1990,0.631593952
World,1991,0.61233987
World,1992,0.598163045
World,1993,0.590143263
World,1994,0.557552727
World,1995,0.546854231
World,1996,0.530715996
World,1997,0.518675772
World,1998,0.498958789
World,1999,0.484006036
World,2000,0.468265854
World,2001,0.456288749
World,2002,0.435968936
World,2003,0.431905409
World,2004,0.426922596
World,2005,0.409256982
World,2006,0.393031073
World,2007,0.382043249
World,2008,0.371025995
World,2009,0.359342482
World,2010,0.353288791
World,2011,0.334124687
World,2012,0.32163715
World,2013,0.318036708
World,2014,0.316681872
World,2015,0.322558989
World,2016,0.318589459
