Entity,Year,Coal (Mtoe),Oil (Mtoe),Natural Gas (Mtoe),Nuclear (Mtoe),Renewables (Mtoe),Imports (Mtoe),Bioenergy (Mtoe),Coal (%),Oil (%),Natural Gas (%),Nuclear (%),"Hydro, wind & solar (%)",Imports (%),Bioenergy (%),Fossil fuel (%),Low-carbon (%),Renewables (%)
United Kingdom,1994,51.3,76.7,64.9,21.2,0.4,1.5,1.6,23.57536765,35.24816176,29.82536765,9.742647059,0.183823529,0.689338235,0.735294118,88.64889706,10.66176471,0.919117647
United Kingdom,1995,48.9,75.4,69.2,21.3,0.5,1.4,1.7,22.39010989,34.52380952,31.68498168,9.752747253,0.228937729,0.641025641,0.778388278,88.5989011,10.76007326,1.007326007
United Kingdom,1996,45.7,77.8,81,22.1,0.3,1.4,1.8,19.86093003,33.81138635,35.20208605,9.604519774,0.130378096,0.608431117,0.782268579,88.87440243,10.51716645,0.912646675
United Kingdom,1997,40.8,75.5,83.5,23.1,0.4,1.4,1.9,18.00529568,33.31862312,36.84907326,10.19417476,0.176522507,0.617828773,0.838481906,88.17299206,11.20917917,1.015004413
United Kingdom,1998,41,75.4,87.3,23.4,0.5,1.1,2.1,17.76429809,32.66897747,37.82495667,10.13864818,0.216637782,0.47660312,0.909878683,88.25823224,11.26516464,1.126516464
United Kingdom,1999,36,76.4,92.5,22.4,0.5,1.2,2.2,15.57093426,33.0449827,40.00865052,9.688581315,0.216262976,0.519031142,0.951557093,88.62456747,10.85640138,1.167820069
United Kingdom,2000,38.5,76.7,95.9,19.6,0.5,1.2,2.3,16.4039199,32.68001704,40.8606732,8.351086493,0.213037921,0.51129101,0.979974435,89.94461014,9.54409885,1.193012356
United Kingdom,2001,40.8,75.9,95.6,20.8,0.4,0.9,2.5,17.22245673,32.03883495,40.35457999,8.780075981,0.168847615,0.379907134,1.055297594,89.61587168,10.00422119,1.224145209
United Kingdom,2002,37.7,73.5,94.3,20.1,0.5,0.7,2.8,16.41986063,32.01219512,41.07142857,8.754355401,0.217770035,0.304878049,1.219512195,89.50348432,10.19163763,1.43728223
United Kingdom,2003,40.5,73,94.6,20,0.4,0.2,3.1,17.47195858,31.49266609,40.811044,8.628127696,0.172562554,0.086281277,1.337359793,89.77566868,10.13805004,1.509922347
United Kingdom,2004,39.1,75.1,96.6,18.2,0.6,0.6,3.5,16.73085152,32.13521609,41.33504493,7.787762088,0.256739409,0.256739409,1.497646555,90.20111254,9.542148053,1.754385965
United Kingdom,2005,39.9,78.2,94.3,18.4,0.7,0.7,4.2,16.87817259,33.07952623,39.89001692,7.783417936,0.296108291,0.296108291,1.776649746,89.84771574,9.856175973,2.072758037
United Kingdom,2006,43.4,77.4,89.4,17.1,0.8,0.6,4.4,18.61861862,33.2046332,38.35263835,7.335907336,0.343200343,0.257400257,1.887601888,90.17589018,9.566709567,2.230802231
United Kingdom,2007,41,76.3,90.2,14,0.9,0.4,4.7,18.02197802,33.53846154,39.64835165,6.153846154,0.395604396,0.175824176,2.065934066,91.20879121,8.615384615,2.461538462
United Kingdom,2008,38.2,74.4,93.1,11.9,1.1,0.9,6,16.93262411,32.9787234,41.2677305,5.274822695,0.487588652,0.39893617,2.659574468,91.17907801,8.421985816,3.147163121
United Kingdom,2009,31.2,70.9,86.2,15.2,1.2,0.2,6.7,14.74480151,33.50661626,40.73724008,7.183364839,0.56710775,0.094517958,3.166351607,88.98865784,10.9168242,3.733459357
United Kingdom,2010,32.6,70.2,93.5,13.9,1.2,0.2,7.8,14.85870556,31.99635369,42.61622607,6.335460346,0.546946217,0.091157703,3.55515041,89.47128532,10.43755697,4.102096627
United Kingdom,2011,32.2,67.8,77.6,15.6,1.9,0.5,7.9,15.82309582,33.31695332,38.13267813,7.665847666,0.933660934,0.245700246,3.882063882,87.27272727,12.48157248,4.815724816
United Kingdom,2012,40.9,67,73.3,15.2,2.3,1,8.4,19.65401249,32.19605959,35.22345026,7.304180682,1.105237866,0.480538203,4.036520903,87.07352235,12.44593945,5.14175877
United Kingdom,2013,39,65.8,72.6,15.4,3,1.2,9.6,18.87705712,31.84898354,35.14036786,7.454017425,1.452081317,0.580832527,4.646660213,85.86640852,13.55275895,6.09874153
United Kingdom,2014,31.5,66,66.1,13.9,3.6,1.8,11.2,16.22874807,34.00309119,34.05461103,7.161257084,1.854714065,0.927357032,5.770221535,84.28645028,14.78619268,7.6249356
United Kingdom,2015,25.1,67.4,68.1,15.5,4.7,1.8,13.9,12.7735369,34.30025445,34.65648855,7.888040712,2.391857506,0.916030534,7.073791349,81.7302799,17.35368957,9.465648855
United Kingdom,2016,12.4,68.6,76.8,15.4,4.6,1.5,15.2,6.375321337,35.26992288,39.48586118,7.917737789,2.36503856,0.771208226,7.814910026,81.1311054,18.09768638,10.17994859
United Kingdom,2017,10.1,68.9,75,15.1,5.8,1.3,16,5.254942768,35.84807492,39.02185224,7.856399584,3.017689906,0.676378772,8.324661811,80.12486993,19.1987513,11.34235172
