Entity,Year,Population (US Census Bureau (2017))
Asia,1992,3290196405
Asia,1993,3342150999
Asia,1994,3393848359
Asia,1995,3445505651
Asia,1996,3496275658
Asia,1997,3545319202
Asia,1998,3593100494
Asia,1999,3640033421
Asia,2000,3686050249
Asia,2001,3731639860
Asia,2002,3776518996
Asia,2003,3821281640
Asia,2004,3864928612
Asia,2005,3908336359
Asia,2006,3952101988
Asia,2007,3995115148
Asia,2008,4037443676
Asia,2009,4079784620
Asia,2010,4121505784
Asia,2011,4162807256
Asia,2012,4203821669
Asia,2013,4244542093
Asia,2014,4284751536
Asia,2015,4324883902
Asia,2016,4364823191
Asia,2017,4404365817
Europe,1950,547140324
Europe,1951,552693319
Europe,1952,558065522
Europe,1953,563778500
Europe,1954,569432297
Europe,1955,575278523
Europe,1956,581242384
Europe,1957,587169905
Europe,1958,593245385
Europe,1959,599440332
Europe,1960,605611342
Europe,1961,611953352
Europe,1962,618407091
Europe,1963,624411048
Europe,1964,630147944
Europe,1965,635453459
Europe,1966,640370150
Europe,1967,644784336
Europe,1968,649159338
Europe,1969,653573033
Europe,1970,657942974
Europe,1971,662606448
Europe,1972,666951871
Europe,1973,671070181
Europe,1974,674969849
Europe,1975,678635710
Europe,1976,682014540
Europe,1977,685448685
Europe,1978,688720465
Europe,1979,691967579
Europe,1980,695225144
Europe,1981,698342280
Europe,1982,700977759
Europe,1983,703510884
Europe,1984,706097678
Europe,1985,708708922
Europe,1986,711459954
Europe,1987,714141463
Europe,1988,716878110
Europe,1989,719755507
Europe,1990,722627909
Europe,1991,724887691
Europe,1992,726738869
Europe,1993,727993422
Europe,1994,729064177
Europe,1995,729843693
Europe,1996,730240933
Europe,1997,730417137
Europe,1998,730418821
Europe,1999,730386469
Europe,2000,730502554
Europe,2001,730765133
Europe,2002,731116121
Europe,2003,731589474
Europe,2004,732344688
Europe,2005,733189704
Europe,2006,734083846
Europe,2007,735634622
Europe,2008,737521814
Europe,2009,739029802
Europe,2010,740226124
Europe,2011,741391593
Europe,2012,742624585
Europe,2013,743861419
Europe,2014,744728106
Europe,2015,745486199
Europe,2016,746465398
Europe,2017,747364363
Latin America and the Caribbean,1950,165442794
Latin America and the Caribbean,1951,169889451
Latin America and the Caribbean,1952,174426292
Latin America and the Caribbean,1953,179087115
Latin America and the Caribbean,1954,183955459
Latin America and the Caribbean,1955,189033337
Latin America and the Caribbean,1956,194261543
Latin America and the Caribbean,1957,199685912
Latin America and the Caribbean,1958,205323890
Latin America and the Caribbean,1959,211168882
Latin America and the Caribbean,1960,217207206
Latin America and the Caribbean,1961,223299345
Latin America and the Caribbean,1962,229562555
Latin America and the Caribbean,1963,236028570
Latin America and the Caribbean,1964,242684752
Latin America and the Caribbean,1965,249422462
Latin America and the Caribbean,1966,256229113
Latin America and the Caribbean,1967,263107064
Latin America and the Caribbean,1968,270104352
Latin America and the Caribbean,1969,277248717
Latin America and the Caribbean,1970,284487221
Latin America and the Caribbean,1971,291688010
Latin America and the Caribbean,1972,298980909
Latin America and the Caribbean,1973,306296403
Latin America and the Caribbean,1974,313242720
Latin America and the Caribbean,1975,320616913
Latin America and the Caribbean,1976,328011928
Latin America and the Caribbean,1977,335529011
Latin America and the Caribbean,1978,343113663
Latin America and the Caribbean,1979,350882543
Latin America and the Caribbean,1980,358579344
Latin America and the Caribbean,1981,366449603
Latin America and the Caribbean,1982,374527581
Latin America and the Caribbean,1983,382793376
Latin America and the Caribbean,1984,391109566
Latin America and the Caribbean,1985,399412367
Latin America and the Caribbean,1986,407728382
Latin America and the Caribbean,1987,416164753
Latin America and the Caribbean,1988,424593122
Latin America and the Caribbean,1989,432871010
Latin America and the Caribbean,1990,441140376
Latin America and the Caribbean,1991,449161468
Latin America and the Caribbean,1992,457124837
Latin America and the Caribbean,1993,465121964
Latin America and the Caribbean,1994,473187706
Latin America and the Caribbean,1995,481105614
Latin America and the Caribbean,1996,488888384
Latin America and the Caribbean,1997,496596565
Latin America and the Caribbean,1998,504176926
Latin America and the Caribbean,1999,511419822
Latin America and the Caribbean,2000,518453673
Latin America and the Caribbean,2001,525494910
Latin America and the Caribbean,2002,532540675
Latin America and the Caribbean,2003,539635109
Latin America and the Caribbean,2004,546720213
Latin America and the Caribbean,2005,553664681
Latin America and the Caribbean,2006,560431251
Latin America and the Caribbean,2007,567109200
Latin America and the Caribbean,2008,573825268
Latin America and the Caribbean,2009,580547923
Latin America and the Caribbean,2010,586982038
Latin America and the Caribbean,2011,593554471
Latin America and the Caribbean,2012,600027513
Latin America and the Caribbean,2013,606353905
Latin America and the Caribbean,2014,612556494
Latin America and the Caribbean,2015,618730827
Latin America and the Caribbean,2016,624833081
Latin America and the Caribbean,2017,630787065
Northern America,1950,165945185
Northern America,1951,168379369
Northern America,1952,171246182
Northern America,1953,174209398
Northern America,1954,177591524
Northern America,1955,181192101
Northern America,1956,184607528
Northern America,1957,188273423
Northern America,1958,191689050
Northern America,1959,195086788
Northern America,1960,198327547
Northern America,1961,201710811
Northern America,1962,204842898
Northern America,1963,207914237
Northern America,1964,210943097
Northern America,1965,213690387
Northern America,1966,216120273
Northern America,1967,218375453
Northern America,1968,220643350
Northern America,1969,222936342
Northern America,1970,225838492
Northern America,1971,228959277
Northern America,1972,231675691
Northern America,1973,234024748
Northern America,1974,236325673
Northern America,1975,238783486
Northern America,1976,241190106
Northern America,1977,243665960
Northern America,1978,246240863
Northern America,1979,248953938
Northern America,1980,251928905
Northern America,1981,254477673
Northern America,1982,256979233
Northern America,1983,259361985
Northern America,1984,261641291
Northern America,1985,263980885
Northern America,1986,266453045
Northern America,1987,268955793
Northern America,1988,271512083
Northern America,1989,274317730
Northern America,1990,277533145
Northern America,1991,281218808
Northern America,1992,285179657
Northern America,1993,288993186
Northern America,1994,292578701
Northern America,1995,296091805
Northern America,1996,299544224
Northern America,1997,303076903
Northern America,1998,306530782
Northern America,1999,309986057
Northern America,2000,313388332
Northern America,2001,316472797
Northern America,2002,319394032
Northern America,2003,322125834
Northern America,2004,325069346
Northern America,2005,328032866
Northern America,2006,331166815
Northern America,2007,334297716
Northern America,2008,337437662
Northern America,2009,340390168
Northern America,2010,343239780
Northern America,2011,345826184
Northern America,2012,348431068
Northern America,2013,350906074
Northern America,2014,353531580
Northern America,2015,356130040
Northern America,2016,358624278
Northern America,2017,362383581
Oceania,1950,12476128
Oceania,1951,12805815
Oceania,1952,13079973
Oceania,1953,13354040
Oceania,1954,13656778
Oceania,1955,13970917
Oceania,1956,14296596
Oceania,1957,14617477
Oceania,1958,14935980
Oceania,1959,15269787
Oceania,1960,15609191
Oceania,1961,15980009
Oceania,1962,16311143
Oceania,1963,16654947
Oceania,1964,17002896
Oceania,1965,17357383
Oceania,1966,17711433
Oceania,1967,18055610
Oceania,1968,18408523
Oceania,1969,18806082
Oceania,1970,19230220
Oceania,1971,19664177
Oceania,1972,20057419
Oceania,1973,20421339
Oceania,1974,20787170
Oceania,1975,21114852
Oceania,1976,21387664
Oceania,1977,21659210
Oceania,1978,21940742
Oceania,1979,22221970
Oceania,1980,22534424
Oceania,1981,22971366
Oceania,1982,23354290
Oceania,1983,23703576
Oceania,1984,24031101
Oceania,1985,24370204
Oceania,1986,24726186
Oceania,1987,25105804
Oceania,1988,25514346
Oceania,1989,25952415
Oceania,1990,26411682
Oceania,1991,26843850
Oceania,1992,27246547
Oceania,1993,27626828
Oceania,1994,27984166
Oceania,1995,28385313
Oceania,1996,28813012
Oceania,1997,29230599
Oceania,1998,29623362
Oceania,1999,30014708
Oceania,2000,30420838
Oceania,2001,30859024
Oceania,2002,31322309
Oceania,2003,31778275
Oceania,2004,32217551
Oceania,2005,32658021
Oceania,2006,33118775
Oceania,2007,33582240
Oceania,2008,34041983
Oceania,2009,34496577
Oceania,2010,34945718
Oceania,2011,35392088
Oceania,2012,35836415
Oceania,2013,36277050
Oceania,2014,36713838
Oceania,2015,37146783
Oceania,2016,37576243
Oceania,2017,38002446
World,1950,2557628654
World,1951,2594938936
World,1952,2636770386
World,1953,2682050452
World,1954,2730224110
World,1955,2782093851
World,1956,2835293441
World,1957,2891342302
World,1958,2948128605
World,1959,3000706677
World,1960,3042990271
World,1961,3084007286
World,1962,3140187350
World,1963,3209978774
World,1964,3281412257
World,1965,3350699989
World,1966,3421015609
World,1967,3490735455
World,1968,3562786611
World,1969,3637707956
World,1970,3713327898
World,1971,3790980082
World,1972,3867242256
World,1973,3942790520
World,1974,4017323955
World,1975,4088810897
World,1976,4158888836
World,1977,4229748034
World,1978,4300631215
World,1979,4374349678
World,1980,4445423675
World,1981,4526817917
World,1982,4607193353
World,1983,4688582743
World,1984,4767669177
World,1985,4849860549
World,1986,4934211409
World,1987,5021085089
World,1988,5108736553
World,1989,5195979089
World,1990,5284252039
World,1991,5367488662
World,1992,5452187873
World,1993,5534418049
World,1994,5614530098
World,1995,5695823105
World,1996,5776327747
World,1997,5854841500
World,1998,5932024858
World,1999,6008646651
World,2000,6084703879
World,2001,6160890093
World,2002,6237154134
World,2003,6313942570
World,2004,6390636309
World,2005,6467431499
World,2006,6545218993
World,2007,6623523655
World,2008,6702159402
World,2009,6780833881
World,2010,6858584755
World,2011,6935999491
World,2012,7013871313
World,2013,7092128094
World,2014,7169968185
World,2015,7247892788
World,2016,7325996709
World,2017,7405107650
