Entity,Year,Male (number of deaths),Female (number of deaths),Both sexes (number of deaths)
40-44 years,1965,5124,3657,8781
40-44 years,1975,3769,2626,6395
40-44 years,1985,3366,2177,5543
40-44 years,1995,3430,2214,5644
40-44 years,2005,3713,2345,6058
40-44 years,2015,3247,2000,5247
45-49 years,1915,13203,10805,24009
45-49 years,1925,11560,9530,21090
45-49 years,1935,10486,8628,19114
45-49 years,1945,9074,7341,16414
45-49 years,1955,8834,6198,15033
45-49 years,1965,7523,5070,12593
45-49 years,1975,7360,4747,12107
45-49 years,1985,5431,3457,8888
45-49 years,1995,5636,3854,9490
45-49 years,2005,5009,3327,8336
45-49 years,2015,5085,3343,8428
5-9 years,1915,7259,7165,14424
5-9 years,1925,3973,3705,7678
5-9 years,1935,3231,2877,6108
5-9 years,1945,1955,1407,3362
5-9 years,1955,928,652,1580
5-9 years,1965,871,525,1396
5-9 years,1975,679,462,1140
5-9 years,1985,328,260,589
5-9 years,1995,278,192,470
5-9 years,2005,165,134,300
5-9 years,2015,147,127,274
50-54 years,1915,15422,12671,28093
50-54 years,1925,14429,11757,26185
50-54 years,1935,14422,11604,26026
50-54 years,1945,13133,9943,23076
50-54 years,1955,14894,9047,23941
50-54 years,1965,14542,8496,23038
50-54 years,1975,13982,8311,22292
50-54 years,1985,9422,5646,15067
50-54 years,1995,7801,5138,12939
50-54 years,2005,7111,4856,11967
50-54 years,2015,7398,5098,12496
55-59 years,1915,17893,14280,32173
55-59 years,1925,16840,13838,30678
55-59 years,1935,19250,15204,34454
55-59 years,1945,18948,13392,32340
55-59 years,1955,20221,12308,32530
55-59 years,1965,23481,12669,36150
55-59 years,1975,18770,10940,29710
55-59 years,1985,16689,10015,26704
55-59 years,1995,11884,7338,19222
55-59 years,2005,11742,7929,19671
55-59 years,2015,9952,6736,16689
60-64 years,1915,20981,17505,38486
60-64 years,1925,20590,16925,37515
60-64 years,1935,24708,19871,44578
60-64 years,1945,25897,19103,45000
60-64 years,1955,27084,17850,44934
60-64 years,1965,34850,18500,53350
60-64 years,1975,32289,18305,50594
60-64 years,1985,29004,17665,46668
60-64 years,1995,18891,11462,30352
60-64 years,2005,15585,9891,25476
60-64 years,2015,14370,9692,24063
65-69 years,1915,21732,20095,41827
65-69 years,1925,23169,20770,43939
65-69 years,1935,28656,24759,53415
65-69 years,1945,31856,25904,57759
65-69 years,1955,34563,26355,60919
65-69 years,1965,38732,26389,65121
65-69 years,1975,45034,27231,72265
65-69 years,1985,35079,22524,57603
65-69 years,1995,30266,19717,49983
65-69 years,2005,21240,14457,35697
65-69 years,2015,22259,15609,37868
70-74 years,1915,22925,24694,47619
70-74 years,1925,24259,24540,48799
70-74 years,1935,30352,29613,59965
70-74 years,1945,34832,32736,67568
70-74 years,1955,40269,37121,77390
70-74 years,1965,41000,36434,77434
70-74 years,1975,51762,38510,90272
70-74 years,1985,50592,36752,87345
70-74 years,1995,44175,33007,77183
70-74 years,2005,29714,21568,51282
70-74 years,2015,27282,20070,47351
75-79 years,1915,18881,23129,42010
75-79 years,1925,20283,24141,44424
75-79 years,1935,26570,29699,56270
75-79 years,1945,31750,34515,66265
75-79 years,1955,41994,44718,86712
75-79 years,1965,39555,45393,84948
75-79 years,1975,43894,48330,92224
75-79 years,1985,54377,50105,104483
75-79 years,1995,44723,39843,84566
75-79 years,2005,39238,34528,73766
75-79 years,2015,35784,29025,64809
80+ years,1915,19236,28647,47884
80+ years,1925,21121,33189,54310
80+ years,1935,26123,40059,66182
80+ years,1945,33770,51804,85574
80+ years,1955,51717,78461,130178
80+ years,1965,55451,95748,151200
80+ years,1975,60883,119405,180287
80+ years,1985,74763,141741,216504
80+ years,1995,93831,163566,257396
80+ years,2005,99898,164134,264032
80+ years,2015,123409,176760,300169
<1 year old,1915,,,89380
<1 year old,1925,,,53316
<1 year old,1935,,,34092
<1 year old,1945,,,31959
<1 year old,1955,,,16613
<1 year old,1965,,,16395
<1 year old,1975,,,9488
<1 year old,1985,,,6141
<1 year old,1995,,,3968
<1 year old,2005,,,3248
<1 year old,2015,,,2721
