Entity,Year,Share of people who trust other people in their neighbourhood,Share of people who trust their national government,Share of people who trust scientists in their country,Share of people who trust journalists in their country,Share of people who trust doctors and nurses in their country,Share of people who trust people who work at non-governmental or non-profit orgnaizations,Share of people who trust traditional healers in their countries
China,2018,86.17178271,,76.83926357,57.53809147,78.09153256,57.39248524,70.57749035
Colombia,2018,57.6225763,30.40162995,62.2274823,48.48664526,70.36261044,38.62841379,27.7052573
Comoros,2018,60.54932643,25.42073101,39.06599371,44.29301899,51.63248047,41.35367039,56.87079572
Congo,2018,38.00814155,34.56901758,33.06217175,33.22198324,43.4283108,31.19241178,37.56375107
Costa Rica,2018,68.09104347,59.62428331,75.64926189,65.95908993,84.78545401,65.28887112,20.59051291
Cote d'Ivoire,2018,37.4784245,35.647216,32.00432492,34.84829262,54.73376348,29.04694538,40.54672267
Croatia,2018,72.17535734,34.69689441,75.92211745,59.64790736,91.46716257,70.09436844,35.12701622
Cyprus,2018,73.92691906,47.36977797,70.83050183,46.37931657,74.4067518,62.13891664,48.01962211
Czech Republic,2018,78.81753705,46.50968547,75.87241515,44.7557376,90.89351156,58.71734042,36.7146867
Denmark,2018,91.47510804,70.04632757,90.99819832,69.61791417,97.15014997,74.82095059,56.93319601
Dominican Republic,2018,70.00645238,54.97629988,61.15933132,66.04158873,84.21856599,51.40225648,10.18030119
East Asia,2018,,,,,80,,
Eastern Africa,2018,,,,,81,,
Eastern Europe,2018,,,,,75,,
Ecuador,2018,59.09380849,49.38321131,51.351254,53.58001221,75.13579245,41.15369642,16.76335547
Egypt,2018,89.16276169,,65.3336167,28.12428105,90.67788026,55.08072992,51.55595257
El Salvador,2018,61.99930566,35.31609361,50.83896467,56.09097981,75.46951149,60.78168882,20.36292527
Estonia,2018,81.08979771,52.50994431,78.8179397,49.94504264,87.78426688,58.121934,23.45321916
Ethiopia,2018,88.05931701,92.34129794,58.91483224,54.23484552,86.1448715,56.61202223,34.29422697
Finland,2018,91.73234707,61.45293997,91.66696501,80.60096465,96.75935668,76.05424054,30.71768931
France,2018,84.85432516,45.88092327,90.88676646,46.63236824,94.62188059,74.56438834,41.34805379
Gabon,2018,30.8702165,21.23467484,38.77138405,29.89937489,50.36380457,27.8019242,27.80054801
Gambia,2018,85.33979267,71.55132418,63.12921696,70.00126871,82.52206113,66.63600577,53.81538537
Georgia,2018,88.71709663,41.2450577,63.29675368,62.21280903,79.96180005,56.54915925,60.02147616
Germany,2018,85.53600804,53.56518787,86.56813429,66.22632651,93.93580932,52.68938029,51.90669648
Ghana,2018,74.9278768,65.84309869,71.75249307,74.53819743,88.78278195,71.16036952,73.81383327
Greece,2018,69.16837579,17.22110334,81.89866533,11.54075646,86.19768614,20.86622308,18.44352738
Guatemala,2018,57.80501492,38.16972694,44.99933364,55.15760891,69.37378708,40.95444116,46.41363171
Guinea,2018,68.56035953,49.88572346,58.35858811,66.09006223,68.23256114,53.69188896,48.67907291
Haiti,2018,66.95772651,46.01675053,62.34064637,64.15759575,79.86723748,66.99242428,59.90345447
Honduras,2018,68.75865598,45.05411814,53.67224622,58.02490768,77.43771085,48.46628408,44.11028707
Hungary,2018,86.8412136,46.69851879,84.04676066,34.01502598,89.36062063,56.84422895,50.66473531
Iceland,2018,94.77821858,58.42020747,93.4988446,63.65979932,96.5535127,84.10998288,37.22918946
India,2018,83.5189515,77.15111196,79.34730473,72.50868434,92.4980721,67.76207967,40.60602257
Indonesia,2018,77.22183077,72.54421597,64.12248665,54.30181583,83.2150104,49.14283104,55.15389725
Iran,2018,84.03995624,66.51466643,82.48183727,54.17521838,86.72864331,63.17487621,66.77854991
Iraq,2018,84.43351272,29.39124246,64.4759498,54.91761783,63.50024342,56.34635521,56.05892357
Ireland,2018,93.50626104,67.14663918,90.20336949,71.88378476,93.31656514,71.19310391,37.16900277
Israel,2018,75.32400676,60.63011702,80.3761423,52.06701258,88.43351042,66.7717385,64.99493264
Italy,2018,76.99585811,33.775582,90.17815472,46.27907345,90.44952484,58.87228908,14.63314301
Japan,2018,82.54293147,50.94904625,86.33269748,49.63808246,93.01156508,66.53740091,48.49176668
Jordan,2018,67.36407283,58.89529884,56.94310815,43.8559556,81.9377625,41.26660954,49.22012019
Kazakhstan,2018,85.67232229,71.38929898,74.51487084,58.24512134,79.80607136,49.01377869,34.63096287
Kenya,2018,73.06247484,64.53676556,65.18848462,73.68070802,78.37997338,61.20585422,36.98410339
Kosovo,2018,86.5215151,37.0466569,55.68257223,63.33338684,75.94708526,71.59195072,42.07978738
Kuwait,2018,71.2824691,,49.6979773,37.44134983,74.08466941,53.14818602,41.45655334
Kyrgyzstan,2018,88.89562843,63.34180174,69.18578491,66.16952663,83.42420932,50.53109246,39.00671791
Laos,2018,64.89542183,,53.51185445,61.61771738,81.4186853,41.63057983,64.03071507
Latvia,2018,74.68820321,29.5952816,70.31088876,46.46049158,83.11969232,61.19066671,22.38478566
Lebanon,2018,73.11043736,30.62251417,62.93090946,50.24039143,82.8682476,53.382321,38.51573095
Liberia,2018,73.86603366,68.71309598,57.46047775,73.0613639,80.78118978,69.21901259,62.01532106
Libya,2018,78.52254699,37.76555148,66.58161894,47.59071962,77.0304847,63.94890505,71.80166377
Lithuania,2018,80.14582928,40.29961181,76.67597208,55.97360271,83.14638155,58.72981061,31.66423769
Luxembourg,2018,81.59718349,80.01320748,76.65416713,63.69519015,93.82644078,73.2572427,48.69667564
Macedonia,2018,69.74988147,39.31121464,50.90837111,43.26957677,72.77724361,41.08389162,38.61579088
Madagascar,2018,66.28962414,33.57194173,37.4741582,50.52829471,65.8971383,48.87263209,48.12307135
Malawi,2018,57.69281923,58.1345415,58.65406607,67.87496305,76.68570595,57.16253624,22.34703019
Malaysia,2018,77.28215322,75.1715793,58.32105407,42.96346916,94.66840442,48.6236415,12.48174329
Mali,2018,80.33764377,48.78180181,57.93732051,55.54782698,75.39862609,54.92408781,64.82155965
Malta,2018,79.46507975,71.51763465,70.70519992,59.152575,95.90672851,85.78345609,66.18872959
Mauritania,2018,61.2264493,30.7528839,31.49295804,24.6384691,53.82855873,35.20153061,35.76450235
Mauritius,2018,63.98201443,51.61487569,61.28469124,61.28386265,64.50598784,68.81302267,16.6707853
Mexico,2018,64.26333029,37.08061673,71.22845862,55.10109215,83.2666984,46.45363725,23.16230618
Middle East,2018,,,,,81,,
Moldova,2018,64.42047615,26.46578073,58.30323222,43.50547703,73.61599912,48.95797284,35.56247397
Mongolia,2018,74.72328303,48.7756212,63.65052461,59.98294543,80.96656999,56.46922668,73.55549137
Montenegro,2018,67.43603251,43.14891107,47.07602288,38.80308109,68.61190032,45.06158431,29.99375457
Morocco,2018,77.33740592,35.86514548,60.70425895,41.74480876,67.4051339,51.91578761,46.24122072
Mozambique,2018,56.5038727,72.45270828,48.69006969,65.63905357,73.98393328,52.63719515,37.70870716
Myanmar,2018,81.6181586,88.30477116,77.59507132,65.13191562,91.52062327,58.53317353,56.41998977
Namibia,2018,59.0140995,58.01564363,45.75206655,54.78838101,73.43423741,46.03787979,17.14756237
Nepal,2018,84.92573247,71.98113305,70.45179827,74.29740267,89.59331565,63.18579679,71.57813372
Netherlands,2018,84.74628229,57.11289268,81.86285335,63.57207314,91.88775391,68.07585262,40.28823513
New Zealand,2018,90.22376531,75.06291233,85.11456254,61.81485127,95.2239499,83.58778148,58.37105291
Nicaragua,2018,54.37169938,39.03023926,48.01092864,52.79379428,69.81148561,46.00587145,8.992263467
Niger,2018,80.45223432,67.54100784,63.158502,63.92155989,75.79805787,64.66582852,63.5601845
Nigeria,2018,71.99863,45.24078251,66.15739613,62.27577999,82.00328088,57.09024306,59.72484364
North Africa,2018,,,,,80,,
Northern America,2018,,,,,94,,
Northern Cyprus,2018,80.05254072,48.80483432,73.1518536,50.78815771,78.29264752,64.06847146,22.40343831
Northern Europe,2018,,,,,93,,
Norway,2018,91.92773677,89.08573629,88.8933618,76.889635,98.19908716,79.40764221,44.69008371
Pakistan,2018,88.65592601,57.68036352,64.98897126,54.28473125,85.3721404,44.2214484,68.51365507
Palestine,2018,72.52192319,50.57273003,62.741109,70.95922022,74.57781228,49.03202855,70.77685801
Panama,2018,55.1703837,30.22555119,53.28124876,55.12121581,73.17278457,43.91467072,14.99317936
Paraguay,2018,71.65105862,49.85533886,49.18640491,58.46681768,74.58323534,49.36102407,58.28217574
Peru,2018,57.82950641,33.74644658,55.20338361,48.3417179,69.05376139,41.21199561,12.00591817
Philippines,2018,75.02379614,72.54271245,71.14416573,75.04537232,86.83632338,73.41668176,53.24805651
Poland,2018,81.1198761,55.94255452,83.75511074,64.64339317,88.54560585,75.77657091,44.87293713
Portugal,2018,75.24428932,48.70432302,84.67045118,60.50469156,88.59748158,54.68725925,63.8634091
Romania,2018,65.04683751,22.58985207,70.13088571,49.37788227,71.46128208,46.96016146,29.43250164
Russia,2018,73.46610667,53.1311915,79.4234598,43.26032369,71.9198474,43.29345158,18.12416213
Rwanda,2018,74.80496294,95.89997462,55.76203302,80.30634502,93.94594085,68.95830429,23.90189618
Saudi Arabia,2018,80.66950147,,80.54322307,46.24688117,83.9904799,69.35256119,44.45021577
Senegal,2018,79.96865195,54.95457211,62.17214938,55.21827496,81.37772396,48.07058855,58.81857597
Serbia,2018,66.4403508,51.43361989,75.40460981,22.30203652,80.90404643,43.42199272,27.92652919
Sierra Leone,2018,68.54622356,63.84384659,51.72445913,62.51251995,71.72315854,63.28403798,42.84948761
Singapore,2018,81.05588913,73.57871558,59.88867018,48.46225856,94.70833494,54.88250452,40.41313914
Slovakia,2018,84.33708843,48.96845244,80.68595142,55.84962865,86.78204062,63.8608298,42.73177219
Slovenia,2018,85.34890452,30.35193868,86.88563099,57.32197054,92.20188573,66.46761819,45.89861469
South Africa,2018,55.49471723,42.21310176,51.10570049,44.0839781,76.62537872,41.62882732,31.76787616
South America,2018,,,,,74,,
South Asia,2018,,,,,91,,
South Korea,2018,76.32085194,62.70989972,80.37789117,30.22455583,86.97409807,56.7374183,69.46769008
Southeast Asia,2018,,,,,87,,
Southern Africa,2018,,,,,77,,
Southern Europe,2018,,,,,90,,
Spain,2018,83.36662133,32.31604684,94.43539719,58.98181553,97.08922226,66.93832155,15.53344127
Sri Lanka,2018,83.28996462,60.8498355,69.90564323,72.28737086,92.52108552,58.66086881,87.39125122
Swaziland,2018,52.84235216,65.06173663,58.59296994,54.92692879,84.50210799,57.12569609,16.6057692
Sweden,2018,91.98325208,65.63389544,91.89176521,67.69577575,95.91901719,73.52907516,42.49934536
Switzerland,2018,88.29906538,81.46982065,90.88757859,66.92037567,94.91527533,70.71352288,47.58052491
Taiwan,2018,80.43328099,34.92992873,62.1279776,23.4989044,92.83618368,53.14997584,60.23161985
Tajikistan,2018,86.32735329,,82.56735849,70.25990489,94.31650578,52.74952095,55.59760553
Tanzania,2018,85.79371743,87.61743955,82.20944577,85.64458966,88.91271245,64.52284293,23.5723451
Thailand,2018,78.76483422,81.60090625,75.86204074,78.79361439,96.85158348,62.87435384,72.60679304
Togo,2018,32.12122407,17.61994646,25.01282156,26.70248964,53.95673382,23.76588536,36.00012301
Tunisia,2018,72.16418713,42.41596867,63.39655827,44.84881683,82.73050317,56.24875687,37.65408249
Turkey,2018,76.19954108,56.5824679,73.14373595,44.22000359,84.57229963,42.5917074,58.35447739
Turkmenistan,2018,83.33738381,,81.78496485,64.62923788,92.46494521,77.94174651,48.84132612
Uganda,2018,76.90171437,55.48746856,66.08521562,69.68980765,79.61740512,59.17356935,21.40611893
Ukraine,2018,78.63486267,10.94897182,72.31668912,47.50634743,69.82589055,47.08827987,23.21645749
United Arab Emirates,2018,68.47070065,,48.56525635,47.59922139,77.08563657,63.58439005,39.91500902
United Kingdom,2018,87.99265843,51.02283254,87.80138269,46.53585648,92.76632294,77.40619244,32.67680946
United States,2018,77.98254215,47.42665101,86.03888977,56.36217225,93.41232021,74.296888,56.67450868
Uruguay,2018,77.01319438,44.51229883,69.84163527,56.19325671,88.86733454,57.32623468,23.81145336
Uzbekistan,2018,95.39864407,99.21937623,93.59143167,86.68948179,94.74364512,77.21454808,40.48800414
Venezuela,2018,59.42561699,35.70427041,58.88062023,53.64059331,72.3079164,47.34977974,31.72913762
Vietnam,2018,75.10301283,,54.04378655,40.21692377,83.09534503,48.4021521,44.33696879
Western Africa,2018,,,,,77,,
Western Europe,2018,,,,,94,,
World,2018,,,,,84,,
Yemen,2018,81.01849459,35.10736215,51.4483137,20.56780149,66.58697659,56.04713598,34.86561997
Zambia,2018,66.5084411,56.70300313,50.74387716,63.60816416,82.52105957,56.7510684,17.75904296
Zimbabwe,2018,61.55651798,52.91058264,56.80382391,46.36537462,81.0441196,59.38755092,30.34636143
