Entity,Year,Labour productivity per hour (2013=100)
United Kingdom,1841,4.81705752
United Kingdom,1842,4.75652564
United Kingdom,1843,4.685877336
United Kingdom,1844,4.88013706
United Kingdom,1845,4.971714036
United Kingdom,1846,5.13290954
United Kingdom,1847,5.162101115
United Kingdom,1848,5.334179341
United Kingdom,1849,5.423463455
United Kingdom,1850,5.45679432
United Kingdom,1851,5.506434636
United Kingdom,1852,5.581206665
United Kingdom,1853,5.573229886
United Kingdom,1854,5.72944528
United Kingdom,1855,5.603277582
United Kingdom,1856,5.861903816
United Kingdom,1857,5.83267082
United Kingdom,1858,5.847627604
United Kingdom,1859,5.964550839
United Kingdom,1860,5.976925915
United Kingdom,1861,6.106063733
United Kingdom,1862,6.13361304
United Kingdom,1863,6.378599278
United Kingdom,1864,6.342890616
United Kingdom,1865,6.542104432
United Kingdom,1866,6.616740456
United Kingdom,1867,6.693161337
United Kingdom,1868,6.956918872
United Kingdom,1869,7.085017945
United Kingdom,1870,7.516809048
United Kingdom,1871,7.826112089
United Kingdom,1872,7.870938573
United Kingdom,1873,8.064914776
United Kingdom,1874,8.475277417
United Kingdom,1875,8.579536791
United Kingdom,1876,8.639346515
United Kingdom,1877,8.790813579
United Kingdom,1878,8.915072788
United Kingdom,1879,8.754249266
United Kingdom,1880,9.095916326
United Kingdom,1881,9.161926011
United Kingdom,1882,9.16845914
United Kingdom,1883,9.359591086
United Kingdom,1884,9.309744878
United Kingdom,1885,9.277054875
United Kingdom,1886,9.238859809
United Kingdom,1887,9.451350882
United Kingdom,1888,9.540676459
United Kingdom,1889,9.614414272
United Kingdom,1890,9.575324807
United Kingdom,1891,9.814879287
United Kingdom,1892,9.61903695
United Kingdom,1893,9.60191978
United Kingdom,1894,9.912564554
United Kingdom,1895,10.13639697
United Kingdom,1896,10.37117938
United Kingdom,1897,10.34966687
United Kingdom,1898,10.72918657
United Kingdom,1899,10.85614698
United Kingdom,1900,10.66800268
United Kingdom,1901,10.94634559
United Kingdom,1902,11.0625844
United Kingdom,1903,10.90857759
United Kingdom,1904,11.09964438
United Kingdom,1905,11.28663171
United Kingdom,1906,11.31217562
United Kingdom,1907,11.33174455
United Kingdom,1908,11.15432163
United Kingdom,1909,11.42810049
United Kingdom,1910,11.43222929
United Kingdom,1911,11.58323332
United Kingdom,1912,11.6164101
United Kingdom,1913,11.97512077
United Kingdom,1914,12.13021642
United Kingdom,1915,12.50196832
United Kingdom,1916,12.56484155
United Kingdom,1917,12.59099345
United Kingdom,1918,12.78777013
United Kingdom,1919,12.91727922
United Kingdom,1920,12.16929997
United Kingdom,1921,12.95197239
United Kingdom,1922,13.65188397
United Kingdom,1923,14.05061064
United Kingdom,1924,14.70821319
United Kingdom,1925,14.92709463
United Kingdom,1926,14.57398113
United Kingdom,1927,14.87822628
United Kingdom,1928,14.97373924
United Kingdom,1929,15.27945658
United Kingdom,1930,15.48194166
United Kingdom,1931,15.07912102
United Kingdom,1932,15.08511313
United Kingdom,1933,15.28338826
United Kingdom,1934,15.75510236
United Kingdom,1935,15.9529671
United Kingdom,1936,16.1383834
United Kingdom,1937,16.08643114
United Kingdom,1938,16.88935349
United Kingdom,1939,16.64207351
United Kingdom,1940,17.53703417
United Kingdom,1941,18.51020537
United Kingdom,1942,18.34853283
United Kingdom,1943,18.59942841
United Kingdom,1944,17.98583051
United Kingdom,1945,18.04476349
United Kingdom,1946,18.74145089
United Kingdom,1947,19.05020805
United Kingdom,1948,19.95443583
United Kingdom,1949,20.7294844
United Kingdom,1950,21.10902645
United Kingdom,1951,21.4782509
United Kingdom,1952,22.25681338
United Kingdom,1953,23.3792765
United Kingdom,1954,23.97895843
United Kingdom,1955,24.65022563
United Kingdom,1956,25.07707082
United Kingdom,1957,25.79112482
United Kingdom,1958,26.69143326
United Kingdom,1959,28.14423734
United Kingdom,1960,29.56841159
United Kingdom,1961,30.6018736
United Kingdom,1962,31.3330867
United Kingdom,1963,31.98715377
United Kingdom,1964,33.40666077
United Kingdom,1965,34.32724418
United Kingdom,1966,35.60806722
United Kingdom,1967,37.13936196
United Kingdom,1968,39.66272714
United Kingdom,1969,40.67195488
United Kingdom,1970,42.83241639
United Kingdom,1971,45.86527388
United Kingdom,1972,47.08360102
United Kingdom,1973,49.28755401
United Kingdom,1974,48.4320597
United Kingdom,1975,48.73518898
United Kingdom,1976,50.69777571
United Kingdom,1977,51.63254995
United Kingdom,1978,53.18352999
United Kingdom,1979,54.51759284
United Kingdom,1980,54.58065395
United Kingdom,1981,56.78958803
United Kingdom,1982,59.27725063
United Kingdom,1983,62.36994664
United Kingdom,1984,62.01691179
United Kingdom,1985,63.89171294
United Kingdom,1986,65.48566387
United Kingdom,1987,67.40287253
United Kingdom,1988,68.6904278
United Kingdom,1989,68.56724191
United Kingdom,1990,69.33579997
United Kingdom,1991,71.77234546
United Kingdom,1992,74.16225115
United Kingdom,1993,77.00808321
United Kingdom,1994,78.66586184
United Kingdom,1995,79.30031614
United Kingdom,1996,80.43771855
United Kingdom,1997,81.35173746
United Kingdom,1998,83.43042366
United Kingdom,1999,85.51759124
United Kingdom,2000,88.55823334
United Kingdom,2001,89.82648445
United Kingdom,2002,91.91112256
United Kingdom,2003,94.75310745
United Kingdom,2004,96.06381354
United Kingdom,2005,97.95218709
United Kingdom,2006,99.73838927
United Kingdom,2007,101.316276
United Kingdom,2008,100.3663783
United Kingdom,2009,98.6405218
United Kingdom,2010,100.0617676
United Kingdom,2011,101.1373786
United Kingdom,2012,100.3292944
United Kingdom,2013,100
United Kingdom,2014,100.6365997
United Kingdom,2015,101.508603
United Kingdom,2016,101.9784077
