Entity,Year,Carbon intensity (kgCO2/$) (CDIAC (2017))
United Kingdom,1981,0.467548891
United Kingdom,1982,0.441613195
United Kingdom,1983,0.428663573
United Kingdom,1984,0.401605869
United Kingdom,1985,0.406863742
United Kingdom,1986,0.394562329
United Kingdom,1987,0.377881259
United Kingdom,1988,0.368913831
United Kingdom,1989,0.37471974
United Kingdom,1990,0.363057871
United Kingdom,1991,0.374369165
United Kingdom,1992,0.366083895
United Kingdom,1993,0.350345763
United Kingdom,1994,0.337878123
United Kingdom,1995,0.324419218
United Kingdom,1996,0.324186033
United Kingdom,1997,0.300621409
United Kingdom,1998,0.293845936
United Kingdom,1999,0.283986849
United Kingdom,2000,0.279327937
United Kingdom,2001,0.273961787
United Kingdom,2002,0.259107702
United Kingdom,2003,0.255810642
United Kingdom,2004,0.249149392
United Kingdom,2005,0.243457116
United Kingdom,2006,0.237020971
United Kingdom,2007,0.225551358
United Kingdom,2008,0.22365152
United Kingdom,2009,0.211783212
United Kingdom,2010,0.217269684
United Kingdom,2011,0.194346303
United Kingdom,2012,0.200713364
United Kingdom,2013,0.192610731
United Kingdom,2014,0.17120115
United States,1820,0.005044846
United States,1870,0.197895483
United States,1900,0.803245033
United States,1913,0.971304488
United States,1940,0.806065476
United States,1950,1.014960726
United States,1951,1.00794026
United States,1952,0.938813297
United States,1953,0.967546149
United States,1954,0.861144836
United States,1955,0.925827723
United States,1956,0.952568004
United States,1957,0.954096651
United States,1958,0.860646454
United States,1959,0.865101792
United States,1960,0.864783078
United States,1961,0.812710939
United States,1962,0.807880281
United States,1963,0.797412092
United States,1964,0.78245129
United States,1965,0.764778611
United States,1966,0.783738883
United States,1967,0.776240434
United States,1968,0.78029103
United States,1969,0.818245807
United States,1970,0.853440352
United States,1971,0.815699781
United States,1972,0.808744255
United States,1973,0.847477547
United States,1974,0.819271439
United States,1975,0.745937272
United States,1976,0.747096916
United States,1977,0.726568551
United States,1978,0.72468197
United States,1979,0.725974134
United States,1980,0.682491703
United States,1981,0.667930349
United States,1982,0.608699138
United States,1983,0.572009427
United States,1984,0.567563702
United States,1985,0.550801726
United States,1986,0.532441307
United States,1987,0.532856094
United States,1988,0.537469284
United States,1989,0.534991403
United States,1990,0.52178758
United States,1991,0.521897733
United States,1992,0.513250694
United States,1993,0.511656517
United States,1994,0.498222815
United States,1995,0.488706699
United States,1996,0.481767688
United States,1997,0.471315466
United States,1998,0.453950261
United States,1999,0.441956161
United States,2000,0.439160522
United States,2001,0.427438388
United States,2002,0.423353433
United States,2003,0.414305812
United States,2004,0.404846333
United States,2005,0.394031987
United States,2006,0.377669658
United States,2007,0.377045341
United States,2008,0.366722095
United States,2009,0.353635271
United States,2010,0.353553944
United States,2011,0.341154355
United States,2012,0.322991151
United States,2013,0.320127818
United States,2014,0.318480499
World,1820,0.027042715
World,1870,0.159793157
World,1900,0.418786748
World,1913,0.448922433
World,1940,0.521826543
World,1950,0.618392012
World,1951,0.640732334
World,1952,0.61967663
World,1953,0.614550266
World,1954,0.585256762
World,1955,0.61202154
World,1956,0.62856183
World,1957,0.635022221
World,1958,0.623243592
World,1959,0.623767948
World,1960,0.631108919
World,1961,0.605289194
World,1962,0.603910705
World,1963,0.593894829
World,1964,0.59661726
World,1965,0.591271999
World,1966,0.598836113
World,1967,0.585729353
World,1968,0.583402213
World,1969,0.588582515
World,1970,0.605975593
World,1971,0.600582961
World,1972,0.585689845
World,1973,0.603494319
World,1974,0.595588317
World,1975,0.564569896
World,1976,0.574207284
World,1977,0.567211897
World,1978,0.553964119
World,1979,0.573274011
World,1980,0.556375443
World,1981,0.533371843
World,1982,0.514179927
World,1983,0.489915256
World,1984,0.490668992
World,1985,0.488240055
World,1986,0.484620394
World,1987,0.476503512
World,1988,0.478762196
World,1989,0.479191028
World,1990,0.473537758
World,1991,0.472886806
World,1992,0.459966037
World,1993,0.45077217
World,1994,0.445243249
World,1995,0.440091691
World,1996,0.433337298
World,1997,0.423778525
World,1998,0.414932174
World,1999,0.399638837
World,2000,0.391569748
World,2001,0.391364729
World,2002,0.386446287
World,2003,0.392918591
World,2004,0.391319997
World,2005,0.387892458
World,2006,0.38145295
World,2007,0.368973215
World,2008,0.370123036
World,2009,0.367930524
World,2010,0.366804575
World,2011,0.367184905
World,2012,0.362166041
World,2013,0.35421015
World,2014,0.345394033
