Entity,Year,GDP per capita PPP 2011 – WDI (2016)
Belarus,2012,16906.92189
Belarus,2013,17084.82426
Belarus,2014,17348.76639
Belgium,1990,30410.99278
Belgium,1991,30853.58577
Belgium,1992,31199.01194
Belgium,1993,30778.44942
Belgium,1994,31673.89261
Belgium,1995,32361.39036
Belgium,1996,32812.78152
Belgium,1997,33948.06497
Belgium,1998,34544.84988
Belgium,1999,35693.79661
Belgium,2000,36901.24318
Belgium,2001,37072.9511
Belgium,2002,37564.25042
Belgium,2003,37697.0528
Belgium,2004,38898.5524
Belgium,2005,39495.32936
Belgium,2006,40216.37401
Belgium,2007,41278.47775
Belgium,2008,41259.63816
Belgium,2009,39993.81723
Belgium,2010,40606.04305
Belgium,2011,40858.72517
Belgium,2012,40624.50786
Belgium,2013,40432.95694
Belgium,2014,40823.39248
Belize,1990,5165.86722
Belize,1991,5601.360828
Belize,1992,6172.377972
Belize,1993,6450.447525
Belize,1994,6330.479478
Belize,1995,6208.580172
Belize,1996,6099.471162
Belize,1997,6089.593608
Belize,1998,6079.261142
Belize,1999,6371.372856
Belize,2000,6960.76119
Belize,2001,7089.809346
Belize,2002,7247.686556
Belize,2003,7719.806735
Belize,2004,7875.175666
Belize,2005,7873.048839
Belize,2006,8022.161345
Belize,2007,7902.865228
Belize,2008,7951.230903
Belize,2009,7809.992526
Belize,2010,7876.785094
Belize,2011,7857.224198
Belize,2012,7975.693957
Belize,2013,7921.263847
Belize,2014,8029.833508
Benin,1990,1456.016619
Benin,1991,1464.470234
Benin,1992,1452.920277
Benin,1993,1481.468591
Benin,1994,1458.0216
Benin,1995,1494.793123
Benin,1996,1511.293292
Benin,1997,1551.493452
Benin,1998,1567.320031
Benin,1999,1603.51914
Benin,2000,1646.464433
Benin,2001,1679.711898
Benin,2002,1700.871242
Benin,2003,1701.854201
Benin,2004,1719.564042
Benin,2005,1693.512981
Benin,2006,1705.868569
Benin,2007,1753.19222
Benin,2008,1784.493257
Benin,2009,1773.034206
Benin,2010,1759.386911
Benin,2011,1761.574331
Benin,2012,1793.766827
Benin,2013,1866.559381
Benin,2014,1936.825582
Bermuda,1990,40553.25852
Bermuda,1991,39322.10918
Bermuda,1992,39584.32986
Bermuda,1993,40557.22016
Bermuda,1994,40518.40782
Bermuda,1995,41999.25946
Bermuda,1996,42816.96324
Bermuda,1997,44514.10942
Bermuda,1998,45911.6865
Bermuda,1999,47199.84145
Bermuda,2000,51140.23684
Bermuda,2001,54245.14964
Bermuda,2002,53096.92549
Bermuda,2003,54549.80116
Bermuda,2004,55452.63888
Bermuda,2005,56017.19162
Bermuda,2006,58784.59329
Bermuda,2007,60117.45991
Bermuda,2008,60675.98209
Bermuda,2009,57151.91913
Bermuda,2010,56395.0078
Bermuda,2011,54984.51039
Bermuda,2012,52137.30037
Bermuda,2013,50669.31477
Bhutan,1990,2332.949197
Bhutan,1991,2327.027368
Bhutan,1992,2464.480351
Bhutan,1993,2558.185314
Bhutan,1994,2724.046641
Bhutan,1995,2930.9917
Bhutan,1996,3073.091674
Bhutan,1997,3185.1465
Bhutan,1998,3293.913057
Bhutan,1999,3460.378358
Bhutan,2000,3596.661058
Bhutan,2001,3780.50966
Bhutan,2002,4062.702306
Bhutan,2003,4245.989538
Bhutan,2004,4370.435445
Bhutan,2005,4560.013627
Bhutan,2006,4757.229066
Bhutan,2007,5490.214963
Bhutan,2008,5640.119352
Bhutan,2009,5906.472139
Bhutan,2010,6485.588497
Bhutan,2011,6882.688407
Bhutan,2012,7120.274077
Bhutan,2013,7167.526211
Bhutan,2014,7456.315988
Bolivia,1990,3707.243969
Bolivia,1991,3826.432479
Bolivia,1992,3813.530795
Bolivia,1993,3898.64697
Bolivia,1994,4000.830669
Bolivia,1995,4106.167985
Bolivia,1996,4201.55692
Bolivia,1997,4323.758868
Bolivia,1998,4453.293195
Bolivia,1999,4386.793436
Bolivia,2000,4412.255626
Bolivia,2001,4403.715378
Bolivia,2002,4431.307131
Bolivia,2003,4470.309092
Bolivia,2004,4575.173415
Bolivia,2005,4694.918628
Bolivia,2006,4836.426745
Bolivia,2007,4972.476257
Bolivia,2008,5191.098919
Bolivia,2009,5278.010684
Bolivia,2010,5407.468585
Bolivia,2011,5598.566773
Bolivia,2012,5793.069971
Bolivia,2013,6090.890591
Bolivia,2014,6324.990141
Bosnia and Herzegovina,1994,1442.403254
Bosnia and Herzegovina,1995,1793.16853
Bosnia and Herzegovina,1996,3449.352492
Bosnia and Herzegovina,1997,4673.955051
Bosnia and Herzegovina,1998,5408.037205
Bosnia and Herzegovina,1999,5913.90994
Bosnia and Herzegovina,2000,6225.210852
Bosnia and Herzegovina,2001,6487.371302
Bosnia and Herzegovina,2002,6815.775795
Bosnia and Herzegovina,2003,7071.757776
Bosnia and Herzegovina,2004,7486.349443
Bosnia and Herzegovina,2005,7845.277266
Bosnia and Herzegovina,2006,8345.978497
Bosnia and Herzegovina,2007,8840.588479
Bosnia and Herzegovina,2008,9336.725948
Bosnia and Herzegovina,2009,9087.634343
Bosnia and Herzegovina,2010,9170.066726
Bosnia and Herzegovina,2011,9265.015888
Bosnia and Herzegovina,2012,9162.495587
Bosnia and Herzegovina,2013,9401.724354
Bosnia and Herzegovina,2014,9490.143489
Botswana,1990,8099.263276
Botswana,1991,8456.474954
Botswana,1992,8462.672074
Botswana,1993,8395.442758
Botswana,1994,8480.822517
Botswana,1995,8863.096604
Botswana,1996,9173.000732
Botswana,1997,9704.455229
Botswana,1998,9586.586256
Botswana,1999,10327.1422
Botswana,2000,10361.31364
Botswana,2001,10234.33122
Botswana,2002,10708.83061
Botswana,2003,11057.12983
Botswana,2004,11199.73097
Botswana,2005,11532.57167
Botswana,2006,12288.37098
Botswana,2007,13066.27625
Botswana,2008,13617.81135
Botswana,2009,12329.2207
Botswana,2010,13119.55551
Botswana,2011,13634.26789
Botswana,2012,14004.07339
Botswana,2013,15002.26014
Botswana,2014,15359.06317
Brazil,1990,10279.86497
Brazil,1991,10263.06815
Brazil,1992,10053.27789
Brazil,1993,10360.04363
Brazil,1994,10745.99291
Brazil,1995,11048.63624
Brazil,1996,11116.56644
Brazil,1997,11315.881
Brazil,1998,11181.37223
Brazil,1999,11065.11567
Brazil,2000,11377.07569
Brazil,2001,11352.55112
Brazil,2002,11531.53495
Brazil,2003,11508.4761
Brazil,2004,11997.3127
Brazil,2005,12219.95523
Brazil,2006,12560.79036
Brazil,2007,13171.07216
Brazil,2008,13691.18657
Brazil,2009,13524.74851
Brazil,2010,14408.72742
Brazil,2011,14830.89956
Brazil,2012,14951.81001
Brazil,2013,15222.32049
Brazil,2014,15109.82555
Brunei,1990,77073.33544
Brunei,1991,77264.92177
Brunei,1992,78672.79732
Brunei,1993,76732.22749
Brunei,1994,77023.81097
Brunei,1995,78403.88324
Brunei,1996,78676.67778
Brunei,1997,75693.01028
Brunei,1998,73577.30513
Brunei,1999,74198.18106
Brunei,2000,74755.9277
Brunei,2001,75321.58312
Brunei,2002,76800.63381
Brunei,2003,77635.01809
Brunei,2004,76679.01393
Brunei,2005,75659.70975
Brunei,2006,77643.7072
Brunei,2007,76453.54282
Brunei,2008,73724.87909
Brunei,2009,71246.34857
Brunei,2010,71941.61325
Brunei,2011,73265.12163
Brunei,2012,72853.03086
Brunei,2013,70535.28789
Brunei,2014,67911.8788
Bulgaria,1990,9284.09876
Bulgaria,1991,8584.628365
Bulgaria,1992,8046.263677
Bulgaria,1993,7990.646817
Bulgaria,1994,8163.593068
Bulgaria,1995,8434.571212
Bulgaria,1996,8613.834111
Bulgaria,1997,8571.104075
Bulgaria,1998,8930.487711
Bulgaria,1999,8476.87985
Bulgaria,2000,8945.725697
Bulgaria,2001,9500.029972
Bulgaria,2002,10266.0775
Bulgaria,2003,10849.26442
Bulgaria,2004,11623.48304
Bulgaria,2005,12531.02873
Bulgaria,2006,13448.29604
Bulgaria,2007,14775.43597
Bulgaria,2008,15719.75987
Bulgaria,2009,15153.74784
Bulgaria,2010,15262.15247
Bulgaria,2011,15603.0255
Bulgaria,2012,15731.32847
Bulgaria,2013,16022.1063
Bulgaria,2014,16363.19176
Burkina Faso,1990,821.2261203
Burkina Faso,1991,872.051102
Burkina Faso,1992,850.8559879
Burkina Faso,1993,856.7749849
Burkina Faso,1994,844.6871766
Burkina Faso,1995,868.7859841
Burkina Faso,1996,938.1729676
Burkina Faso,1997,970.0378322
Burkina Faso,1998,1012.142315
Burkina Faso,1999,1056.837648
Burkina Faso,2000,1045.953314
Burkina Faso,2001,1083.774817
Burkina Faso,2002,1099.000019
Burkina Faso,2003,1150.979605
Burkina Faso,2004,1167.779147
Burkina Faso,2005,1231.691572
Burkina Faso,2006,1269.710944
Burkina Faso,2007,1301.090304
Burkina Faso,2008,1353.763534
Burkina Faso,2009,1351.874533
Burkina Faso,2010,1422.3346
Burkina Faso,2011,1470.435184
Burkina Faso,2012,1519.656516
Burkina Faso,2013,1529.592882
Burkina Faso,2014,1545.077556
Burundi,1990,1049.181336
Burundi,1991,1073.626674
Burundi,1992,1059.5065
Burundi,1993,972.8039725
Burundi,1994,918.1372891
Burundi,1995,831.1942636
Burundi,1996,753.3026449
Burundi,1997,731.2818376
Burundi,1998,755.2515851
Burundi,1999,735.0060487
Burundi,2000,713.2697675
Burundi,2001,709.1083599
Burundi,2002,718.585291
Burundi,2003,686.6508826
Burundi,2004,695.375733
Burundi,2005,677.5276961
Burundi,2006,689.3479051
Burundi,2007,697.1845171
Burundi,2008,706.8742803
Burundi,2009,706.0996539
Burundi,2010,707.7875756
Burundi,2011,712.6704834
Burundi,2012,716.8292026
Burundi,2013,725.3044314
Burundi,2014,734.4845955
Cambodia,1993,1011.093752
Cambodia,1994,1066.009866
Cambodia,1995,1098.70178
Cambodia,1996,1123.733453
Cambodia,1997,1153.747791
Cambodia,1998,1180.029301
Cambodia,1999,1288.816994
Cambodia,2000,1370.822021
Cambodia,2001,1451.159264
Cambodia,2002,1519.753954
Cambodia,2003,1621.000509
Cambodia,2004,1759.822593
Cambodia,2005,1961.920093
Cambodia,2006,2140.252513
Cambodia,2007,2323.89002
Cambodia,2008,2442.923759
Cambodia,2009,2408.623304
Cambodia,2010,2513.293266
Cambodia,2011,2648.650018
Cambodia,2012,2795.168993
Cambodia,2013,2955.173218
Cambodia,2014,3112.630513
Cameroon,1990,2768.322614
Cameroon,1991,2585.777437
Cameroon,1992,2433.871171
Cameroon,1993,2177.455049
Cameroon,1994,2160.41846
Cameroon,1995,2187.79459
Cameroon,1996,2233.117152
Cameroon,1997,2288.993538
Cameroon,1998,2337.691932
Cameroon,1999,2369.053882
Cameroon,2000,2403.863858
Cameroon,2001,2447.58635
Cameroon,2002,2480.462612
Cameroon,2003,2514.635993
Cameroon,2004,2541.454218
Cameroon,2005,2533.935879
Cameroon,2006,2549.510424
Cameroon,2007,2566.143824
Cameroon,2008,2573.736304
Cameroon,2009,2557.577757
Cameroon,2010,2574.969921
Cameroon,2011,2614.495561
Cameroon,2012,2666.240586
Cameroon,2013,2744.621684
Cameroon,2014,2835.566677
Canada,1990,31163.07223
Canada,1991,30090.16318
Canada,1992,29977.0356
Canada,1993,30423.88141
Canada,1994,31505.08623
Canada,1995,32100.90069
Canada,1996,32290.36836
Canada,1997,33309.83269
Canada,1998,34389.28539
Canada,1999,35810.29362
Canada,2000,37313.95813
Canada,2001,37562.8319
Canada,2002,38270.41235
Canada,2003,38620.56568
Canada,2004,39435.63834
Canada,2005,40283.91382
Canada,2006,41011.96297
Canada,2007,41431.82777
Canada,2008,41467.62985
Canada,2009,39884.01509
Canada,2010,40773.06839
Canada,2011,41567.43177
Canada,2012,41865.04493
Canada,2013,42213.11969
Canada,2014,42777.89898
Cape Verde,1990,1659.951046
Cape Verde,1991,1644.373165
Cape Verde,1992,1777.680844
Cape Verde,1993,1880.296155
Cape Verde,1994,2179.809057
Cape Verde,1995,2423.107173
Cape Verde,1996,2628.134216
Cape Verde,1997,2846.96317
Cape Verde,1998,3126.432256
Cape Verde,1999,3398.846659
Cape Verde,2000,3803.260335
Cape Verde,2001,3813.216534
Cape Verde,2002,3942.595984
Cape Verde,2003,4042.632026
Cape Verde,2004,4394.923814
Cape Verde,2005,4646.811853
Cape Verde,2006,4975.40485
Cape Verde,2007,5694.334514
Cape Verde,2008,6041.079595
Cape Verde,2009,5929.41809
Cape Verde,2010,5970.929036
Cape Verde,2011,6147.974534
Cape Verde,2012,6143.631979
Cape Verde,2013,6129.671272
Cape Verde,2014,6219.777782
Caribbean small states,1990,9078.362719
Caribbean small states,1991,9227.001933
Caribbean small states,1992,9182.394491
Caribbean small states,1993,9387.937364
Caribbean small states,1994,9563.988387
Caribbean small states,1995,9763.844722
Caribbean small states,1996,9995.483736
Caribbean small states,1997,10232.16987
Caribbean small states,1998,10422.78928
Caribbean small states,1999,10771.84998
Caribbean small states,2000,11108.39658
Caribbean small states,2001,11291.50999
Caribbean small states,2002,11696.88592
Caribbean small states,2003,12441.98519
Caribbean small states,2004,12948.58142
Caribbean small states,2005,13359.25972
Caribbean small states,2006,14265.89939
Caribbean small states,2007,14667.14721
Caribbean small states,2008,14819.2906
Caribbean small states,2009,14208.08287
Caribbean small states,2010,14139.62854
Caribbean small states,2011,14221.76962
Caribbean small states,2012,14310.98737
Caribbean small states,2013,14440.83621
Caribbean small states,2014,14530.81666
Cayman Islands,2011,49902.14655
Central African Republic,1990,935.7755103
Central African Republic,1991,908.0071696
Central African Republic,1992,828.1693026
Central African Republic,1993,809.5329353
Central African Republic,1994,827.5765771
Central African Republic,1995,865.3165567
Central African Republic,1996,810.9344624
Central African Republic,1997,834.2019552
Central African Republic,1998,854.0910107
Central African Republic,1999,866.3626733
Central African Republic,2000,828.3033516
Central African Republic,2001,849.6360945
Central African Republic,2002,865.5130803
Central African Republic,2003,805.5426468
Central African Republic,2004,840.0031472
Central African Republic,2005,833.4791403
Central African Republic,2006,848.8461228
Central African Republic,2007,872.1104847
Central African Republic,2008,873.7436085
Central African Republic,2009,872.1558983
Central African Republic,2010,881.8485023
Central African Republic,2011,893.6794586
Central African Republic,2012,912.5895949
Central African Republic,2013,572.3312396
Central African Republic,2014,566.846007
Central Europe and the Baltics,1990,12090.316
Central Europe and the Baltics,1991,10951.09236
Central Europe and the Baltics,1992,10738.71079
Central Europe and the Baltics,1993,10900.39109
Central Europe and the Baltics,1994,11354.54014
Central Europe and the Baltics,1995,12021.4944
Central Europe and the Baltics,1996,12588.75579
Central Europe and the Baltics,1997,12977.05896
Central Europe and the Baltics,1998,13364.09884
Central Europe and the Baltics,1999,13634.42819
Central Europe and the Baltics,2000,14257.62777
Central Europe and the Baltics,2001,14785.79768
Central Europe and the Baltics,2002,15376.62176
Central Europe and the Baltics,2003,16116.23665
Central Europe and the Baltics,2004,17082.29273
Central Europe and the Baltics,2005,17959.97875
Central Europe and the Baltics,2006,19191.01485
Central Europe and the Baltics,2007,20527.39865
Central Europe and the Baltics,2008,21402.25772
Central Europe and the Baltics,2009,20646.12988
Central Europe and the Baltics,2010,21108.00424
Central Europe and the Baltics,2011,21839.73015
Central Europe and the Baltics,2012,22023.16259
Central Europe and the Baltics,2013,22383.24102
Central Europe and the Baltics,2014,23065.37421
Chad,1990,1110.221223
Chad,1991,1167.135345
Chad,1992,1221.028838
Chad,1993,996.799694
Chad,1994,1062.755828
Chad,1995,1040.780552
Chad,1996,1028.516746
Chad,1997,1050.104301
Chad,1998,1084.60377
Chad,1999,1039.353526
Chad,2000,993.0922742
Chad,2001,1067.8754
Chad,2002,1114.986341
Chad,2003,1231.07364
Chad,2004,1584.598898
Chad,2005,1793.242521
Chad,2006,1743.280121
Chad,2007,1740.873791
Chad,2008,1736.002514
Chad,2009,1750.940388
Chad,2010,1923.709839
Chad,2011,1862.351166
Chad,2012,1961.283095
Chad,2013,2005.214796
Chad,2014,2081.718396
Chile,1990,9244.159549
Chile,1991,9821.830843
Chile,1992,10854.70461
Chile,1993,11434.59018
Chile,1994,11906.41031
Chile,1995,12980.62089
Chile,1996,13747.26268
Chile,1997,14456.46747
Chile,1998,14727.22445
Chile,1999,14427.9757
Chile,2000,14887.8983
Chile,2001,15197.99875
Chile,2002,15341.3958
Chile,2003,15761.12871
Chile,2004,16520.17666
Chile,2005,17239.8609
Chile,2006,17796.76913
Chile,2007,18507.22085
Chile,2008,18906.12706
Chile,2009,18505.60281
Chile,2010,19357.47343
Chile,2011,20266.03603
Chile,2012,21141.97773
Chile,2013,21800.53265
Chile,2014,21979.82132
China,1990,1516.213656
China,1991,1634.281416
China,1992,1844.850605
China,1993,2077.953526
China,1994,2323.301433
China,1995,2550.855169
China,1996,2774.783856
China,1997,2999.949412
China,1998,3204.65187
China,1999,3419.055336
China,2000,3678.160366
China,2001,3954.55816
China,2002,4285.255854
China,2003,4685.362979
China,2004,5126.902462
China,2005,5675.451402
China,2006,6359.953769
China,2007,7224.914366
China,2008,7879.716895
China,2009,8564.589789
China,2010,9429.501149
China,2011,10274.49435
China,2012,11016.98906
China,2013,11805.0866
China,2014,12599.18183
Colombia,1990,7533.518824
Colombia,1991,7562.696828
Colombia,1992,7799.908755
Colombia,1993,7844.022303
Colombia,1994,8160.12027
Colombia,1995,8442.850137
Colombia,1996,8478.950658
Colombia,1997,8634.469535
Colombia,1998,8553.381568
Colombia,1999,8073.372693
Colombia,2000,8308.222744
Colombia,2001,8327.070759
Colombia,2002,8415.758715
Colombia,2003,8625.247388
Colombia,2004,8963.596588
Colombia,2005,9263.729745
Colombia,2006,9760.130028
Colombia,2007,10306.93007
Colombia,2008,10547.23315
Colombia,2009,10599.94043
Colombia,2010,10900.50433
Colombia,2011,11496.52725
Colombia,2012,11840.35585
Colombia,2013,12303.75179
Colombia,2014,12743.01602
Comoros,1990,1531.461331
Comoros,1991,1406.770124
Comoros,1992,1482.751262
