Entity,Year,Metals and Mining (Bank of England (2017)),Textiles and Leather (Bank of England (2017)),Other Industries (Bank of England (2017)),Total Industry (Bank of England (2017))
England,1377,13.70638672,28.1084246,5.87197882,17.41242926
England,1378,16.0726359,26.1846531,5.717552274,16.92396926
England,1379,16.73841473,25.03757457,5.248494335,15.85454323
England,1380,17.4317722,27.64256841,5.233516014,17.12987141
England,1381,18.15385071,27.22672696,5.299963213,17.24556454
England,1382,18.90583997,26.83724297,5.426860027,17.5008461
England,1383,19.68897897,29.21233564,5.064320792,17.86836452
England,1384,20.84978045,29.76544873,5.611693837,19.19333757
England,1385,21.60876604,29.92388416,5.057611537,18.31608059
England,1386,25.9840947,30.94792438,5.484959329,20.45036011
England,1387,27.05560376,29.06945801,5.504307172,19.92017901
England,1388,26.54562927,28.60580042,5.052010426,18.91105138
England,1389,26.04526735,31.95898922,5.095137269,20.18798062
England,1390,25.55433682,30.73809288,4.752964363,19.01172837
England,1391,25.07265989,31.70092054,5.292213897,20.29573304
England,1392,24.60006216,35.28128929,5.798825106,22.51827003
England,1393,24.60006216,32.33042332,4.81106417,19.60329403
England,1394,25.9840947,32.3512672,5.231132892,20.56072246
England,1395,26.74308028,33.54704356,4.911206375,20.58992503
England,1396,26.43055681,33.85507441,4.888854236,20.6662331
England,1397,28.70751356,33.78810801,4.719935458,20.8523194
England,1398,28.4842825,33.55695293,5.031522835,21.32198017
England,1399,30.15421076,34.12800111,4.740214298,21.33788083
England,1400,31.92204074,34.14588777,4.445067281,21.35176386
England,1401,31.37134736,34.1393582,4.410433574,21.0643612
England,1402,30.8301541,32.62503103,4.576591475,20.62447361
England,1403,30.29829708,33.74325132,4.655271152,21.05369532
England,1404,29.77561522,34.74267468,4.718926819,21.39874006
England,1405,29.26195025,33.6135058,4.782124536,20.97226768
England,1406,28.75714662,31.05058556,4.483050088,19.52547712
England,1407,28.26105145,30.7045827,4.513255055,19.37847823
England,1408,28.31442492,29.69673494,4.182486771,18.59776843
England,1409,28.36789919,27.94400486,4.370969544,18.33606283
England,1410,28.42147445,27.45357293,4.623109379,18.65123256
England,1411,28.4751509,29.39324989,4.475999856,19.14550889
England,1412,28.52892871,28.93564211,4.377616648,18.92768463
England,1413,27.36812723,26.66050102,4.03601168,17.16069154
England,1414,31.65416347,30.76590715,4.416043056,20.15673185
England,1415,30.85053168,34.16433155,4.409982805,21.37996016
England,1416,29.02003703,34.76641802,4.268920058,20.95619268
England,1417,25.42679121,36.47212476,4.721312581,21.4239089
England,1418,22.2784592,36.38639233,4.523700635,20.34192981
England,1419,22.87915673,37.2995558,4.744013728,21.15374724
England,1420,23.49605095,36.74981579,4.6498462,20.97587285
England,1421,24.12957859,36.84821952,4.305974589,20.62776888
England,1422,24.78018814,36.08398662,4.454933239,20.87714749
England,1423,25.44834017,35.20776028,4.713120427,21.10226116
England,1424,23.34996826,34.62243713,4.834681744,20.63029484
England,1425,25.1804629,34.46030019,4.638288452,20.70826984
England,1426,23.30532205,33.30973575,4.577986103,19.82859927
England,1427,23.03744478,31.32913429,4.542540394,18.89352986
England,1428,20.18008729,28.98567142,4.401497734,17.13573216
England,1429,23.930369,30.39383467,4.465253277,18.50159731
England,1430,22.85885994,31.65182523,4.624901724,19.02709454
England,1431,24.06430763,33.43516995,4.583659436,19.71022167
England,1432,20.71584182,32.70011725,4.609111183,18.7259245
England,1433,20.09079487,34.46757383,4.713522271,19.36401325
England,1434,22.05522815,38.41548687,4.849019789,21.43200776
England,1435,18.43888507,33.89891071,4.472214095,18.41705363
England,1436,19.86756382,29.62342937,4.289035415,16.89825708
England,1437,16.34051316,32.60847485,4.07375762,16.91766176
England,1438,19.10857823,33.91035043,4.169144836,18.10636124
England,1439,18.75140854,34.25877245,4.361197505,18.45897116
England,1440,16.83162148,28.74273338,4.548652425,16.31159841
England,1441,18.08171538,28.09400379,4.064876697,15.38489522
England,1442,15.35829652,33.55722427,4.081071523,16.88093593
England,1443,17.18879117,31.50142173,4.936320777,18.01133824
England,1444,17.07681088,28.36925588,5.031789056,16.92823793
England,1445,16.96556011,31.2855249,4.286172278,16.71952436
England,1446,16.78697527,30.70288426,4.562549278,16.89362481
England,1447,19.28716307,31.47855111,4.619144509,17.76670974
England,1448,18.21565401,33.28356376,4.710575736,18.35483826
England,1449,19.15322444,34.0738651,4.329799235,18.11397595
England,1450,18.61746991,33.32896975,4.466248323,17.94452677
England,1451,17.3227298,32.97272393,4.559763639,17.58965533
England,1452,17.18879117,32.98117541,4.527370596,17.68191377
England,1453,16.87626769,33.13865491,4.591805389,17.79100971
England,1454,16.83162148,34.25644375,4.602322854,18.26655654
England,1455,16.42980558,32.59437324,4.658815583,17.62440287
England,1456,16.38515937,32.80752896,4.715199395,17.7892436
England,1457,16.015679,34.62806051,4.317706193,17.70936238
England,1458,15.65453029,33.4257056,4.63831074,17.69185755
England,1459,15.30152538,31.69491498,4.677213168,17.04952025
England,1460,14.95648062,33.03194248,4.709671343,17.57461997
England,1461,15.20005147,32.85162435,4.756111481,17.59602214
England,1462,15.44758894,32.12924859,5.246501799,18.25900318
England,1463,15.22435789,33.30599803,5.320384544,18.74424818
England,1464,15.04577305,32.1789909,4.926097489,17.46737272
England,1465,17.23343738,32.45718292,4.80061216,17.69438467
England,1466,21.65341225,32.84154385,4.681298077,18.46433779
England,1467,21.65341225,32.09160146,4.878618346,18.49117438
England,1468,21.15660465,31.48777499,5.163814347,18.62852258
England,1469,20.67119561,31.35557639,5.129375236,18.38553337
England,1470,22.14452057,31.53961373,5.077384076,18.53188232
England,1471,20.05027261,33.87557829,4.853470012,18.58786088
England,1472,22.03801515,33.14730974,5.001603555,18.97585069
England,1473,21.60662016,31.64217634,5.064909141,18.38185615
England,1474,21.18366974,32.22661078,5.316341659,18.94279715
England,1475,20.76899859,31.93588811,5.220039993,18.5365865
England,1476,20.36244465,30.72375993,4.917081425,17.40543755
England,1477,19.96384902,32.42521808,5.09647613,18.5591687
England,1478,20.52560234,34.07083142,5.193826054,19.22743495
England,1479,20.60595482,32.13552342,5.582670751,19.0137838
England,1480,20.68662186,32.20919778,5.872951322,19.65286665
England,1481,20.76760469,32.0940705,5.636273592,19.15605626
England,1482,20.84890455,32.18556813,5.411189368,18.67946328
England,1483,20.93052268,34.51535278,5.638022329,20.75730747
England,1484,21.01246031,35.02882842,5.587411132,20.24514661
England,1485,21.09471872,34.40539967,5.350400608,19.78020403
England,1486,21.17729914,32.84843747,6.049743548,19.8357202
England,1487,21.26020285,31.24213778,5.662276408,18.60468996
England,1488,22.58936992,30.98510687,5.757088567,18.81277876
England,1489,23.91853698,30.77006225,5.863906534,19.19744831
England,1490,25.24770405,30.72200322,5.873753533,19.90356411
England,1491,26.03318817,29.29033912,5.908947043,20.25731108
England,1492,26.08929418,31.22770032,5.886583383,21.02223026
England,1493,26.1734532,30.36292008,5.863537363,20.60852211
England,1494,26.22955921,29.51821405,6.21500905,20.71641922
England,1495,24.67393461,28.76719118,6.229341951,20.06130134
England,1496,26.03581804,27.65154763,6.161228518,19.61193247
England,1497,27.33920428,28.5361697,6.441146928,20.63448138
England,1498,26.57184311,29.50549759,6.478478389,20.94348358
England,1499,25.87288168,30.39216894,6.604785579,21.24060573
England,1500,24.02926894,31.44724127,6.461144357,21.08139975
England,1501,26.82536471,31.33177665,6.037838647,21.15472722
England,1502,26.15360722,30.74314718,6.419716195,21.18792973
England,1503,25.5381705,30.51819831,6.739963682,21.47058193
England,1504,25.36532332,31.66114344,6.726120385,21.86225268
England,1505,25.95205758,32.2193623,6.907092439,22.25182042
England,1506,26.54183341,32.80654314,6.817674506,22.61196645
England,1507,27.1791127,33.14374521,6.681291215,22.63458758
England,1508,28.3872729,32.25466134,6.919088187,22.70816057
England,1509,28.26668019,32.25929142,7.341668152,22.82435357
England,1510,29.06950613,32.51606425,7.062756645,23.03180501
England,1511,30.12167992,32.55077658,7.028165056,23.29015926
England,1512,31.22688224,33.39553675,6.573543398,23.75676911
England,1513,32.43389368,34.38087899,6.858651582,24.55808252
England,1514,33.90709031,34.22365508,6.754940809,24.81513812
England,1515,34.90606862,34.15123605,7.100283393,25.1449292
England,1516,34.61471764,34.33099598,6.937668663,25.09392503
England,1517,34.84673489,34.40031045,7.041537048,25.21450567
England,1518,34.53218169,34.83339485,7.070319479,25.32860778
England,1519,35.51644346,34.17973316,6.976053471,25.26290567
England,1520,35.84393354,33.58301263,7.07078625,25.1256151
England,1521,39.72183004,34.46586709,7.063661309,26.43375391
England,1522,32.20480484,36.01935778,7.388823871,25.36633642
England,1523,36.0621276,37.01612611,7.43599742,26.7354638
England,1524,38.78407037,37.28881052,7.501978129,27.53295881
England,1525,38.93173414,37.95320376,7.70025071,27.9134665
England,1526,38.42437917,38.17247253,7.848938585,27.93222914
England,1527,40.36216434,37.44451951,7.2133896,27.88329131
England,1528,39.98497929,37.49882,7.464296865,27.89955598
England,1529,39.17521687,38.75380045,7.639896635,28.2862357
England,1530,38.15465984,39.17315742,8.094998014,28.36791787
England,1531,38.54740767,39.51005332,7.663689984,28.45741013
England,1532,38.84084155,40.15502004,8.140354279,28.95979889
England,1533,38.88775763,40.57806578,8.212997972,29.17242857
England,1534,40.31229752,40.639724,8.859719782,29.76394658
England,1535,39.49843056,40.39579081,8.203002404,29.24132154
England,1536,35.85616537,40.34837686,8.320149724,28.37646606
England,1537,36.87722413,40.69275161,9.295466804,29.09957913
England,1538,38.98252739,41.40102732,8.707833258,29.7070103
England,1539,41.10239852,41.38531924,9.653780579,30.53681882
England,1540,41.68476535,41.11984355,9.437343619,30.49398032
England,1541,44.47856227,41.24618437,8.744253676,30.98998722
England,1542,43.79063893,41.29013957,9.483742016,31.0924222
England,1543,39.70071148,41.78171474,9.261212378,30.22835679
England,1544,42.34444325,44.56196442,9.793073715,32.21162292
England,1545,43.84372213,44.80511997,9.282485179,32.50388529
England,1546,45.3616265,45.04960245,9.362830876,33.00197722
England,1547,45.77328854,45.2954191,10.47809451,33.58345151
England,1548,41.70279783,45.5425772,10.64507574,32.75442718
England,1549,37.65300096,45.79108409,10.12733987,31.69838264
England,1550,40.26236339,46.04094711,10.27347262,32.48623181
England,1551,43.27769914,41.44203117,10.11992044,31.24731813
England,1552,46.52986073,40.99437492,9.764058499,31.72969291
England,1553,50.29047241,40.54721227,12.09323854,33.24795476
England,1554,46.91361453,41.27690129,10.95966494,32.34700133
England,1555,44.28623762,40.11660544,11.38315216,31.36832681
England,1556,33.22072663,37.98153831,9.604871128,27.18487253
England,1557,33.24969484,38.18172322,10.75521986,27.66624895
England,1558,31.37269552,44.17851505,13.76648978,30.73591926
England,1559,31.49479137,46.03688951,12.16119058,30.99580464
England,1560,30.63725056,57.66399754,11.63857476,35.46237103
England,1561,31.56882652,54.66438493,12.21410619,34.63235518
England,1562,29.30391357,56.0079511,12.51961521,34.7466182
England,1563,27.03992448,57.24412358,14.1682765,35.27257877
England,1564,30.03548565,53.741232,13.65068448,34.36260359
England,1565,28.82503519,54.45679966,14.17434496,34.5450633
England,1566,30.16563005,59.21100818,16.21599828,37.54845327
England,1567,32.67270253,57.30788624,15.38765424,37.08188074
England,1568,25.1519094,57.16481455,16.09047166,35.43380276
England,1569,32.10750536,59.55508141,15.96838373,38.07969537
England,1570,27.31492454,62.97559511,15.10627995,38.05000961
England,1571,26.79794239,61.23239245,15.22800286,37.23825762
England,1572,26.5513942,65.14371488,14.72267251,38.63903689
England,1573,28.0023715,68.86403025,17.38711916,41.44933388
England,1574,27.27608785,70.90356896,14.92446144,41.28745789
England,1575,29.54084933,70.79572941,17.65549848,42.7204432
England,1576,31.96280906,70.51317702,18.60107415,43.51215147
England,1577,32.88168222,70.62331403,15.46348817,42.71545659
England,1578,30.00984949,70.9224212,19.00258712,43.34488706
England,1579,32.57335499,64.1687114,19.65431538,41.3704933
England,1580,36.58707903,62.05719599,18.98473329,41.23691563
England,1581,35.03989145,55.09562231,19.18831738,38.02486334
England,1582,35.01751781,45.14061647,17.73789865,33.37208554
England,1583,34.97045952,41.90316627,21.67063174,33.34555895
England,1584,34.93604993,41.17949834,21.48510787,32.97215897
England,1585,35.87420578,41.38478803,18.87683934,32.39967812
England,1586,33.89113419,54.35246615,17.28282754,36.78830364
England,1587,31.64974351,48.25978419,20.79891511,34.89553753
England,1588,33.64597371,51.84390936,23.61456119,37.83282788
England,1589,32.97080803,50.66505642,20.78145237,36.21436244
England,1590,34.91845266,51.20756772,22.87533633,37.62527063
England,1591,38.40114111,64.00587671,21.6202611,43.38622576
England,1592,41.26814414,63.20423347,24.04823818,44.57301579
England,1593,40.18846777,61.90428241,26.03306036,44.44247479
England,1594,44.06830832,57.29020205,20.61486377,41.61876516
England,1595,44.69128372,53.13128847,21.86002744,40.45744159
England,1596,43.82597971,53.17163321,20.8183613,39.91018651
England,1597,39.40262234,55.40738287,19.61883569,39.36112512
England,1598,36.94040616,63.15436291,23.9956303,43.48293502
England,1599,39.99839406,64.43616876,28.90393434,46.42823862
England,1600,41.78722246,66.10444947,27.72256673,47.15772952
England,1601,45.18606762,69.53767802,26.97760157,49.16319831
England,1602,49.38385899,68.4940537,29.22310525,50.51031726
England,1603,44.63909273,71.5936683,32.31715786,51.70230063
England,1604,46.45175866,73.51410217,34.88252353,53.81564775
England,1605,46.37200495,72.39389795,30.78621254,51.93717799
England,1606,46.02445414,80.58504359,32.55036839,55.87053996
England,1607,46.4802186,65.65298131,31.36259748,49.34603054
England,1608,47.99686693,67.07057616,29.1308415,49.54794057
England,1609,45.90839485,63.31748705,37.10398629,50.18286913
England,1610,44.29965823,61.3108463,40.76207797,50.19730673
England,1611,44.536058,62.2977914,36.84016394,49.33428515
England,1612,46.74411733,45.41091775,37.61291485,43.08569005
England,1613,49.12438306,53.45348991,35.08092001,46.16027337
England,1614,49.10471392,55.59441822,33.15344025,46.39418807
England,1615,50.27891027,57.00708087,37.62888759,48.78939916
England,1616,48.76188258,59.62271396,35.00990239,48.62273628
England,1617,51.40274131,57.73661885,40.04950698,50.18921846
England,1618,54.33154474,55.63993132,40.8030232,50.28170632
England,1619,55.99105622,46.18647214,38.30377086,45.89053911
England,1620,57.94865688,44.88866681,47.70438889,49.01805789
England,1621,64.84339675,53.0332838,46.59607206,53.71563951
England,1622,59.9854147,53.29254625,40.45823522,50.5584923
England,1623,65.19181682,58.73928889,39.17577594,53.66081648
England,1624,48.90260935,61.26789026,47.57275183,53.61134353
England,1625,57.13350647,57.92404731,48.28594085,54.45775475
England,1626,56.73002877,56.83476163,44.6108079,52.6566235
England,1627,56.64715463,49.67728153,46.92201745,50.43455514
England,1628,56.66554275,50.70757651,56.61582776,54.16216374
England,1629,56.69777771,49.68687912,39.24253451,47.84200254
England,1630,59.31574991,48.39517693,39.15403459,47.90887967
England,1631,60.7968005,48.4243189,39.84807262,48.51663046
England,1632,61.80448063,47.85612766,47.5752594,51.1493741
England,1633,63.86798963,47.8909719,45.01800411,50.79648715
England,1634,56.82153403,41.47325824,48.80831799,47.69387276
England,1635,57.53343247,41.68634057,51.84265402,48.98656918
England,1636,54.75884628,41.2493016,48.06346018,46.84624889
England,1637,57.2210926,40.99512896,47.86021573,47.26931392
England,1638,63.14487163,51.70948442,51.43596763,54.39471946
England,1639,44.03220973,52.37182335,55.33641106,51.35289107
England,1640,34.30174852,53.2909516,59.22066769,50.69207698
England,1641,36.25220062,55.78744741,52.9714317,50.08483474
England,1642,40.75070358,48.33916253,67.1373806,52.88168358
England,1643,38.16366406,52.8528921,66.8769583,54.04846302
England,1644,34.11960372,48.54533514,66.14449971,51.01944521
England,1645,41.90579813,44.95729029,55.89446062,47.93150077
England,1646,36.67860589,48.23120416,56.70960023,48.30483651
England,1647,38.661003,50.06339351,58.98013426,50.32243133
England,1648,32.20651985,52.85918222,61.52777039,50.78662434
England,1649,41.19553791,56.5280179,56.2552652,52.71043187
England,1650,42.07669629,61.2835001,51.22727873,53.20105421
England,1651,42.65132798,61.85159059,53.88438845,54.48041074
England,1652,43.56899826,66.77175656,64.62166072,60.40437042
England,1653,44.53789537,67.74625877,75.73466061,64.82173845
England,1654,45.93825343,73.3621362,71.86243289,66.19020499
England,1655,45.22648527,74.56042878,78.56068107,68.79289313
England,1656,44.60713649,66.80545521,72.45050983,63.3302421
England,1657,43.88053558,66.4305382,67.22663251,61.22260791
England,1658,59.82963873,66.9690128,62.24421974,63.6294519
England,1659,54.57755464,41.38876595,56.50095939,49.72677731
England,1660,55.47093598,42.17318287,66.5849491,53.6968963
England,1661,63.7532215,52.89750096,61.81771455,58.56518305
England,1662,61.63129274,52.19963179,63.18954004,58.22445978
England,1663,67.51760061,86.69832684,69.36497643,76.15004649
England,1664,51.82595868,85.78433502,66.84183669,71.09926382
England,1665,45.12856785,84.75778493,70.67113941,70.34463891
England,1666,54.45921567,85.09230419,82.57387129,76.79463663
England,1667,79.17418476,84.382409,79.28410146,81.38511899
England,1668,72.36943089,85.47999741,69.26895481,76.78769107
England,1669,72.71245493,77.15152803,74.11301315,75.04084645
England,1670,76.41332824,76.93943262,72.03348974,75.14498312
England,1671,70.76287009,70.4918625,70.0759802,70.41641945
England,1672,68.60091962,75.95424802,68.23224737,71.5445037
England,1673,78.2170786,74.64679695,69.92080986,73.90867218
England,1674,72.34568907,72.61358154,67.23820243,70.72238714
England,1675,90.55364532,69.77644836,67.89336228,74.18441657
England,1676,90.17075441,75.45394023,86.28623227,82.70921708
England,1677,103.1800143,75.9499669,75.14437044,82.29165583
England,1678,98.38517429,71.15589461,82.69954798,81.69265629
England,1679,90.0976129,67.3467707,77.69714209,76.39014583
England,1680,98.36084976,64.71121673,92.1924721,82.222048
England,1681,91.86182028,71.50778826,77.2653412,78.40861191
England,1682,103.8370974,73.20319068,78.93442838,82.59250382
England,1683,104.4181079,74.80705877,88.20846397,86.55356724
England,1684,99.50082486,52.77320724,74.17267724,71.3951601
England,1685,96.2576723,59.90145073,85.58850913,77.46030968
England,1686,107.836579,55.74592528,73.97844325,74.59492337
England,1687,96.86096198,54.20698696,87.85350446,75.99981396
England,1688,84.3618174,89.48442412,90.59137951,88.61597225
England,1689,87.7937711,86.68188791,89.70282152,87.9782775
England,1690,89.14925535,91.37190124,96.72884036,92.65177102
England,1691,85.65142033,88.3717015,99.1159231,91.36082944
England,1692,88.42633247,94.78402033,107.8934523,97.6929677
England,1693,87.41965931,92.73773784,84.2008851,88.54562464
England,1694,82.36732752,91.71412954,110.8075529,95.92975896
England,1695,87.31272262,97.82234407,102.4359665,96.83642875
England,1696,80.87606967,97.81591374,95.34532438,92.86118488
England,1697,82.99492106,93.69859817,94.03900951,91.21385264
England,1698,95.39008087,94.89862484,96.22872357,95.46987905
England,1699,104.590128,95.83506557,88.28178515,95.39606812
England,1700,100,100,100,100
England,1701,107.4974053,131.7132635,91.77832689,111.8625583
England,1702,84.22923255,118.5896935,91.06088133,101.1123615
England,1703,94.7367839,85.41483844,99.66477603,92.64436776
England,1704,102.2272844,134.5889231,105.6404279,117.019911
England,1705,98.63693192,109.4482495,106.0965343,105.897258
England,1706,93.63729548,71.01656331,96.86976308,85.35848893
England,1707,91.11521806,92.7561466,108.8314541,98.30150486
England,1708,102.2763325,161.615891,102.5513075,127.2054507
England,1709,104.7717998,110.8671779,91.97341537,102.6267115
England,1710,101.2753602,75.08495213,91.82137585,86.84858042
England,1711,103.1543112,87.58319025,81.02669956,88.52106036
England,1712,101.0464521,106.9561972,81.35349376,88.52106036
England,1713,100.9376298,127.5594616,86.54799231,94.1771035
England,1714,110.5920262,120.0823827,87.22628221,103.4244402
England,1715,106.7290731,118.8778325,91.34171603,104.1706881
England,1716,113.7424319,146.2934749,83.86460079,109.9272372
England,1717,126.7555548,152.0667476,88.82856634,117.1390633
England,1718,128.7562854,145.2470003,92.51706273,117.5104777
England,1719,129.4528181,168.5191115,93.76272971,124.8526961
England,1720,128.2993378,135.8903497,102.6194043,119.7205319
England,1721,128.8374088,126.6119437,93.58174893,112.7979861
England,1722,126.8283406,145.3918505,95.75520907,118.674572
England,1723,126.7604391,156.1941193,92.7652859,118.4197783
England,1724,125.4855722,117.8194367,95.35198081,112.9038362
England,1725,127.9154013,130.856905,96.94095253,116.9512557
England,1726,130.4829929,149.4186816,94.93323113,119.2899937
England,1727,128.4694991,126.6198559,94.21754451,114.1035831
England,1728,122.3542158,119.4834124,96.42381829,110.750276
England,1729,125.2649962,107.7709052,84.63073894,101.0941677
England,1730,119.0975348,118.6287798,93.19541693,108.6353747
England,1731,120.3619268,118.1516771,87.54346998,106.3962199
England,1732,117.9213013,116.2511459,101.2245091,110.4721006
England,1733,121.5340494,128.8955833,98.56316923,115.8759093
England,1734,114.6758343,131.3391385,97.62213638,115.6851583
England,1735,120.3490456,128.6747011,97.12543008,115.0464598
England,1736,117.4333617,130.0312656,98.10337063,115.6493061
England,1737,114.8007406,108.2137317,96.36843879,104.3782455
England,1738,119.1174671,133.0388306,93.34638966,115.4501415
England,1739,121.6596471,132.8344111,86.91016076,113.2150953
England,1740,134.3385787,124.0727282,88.76872818,109.9139008
England,1741,120.5790364,131.3600963,92.01346593,113.8238714
England,1742,127.4953786,125.85236,95.78025216,112.4422486
England,1743,130.4110377,127.3043703,94.31279817,113.089027
England,1744,129.484841,133.1180074,88.81415421,114.6590415
England,1745,130.8862593,132.3819318,94.51064282,116.0929671
England,1746,135.4253302,137.3552711,96.0496119,119.80999
England,1747,134.7064556,136.5169432,90.42880468,117.5608911
England,1748,135.2339144,147.5950201,99.92033756,126.8178256
England,1749,141.6706863,144.7920456,92.44264801,123.5267592
England,1750,146.1711717,150.4213218,116.1139419,134.3302727
England,1751,154.0020981,149.3094743,99.99936334,129.5103992
England,1752,153.9794832,157.1984531,101.3379333,134.4219931
England,1753,154.4955627,156.7214057,105.0756569,135.3299336
