Entity,Year,"CO2 concentrations (NOAA, 2018)"
World,-508702,233.40
World,-507835,240.30
World,-506991,237.00
World,-506168,238.20
World,-505362,236.00
World,-504534,235.50
World,-503734,233.90
World,-502962,234.10
World,-502227,232.20
World,-501469,232.00
World,-500688,231.20
World,-499911,230.80
World,-499134,228.20
World,-498355,230.80
World,-497577,230.60
World,-496787,232.80
World,-496016,236.50
World,-495238,236.40
World,-494494,237.60
World,-493776,238.50
World,-493074,238.30
World,-492350,239.10
World,-491643,239.70
World,-490914,243.70
World,-490205,246.70
World,-489501,243.30
World,-488784,242.60
World,-488545,249.30
World,-488076,252.80
World,-487770,240.90
World,-487352,242.00
World,-486615,237.10
World,-485898,231.30
World,-485179,232.90
World,-484449,233.00
World,-483718,231.20
World,-482986,231.40
World,-482230,231.40
World,-481445,227.30
World,-480631,223.40
World,-479713,223.80
World,-478777,218.80
World,-478378,220.80
World,-477826,231.30
World,-477453,236.50
World,-476942,239.10
World,-475991,236.60
World,-475000,232.80
World,-473975,233.10
World,-473024,241.20
World,-472142,245.60
World,-471851,243.90
World,-471268,243.70
World,-470913,232.70
World,-470313,229.20
World,-469875,218.70
World,-469251,215.50
World,-468776,206.50
World,-468090,205.50
World,-466928,203.40
World,-465757,204.40
World,-464682,208.10
World,-463652,210.00
World,-463315,205.20
World,-462649,199.90
World,-461577,194.40
World,-460464,190.70
World,-459336,195.50
World,-458302,202.40
World,-457262,208.30
World,-456844,203.30
World,-456258,204.30
World,-455795,199.10
World,-455164,192.50
World,-454052,193.30
World,-452914,198.40
World,-451826,201.90
World,-450786,204.90
World,-449797,201.20
World,-448693,201.70
World,-447621,208.10
World,-446509,203.50
World,-445269,201.10
World,-443382,199.10
World,-441895,202.00
World,-440281,201.30
World,-438710,201.70
World,-437113,200.30
World,-435535,207.50
World,-433990,209.80
World,-432429,207.60
World,-431900,211.50
World,-430229,227.20
World,-429074,219.70
World,-427228,242.50
World,-426890,248.20
World,-425991,252.10
World,-425205,255.30
World,-424672,265.40
World,-424287,270.00
World,-423791,270.80
World,-423182,268.30
World,-422558,267.70
World,-421275,270.60
World,-420583,266.40
World,-419962,268.60
World,-418752,273.80
World,-418184,271.20
World,-417626,273.70
World,-416555,274.60
World,-416007,271.80
World,-415490,273.40
World,-414475,271.70
World,-413996,276.40
World,-413230,271.60
World,-412261,264.90
World,-411309,274.90
World,-409398,283.50
World,-408504,282.60
World,-407648,274.70
World,-406869,284.50
World,-405332,285.60
World,-404593,279.60
World,-403113,280.50
World,-402363,276.50
World,-400910,275.70
World,-400191,283.10
World,-398760,283.20
World,-397976,277.10
World,-396325,276.30
World,-392956,260.70
World,-392054,273.60
World,-391027,259.50
World,-390337,258.10
World,-387460,245.80
World,-385875,246.80
World,-384334,239.10
World,-382607,240.00
World,-380981,227.00
World,-376810,229.60
World,-375085,224.60
World,-373255,214.70
World,-371508,199.90
World,-369436,201.90
World,-366116,206.30
World,-363240,201.20
World,-360618,185.80
World,-358734,186.10
World,-357060,193.00
World,-353868,209.20
World,-352463,209.40
World,-351225,216.20
World,-349726,221.10
World,-347189,220.30
World,-345595,211.90
World,-344371,204.80
World,-343051,205.20
World,-341974,200.70
World,-340842,250.10
World,-338785,234.20
World,-338034,239.60
World,-337041,241.90
World,-336264,255.70
World,-335567,270.50
World,-334918,278.60
World,-334428,285.80
World,-333758,278.10
World,-333152,298.60
World,-332594,288.40
World,-332399,289.10
World,-332048,282.40
World,-331550,273.10
World,-330849,272.60
World,-330194,271.70
World,-329344,265.00
World,-328103,275.10
World,-327464,271.90
World,-326821,270.10
World,-326137,266.10
World,-325486,264.00
World,-324641,266.20
World,-323873,260.50
World,-323057,260.30
World,-322217,260.40
World,-321433,257.20
World,-319867,249.20
World,-318966,255.80
World,-317880,233.40
World,-316903,245.20
World,-315983,251.60
World,-315200,272.60
World,-314501,246.80
World,-313708,257.10
World,-312886,256.70
World,-312102,251.60
World,-311393,241.90
World,-310643,239.00
World,-309720,237.80
World,-308826,233.20
World,-308061,226.20
World,-307474,227.80
World,-306376,225.80
World,-305513,244.80
World,-304631,248.60
World,-303828,250.20
World,-303150,240.70
World,-302151,240.20
World,-301166,236.00
World,-300134,239.00
World,-299076,236.10
World,-298166,231.00
World,-297426,224.40
World,-296755,217.10
World,-294879,213.10
World,-293414,212.70
World,-292505,206.70
World,-291701,206.00
World,-290868,207.60
World,-289613,217.10
World,-288914,220.40
World,-288235,234.90
World,-286336,231.00
World,-285870,230.40
World,-285494,231.40
World,-284660,226.40
World,-283981,228.00
World,-282485,231.30
World,-280643,223.70
World,-279451,215.30
World,-278609,211.00
World,-277669,204.50
World,-276641,202.20
World,-275493,193.20
World,-274308,198.40
World,-273205,194.10
World,-272214,193.90
World,-271216,190.40
World,-270200,184.70
World,-269086,198.80
World,-267990,194.20
World,-267046,187.20
World,-266308,188.70
World,-265057,211.70
World,-264184,199.90
World,-262634,228.10
World,-260867,214.60
World,-260105,208.90
World,-259344,205.70
World,-258944,209.60
World,-257447,203.90
World,-255958,204.00
World,-255111,201.90
World,-254349,199.00
World,-252637,195.40
World,-251807,196.70
World,-251004,195.40
World,-250182,213.90
World,-249441,200.20
World,-247150,214.70
World,-244920,219.40
World,-244239,230.40
World,-243614,236.70
World,-243107,249.90
World,-242632,252.30
World,-242172,263.70
World,-241189,280.20
World,-240735,279.00
World,-239905,263.20
World,-239383,259.70
World,-238240,252.80
World,-237789,247.40
World,-237437,245.80
World,-237058,245.60
World,-236475,239.10
World,-235956,243.10
World,-235442,247.40
World,-234901,241.40
World,-234476,252.10
World,-234041,245.20
World,-230906,241.60
World,-230242,233.90
World,-229180,232.40
World,-227622,224.50
World,-226817,233.10
World,-226489,234.50
World,-225770,235.50
World,-224900,215.70
World,-224310,203.30
World,-222322,205.60
World,-221179,208.80
World,-220590,207.10
World,-219747,216.10
World,-218986,214.10
World,-217118,240.50
World,-216251,245.30
World,-215745,251.10
World,-215466,251.70
World,-214915,247.50
World,-214356,242.60
World,-213962,240.30
World,-213131,241.40
World,-212209,251.20
World,-211380,243.40
World,-210583,257.40
World,-210129,239.50
World,-209628,246.90
World,-209108,252.00
World,-208882,247.20
World,-208225,243.90
World,-208016,244.60
World,-207495,242.20
World,-207132,240.50
World,-206872,230.00
World,-206325,237.20
World,-206159,238.10
World,-205673,231.40
World,-205290,229.40
World,-204947,226.30
World,-204410,228.60
World,-203995,232.20
World,-203626,231.90
World,-203253,244.40
World,-201892,247.60
World,-200795,239.10
World,-199802,250.90
World,-196988,242.60
World,-196377,241.20
World,-195637,226.40
World,-193850,220.00
World,-193177,226.50
World,-191125,218.00
World,-190014,220.30
World,-189305,231.40
World,-187857,231.30
World,-186487,210.70
World,-184461,203.40
World,-182421,199.70
World,-181308,198.10
World,-180246,217.70
World,-179352,213.20
World,-177923,207.70
World,-175780,190.10
World,-175584,189.40
World,-174903,190.30
World,-173883,196.00
World,-172492,197.70
World,-169989,197.80
World,-167564,196.60
World,-166796,183.80
World,-165964,186.70
World,-164834,190.10
World,-164193,191.60
World,-162385,196.50
World,-161908,204.30
World,-158205,187.50
World,-157766,185.50
World,-156716,189.00
World,-154357,189.38
World,-152939,196.30
World,-151825,198.78
World,-149495,202.35
World,-148645,202.51
World,-147516,201.78
World,-146283,195.81
World,-144158,193.59
World,-142850,196.02
World,-141701,194.59
World,-140411,196.51
World,-138000,192.75
World,-136884,198.55
World,-135813,199.18
World,-134616,203.74
World,-132572,212.43
World,-131826,222.74
World,-130982,224.63
World,-130760,228.00
World,-130026,232.28
World,-129372,241.13
World,-128868,250.84
World,-128423,251.84
World,-127706,260.61
World,-127128,268.44
World,-126928,271.08
World,-126517,285.76
World,-126223,280.72
World,-126074,276.03
World,-125554,276.88
World,-125364,275.78
World,-125012,274.93
World,-124750,273.02
World,-124064,275.15
World,-123343,276.81
World,-122867,275.52
World,-122455,281.54
World,-122009,275.87
World,-121681,274.60
World,-121064,279.16
World,-120342,279.00
World,-120150,278.25
World,-119892,276.61
World,-119476,279.48
World,-118593,276.82
World,-118194,268.73
World,-117766,274.59
World,-117293,267.74
World,-116708,277.72
World,-115669,274.98
World,-115236,274.03
World,-114526,273.63
World,-113959,273.16
World,-113497,276.96
World,-112865,275.07
World,-112300,267.90
World,-111729,260.58
World,-111169,264.75
World,-110992,263.12
World,-110686,256.79
World,-109927,257.93
World,-108605,246.69
World,-107890,244.13
World,-107179,244.44
World,-106452,236.43
World,-105025,240.34
World,-104418,244.83
World,-104306,241.40
World,-104040,257.58
World,-103557,248.78
World,-103016,242.36
World,-102381,238.88
World,-102324,247.76
World,-101359,240.68
World,-100815,237.07
World,-100022,240.07
World,-99376,244.76
World,-98593,247.87
World,-98127,245.63
World,-97411,242.99
World,-96634,243.18
World,-95977,239.86
World,-95321,242.35
World,-94525,245.76
World,-93971,246.20
World,-93284,242.91
World,-92619,242.41
World,-91873,238.21
World,-91475,235.16
World,-90718,232.46
World,-90000,233.74
World,-89495,231.12
World,-88884,231.56
World,-88367,229.74
World,-87746,228.88
World,-87295,227.38
World,-86751,223.99
World,-86186,217.80
World,-85631,223.63
World,-85078,221.06
World,-84548,223.38
World,-83941,228.76
World,-83417,234.69
World,-82987,238.42
World,-82407,243.16
World,-81991,250.79
World,-81604,247.10
World,-81038,246.32
World,-80577,240.87
World,-80119,238.89
World,-79761,234.13
World,-79257,230.33
World,-78772,233.92
World,-78380,230.60
World,-77928,234.74
World,-77460,229.26
World,-77020,227.30
World,-76558,224.14
World,-76131,226.65
World,-75666,224.92
World,-75106,231.68
World,-74747,238.01
World,-74297,239.34
World,-73901,249.94
World,-73595,249.52
World,-73118,243.27
World,-72576,241.24
World,-72271,231.33
World,-71801,232.74
World,-71269,230.89
World,-70916,232.33
World,-70540,232.79
World,-70143,239.46
World,-69744,237.56
World,-69329,235.02
World,-68979,225.17
World,-68477,220.33
World,-68102,215.55
World,-67642,211.26
World,-67132,205.42
World,-66670,203.43
World,-66196,200.17
World,-65780,203.76
World,-65365,201.14
World,-65010,207.21
World,-64489,204.39
World,-63987,200.59
World,-63815,198.17
World,-63596,208.98
World,-63097,199.17
World,-62917,201.67
World,-62707,203.70
World,-62164,199.73
World,-61947,197.24
World,-61606,197.40
World,-61011,200.15
World,-60825,202.71
World,-60602,202.56
World,-59951,206.38
World,-59604,210.90
World,-59285,210.57
World,-59111,207.95
World,-58868,213.78
World,-58567,217.25
World,-58423,212.87
World,-58160,216.66
World,-57783,223.45
World,-57430,226.35
World,-57155,231.29
World,-56483,223.15
World,-56267,224.35
World,-55894,223.72
World,-55526,217.38
World,-55261,215.70
World,-54554,212.44
World,-54287,207.67
World,-53960,210.27
World,-53603,214.78
World,-53343,208.19
World,-53064,216.86
World,-52745,213.89
World,-52437,217.96
World,-52207,220.37
World,-51856,221.14
World,-51450,223.26
World,-51158,223.72
World,-50851,221.15
World,-50624,220.72
World,-50435,219.08
World,-50137,213.82
World,-49830,215.08
World,-49481,211.57
World,-49079,207.64
World,-48577,207.41
World,-48271,206.74
World,-48057,204.38
World,-47778,203.87
World,-47513,204.06
World,-47353,200.12
World,-47038,201.58
World,-46478,200.98
World,-46273,206.18
World,-45994,205.66
World,-45760,203.79
World,-45574,204.26
World,-45365,207.60
World,-45136,210.27
World,-44938,210.84
World,-44796,214.18
World,-44686,216.42
World,-44359,218.35
World,-44231,219.25
World,-44107,221.77
World,-43927,222.72
World,-43746,217.51
World,-43510,214.50
World,-43330,213.92
World,-43192,207.95
World,-43046,211.49
World,-42866,210.44
World,-42706,212.29
World,-42541,204.83
World,-42400,206.22
World,-42254,202.00
World,-42145,204.31
World,-41859,201.69
World,-41711,203.18
World,-41566,204.22
World,-41401,201.66
World,-41222,203.16
World,-41018,204.26
World,-40900,206.35
World,-40678,204.83
World,-40366,200.90
World,-39951,199.89
World,-39809,201.12
World,-39656,205.49
World,-39354,204.19
World,-39218,201.53
World,-38957,200.97
World,-38804,200.47
World,-38603,201.48
World,-38536,201.32
World,-38358,197.90
World,-38195,193.69
World,-38162,193.08
World,-38093,192.60
World,-37951,197.55
World,-37935,193.87
World,-37807,193.58
World,-37759,196.67
World,-37671,195.70
World,-37565,200.40
World,-37504,198.14
World,-37453,191.53
World,-37429,204.78
World,-37390,207.87
World,-37370,209.33
World,-37353,209.50
World,-37316,208.69
World,-37171,207.32
World,-37104,204.28
World,-37027,202.34
World,-37006,205.99
World,-36925,205.65
World,-36863,206.09
World,-36773,206.54
World,-36721,204.46
World,-36672,204.79
World,-36624,208.23
World,-36583,210.08
World,-36523,207.23
World,-36463,210.79
World,-36409,208.00
World,-36334,207.41
World,-36242,206.52
World,-36216,208.34
World,-36139,214.36
World,-36050,211.21
World,-35945,214.21
World,-35827,212.09
World,-35698,212.14
World,-35669,214.30
World,-35511,209.84
World,-35481,212.51
World,-35388,206.59
World,-35352,209.66
World,-35347,208.25
World,-35193,207.35
World,-35169,210.16
World,-35073,206.36
World,-34990,203.51
World,-34870,202.76
World,-34763,203.75
World,-34720,203.77
World,-34642,205.10
World,-34556,198.96
World,-34312,200.09
World,-34223,201.78
World,-34137,204.12
World,-33998,198.80
World,-33905,203.29
World,-33752,200.50
World,-33723,201.81
World,-33618,201.83
World,-33581,201.89
World,-33559,202.04
World,-33547,201.06
World,-33496,200.30
World,-33433,201.36
World,-33409,203.62
World,-33387,204.47
World,-33332,205.38
World,-33216,203.60
World,-33140,198.78
World,-32917,203.09
World,-32876,202.80
World,-32761,197.16
World,-32698,198.89
World,-32670,200.29
World,-32653,199.49
World,-32607,199.65
World,-32384,196.20
World,-32363,196.27
World,-32301,195.79
World,-32240,194.89
World,-32114,195.93
World,-32042,195.41
World,-32007,196.47
World,-31976,194.47
World,-31958,194.46
World,-31936,195.27
World,-31891,195.63
World,-31808,200.03
World,-31605,197.80
World,-31541,197.13
World,-31468,196.90
World,-31198,197.65
World,-31059,196.33
World,-30931,196.70
World,-30863,199.30
World,-30764,195.94
World,-30728,195.08
World,-30645,194.43
World,-30561,194.61
World,-30485,194.11
World,-30411,195.25
World,-30358,192.47
World,-30201,196.91
World,-30198,196.42
World,-30130,193.91
World,-30077,193.33
World,-29984,192.51
World,-29868,192.93
World,-29842,193.71
World,-29574,189.95
World,-29406,188.48
World,-29155,188.00
World,-28826,190.33
World,-28763,187.14
World,-28579,182.94
World,-28451,184.30
World,-28363,185.99
World,-28328,186.52
World,-28232,188.48
World,-28152,188.25
World,-28049,191.57
World,-28002,191.38
World,-27888,190.97
World,-27793,191.28
World,-27731,189.77
World,-27659,189.24
World,-27460,189.21
World,-27416,189.83
World,-27374,191.01
World,-27300,192.39
World,-27255,188.10
World,-27201,192.26
World,-27059,192.87
World,-26999,193.26
World,-26953,192.69
World,-26892,193.89
World,-26774,193.80
World,-26676,192.82
World,-26627,193.10
World,-26477,189.65
World,-26464,189.16
World,-26420,192.63
World,-26322,191.59
World,-26264,191.82
World,-26147,189.96
World,-26023,189.29
World,-25977,188.99
World,-25935,189.28
World,-25916,190.58
World,-25871,187.59
World,-25769,189.30
World,-25764,190.61
World,-25737,192.71
World,-25711,191.46
World,-25636,191.95
World,-25600,191.53
World,-25553,191.23
World,-25492,191.95
World,-25330,190.06
World,-25220,194.93
World,-25135,186.27
World,-25092,187.39
World,-25005,188.08
World,-24908,186.43
World,-24754,185.44
World,-24587,185.51
World,-24511,186.01
World,-24365,183.77
World,-24305,184.57
World,-24066,184.52
World,-23836,186.54
World,-23594,183.38
World,-23401,182.66
World,-23214,180.69
World,-22694,180.57
World,-22320,186.73
World,-22128,184.68
World,-21924,183.13
World,-21651,187.99
World,-21495,186.78
World,-21408,193.53
World,-21327,197.67
World,-21235,188.60
World,-21157,190.08
World,-21064,190.53
World,-21044,189.40
World,-20884,186.13
World,-20799,190.01
World,-20701,188.49
World,-20654,185.21
World,-20600,184.68
World,-20398,187.02
World,-20342,187.22
World,-20281,191.27
World,-20106,187.38
World,-19964,190.78
World,-19841,187.96
World,-19613,185.23
World,-19395,187.24
World,-19263,190.05
World,-19118,188.40
World,-19014,190.87
World,-18878,192.66
World,-18716,187.76
World,-18587,193.93
World,-18458,189.99
World,-18263,190.47
World,-18069,193.72
World,-17934,196.06
World,-17841,193.60
World,-17679,191.42
World,-17618,188.95
World,-17493,191.52
World,-17332,191.58
World,-17203,191.09
World,-17044,192.71
World,-16917,188.50
World,-16885,188.44
World,-16854,192.97
World,-16797,191.27
World,-16727,193.90
World,-16633,188.57
World,-16570,187.67
World,-16537,187.09
World,-16508,187.45
World,-16472,188.47
World,-16441,188.21
World,-16410,188.73
World,-16374,187.12
World,-16346,189.03
World,-16315,188.52
World,-16282,188.88
World,-16252,185.65
World,-16223,189.01
World,-16190,184.88
World,-16161,188.59
World,-16132,188.64
World,-16100,187.73
World,-16074,187.79
World,-16042,188.96
World,-16016,188.66
World,-15986,188.54
World,-15957,191.72
World,-15931,190.26
World,-15905,189.52
World,-15875,191.21
World,-15848,187.25
World,-15820,191.70
World,-15794,190.41
World,-15767,189.52
World,-15741,191.52
World,-15715,194.38
World,-15688,193.21
World,-15662,195.79
World,-15636,196.96
World,-15611,192.62
World,-15585,192.37
World,-15561,191.59
World,-15535,191.48
World,-15511,193.00
World,-15485,190.76
World,-15460,191.89
World,-15435,193.02
World,-15410,190.50
World,-15362,194.65
World,-15338,195.88
World,-15286,198.29
World,-15214,198.63
World,-15142,202.10
World,-15045,204.32
World,-14979,202.93
World,-14919,205.19
World,-14848,205.53
World,-14784,210.25
World,-14706,213.15
World,-14640,208.46
World,-14604,208.65
World,-14560,207.95
World,-14522,213.94
World,-14508,217.19
World,-14481,211.79
World,-14461,212.95
World,-14442,209.51
World,-14425,211.21
World,-14404,214.83
World,-14387,212.43
World,-14367,214.60
World,-14347,212.84
World,-14329,214.22
World,-14311,218.56
World,-14291,220.49
World,-14273,223.24
World,-14259,227.32
World,-14237,221.49
World,-14217,226.19
World,-14201,224.86
World,-14164,222.41
World,-14133,224.24
World,-14084,224.48
World,-14065,222.39
World,-14049,224.41
World,-14045,223.72
World,-13987,223.77
World,-13970,223.51
World,-13895,222.36
World,-13818,224.86
World,-13755,222.16
World,-13699,222.76
World,-13596,223.53
World,-13513,223.27
World,-13460,224.74
World,-13433,225.39
World,-13395,228.92
World,-13371,227.64
World,-13331,225.77
World,-13293,228.27
World,-13269,230.18
World,-13231,227.84
World,-13207,228.81
World,-13184,229.67
World,-13146,234.47
World,-13123,228.99
World,-13085,225.38
World,-13061,228.37
