Entity,Year,Deaths from all causes,Measles
United Kingdom,1732,23358,30
United Kingdom,1733,29233,605
United Kingdom,1734,26062,20
United Kingdom,1735,23538,10
United Kingdom,1736,27581,169
United Kingdom,1737,27823,127
United Kingdom,1738,25825,216
United Kingdom,1739,25432,326
United Kingdom,1740,30811,46
United Kingdom,1741,32169,42
United Kingdom,1742,27483,981
United Kingdom,1743,25200,17
United Kingdom,1744,20606,5
United Kingdom,1745,21296,14
United Kingdom,1746,28157,250
United Kingdom,1747,25494,81
United Kingdom,1748,23869,10
United Kingdom,1749,25516,106
United Kingdom,1750,23727,321
United Kingdom,1751,21028,21
United Kingdom,1752,20485,111
United Kingdom,1753,19276,253
United Kingdom,1754,22696,12
United Kingdom,1755,21917,423
United Kingdom,1756,20872,156
United Kingdom,1757,21313,24
United Kingdom,1758,17576,696
United Kingdom,1759,19604,316
United Kingdom,1760,19830,175
United Kingdom,1761,21063,394
United Kingdom,1762,26326,122
United Kingdom,1763,26148,610
United Kingdom,1764,23202,65
United Kingdom,1765,23230,54
United Kingdom,1766,23911,482
United Kingdom,1767,22612,80
United Kingdom,1768,23639,409
United Kingdom,1769,21847,90
United Kingdom,1770,22434,325
United Kingdom,1771,21780,115
United Kingdom,1772,26053,211
United Kingdom,1773,21656,199
United Kingdom,1774,20884,121
United Kingdom,1775,20514,283
United Kingdom,1776,19048,153
United Kingdom,1777,23334,145
United Kingdom,1778,20399,388
United Kingdom,1779,20420,99
United Kingdom,1780,20517,272
United Kingdom,1781,20709,201
United Kingdom,1782,17918,170
United Kingdom,1783,19029,185
United Kingdom,1784,17828,29
United Kingdom,1785,18919,20
United Kingdom,1786,20454,793
United Kingdom,1787,19349,84
United Kingdom,1788,19697,55
United Kingdom,1789,20749,534
United Kingdom,1790,18038,119
United Kingdom,1791,18760,156
United Kingdom,1792,20213,450
United Kingdom,1793,21749,248
United Kingdom,1794,19241,172
United Kingdom,1795,21179,328
United Kingdom,1796,19288,307
United Kingdom,1797,17014,222
United Kingdom,1798,18155,196
United Kingdom,1799,18134,223
United Kingdom,1800,23068,395
United Kingdom,1801,19374,136
United Kingdom,1802,19379,559
United Kingdom,1803,19582,438
United Kingdom,1804,17034,619
United Kingdom,1805,17565,523
United Kingdom,1806,17938,530
United Kingdom,1807,18334,452
United Kingdom,1808,19954,1386
United Kingdom,1809,16680,106
United Kingdom,1810,19893,1031
United Kingdom,1811,17043,235
United Kingdom,1812,18295,427
United Kingdom,1813,17322,550
United Kingdom,1814,19283,817
United Kingdom,1815,19560,711
United Kingdom,1816,20316,1106
United Kingdom,1817,19968,725
United Kingdom,1818,19705,728
United Kingdom,1819,19228,695
United Kingdom,1820,19348,720
United Kingdom,1821,18451,547
United Kingdom,1822,18865,712
United Kingdom,1823,20587,573
United Kingdom,1824,20237,966
United Kingdom,1825,21026,743
United Kingdom,1826,20758,774
United Kingdom,1827,22292,525
United Kingdom,1828,21709,736
United Kingdom,1829,23524,578
United Kingdom,1830,21645,479
United Kingdom,1831,25337,750
United Kingdom,1841,45507,973
United Kingdom,1842,45400,1293
United Kingdom,1843,48718,1442
United Kingdom,1844,51110,1182
United Kingdom,1845,48318,2318
United Kingdom,1846,49450,747
United Kingdom,1847,59131,1778
United Kingdom,1848,57771,1144
United Kingdom,1849,68755,1154
United Kingdom,1850,48950,980
United Kingdom,1851,55488,1297
United Kingdom,1852,54638,595
United Kingdom,1853,60069,1007
United Kingdom,1854,73697,1399
United Kingdom,1855,61942,864
United Kingdom,1856,57274,1445
United Kingdom,1857,59103,1400
United Kingdom,1858,64093,2383
United Kingdom,1859,61860,1305
United Kingdom,1860,62309,2054
United Kingdom,1861,65251,1070
United Kingdom,1862,67371,2281
United Kingdom,1863,71060,1698
United Kingdom,1864,78238,2750
United Kingdom,1865,73531,1302
United Kingdom,1866,80453,2220
United Kingdom,1867,70924,1143
United Kingdom,1868,73798,1962
United Kingdom,1869,78082,1456
United Kingdom,1870,77634,1449
United Kingdom,1871,80430,1427
United Kingdom,1872,71355,1680
United Kingdom,1873,75459,2195
United Kingdom,1874,76813,1655
United Kingdom,1875,81964,1427
United Kingdom,1876,77671,1741
United Kingdom,1877,77449,2347
United Kingdom,1878,84188,1510
United Kingdom,1879,83805,2488
United Kingdom,1880,81128,1501
United Kingdom,1881,81071,2533
United Kingdom,1882,82913,2329
United Kingdom,1883,80995,2420
United Kingdom,1884,81951,2285
United Kingdom,1885,80000,2928
United Kingdom,1886,82545,2086
United Kingdom,1887,82208,2894
United Kingdom,1888,78848,2425
United Kingdom,1889,76162,2308
United Kingdom,1890,89268,3231
United Kingdom,1891,90595,1807
United Kingdom,1892,88440,3415
United Kingdom,1893,91552,1652
United Kingdom,1894,77407,3295
United Kingdom,1895,87298,2692
United Kingdom,1896,82390,3662
United Kingdom,1897,81119,1909
United Kingdom,1898,84154,3073
United Kingdom,1899,89689,2143
United Kingdom,1900,86438,1948
United Kingdom,1901,80251,1968
United Kingdom,1902,82540,2361
