Entity,Year,Oil (BP Statistics (2016))
Asia Pacific,2004,1139.059605
Asia Pacific,2005,1150.599339
Asia Pacific,2006,1176.451589
Asia Pacific,2007,1216.583876
Asia Pacific,2008,1212.724517
Asia Pacific,2009,1222.391001
Asia Pacific,2010,1300.922656
Asia Pacific,2011,1345.483569
Asia Pacific,2012,1401.182522
Asia Pacific,2013,1421.796712
Asia Pacific,2014,1442.214098
Asia Pacific,2015,1501.447452
Europe and Eurasia,1965,589.9768109
Europe and Eurasia,1966,642.8855955
Europe and Eurasia,1967,697.7485472
Europe and Eurasia,1968,760.579892
Europe and Eurasia,1969,837.9068614
Europe and Eurasia,1970,927.2850196
Europe and Eurasia,1971,975.0712982
Europe and Eurasia,1972,1047.203388
Europe and Eurasia,1973,1123.496323
Europe and Eurasia,1974,1105.400612
Europe and Eurasia,1975,1093.382147
Europe and Eurasia,1976,1153.950846
Europe and Eurasia,1977,1160.148586
Europe and Eurasia,1978,1212.276608
Europe and Eurasia,1979,1236.804304
Europe and Eurasia,1980,1200.283557
Europe and Eurasia,1981,1150.401838
Europe and Eurasia,1982,1111.605776
Europe and Eurasia,1983,1087.50527
Europe and Eurasia,1984,1090.884009
Europe and Eurasia,1985,1087.887739
Europe and Eurasia,1986,1115.00758
Europe and Eurasia,1987,1119.625498
Europe and Eurasia,1988,1123.878931
Europe and Eurasia,1989,1123.009843
Europe and Eurasia,1990,1128.147365
Europe and Eurasia,1991,1109.730142
Europe and Eurasia,1992,1077.243226
Europe and Eurasia,1993,999.5024571
Europe and Eurasia,1994,961.2444498
Europe and Eurasia,1995,948.8945457
Europe and Eurasia,1996,938.755451
Europe and Eurasia,1997,940.9685228
Europe and Eurasia,1998,950.3042648
Europe and Eurasia,1999,942.5172697
Europe and Eurasia,2000,932.647223
Europe and Eurasia,2001,946.6020504
Europe and Eurasia,2002,939.8042074
Europe and Eurasia,2003,953.1288586
Europe and Eurasia,2004,960.4121108
Europe and Eurasia,2005,965.2659403
Europe and Eurasia,2006,976.7939877
Europe and Eurasia,2007,960.7704049
Europe and Eurasia,2008,959.541161
Europe and Eurasia,2009,915.3549386
Europe and Eurasia,2010,911.2915896
Europe and Eurasia,2011,904.2949139
Europe and Eurasia,2012,882.714055
Europe and Eurasia,2013,864.6596274
Europe and Eurasia,2014,858.5624502
Europe and Eurasia,2015,862.1780012
Latin America and the Carribean,1965,80.61845251
Latin America and the Carribean,1966,85.23050948
Latin America and the Carribean,1967,87.86065042
Latin America and the Carribean,1968,93.99989156
Latin America and the Carribean,1969,98.40571475
Latin America and the Carribean,1970,102.3379963
Latin America and the Carribean,1971,115.8608215
Latin America and the Carribean,1972,124.7222633
Latin America and the Carribean,1973,136.1118153
Latin America and the Carribean,1974,140.2219581
Latin America and the Carribean,1975,139.2883805
Latin America and the Carribean,1976,146.152884
Latin America and the Carribean,1977,152.2157942
Latin America and the Carribean,1978,159.5039893
Latin America and the Carribean,1979,167.1803405
Latin America and the Carribean,1980,173.0577494
Latin America and the Carribean,1981,170.9369161
Latin America and the Carribean,1982,166.1980065
Latin America and the Carribean,1983,161.4713425
Latin America and the Carribean,1984,160.9068439
Latin America and the Carribean,1985,158.7408539
Latin America and the Carribean,1986,169.9877696
Latin America and the Carribean,1987,174.4959795
Latin America and the Carribean,1988,176.4810513
Latin America and the Carribean,1989,177.9071803
Latin America and the Carribean,1990,175.9375484
Latin America and the Carribean,1991,177.0429406
Latin America and the Carribean,1992,188.6897822
Latin America and the Carribean,1993,191.3465699
Latin America and the Carribean,1994,202.4820207
Latin America and the Carribean,1995,208.9350449
Latin America and the Carribean,1996,213.823078
Latin America and the Carribean,1997,225.7846339
Latin America and the Carribean,1998,235.0983019
Latin America and the Carribean,1999,236.7380465
Latin America and the Carribean,2000,234.2505422
Latin America and the Carribean,2001,238.1785069
Latin America and the Carribean,2002,237.6199739
Latin America and the Carribean,2003,233.0458285
Latin America and the Carribean,2004,242.0924198
Latin America and the Carribean,2005,248.5688963
Latin America and the Carribean,2006,257.036844
Latin America and the Carribean,2007,267.8979666
Latin America and the Carribean,2008,281.07451
Latin America and the Carribean,2009,279.2938146
Latin America and the Carribean,2010,294.5773766
Latin America and the Carribean,2011,305.6218049
Latin America and the Carribean,2012,312.9383306
Latin America and the Carribean,2013,322.8547378
Latin America and the Carribean,2014,329.7999173
Latin America and the Carribean,2015,322.7420627
Middle East,1965,44.18519259
Middle East,1966,45.45502562
Middle East,1967,46.92983091
Middle East,1968,48.51155396
Middle East,1969,50.10414545
Middle East,1970,51.81764867
Middle East,1971,54.53666318
Middle East,1972,58.50216143
Middle East,1973,63.06935698
Middle East,1974,67.1037212
Middle East,1975,64.6085981
Middle East,1976,73.8911658
Middle East,1977,83.5931566
Middle East,1978,90.41846537
Middle East,1979,102.7503566
Middle East,1980,96.82158122
Middle East,1981,105.7595634
Middle East,1982,115.8936977
Middle East,1983,127.7896104
Middle East,1984,138.9774275
Middle East,1985,147.0427086
Middle East,1986,146.4549607
Middle East,1987,154.0163299
Middle East,1988,161.4442316
Middle East,1989,166.2992255
Middle East,1990,171.3706008
Middle East,1991,181.0690118
Middle East,1992,188.0885284
Middle East,1993,196.0644953
Middle East,1994,215.5585168
Middle East,1995,215.7836278
Middle East,1996,218.2907511
Middle East,1997,222.926237
Middle East,1998,230.8086319
Middle East,1999,236.3844832
Middle East,2000,242.8067085
Middle East,2001,251.3569437
Middle East,2002,256.4899118
Middle East,2003,266.6028515
Middle East,2004,282.8190479
Middle East,2005,301.4604422
Middle East,2006,308.3923407
Middle East,2007,318.952956
Middle East,2008,343.3854046
Middle East,2009,358.6116775
Middle East,2010,368.3148282
Middle East,2011,375.6361051
Middle East,2012,390.2901958
Middle East,2013,401.991495
Middle East,2014,417.1287684
Middle East,2015,425.7324737
North America,1965,619.4003601
North America,1966,650.3262914
North America,1967,677.3871488
North America,1968,724.5529387
North America,1969,763.8306977
North America,1970,796.9068141
North America,1971,823.8729523
North America,1972,889.4505288
North America,1973,939.4455066
North America,1974,911.1581835
North America,1975,896.550438
North America,1976,962.1487536
North America,1977,1011.14599
North America,1978,999.0327477
North America,1979,987.4376914
North America,1980,927.6476338
North America,1981,872.5459364
North America,1982,825.1853229
North America,1983,813.8061334
North America,1984,842.2708554
North America,1985,841.6562896
North America,1986,872.0627998
North America,1987,892.7092979
North America,1988,928.1457769
North America,1989,934.725427
North America,1990,922.2195688
North America,1991,903.6628864
North America,1992,922.7333362
North America,1993,929.0376257
North America,1994,957.8227075
North America,1995,951.4100709
North America,1996,983.9482626
North America,1997,1001.57891
North America,1998,1023.26662
North America,1999,1048.504261
North America,2000,1061.06689
North America,2001,1060.761548
North America,2002,1060.167249
North America,2003,1081.786035
North America,2004,1124.472286
North America,2005,1129.142623
North America,2006,1119.685232
North America,2007,1123.108665
North America,2008,1068.178318
North America,2009,1016.658252
North America,2010,1040.269265
North America,2011,1030.218661
North America,2012,1012.601397
North America,2013,1025.328239
North America,2014,1026.642513
North America,2015,1036.264325
