Entity,Year,Historical European trade (Brian Mitchell (2015))
Italy,1910,30
Italy,1911,28
Italy,1912,30
Italy,1913,29
Italy,1914,25
Italy,1915,31
Italy,1916,36
Italy,1917,41
Italy,1918,37
Italy,1919,35
Italy,1920,41
Italy,1921,26
Italy,1922,23
Italy,1923,24
Italy,1924,28
Italy,1925,30
Italy,1926,28
Italy,1927,26
Italy,1928,26
Italy,1929,26
Italy,1930,24
Italy,1931,20
Italy,1932,14
Italy,1933,14
Italy,1934,13
Italy,1935,12
Italy,1936,10
Italy,1937,17
Italy,1938,14
Italy,1939,13
Italy,1940,13
Italy,1941,11
Italy,1942,11
Netherlands,1900,204
Netherlands,1901,203
Netherlands,1902,210
Netherlands,1903,217
Netherlands,1904,221
Netherlands,1905,222
Netherlands,1906,214
Netherlands,1907,223
Netherlands,1908,222
Netherlands,1909,241
Netherlands,1910,245
Netherlands,1911,242
Netherlands,1912,250
Netherlands,1913,249
Netherlands,1914,198
Netherlands,1915,120
Netherlands,1916,87
Netherlands,1917,49
Netherlands,1918,24
Netherlands,1919,77
Netherlands,1920,81
Netherlands,1921,63
Netherlands,1922,61
Netherlands,1923,63
Netherlands,1924,73
Netherlands,1925,74
Netherlands,1926,72
Netherlands,1927,75
Netherlands,1928,74
Netherlands,1929,73
Netherlands,1930,67
Netherlands,1931,58
Netherlands,1932,44
Netherlands,1933,42
Netherlands,1934,38
Netherlands,1935,36
Netherlands,1936,39
Netherlands,1937,53
Netherlands,1938,47
Netherlands,1939,45
Netherlands,1940,32
Netherlands,1941,23
Netherlands,1942,20
Netherlands,1943,19
Netherlands,1946,32
Netherlands,1947,51
Netherlands,1948,54
Netherlands,1949,55
Spain,1901,23
Spain,1902,21
Spain,1903,22
Spain,1904,22
Spain,1905,22
Spain,1906,21
Spain,1907,20
Spain,1908,18
Spain,1909,17
Spain,1910,20
Spain,1911,21
Spain,1912,23
Spain,1913,24
Spain,1914,14
Spain,1915,16
Spain,1916,15
Spain,1917,16
Spain,1918,15
Spain,1919,16
Spain,1920,22
Spain,1921,17
Spain,1922,17
Spain,1923,20
Spain,1924,20
Spain,1925,18
Spain,1926,16
Spain,1927,16
Spain,1928,18
Spain,1929,20
Spain,1930,23
Spain,1931,17
Spain,1932,14
Spain,1933,12
Spain,1934,12
Spain,1935,13
Spain,1940,8
Spain,1941,7
Spain,1942,7
Spain,1943,9
Spain,1944,9
Spain,1945,3
Spain,1946,5
Spain,1947,6
Spain,1948,6
Spain,1949,6
Sweden,1861,24
Sweden,1862,23
Sweden,1863,23
Sweden,1864,24
Sweden,1865,27
Sweden,1866,26
Sweden,1867,30
Sweden,1868,30
Sweden,1869,30
Sweden,1870,32
Sweden,1871,33
Sweden,1872,37
Sweden,1873,37
Sweden,1874,38
Sweden,1875,36
Sweden,1876,36
Sweden,1877,38
Sweden,1878,33
Sweden,1879,32
Sweden,1880,39
Sweden,1881,37
Sweden,1882,41
Sweden,1883,42
Sweden,1884,41
Sweden,1885,43
Sweden,1886,41
Sweden,1887,44
Sweden,1888,46
Sweden,1889,49
Sweden,1890,47
Sweden,1891,46
Sweden,1892,45
Sweden,1893,43
Sweden,1894,42
Sweden,1895,40
Sweden,1896,41
Sweden,1897,41
Sweden,1898,40
Sweden,1899,40
Sweden,1900,41
Sweden,1901,37
Sweden,1902,41
Sweden,1903,41
Sweden,1904,41
Sweden,1905,41
Sweden,1906,41
Sweden,1907,40
Sweden,1908,36
Sweden,1909,36
Sweden,1910,35
Sweden,1911,40
Sweden,1912,43
Sweden,1913,42
Sweden,1914,38
Sweden,1915,52
Sweden,1916,45
Sweden,1917,30
Sweden,1918,28
Sweden,1919,38
Sweden,1920,45
Sweden,1921,25
Sweden,1922,30
Sweden,1923,32
Sweden,1924,34
Sweden,1925,33
Sweden,1926,34
Sweden,1927,36
Sweden,1928,36
Sweden,1929,37
Sweden,1930,33
Sweden,1931,30
Sweden,1932,26
Sweden,1933,27
Sweden,1934,30
Sweden,1935,30
Sweden,1936,31
Sweden,1937,37
Sweden,1938,33
Sweden,1939,34
Sweden,1940,24
Sweden,1941,19
Sweden,1942,18
Sweden,1943,16
Sweden,1944,13
Sweden,1945,14
Sweden,1946,26
Sweden,1947,34
Sweden,1948,32
Sweden,1949,29
United Kingdom,1830,23
United Kingdom,1831,24
United Kingdom,1832,23
United Kingdom,1833,26
United Kingdom,1834,26
United Kingdom,1835,26
United Kingdom,1836,29
United Kingdom,1837,25
United Kingdom,1838,27
United Kingdom,1839,28
United Kingdom,1840,30
United Kingdom,1841,30
United Kingdom,1842,29
United Kingdom,1843,29
United Kingdom,1844,29
United Kingdom,1845,29
United Kingdom,1846,27
United Kingdom,1847,30
United Kingdom,1848,26
United Kingdom,1849,30
United Kingdom,1850,35
United Kingdom,1851,35
United Kingdom,1852,35
United Kingdom,1853,41
United Kingdom,1854,39
United Kingdom,1855,37
United Kingdom,1856,43
United Kingdom,1857,45
United Kingdom,1858,43
United Kingdom,1859,44
United Kingdom,1860,49
United Kingdom,1861,46
United Kingdom,1862,47
United Kingdom,1863,45
United Kingdom,1864,52
United Kingdom,1865,50
United Kingdom,1866,52
United Kingdom,1867,50
United Kingdom,1868,69
United Kingdom,1869,52
United Kingdom,1870,51
United Kingdom,1871,54
United Kingdom,1872,56
United Kingdom,1873,54
United Kingdom,1874,51
United Kingdom,1875,53
United Kingdom,1876,53
United Kingdom,1877,56
United Kingdom,1878,50
United Kingdom,1879,57
United Kingdom,1880,54
United Kingdom,1881,57
United Kingdom,1882,58
United Kingdom,1883,56
United Kingdom,1884,53
United Kingdom,1885,52
United Kingdom,1886,50
United Kingdom,1887,51
United Kingdom,1888,54
United Kingdom,1889,56
United Kingdom,1890,55
United Kingdom,1891,53
United Kingdom,1892,51
United Kingdom,1893,50
United Kingdom,1894,48
United Kingdom,1895,49
United Kingdom,1896,49
United Kingdom,1897,49
United Kingdom,1898,47
United Kingdom,1899,46
United Kingdom,1900,49
United Kingdom,1901,45
United Kingdom,1902,47
United Kingdom,1903,49
United Kingdom,1904,49
United Kingdom,1905,50
United Kingdom,1906,55
United Kingdom,1907,58
United Kingdom,1908,53
United Kingdom,1909,54
United Kingdom,1910,59
United Kingdom,1911,57
United Kingdom,1912,61
United Kingdom,1913,60
United Kingdom,1914,51
United Kingdom,1915,45
United Kingdom,1916,45
United Kingdom,1917,38
United Kingdom,1918,35
United Kingdom,1919,47
United Kingdom,1920,58
United Kingdom,1921,40
United Kingdom,1922,44
United Kingdom,1923,50
United Kingdom,1924,56
United Kingdom,1925,53
United Kingdom,1926,51
United Kingdom,1927,50
United Kingdom,1928,49
United Kingdom,1929,48
United Kingdom,1930,40
United Kingdom,1931,32
United Kingdom,1932,14
United Kingdom,1933,29
United Kingdom,1934,29
United Kingdom,1935,29
United Kingdom,1936,31
United Kingdom,1937,35
United Kingdom,1938,29
United Kingdom,1939,26
United Kingdom,1940,24
United Kingdom,1941,20
United Kingdom,1942,19
United Kingdom,1943,25
United Kingdom,1944,30
United Kingdom,1945,23
United Kingdom,1946,26
United Kingdom,1947,32
United Kingdom,1948,36
United Kingdom,1949,38
