Entity,Year,"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Real GDP per capita in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Population (Maddison Project Database (2018)),"Total real GDP in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Total real GDP in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Maddison region definition (Maddison (2010)),Average real GDP per capita across Maddison's definitions (Maddison Project Database (2018)),Average real GDP per capita across OWID regions (OWID calculations based on Maddison Project Database (2018)),"Real GDP per capita, 2011 benchmarks, by region (Maddison Project Database (2018))",Population by region (Maddison Project Database (2018))
Afghanistan,1965,2670,2670,10998000,29364660224,29364660224,East Asia Maddison definition,,,,
Afghanistan,1966,2633,2633,11262000,29652846592,29652846592,East Asia Maddison definition,,,,
Afghanistan,1967,2642,2642,11538000,30483396608,30483396608,East Asia Maddison definition,,,,
Afghanistan,1968,2670,2670,11825000,31572750336,31572750336,East Asia Maddison definition,,,,
Afghanistan,1969,2646,2646,12123000,32077457408,32077457408,East Asia Maddison definition,,,,
Afghanistan,1970,2632,2632,12431000,32718391296,32718391296,East Asia Maddison definition,,,,
Afghanistan,1971,2560,2560,12749000,32637440000,32637440000,East Asia Maddison definition,,,,
Afghanistan,1972,2086,2086,13079000,27282794496,27282794496,East Asia Maddison definition,,,,
Afghanistan,1973,2091,2091,13421000,28063311872,28063311872,East Asia Maddison definition,,,,
Afghanistan,1974,2149,2149,13772000,29596028928,29596028928,East Asia Maddison definition,,,,
Afghanistan,1975,2225,2225,14132000,31443699712,31443699712,East Asia Maddison definition,,,,
Afghanistan,1976,2286,2286,14501000,33149286400,33149286400,East Asia Maddison definition,,,,
Afghanistan,1977,2116,2116,14880000,31486078976,31486078976,East Asia Maddison definition,,,,
Afghanistan,1978,2215,2215,15269000,33820835840,33820835840,East Asia Maddison definition,,,,
Afghanistan,1979,2118,2118,15556000,32947607552,32947607552,East Asia Maddison definition,,,,
Afghanistan,1980,2108,2108,15044000,31712751616,31712751616,East Asia Maddison definition,,,,
Afghanistan,1981,2369,2369,13676000,32398444544,32398444544,East Asia Maddison definition,,,,
Afghanistan,1982,2628,2628,12583000,33068124160,33068124160,East Asia Maddison definition,,,,
Afghanistan,1983,2789,2789,12439000,34692370432,34692370432,East Asia Maddison definition,,,,
Afghanistan,1984,2766,2766,12769000,35319054336,35319054336,East Asia Maddison definition,,,,
Afghanistan,1985,2700,2700,13120000,35424002048,35424002048,East Asia Maddison definition,,,,
Afghanistan,1986,2779,2779,13126000,36477153280,36477153280,East Asia Maddison definition,,,,
Afghanistan,1987,2507,2507,13056000,32731392000,32731392000,East Asia Maddison definition,,,,
Afghanistan,1988,2280,2280,13169000,30025320448,30025320448,East Asia Maddison definition,,,,
Afghanistan,1989,2067,2067,13503000,27910701056,27910701056,East Asia Maddison definition,,,,
Afghanistan,1990,1992,1992,13568000,27027456000,27027456000,East Asia Maddison definition,,,,
Afghanistan,1991,1761,1761,13672000,24076392448,24076392448,East Asia Maddison definition,,,,
Afghanistan,1992,1629,1629,15023000,24472467456,24472467456,East Asia Maddison definition,,,,
Afghanistan,1993,1080,1080,17003000,18363240448,18363240448,East Asia Maddison definition,,,,
Afghanistan,1994,772,772,18486000,14271192064,14271192064,East Asia Maddison definition,,,,
Afghanistan,1995,1101,1101,19445000,21408944128,21408944128,East Asia Maddison definition,,,,
Afghanistan,1996,1008,1008,20111000,20271888384,20271888384,East Asia Maddison definition,,,,
Afghanistan,1997,926,926,20769000,19232094208,19232094208,East Asia Maddison definition,,,,
Afghanistan,1998,856,856,21452000,18362912768,18362912768,East Asia Maddison definition,,,,
Afghanistan,1999,787,787,22206000,17476122624,17476122624,East Asia Maddison definition,,,,
Afghanistan,2000,735,735,22461000,16508834816,16508834816,East Asia Maddison definition,,,,
Afghanistan,2001,692,692,22507000,15574844416,15574844416,East Asia Maddison definition,,,,
Afghanistan,2002,1088,1088,23600000,25676800000,25676800000,East Asia Maddison definition,,,,
Afghanistan,2003,1112,1112,25005000,27805560832,27805560832,East Asia Maddison definition,,,,
Afghanistan,2004,1107,1107,25698000,28447686656,28447686656,East Asia Maddison definition,,,,
Afghanistan,2005,1187,1187,26335000,31259645952,31259645952,East Asia Maddison definition,,,,
Afghanistan,2006,1257,1257,27154000,34132578304,34132578304,East Asia Maddison definition,,,,
Afghanistan,2007,1447,1447,27387000,39628988416,39628988416,East Asia Maddison definition,,,,
Afghanistan,2008,1464,1464,27706000,40561582080,40561582080,East Asia Maddison definition,,,,
Afghanistan,2009,1669,1669,28484000,47539798016,47539798016,East Asia Maddison definition,,,,
Afghanistan,2010,1685,1685,29121000,49068883968,49068883968,East Asia Maddison definition,,,,
Afghanistan,2011,1792,1792,29758000,53326336000,53326336000,East Asia Maddison definition,,,,
Afghanistan,2012,1945,1945,30420000,59166900224,59166900224,East Asia Maddison definition,,,,
Afghanistan,2013,2025,2025,31108000,62993698816,62993698816,East Asia Maddison definition,,,,
Afghanistan,2014,2022,2022,31823000,64346107904,64346107904,East Asia Maddison definition,,,,
Afghanistan,2015,1928,1928,32564000,62783393792,62783393792,East Asia Maddison definition,,,,
Afghanistan,2016,1929,1929,33332000,64297426944,64297426944,East Asia Maddison definition,,,,
Africa,1870,,,,,,,,946,,
Africa,1913,,,,,,,,974,,
Africa,1950,,,,,,,,1596,,
Africa,1951,,,,,,,,1606,,
Africa,1952,,,,,,,,1618,,
Africa,1953,,,,,,,,1658,,
Africa,1954,,,,,,,,1717,,
Africa,1955,,,,,,,,1748,,
Africa,1956,,,,,,,,1762,,
Africa,1957,,,,,,,,1794,,
Africa,1958,,,,,,,,1786,,
Africa,1959,,,,,,,,1840,,
Africa,1960,,,,,,,,1852,,
Africa,1961,,,,,,,,1883,,
Africa,1962,,,,,,,,1971,,
Africa,1963,,,,,,,,2053,,
Africa,1964,,,,,,,,2117,,
Africa,1965,,,,,,,,2251,,
Africa,1966,,,,,,,,2256,,
Africa,1967,,,,,,,,2225,,
Africa,1968,,,,,,,,2306,,
Africa,1969,,,,,,,,2556,,
Africa,1970,,,,,,,,2963,,
Africa,1971,,,,,,,,3023,,
Africa,1972,,,,,,,,3082,,
Africa,1973,,,,,,,,3238,,
Africa,1974,,,,,,,,3525,,
Africa,1975,,,,,,,,3523,,
Africa,1976,,,,,,,,3629,,
Africa,1977,,,,,,,,3772,,
Africa,1978,,,,,,,,3781,,
Africa,1979,,,,,,,,3852,,
Africa,1980,,,,,,,,3862,,
Africa,1981,,,,,,,,3697,,
Africa,1982,,,,,,,,3721,,
Africa,1983,,,,,,,,3656,,
Africa,1984,,,,,,,,3547,,
Africa,1985,,,,,,,,3620,,
Africa,1986,,,,,,,,3395,,
Africa,1987,,,,,,,,3245,,
Africa,1988,,,,,,,,3249,,
Africa,1989,,,,,,,,3230,,
Africa,1990,,,,,,,,3170,,
Africa,1991,,,,,,,,3068,,
Africa,1992,,,,,,,,3011,,
Africa,1993,,,,,,,,2902,,
Africa,1994,,,,,,,,2870,,
Africa,1995,,,,,,,,2869,,
Africa,1996,,,,,,,,2934,,
Africa,1997,,,,,,,,2913,,
Africa,1998,,,,,,,,2875,,
Africa,1999,,,,,,,,2858,,
Africa,2000,,,,,,,,2889,,
Africa,2001,,,,,,,,2919,,
Africa,2002,,,,,,,,2980,,
Africa,2003,,,,,,,,3045,,
Africa,2004,,,,,,,,3140,,
Africa,2005,,,,,,,,3320,,
Africa,2006,,,,,,,,3494,,
Africa,2007,,,,,,,,3790,,
Africa,2008,,,,,,,,4016,,
Africa,2009,,,,,,,,3998,,
Africa,2010,,,,,,,,4340,,
Africa,2011,,,,,,,,4487,,
Africa,2012,,,,,,,,4614,,
Africa,2013,,,,,,,,4577,,
Africa,2014,,,,,,,,4638,,
Africa,2015,,,,,,,,4684,,
Africa,2016,,,,,,,,4680,,
Africa Maddison definition,1950,1596,,,,,,1596,,1775.00000,225484000.00000
Africa Maddison definition,1951,1606,,,,,,1606,,1755.00000,230216000.00000
Africa Maddison definition,1952,1618,,,,,,1618,,1786.00000,235152992.00000
Africa Maddison definition,1953,1658,,,,,,1658,,1811.00000,240223008.00000
Africa Maddison definition,1954,1717,,,,,,1717,,1862.00000,245524000.00000
Africa Maddison definition,1955,1748,,,,,,1748,,1882.00000,251136000.00000
Africa Maddison definition,1956,1762,,,,,,1762,,1913.00000,256936992.00000
Africa Maddison definition,1957,1794,,,,,,1794,,1930.00000,262900992.00000
Africa Maddison definition,1958,1786,,,,,,1786,,1921.00000,269079008.00000
Africa Maddison definition,1959,1840,,,,,,1840,,1966.00000,275476000.00000
Africa Maddison definition,1960,1852,,,,,,1852,,2006.00000,282124000.00000
Africa Maddison definition,1961,1883,,,,,,1883,,2019.00000,288756000.00000
Africa Maddison definition,1962,1971,,,,,,1971,,2100.00000,295523008.00000
Africa Maddison definition,1963,2053,,,,,,2053,,2187.00000,302972992.00000
Africa Maddison definition,1964,2117,,,,,,2117,,2261.00000,310636992.00000
Africa Maddison definition,1965,2251,,,,,,2251,,2337.00000,318598016.00000
Africa Maddison definition,1966,2256,,,,,,2256,,2351.00000,326852992.00000
Africa Maddison definition,1967,2225,,,,,,2225,,2310.00000,335455008.00000
Africa Maddison definition,1968,2306,,,,,,2306,,2366.00000,344264000.00000
Africa Maddison definition,1969,2556,,,,,,2556,,2504.00000,353295008.00000
Africa Maddison definition,1970,2963,,,,,,2963,,2967.00000,362124992.00000
Africa Maddison definition,1971,3023,,,,,,3023,,3007.00000,371617984.00000
Africa Maddison definition,1972,3082,,,,,,3082,,3076.00000,381257984.00000
Africa Maddison definition,1973,3238,,,,,,3238,,3114.00000,391368000.00000
Africa Maddison definition,1974,3525,,,,,,3525,,3251.00000,401660000.00000
Africa Maddison definition,1975,3523,,,,,,3523,,3327.00000,412060000.00000
Africa Maddison definition,1976,3629,,,,,,3629,,3492.00000,423283008.00000
Africa Maddison definition,1977,3772,,,,,,3772,,3555.00000,435103008.00000
Africa Maddison definition,1978,3781,,,,,,3781,,3555.00000,447115008.00000
Africa Maddison definition,1979,3852,,,,,,3852,,3636.00000,459460992.00000
Africa Maddison definition,1980,3862,,,,,,3862,,3692.00000,472264992.00000
Africa Maddison definition,1981,3697,,,,,,3697,,3581.00000,486828992.00000
Africa Maddison definition,1982,3721,,,,,,3721,,3592.00000,501811008.00000
Africa Maddison definition,1983,3656,,,,,,3656,,3515.00000,517296000.00000
Africa Maddison definition,1984,3547,,,,,,3547,,3496.00000,532230016.00000
Africa Maddison definition,1985,3620,,,,,,3620,,3534.00000,547180992.00000
Africa Maddison definition,1986,3395,,,,,,3395,,3479.00000,562380032.00000
Africa Maddison definition,1987,3245,,,,,,3245,,3406.00000,577710976.00000
Africa Maddison definition,1988,3249,,,,,,3249,,3454.00000,593436032.00000
Africa Maddison definition,1989,3230,,,,,,3230,,3476.00000,609734016.00000
Africa Maddison definition,1990,3170,,,,,,3170,,3430.00000,626643968.00000
Africa Maddison definition,1991,3068,,,,,,3068,,3386.00000,644636992.00000
Africa Maddison definition,1992,3011,,,,,,3011,,3304.00000,662241024.00000
Africa Maddison definition,1993,2902,,,,,,2902,,3232.00000,679228032.00000
Africa Maddison definition,1994,2870,,,,,,2870,,3228.00000,694286976.00000
Africa Maddison definition,1995,2869,,,,,,2869,,3247.00000,710984000.00000
Africa Maddison definition,1996,2934,,,,,,2934,,3329.00000,728291968.00000
Africa Maddison definition,1997,2913,,,,,,2913,,3366.00000,745427008.00000
Africa Maddison definition,1998,2875,,,,,,2875,,3396.00000,762860992.00000
Africa Maddison definition,1999,2858,,,,,,2858,,3411.00000,781158016.00000
Africa Maddison definition,2000,2889,,,,,,2889,,3462.00000,799830016.00000
Africa Maddison definition,2001,2919,,,,,,2919,,3530.00000,818912000.00000
Africa Maddison definition,2002,2980,,,,,,2980,,3615.00000,838784000.00000
Africa Maddison definition,2003,3045,,,,,,3045,,3712.00000,859387008.00000
Africa Maddison definition,2004,3140,,,,,,3140,,3821.00000,880440000.00000
Africa Maddison definition,2005,3320,,,,,,3320,,3947.00000,901856000.00000
Africa Maddison definition,2006,3494,,,,,,3494,,4077.00000,923819008.00000
Africa Maddison definition,2007,3790,,,,,,3790,,4236.00000,946497024.00000
Africa Maddison definition,2008,4016,,,,,,4016,,4374.00000,969710976.00000
Africa Maddison definition,2009,3998,,,,,,3998,,4419.00000,993580992.00000
Africa Maddison definition,2010,4340,,,,,,4340,,4562.00000,1017987008.00000
Africa Maddison definition,2011,4487,,,,,,4487,,4487.00000,1042756992.00000
Africa Maddison definition,2012,4614,,,,,,4614,,4620.00000,1068526016.00000
Africa Maddison definition,2013,4577,,,,,,4577,,4618.00000,1095271040.00000
Africa Maddison definition,2014,4638,,,,,,4638,,4701.00000,1122390016.00000
Africa Maddison definition,2015,4684,,,,,,4684,,4746.00000,1149696000.00000
Africa Maddison definition,2016,4680,,,,,,4680,,4741.00000,1177165056.00000
Albania,1,,,200000,,,Eastern Europe Maddison definition,,,,
Albania,1000,,,200000,,,Eastern Europe Maddison definition,,,,
Albania,1500,,,200000,,,Eastern Europe Maddison definition,,,,
Albania,1600,,,200000,,,Eastern Europe Maddison definition,,,,
Albania,1700,,,300000,,,Eastern Europe Maddison definition,,,,
Albania,1820,,,437000,,,Eastern Europe Maddison definition,,,,
Albania,1850,,,500000,,,Eastern Europe Maddison definition,,,,
Albania,1870,658,795,603000,396774016,479384992,Eastern Europe Maddison definition,,,,
Albania,1890,882,1065,726000,640332032,773190016,Eastern Europe Maddison definition,,,,
Albania,1900,1011,1221,800000,808800000,976800000,Eastern Europe Maddison definition,,,,
Albania,1910,1152,1390,874000,1006848000,1214860032,Eastern Europe Maddison definition,,,,
Albania,1913,1197,1445,898000,1074905984,1297609984,Eastern Europe Maddison definition,,,,
Albania,1920,,,932000,,,Eastern Europe Maddison definition,,,,
Albania,1921,,,937000,,,Eastern Europe Maddison definition,,,,
Albania,1922,,,942000,,,Eastern Europe Maddison definition,,,,
Albania,1923,,,947000,,,Eastern Europe Maddison definition,,,,
Albania,1924,,,952000,,,Eastern Europe Maddison definition,,,,
Albania,1925,,,956000,,,Eastern Europe Maddison definition,,,,
Albania,1926,,,962000,,,Eastern Europe Maddison definition,,,,
Albania,1927,,,967000,,,Eastern Europe Maddison definition,,,,
Albania,1928,,,972000,,,Eastern Europe Maddison definition,,,,
Albania,1929,1367,1651,977000,1335559040,1613026944,Eastern Europe Maddison definition,,,,
Albania,1930,,,982000,,,Eastern Europe Maddison definition,,,,
Albania,1931,,,988000,,,Eastern Europe Maddison definition,,,,
Albania,1932,,,993000,,,Eastern Europe Maddison definition,,,,
Albania,1933,,,998000,,,Eastern Europe Maddison definition,,,,
Albania,1934,,,1003000,,,Eastern Europe Maddison definition,,,,
Albania,1935,,,1009000,,,Eastern Europe Maddison definition,,,,
Albania,1936,,,1014000,,,Eastern Europe Maddison definition,,,,
Albania,1937,,,1030000,,,Eastern Europe Maddison definition,,,,
Albania,1938,,,1040000,,,Eastern Europe Maddison definition,,,,
Albania,1939,,,1070000,,,Eastern Europe Maddison definition,,,,
Albania,1940,,,1088000,,,Eastern Europe Maddison definition,,,,
Albania,1941,,,1100000,,,Eastern Europe Maddison definition,,,,
Albania,1942,,,1117000,,,Eastern Europe Maddison definition,,,,
Albania,1943,,,1119000,,,Eastern Europe Maddison definition,,,,
Albania,1944,,,1122000,,,Eastern Europe Maddison definition,,,,
Albania,1945,,,1138000,,,Eastern Europe Maddison definition,,,,
Albania,1946,,,1154000,,,Eastern Europe Maddison definition,,,,
Albania,1947,,,1175000,,,Eastern Europe Maddison definition,,,,
Albania,1948,,,1192000,,,Eastern Europe Maddison definition,,,,
Albania,1949,,,1209000,,,Eastern Europe Maddison definition,,,,
Albania,1950,1478,1784,1227000,1813506048,2188967936,Eastern Europe Maddison definition,,,,
Albania,1951,1542,1861,1254000,1933667968,2333693952,Eastern Europe Maddison definition,,,,
Albania,1952,1544,1864,1283000,1980952064,2391512064,Eastern Europe Maddison definition,,,,
Albania,1953,1607,1940,1315000,2113204992,2551099904,Eastern Europe Maddison definition,,,,
Albania,1954,1654,1997,1353000,2237861888,2701940992,Eastern Europe Maddison definition,,,,
Albania,1955,1743,2104,1392000,2426255872,2928768000,Eastern Europe Maddison definition,,,,
Albania,1956,1761,2125,1434000,2525274112,3047249920,Eastern Europe Maddison definition,,,,
Albania,1957,1873,2262,1477000,2766420992,3340974080,Eastern Europe Maddison definition,,,,
Albania,1958,1958,2363,1521000,2978117888,3594123008,Eastern Europe Maddison definition,,,,
Albania,1959,2038,2461,1571000,3201698048,3866231040,Eastern Europe Maddison definition,,,,
Albania,1960,2142,2585,1623000,3476465920,4195454976,Eastern Europe Maddison definition,,,,
Albania,1961,2159,2607,1677000,3620643072,4371938816,Eastern Europe Maddison definition,,,,
Albania,1962,2231,2693,1728000,3855168000,4653504000,Eastern Europe Maddison definition,,,,
Albania,1963,2307,2785,1780000,4106459904,4957300224,Eastern Europe Maddison definition,,,,
Albania,1964,2386,2880,1832000,4371151872,5276160000,Eastern Europe Maddison definition,,,,
Albania,1965,2473,2985,1884000,4659131904,5623739904,Eastern Europe Maddison definition,,,,
Albania,1966,2566,3097,1933000,4960077824,5986501120,Eastern Europe Maddison definition,,,,
Albania,1967,2662,3214,1984000,5281408000,6376576000,Eastern Europe Maddison definition,,,,
Albania,1968,2759,3330,2039000,5625601024,6789870080,Eastern Europe Maddison definition,,,,
Albania,1969,2852,3443,2100000,5989199872,7230300160,Eastern Europe Maddison definition,,,,
Albania,1970,2957,3570,2157000,6378249216,7700490240,Eastern Europe Maddison definition,,,,
Albania,1971,3064,3713,2209000,6768375808,8202016768,Eastern Europe Maddison definition,,,,
Albania,1972,3177,3858,2264000,7192728064,8734512128,Eastern Europe Maddison definition,,,,
Albania,1973,3312,4050,2296000,7604352000,9298799616,Eastern Europe Maddison definition,,,,
Albania,1974,3347,4065,2348000,7858756096,9544620032,Eastern Europe Maddison definition,,,,
Albania,1975,3363,4079,2401000,8074563072,9793679360,Eastern Europe Maddison definition,,,,
Albania,1976,3345,4096,2455000,8211975168,10055680000,Eastern Europe Maddison definition,,,,
Albania,1977,3380,4114,2509000,8480419840,10322026496,Eastern Europe Maddison definition,,,,
Albania,1978,3394,4133,2563000,8698821632,10592878592,Eastern Europe Maddison definition,,,,
Albania,1979,3363,4153,2618000,8804333568,10872554496,Eastern Europe Maddison definition,,,,
Albania,1980,3501,4182,2671000,9351171072,11170121728,Eastern Europe Maddison definition,,,,
Albania,1981,3445,4205,2724000,9384179712,11454419968,Eastern Europe Maddison definition,,,,
Albania,1982,3380,4228,2780000,9396400128,11753839616,Eastern Europe Maddison definition,,,,
Albania,1983,3484,4252,2837000,9884107776,12062923776,Eastern Europe Maddison definition,,,,
Albania,1984,3588,4277,2896000,10390847488,12386192384,Eastern Europe Maddison definition,,,,
Albania,1985,3593,4299,2957000,10624500736,12712142848,Eastern Europe Maddison definition,,,,
Albania,1986,3583,4326,3015000,10802745344,13042889728,Eastern Europe Maddison definition,,,,
Albania,1987,3710,4353,3075000,11408249856,13385475072,Eastern Europe Maddison definition,,,,
Albania,1988,3714,4381,3137000,11650818048,13743197184,Eastern Europe Maddison definition,,,,
Albania,1989,3687,4414,3196000,11783652352,14107144192,Eastern Europe Maddison definition,,,,
Albania,1990,4099,4454,3251000,13325848576,14479953920,Eastern Europe Maddison definition,,,,
Albania,1991,3799,3271,3187000,12107413504,10424677376,Eastern Europe Maddison definition,,,,
Albania,1992,3520,3143,3078000,10834560000,9674153984,Eastern Europe Maddison definition,,,,
Albania,1993,4054,3451,3072000,12453888000,10601472000,Eastern Europe Maddison definition,,,,
Albania,1994,4551,3721,3117000,14185466880,11598357504,Eastern Europe Maddison definition,,,,
Albania,1995,4685,3992,3164000,14823340032,12630687744,Eastern Europe Maddison definition,,,,
Albania,1996,5474,4294,3209000,17566066688,13779445760,Eastern Europe Maddison definition,,,,
Albania,1997,4406,3799,3231000,14235786240,12274569216,Eastern Europe Maddison definition,,,,
Albania,1998,4355,4150,3219000,14018745344,13358850048,Eastern Europe Maddison definition,,,,
Albania,1999,5016,4723,3193000,16016088064,15080539136,Eastern Europe Maddison definition,,,,
Albania,2000,5183,5097,3164000,16399011840,16126908416,Eastern Europe Maddison definition,,,,
Albania,2001,5409,5574,3134000,16951805952,17468915712,Eastern Europe Maddison definition,,,,
Albania,2002,5489,5883,3104000,17037855744,18260832256,Eastern Europe Maddison definition,,,,
Albania,2003,5804,6265,3075000,17847300096,19264874496,Eastern Europe Maddison definition,,,,
Albania,2004,6094,6663,3051000,18592794624,20328812544,Eastern Europe Maddison definition,,,,
Albania,2005,6499,7080,3030000,19691970560,21452400640,Eastern Europe Maddison definition,,,,
Albania,2006,7111,7545,3011000,21411221504,22717995008,Eastern Europe Maddison definition,,,,
Albania,2007,7673,8035,2997000,22995980288,24080896000,Eastern Europe Maddison definition,,,,
Albania,2008,8617,8659,2990000,25764829184,25890410496,Eastern Europe Maddison definition,,,,
Albania,2009,9373,8954,2988000,28006524928,26754551808,Eastern Europe Maddison definition,,,,
Albania,2010,9324,9272,2992000,27897407488,27741822976,Eastern Europe Maddison definition,,,,
Albania,2011,9484,9484,3000000,28451999744,28451999744,Eastern Europe Maddison definition,,,,
Albania,2012,10344,9592,3008000,31114752000,28852736000,Eastern Europe Maddison definition,,,,
Albania,2013,10138,9660,3017000,30586345472,29144219648,Eastern Europe Maddison definition,,,,
Albania,2014,10703,9808,3026000,32387278848,29679007744,Eastern Europe Maddison definition,,,,
Albania,2015,10947,10032,3035000,33224144896,30447120384,Eastern Europe Maddison definition,,,,
Albania,2016,11285,10342,3044000,34351540224,31481047040,Eastern Europe Maddison definition,,,,
Algeria,1,,,2000000,,,Africa Maddison definition,,,,
Algeria,1000,,,2000000,,,Africa Maddison definition,,,,
Algeria,1500,,,1500000,,,Africa Maddison definition,,,,
Algeria,1600,,,2250000,,,Africa Maddison definition,,,,
Algeria,1700,,,1750000,,,Africa Maddison definition,,,,
Algeria,1820,,,2689000,,,Africa Maddison definition,,,,
Algeria,1870,,,3776000,,,Africa Maddison definition,,,,
Algeria,1913,,,5497000,,,Africa Maddison definition,,,,
Algeria,1950,,,8893000,,,Africa Maddison definition,,,,
Algeria,1951,,,9073000,,,Africa Maddison definition,,,,
Algeria,1952,,,9280000,,,Africa Maddison definition,,,,
Algeria,1953,,,9532000,,,Africa Maddison definition,,,,
Algeria,1954,,,9611000,,,Africa Maddison definition,,,,
Algeria,1955,,,9842000,,,Africa Maddison definition,,,,
Algeria,1956,,,10057000,,,Africa Maddison definition,,,,
Algeria,1957,,,10271000,,,Africa Maddison definition,,,,
Algeria,1958,,,10485000,,,Africa Maddison definition,,,,
Algeria,1959,,,10696000,,,Africa Maddison definition,,,,
Algeria,1960,,,10909000,,,Africa Maddison definition,,,,
Algeria,1961,,,11122000,,,Africa Maddison definition,,,,
Algeria,1962,,,11001000,,,Africa Maddison definition,,,,
Algeria,1963,,,11273000,,,Africa Maddison definition,,,,
Algeria,1964,,,11613000,,,Africa Maddison definition,,,,
Algeria,1965,,,11963000,,,Africa Maddison definition,,,,
Algeria,1966,,,12339000,,,Africa Maddison definition,,,,
Algeria,1967,,,12760000,,,Africa Maddison definition,,,,
Algeria,1968,,,13146000,,,Africa Maddison definition,,,,
Algeria,1969,,,13528000,,,Africa Maddison definition,,,,
Algeria,1970,6334,8179,13932000,88245288960,113950000000,Africa Maddison definition,,,,
Algeria,1971,5984,7272,14335000,85780643840,104244000000,Africa Maddison definition,,,,
Algeria,1972,6615,8545,14761000,97644011520,126133000000,Africa Maddison definition,,,,
Algeria,1973,6993,8570,15198000,106280000000,130247000000,Africa Maddison definition,,,,
Algeria,1974,8977,8828,15653000,140517000000,138185000000,Africa Maddison definition,,,,
Algeria,1975,9525,9171,16140000,153733000000,148020000000,Africa Maddison definition,,,,
Algeria,1976,9227,9485,16635000,153491000000,157783000000,Africa Maddison definition,,,,
Algeria,1977,9969,10032,17153000,170998000000,172079000000,Africa Maddison definition,,,,
Algeria,1978,10922,10977,17686000,193166000000,194139000000,Africa Maddison definition,,,,
Algeria,1979,11511,11608,18230000,209846000000,211614000000,Africa Maddison definition,,,,
Algeria,1980,11630,11462,18806000,218714000000,215554000000,Africa Maddison definition,,,,
Algeria,1981,12258,11386,19407000,237891000000,220968000000,Africa Maddison definition,,,,
Algeria,1982,12243,11737,20034000,245276000000,235139000000,Africa Maddison definition,,,,
Algeria,1983,12299,11959,20681000,254356000000,247324000000,Africa Maddison definition,,,,
Algeria,1984,12283,12230,21341000,262131000000,261000000000,Africa Maddison definition,,,,
Algeria,1985,12809,12477,22008000,281900000000,274594000000,Africa Maddison definition,,,,
Algeria,1986,10761,12005,22643000,243661000000,271829000000,Africa Maddison definition,,,,
Algeria,1987,9717,11607,23255000,225969000000,269921000000,Africa Maddison definition,,,,
Algeria,1988,8437,11066,23881000,201484000000,264267000000,Africa Maddison definition,,,,
Algeria,1989,8381,11152,24496000,205301000000,273179000000,Africa Maddison definition,,,,
Algeria,1990,8312,10716,25089000,208540000000,268854000000,Africa Maddison definition,,,,
Algeria,1991,7692,10327,25722000,197854000000,265631000000,Africa Maddison definition,,,,
Algeria,1992,7893,10228,26387000,208273000000,269886000000,Africa Maddison definition,,,,
Algeria,1993,7171,9769,27045000,193940000000,264203000000,Africa Maddison definition,,,,
Algeria,1994,6966,9471,27647000,192589000000,261845000000,Africa Maddison definition,,,,
Algeria,1995,7079,9639,28208000,199684000000,271897000000,Africa Maddison definition,,,,
Algeria,1996,7215,9827,28721000,207222000000,282241000000,Africa Maddison definition,,,,
