Entity,Year,Coal Output (DECC (2018)),Employment in coal industry (DECC (2018)),Coal production per worker (DECC (2018)),Percentage of workforce in coal industry (DECC (2018)),Coal imports (DECC (2018)),Deepmined coal output (DECC (2018)),Opencast coal output (DECC (2018)),Coal by end use (Collieries),Coal by end use (Electricity),Coal by end use (Gas),Coal by end use (Coke ovens & solid fuels),Coal by end use (Railways),Coal by end use (Domestic),Coal by end use (Industry),Coal by end use (Miscellaneous)
United Kingdom,1987,104.533,75,1393.773333,0.27,9.781,85.957,18.576,0.235,87.96,0,12.911,,6.536,6.827,1.425
United Kingdom,1988,104.066,69,1508.202899,0.24,11.685,83.762,20.304,0.196,84.258,0,12.908,,5.741,7.131,1.265
United Kingdom,1989,99.82,56,1782.5,0.19,12.137,79.628,20.192,0.146,82.053,0,12.509,,5.048,6.763,1.062
United Kingdom,1990,92.762,49,1893.102041,0.17,14.783,72.899,19.863,0.117,84.014,0,12.396,,4.239,6.28,1.211
United Kingdom,1991,94.202,38,2479,0.13,19.611,73.357,20.845,0.112,83.542,0,11.512,,4.778,6.426,1.144
United Kingdom,1992,84.493,28,3017.607143,0.1,20.339,65.8,18.693,0.079,78.469,0,10.35,,4.156,6.581,0.945
United Kingdom,1993,68.199,10,6819.9,0.04,18.4,50.457,17.742,0.048,66.136,0,9.808,,4.638,5.3,0.826
United Kingdom,1994,49.785,7,7112.142857,0.02,15.088,31.854,17.931,0.022,62.406,0,9.771,,3.901,4.946,0.721
United Kingdom,1995,53.037,11.657,4549.798404,0.04,15.896,35.15,17.887,0.008,59.588,0,9.639,,2.69,4.494,0.523
United Kingdom,1996,50.197,10.315,4866.408143,0.04,17.79936302,32.223,17.974,0.008,55.511,0,9.577538,,2.705,3.074919627,1.511841249
United Kingdom,1997,48.495,13.768,3522.298083,0.05,19.757,30.281,18.214,0.008,47.333,0,9.614,,2.587,2.993,1.691
United Kingdom,1998,41.177,11.113,3705.300099,0.04,21.244,25.731,15.446,0.005,48.588,0,9.363,,2.366,2.414,0.416
United Kingdom,1999,37.077,11.973,3096.717615,0.04,20.293,20.888,16.189,0.01,41.178,0,9.059,,2.517,2.04,0.92
United Kingdom,2000,31.19758267,10.939,2851.95929,0.04,23.44590067,17.18752667,14.010056,0.012451059,46.19749398,0,9.880335277,,1.882697457,1.875996805,0.082023855
United Kingdom,2001,31.929856,11.439,2791.315325,0.04,35.54218263,17.346712,14.583144,0.009647,50.93136964,0,9.141124261,,1.873730166,1.826382113,0.068155367
United Kingdom,2002,29.989155,9.578,3131.045625,0.03,28.68621482,16.39137,13.597785,0.008614,47.74111465,0,7.686221117,,1.285986211,1.809560084,0.022366616
United Kingdom,2003,28.279,8.25,3427.757576,0.03,31.89114416,15.633,12.646,0.005653,52.46340543,0,7.630008756,,1.042559562,1.856107677,0.024804307
United Kingdom,2004,25.096057,7.772,3229.034611,0.03,36.15281057,12.542343,12.553714,0.007817,50.44358978,0,7.1823143,,0.940664699,1.847760804,0.0275
United Kingdom,2005,20.498293,6.054,3385.908986,0.02,43.96849029,9.563437,10.934856,0.005746,52.05823558,0,7.333673003,0.004,0.614092807,1.781422816,0.055209115
United Kingdom,2006,18.517162,5.431,3409.530841,0.02,50.52806891,9.444401,9.072761,0.003758,57.43777851,0,7.78232221,0.0188,0.561220711,1.755535332,0.034713193
United Kingdom,2007,17.007227,5.538,3071.005237,0.02,43.36412036,7.673882,9.333345,0.004613,52.51067649,0,7.923821536,0.0188,0.648235631,1.896364763,0.02639179
United Kingdom,2008,18.05324257,6.157,2932.149191,0.02,43.87531551,8.095680143,9.957562429,0.005285967,47.80763491,0,7.899679344,0.0188,0.68348588,1.940440311,0.029718944
United Kingdom,2009,17.87363382,5.912,3023.280416,0.02,38.16684201,7.51969578,10.35393804,0.004843732,39.68080696,0,6.507082826,0.0188,0.689169418,1.742097242,0.075392803
United Kingdom,2010,18.34663037,6.014,3050.653537,0.02,26.54073567,7.39044836,10.95618201,0.004908913,41.49751334,0,7.086189428,0.0188,0.718872545,1.958616392,0.039262112
United Kingdom,2011,18.55197821,5.972,3106.493337,0.02,32.52738943,7.31222275,11.23975546,0.00378248,41.8496576,0,7.096568663,0.015291462,0.70453613,1.797569501,0.039862859
United Kingdom,2012,16.96666706,5.827,2911.732806,0.02,44.81516384,6.153107466,10.81355959,0.003825739,54.90132753,0,6.596579203,0.016110151,0.673929523,1.826470225,0.024088659
United Kingdom,2013,12.76744561,3.715,3436.728293,0.01,50.61116196,4.08872362,8.678721993,0.002603302,49.87285157,0,7.319189799,0.013711487,0.639501325,2.322511628,0.035616232
United Kingdom,2014,11.64761179,3.601,3234.549234,0.01,42.22499475,3.68511355,7.962498238,0,38.23402041,0,7.020796862,0.013,0.548514968,2.441796611,0.242075384
United Kingdom,2015,8.598017523,1.975,4353.51269,0.01,22.51807222,2.78372661,5.814290913,0,29.32969447,0,5.445106492,0.013,0.552057301,2.073463462,0.037591612
United Kingdom,2016,4.17779643,0.831,5027.432527,0,8.91371777,0.02178141,4.15601502,0,12.05514059,0,3.41272851,0.015,0.549732622,1.962598728,0.040106513
United Kingdom,2017,3.041064486,0.62,4904.942719,0,8.497918279,0.02007558,3.020988906,0,8.716474503,0,3.401837468,0.015,0.535598613,1.731923416,0.038242258
United Kingdom,2018,2.580054016,0.59,4372.972909,0,10.1442331,0.02404376,2.556010256,0,6.655310464,0,3.122098335,0.015,0.517747238,1.581193738,0.037501727
United Kingdom,2019,2.166397294,0.699,3099.280821,0,6.528985144,0.09891346,2.067483834,0,2.906094375,0,3.093591773,0.015,0.491776523,1.425932121,0.030677833
