Entity,Year,Aircraft Departures,Aircraft KMs,ASKs,Cargo RTKs,Freight Tonnes,Passengers,PLF,RPKs
World,1977,10118000,8.089e+09,1.34626e+12,2.6805e+10,10046000,610322000,0.607832068,8.183e+11
World,1978,10379000,8.498e+09,1.451184e+12,2.9205e+10,10625000,678645000,0.645233134,9.36352e+11
World,1979,10666000,9.147e+09,1.607188e+12,3.1436e+10,10996000,754117000,0.65968387,1.060236e+12
World,1980,10691000,9.35e+09,1.723903e+12,3.3057e+10,11089000,748288000,0.631780326,1.089128e+12
World,1981,10250000,9.113e+09,1.756539e+12,3.4675e+10,10915000,752271000,0.637085769,1.119066e+12
World,1982,10379000,9.14e+09,1.794646e+12,3.5413e+10,11568000,765806000,0.636444736,1.142193e+12
World,1983,10820000,9.395e+09,1.852088e+12,3.9112e+10,12257000,797810000,0.642392262,1.189767e+12
World,1984,11453000,1.0102e+10,1.972296e+12,4.3978e+10,13416000,847931000,0.648064996,1.278176e+12
World,1985,11952000,1.0598e+10,2.081018e+12,4.4236e+10,13742000,899218000,0.657056787,1.367347e+12
World,1986,12698000,1.1491e+10,2.23473e+12,4.7735e+10,14687000,960012000,0.649767533,1.452055e+12
World,1987,13306000,1.2266e+10,2.367532e+12,5.3021e+10,16058000,1027856000,0.671360303,1.589467e+12
World,1988,13942000,1.3017e+10,2.524094e+12,5.8099e+10,17215000,1082474000,0.675661049,1.705432e+12
World,1989,13945000,1.3493e+10,2.608046e+12,6.2202e+10,18088000,1109478000,0.680088848,1.773703e+12
World,1990,14661000,1.4371e+10,2.800844e+12,6.4121e+10,18423000,1165156000,0.676312212,1.894245e+12
World,1991,14269000,1.4262e+10,2.779494e+12,6.363e+10,17465000,1135185000,0.663940271,1.845418e+12
World,1992,14819000,1.569e+10,2.930185e+12,6.7761e+10,17647000,1145553000,0.658293589,1.928922e+12
World,1993,15777000,1.7118e+10,3.013411e+12,7.3671e+10,18053000,1142382000,0.646915074,1.949421e+12
World,1994,17038000,1.8249e+10,3.169342e+12,8.2626e+10,20522000,1233341000,0.66257791,2.099936e+12
World,1995,17816000,1.947e+10,3.358601e+12,8.8765e+10,22189000,1303645000,0.669390321,2.248215e+12
World,1996,18758000,2.0601e+10,3.563774e+12,9.4996e+10,23234000,1391085000,0.682337039,2.431695e+12
World,1997,19320000,2.163e+10,3.7279e+12,1.0887e+11,26360000,1456690000,0.6902036,2.57301e+12
World,1998,19686000,2.2438e+10,3.837725e+12,1.07575e+11,26496000,1471470000,0.684810923,2.628116e+12
World,1999,20739000,2.3742e+10,4.050783e+12,1.14373e+11,28103000,1562324000,0.690682024,2.797803e+12
World,2000,24143465.946258,25981555983.434,4504515271586.03,133572011601.439,29622079.923,1774388417.916,0.710701581,3201366124113.32
World,2001,24233637.621127,26157107037.377,4489444871465.98,124941687325.198,28052109.687,1740675037.975,0.692407769,3108526506514.03
World,2002,23095220.225902,25506535484.532,4379359487046.53,134058705507.334,30576799.559,1738934362.937,0.713362113,3124069139046.6
World,2003,23816593.624857,26559841808.185,4443203755337.52,140372649676.671,32625445.129,1794580262.551,0.715767847,3180302383549.44
World,2004,26780987.436185,30122495549.952,4944362870068.81,154838346907.101,35757487.862,2002751573.007,0.73391155,3628725019629.91
World,2005,28077205.262432,31857353024.203,5229355276244.14,158674075645.018,36651425.058,2144946934.691,0.749427571,3919023021200.3
World,2006,28776035.742669,33179149195.062,5500959426295.92,169365034074.14,38976326.138,2263250105.76,0.758150692,4170556195914.7
World,2007,29869367.300459,34934659734.483,5876065252473.17,177261473473.968,41374427.069,2461986320.262,0.768047272,4513095886534.66
World,2008,29988856.031948,35768812336.525,6062667139324.1,176052338460.738,39928453.381,2500044331.773,0.760138426,4608466258169.26
World,2009,29372403.867587,34893659618.745,5948502617837.18,160439169902.364,39977335.128,2488281562.028,0.766817019,4561413042719.06
World,2010,30754207.128909,38394979480.867,6307072096947.99,193101243457.865,48007146.382,2707866526.709,0.781701864,4930250015715.44
World,2011,31767566.386975,40470837184.599,6.747537e+12,1.95603e+11,49300000,2.883e+09,0.780066119,5.263525e+12
World,2012,32192986.84569,41484586110.406,7.031359e+12,1.93799e+11,48600000,3.016e+09,0.788622512,5.545088e+12
World,2013,32583099.281708,42771821187.685,7.359728e+12,1.94934e+11,49700000,3.151e+09,0.794820542,5.849663e+12
World,2014,33272692.564072,44493683181.101,7.776485e+12,2.04234e+11,51300000,3.33e+09,0.797185104,6.199298e+12
World,2015,34193299.481808,46738799001.277,8.305406e+12,2.07243e+11,51600000,3.571e+09,0.802386422,6.664145e+12
World,2016,35515014.001,49240375643.156,8.91405e+12,2.14559e+11,53500000,3.81e+09,0.802855156,7.156691e+12
World,2017,36543132.058,51832068338.58,9.486923e+12,2.34475e+11,57300000,4.079e+09,0.814775349,7.729711e+12
World,2018,37822685.904009,54278578733.847,1.0147668e+13,2.41044e+11,59100000,4.345e+09,0.817223425,8.292912e+12
World,2019,38299000,5.6199e+10,1.0530769e+13,2.35486e+11,58100000,4.494e+09,0.823933181,8.67665e+12
World,2020,20290000,2.8013e+10,4.579828e+12,1.95059e+11,48900000,1.792e+09,0.652863383,2.990002e+12
