Entity,Year,Female labor force participation rate (OWID based on OECD 2017 and others)
Belgium,2004,44.4920138
Belgium,2005,45.69241048
Belgium,2006,45.82156848
Belgium,2007,46.52888874
Belgium,2008,46.91037467
Belgium,2009,46.95026682
Belgium,2010,47.71128394
Belgium,2011,47.03193044
Belgium,2012,47.10019835
Belgium,2013,47.76867914
Belgium,2014,48.0781162
Belgium,2015,48.00883106
Belgium,2016,47.71184983
Brazil,2001,54.13839591
Brazil,2002,55.58063339
Brazil,2003,55.89025014
Brazil,2004,56.95995861
Brazil,2005,58.1983196
Brazil,2006,58.03840833
Brazil,2007,57.68856293
Brazil,2008,57.57405336
Brazil,2009,57.89210913
Brazil,2011,55.03363917
Brazil,2012,54.88204834
Brazil,2013,54.64484181
Brazil,2014,56.0916201
Brazil,2015,54.36121504
Canada,1911,15.8
Canada,1921,17.2
Canada,1931,19.1
Canada,1941,22.3
Canada,1951,23.5
Canada,1976,45.69663104
Canada,1977,46.53247651
Canada,1978,47.939713
Canada,1979,49.37977151
Canada,1980,50.60008321
Canada,1981,52.01931335
Canada,1982,52.12957903
Canada,1983,52.97097174
Canada,1984,53.77408698
Canada,1985,54.85863272
Canada,1986,55.65113571
Canada,1987,56.45728303
Canada,1988,57.42196807
Canada,1989,58.1069781
Canada,1990,58.5007821
Canada,1991,58.43091868
Canada,1992,57.84001296
Canada,1993,57.66309899
Canada,1994,57.51817393
Canada,1995,57.48084664
Canada,1996,57.45813397
Canada,1997,57.78502014
Canada,1998,58.37572781
Canada,1999,58.90046516
Canada,2000,59.39395424
Canada,2001,59.75309992
Canada,2002,60.90394779
Canada,2003,61.89055624
Canada,2004,61.98541762
Canada,2005,61.65647486
Canada,2006,61.88239684
Canada,2007,62.51329423
Canada,2008,62.55272596
Canada,2009,62.42666304
Canada,2010,62.41329146
Canada,2011,62.15648479
Canada,2012,62.12900801
Canada,2013,62.16907648
Canada,2014,61.55294922
Canada,2015,61.21929644
Canada,2016,61.276097
Chile,1996,36.65992334
Chile,1997,37.31824323
Chile,1998,37.66509076
Chile,1999,38.18802535
Chile,2000,37.80193495
Chile,2001,36.75281521
Chile,2002,36.47795552
Chile,2003,37.86499838
Chile,2004,39.37207874
Chile,2005,40.25432376
Chile,2006,41.37057827
Chile,2007,42.25334
Chile,2008,44.36083521
Chile,2009,44.87083948
Chile,2010,45.3356406
Chile,2011,47.35124546
Chile,2012,47.80249062
Chile,2013,47.72386656
Chile,2014,48.42011613
Chile,2015,48.24374683
Chile,2016,48.04726718
China,2000,70.56679668
China,2010,63.72716049
Colombia,2001,53.550825
Colombia,2002,53.76404852
Colombia,2003,54.92069749
Colombia,2004,53.09897554
Colombia,2005,52.1556852
Colombia,2007,50.13030395
Colombia,2008,50.51803319
Colombia,2009,54.04760004
Colombia,2010,56.01907506
Colombia,2011,56.85229299
Colombia,2012,58.21554446
Colombia,2013,57.98580659
Colombia,2014,57.96784739
Colombia,2015,58.60341954
Colombia,2016,58.32913855
Czech Republic,1993,52.34044167
Czech Republic,1994,52.58051839
Czech Republic,1995,52.32528586
Czech Republic,1996,51.82410968
Czech Republic,1997,51.81885892
Czech Republic,1998,51.95282917
Czech Republic,1999,52.10796938
Czech Republic,2000,51.63480779
Czech Republic,2001,51.28107602
Czech Republic,2002,50.98049192
Czech Republic,2003,50.79499966
Czech Republic,2004,50.53811359
Czech Republic,2005,50.64136707
Czech Republic,2006,50.55003313
Czech Republic,2007,49.77487133
Czech Republic,2008,49.32758846
Czech Republic,2009,49.52945556
Czech Republic,2010,49.32189002
Czech Republic,2011,49.51932482
Czech Republic,2012,50.04195484
Czech Republic,2013,50.91482802
Czech Republic,2014,50.86185218
Czech Republic,2015,51.25289432
Czech Republic,2016,51.86540498
Denmark,1983,58.25513155
Denmark,1984,59.29561807
Denmark,1985,59.66095647
Denmark,1986,60.7799565
Denmark,1987,60.35564607
Denmark,1988,60.77557444
Denmark,1989,60.54965827
Denmark,1990,61.45914452
Denmark,1991,61.70271949
Denmark,1992,62.39071576
Denmark,1993,61.85574466
Denmark,1994,58.29317283
Denmark,1995,57.47356878
Denmark,1996,58.72372004
Denmark,1997,59.0118057
Denmark,1998,59.51082408
Denmark,1999,60.02796224
Denmark,2000,60.09343674
Denmark,2001,60.5286511
Denmark,2002,60.10836654
Denmark,2003,59.81781342
Denmark,2004,60.65155206
Denmark,2005,60.39155874
Denmark,2006,60.93142432
Denmark,2007,60.66274682
Denmark,2008,60.94951599
Denmark,2009,60.62854162
Denmark,2010,59.80362704
Denmark,2011,59.61861803
Denmark,2012,59.05103815
Denmark,2013,58.58640497
Denmark,2014,58.05332428
Denmark,2015,57.80794044
Denmark,2016,59.38226578
Estonia,1990,66.46328103
Estonia,1991,64.76654925
Estonia,1992,61.71587925
Estonia,1993,59.80305413
Estonia,1994,59.46219409
Estonia,1995,58.06670931
Estonia,1996,57.8859254
Estonia,1997,57.89763716
Estonia,1998,57.69346384
Estonia,1999,56.89945246
Estonia,2000,58.28819319
Estonia,2001,58.08763522
Estonia,2002,57.4174159
Estonia,2003,58.58724241
Estonia,2004,58.9755934
Estonia,2005,59.76782072
Estonia,2006,61.37381226
Estonia,2007,60.83965294
Estonia,2008,61.96916373
Estonia,2009,62.06239367
Estonia,2010,62.64133101
Estonia,2011,63.59175815
Estonia,2012,63.57865689
Estonia,2013,63.94461355
Estonia,2014,63.3918814
Estonia,2015,65.28264661
Estonia,2016,65.98102139
Finland,1963,62.14046823
Finland,1964,61.88903567
Finland,1965,62.24556796
Finland,1966,61.53846154
Finland,1967,59.88372093
Finland,1968,59.67948718
Finland,1969,59.8334401
Finland,1970,62.17948718
Finland,1971,62.52390057
Finland,1972,62.98168035
Finland,1973,64.74278545
Finland,1974,66.33416459
Finland,1975,66.58385093
Finland,1976,66.25386997
Finland,1977,67.30650155
Finland,1978,67.11990111
Finland,1979,68.08379544
Finland,1980,69.39151813
Finland,1981,70.23227384
Finland,1982,71.55015198
Finland,1983,72.2323049
Finland,1984,72.32250301
Finland,1985,73.21321321
Finland,1986,72.82543491
Finland,1987,72.4055189
Finland,1988,72.41586538
Finland,1989,65.06596306
Finland,1990,64.75237092
Finland,1991,63.48873756
Finland,1992,62.14807091
Finland,1993,61.27858628
Finland,1994,60.46511628
Finland,1995,60.8673206
Finland,1996,61.09109624
Finland,1997,60.69958848
Finland,1998,61.07692308
Finland,1999,62.50639386
Finland,2000,63.3299285
Finland,2001,63.64099949
Finland,2002,64.00203666
Finland,2003,63.41463415
Finland,2004,63.336714
Finland,2005,64.17004049
Finland,2006,64.6138314
Finland,2007,65.12562814
Finland,2008,65.2173913
Finland,2009,64.694182
Finland,2010,63.73082632
Finland,2011,63.55555556
Finland,2012,63.77952756
Finland,2013,63.40029397
Finland,2014,63.38717572
Finland,2015,63.73411535
Finland,2016,63.14349984
France,1968,39.41913454
France,1969,39.69047102
France,1970,39.54124614
France,1971,39.41764549
France,1972,40.01818436
France,1973,40.57292327
France,1974,41.28434385
France,1975,42.05643599
France,1976,42.58115848
France,1977,43.4704852
France,1978,43.29112892
France,1979,44.19247882
France,1980,44.40090868
France,1981,44.63221406
France,1982,44.94097889
France,1983,44.88461965
France,1984,45.25052472
France,1985,45.33392276
France,1986,45.81231526
France,1987,45.76205461
France,1988,45.58803796
France,1989,45.8657732
France,1990,45.87635212
France,1991,46.01904766
France,1992,46.42081955
France,1993,46.89121289
France,1994,46.99060696
France,1995,47.25349389
France,1996,47.59214638
France,1997,47.21701597
France,1998,47.63105298
France,1999,47.90396499
France,2000,48.1667352
France,2001,48.25535608
France,2002,48.45080665
France,2003,50.16999776
France,2004,50.32735776
France,2005,50.4554284
France,2006,50.52829435
France,2007,50.89228145
France,2008,51.09590612
France,2009,51.44650842
France,2010,51.45932889
France,2011,51.32772093
France,2012,51.55087014
France,2013,51.73209079
France,2014,51.79865001
France,2015,51.71530778
France,2016,51.71959543
Germany,1895,36.2
Germany,1907,44.1
Germany,1925,45.7
Germany,1933,43.7
Germany,1939,46.1
Germany,1946,38
Germany,1950,39.3
Germany,1970,38.58340352
Germany,1971,38.77915988
Germany,1972,39.24614596
Germany,1973,39.79587847
Germany,1974,39.88425836
Germany,1975,39.85145642
Germany,1976,39.81106613
Germany,1977,39.78680164
Germany,1978,39.95124181
Germany,1979,40.24643762
Germany,1980,40.71104784
Germany,1981,41.1117717
Germany,1982,41.19319231
Germany,1983,41.07070633
Germany,1984,40.57492758
Germany,1985,41.10509368
Germany,1986,41.39024746
Germany,1987,41.5719027
Germany,1988,42.12615457
Germany,1989,42.52678847
Germany,1990,43.34071666
Germany,1991,47.68506632
Germany,1992,47.36648042
Germany,1993,47.22911264
Germany,1994,47.06543421
Germany,1995,47.10189653
Germany,1996,47.39287414
Germany,1997,47.78674561
Germany,1998,48.20123822
Germany,1999,49.01955244
Germany,2000,49.05022265
Germany,2001,49.33082157
Germany,2002,49.39229304
Germany,2003,49.48958188
Germany,2004,49.84553728
Germany,2005,51.09555944
Germany,2006,51.9866907
Germany,2007,52.41025641
Germany,2008,52.52791091
Germany,2009,52.93006196
Germany,2010,53.16092754
Germany,2011,54.00601043
Germany,2012,54.02269576
Germany,2013,54.58061602
Germany,2014,54.76210574
Germany,2015,54.70965901
Germany,2016,55.57996037
Greece,1983,33.6060546
Greece,1984,33.96508161
Greece,1985,34.71901142
Greece,1986,34.59516156
Greece,1987,34.50646063
Greece,1988,35.747829
Greece,1989,35.74070156
Greece,1990,35.43549395
Greece,1991,33.13183032
Greece,1992,34.23265831
Greece,1993,34.77166324
Greece,1994,34.98213109
Greece,1995,35.46619708
Greece,1996,36.55827014
Greece,1997,36.20131484
Greece,1998,38.85376184
Greece,1999,39.18043986
Greece,2000,40.29893138
Greece,2001,39.46017943
Greece,2002,40.10686109
Greece,2003,40.82317975
Greece,2004,42.01432262
Greece,2005,42.13693149
Greece,2006,42.43865626
Greece,2007,42.35097147
Greece,2008,42.42419034
Greece,2009,43.49779347
Greece,2010,44.08056044
Greece,2011,43.7760781
Greece,2012,43.98327186
Greece,2013,43.75184395
Greece,2014,44.1009445
Greece,2015,44.74111682
Greece,2016,45.01459667
Hungary,1992,51.0449693
Hungary,1993,48.5059989
Hungary,1994,46.25741077
Hungary,1995,43.80769974
Hungary,1996,43.3914119
Hungary,1997,42.79626523
Hungary,1998,44.03435181
Hungary,1999,45.14849861
Hungary,2000,45.5397896
Hungary,2001,45.38147639
Hungary,2002,45.77105795
Hungary,2003,46.90761049
Hungary,2004,47.00757409
Hungary,2005,47.80681161
Hungary,2006,48.20804052
Hungary,2007,47.78413279
Hungary,2008,47.55647578
Hungary,2009,47.73346631
Hungary,2010,48.82549127
Hungary,2011,49.09365325
Hungary,2012,50.24497393
Hungary,2013,50.50228295
Hungary,2014,52.10103303
Hungary,2015,53.19785648
Hungary,2016,54.0884403
Iceland,1991,72.89627403
Iceland,1992,74.24107495
Iceland,1993,74.48503433
Iceland,1994,74.92342948
Iceland,1995,76.06782478
Iceland,1996,74.97790146
Iceland,1997,74.12920287
Iceland,1998,75.69242874
Iceland,1999,76.89636668
Iceland,2000,77.40170164
Iceland,2001,77.31934613
Iceland,2002,76.74247093
Iceland,2003,78.34017374
Iceland,2004,76.29971727
Iceland,2005,77.75151722
Iceland,2006,78.50834151
Iceland,2007,78.62887491
Iceland,2008,77.73091287
Iceland,2009,77.05471
Iceland,2010,77.58511273
Iceland,2011,77.01008756
Iceland,2012,77.74924801
Iceland,2013,78.53913723
Iceland,2014,78.16731879
Iceland,2015,79.28249413
Iceland,2016,79.62306448
India,1983,31.58503359
India,1988,31.04652597
India,1994,35.99304588
India,2000,34.28508746
India,2005,37.35627495
India,2006,34.01231179
India,2008,31.0126339
India,2010,28.96642461
India,2012,27.22607492
Ireland,1961,30.86272641
Ireland,1966,30.59848925
Ireland,1971,29.70162749
Ireland,1975,30.01361399
Ireland,1977,29.36900555
Ireland,1979,30.52929135
Ireland,1981,29.72054068
Ireland,1983,32.92459736
Ireland,1984,32.30783111
Ireland,1985,35.43144473
Ireland,1986,33.71882621
Ireland,1987,36.92388728
Ireland,1988,36.32952265
Ireland,1989,36.33440514
Ireland,1990,37.667271
Ireland,1991,36.1381619
Ireland,1992,38.83625388
Ireland,1993,40.23492431
Ireland,1994,38.45679194
Ireland,1995,39.77091122
Ireland,1996,41.4533414
Ireland,1997,42.19973066
Ireland,1998,44.16215825
Ireland,1999,46.32680577
Ireland,2000,47.76139187
Ireland,2001,48.1780853
Ireland,2002,48.96165078
Ireland,2003,49.28651808
Ireland,2004,49.7753431
Ireland,2005,51.89469286
Ireland,2006,53.10328485
Ireland,2007,54.67683147
Ireland,2008,54.51772008
Ireland,2009,54.00922541
Ireland,2010,53.40560639
Ireland,2011,53.16448771
Ireland,2012,52.7932653
Ireland,2013,53.4001312
Ireland,2014,52.6172162
Ireland,2015,52.78455609
Ireland,2016,53.47383165
Israel,1985,42.45293224
Israel,1986,42.7675938
Israel,1987,44.03855269
Israel,1988,45.43964457
Israel,1989,47.11552141
Israel,1990,46.69115927
Israel,1991,47.22543929
Israel,1992,48.5921314
Israel,1993,49.50434417
Israel,1994,50.96636443
Israel,1995,51.86048954
Israel,1996,51.60753825
Israel,1997,51.68896507
Israel,1998,51.62166821
Israel,1999,52.82271114
Israel,2000,53.73529602
Israel,2001,54.13654722
Israel,2002,53.66530617
Israel,2003,54.63532784
Israel,2004,55.09645486
Israel,2005,55.65276607
Israel,2006,55.89045441
Israel,2007,56.38168527
Israel,2008,56.30354207
Israel,2009,57.37250134
Israel,2010,57.51576978
Israel,2011,57.14964301
Israel,2012,58.12592421
Israel,2013,58.22652024
Israel,2014,59.19130427
Israel,2015,59.11825099
Israel,2016,59.3776957
Italy,1970,24.68436845
Italy,1971,24.63095899
Italy,1972,23.82650944
Italy,1973,24.39713553
Italy,1974,24.79236961
Italy,1975,25.04614716
Italy,1976,25.57023774
Italy,1977,31.03294149
Italy,1978,30.94890511
Italy,1979,31.74943172
Italy,1980,32.34212007
Italy,1981,32.50977528
Italy,1982,34.06411859
Italy,1983,32.78145695
Italy,1984,33.33890025
Italy,1985,33.62201135
Italy,1986,34.4459936
Italy,1987,34.97192154
Italy,1988,35.10501844
Italy,1989,35.35296717
Italy,1990,35.77333174
Italy,1991,35.73949946
Italy,1992,36.05555556
Italy,1993,33.52378637
Italy,1994,33.31990979
Italy,1995,33.49220972
Italy,1996,33.85983806
Italy,1997,34.11619774
Italy,1998,34.77141272
Italy,1999,35.31364876
Italy,2000,35.78071681
Italy,2001,36.38202093
Italy,2002,36.78557428
Italy,2003,37.0995269
Italy,2004,38.53573393
Italy,2005,38.06661654
Italy,2006,38.19259316
Italy,2007,37.94219315
Italy,2008,38.66706903
Italy,2009,38.23067721
Italy,2010,38.16892544
Italy,2011,38.39876352
Italy,2012,39.71274532
Italy,2013,39.67798128
Italy,2014,40.11717193
Italy,2015,39.77360889
Italy,2016,40.44848106
Japan,1968,50.68319838
Japan,1969,50.0998004
Japan,1970,49.83986203
Japan,1971,48.78345499
Japan,1972,47.80828516
Japan,1973,48.26936661
Japan,1974,46.52082848
Japan,1975,45.75373993
Japan,1976,45.75460961
Japan,1977,46.60959676
Japan,1978,47.35785953
Japan,1979,47.59806082
Japan,1980,47.60452962
Japan,1981,47.6581049
Japan,1982,48.09046298
Japan,1983,48.99894626
Japan,1984,48.88611285
Japan,1985,48.65364851
Japan,1986,48.62944162
Japan,1987,48.64810735
Japan,1988,48.85375494
Japan,1989,49.47265625
Japan,1990,50.11587486
Japan,1991,50.67838716
Japan,1992,50.72902859
Japan,1993,50.32851511
Japan,1994,50.17700764
Japan,1995,49.98148834
Japan,1996,50.0368053
Japan,1997,50.38321168
Japan,1998,50.13589418
Japan,1999,49.59481361
Japan,2000,49.29249507
Japan,2001,49.19814683
Japan,2002,48.51766377
Japan,2003,48.27525208
Japan,2004,48.25519915
Japan,2005,48.36382829
Japan,2006,48.44545934
Japan,2007,48.48272233
Japan,2008,48.35318851
Japan,2009,48.47582341
Japan,2010,48.46786902
Japan,2011,48.27649432
Japan,2012,48.17975962
Japan,2013,48.88462879
Japan,2014,49.24149956
Japan,2015,49.5552067
Japan,2016,50.35770372
Korea,1980,42.76009163
Korea,1981,42.29819417
Korea,1982,43.41738803
Korea,1983,42.82242027
Korea,1984,40.66968456
Korea,1985,41.91625167
Korea,1986,43.09766614
Korea,1987,44.95694546
Korea,1988,45.01926971
Korea,1989,46.55800575
Korea,1990,46.98116749
Korea,1991,47.12629577
Korea,1992,47.11811214
Korea,1993,47.08224388
Korea,1994,47.82430694
Korea,1995,48.37763203
Korea,1996,48.86575776
Korea,1997,49.74393231
Korea,1998,47.05333626
Korea,1999,47.61775706
Korea,2000,48.76177413
Korea,2001,49.31274393
Korea,2002,49.81696909
Korea,2003,48.99945889
Korea,2004,49.93378029
Korea,2005,50.09526035
Korea,2006,50.24623116
Korea,2007,50.25140638
Korea,2008,50.02219482
Korea,2009,49.16089375
Korea,2010,49.45033751
Korea,2011,49.65604039
Korea,2012,49.91672077
Korea,2013,50.2161584
Korea,2014,51.33740076
Korea,2015,51.78700781
Korea,2016,52.09077847
Latvia,2000,49.41540199
Latvia,2001,50.06074545
Latvia,2002,50.54379047
Latvia,2003,50.80154853
Latvia,2004,51.32358281
Latvia,2005,50.68784726
Latvia,2006,52.22962887
Latvia,2007,53.11589904
Latvia,2008,55.00281665
Latvia,2009,54.53148233
Latvia,2010,53.91941301
Latvia,2011,53.06578046
Latvia,2012,54.33857123
Latvia,2013,54.03761108
Latvia,2014,53.43282214
Latvia,2015,54.11999431
Latvia,2016,54.55755548
Luxembourg,1983,33.00048756
Luxembourg,1984,33.11294657
Luxembourg,1985,34.98695215
Luxembourg,1986,34.7844143
Luxembourg,1987,35.65795425
Luxembourg,1988,34.34539398
Luxembourg,1989,34.56693227
Luxembourg,1990,33.6418429
Luxembourg,1991,35.86289596
Luxembourg,1992,39.06930049
Luxembourg,1993,37.56223112
Luxembourg,1994,38.36029097
Luxembourg,1995,35.86509887
Luxembourg,1996,37.02532388
Luxembourg,1997,38.14129678
Luxembourg,1998,38.50526496
Luxembourg,1999,40.71986954
Luxembourg,2000,41.3712623
Luxembourg,2001,42.38464778
Luxembourg,2002,43.51025779
Luxembourg,2003,43.65685745
Luxembourg,2004,45.409141
Luxembourg,2005,46.34950579
Luxembourg,2006,49.38914538
Luxembourg,2007,50.37228471
Luxembourg,2008,48.05690984
Luxembourg,2009,49.89327492
Luxembourg,2010,49.78095771
Luxembourg,2011,50.25087417
Luxembourg,2012,51.88795452
Luxembourg,2013,52.491152
Luxembourg,2014,53.44096776
Luxembourg,2015,54.5598842
Luxembourg,2016,51.3010742
Mexico,1991,33.95643095
Mexico,1992,34.80510475
Mexico,1993,35.75183148
Mexico,1994,36.30949161
Mexico,1995,37.63875533
Mexico,1996,37.63255543
Mexico,1997,39.56004545
Mexico,1998,39.34960773
Mexico,1999,38.39576765
Mexico,2000,38.86960055
Mexico,2001,38.02766731
Mexico,2002,38.63991711
Mexico,2003,38.12735541
Mexico,2004,40.41711318
Mexico,2005,40.90504297
Mexico,2006,42.1023548
Mexico,2007,42.44640644
Mexico,2008,42.28406649
Mexico,2009,42.77307898
Mexico,2010,42.52665027
Mexico,2011,42.85206057
Mexico,2012,43.85616526
Mexico,2013,43.88415613
Mexico,2014,43.05307682
Mexico,2015,43.35434162
Mexico,2016,43.40275406
Netherlands,1971,13.30016856
Netherlands,1972,14.09892848
Netherlands,1973,14.83241171
Netherlands,1974,15.53283523
Netherlands,1975,16.13028006
Netherlands,1976,16.69363282
Netherlands,1977,17.14082103
Netherlands,1978,17.6057639
Netherlands,1979,18.60845839
Netherlands,1980,19.90940505
Netherlands,1981,20.65198207
Netherlands,1982,21.68099165
Netherlands,1983,22.82430779
Netherlands,1984,23.2382379
Netherlands,1985,23.6536715
Netherlands,1986,24.0195508
Netherlands,1987,41.33452106
Netherlands,1988,42.62909911
Netherlands,1989,42.84374643
Netherlands,1990,44.49518151
Netherlands,1991,45.54146921
Netherlands,1992,45.83585762
Netherlands,1993,46.83963909
Netherlands,1994,47.54577948
Netherlands,1995,48.95417532
Netherlands,1996,49.41344325
Netherlands,1997,50.87553242
Netherlands,1998,51.5830721
Netherlands,1999,52.66438143
Netherlands,2000,53.72118211
Netherlands,2001,53.84024578
Netherlands,2002,54.97406164
Netherlands,2003,54.54407525
Netherlands,2004,55.07246377
Netherlands,2005,55.77587502
Netherlands,2006,56.28832062
Netherlands,2007,57.5554563
Netherlands,2008,58.41349711
Netherlands,2009,58.87891717
Netherlands,2010,58.92595844
Netherlands,2011,58.94261579
Netherlands,2012,59.49484578
Netherlands,2013,59.39657372
Netherlands,2014,58.59572457
Netherlands,2015,58.79907799
Netherlands,2016,58.67597212
New Zealand,1986,54.63219367
New Zealand,1987,54.83010887
New Zealand,1988,54.16666593
New Zealand,1989,52.9854114
New Zealand,1990,53.96293847
New Zealand,1991,54.31028073
New Zealand,1992,54.02574836
New Zealand,1993,53.91973515
New Zealand,1994,55.05323087
New Zealand,1995,55.8329842
New Zealand,1996,57.17530557
New Zealand,1997,57.07985569
New Zealand,1998,56.97791502
New Zealand,1999,57.27599608
New Zealand,2000,57.39738695
New Zealand,2001,58.24513253
New Zealand,2002,58.98307387
New Zealand,2003,59.2938676
New Zealand,2004,59.78334521
New Zealand,2005,60.7813444
New Zealand,2006,61.29013043
New Zealand,2007,61.74895637
New Zealand,2008,62.06514792
New Zealand,2009,62.12243571
New Zealand,2010,61.98097531
New Zealand,2011,62.48306219
New Zealand,2012,62.59246807
New Zealand,2013,62.90787956
New Zealand,2014,63.7103825
New Zealand,2015,63.69095422
New Zealand,2016,64.52339713
Norway,1972,44.79242535
Norway,1973,44.92017417
Norway,1974,44.44444444
Norway,1975,46.44616467
Norway,1976,49.92987377
Norway,1977,50.90529248
Norway,1978,52.42047026
Norway,1979,53.6351166
Norway,1980,55.37709497
Norway,1981,56.68745669
Norway,1982,56.11073599
Norway,1983,58.33905285
Norway,1984,58.541526
Norway,1985,60
Norway,1986,63.10483871
Norway,1987,64.30953969
Norway,1988,63.7434555
Norway,1989,62.41042345
Norway,1990,62.37816764
Norway,1991,62.33009709
Norway,1992,62.23369916
Norway,1993,62.25080386
Norway,1994,62.69230769
Norway,1995,64.03846154
Norway,1996,65.72890026
Norway,1997,67.19846841
Norway,1998,68.15003179
Norway,1999,68.48101266
Norway,2000,68.8720857
Norway,2001,69.17765223
Norway,2002,69.68184654
Norway,2003,68.99752475
Norway,2004,68.8383528
Norway,2005,68.65578846
Norway,2006,68.33818549
Norway,2007,69.45520723
Norway,2008,70.71420303
Norway,2009,69.79012205
Norway,2010,68.72333258
Norway,2011,68.70127716
Norway,2012,68.55633611
Norway,2013,68.41031035
Norway,2014,68.2591863
Norway,2015,68.29217139
Norway,2016,67.72418073
OECD countries,1960,40.4474344
OECD countries,1961,40.89510379
OECD countries,1962,32.61644527
OECD countries,1963,32.22708899
OECD countries,1964,32.4036155
OECD countries,1965,32.6761948
OECD countries,1966,33.95261489
OECD countries,1967,34.88326489
OECD countries,1968,46.14522728
OECD countries,1969,46.66754614
OECD countries,1970,45.06376126
OECD countries,1971,44.24466996
OECD countries,1972,43.72134668
OECD countries,1973,44.61723712
OECD countries,1974,44.99245672
OECD countries,1975,45.2530993
OECD countries,1976,45.95767481
OECD countries,1977,47.29888135
OECD countries,1978,48.08492623
OECD countries,1979,48.89651762
OECD countries,1980,49.14165179
OECD countries,1981,49.45952738
OECD countries,1982,50.08636521
OECD countries,1983,50.14466751
OECD countries,1984,50.25236335
OECD countries,1985,50.79658806
OECD countries,1986,51.50880434
OECD countries,1987,52.46630876
OECD countries,1988,52.04202101
OECD countries,1989,52.98840956
OECD countries,1990,53.34077828
OECD countries,1991,51.6880738
OECD countries,1992,52.47503712
OECD countries,1993,51.38533029
OECD countries,1994,52.04927284
OECD countries,1995,51.44767389
OECD countries,1996,51.47726717
OECD countries,1997,51.84488623
OECD countries,1998,51.93993901
OECD countries,1999,51.25633793
OECD countries,2000,51.06899078
OECD countries,2001,51.07285935
OECD countries,2002,49.80471216
OECD countries,2003,49.83567863
OECD countries,2004,50.04404461
OECD countries,2005,50.30854308
OECD countries,2006,50.65103078
OECD countries,2007,50.7855513
OECD countries,2008,51.03555764
OECD countries,2009,51.16481289
OECD countries,2010,51.151939
OECD countries,2011,51.20214176
OECD countries,2012,51.38032129
OECD countries,2013,51.49411803
OECD countries,2014,51.47743381
OECD countries,2015,51.55227195
OECD countries,2016,51.87578365
Poland,1992,54.00848142
Poland,1993,53.37273351
Poland,1994,52.94117647
Poland,1995,51.50685381
Poland,1996,50.99024017
Poland,1997,50.31414043
Poland,1998,49.7420618
Poland,1999,49.58211979
Poland,2000,49.72527473
Poland,2001,49.54156858
Poland,2002,48.62040545
Poland,2003,47.97284789
Poland,2004,47.75280209
Poland,2005,47.6828642
Poland,2006,46.59844897
Poland,2007,46.2635136
Poland,2008,46.60992306
Poland,2009,47.2712443
Poland,2010,47.58778863
Poland,2011,47.75241961
Poland,2012,48.14276885
Poland,2013,48.15902012
Poland,2014,48.49748974
Poland,2015,48.42893404
Poland,2016,48.33131298
Portugal,1974,42.655534
