Entity,Year,Number of published titles (Simons (2001))
Published English titles,1785,4421
Published English titles,1786,4561
Published English titles,1787,4781
Published English titles,1788,5200
Published English titles,1789,5018
Published English titles,1790,5375.5
Published English titles,1791,5733
Published English titles,1792,6788
Published English titles,1793,6845
Published English titles,1794,7122
Published English titles,1795,7409
Published English titles,1796,7696
Published English titles,1797,7006
Published English titles,1798,7842
Published English titles,1799,7211
Published German titles,1501,347
Published German titles,1502,292
Published German titles,1503,302
Published German titles,1504,257
Published German titles,1505,286
Published German titles,1506,315
Published German titles,1507,371
Published German titles,1508,396
Published German titles,1509,435
Published German titles,1510,384.5
Published German titles,1511,334
Published German titles,1512,471
Published German titles,1513,441
Published German titles,1514,484
Published German titles,1515,495.5
Published German titles,1516,507
Published German titles,1517,438
Published German titles,1518,642
Published German titles,1519,799
Published German titles,1520,969.5
Published German titles,1521,1140
Published German titles,1522,1200
Published German titles,1523,1455
Published German titles,1524,1458
Published German titles,1525,1219.5
Published German titles,1526,981
Published German titles,1527,739
Published German titles,1528,796
Published German titles,1529,877
Published German titles,1530,824
Published German titles,1531,771
Published German titles,1532,704
Published German titles,1533,638
Published German titles,1534,637
Published German titles,1535,684
Published German titles,1536,731
Published German titles,1537,720
Published German titles,1538,724
Published German titles,1539,765
Published German titles,1540,746
Published German titles,1541,727
Published German titles,1542,815
Published German titles,1543,802
Published German titles,1544,790
Published German titles,1545,990.5
Published German titles,1546,1191
Published German titles,1547,573
Published German titles,1548,739
Published German titles,1549,752
Published German titles,1550,836
Published German titles,1551,920
Published German titles,1552,790
Published German titles,1553,836
Published German titles,1554,827
Published German titles,1555,894.5
Published German titles,1556,962
Published German titles,1557,977
Published German titles,1558,1056
Published German titles,1559,1030
Published German titles,1560,1060.5
Published German titles,1561,1091
Published German titles,1562,1165
Published German titles,1563,1184
Published German titles,1564,1119
Published German titles,1565,1119
Published German titles,1566,1119
Published German titles,1567,997
Published German titles,1568,1063
Published German titles,1569,931
Published German titles,1570,1010.5
Published German titles,1571,1090
Published German titles,1572,1043
Published German titles,1573,939
Published German titles,1574,960
Published German titles,1575,940.5
Published German titles,1576,921
Published German titles,1577,984
Published German titles,1578,1023
Published German titles,1579,1059
Published German titles,1580,1348
Published German titles,1581,1266.5
Published German titles,1582,1185
Published German titles,1583,1282
Published German titles,1584,1337
Published German titles,1585,1317
Published German titles,1586,1375.5
Published German titles,1587,1434
Published German titles,1588,1543
Published German titles,1589,1605
Published German titles,1590,1597
Published German titles,1591,1589
Published German titles,1592,1800
Published German titles,1593,2008
Published German titles,1594,1871
Published German titles,1595,1965
Published German titles,1596,2059
Published German titles,1597,1837
Published German titles,1598,1819
Published German titles,1599,1827
Published German titles,1600,2034.5
Published German titles,1601,2242
Published German titles,1602,2276
Published German titles,1603,2159
Published German titles,1604,2128
Published German titles,1605,2170
Published German titles,1606,2212
Published German titles,1607,2140
Published German titles,1608,2434
Published German titles,1609,2450
Published German titles,1610,2481.5
Published German titles,1611,2513
Published German titles,1612,2668
Published German titles,1613,2495
Published German titles,1614,2690
Published German titles,1615,2616
Published German titles,1616,2542
Published German titles,1617,2757
Published German titles,1618,2867
Published German titles,1619,3042
Published German titles,1620,2971.5
Published German titles,1621,2901
Published German titles,1622,2444
Published German titles,1623,2261
Published German titles,1624,2302
Published German titles,1625,2130.5
Published German titles,1626,1959
Published German titles,1627,1763
Published German titles,1628,1909
Published German titles,1629,2188
Published German titles,1630,2392
Published German titles,1631,2596
Published German titles,1632,1973
Published German titles,1633,1676
Published German titles,1634,1572
Published German titles,1635,1565
Published German titles,1636,1558
Published German titles,1637,1577
Published German titles,1638,1529
Published German titles,1639,1348
Published German titles,1640,1405
Published German titles,1641,1462
Published German titles,1642,1481
Published German titles,1643,1683
Published German titles,1644,1742
Published German titles,1645,1791
Published German titles,1646,1840
Published German titles,1647,1968
Published German titles,1648,2154
Published German titles,1649,2103
Published German titles,1650,2150.5
Published German titles,1651,2198
Published German titles,1652,2322
Published German titles,1653,2563
Published German titles,1654,2578
Published German titles,1655,2568.5
Published German titles,1656,2559
Published German titles,1657,2698
Published German titles,1658,2942
Published German titles,1659,2963
Published German titles,1660,2996.5
Published German titles,1661,3030
Published German titles,1662,2777
Published German titles,1663,3285
Published German titles,1664,3429
Published German titles,1665,3385.5
Published German titles,1666,3342
Published German titles,1667,3136
Published German titles,1668,3225
Published German titles,1669,3312
Published German titles,1670,3248
Published German titles,1671,3184
Published German titles,1672,3510
Published German titles,1673,3345
Published German titles,1674,3349
Published German titles,1675,3355
Published German titles,1676,3361
Published German titles,1677,3376
Published German titles,1678,3417
Published German titles,1679,3325
Published German titles,1680,3261
Published German titles,1681,3197
Published German titles,1682,3075
Published German titles,1683,3243
Published German titles,1684,3360
Published German titles,1685,3210
Published German titles,1686,3060
Published German titles,1687,2865
Published German titles,1688,3137
Published German titles,1689,3158
Published German titles,1690,3099.5
Published German titles,1691,3041
Published German titles,1692,3115
Published German titles,1693,3285
Published German titles,1694,3071
Published German titles,1695,3005
Published German titles,1696,2939
Published German titles,1697,3370
Published German titles,1698,3425
Published German titles,1699,3587
Published Latin titles,1470,0
Published Latin titles,1471,0
Published Latin titles,1472,0
Published Latin titles,1473,0
Published Latin titles,1474,0
Published Latin titles,1475,0
Published Latin titles,1476,0
Published Latin titles,1477,3
Published Latin titles,1478,1
Published Latin titles,1479,3
Published Latin titles,1480,7
Published Latin titles,1481,7
Published Latin titles,1482,2
Published Latin titles,1483,13
Published Latin titles,1484,3
Published Latin titles,1485,3
Published Latin titles,1486,3
Published Latin titles,1487,2
Published Latin titles,1488,4
Published Latin titles,1489,5
Published Latin titles,1490,0
Published Latin titles,1491,0
Published Latin titles,1492,5
Published Latin titles,1493,4
Published Latin titles,1494,14
Published Latin titles,1495,14
Published Latin titles,1496,10
Published Latin titles,1497,13
Published Latin titles,1498,17
Published Latin titles,1499,16
Published Latin titles,1500,16
Published Latin titles,1501,8
Published Latin titles,1502,19
Published Latin titles,1503,14
Published Latin titles,1504,13
Published Latin titles,1505,22
Published Latin titles,1506,17
Published Latin titles,1507,9
Published Latin titles,1508,32
Published Latin titles,1509,23
Published Latin titles,1510,33
Published Latin titles,1511,19
Published Latin titles,1512,23
Published Latin titles,1513,17
Published Latin titles,1514,22
Published Latin titles,1515,31
Published Latin titles,1516,30
Published Latin titles,1517,31
Published Latin titles,1518,33
Published Latin titles,1519,29
Published Latin titles,1520,40
Published Latin titles,1521,45
Published Latin titles,1522,28
Published Latin titles,1523,38
Published Latin titles,1524,26
Published Latin titles,1525,40
Published Latin titles,1526,28
Published Latin titles,1527,47
Published Latin titles,1528,26
Published Latin titles,1529,29
Published Latin titles,1530,36
Published Latin titles,1531,31
Published Latin titles,1532,21
Published Latin titles,1533,32
Published Latin titles,1534,17
Published Latin titles,1535,17
Published Latin titles,1536,7
Published Latin titles,1537,11
Published Latin titles,1538,24
Published Latin titles,1539,10
Published Latin titles,1540,12
Published Latin titles,1541,9
Published Latin titles,1542,8
Published Latin titles,1543,11
Published Latin titles,1544,11
Published Latin titles,1545,11
Published Latin titles,1546,16
Published Latin titles,1547,6
Published Latin titles,1548,10
Published Latin titles,1549,7
Published Latin titles,1550,2
Published Latin titles,1551,10
Published Latin titles,1552,6
Published Latin titles,1553,17
Published Latin titles,1554,21
Published Latin titles,1555,24
Published Latin titles,1556,15
Published Latin titles,1557,12
Published Latin titles,1558,7
Published Latin titles,1559,2
Published Latin titles,1560,11
Published Latin titles,1561,6
Published Latin titles,1562,8
Published Latin titles,1563,8
Published Latin titles,1564,4
Published Latin titles,1565,8
Published Latin titles,1566,6
Published Latin titles,1567,7
Published Latin titles,1568,11
Published Latin titles,1569,11
Published Latin titles,1570,15
Published Latin titles,1571,21
Published Latin titles,1572,19
Published Latin titles,1573,36
Published Latin titles,1574,32
Published Latin titles,1575,23
Published Latin titles,1576,24
Published Latin titles,1577,29
Published Latin titles,1578,20
Published Latin titles,1579,27
Published Latin titles,1580,45
Published Latin titles,1581,34
Published Latin titles,1582,27
Published Latin titles,1583,34
Published Latin titles,1584,39
Published Latin titles,1585,70
Published Latin titles,1586,26
Published Latin titles,1587,30
Published Latin titles,1588,18
Published Latin titles,1589,40
Published Latin titles,1590,65
Published Latin titles,1591,26
Published Latin titles,1592,51
Published Latin titles,1593,26
Published Latin titles,1594,30
Published Latin titles,1595,26
Published Latin titles,1596,26
Published Latin titles,1597,36
Published Latin titles,1598,25
Published Latin titles,1599,27
Published Latin titles,1600,72
Published Latin titles,1601,19
Published Latin titles,1602,31
Published Latin titles,1603,42
Published Latin titles,1604,46
Published Latin titles,1605,46
Published Latin titles,1606,34
Published Latin titles,1607,73
Published Latin titles,1608,34
Published Latin titles,1609,37
Published Latin titles,1610,29
Published Latin titles,1611,39
Published Latin titles,1612,52
Published Latin titles,1613,44
Published Latin titles,1614,51
Published Latin titles,1615,43
Published Latin titles,1616,41
Published Latin titles,1617,41
Published Latin titles,1618,37
Published Latin titles,1619,56
Published Latin titles,1620,55
Published Latin titles,1621,42
Published Latin titles,1622,33
Published Latin titles,1623,46
Published Latin titles,1624,32
Published Latin titles,1625,47
Published Latin titles,1626,48
Published Latin titles,1627,45
Published Latin titles,1628,46
Published Latin titles,1629,45
Published Latin titles,1630,54
Published Latin titles,1631,72
Published Latin titles,1632,44
Published Latin titles,1633,94
Published Latin titles,1634,53
Published Latin titles,1635,85
Published Latin titles,1636,51
Published Latin titles,1637,69
Published Latin titles,1638,51
Published Latin titles,1639,68
Published Latin titles,1640,69
Published Latin titles,1641,56
Published Latin titles,1642,22
Published Latin titles,1643,42
Published Latin titles,1644,30
Published Latin titles,1645,24
Published Latin titles,1646,35
Published Latin titles,1647,52
Published Latin titles,1648,60
Published Latin titles,1649,55
Published Latin titles,1650,91
Published Latin titles,1651,79
Published Latin titles,1652,73
Published Latin titles,1653,77
Published Latin titles,1654,67
Published Latin titles,1655,78
Published Latin titles,1656,58
Published Latin titles,1657,85
Published Latin titles,1658,88
Published Latin titles,1659,66
Published Latin titles,1660,145
Published Latin titles,1661,83
Published Latin titles,1662,74
Published Latin titles,1663,63
Published Latin titles,1664,79
Published Latin titles,1665,54
Published Latin titles,1666,39
Published Latin titles,1667,57
Published Latin titles,1668,76
Published Latin titles,1669,67
Published Latin titles,1670,84
Published Latin titles,1671,52
Published Latin titles,1672,88
Published Latin titles,1673,75
Published Latin titles,1674,73
Published Latin titles,1675,73
Published Latin titles,1676,78
Published Latin titles,1677,70
Published Latin titles,1678,73
Published Latin titles,1679,70
Published Latin titles,1680,99
Published Latin titles,1681,61
Published Latin titles,1682,68
Published Latin titles,1683,62
Published Latin titles,1684,111
Published Latin titles,1685,115
Published Latin titles,1686,82
Published Latin titles,1687,73
Published Latin titles,1688,81
Published Latin titles,1689,74
Published Latin titles,1690,101
Published Latin titles,1691,53
Published Latin titles,1692,53
Published Latin titles,1693,54
Published Latin titles,1694,65
Published Latin titles,1695,95
Published Latin titles,1696,74
Published Latin titles,1697,86
Published Latin titles,1698,56
Published Latin titles,1699,73
Published Latin titles,1700,111
Published Latin titles,1701,88
Published Latin titles,1702,81
Published Latin titles,1703,79
Published Latin titles,1704,73
Published Latin titles,1705,95
Published Latin titles,1706,62
Published Latin titles,1707,78
Published Latin titles,1708,76
Published Latin titles,1709,78
Published Latin titles,1710,98
Published Latin titles,1711,78
Published Latin titles,1712,110
Published Latin titles,1713,99
Published Latin titles,1714,81
Published Latin titles,1715,77
Published Latin titles,1716,62
Published Latin titles,1717,69
Published Latin titles,1718,65
Published Latin titles,1719,74
Published Latin titles,1720,94
Published Latin titles,1721,57
Published Latin titles,1722,79
Published Latin titles,1723,68
Published Latin titles,1724,65
Published Latin titles,1725,70
Published Latin titles,1726,85
Published Latin titles,1727,79
Published Latin titles,1728,69
Published Latin titles,1729,75
Published Latin titles,1730,66
Published Latin titles,1731,63
Published Latin titles,1732,60
Published Latin titles,1733,69
Published Latin titles,1734,53
Published Latin titles,1735,51
Published Latin titles,1736,49
Published Latin titles,1737,44
Published Latin titles,1738,61
Published Latin titles,1739,61
Published Latin titles,1740,68
Published Latin titles,1741,67
Published Latin titles,1742,73
Published Latin titles,1743,74
Published Latin titles,1744,60
Published Latin titles,1745,56
Published Latin titles,1746,67
Published Latin titles,1747,43
Published Latin titles,1748,81
Published Latin titles,1749,79
Published Latin titles,1750,96
Published Latin titles,1751,86
Published Latin titles,1752,65
Published Latin titles,1753,71
Published Latin titles,1754,59
Published Latin titles,1755,79
Published Latin titles,1756,50
Published Latin titles,1757,50
Published Latin titles,1758,68
Published Latin titles,1759,62
Published Latin titles,1760,76
Published Latin titles,1761,68
Published Latin titles,1762,74
Published Latin titles,1763,69
Published Latin titles,1764,63
Published Latin titles,1765,70
Published Latin titles,1766,66
Published Latin titles,1767,72
Published Latin titles,1768,80
Published Latin titles,1769,81
Published Latin titles,1770,100
Published Latin titles,1771,91
Published Latin titles,1772,85
Published Latin titles,1773,78
Published Latin titles,1774,78
Published Latin titles,1775,84
Published Latin titles,1776,88
Published Latin titles,1777,82
Published Latin titles,1778,108
Published Latin titles,1779,68
Published Latin titles,1780,99
Published Latin titles,1781,69
Published Latin titles,1782,71
Published Latin titles,1783,85
Published Latin titles,1784,82
Published Latin titles,1785,94
Published Latin titles,1786,77
Published Latin titles,1787,107
Published Latin titles,1788,94
Published Latin titles,1789,79
Published Latin titles,1790,110
Published Latin titles,1791,95
Published Latin titles,1792,96
Published Latin titles,1793,106
Published Latin titles,1794,91
Published Latin titles,1795,106
Published Latin titles,1796,82
Published Latin titles,1797,106
Published Latin titles,1798,96
Published Latin titles,1799,101
