Entity,Year,Share of Revenue from Income tax (Flora (1983) and ICTD (2016))
France,1950,17.9
France,1951,15.9
France,1952,16.5
France,1953,19.799999
France,1954,19.200001
France,1955,18.299999
France,1956,19.200001
France,1957,19.799999
France,1958,21.700001
France,1959,21
France,1960,19.1
France,1961,18.4
France,1962,18.5
France,1963,19.1
France,1965,20.9
France,1966,20.6
France,1967,20.5
France,1968,17.4
France,1969,17.4
France,1970,16.799999
France,1971,16.799999
France,1972,18
France,1973,16.700001
France,1974,19.299999
France,1975,18.200001
France,1980,22.940001
France,1981,23.120001
France,1982,23.040001
France,1983,22.799999
France,1984,22.66
France,1985,21.719999
France,1986,22.530001
France,1987,22.76
France,1988,22.24
France,1989,22.5
France,1990,22.559999
France,1991,23.4
France,1992,22.24
France,1993,22.889999
France,1994,22.639999
France,1995,21.950001
France,1996,22.469999
France,1997,24.08
France,1998,28.98
France,1999,30.23
France,2000,31.290001
France,2001,31.6
France,2002,30.01
France,2003,29.530001
France,2004,29.549999
France,2005,29.719999
France,2006,30.49
France,2007,29.809999
France,2008,29.889999
France,2009,25.67
France,2010,27.17
France,2011,28.190001
France,2012,29.379999
France,2013,30.059999
Germany,1881,14.3
Germany,1891,12
Germany,1901,21.200001
Germany,1902,26.9
Germany,1903,22
Germany,1905,21.6
Germany,1907,22.6
Germany,1908,24.200001
Germany,1913,25
Germany,1925,34.700001
Germany,1928,23.299999
Germany,1930,24.200001
Germany,1933,17.700001
Germany,1936,23.6
Germany,1937,24.299999
Germany,1949,28.200001
Germany,1950,22.1
Germany,1951,28
Germany,1952,30.799999
Germany,1953,31.6
Germany,1954,30.799999
Germany,1955,29
Germany,1956,29.799999
Germany,1957,27.799999
Germany,1958,26.799999
Germany,1959,27.9
Germany,1960,28.799999
Germany,1961,30.9
Germany,1962,32.299999
Germany,1963,33.299999
Germany,1964,33.700001
Germany,1965,32.799999
Germany,1966,34
Germany,1967,33.900002
Germany,1968,34.200001
Germany,1969,33
Germany,1970,36.400002
Germany,1971,40
Germany,1972,39
Germany,1973,42.299999
Germany,1974,44.400002
Germany,1975,44
Germany,1991,38.73
Germany,1992,38.73
Germany,1993,36.810001
Germany,1994,35.27
Germany,1995,35.240002
Germany,1996,32.759998
Germany,1997,32.419998
Germany,1998,33.830002
Germany,1999,33.93
Germany,2000,34.73
Germany,2001,33.740002
Germany,2002,32.639999
Germany,2003,32.060001
Germany,2004,32.16
Germany,2005,32.619999
Germany,2006,35.189999
Germany,2007,36.02
Germany,2008,36.470001
Germany,2009,34.240002
Germany,2010,34.07
Germany,2011,35.130001
Germany,2012,36.57
Germany,2013,37.310001
Ireland,1922,17.200001
Ireland,1923,18.200001
Ireland,1924,20.700001
Ireland,1925,21.1
Ireland,1926,19.200001
Ireland,1927,17.1
Ireland,1928,16.700001
Ireland,1929,15.4
Ireland,1930,15.8
Ireland,1931,17.700001
Ireland,1932,19.4
Ireland,1933,19
Ireland,1934,17.6
Ireland,1935,18.1
Ireland,1936,17.6
Ireland,1938,17.9
Ireland,1950,23
Ireland,1952,26
Ireland,1953,22.799999
Ireland,1954,22.4
Ireland,1955,22.9
Ireland,1956,22.5
Ireland,1958,21.299999
Ireland,1959,20.799999
Ireland,1960,21.700001
Ireland,1961,23.700001
Ireland,1962,23.4
Ireland,1963,25.5
Ireland,1964,26.9
Ireland,1965,26.200001
Ireland,1966,27.5
Ireland,1967,26.700001
Ireland,1971,29.6
Ireland,1972,29.6
Ireland,1973,32.599998
Ireland,1974,31.6
Ireland,1975,32.900002
Ireland,1995,37.25
Ireland,1996,38.330002
Ireland,1997,39.110001
Ireland,1998,39.619999
Ireland,1999,40.959999
Ireland,2000,41.849998
Ireland,2001,41.349998
Ireland,2002,38.470001
Ireland,2003,38.130001
Ireland,2004,38.779999
Ireland,2005,38.32
Ireland,2006,38.82
Ireland,2007,38.84
Ireland,2008,37.060001
Ireland,2009,36.869999
Ireland,2010,36.310001
Ireland,2011,36.93
Ireland,2012,37.810001
Ireland,2013,38.470001
Italy,1871,0.89999998
Italy,1875,1.1
Italy,1880,10.4
Italy,1885,10.8
Italy,1891,11
Italy,1895,12.5
Italy,1900,11.9
Italy,1905,12.1
Italy,1911,9.6000004
Italy,1912,9.8000002
Italy,1921,29.299999
Italy,1926,28.1
Italy,1931,21.299999
Italy,1936,21.4
Italy,1938,21.4
Italy,1939,21.4
Italy,1951,18.1
Italy,1952,14.6
Italy,1953,15.1
Italy,1954,15.9
Italy,1955,15.7
Italy,1956,16.200001
Italy,1957,16.1
Italy,1958,16.6
Italy,1959,16
Italy,1960,16.4
Italy,1961,16.1
Italy,1962,16.1
Italy,1963,16.700001
Italy,1964,18.1
Italy,1965,19
Italy,1966,18.6
Italy,1967,18.200001
Italy,1968,18
Italy,1969,18.9
Italy,1970,17.9
Italy,1971,18.9
Italy,1972,20.700001
Italy,1973,21.1
Italy,1974,26.799999
Italy,1975,32.799999
Italy,1980,40.709999
Italy,1981,46.009998
Italy,1982,46
Italy,1983,46.57
Italy,1984,47.43
Italy,1985,46.939999
Italy,1986,51.150002
Italy,1987,49.650002
Italy,1988,47.299999
Italy,1989,48.310001
Italy,1990,47.369999
Italy,1991,45.970001
Italy,1992,47.029999
Italy,1993,46.630001
Italy,1994,43.330002
Italy,1995,42.009998
Italy,1996,44.59
Italy,1997,45.130001
Italy,1998,39.02
Italy,1999,40.990002
Italy,2000,41.330002
Italy,2001,42.139999
Italy,2002,40.27
Italy,2003,38.740002
Italy,2004,39.380001
Italy,2005,39.950001
Italy,2006,41.669998
Italy,2007,42.91
Italy,2008,44.299999
Italy,2009,41.880001
Italy,2010,41.889999
Italy,2011,40.82
Italy,2012,40.75
Italy,2013,40.959999
Netherlands,1893,3.9000001
Netherlands,1897,9.8999996
Netherlands,1902,19.799999
Netherlands,1907,22.4
Netherlands,1912,25.200001
Netherlands,1917,53.799999
Netherlands,1922,46.700001
Netherlands,1927,38.099998
Netherlands,1930,40.200001
Netherlands,1935,18.799999
Netherlands,1940,32.400002
Netherlands,1950,38.599998
Netherlands,1951,37
Netherlands,1952,35.5
Netherlands,1953,34.099998
Netherlands,1954,33
Netherlands,1955,35.799999
Netherlands,1956,35.599998
Netherlands,1957,37.299999
Netherlands,1958,41.099998
Netherlands,1959,40.200001
Netherlands,1960,40.299999
Netherlands,1961,41
Netherlands,1962,42.099998
Netherlands,1963,42.400002
Netherlands,1964,44
Netherlands,1965,41.799999
Netherlands,1966,43.700001
Netherlands,1967,44.299999
Netherlands,1968,41.099998
Netherlands,1969,42.900002
Netherlands,1970,42.299999
Netherlands,1971,43.900002
Netherlands,1972,45
Netherlands,1973,45.5
Netherlands,1974,47.299999
Netherlands,1975,46.299999
Netherlands,1980,40.389999
Netherlands,1981,38.110001
Netherlands,1982,37.209999
Netherlands,1983,35.34
Netherlands,1984,32.880001
Netherlands,1985,32.049999
Netherlands,1986,34.939999
Netherlands,1987,36.990002
Netherlands,1988,38.57
Netherlands,1989,38.419998
Netherlands,1990,41.209999
Netherlands,1991,42.5
Netherlands,1992,41.150002
Netherlands,1993,41.25
Netherlands,1994,37.220001
Netherlands,1995,35.889999
Netherlands,1996,34.68
Netherlands,1997,35.299999
Netherlands,1998,32.619999
Netherlands,1999,32.439999
Netherlands,2000,31.889999
Netherlands,2001,31.82
Netherlands,2002,32.630001
Netherlands,2003,30.440001
Netherlands,2004,29.620001
Netherlands,2005,33.790001
Netherlands,2006,32.84
Netherlands,2007,33.880001
Netherlands,2008,32.790001
Netherlands,2009,33.299999
Netherlands,2010,33.560001
Netherlands,2011,33.349998
Netherlands,2012,32.18
Norway,1875,30.5
Norway,1880,34.200001
Norway,1885,34.900002
Norway,1890,32.200001
Norway,1895,36
Norway,1900,38.599998
Norway,1905,43.299999
Norway,1910,41.400002
Norway,1915,50.700001
Norway,1920,74.900002
Norway,1925,63.900002
Norway,1930,56.799999
Norway,1935,48.799999
Norway,1940,48.599998
Norway,1945,48.799999
Norway,1950,54.900002
Norway,1951,49.799999
Norway,1952,53.200001
Norway,1953,51.700001
Norway,1954,49.799999
Norway,1955,50.900002
Norway,1956,38.700001
Norway,1957,52.400002
Norway,1958,51.5
Norway,1959,47.599998
Norway,1961,48.299999
Norway,1962,48.900002
Norway,1963,48.299999
Norway,1964,48.599998
Norway,1965,48.200001
Norway,1966,47.900002
Norway,1967,49.299999
Norway,1968,50.099998
Norway,1969,48.900002
Norway,1970,40.599998
Norway,1971,40.599998
Norway,1973,43.599998
Norway,1974,46.299999
Norway,1975,45.099998
Norway,1980,35.25
Norway,1981,36.759998
Norway,1982,35.32
Norway,1983,30.799999
Norway,1984,32.389999
Norway,1985,30.940001
Norway,1986,25.9
Norway,1987,21.059999
Norway,1988,20.629999
Norway,1989,19.549999
Norway,1990,21.66
Norway,1991,23.370001
Norway,1992,19.6
Norway,1993,20.139999
Norway,1994,21.129999
Norway,1995,23.24
Norway,1996,25.610001
Norway,1997,25.84
Norway,1998,26.34
Norway,1999,27.799999
Norway,2000,33.66
Norway,2001,33.540001
Norway,2002,36.23
Norway,2003,34.939999
Norway,2004,38.029999
Norway,2005,39.849998
Norway,2006,39.220001
Norway,2007,37.32
Norway,2008,38.830002
Norway,2009,36
Norway,2010,38.540001
Norway,2011,40.060001
Norway,2012,39.09
Sweden,1910,6
Sweden,1913,8.3999996
Sweden,1918,24.299999
Sweden,1923,17.299999
Sweden,1928,17
Sweden,1933,14.5
Sweden,1938,22.299999
Sweden,1943,17.6
Sweden,1949,63.200001
Sweden,1950,64.599998
Sweden,1951,68.199997
Sweden,1952,67
Sweden,1953,69.699997
Sweden,1954,68.699997
Sweden,1955,67.400002
Sweden,1956,67.800003
Sweden,1957,68.699997
Sweden,1958,66.099998
Sweden,1959,63.799999
Sweden,1960,62.900002
Sweden,1961,62.099998
Sweden,1962,60.700001
Sweden,1963,59.200001
Sweden,1964,60.599998
Sweden,1965,59.400002
Sweden,1966,60.200001
Sweden,1967,60.799999
Sweden,1968,61.5
Sweden,1969,63.5
Sweden,1970,61.200001
Sweden,1971,59.700001
Sweden,1972,58.700001
Sweden,1973,59
Sweden,1974,60.799999
Sweden,1975,63.700001
Sweden,1993,40.32
Sweden,1994,42.119999
Sweden,1995,40.810001
Sweden,1996,41.380001
Sweden,1997,43.07
Sweden,1998,42.099998
Sweden,1999,43.200001
Sweden,2000,45.549999
Sweden,2001,43.130001
Sweden,2002,40.639999
Sweden,2003,41.459999
Sweden,2004,42.77
Sweden,2005,43.310001
Sweden,2006,43.290001
Sweden,2007,42.139999
Sweden,2008,38.48
Sweden,2009,37.279999
Sweden,2010,37.18
Sweden,2011,35.5
Sweden,2012,34.790001
Sweden,2013,35.240002
Switzerland,1866,24.1
Switzerland,1876,31.6
Switzerland,1886,24.4
Switzerland,1900,54.900002
Switzerland,1910,54.200001
Switzerland,1913,54
Switzerland,1920,73.099998
Switzerland,1925,56
Switzerland,1930,61.700001
Switzerland,1938,52.599998
Switzerland,1945,58
Switzerland,1950,55.200001
Switzerland,1951,51.599998
Switzerland,1952,54.700001
Switzerland,1953,51.599998
Switzerland,1954,54.5
Switzerland,1955,50.900002
Switzerland,1956,52.599998
Switzerland,1957,50.599998
Switzerland,1958,54
Switzerland,1959,51.900002
Switzerland,1960,51.799999
Switzerland,1961,49.799999
Switzerland,1962,54
Switzerland,1963,52.700001
Switzerland,1964,54
Switzerland,1965,53.5
Switzerland,1966,55.599998
Switzerland,1967,55.599998
Switzerland,1968,56.700001
Switzerland,1969,57
Switzerland,1970,57.700001
Switzerland,1971,57.900002
Switzerland,1972,58
Switzerland,1973,61.299999
Switzerland,1974,63.900002
Switzerland,1975,66.099998
Switzerland,1990,48.470001
Switzerland,1991,48.07
Switzerland,1992,48.389999
Switzerland,1993,47.16
Switzerland,1994,47.84
Switzerland,1995,44.369999
Switzerland,1996,45.18
Switzerland,1997,44.509998
Switzerland,1998,44.91
Switzerland,1999,43.029999
Switzerland,2000,45.279999
Switzerland,2001,44.060001
Switzerland,2002,45.41
Switzerland,2003,44.209999
Switzerland,2004,44.34
Switzerland,2005,45.150002
Switzerland,2006,45.810001
Switzerland,2007,47.049999
Switzerland,2008,46.580002
Switzerland,2009,46.439999
Switzerland,2010,45.369999
Switzerland,2011,46.349998
Switzerland,2012,45.869999
Switzerland,2013,45.93
United Kingdom,1856,25.5
United Kingdom,1868,7.9000001
United Kingdom,1872,11.1
United Kingdom,1875,5.8000002
United Kingdom,1880,10
United Kingdom,1885,11.7
United Kingdom,1890,12.1
United Kingdom,1895,13.2
United Kingdom,1900,12.6
United Kingdom,1905,16.799999
United Kingdom,1910,7
United Kingdom,1915,22.299999
United Kingdom,1920,55.599998
United Kingdom,1925,40.5
United Kingdom,1930,34.599998
United Kingdom,1935,31.700001
United Kingdom,1940,37.099998
United Kingdom,1945,39.900002
United Kingdom,1950,36.200001
United Kingdom,1951,34.700001
United Kingdom,1952,37.299999
United Kingdom,1953,38.299999
United Kingdom,1954,37.599998
United Kingdom,1955,38.299999
United Kingdom,1956,37.599998
United Kingdom,1957,34.299999
United Kingdom,1958,38.099998
United Kingdom,1959,38.5
United Kingdom,1960,36.599998
United Kingdom,1961,37.400002
United Kingdom,1962,38.099998
United Kingdom,1963,37.200001
United Kingdom,1964,35.200001
United Kingdom,1965,35.599998
United Kingdom,1966,32.799999
United Kingdom,1967,33
United Kingdom,1968,32.5
United Kingdom,1969,31.700001
United Kingdom,1970,33.5
United Kingdom,1971,37.599998
United Kingdom,1972,37.099998
United Kingdom,1973,38.400002
United Kingdom,1974,39.200001
United Kingdom,1975,50.299999
United Kingdom,1990,40.790001
United Kingdom,1991,37.66
United Kingdom,1992,36.32
United Kingdom,1993,35.759998
United Kingdom,1994,36.959999
United Kingdom,1995,38.490002
United Kingdom,1996,37.889999
United Kingdom,1997,38.650002
United Kingdom,1998,40.73
United Kingdom,1999,40.189999
United Kingdom,2000,40.73
United Kingdom,2001,40.779999
United Kingdom,2002,39.150002
United Kingdom,2003,37.990002
United Kingdom,2004,37.84
United Kingdom,2005,39.34
United Kingdom,2006,40.540001
United Kingdom,2007,39.970001
United Kingdom,2008,38.77
United Kingdom,2009,38.27
United Kingdom,2010,37.57
United Kingdom,2011,37.400002
United Kingdom,2012,36.389999
United Kingdom,2013,34.889999
