Entity,Year,World regions according to Maddison (Maddison (2010))
Haiti,2010,Latin America Maddison definition
Honduras,2010,Latin America Maddison definition
Hong Kong,2010,East Asia Maddison definition
Hungary,2010,Eastern Europe Maddison definition
Iceland,2010,Western Europe Maddison definition
India,2010,East Asia Maddison definition
Indonesia,2010,East Asia Maddison definition
Iran,2010,Western Asia Maddison definition
Iraq,2010,Western Asia Maddison definition
Ireland,2010,Western Europe Maddison definition
Isle of Man,2010,Western Europe Maddison definition
Israel,2010,Western Asia Maddison definition
Italy,2010,Western Europe Maddison definition
Jamaica,2010,Latin America Maddison definition
Japan,2010,East Asia Maddison definition
Jersey,2010,Western Europe Maddison definition
Jordan,2010,Western Asia Maddison definition
Kazakhstan,2010,Eastern Europe Maddison definition
Kenya,2010,Africa Maddison definition
Kiribati,2010,East Asia Maddison definition
Kosovo,2010,Africa Maddison definition
Kuwait,2010,Western Asia Maddison definition
Kyrgyzstan,2010,Eastern Europe Maddison definition
Laos,2010,East Asia Maddison definition
Latvia,2010,Eastern Europe Maddison definition
Lebanon,2010,Western Asia Maddison definition
Lesotho,2010,Africa Maddison definition
Liberia,2010,Africa Maddison definition
Libya,2010,Africa Maddison definition
Liechtenstein,2010,Western Europe Maddison definition
Lithuania,2010,Eastern Europe Maddison definition
Luxembourg,2010,Western Europe Maddison definition
Macao,2010,East Asia Maddison definition
Macedonia,2010,Eastern Europe Maddison definition
Madagascar,2010,Africa Maddison definition
Malawi,2010,Africa Maddison definition
Malaysia,2010,East Asia Maddison definition
Maldives,2010,East Asia Maddison definition
Mali,2010,Africa Maddison definition
Malta,2010,Western Europe Maddison definition
Marshall Islands,2010,East Asia Maddison definition
Mauritania,2010,Africa Maddison definition
Mauritius,2010,Africa Maddison definition
Mexico,2010,Latin America Maddison definition
Micronesia,2010,East Asia Maddison definition
Moldova,2010,Eastern Europe Maddison definition
Monaco,2010,Western Europe Maddison definition
Mongolia,2010,East Asia Maddison definition
Montenegro,2010,Africa Maddison definition
Montserrat,2010,Latin America Maddison definition
Morocco,2010,Africa Maddison definition
Mozambique,2010,Africa Maddison definition
Myanmar,2010,East Asia Maddison definition
Namibia,2010,Africa Maddison definition
Nauru,2010,East Asia Maddison definition
Nepal,2010,East Asia Maddison definition
Netherlands,2010,Western Europe Maddison definition
Netherlands Antilles,2010,Latin America Maddison definition
New Caledonia,2010,East Asia Maddison definition
New Zealand,2010,Western Offshoots Maddison definition
Nicaragua,2010,Latin America Maddison definition
Niger,2010,Africa Maddison definition
Nigeria,2010,Africa Maddison definition
North Korea,2010,East Asia Maddison definition
Northern Mariana Islands,2010,East Asia Maddison definition
Norway,2010,Western Europe Maddison definition
Oman,2010,Western Asia Maddison definition
Pakistan,2010,East Asia Maddison definition
Palau,2010,East Asia Maddison definition
Palestine,2010,Western Asia Maddison definition
Panama,2010,Latin America Maddison definition
Papua New Guinea,2010,East Asia Maddison definition
Paraguay,2010,Latin America Maddison definition
Peru,2010,Latin America Maddison definition
Philippines,2010,East Asia Maddison definition
Poland,2010,Eastern Europe Maddison definition
Portugal,2010,Western Europe Maddison definition
Puerto Rico,2010,Latin America Maddison definition
Qatar,2010,Western Asia Maddison definition
Romania,2010,Eastern Europe Maddison definition
Russia,2010,Eastern Europe Maddison definition
Rwanda,2010,Africa Maddison definition
Saint Kitts and Nevis,2010,Latin America Maddison definition
Saint Lucia,2010,Latin America Maddison definition
Saint Pierre and Miquelon,2010,Latin America Maddison definition
Saint Vincent and the Grenadines,2010,Latin America Maddison definition
Samoa,2010,East Asia Maddison definition
San Marino,2010,Western Europe Maddison definition
Sao Tome and Principe,2010,Africa Maddison definition
Saudi Arabia,2010,Western Asia Maddison definition
Senegal,2010,Africa Maddison definition
Serbia,2010,Eastern Europe Maddison definition
Seychelles,2010,Africa Maddison definition
Sierra Leone,2010,Africa Maddison definition
Singapore,2010,East Asia Maddison definition
Slovakia,2010,Eastern Europe Maddison definition
Slovenia,2010,Eastern Europe Maddison definition
Solomon Islands,2010,East Asia Maddison definition
Somalia,2010,Africa Maddison definition
South Africa,2010,Africa Maddison definition
South Korea,2010,East Asia Maddison definition
Spain,2010,Western Europe Maddison definition
Sri Lanka,2010,East Asia Maddison definition
Sudan,2010,Africa Maddison definition
Suriname,2010,Latin America Maddison definition
Swaziland,2010,Africa Maddison definition
Sweden,2010,Western Europe Maddison definition
Switzerland,2010,Western Europe Maddison definition
Syria,2010,Western Asia Maddison definition
Taiwan,2010,East Asia Maddison definition
Tajikistan,2010,Eastern Europe Maddison definition
Tanzania,2010,Africa Maddison definition
Thailand,2010,East Asia Maddison definition
Timor,2010,East Asia Maddison definition
Togo,2010,Africa Maddison definition
Tonga,2010,East Asia Maddison definition
Trinidad and Tobago,2010,Latin America Maddison definition
Tunisia,2010,Africa Maddison definition
Turkey,2010,Western Asia Maddison definition
Turkmenistan,2010,Eastern Europe Maddison definition
Turks and Caicos Islands,2010,Latin America Maddison definition
Tuvalu,2010,East Asia Maddison definition
Uganda,2010,Africa Maddison definition
Ukraine,2010,Eastern Europe Maddison definition
United Arab Emirates,2010,Western Asia Maddison definition
United Kingdom,2010,Western Europe Maddison definition
United States,2010,Western Offshoots Maddison definition
United States Virgin Islands,2010,Latin America Maddison definition
Uruguay,2010,Latin America Maddison definition
Uzbekistan,2010,Eastern Europe Maddison definition
Vanuatu,2010,East Asia Maddison definition
Venezuela,2010,Latin America Maddison definition
Vietnam,2010,East Asia Maddison definition
Wallis and Futuna,2010,East Asia Maddison definition
Yemen,2010,Western Asia Maddison definition
Yugoslavia,2010,Eastern Europe Maddison definition
Zambia,2010,Africa Maddison definition
Zimbabwe,2010,Africa Maddison definition
