Entity,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017))"
Iceland,2012,34.9777125
Iceland,2013,34.90964967
Iceland,2014,35.20154127
Iceland,2015,35.03931506
Iceland,2016,34.93117117
Ireland,1983,36.85480852
Ireland,1984,36.9122656
Ireland,1985,36.70024385
Ireland,1986,36.83637547
Ireland,1987,36.54555536
Ireland,1988,36.1255389
Ireland,1989,36.20420322
Ireland,1990,35.81721371
Ireland,1991,35.87004585
Ireland,1992,35.25687704
Ireland,1993,34.72341517
Ireland,1994,34.67692446
Ireland,1995,34.2376358
Ireland,1996,34.66272449
Ireland,1997,34.12739268
Ireland,1998,33.08642441
Ireland,1999,32.67247783
Ireland,2000,32.82274262
Ireland,2001,32.50675621
Ireland,2002,32.33289535
Ireland,2003,32.08583201
Ireland,2004,31.89743902
Ireland,2005,31.71078866
Ireland,2006,31.7613484
Ireland,2007,31.47824735
Ireland,2008,31.30335699
Ireland,2009,30.8058891
Ireland,2010,30.67737122
Ireland,2011,30.53169538
Ireland,2012,30.93470036
Ireland,2013,31.33745738
Ireland,2014,31.52438219
Ireland,2015,31.54707708
Ireland,2016,31.68114022
Israel,1995,35.74217946
Israel,1996,35.97094796
Israel,1997,36.37616265
Israel,1998,35.74067148
Israel,1999,35.80274805
Israel,2000,36.03642035
Israel,2001,35.78095542
Israel,2002,35.67148689
Israel,2003,35.68062885
Israel,2004,35.86678683
Israel,2005,35.5034963
Israel,2006,35.61829881
Israel,2007,35.95744504
Israel,2008,35.93943948
Israel,2009,35.82853022
Israel,2010,36.15896052
Israel,2011,36.42870742
Israel,2012,36.64061785
Israel,2013,36.40188676
Israel,2014,36.39907865
Israel,2015,36.56580691
Israel,2016,36.63506481
Italy,1995,35.9106816
Italy,1996,36.06343536
Italy,1997,35.69085244
Italy,1998,35.66125367
Italy,1999,35.41363947
Italy,2000,35.60426057
Italy,2001,35.52944747
Italy,2002,35.48426014
Italy,2003,35.38837481
Italy,2004,34.17607136
Italy,2005,34.06889132
Italy,2006,34.00676015
Italy,2007,33.83155324
Italy,2008,33.62296999
Italy,2009,33.50787088
Italy,2010,33.30406937
Italy,2011,33.13054444
Italy,2012,32.80325513
Italy,2013,32.70367754
Italy,2014,32.67192601
Italy,2015,32.77687798
Italy,2016,32.76893253
Korea,1991,51.02736458
Korea,1992,50.24423748
Korea,1993,50.46657606
Korea,1994,50.25056159
Korea,1995,50.4207885
Korea,1996,50.27586021
Korea,1997,49.57419342
Korea,1998,48.86592763
Korea,1999,48.82727168
Korea,2000,48.77425032
Korea,2001,48.46170359
Korea,2002,47.92048289
Korea,2003,47.25630894
Korea,2004,46.88067825
Korea,2005,46.42728728
Korea,2006,46.15956044
Korea,2007,45.35255747
Korea,2008,44.2873065
Korea,2009,44.00459146
Korea,2010,42.94833162
Korea,2011,41.70024061
Korea,2012,42.35966967
Korea,2013,40.9450903
Korea,2014,41.49363922
Korea,2015,41.33909496
Korea,2016,40.60345467
Latvia,2000,40.69157846
Latvia,2001,41.12799156
Latvia,2002,40.339749
Latvia,2003,40.24160362
Latvia,2004,39.23769934
Latvia,2005,39.47253446
Latvia,2006,39.85247277
Latvia,2007,39.55301093
Latvia,2008,38.96815225
Latvia,2009,38.57756954
Latvia,2010,38.13310591
Latvia,2011,38.08876107
Latvia,2012,37.90088421
Latvia,2013,38.08559566
Latvia,2014,38.27695938
Latvia,2015,38.1244604
Latvia,2016,37.97736106
Lithuania,1998,38.46029182
Lithuania,1999,37.6385773
Lithuania,2000,37.56091881
Lithuania,2001,36.96322008
Lithuania,2002,36.8689247
Lithuania,2003,36.99546264
Lithuania,2004,37.31938737
Lithuania,2005,37.55705896
Lithuania,2006,37.99443896
Lithuania,2007,38.14376102
Lithuania,2008,38.60903445
Lithuania,2009,38.25210655
Lithuania,2010,38.04981917
Lithuania,2011,37.74257291
Lithuania,2012,37.63411087
Lithuania,2013,37.74060255
Lithuania,2014,37.74364926
Lithuania,2015,37.88666453
Lithuania,2016,37.84969867
Luxembourg,1983,37.45719516
Luxembourg,1984,37.49989166
Luxembourg,1985,37.27866337
Luxembourg,1986,37.15062382
Luxembourg,1987,36.97019206
Luxembourg,1988,37.10398809
Luxembourg,1989,36.85533313
Luxembourg,1990,36.80233245
Luxembourg,1991,36.08747651
Luxembourg,1992,36.34551139
Luxembourg,1993,36.33616621
Luxembourg,1994,35.43585227
Luxembourg,1995,34.84570025
Luxembourg,1996,35.0812586
Luxembourg,1997,34.69689729
Luxembourg,1998,33.84790345
Luxembourg,1999,34.19180152
Luxembourg,2000,33.93909011
Luxembourg,2001,33.57099962
Luxembourg,2002,33.74448164
Luxembourg,2003,33.72639206
Luxembourg,2004,33.42864366
Luxembourg,2005,33.12971166
Luxembourg,2006,33.55351712
Luxembourg,2007,33.09742315
Luxembourg,2008,32.87370209
Luxembourg,2009,32.71906073
Luxembourg,2010,32.79961382
Luxembourg,2011,33.01037868
Luxembourg,2012,33.41626076
Luxembourg,2013,33.46821774
Luxembourg,2014,33.75399241
Luxembourg,2015,33.81426289
Luxembourg,2016,34.11691934
Macedonia,2006,42.86636177
Macedonia,2007,42.94536442
Macedonia,2008,42.92874935
Macedonia,2009,42.556804
Macedonia,2010,41.93516084
Macedonia,2011,42.12356207
Macedonia,2012,41.3478237
Macedonia,2013,41.61732003
Macedonia,2014,41.50313138
Macedonia,2015,41.4189565
Macedonia,2016,41.03455449
Malta,2000,37.24400354
Malta,2001,35.26103124
Malta,2002,35.80471015
Malta,2003,35.40532637
Malta,2004,35.38883369
Malta,2005,35.17320766
Malta,2006,35.42009711
Malta,2007,34.64820709
Malta,2008,34.78400613
Malta,2009,35.03901904
Malta,2010,34.809294
Malta,2011,34.63493956
Malta,2012,34.76411856
Malta,2013,34.54204523
Malta,2014,34.01594519
Malta,2015,34.46308141
Malta,2016,35.01891101
Mexico,1995,37.37734506
Mexico,1996,37.70405018
Mexico,1997,37.90579422
Mexico,1998,37.74911279
Mexico,1999,38.18995189
Mexico,2000,38.52139707
Mexico,2001,38.32957177
Mexico,2002,38.10738474
Mexico,2003,38.23073159
Mexico,2004,37.73448513
Mexico,2005,38.49549486
Mexico,2006,38.2484741
Mexico,2007,38.03106278
Mexico,2008,38.23836712
Mexico,2009,38.13634502
Mexico,2010,38.14463601
Mexico,2011,38.18259286
Mexico,2012,38.01119966
Mexico,2013,38.20135653
Mexico,2014,38.09700325
Mexico,2015,38.15981372
Mexico,2016,38.36906804
Netherlands,1983,29.07911129
Netherlands,1985,28.89185177
Netherlands,1987,26.30830489
Netherlands,1988,26.06769628
Netherlands,1989,25.55706231
Netherlands,1990,25.60336797
Netherlands,1991,25.75705034
Netherlands,1992,25.69798778
Netherlands,1993,25.51396875
Netherlands,1994,25.24591418
Netherlands,1995,25.24535935
Netherlands,1996,25.23083529
Netherlands,1997,25.45935301
Netherlands,1998,25.16531683
Netherlands,1999,25.11932299
Netherlands,2000,24.69549699
Netherlands,2001,24.74869832
Netherlands,2002,24.38527965
Netherlands,2003,24.25152612
Netherlands,2004,24.15838935
Netherlands,2005,24.03807883
Netherlands,2006,24.32380387
Netherlands,2007,24.38248649
Netherlands,2008,24.52367569
Netherlands,2009,24.56739106
Netherlands,2010,24.49192421
Netherlands,2011,24.48905896
Netherlands,2012,24.49413708
Netherlands,2013,24.38195959
Netherlands,2014,24.54126665
Netherlands,2015,24.54553208
Netherlands,2016,24.83344763
New Zealand,1986,32.87372383
New Zealand,1987,32.60237371
New Zealand,1988,32.25465025
New Zealand,1989,32.41326927
New Zealand,1990,32.05039935
New Zealand,1991,32.05985139
New Zealand,1992,31.91667163
New Zealand,1993,32.22677723
New Zealand,1994,32.13240576
New Zealand,1995,32.37210566
New Zealand,1996,32.09361477
New Zealand,1997,31.97658358
New Zealand,1998,31.88582297
New Zealand,1999,32.17431237
New Zealand,2000,32.44603054
New Zealand,2001,32.33794546
New Zealand,2002,32.36419448
New Zealand,2003,32.45993239
New Zealand,2004,32.28717499
New Zealand,2005,32.40174707
New Zealand,2006,32.52719039
New Zealand,2007,32.40277241
New Zealand,2008,32.51244188
New Zealand,2009,32.42130408
New Zealand,2010,32.42286527
New Zealand,2011,32.27779345
New Zealand,2012,32.16024494
New Zealand,2013,32.67185775
New Zealand,2014,32.78435309
New Zealand,2015,32.78627154
New Zealand,2016,33.08735517
Norway,1996,30.03483089
Norway,1997,30.1280597
Norway,1998,30.26492248
Norway,1999,30.35429389
Norway,2000,30.71821632
Norway,2001,30.77646503
Norway,2002,30.65817669
Norway,2003,30.71682331
Norway,2004,30.54156456
Norway,2005,30.72897086
Norway,2006,30.61337565
Norway,2007,30.83442375
Norway,2008,31.06311961
Norway,2009,31.12154835
Norway,2010,31.05187396
Norway,2011,31.1264115
Norway,2012,31.45092597
Norway,2013,31.41688727
Norway,2014,31.59768247
Norway,2015,31.6341171
Norway,2016,31.76022929
OECD,1983,35.48880685
OECD,1984,35.56030541
OECD,1985,35.56128622
OECD,1986,35.52994049
OECD,1987,35.46615474
OECD,1988,35.48247968
OECD,1989,35.45067767
OECD,1990,35.36666033
OECD,1991,36.11667316
OECD,1992,36.03181949
OECD,1993,35.98228385
OECD,1994,36.02018955
OECD,1995,36.00885193
OECD,1996,36.03882779
OECD,1997,36.06604766
OECD,1998,35.91845627
OECD,1999,35.90563855
OECD,2000,36.32150994
OECD,2001,34.6792181
OECD,2002,34.45135467
OECD,2003,34.30773376
OECD,2004,34.14210933
OECD,2005,34.22379019
OECD,2006,34.23776875
OECD,2007,34.0910556
OECD,2008,34.07647011
OECD,2009,33.83997631
OECD,2010,33.8025963
OECD,2011,33.73153521
OECD,2012,33.76149105
OECD,2013,33.72999982
OECD,2014,33.81706523
OECD,2015,33.91413193
OECD,2016,33.91811883
Poland,2001,38.39337099
Poland,2002,38.3095686
Poland,2003,38.26282402
Poland,2004,38.03329963
Poland,2005,38.05544066
Poland,2006,38.10458417
Poland,2007,38.32295147
Poland,2008,38.37727433
Poland,2009,38.32525294
Poland,2010,38.14732277
Poland,2011,38.22354634
Poland,2012,38.36597201
Poland,2013,38.41098411
Poland,2014,38.55603498
Poland,2015,38.67668347
Poland,2016,38.7523407
Portugal,1986,42.769016
Portugal,1987,42.86778221
Portugal,1988,42.21731857
Portugal,1989,41.5830778
Portugal,1990,41.28728626
Portugal,1991,40.17849931
Portugal,1992,40.18030462
Portugal,1993,39.91036427
Portugal,1994,39.15812038
Portugal,1995,39.32289884
Portugal,1996,39.33006231
Portugal,1997,38.41565312
Portugal,1998,37.88108308
Portugal,1999,37.64335212
Portugal,2000,37.46461596
Portugal,2001,37.29300277
Portugal,2002,37.29359453
Portugal,2003,36.97287349
Portugal,2004,36.9671799
Portugal,2005,37.01153292
Portugal,2006,37.1110589
Portugal,2007,36.98672767
Portugal,2008,36.96112848
Portugal,2009,36.89892302
Portugal,2010,37.09566677
Portugal,2011,37.27388286
Portugal,2012,37.38073085
Portugal,2013,37.71775952
Portugal,2014,38.29182507
Portugal,2015,38.02892548
Portugal,2016,38.10501601
Romania,2000,38.99581946
Romania,2001,39.04988644
Romania,2002,40.00054464
Romania,2003,40.1736083
Romania,2004,39.87071354
Romania,2005,39.9293003
Romania,2006,39.83013867
Romania,2007,39.64114396
Romania,2008,39.68951527
Romania,2009,39.61492151
Romania,2010,39.50387056
Romania,2011,39.55472137
Romania,2012,39.43060997
Romania,2013,39.29470948
Romania,2014,39.3227005
Romania,2015,39.17001725
Romania,2016,39.31229883
Slovak Republic,1994,40.89907069
Slovak Republic,1995,41.20721091
Slovak Republic,1996,41.18631502
Slovak Republic,1997,41.48365395
Slovak Republic,1998,41.38710543
Slovak Republic,1999,41.55302694
Slovak Republic,2000,41.48708823
Slovak Republic,2001,41.26926768
Slovak Republic,2002,40.7482933
Slovak Republic,2003,39.46649426
Slovak Republic,2004,39.3553096
Slovak Republic,2005,39.57834723
Slovak Republic,2006,39.659976
Slovak Republic,2007,39.53775073
Slovak Republic,2008,39.55728458
Slovak Republic,2009,39.55937318
Slovak Republic,2010,39.41130281
Slovak Republic,2011,39.25935618
Slovak Republic,2012,39.51127336
Slovak Republic,2013,39.39567531
Slovak Republic,2014,39.18305791
Slovak Republic,2015,38.864872
Slovak Republic,2016,38.76814142
Slovenia,2000,40.63745977
Slovenia,2001,40.76419478
Slovenia,2002,40.33879623
Slovenia,2003,39.98110882
Slovenia,2004,39.47857309
Slovenia,2005,39.38401509
Slovenia,2006,39.09775044
Slovenia,2007,39.16967963
Slovenia,2008,39.16670622
Slovenia,2009,38.58897888
Slovenia,2010,38.09044038
Slovenia,2011,38.30075599
Slovenia,2012,38.5468835
Slovenia,2013,38.33738472
Slovenia,2014,38.08588047
Slovenia,2015,38.03685683
Slovenia,2016,38.14419844
South Africa,2008,42.89492337
South Africa,2009,42.30381187
South Africa,2010,42.14063964
South Africa,2011,42.30014158
South Africa,2012,41.80459351
South Africa,2013,41.56220416
South Africa,2014,41.47272782
South Africa,2015,41.13575636
South Africa,2016,40.91025689
Spain,1987,39.02930673
Spain,1988,38.57004766
Spain,1989,38.52410146
Spain,1990,38.37105447
Spain,1991,38.55890532
Spain,1992,38.04903605
Spain,1993,37.79251739
Spain,1994,37.56954827
Spain,1995,37.25750881
Spain,1996,37.03164685
Spain,1997,36.88975538
Spain,1998,36.90577017
Spain,1999,36.72621668
Spain,2000,36.87839744
Spain,2001,36.78153981
Spain,2002,36.83961734
Spain,2003,36.62217682
Spain,2004,36.52686231
Spain,2005,35.65250427
Spain,2006,35.69196212
Spain,2007,35.71823045
Spain,2008,35.61448792
Spain,2009,35.47418623
Spain,2010,35.3677578
Spain,2011,35.27334747
Spain,2012,34.94995718
Spain,2013,34.76006721
Spain,2014,34.59617152
Spain,2015,34.61561523
Spain,2016,34.7382492
Sweden,2002,34.33159467
Sweden,2003,34.295118
Sweden,2004,34.18877692
Sweden,2005,34.20428861
Sweden,2006,34.17567502
Sweden,2007,33.96287034
Sweden,2008,33.92630097
Sweden,2009,33.93763615
Sweden,2010,34.03468752
Sweden,2011,34.13389194
Sweden,2012,34.26000199
Sweden,2013,34.31694221
Sweden,2014,34.39589422
Sweden,2015,34.47413219
Sweden,2016,34.51195555
Switzerland,1991,29.54234418
Switzerland,1992,28.87137032
Switzerland,1993,28.46041295
Switzerland,1994,28.62653703
Switzerland,1995,28.88530155
Switzerland,1996,28.81294689
Switzerland,1997,28.93599921
Switzerland,1998,28.91824367
Switzerland,1999,28.672922
Switzerland,2000,29.13419383
Switzerland,2001,29.05290159
Switzerland,2002,29.0898375
Switzerland,2003,28.76572385
Switzerland,2004,28.95897173
Switzerland,2005,29.05033849
Switzerland,2006,28.98644865
Switzerland,2007,29.04976338
Switzerland,2008,28.94327948
Switzerland,2009,28.69860704
Switzerland,2010,28.9238267
Switzerland,2011,29.14740336
Switzerland,2012,29.10965499
Switzerland,2013,29.07530141
Switzerland,2014,28.97631382
Switzerland,2015,29.16151382
Switzerland,2016,29.18402867
Turkey,2006,44.81350714
Turkey,2007,43.48452045
Turkey,2008,43.15254819
Turkey,2009,41.62049792
Turkey,2010,41.84827897
Turkey,2011,41.40811784
Turkey,2012,41.38643636
Turkey,2013,40.92267355
Turkey,2014,41.42598063
Turkey,2015,41.72222696
Turkey,2016,41.49403174
United Kingdom,1983,30.16480774
United Kingdom,1984,29.84463491
United Kingdom,1985,30.08179523
United Kingdom,1986,30.15892051
United Kingdom,1987,30.11159676
United Kingdom,1988,30.55832622
United Kingdom,1989,30.6253244
United Kingdom,1990,30.83508128
United Kingdom,1991,30.64930718
United Kingdom,1992,30.55129049
United Kingdom,1993,30.48577032
United Kingdom,1994,30.59849889
United Kingdom,1995,30.74623033
United Kingdom,1996,30.63215592
United Kingdom,1997,30.86344873
United Kingdom,1998,30.81311836
United Kingdom,1999,30.93047498
United Kingdom,2000,30.92024559
United Kingdom,2001,31.27842732
United Kingdom,2002,31.21690998
United Kingdom,2003,31.0662082
United Kingdom,2004,31.07581873
United Kingdom,2005,31.36015501
United Kingdom,2006,31.32128217
United Kingdom,2007,31.42663523
United Kingdom,2008,31.54929964
United Kingdom,2009,31.32926925
United Kingdom,2010,31.21265763
United Kingdom,2011,31.15347454
United Kingdom,2012,31.23455297
United Kingdom,2013,31.4539447
United Kingdom,2014,31.68225921
United Kingdom,2015,31.80741911
United Kingdom,2016,31.88076962
