Entity,Year,Cost of calorie sufficient diet (2017 USD per day),Cost of nutrient adequate diet (2017 USD per day),Cost of healthy diet (2017 USD per day),Calorie sufficient diet cost (% of $1.20 poverty line),Nutrient adequate diet cost (% of $1.20 poverty line),Healthy diet cost (% of $1.20 poverty line),Calorie sufficient diet cost (% of average food expenditure),Nutrient adequate diet cost (% of average food expenditure),Healthy diet cost (% of average food expenditure),Calorie sufficient diet cost (% cannot afford),Nutrient adequate diet cost  (% cannot afford),Healthy diet cost  (% cannot afford),Calorie sufficient diet cost (number cannot afford),Nutrient adequate diet cost  (number cannot afford),Healthy diet cost  (number cannot afford)
Bulgaria,2017,0.514931565,2.823680272,4.141849932,43.01850999,235.8964304,346.019209,43.01850999,235.8964304,346.019209,0.1094469,4.767394,7.956887,7744.404637,337338.2727,563025.107
Burkina Faso,2017,0.447242679,2.162074887,3.630475375,37.36363235,180.6244684,303.2978593,37.36363235,180.6244684,303.2978593,0.08072798,70.37673,89.48444,15494.35047,13507605.66,17175002.71
Burundi,2017,0.646660565,1.403561922,3.568271986,54.02343898,117.2566351,298.101252,54.02343898,117.2566351,298.101252,36.47068,81.02247,97.37745,3948689.277,8772322.272,10543079.88
Cambodia,2017,0.992085562,2.494474737,4.215482591,82.8809993,208.3938795,352.1706425,82.8809993,208.3938795,352.1706425,,,,,,
Cameroon,2017,0.542771156,1.631257598,3.586194973,45.34429035,136.2788302,299.5985775,45.34429035,136.2788302,299.5985775,2.189846,29.8705,63.38169,537958.5538,7338000.472,15570374.49
Canada,2017,0.678612354,2.032298368,3.077931461,56.69276143,169.782654,257.1371313,56.69276143,169.782654,257.1371313,0.2429948,0.4964854,0.739849,88798.36978,181432.2534,270365.395
Cape Verde,2017,0.619501806,2.292982861,3.604131745,51.75453686,191.5608071,301.0970547,51.75453686,191.5608071,301.0970547,0.07774579,13.53531,33.40442,417.8812889,72751.88519,179547.7554
Cayman Islands,2017,1.09466087,2.013334783,3.17160788,91.45036504,168.1983945,264.9630643,91.45036504,168.1983945,264.9630643,,,,,,
Central African Republic,2017,0.624124208,1.409530064,3.466127272,52.14070242,117.7552268,289.567859,52.14070242,117.7552268,289.567859,38.9125,74.5395,93.59409,1788429.396,3425856.291,4301610.583
Central Asia,2017,,,,,,,,,,0.3,7.4,22.4,80000,2450000,7430000
Chad,2017,0.529448026,1.918301663,3.256643019,44.23124693,160.2591197,272.0670859,44.23124693,160.2591197,272.0670859,10.27858,62.78679,83.91907,1543511.026,9428549.728,12601936.25
Chile,2017,0.622463862,2.143251718,3.136726271,52.00199348,179.0519397,262.0489783,52.00199348,179.0519397,262.0489783,0.1547775,0.6200612,1.846604,28588.08372,114528.0257,341075.8654
China,2017,0.789314444,1.660543043,3.708351398,65.94105632,138.7254004,309.8037926,65.94105632,138.7254004,309.8037926,0.05491951,0.7841428,16.28048,761401.3407,10871316.57,225711760.7
Colombia,2017,1.024257877,2.611167317,3.409626903,85.56874495,218.142633,284.8476945,85.56874495,218.142633,284.8476945,2.736903,15.22642,23.65036,1338374.742,7445881.694,11565278.15
Comoros,2017,1.100676758,3.461404191,5.438113755,91.95294552,289.1732824,454.311926,91.95294552,289.1732824,454.311926,13.03936,58.32131,76.53037,106126.3079,474672.4764,622874.559
Congo,2017,0.960929332,2.525282461,3.402295325,80.27813964,210.9676241,284.2351984,80.27813964,210.9676241,284.2351984,27.93644,70.07433,80.81888,1427748.198,3581290.185,4130412.117
Costa Rica,2017,0.942631128,2.736463189,3.952923357,78.7494677,228.6101244,330.2358694,78.7494677,228.6101244,330.2358694,0.7875005,5.860629,11.83427,38980.9125,290098.4396,585790.9212
Cote d'Ivoire,2017,0.600278391,1.412146042,3.23060453,50.14857072,117.9737713,269.8917736,50.14857072,117.9737713,269.8917736,3.622083,24.9592,69.84254,885145.4103,6099396.763,17067749.06
Croatia,2017,0.673078637,3.128720839,4.424527504,56.23046257,261.380187,369.6347121,56.23046257,261.380187,369.6347121,0.3083222,2.296569,5.389643,12716.84472,94722.70034,222297.4963
Curacao,2017,1.136801079,2.155308833,3.50624548,94.97085037,180.0592175,292.9194219,94.97085037,180.0592175,292.9194219,,,,,,
Cyprus,2017,0.581570659,2.083318862,3.034485941,48.58568577,174.0450177,253.5075974,48.58568577,174.0450177,253.5075974,0.002312479,0.05130247,0.05130247,27.27985227,605.2049781,605.2049781
Czechia,2017,0.449308988,2.404034137,3.095356827,37.53625634,200.8382737,258.5928845,37.53625634,200.8382737,258.5928845,0,0.1187588,0.188587,0,12581.82744,19979.73279
Democratic Republic of Congo,2017,0.414419146,1.565927695,3.259864965,34.62148254,130.8210271,272.3362544,34.62148254,130.8210271,272.3362544,14.72962,78.2825,95.11936,11989728.62,63720987.43,77425983.36
Denmark,2017,0.303741478,1.74842859,2.443759672,25.37522787,146.0675513,204.1570319,25.37522787,146.0675513,204.1570319,0.1092044,0.1425427,0.1710614,6295.611819,8217.558146,9861.655498
Djibouti,2017,0.615534816,2.173886019,3.717529533,51.4231258,181.6111963,310.5705541,51.4231258,181.6111963,310.5705541,3.226917,38.09881,68.28388,30465.22659,359689.7222,644666.0626
Dominica,2017,1.216278252,3.479075693,3.976535141,101.6105473,290.6495984,332.2084496,101.6105473,290.6495984,332.2084496,,,,,,
Dominican Republic,2017,1.1796839,2.512236891,4.058081545,98.55337509,209.8777686,339.0210146,98.55337509,209.8777686,339.0210146,0.3923928,4.273865,16.0287,41252.7691,449317.0262,1685118.229
East Asia,2017,,,,,,,,,,0.1,0.8,14.7,1960000,13050000,230430000
Eastern Europe,2017,,,,,,,,,,0.1,1,2.4,310000,2490000,5860000
Ecuador,2017,1.307187652,2.312373913,3.180343145,109.2053176,193.180778,265.6928275,109.2053176,193.180778,265.6928275,3.353522,10.74881,18.17265,562900.7739,1804226.562,3050344.906
Egypt,2017,0.685653756,2.740519953,4.990956715,57.28101553,228.9490353,416.9554482,57.28101553,228.9490353,416.9554482,0.0472743,45.36381,84.8229,45592.56074,43750034.65,81805404.22
El Salvador,2017,1.459323301,5.094899029,4.519503095,121.9150627,425.6390166,377.5691808,121.9150627,425.6390166,377.5691808,2.247024,41.53262,34.92707,143542.6345,2653154.435,2231183.843
Equatorial Guinea,2017,0.767742625,1.804111908,4.067818027,64.1388993,150.7194576,339.8344217,64.1388993,150.7194576,339.8344217,,,,,,
Estonia,2017,0.424691275,2.344355705,3.304703403,35.47963869,195.8526069,276.0821557,35.47963869,195.8526069,276.0821557,0.1485402,0.586382,0.7833411,1956.844828,7724.902647,10319.61032
Eswatini,2017,0.930994443,2.154975482,3.679248238,77.7773135,180.0313686,307.372451,77.7773135,180.0313686,307.372451,14.62834,50.32423,69.70077,164532.693,566023.2867,783961.5016
Ethiopia,2017,0.575070386,1.943671139,3.389957267,48.04263877,162.3785413,283.20445,48.04263877,162.3785413,283.20445,1.732812,47.72135,84.01716,1843712.384,50775527.85,89394278.4
Fiji,2017,0.848623732,2.349597363,4.067603121,70.89588406,196.2905065,339.8164679,70.89588406,196.2905065,339.8164679,0.03736218,9.558629,41.26112,327.837811,83873.05044,362049.4109
Finland,2017,0.281521543,2.17361522,2.752257693,23.51892593,181.5885731,229.9296319,23.51892593,181.5885731,229.9296319,0.06272282,0.08540169,0.09872849,3454.907152,4704.107845,5438.176508
France,2017,0.319270299,1.900334132,3.08724351,26.67253963,158.7580728,257.9150802,26.67253963,158.7580728,257.9150802,0.002388263,0.02060666,0.0396873,1596.915494,13778.67288,26536.97029
Gabon,2017,0.888532398,2.465507896,3.780530339,74.22994132,205.9739261,315.8337793,74.22994132,205.9739261,315.8337793,1.035744,14.58697,32.9671,21386.28033,301195.1116,680712.2632
Gambia,2017,0.976237263,2.337631997,4.48647866,81.55699778,195.2908936,374.8102473,81.55699778,195.2908936,374.8102473,3.228183,38.85275,78.14459,71468.54975,860158.7011,1730038.389
Germany,2017,0.266420584,2.147060991,2.790570608,22.25735877,179.3701747,233.1303766,22.25735877,179.3701747,233.1303766,0,0.2406784,0.2406784,0,198937.5499,198937.5499
Ghana,2017,0.823971445,2.078965163,4.649803686,68.83637802,173.6813001,388.4547775,68.83637802,173.6813001,388.4547775,5.255404,26.53659,64.89996,1530450.952,7727845.361,18899823.03
Greece,2017,0.677560681,2.575630031,3.085863016,56.60490235,215.1737703,257.7997507,56.60490235,215.1737703,257.7997507,0.4529957,1.997401,2.768932,48718.23342,214814.0659,297789.7483
Grenada,2017,1.327378889,3.766431667,5.608536892,110.8921378,314.6559454,468.5494479,110.8921378,314.6559454,468.5494479,,,,,,
Guinea,2017,0.903217626,2.20518926,4.683627827,75.45677748,184.2263375,391.2805202,75.45677748,184.2263375,391.2805202,7.609828,56.30775,92.22971,918318.9617,6794959.691,11129856.22
Guinea-Bissau,2017,0.778394825,2.002397512,3.929538112,65.02880745,167.2846711,328.2822149,65.02880745,167.2846711,328.2822149,33.98932,79.1389,92.44474,621374.394,1446774.635,1690024.817
Guyana,2017,0.726962015,3.307733555,5.115227284,60.73199795,276.3353011,427.3372835,60.73199795,276.3353011,427.3372835,1.108406,24.38354,43.13607,8592.596077,189026.3226,334399.8732
Haiti,2017,0.857274218,2.631624602,4.912424904,71.61856457,219.8516794,410.3947288,71.61856457,219.8516794,410.3947288,11.33912,61.93312,88.03657,1245303.66,6801721.914,9668498.331
High income,2017,,,,,,,,,,0.5,1.1,1.7,5990000,12120000,19220000
Honduras,2017,1.145273549,3.320617216,3.649055398,95.67865908,277.4116304,304.850075,95.67865908,277.4116304,304.850075,13.71009,44.68354,48.59097,1292726.168,4213216.795,4581648.878
Hong Kong,2017,0.907698334,2.102890099,4.303619244,75.83110559,175.6800417,359.5337715,75.83110559,175.6800417,359.5337715,,,,,,
Hungary,2017,0.45006955,2.342294252,3.531285416,37.59979528,195.6803887,295.0113129,37.59979528,195.6803887,295.0113129,0.3069299,1.256608,2.472758,30042.19426,122996.3638,242032.7123
Iceland,2017,0.382420976,2.410324579,2.386684109,31.94828534,201.363791,199.3888144,31.94828534,201.363791,199.3888144,0,0.03449018,0.03449018,0,118.4392781,118.4392781
India,2017,0.788195593,1.902620576,3.408479453,65.84758505,158.9490874,284.751834,65.84758505,158.9490874,284.751834,0.9097882,39.07644,77.87833,12178960.12,523100216.5,1042525145
Indonesia,2017,1.020366482,2.589747187,4.801324437,85.24364932,216.3531484,401.1131526,85.24364932,216.3531484,401.1131526,1.094567,34.01389,68.76844,2896726.535,90016360.55,181992847.3
Iraq,2017,1.056426373,2.081578564,3.997055401,88.25617155,173.8996294,333.922757,88.25617155,173.8996294,333.922757,0.6999533,13.92816,59.66106,262851.9299,5230411.422,22404387.2
Ireland,2017,0.577231411,2.016530381,2.496353409,48.22317552,168.4653618,208.5508278,48.22317552,168.4653618,208.5508278,0.08559025,0.3402334,0.3814648,4114.655408,16356.33964,18338.49302
Israel,2017,0.508129071,1.918522938,2.815573402,42.45021475,160.2776055,235.2191647,42.45021475,160.2776055,235.2191647,0,0.4831344,1.246941,0,42096.94968,108649.7102
Italy,2017,0.316287353,2.255730117,3.082815964,26.42333779,188.4486314,257.5451933,26.42333779,188.4486314,257.5451933,0.996795,1.881131,2.472911,603426.8885,1138774.799,1497018.936
Jamaica,2017,1.014786055,4.040855495,5.401659801,84.77744822,337.5819127,451.266483,84.77744822,337.5819127,451.266483,0.8437953,33.92444,51.04891,24646.02033,990883.0235,1491063.619
Japan,2017,3.034385921,3.452165488,5.509148011,253.4992416,288.401461,460.2462833,253.4992416,288.401461,460.2462833,0.9434035,1.209406,2.072739,1196101.646,1533355.036,2627938.661
Jordan,2017,0.643548024,1.657184195,4.185145587,53.76341055,138.4447949,349.6362228,53.76341055,138.4447949,349.6362228,0.01428059,0.9139945,30.51331,1396.523602,89381.10337,2983949.373
Kazakhstan,2017,0.652794041,1.641899044,3.070835957,54.53584305,137.16784,256.5443573,54.53584305,137.16784,256.5443573,0,0.08490696,2.171455,0,15315.32725,391682.1888
Kenya,2017,0.766345623,1.696251951,3.239256207,64.0221907,141.7086008,270.6145536,64.0221907,141.7086008,270.6145536,9.451659,47.49316,79.1387,4746762.373,23851764.53,39744620.85
Kuwait,2017,0.341269519,1.662423529,3.96322868,28.51040257,138.8825004,331.0967987,28.51040257,138.8825004,331.0967987,,,,,,
Kyrgyzstan,2017,0.964181593,2.293846591,3.721835488,80.54984068,191.632965,310.930283,80.54984068,191.632965,310.930283,0.1609844,18.61766,60.26363,9978.135081,1153959.802,3735260.315
Laos,2017,0.723769965,2.701837251,4.852879418,60.46532703,225.7173978,405.4201686,60.46532703,225.7173978,405.4201686,0.4525377,51.19829,83.30545,31465.10467,3559835.023,5792257.095
Latin America and the Caribbean,2017,,,,,,,,,,1.8,11.7,18.2,10460000,66770000,104240000
Latvia,2017,0.448210108,2.058050542,3.342280479,37.44445349,171.9340469,279.2214268,37.44445349,171.9340469,279.2214268,0.1421721,1.147282,2.462489,2761.334769,22283.0617,47827.64335
Lesotho,2017,0.607529939,2.127532418,4.114792655,50.75438087,177.738715,343.7587849,50.75438087,177.738715,343.7587849,6.214572,47.64483,76.17472,129972.3046,996449.692,1593127.235
Liberia,2017,0.970414826,2.956331778,5.448504841,81.07057863,246.9784275,455.1800201,81.07057863,246.9784275,455.1800201,24.3413,85.90914,97.80976,1144583.424,4039643.636,4599237.921
Lithuania,2017,0.512512295,1.987102664,3.215128117,42.81639892,166.0069059,268.5988402,42.81639892,166.0069059,268.5988402,0.8064244,1.255247,2.703948,22808.93192,35503.44381,76478.54635
Low income,2017,,,,,,,,,,8.3,60.9,87,48310000,354940000,506560000
Lower-middle income,2017,,,,,,,,,,3.9,36.3,72.8,112240000,1041460000,2087450000
Luxembourg,2017,0.334489337,1.981162526,2.464075886,27.94397138,165.5106538,205.8542929,27.94397138,165.5106538,205.8542929,0.1290081,0.3697528,0.4122134,769.3217432,2204.969057,2458.176901
Madagascar,2017,0.483996532,2.369205367,3.455807057,40.43412962,197.9286021,288.7056856,40.43412962,197.9286021,288.7056856,22.84006,91.42086,96.31178,5840326.678,23376807.57,24627442.23
Malawi,2017,0.28486552,1.329288516,2.848473462,23.79828901,111.0516722,237.9677078,23.79828901,111.0516722,237.9677078,1.349036,70.47147,93.74659,238378.1687,12452491.97,16565266.19
Malaysia,2017,0.908167921,2.2023011,3.373409222,75.87033594,183.9850543,281.8219902,75.87033594,183.9850543,281.8219902,0,0.102626,0.9540056,0,31921.84604,296743.709
Maldives,2017,0.422614866,2.643526649,3.950086028,35.30617095,220.8460024,329.9988328,35.30617095,220.8460024,329.9988328,0,1.001511,6.479399,0,4971.520634,32163.86622
Mali,2017,0.599600045,1.708475055,3.189897781,50.09190015,142.7297456,266.4910427,50.09190015,142.7297456,266.4910427,4.015716,60.60491,89.55888,743405.1678,11219419.72,16579492.73
Malta,2017,0.763473885,2.672957006,4.001413134,63.78227948,223.3046789,334.2868115,63.78227948,223.3046789,334.2868115,0.1004015,0.2212111,0.3113678,469.878016,1035.265736,1457.19819
Mauritania,2017,0.87682579,2.497577399,4.422924109,73.25194567,208.6530826,369.500761,73.25194567,208.6530826,369.500761,1.738593,33.18791,70.32624,74456.53178,1421296.805,3011773.269
Mauritius,2017,0.813268366,2.50934144,4.224202606,67.94221937,209.6358764,352.8991317,67.94221937,209.6358764,352.8991317,0,2.662366,14.82623,0,33668.62654,187494.432
Mexico,2017,0.661079607,2.551728019,3.275019989,55.2280373,213.176944,273.6023383,55.2280373,213.176944,273.6023383,0.2988744,9.636238,17.22357,372927.4784,12023839.91,21491109.74
Moldova,2017,0.711446342,1.565545825,2.962812606,59.43578462,130.7891249,247.5198501,59.43578462,130.7891249,247.5198501,0,0.03139539,4.255573,0,864.9925992,117247.76
Mongolia,2017,0.74255342,2.064458263,4.632672995,62.03453805,172.469362,387.023642,62.03453805,172.469362,387.023642,0.005182401,4.24184,42.47417,161.368514,132081.5231,1322551.786
Montenegro,2017,0.560815752,2.323454893,3.820711084,46.85177542,194.1065073,319.1905667,46.85177542,194.1065073,319.1905667,0.00625986,7.51993,16.0716,38.95967848,46802.01394,100025.2991
Montserrat,2017,1.38033475,3.392060907,6.05529742,115.3161863,283.3801927,505.8728004,115.3161863,283.3801927,505.8728004,,,,,,
Morocco,2017,0.607821254,1.981803542,2.850121358,50.77871794,165.5642057,238.1053766,50.77871794,165.5642057,238.1053766,0.02480398,4.143805,13.05786,8825.577048,1474419.44,4646155.557
Mozambique,2017,0.382520329,1.78571539,4.180269314,31.95658557,149.1825723,349.2288483,31.95658557,149.1825723,349.2288483,7.858543,73.84619,92.72494,2251394.534,21156200.14,26564774.55
Myanmar,2017,0.870863912,2.257819173,3.992020154,72.75387735,188.6231557,333.5021014,72.75387735,188.6231557,333.5021014,0.1606828,17.70639,60.9121,85776.62586,9452127.984,32516451.12
Namibia,2017,1.008157292,1.723195129,3.470525841,84.22366683,143.9594928,289.9353251,84.22366683,143.9594928,289.9353251,9.802485,22.86306,49.21753,235514.7987,549308.5655,1182501.852
Nepal,2017,0.986364173,2.276550323,4.157142934,82.40302194,190.1879969,347.2968199,82.40302194,190.1879969,347.2968199,1.932745,36.11605,76.18064,533961.8578,9977825.917,21046519.88
Netherlands,2017,0.300922706,1.752396471,2.757659584,25.13974151,146.3990368,230.3809176,25.13974151,146.3990368,230.3809176,0.01160897,0.2121892,0.3034008,1988.767013,36350.75993,51976.48911
New Zealand,2017,0.491140051,2.233350286,2.742694481,41.03091486,186.5789713,229.1307001,41.03091486,186.5789713,229.1307001,,,,,,
Nicaragua,2017,1.43555517,2.311384455,3.518295499,119.9294211,193.0981166,293.9261068,119.9294211,193.0981166,293.9261068,3.77539,12.4328,29.1088,241053.1772,793816.2524,1858554.672
Niger,2017,0.441047071,1.468874205,3.578448447,36.8460377,122.7129661,298.9514158,36.8460377,122.7129661,298.9514158,0.9990504,50.22203,91.53421,215819.5829,10849199.97,19773652.09
Nigeria,2017,0.935592071,2.009995718,3.788709647,78.16140946,167.9194418,316.5170966,78.16140946,167.9194418,316.5170966,33.25881,72.16571,91.1246,63482191.85,137745080.1,173932541.2
North Africa,2017,,,,,,,,,,1.3,37.3,60.3,2870000,66770000,136060000
North America,2017,,,,,,,,,,0.9,1.4,1.6,3340000,5050000,5960000
North America and Europe,2017,,,,,,,,,,0.4,1,1.7,4760000,10950000,17970000
North Macedonia,2017,0.741783281,2.997446204,3.743557341,61.97019895,250.4132167,312.7449742,61.97019895,250.4132167,312.7449742,2.038765,12.70315,16.93414,42447.00575,264479.0749,352568.1174
Northern Europe,2017,,,,,,,,,,0.1,0.3,0.4,140000,290000,400000
Norway,2017,1.084304198,2.638144838,3.482619889,90.58514604,220.3963942,290.9456883,90.58514604,220.3963942,290.9456883,0.222648,0.3605376,0.4563593,11749.06371,19025.45378,24081.93423
Oceania,2017,,,,,,,,,,0.2,0.8,2.1,60000,210000,550000
Oman,2017,0.521225,1.664471698,3.13003443,43.54427736,139.0536089,261.4899273,43.54427736,139.0536089,261.4899273,,,,,,
Pakistan,2017,0.767463234,1.772365042,3.869124175,64.11555841,148.0672549,323.2351024,64.11555841,148.0672549,323.2351024,0.002444942,10.2626,68.72182,5082.953393,21335605.3,142870386.3
Palestine,2017,1.123279284,1.58856728,3.806274671,93.84120999,132.7123876,317.9845172,93.84120999,132.7123876,317.9845172,0.6739606,1.687861,24.47483,30023.63051,75190.91622,1090305.951
Panama,2017,1.127964764,2.572188976,4.942683149,94.23264526,214.8862971,412.9225689,94.23264526,214.8862971,412.9225689,1.254787,6.792626,18.20763,51531.22863,278957.5947,747745.6686
Paraguay,2017,0.949812696,3.323981441,3.890018337,79.34943156,277.6926851,324.9806464,79.34943156,277.6926851,324.9806464,0.5771145,13.73829,17.99252,39630.81053,943416.892,1235557.504
Peru,2017,0.654051742,1.877654699,3.434410289,54.64091415,156.8633834,286.9181528,54.64091415,156.8633834,286.9181528,0.2627768,6.075185,18.99968,82628.31744,1910299.215,5974315.808
Philippines,2017,1.157734234,2.432478729,4.31059254,96.71965196,203.2145973,360.1163358,96.71965196,203.2145973,360.1163358,2.594308,30.5501,62.99233,2728518.402,32130537.33,66251089.53
Poland,2017,0.397012866,1.961194354,3.085725241,33.16732385,163.842469,257.7882407,33.16732385,163.842469,257.7882407,0.1237441,0.5078903,0.7557152,46991.60666,192870.4577,286981.5323
Portugal,2017,0.417757991,1.852041096,2.688893108,34.90041695,154.7235669,224.6360157,34.90041695,154.7235669,224.6360157,0.1087342,0.4613587,0.9315825,11199.9488,47521.33018,95955.79225
Qatar,2017,0.672414103,1.145862081,3.114980135,56.17494595,95.72782631,260.2322586,56.17494595,95.72782631,260.2322586,,,,,,
Romania,2017,0.508367756,2.270100831,3.306929616,42.47015507,189.6491922,276.2681384,42.47015507,189.6491922,276.2681384,0.8362158,6.822009,11.49002,163793.6946,1336260.399,2250606.633
Russia,2017,0.621210643,2.26739908,3.398629832,51.89729684,189.423482,283.9289751,51.89729684,189.423482,283.9289751,0.001430126,0.2761463,1.500776,2066.485448,399022.4011,2168572.395
Rwanda,2017,0.437788938,1.250652866,3.539175932,36.57384611,104.4822779,295.6705039,36.57384611,104.4822779,295.6705039,3.438669,48.93661,89.62673,411984.7665,5863064.414,10738122.06
Saint Kitts and Nevis,2017,0.532858265,2.945083235,3.264072362,44.51614575,246.0386997,272.6877495,44.51614575,246.0386997,272.6877495,,,,,,
Saint Lucia,2017,1.050054834,2.526119288,3.613983516,87.7238792,211.0375345,301.9200932,87.7238792,211.0375345,301.9200932,4.198121,12.58736,19.22,7596.709856,22777.45729,34779.551
Saint Vincent and the Grenadines,2017,1.321630327,2.891147205,4.989123349,110.4118903,241.5327657,416.8022848,110.4118903,241.5327657,416.8022848,,,,,,
Sao Tome and Principe,2017,0.895221716,2.300461095,3.87640173,74.78878163,192.1855551,323.8430852,74.78878163,192.1855551,323.8430852,17.35673,65.72735,86.11516,35943.87859,136114.1118,178335.0237
Saudi Arabia,2017,0.882143852,1.846016241,4.185593785,73.6962282,154.2202374,349.6736663,73.6962282,154.2202374,349.6736663,,,,,,
Senegal,2017,0.744343569,1.630183001,3.014384301,62.18409098,136.1890561,251.8282624,62.18409098,136.1890561,251.8282624,6.92223,39.20356,72.84334,1067365.017,6044946.282,11231992.13
