Entity,Year,Value of world merchandise trade - rich to rich (CEPII Dyadic (2016)),Value of world merchandise trade - rich to non-rich (CEPII Dyadic (2016)),Value of world merchandise trade - non-rich to rich (CEPII Dyadic (2016)),Value of world merchandise trade - non-rich to non-rich (CEPII Dyadic (2016)),Share of world merchandise trade - rich to rich (CEPII Dyadic (2016)),Share of world merchandise trade - rich to non-rich (CEPII Dyadic (2016)),Share of world merchandise trade - non-rich to rich (CEPII Dyadic (2016)) ,Share of world merchandise trade - non-rich to non-rich (CEPII Dyadic (2016))
World,1903,1164705152.00000,257370976.00000,257044416.00000,29150578.00000,68.18034,15.06617,15.04705,1.70644
World,1904,1171517696.00000,287482560.00000,269362496.00000,32652332.00000,66.52514,16.32482,15.29587,1.85418
World,1905,1256314368.00000,320109440.00000,297272832.00000,35462416.00000,65.80460,16.76704,15.57088,1.85749
World,1906,1408240384.00000,378827648.00000,307127008.00000,38126356.00000,66.04260,17.76597,14.40341,1.78802
World,1907,1533554816.00000,405452224.00000,336814208.00000,43187184.00000,66.12977,17.48386,14.52406,1.86231
World,1908,1420840704.00000,381211392.00000,320194528.00000,37670340.00000,65.78219,17.64936,14.82439,1.74406
World,1909,1409740416.00000,387749824.00000,342537856.00000,39158828.00000,64.69112,17.79333,15.71861,1.79695
World,1910,1553338368.00000,454311296.00000,371498400.00000,43885816.00000,64.10717,18.74969,15.33195,1.81119
World,1911,1649348992.00000,478684128.00000,413262592.00000,47275176.00000,63.71659,18.49222,15.96489,1.82630
World,1912,1813759232.00000,537013632.00000,471222368.00000,54603480.00000,63.05222,18.66835,16.38123,1.89820
World,1913,1908886016.00000,577390080.00000,459778784.00000,40046548.00000,63.92569,19.33592,15.39729,1.34110
World,1914,1549606272.00000,443964160.00000,308951200.00000,20359514.00000,66.71053,19.11265,13.30034,0.87648
World,1915,1763701888.00000,355648832.00000,372981856.00000,20863440.00000,70.17765,14.15126,14.84094,0.83016
World,1916,2303181056.00000,466353984.00000,485106688.00000,23127678.00000,70.26672,14.22779,14.79990,0.70559
World,1917,2893404672.00000,558775296.00000,538728576.00000,35173992.00000,71.86650,13.87888,13.38096,0.87365
World,1918,2857005824.00000,631575744.00000,581478656.00000,52642068.00000,69.29935,15.31946,14.10431,1.27688
World,1919,3969080064.00000,880620224.00000,857703104.00000,49730888.00000,68.94194,15.29616,14.89809,0.86381
World,1920,4677876736.00000,1459059456.00000,1060676416.00000,79162648.00000,64.28503,20.05091,14.57619,1.08788
World,1921,2814355712.00000,939536640.00000,588190272.00000,58297768.00000,63.95710,21.35126,13.36681,1.32483
World,1922,2595792128.00000,728046528.00000,576068608.00000,46382684.00000,65.77804,18.44889,14.59773,1.17535
World,1923,2580995072.00000,846056064.00000,705685312.00000,60253604.00000,61.55500,20.17787,16.83012,1.43701
World,1924,3022076672.00000,1044979712.00000,778829248.00000,102566184.00000,61.07116,21.11731,15.73885,2.07269
World,1925,3046568448.00000,1094705536.00000,716972352.00000,124356072.00000,61.14412,21.97056,14.38952,2.49581
World,1926,2974395648.00000,1010253312.00000,673581888.00000,108691784.00000,62.39656,21.19299,14.13033,2.28012
World,1927,3115934720.00000,1077992448.00000,714026944.00000,122516352.00000,61.94122,21.42926,14.19404,2.43549
World,1928,3197291520.00000,1196468992.00000,767837760.00000,111191392.00000,60.63757,22.69139,14.56227,2.10878
World,1929,3238825472.00000,1236030208.00000,747831552.00000,110712968.00000,60.72722,23.17528,14.02167,2.07584
World,1930,2638800384.00000,960826304.00000,537502976.00000,93165960.00000,62.37863,22.71298,12.70604,2.20235
World,1931,2078139136.00000,726022656.00000,436281248.00000,63331360.00000,62.90197,21.97555,13.20554,1.91694
World,1932,1684293760.00000,628193344.00000,436447744.00000,64332888.00000,59.86966,22.32967,15.51391,2.28677
World,1933,1622541184.00000,616886080.00000,416640480.00000,70346320.00000,59.51191,22.62628,15.28163,2.58018
World,1934,1641794432.00000,657253120.00000,438960416.00000,75483608.00000,58.35434,23.36076,15.60198,2.68292
World,1935,1699556480.00000,732099712.00000,475178624.00000,80040408.00000,56.90082,24.51056,15.90889,2.67974
World,1936,1832955136.00000,762027520.00000,535088480.00000,82124928.00000,57.06237,23.72295,16.65803,2.55666
World,1937,2228408320.00000,941472128.00000,629138688.00000,93480064.00000,57.24878,24.18683,16.16285,2.40154
World,1938,1995018624.00000,872514880.00000,506960832.00000,77598528.00000,57.79157,25.27495,14.68561,2.24787
World,1939,1979224320.00000,854541184.00000,420221600.00000,51731256.00000,59.87275,25.85039,12.71196,1.56490
World,1940,2093847680.00000,738728512.00000,462977664.00000,39353240.00000,62.78579,22.15140,13.88278,1.18004
World,1941,2332188928.00000,768857280.00000,425135840.00000,41951296.00000,65.36160,21.54789,11.91480,1.17572
World,1942,2576854016.00000,660026048.00000,414028288.00000,53097056.00000,69.56939,17.81925,11.17785,1.43350
World,1943,3347352832.00000,544301824.00000,489141376.00000,69401576.00000,75.21807,12.23096,10.99145,1.55952
World,1944,3590558720.00000,628726336.00000,607284224.00000,84329136.00000,73.11409,12.80267,12.36605,1.71718
World,1945,2519070720.00000,745518912.00000,602061888.00000,93719640.00000,63.60693,18.82447,15.20216,2.36644
World,1946,3222561024.00000,1365189888.00000,826193472.00000,105823816.00000,58.38218,24.73274,14.96790,1.91718
World,1947,4679500800.00000,2497779456.00000,1251250432.00000,130912736.00000,54.67062,29.18156,14.61836,1.52945
World,1948,5434299904.00000,3558722304.00000,1609714048.00000,379899680.00000,49.48084,32.40317,14.65690,3.45909
World,1949,6174560256.00000,3569083392.00000,2681622528.00000,978522304.00000,46.06578,26.62742,20.00645,7.30034
World,1950,7201299456.00000,4698675200.00000,4867148800.00000,1667975680.00000,39.06298,25.48766,26.40153,9.04783
World,1951,9938166784.00000,6492819456.00000,6681411072.00000,2458114304.00000,38.86573,25.39183,26.12936,9.61308
World,1952,9485130752.00000,6783839232.00000,6226342400.00000,2555415552.00000,37.86369,27.08041,24.85494,10.20096
World,1953,9345346560.00000,5902973952.00000,6349910528.00000,2313563904.00000,39.08258,24.68645,26.55556,9.67541
World,1954,9501450240.00000,6308197376.00000,6589092352.00000,2794400768.00000,37.71443,25.03935,26.15431,11.09191
World,1955,10919857152.00000,7172358144.00000,7319161344.00000,3570161664.00000,37.67867,24.74802,25.25456,12.31875
World,1956,12304242688.00000,7794081792.00000,8137913344.00000,5543528960.00000,36.42489,23.07323,24.09109,16.41080
World,1957,12947249152.00000,9066493952.00000,8637563904.00000,4005888000.00000,37.35804,26.16050,24.92286,11.55860
World,1958,11860741120.00000,8782737408.00000,8324226048.00000,3743213056.00000,36.25927,26.84956,25.44785,11.44332
World,1959,13200916480.00000,8739861504.00000,8770865152.00000,3844299520.00000,38.20158,25.29192,25.38164,11.12486
World,1960,14979682304.00000,10219501568.00000,10044433408.00000,5015983616.00000,37.20773,25.38401,24.94916,12.45910
World,1961,15816709120.00000,10709310464.00000,10515196928.00000,4273661696.00000,38.28333,25.92120,25.45136,10.34412
World,1962,17048914944.00000,11097782272.00000,11766483968.00000,4443973120.00000,38.43555,25.01915,26.52669,10.01862
World,1963,18821400576.00000,11726796800.00000,13013402624.00000,4690802176.00000,39.00614,24.30303,26.96944,9.72139
World,1964,21517619200.00000,12881693696.00000,14437327872.00000,5391065088.00000,39.68012,23.75482,26.62353,9.94153
World,1965,23691976704.00000,14272749568.00000,15321478144.00000,5859090944.00000,40.05725,24.13167,25.90481,9.90627
World,1966,26684188672.00000,15298420736.00000,17098854400.00000,6470598656.00000,40.70686,23.33782,26.08439,9.87093
World,1967,28894193664.00000,16007496704.00000,18184730624.00000,6901862912.00000,41.28433,22.87168,25.98253,9.86146
World,1968,37563330560.00000,20246900736.00000,23207008256.00000,9220219904.00000,41.62721,22.43736,25.71771,10.21773
World,1969,43144777728.00000,23318124544.00000,26338424832.00000,10242688000.00000,41.87024,22.62929,25.56036,9.94011
World,1970,49480556544.00000,27536852992.00000,30198138880.00000,11660968960.00000,41.62349,23.16425,25.40295,9.80931
World,1971,55902552064.00000,30930051072.00000,33384140800.00000,13213005824.00000,41.89662,23.18078,25.02001,9.90259
World,1972,65178644480.00000,34168350720.00000,39039795200.00000,15115924480.00000,42.46091,22.25912,25.43264,9.84733
World,1973,88724996096.00000,47451283456.00000,57311162368.00000,22772848640.00000,41.02695,21.94175,26.50101,10.53030
World,1974,121735495680.00000,70195847168.00000,98787188736.00000,40972050432.00000,36.70152,21.16305,29.78293,12.35249
World,1975,129893130240.00000,86808322048.00000,101938585600.00000,45340430336.00000,35.68684,23.84972,28.00661,12.45683
World,1976,180115685376.00000,114675580928.00000,148274233344.00000,64381837312.00000,35.49446,22.59852,29.21963,12.68739
World,1977,207608971264.00000,138461200384.00000,175365144576.00000,77076750336.00000,34.68752,23.13424,29.30019,12.87806
World,1978,224433373184.00000,152582602752.00000,175988523008.00000,77827719168.00000,35.57735,24.18751,27.89783,12.33731
World,1979,253520183296.00000,166490439680.00000,208015720448.00000,91599650816.00000,35.22944,23.13569,28.90609,12.72879
World,1980,269890682880.00000,186765590528.00000,235954896896.00000,109382385664.00000,33.65248,23.28767,29.42105,13.63881
World,1981,304474587136.00000,224068288512.00000,256273367040.00000,132750745600.00000,33.18282,24.41983,27.92966,14.46769
World,1982,335506931712.00000,238054948864.00000,269300547584.00000,143731965952.00000,34.00657,24.12896,27.29597,14.56850
World,1983,392810135552.00000,261188583424.00000,293805359104.00000,153906970624.00000,35.65455,23.70754,26.66810,13.96981
World,1984,503917019136.00000,299182555136.00000,358487916544.00000,174230159360.00000,37.72349,22.39696,26.83659,13.04296
World,1985,555638128640.00000,307670515712.00000,376508940288.00000,173269090304.00000,39.32088,21.77294,26.64443,12.26175
World,1986,562918391808.00000,292821073920.00000,349238689792.00000,147376160768.00000,41.62507,21.65269,25.82450,10.89775
World,1987,583447937024.00000,302913454080.00000,378255474688.00000,157277536256.00000,41.03314,21.30351,26.60222,11.06113
World,1988,618060185600.00000,323608870912.00000,387514793984.00000,168472018944.00000,41.26851,21.60769,25.87476,11.24905
World,1989,723788496896.00000,381640409088.00000,462745370624.00000,206825652224.00000,40.77682,21.50087,26.07016,11.65215
World,1990,751116025856.00000,414627364864.00000,484005478400.00000,225945698304.00000,40.04469,22.10527,25.80407,12.04598
World,1991,1101661470720.00000,336364601344.00000,348520873984.00000,179867533312.00000,56.02387,17.10548,17.72367,9.14698
World,1992,1158967459840.00000,396816056320.00000,381788618752.00000,229972279296.00000,53.46915,18.30717,17.61388,10.60981
World,1993,1216774275072.00000,503005642752.00000,457827057664.00000,293942198272.00000,49.23124,20.35184,18.52389,11.89304
World,1994,1355803656192.00000,547753263104.00000,513475641344.00000,339735347200.00000,49.18092,19.86940,18.62600,12.32368
World,1995,1551522856960.00000,634729660416.00000,600145002496.00000,417729380352.00000,48.42264,19.80976,18.73038,13.03723
World,1996,1594261241856.00000,681245540352.00000,649017098240.00000,464674062336.00000,47.03949,20.10049,19.14958,13.71044
World,1997,1541267783680.00000,677790941184.00000,657649041408.00000,470111256576.00000,46.05172,20.25180,19.64997,14.04651
World,1998,1572318871552.00000,630373810176.00000,644619567104.00000,417022115840.00000,48.16660,19.31095,19.74735,12.77511
World,1999,1700641898496.00000,649163505664.00000,723466911744.00000,450729050112.00000,48.25883,18.42121,20.52970,12.79026
World,2000,1922496069632.00000,780956205056.00000,948538114048.00000,602269876224.00000,45.18990,18.35704,22.29619,14.15687
World,2001,1940532494336.00000,787682951168.00000,961009942528.00000,619007967232.00000,45.04242,18.28320,22.30636,14.36802
World,2002,1898649878528.00000,778564337664.00000,964643061760.00000,649697558528.00000,44.24154,18.14178,22.47771,15.13898
World,2003,2002695356416.00000,819587973120.00000,1052020899840.00000,761105940480.00000,43.20427,17.68102,22.69531,16.41939
World,2004,2073049038848.00000,903405174784.00000,1167348596736.00000,910267645952.00000,41.01741,17.87480,23.09720,18.01058
World,2005,2246815514624.00000,1022427725824.00000,1389049675776.00000,1119029559296.00000,38.89026,17.69726,24.04314,19.36935
World,2006,2445475053568.00000,1150804819968.00000,1593285672960.00000,1368970362880.00000,37.28691,17.54667,24.29331,20.87311
World,2007,2529992376320.00000,1265123459072.00000,1643067867136.00000,1506603827200.00000,36.43009,18.21688,23.65901,21.69402
World,2008,2978512109568.00000,1617146281984.00000,2070070689792.00000,2079336824832.00000,34.05935,18.49210,23.67130,23.77726
World,2009,2682359644160.00000,1516258590720.00000,1829752274944.00000,1913978617856.00000,33.77287,19.09081,23.03792,24.09839
World,2010,2962896191488.00000,1798874071040.00000,2212306616320.00000,2399638388736.00000,31.60856,19.19062,23.60117,25.59965
World,2011,3285851308032.00000,2050965110784.00000,2531008446464.00000,2898601967616.00000,30.51942,19.04964,23.50834,26.92260
World,2012,3213076987904.00000,2111735988224.00000,2559008309248.00000,3132723560448.00000,29.16592,19.16877,23.22877,28.43653
World,2013,3244173819904.00000,2198516924416.00000,2550867951616.00000,3252403044352.00000,28.84746,19.54939,22.68252,28.92063
World,2014,3140399661056.00000,2073527844864.00000,2422774956032.00000,3099556839424.00000,29.25041,19.31332,22.56629,28.86999
