Entity,Year,Estimated HIV resource availability for low- and middle-income countries (million US$),Estimated resource needs for fast-track targets (million US$)
West and Central Africa,2009,2082,
West and Central Africa,2010,1914,
West and Central Africa,2011,1969,
West and Central Africa,2012,2146,
West and Central Africa,2013,2443,
West and Central Africa,2014,2114,
West and Central Africa,2015,2113,
West and Central Africa,2016,2112,
West and Central Africa,2018,,4128
West and Central Africa,2019,,4148
West and Central Africa,2020,,3980
West and Central Africa,2021,,3947
West and Central Africa,2022,,3945
West and Central Africa,2023,,3951
West and Central Africa,2024,,3965
West and Central Africa,2025,,3985
West and Central Africa,2026,,3977
West and Central Africa,2027,,3967
West and Central Africa,2028,,3971
West and Central Africa,2029,,3964
West and Central Africa,2030,,3960
World,2006,10001,
World,2007,11990,
World,2008,15279,
World,2009,15355,
World,2010,15580,
World,2011,17575,
World,2012,18096,
World,2013,19138,
World,2014,18765,
World,2015,18683,
World,2016,19119,
World,2018,,25721
World,2019,,26037
World,2020,,26172
World,2021,,25265
World,2022,,25324
World,2023,,25399
World,2024,,25486
World,2025,,25578
World,2026,,25242
World,2027,,24587
World,2028,,24913
World,2029,,24259
World,2030,,23925
