Entity,Year,Tin,Iron,Coal,Wool/Textiles,Leather,Foodstuffs,Construction,Printed books
England,1402,48.36,,,23.87,48.36,3.79,8.27,
England,1403,47.52,,,25.40,48.75,3.91,8.29,
England,1404,46.70,,,26.66,49.27,4.01,8.30,
England,1405,45.90,,,24.97,49.14,4.10,8.31,
England,1406,45.11,,,22.22,46.93,3.62,8.32,
England,1407,44.33,,,21.93,46.48,3.67,8.34,
England,1408,44.41,,,21.59,44.27,3.14,8.35,
England,1409,44.50,,,19.34,43.41,3.43,8.36,
England,1410,44.58,,,18.47,43.59,3.92,8.15,
England,1411,44.66,,,21.45,43.68,3.68,8.17,
England,1412,44.75,,,21.53,42.24,3.52,8.18,
England,1413,42.93,,,17.87,42.46,2.97,8.19,
England,1414,49.65,,,23.17,44.42,3.57,8.20,
England,1415,48.39,,,28.93,43.58,3.55,8.22,
England,1416,45.52,,,29.73,43.82,3.33,8.23,
England,1417,39.88,,,30.77,46.71,4.03,8.24,
England,1418,34.94,,,30.42,47.12,3.72,8.25,
England,1419,35.89,,,31.46,47.80,4.06,8.27,
England,1420,36.85,,,31.30,46.54,3.86,8.39,
England,1421,37.85,,,32.09,45.41,3.31,8.40,
England,1422,38.87,,,31.82,43.75,3.54,8.42,
England,1423,39.92,,,30.26,44.09,3.94,8.43,
England,1424,36.62,,,29.22,44.34,4.13,8.44,
England,1425,39.50,,,29.69,43.04,3.81,8.45,
England,1426,36.55,,,28.34,42.25,3.71,8.47,
England,1427,36.13,,,25.02,42.67,3.65,8.48,
England,1428,31.65,,,21.43,42.57,3.43,8.49,
England,1429,37.54,,,23.16,43.39,3.52,8.51,
England,1430,35.85,,,25.15,43.34,3.72,8.63,
England,1431,37.75,,,26.75,45.45,3.66,8.63,
England,1432,32.49,,,25.31,45.98,3.70,8.63,
England,1433,31.51,,,27.38,47.21,3.86,8.62,
England,1434,34.59,,,32.74,48.61,4.08,8.62,
England,1435,28.92,,,26.81,46.65,3.48,8.62,
England,1436,31.16,,,21.28,44.61,3.20,8.62,
England,1437,25.63,,,25.75,44.93,2.86,8.62,
England,1438,29.97,,,27.37,45.67,3.01,8.61,
England,1439,29.41,,,27.57,46.28,3.31,8.61,
England,1440,26.40,,,19.23,45.85,3.65,8.50,
England,1441,28.36,,,17.81,46.57,2.89,8.50,
England,1442,24.09,,,25.68,47.71,2.92,8.50,
England,1443,26.96,,,22.60,47.51,4.27,8.49,
England,1444,26.79,,,17.68,47.59,4.42,8.49,
England,1445,26.61,,,22.29,47.46,3.24,8.49,
England,1446,26.33,,,21.03,48.09,3.68,8.49,
England,1447,30.25,,,21.92,48.66,3.77,8.49,
England,1448,28.57,,,24.36,49.32,3.92,8.49,
England,1449,30.04,,,25.21,50.01,3.32,8.48,
England,1450,29.20,,,23.97,50.14,3.53,8.48,
England,1451,27.17,,,22.79,51.27,3.66,8.53,
England,1452,26.96,,,23.96,49.20,3.59,8.57,
England,1453,26.47,,,24.26,49.09,3.68,8.61,
England,1454,26.40,,,26.26,48.63,3.67,8.66,
England,1455,25.77,,,23.69,48.61,3.74,8.70,
England,1456,25.70,,,24.03,48.58,3.82,8.75,
England,1457,25.12,,,26.94,48.45,3.17,8.79,
England,1458,24.55,,,24.85,48.84,3.66,8.84,
England,1459,24.00,,,22.47,48.28,3.70,8.88,
England,1460,23.46,,,24.92,47.60,3.69,9.04,
England,1461,23.84,,,24.47,47.92,3.74,9.08,
England,1462,24.23,,,23.51,47.62,4.49,9.13,
England,1463,23.88,,,25.05,48.15,4.59,9.18,
England,1464,23.60,,,22.81,49.01,3.95,9.22,
England,1465,27.03,,,22.64,50.09,3.73,9.27,
England,1466,33.96,,,22.81,50.87,3.53,9.32,
England,1467,33.96,,,21.52,51.10,3.82,9.37,
England,1468,33.18,,,20.44,51.34,4.25,9.41,
England,1469,32.42,,,20.15,51.50,4.17,9.46,
England,1470,34.73,,,20.25,51.83,3.93,9.84,
England,1471,32.49,,,23.85,51.90,3.56,9.89,
England,1472,35.71,,,22.76,51.81,3.77,9.94,
England,1473,35.02,,,20.33,51.98,3.85,9.99,
England,1474,34.33,,,21.13,52.16,4.23,10.04,
England,1475,33.66,,,20.56,52.38,4.06,10.09,
England,1476,33.00,,,18.58,52.54,3.56,10.14,0.19
England,1477,32.35,,,21.22,52.56,3.79,10.19,0.39
England,1478,33.26,,,23.61,52.88,3.97,10.24,0.13
England,1479,33.39,,,20.46,53.12,4.54,10.29,0.23
England,1480,33.52,,,20.41,53.42,4.80,10.67,0.48
England,1481,33.66,,,20.08,53.69,4.42,10.72,0.42
England,1482,33.79,,,19.96,54.15,4.06,10.77,0.29
England,1483,33.92,,,23.15,54.94,4.28,10.83,1.00
England,1484,34.05,,,23.91,55.01,4.28,10.88,0.39
England,1485,34.19,,,23.07,54.79,3.86,10.93,0.52
England,1486,34.32,,,21.19,53.80,5.01,10.98,0.16
England,1487,34.45,,,19.03,53.19,4.37,11.04,0.16
England,1488,36.61,,,18.69,53.09,4.51,11.09,0.10
England,1489,38.76,,,18.41,52.98,4.65,11.15,0.16
England,1490,40.92,6.82,,18.42,52.83,4.57,11.20,0.58
England,1491,42.19,7.03,,21.23,43.77,4.65,11.25,0.29
England,1492,42.28,7.05,,24.09,44.06,4.61,11.31,0.16
England,1493,42.42,7.07,,22.69,44.16,4.53,11.36,0.32
England,1494,42.51,7.09,,21.07,44.70,5.06,11.42,0.35
England,1495,39.99,6.92,,19.47,45.47,5.06,11.48,0.32
England,1496,42.19,7.54,,17.55,45.80,4.79,11.53,1.13
England,1497,44.31,8.17,,18.79,46.05,5.25,11.59,0.90
England,1498,43.06,8.19,,20.16,46.30,5.32,11.64,0.68
England,1499,41.93,8.21,,21.40,46.55,5.41,11.70,1.23
England,1500,38.94,7.85,,22.91,46.80,5.26,11.32,1.71
England,1501,43.47,9.01,,22.58,47.05,4.80,11.35,0.35
England,1502,42.38,9.02,,21.53,47.31,5.27,11.39,1.10
England,1503,41.39,9.04,,21.04,47.56,5.83,11.42,0.68
England,1504,41.11,9.25,,22.67,47.82,5.80,11.45,0.68
England,1505,42.06,9.27,,23.40,48.08,5.86,11.49,1.90
England,1506,43.01,9.29,,24.17,48.34,5.88,11.52,0.87
England,1507,44.05,9.31,,24.55,48.60,5.63,11.56,1.00
England,1508,46.00,9.51,8.76,23.02,48.86,5.87,11.59,1.71
England,1509,47.15,9.54,7.23,22.88,49.12,6.52,11.63,1.74
England,1510,48.31,9.55,7.63,23.13,49.39,5.95,11.44,2.93
England,1511,49.57,9.57,8.46,23.03,49.66,6.21,11.48,1.00
England,1512,50.84,9.59,9.38,24.20,49.92,5.45,11.51,1.16
England,1513,52.22,9.61,10.39,25.58,50.19,5.87,11.55,1.26
England,1514,54.68,9.82,10.76,25.19,50.46,5.75,11.59,0.90
England,1515,56.23,9.84,11.15,24.92,50.74,6.08,11.62,2.06
England,1516,55.32,9.88,11.55,25.05,51.01,5.95,11.66,1.23
England,1517,55.39,9.94,11.96,25.01,51.29,5.97,11.69,2.03
England,1518,54.41,9.98,12.39,25.53,51.56,6.04,11.73,1.77
England,1519,55.88,10.23,12.83,24.35,51.84,5.93,11.77,1.45
England,1520,56.09,10.27,13.29,23.27,52.12,5.78,11.91,2.90
England,1521,63.03,10.49,13.76,24.49,52.40,5.85,11.95,2.32
England,1522,48.32,10.90,14.25,26.75,52.68,6.43,11.99,1.81
England,1523,55.18,10.93,14.76,28.14,52.97,6.45,12.12,1.84
England,1524,59.87,11.15,15.29,28.41,53.26,6.63,12.25,1.03
England,1525,59.66,11.94,15.84,29.28,53.54,6.60,12.38,2.77
England,1526,58.19,11.98,16.40,29.46,53.83,6.88,12.51,2.19
England,1527,61.34,12.03,16.99,28.17,54.12,5.77,12.64,2.48
England,1528,60.08,12.08,17.59,28.09,54.41,6.11,12.78,2.51
England,1529,57.98,12.12,18.22,29.88,54.71,6.45,12.91,1.81
England,1530,55.46,12.17,18.87,30.37,55.00,6.81,13.05,3.58
England,1531,55.60,12.21,19.55,30.72,55.30,6.32,13.19,2.13
England,1532,55.53,13.99,20.25,31.56,55.60,6.95,13.33,2.51
England,1533,54.97,13.87,20.97,32.05,55.90,6.94,13.47,2.87
England,1534,57.00,14.84,21.72,31.98,56.20,7.92,13.61,2.80
England,1535,54.76,14.74,22.49,31.43,56.50,6.83,13.76,2.77
England,1536,47.13,14.83,23.30,31.19,56.81,7.03,13.90,2.32
England,1537,48.32,14.93,24.13,31.55,57.12,8.49,14.05,2.42
England,1538,51.54,15.02,24.99,32.49,57.42,7.36,14.20,3.26
England,1539,54.76,14.92,25.89,32.29,57.73,8.88,14.35,2.74
England,1540,55.04,15.62,26.81,31.70,58.05,8.31,14.50,3.74
England,1541,59.48,17.55,27.77,31.72,58.36,7.51,14.56,1.84
England,1542,57.28,17.55,28.76,31.62,58.67,8.44,14.76,2.77
England,1543,48.60,17.55,29.79,32.21,58.99,8.04,14.85,2.84
England,1544,52.66,18.34,30.85,36.36,59.31,8.81,15.02,2.80
England,1545,54.52,21.30,31.95,36.56,59.63,7.88,15.00,3.58
England,1546,56.37,23.46,33.10,36.76,59.95,7.98,14.99,3.77
England,1547,56.09,23.46,34.28,36.96,60.28,9.67,15.01,4.19
England,1548,47.27,29.56,35.50,37.16,60.60,9.20,15.23,7.99
England,1549,38.45,29.56,36.77,37.37,60.93,8.73,15.39,5.54
England,1550,42.22,30.55,38.08,37.57,61.26,8.52,15.60,7.64
England,1551,46.72,31.69,39.44,33.48,55.75,8.69,15.99,4.22
England,1552,51.63,32.67,40.85,33.67,54.16,7.98,16.27,4.42
England,1553,60.64,35.63,38.76,33.86,52.56,11.42,16.57,5.13
England,1554,56.02,35.63,36.77,34.07,54.22,9.78,16.88,3.45
England,1555,52.73,36.61,34.88,31.19,56.16,10.15,17.19,4.48
England,1556,52.52,37.60,11.72,28.63,54.79,7.32,17.64,3.45
England,1557,52.72,40.55,11.56,28.80,55.05,9.18,17.78,2.90
England,1558,49.29,40.55,11.41,35.81,59.22,14.07,17.57,2.68
England,1559,49.66,43.51,11.26,38.67,59.28,11.52,17.20,3.64
England,1560,48.17,44.78,11.11,52.75,66.49,10.40,17.25,5.25
England,1561,50.07,49.22,10.96,49.74,63.52,11.30,17.55,4.58
England,1562,45.90,51.19,10.81,50.79,65.38,11.52,17.93,5.19
England,1563,41.74,53.16,10.67,51.13,68.23,14.08,18.29,4.61
England,1564,47.55,56.80,10.52,47.49,64.98,13.46,18.55,2.84
England,1565,45.38,56.89,10.38,47.78,66.45,13.86,18.97,4.29
England,1566,46.99,56.51,11.42,52.55,71.19,16.91,19.32,4.51
England,1567,52.45,57.51,10.64,50.93,68.77,15.44,19.73,4.45
England,1568,36.55,60.48,12.45,50.81,68.58,16.48,20.21,3.71
England,1569,52.31,62.46,9.60,53.89,69.73,15.97,20.56,4.77
England,1570,39.99,64.03,13.20,57.01,73.70,13.84,20.90,8.41
England,1571,36.06,66.62,16.47,55.78,71.04,14.51,21.21,4.87
England,1572,35.64,67.61,16.42,59.96,74.46,13.40,21.63,5.64
England,1573,38.45,70.60,16.37,63.76,78.04,17.47,21.98,5.67
England,1574,37.11,83.43,16.32,65.38,80.84,13.49,22.34,5.29
England,1575,40.90,84.43,16.89,65.82,79.74,17.33,22.79,7.06
England,1576,44.96,87.99,17.49,66.45,77.82,18.86,23.26,5.67
England,1577,46.15,90.08,18.10,67.10,76.95,13.46,23.78,7.00
England,1578,40.13,88.93,18.74,67.70,76.71,18.86,24.29,6.93
England,1579,44.40,91.29,19.40,60.50,70.77,19.50,24.77,8.09
England,1580,51.40,97.00,20.08,58.06,69.25,17.90,25.31,9.93
England,1581,47.83,101.11,20.79,49.63,64.92,18.16,25.78,9.12
England,1582,47.13,98.95,21.53,37.88,58.19,16.10,26.34,6.38
England,1583,46.36,99.67,22.28,35.63,53.18,21.82,26.97,7.83
England,1584,45.59,100.48,23.07,35.93,50.62,21.19,27.59,8.32
England,1585,46.64,105.22,23.88,36.27,50.58,16.47,28.10,10.57
England,1586,45.94,105.24,20.47,52.48,57.72,14.18,28.71,7.70
England,1587,44.75,106.25,17.06,45.49,53.24,19.62,29.15,7.35
England,1588,46.57,108.19,19.25,50.19,54.82,23.94,29.35,7.67
England,1589,43.07,112.89,21.72,49.66,52.47,18.91,29.95,9.41
England,1590,44.26,116.49,24.51,50.08,53.23,21.74,30.64,10.64
England,1591,48.04,118.64,27.66,64.14,63.76,19.73,30.99,9.90
England,1592,49.58,121.38,32.01,62.18,65.04,23.44,31.36,9.77
England,1593,44.40,121.24,35.50,60.07,65.20,26.94,31.67,6.87
England,1594,48.04,120.30,39.64,54.91,61.56,17.80,32.29,8.74
England,1595,50.91,121.76,37.76,50.09,58.59,19.14,33.03,10.64
England,1596,46.08,121.24,41.32,50.40,58.16,17.34,33.60,10.15
England,1597,39.22,121.99,39.61,53.67,58.53,15.52,33.93,8.87
England,1598,33.33,121.51,40.96,61.85,65.50,22.34,34.06,9.16
England,1599,37.89,121.15,42.35,63.64,65.87,29.76,34.73,9.61
England,1600,39.99,118.94,43.79,65.51,67.18,26.99,35.52,12.99
England,1601,45.10,120.32,45.28,69.40,69.78,26.28,36.21,8.51
England,1602,51.68,119.38,46.83,68.40,68.65,29.31,36.74,10.32
England,1603,41.25,121.88,48.42,72.36,70.22,33.35,37.23,14.18
England,1604,43.21,121.59,50.07,73.78,73.03,37.49,37.63,12.77
England,1605,41.53,122.65,51.77,70.49,75.82,30.88,38.39,11.67
England,1606,39.29,120.90,53.53,78.90,83.62,33.20,39.07,12.77
England,1607,38.52,127.84,55.35,60.60,74.74,30.64,39.85,14.86
England,1608,40.62,129.57,56.22,60.83,78.29,27.40,40.52,11.51
England,1609,39.01,133.48,53.60,55.71,76.99,39.39,41.20,13.57
England,1610,38.31,136.89,50.98,53.62,75.14,45.20,41.66,12.31
England,1611,41.11,136.39,48.36,53.94,77.31,38.83,42.26,11.83
England,1612,40.76,136.53,53.41,36.14,62.08,39.48,42.82,13.83
England,1613,42.72,137.71,56.26,46.11,66.65,35.01,43.36,15.25
England,1614,43.56,137.77,55.28,47.69,69.80,32.08,43.72,13.70
England,1615,45.29,140.96,55.84,49.17,71.10,38.33,44.41,16.89
England,1616,45.32,138.78,52.60,52.66,72.15,34.35,44.93,14.70
England,1617,46.86,141.12,56.47,50.25,71.19,42.39,45.35,13.25
England,1618,47.35,140.22,62.11,48.10,69.19,42.81,46.01,16.22
England,1619,48.21,140.35,64.66,37.24,62.26,38.70,46.82,15.15
England,1620,49.64,142.01,67.20,35.56,61.66,52.74,47.64,18.09
England,1621,50.17,140.99,81.19,44.95,67.55,50.98,48.61,15.76
England,1622,50.71,139.97,70.31,45.05,68.11,40.49,49.87,17.25
England,1623,52.10,141.18,79.77,50.69,73.21,38.32,50.60,16.31
England,1624,51.57,137.13,45.94,52.92,76.27,51.37,50.70,17.47
England,1625,52.59,137.20,62.19,50.35,71.54,51.81,51.03,20.73
England,1626,50.54,135.39,63.63,50.60,68.03,47.38,50.81,13.09
England,1627,49.07,134.88,65.09,43.70,60.42,50.39,51.60,14.96
England,1628,47.76,134.63,66.59,45.64,59.82,64.72,53.10,17.28
England,1629,46.44,134.17,68.12,46.69,55.08,36.87,54.39,16.25
England,1630,47.15,139.52,72.87,46.60,51.63,35.77,54.67,21.21
England,1631,45.70,138.44,77.61,46.54,51.82,37.27,54.75,18.70
England,1632,43.36,134.37,82.35,45.83,51.50,49.43,55.90,16.25
England,1633,42.58,134.94,87.58,44.74,53.55,44.19,57.78,18.73
England,1634,40.95,132.63,74.51,37.55,48.53,49.95,58.96,17.25
England,1635,40.05,132.53,77.01,37.75,48.76,53.69,59.71,21.70
England,1636,39.38,133.07,71.89,37.39,48.19,48.77,58.92,17.34
England,1637,38.47,132.68,78.11,36.98,48.20,47.72,60.65,17.44
England,1638,37.54,132.10,91.68,49.00,56.57,53.07,60.76,18.96
England,1639,37.75,135.45,51.04,49.64,57.29,59.02,61.78,17.76
England,1640,37.61,134.58,30.62,49.42,60.24,63.63,62.31,25.56
England,1641,35.92,127.64,36.62,51.97,62.64,46.87,61.86,67.31
England,1642,38.03,126.06,43.79,42.02,59.69,57.70,63.13,132.75
England,1643,25.42,121.12,52.36,45.88,65.39,67.19,64.58,70.63
England,1644,8.54,114.68,62.61,40.61,62.81,70.36,64.48,45.26
England,1645,22.13,108.33,63.94,35.78,61.45,53.99,65.37,44.00
England,1646,10.99,104.58,65.29,38.97,64.87,54.53,65.71,47.61
England,1647,13.52,111.72,66.67,41.06,66.24,54.61,67.32,64.47
England,1648,,117.38,68.09,43.84,69.06,55.98,67.79,79.08
England,1649,15.76,119.74,69.53,45.96,75.53,50.91,68.42,58.16
England,1650,16.11,117.00,71.00,50.93,79.88,43.84,68.94,51.61
England,1651,15.86,109.81,72.50,52.11,79.36,49.67,69.43,40.84
England,1652,16.22,106.89,74.04,57.73,83.02,65.98,71.08,40.78
England,1653,16.65,104.15,75.61,59.28,82.97,82.17,71.57,47.87
England,1654,17.87,105.80,77.21,68.64,81.86,76.81,71.16,44.29
England,1655,19.24,107.47,74.17,69.48,83.68,86.63,72.86,44.71
England,1656,20.68,108.59,71.26,60.69,77.79,76.96,73.35,43.55
England,1657,21.82,107.23,68.46,60.90,76.37,68.37,73.99,43.94
England,1658,23.35,106.93,100.47,60.58,78.45,60.38,73.54,45.65
England,1659,24.94,105.86,87.59,30.85,60.34,47.19,73.37,70.34
England,1660,26.77,104.65,87.44,30.68,62.82,57.65,73.66,102.16
England,1661,29.56,105.63,101.85,44.27,68.40,57.27,74.72,57.19
England,1662,32.90,106.56,93.64,44.03,66.88,61.53,74.24,46.00
England,1663,37.10,107.74,101.40,85.16,89.47,71.06,74.32,47.20
England,1664,41.39,106.32,63.45,84.97,87.25,67.04,76.01,43.29
England,1665,47.05,105.08,42.99,84.39,85.41,73.56,75.72,41.23
England,1666,54.52,103.49,54.40,85.07,85.13,93.48,76.98,31.72
England,1667,63.80,99.72,96.31,84.15,84.80,88.38,75.77,34.04
England,1668,56.62,100.77,89.92,85.35,85.72,71.14,77.85,37.20
England,1669,49.44,103.09,98.64,76.43,78.45,78.75,78.39,36.23
England,1670,54.48,102.96,100.85,76.59,77.56,72.19,78.90,54.29
England,1671,62.32,103.65,80.16,69.31,72.61,69.49,79.00,51.74
England,1672,55.53,106.74,83.16,75.06,77.57,65.20,79.35,58.99
England,1673,66.95,106.92,90.77,73.94,75.91,67.42,80.46,58.93
England,1674,44.47,106.57,103.40,71.90,73.90,61.21,81.33,68.47
England,1675,80.88,103.28,101.33,67.98,73.01,62.23,81.98,66.96
England,1676,78.57,104.17,103.09,74.35,77.43,92.01,82.59,61.44
England,1677,94.12,104.06,113.28,74.56,78.46,73.98,83.38,61.93
England,1678,91.60,103.84,105.95,69.18,74.71,84.71,84.30,66.89
England,1679,74.30,102.45,107.70,64.96,71.63,73.80,84.72,83.56
England,1680,81.30,101.88,117.36,62.06,69.48,94.70,84.94,95.10
England,1681,82.70,98.04,102.06,70.60,73.14,72.00,84.65,90.33
England,1682,95.52,98.02,113.10,73.04,73.50,76.02,82.87,86.52
England,1683,98.53,98.02,110.98,73.16,77.77,90.78,83.34,84.91
England,1684,84.87,97.38,115.80,47.72,61.86,68.41,83.88,84.53
England,1685,95.94,97.71,96.61,55.80,67.27,84.02,85.71,94.55
England,1686,108.05,99.94,107.60,50.87,64.51,70.04,86.80,65.96
England,1687,102.24,99.68,90.87,48.34,64.76,91.37,86.49,70.41
England,1688,98.04,98.48,69.12,88.35,91.52,91.57,86.60,94.55
England,1689,104.55,97.94,69.12,84.93,89.84,86.19,89.00,112.19
England,1690,88.80,98.45,89.54,89.67,94.42,97.99,89.64,106.61
England,1691,91.67,97.57,78.95,86.12,92.42,104.97,91.32,83.53
England,1692,86.34,97.59,90.75,93.43,97.22,119.44,92.11,78.18
England,1693,88.80,97.60,85.89,90.80,96.23,81.73,93.28,76.63
England,1694,83.82,96.47,80.75,89.76,95.23,124.11,93.80,73.69
England,1695,88.17,96.43,86.36,96.66,99.91,106.41,94.54,98.23
England,1696,83.68,93.89,77.75,96.94,99.38,96.81,95.45,86.40
England,1697,74.79,96.51,92.14,92.24,96.32,97.27,96.80,68.15
England,1698,88.10,98.79,103.52,93.57,97.28,99.63,98.09,71.57
England,1699,100.35,98.34,109.31,94.90,97.52,86.70,99.11,71.18
England,1700,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
England,1701,95.31,98.98,118.75,102.75,103.26,101.90,81.51,81.82
