Entity,Year,Total tax (% of GDP) (OECD (2018)),"Taxes on income, profits, and capital gains (% of GDP) (OECD (2018))",Social security contributions (SSC) (% of GDP) (OECD (2018),Taxes on payroll and workforce (% of GDP) (OECD (2018)),Taxes on property (% of GDP) (OECD (2018)),Taxes on goods and services (% of GDP) (OECD (2018)),Other tax (% of GDP) (OECD (2018))
Austria,2006,40.4081459,11.5899858,13.7503757,2.5635171,0.5636600,11.4651299,0.3384270
Austria,2007,40.5476341,12.0849390,13.5408249,2.5586021,0.5535310,11.3429146,0.3268530
Austria,2008,41.3911095,12.6703224,13.6730137,2.6967599,0.5222900,11.3782005,0.3243620
Austria,2009,40.9802933,11.3803167,14.1063137,2.8270860,0.5246010,11.6878576,0.3429360
Austria,2010,40.9576378,11.4977484,13.9990501,2.8248911,0.5254820,11.6257582,0.3700030
Austria,2011,41.1186562,11.6319284,13.9776669,2.8232460,0.5081040,11.7619591,0.2939080
Austria,2012,41.7666855,11.9460869,14.0960293,2.8734930,0.5539730,11.8885040,0.3007880
Austria,2013,42.6349449,12.2848711,14.4624739,2.9295869,0.7226500,11.8467464,0.2873460
Austria,2014,42.7098885,12.5300636,14.5042877,2.9361830,0.5973630,11.7936478,0.2374430
Austria,2015,43.0979156,13.0033894,14.4753399,2.9145601,0.5704340,11.7996931,0.2140720
Austria,2016,42.2329292,11.8243294,14.6406050,2.9438770,0.5526700,11.9320507,0.2123370
Austria,2017,41.7743874,11.8269558,14.5493822,2.7752359,0.5244470,11.7598276,0.2131410
Bahamas,1990,9.6682844,,1.2724251,,0.3706130,7.3889179,0.6363270
Bahamas,1991,9.5054045,,1.2381880,,0.3873480,7.1817050,0.6981630
Bahamas,1992,10.5272131,,1.1667920,,0.3286330,7.6369061,1.3948820
Bahamas,1993,10.7439260,,1.3106660,,0.3922970,8.3845119,0.6564510
Bahamas,1994,11.1943359,,1.2417110,,0.4039190,8.9462795,0.6024260
Bahamas,1995,11.2934847,,1.2294390,,0.3046710,8.8973532,0.8620220
Bahamas,1996,11.1059856,,1.2319820,,0.4127560,8.5931129,0.8681350
Bahamas,1997,11.1814709,,1.3323630,,0.4596230,8.4418287,0.9476560
Bahamas,1998,11.3460894,,1.3312910,,0.4205780,8.6327991,0.9614210
Bahamas,1999,10.8247099,,1.3508810,,0.3863680,8.0858831,1.0015780
Bahamas,2000,11.9431047,,1.4271090,,0.3915330,8.9458418,1.1786220
Bahamas,2001,11.6731710,,1.3704290,,0.4011140,8.5498343,1.3517940
Bahamas,2002,10.0625124,,1.3680630,,0.3738700,7.5006089,0.8199710
Bahamas,2003,10.5635872,,1.3758590,,0.4183720,7.8267732,0.9425830
Bahamas,2004,10.5626707,,1.3861520,,0.4175460,7.7043180,1.0546550
Bahamas,2005,10.7794294,,1.3813260,,0.5478840,7.4783568,1.3718610
Bahamas,2006,12.2263460,,1.4656850,,0.5337820,8.3111496,1.9157280
Bahamas,2007,12.8068781,,1.4640690,,0.7446920,8.2895279,2.3085890
Bahamas,2008,13.5142488,,1.4740640,,0.6887710,8.8011665,2.5502470
Bahamas,2009,12.9208860,,1.6016890,,0.8472980,8.2569427,2.2149551
Bahamas,2010,12.6439934,,1.6589130,,0.9086190,7.8724980,2.2039630
Bahamas,2011,14.7698288,,1.8915430,,0.9147050,9.3698149,2.5937660
Bahamas,2012,13.8017721,,1.8939691,,0.8882510,9.4954901,1.5240610
Bahamas,2013,13.5957794,,2.1581640,,1.0841680,8.9861956,1.3672510
Bahamas,2014,13.5989246,,2.2316630,,0.9487190,9.0003290,1.4182140
Bahamas,2015,14.9326782,,2.2087121,,0.9074040,10.1981659,1.6183950
Bahamas,2016,16.7773247,,2.6185091,,0.8762880,12.4376202,0.8449080
Bahamas,2017,17.8965397,,2.7955699,,0.9914650,13.1866369,0.9228670
Barbados,1990,23.2177410,6.2585759,3.2982700,,0.9637850,10.2934761,2.4036341
Barbados,1991,27.3014908,7.1976080,3.5350530,,1.4938710,12.7098417,2.3651159
Barbados,1992,26.4043446,7.4208021,3.3794079,,1.3426540,12.2071991,2.0542810
Barbados,1993,25.3355713,6.8931112,3.0688140,,1.4921730,11.9690418,1.9124320
Barbados,1994,25.3297329,6.8435068,3.8616300,,1.3886670,11.2401953,1.9957340
Barbados,1995,27.3342762,8.1618309,4.0279179,,1.5693610,11.5700197,2.0051460
Barbados,1996,26.7141685,8.1259699,4.1854191,,1.3869090,11.2274284,1.7884420
Barbados,1997,30.2059765,8.0803633,4.2150412,,1.4875680,16.1455078,0.2774960
Barbados,1998,29.2646484,7.8598452,4.3719759,,1.4091570,15.3610191,0.2626520
Barbados,1999,29.2441692,8.3589687,4.6256371,,1.5293140,14.5100260,0.2202230
Barbados,2000,30.8088150,9.3836784,4.8276858,,1.5030420,14.8963766,0.1980330
Barbados,2001,31.6540928,10.0034351,5.0098028,,1.7620471,14.6088963,0.2699120
Barbados,2002,29.9878635,9.1960211,4.6859050,,1.5611269,14.3709393,0.1738720
Barbados,2003,31.2195263,9.5569696,4.8381891,,1.5558200,15.0417862,0.2267610
Barbados,2004,30.9550438,8.7976379,5.3384399,,1.6522100,14.9092369,0.2575180
Barbados,2005,29.3056278,8.1579838,5.2067189,,1.6249050,14.0508099,0.2652080
Barbados,2006,30.3388882,9.3204842,5.2205439,,1.7512050,13.7572002,0.2894550
Barbados,2007,29.2259254,9.3368912,5.1795979,,1.2213680,13.2352467,0.2528210
Barbados,2008,30.4175224,8.8141232,5.6109152,,1.2783480,14.5084867,0.2056490
Barbados,2009,31.3529377,10.4239445,5.8397589,,1.7267010,13.2160826,0.1464500
Barbados,2010,29.8046837,8.3555632,5.7593408,,1.2443690,14.2861452,0.1592660
Barbados,2011,30.3685513,8.4147644,5.6578689,,1.2024410,14.9649506,0.1285250
Barbados,2012,31.0045910,8.0430908,5.7194319,,1.6012501,15.5200987,0.1207180
Barbados,2013,27.5094318,6.5647912,5.4732919,,1.3345940,14.0270262,0.1097280
Barbados,2014,28.1001148,7.4625158,5.6561108,,1.2011811,13.6472073,0.1331000
Barbados,2015,30.9890003,7.6087580,5.8107538,,1.9724910,15.4907227,0.1062750
Barbados,2016,29.6481228,8.3915300,2.4517069,,1.9288549,16.7797623,0.0962660
Barbados,2017,31.8359756,8.1328907,3.1569419,,1.8854800,18.5673161,0.0933460
Belgium,1990,41.1723938,15.1939697,13.6754971,,1.5666000,10.7363253,
Belgium,1991,41.3865547,14.9623718,14.1962605,,1.5308280,10.6970968,
Belgium,1992,40.9608421,14.4174604,14.3875332,,1.5191690,10.6366806,
Belgium,1993,42.4047089,15.4039927,14.6010122,,1.6763610,10.7233429,
Belgium,1994,42.6843414,15.7077026,14.2821474,,1.7194920,10.9750004,
Belgium,1995,42.6094360,16.2415562,13.9644108,,1.6275719,10.7758970,
Belgium,1996,43.0196648,16.2055244,13.9983158,,1.7675080,11.0483170,
Belgium,1997,43.4506645,16.5954838,13.8130188,,1.9073880,11.1347723,
Belgium,1998,44.0843010,17.1561546,13.8689308,,2.0572340,10.6006832,
Belgium,1999,43.8928299,16.6479816,13.8109779,,2.0457690,11.0324860,
Belgium,2000,43.5373840,16.8152599,13.4131870,,2.0454490,10.8915968,
Belgium,2001,43.4542274,17.0175228,13.6129341,,1.9723210,10.4884186,
Belgium,2002,43.6270523,16.8888016,13.8196383,,1.9589180,10.5798588,0.0237400
Belgium,2003,43.1422691,16.4224720,13.7523289,,2.0340259,10.5164413,0.0226790
Belgium,2004,43.2145081,16.3970299,13.4362402,,2.2663059,10.7132378,0.0196510
Belgium,2005,43.1508446,15.6935520,13.2337208,0.0015090,3.0085001,10.8037796,0.0218630
Belgium,2006,42.9599571,15.5356874,13.1435823,0.0018980,3.1289210,10.7340279,0.0215820
Belgium,2007,42.7202377,15.3173437,13.2454729,0.0015960,3.0606370,10.6749249,0.0176090
Belgium,2008,43.2503662,15.5894136,13.6410761,0.0016380,3.0400839,10.5606613,0.0164940
Belgium,2009,42.3696976,14.3742313,14.1392117,0.0016920,2.9379461,10.5710144,0.0168870
Belgium,2010,42.6211395,14.5829706,13.8171539,0.0019170,3.0819190,10.7895765,0.0097510
Belgium,2011,43.1413841,14.9763803,13.9724932,0.0022420,3.1490109,10.6912231,0.0112110
Belgium,2012,44.1716003,15.2979059,14.2237902,0.0020130,3.2631991,11.0512228,0.0117160
Belgium,2013,45.1059532,15.9910870,14.3637476,0.0020140,3.5187099,10.9166594,0.0118010
Belgium,2014,45.0731201,16.1267204,14.2705173,0.0019750,3.5636799,10.7868500,0.0108480
Belgium,2015,44.8131523,15.9820423,14.2893629,0.0020230,3.5113170,10.6857214,0.0096270
Belgium,2016,44.0814934,15.6736717,13.7057648,0.0019640,3.5146410,10.8128281,0.0000240
Belgium,2017,44.5978889,16.2939911,13.5810251,0.0022870,3.5182650,10.8313494,0.0000230
Belize,1990,21.3501396,4.4385972,1.2100180,,0.7472390,14.9542847,
Belize,1991,20.4580536,4.1404891,1.2960240,,0.6145860,14.4069538,
Belize,1992,19.0748062,4.0779858,1.2762040,,0.6433950,13.0772200,
Belize,1993,20.1081486,5.0757880,1.2694730,,0.5645350,13.1983509,
Belize,1994,20.3619709,5.1311870,1.2752210,,0.7040330,13.2515297,
Belize,1995,19.4158134,4.5834079,1.2259240,,0.6554300,12.9510508,
Belize,1996,20.1910267,3.9726291,1.1669660,,0.7677700,14.2836618,
Belize,1997,19.9859085,3.8759050,1.1956199,,0.6332340,14.2811508,
Belize,1998,20.3060246,4.5395322,1.1781300,,0.7041880,13.8841763,
Belize,1999,18.2362442,4.2543249,1.1034530,,0.8014220,12.0770426,
Belize,2000,18.9125996,4.5211482,1.0925670,,0.7896570,12.5092268,
Belize,2001,20.3882008,4.3333011,1.7577840,,0.9735550,13.3235607,
Belize,2002,21.3389606,4.1626301,1.8542670,,0.9658060,14.3562574,
Belize,2003,22.0385418,4.6245341,2.0341451,,1.0760700,14.3037920,
Belize,2004,21.4538021,4.6539230,2.1774261,,0.9450120,13.6774406,
Belize,2005,21.7690525,5.6754079,2.2072980,,1.1937470,12.6925993,
Belize,2006,22.1983013,5.5868101,2.0370319,,1.1889870,13.3854733,
Belize,2007,25.0070686,6.8731050,2.0149000,,1.1803800,14.9386826,
Belize,2008,24.2672443,7.1062622,2.1158860,,0.9838060,14.0612898,
Belize,2009,25.1275558,7.8212128,2.2147319,,0.8910770,14.2005339,
Belize,2010,26.1971931,8.7466173,2.1249959,,0.7960910,14.5294876,
Belize,2011,24.6978798,8.3445330,2.0293450,,0.8509530,13.4730473,
Belize,2012,24.8241692,7.3413358,2.0375459,,0.8582270,14.5870609,
Belize,2013,25.3763981,7.5023532,2.0443139,,0.9561800,14.8735514,
Belize,2014,26.9631863,7.9093118,2.0918770,,1.0018409,15.9601564,
Belize,2015,26.5450592,7.1116638,2.1626191,,0.9737960,16.2969818,
Belize,2016,27.5042076,7.1298318,2.1873889,,0.8589840,17.3280029,
Belize,2017,28.1939373,7.1040230,2.1388490,,0.8372630,18.1138020,
Bolivia,1990,8.2677507,0.4377350,,,0.0051800,6.6819329,1.1429030
Bolivia,1991,8.7282495,0.4787760,,,0.0057490,7.1257100,1.1180151
Bolivia,1992,10.6691170,0.4992280,,,0.0040880,9.0183487,1.1474510
Bolivia,1993,11.6255922,0.6386210,,,0.0057240,9.6046572,1.3765910
Bolivia,1994,13.2328167,0.7005270,,,0.0043420,10.6761599,1.8517890
Bolivia,1995,13.8650436,0.7470120,,,0.0040330,11.0178127,2.0961859
Bolivia,1996,13.7258339,1.8302110,,,0.0039960,10.7657461,1.1258810
Bolivia,1997,14.4418716,2.1808729,,,0.0060030,11.2696066,0.9853890
Bolivia,1998,15.6770430,2.3994961,,,0.0064070,12.1730394,1.0980999
Bolivia,1999,14.8581133,2.5878301,,,0.0072680,10.8399391,1.4230760
Bolivia,2000,17.6292057,2.3285871,1.2834030,,0.0057770,12.6978464,1.3135930
Bolivia,2001,16.6005821,2.1825490,1.2052881,,0.0059490,11.8227577,1.3840390
Bolivia,2002,16.9203796,2.1077120,1.2698090,,0.0070570,12.1348228,1.4009800
Bolivia,2003,16.3823147,2.0476720,1.2443080,,0.0072690,11.5143576,1.5687079
Bolivia,2004,18.7095757,2.4289739,1.2584150,,0.4588800,11.8890743,2.6742330
Bolivia,2005,20.0664577,3.2065411,1.2158180,,0.8302630,13.2518749,1.5619600
Bolivia,2006,19.3059788,3.4421539,1.0966340,,0.4958160,12.8267927,1.4445820
Bolivia,2007,19.9787827,3.4845440,1.0764520,,0.3247280,13.6737328,1.4193259
Bolivia,2008,21.2555294,4.1865458,1.1162100,,0.2933870,14.0552406,1.6041451
Bolivia,2009,21.7307377,5.4255948,1.2446150,,0.2932800,12.8205194,1.9467289
Bolivia,2010,20.7260189,5.0345402,1.1930521,,0.2664000,12.8256950,1.4063309
Bolivia,2011,22.4996357,5.1771150,1.6034380,,0.2414100,14.1610889,1.3165820
Bolivia,2012,24.6480942,5.4673190,3.3870521,,0.2142090,14.1744318,1.4050810
Bolivia,2013,25.4642105,5.6739001,3.4344079,,0.1945190,14.5748510,1.5865330
Bolivia,2014,26.1644154,5.5656562,3.8130970,,0.1898650,14.8494549,1.7463419
Bolivia,2015,27.6036053,5.6496172,4.3160729,,0.1858520,15.2308426,2.2212210
Bolivia,2016,25.8969326,4.6436501,4.3708100,,0.1937890,14.2420788,2.4466050
Bolivia,2017,23.9386406,4.0830340,4.2375178,,0.1898650,13.0998077,2.3276451
Brazil,1990,25.5116920,4.6158538,6.1235991,0.3950920,1.6518101,12.1644115,0.5609250
Brazil,1991,21.0362720,3.3726840,5.4432530,0.3216180,1.1296480,10.2516079,0.5174620
Brazil,1992,22.0169811,4.0894861,5.4770832,0.3452940,1.0570860,10.3166666,0.7313650
Brazil,1993,22.9789639,4.2795529,6.2088299,0.3481660,1.0552011,10.7150126,0.3721990
Brazil,1994,26.4488449,4.5226860,6.2654672,0.5725540,2.0190890,12.7766848,0.2923630
Brazil,1995,26.6381893,5.1458201,6.6110330,0.6126880,1.3347239,12.6553030,0.2786220
Brazil,1996,26.0890846,4.9626589,6.8344040,0.5710350,1.2250170,12.2770786,0.2188910
Brazil,1997,26.2486954,4.8199272,6.6796260,0.5688540,2.0798471,11.8992004,0.2012420
Brazil,1998,26.8093719,5.4138718,7.0294738,0.4896490,2.1650100,11.4706316,0.2407340
Brazil,1999,28.1236610,5.6983910,6.6960831,0.5194400,2.1072700,12.8361368,0.2663390
Brazil,2000,29.5857182,5.7265830,6.9610171,0.5628430,2.4033179,13.6890240,0.2429340
Brazil,2001,30.6573009,6.0149469,7.0080652,0.5719910,2.5706220,14.1919994,0.2996760
Brazil,2002,31.4401112,6.3121181,7.2589660,0.5572870,2.6876919,14.3214808,0.3025660
Brazil,2003,30.9057255,6.2803178,7.1811152,0.5786300,2.6518240,13.9468699,0.2669690
Brazil,2004,31.8112183,6.1386790,7.4248939,0.6166830,2.6411970,14.6344194,0.3553450
Brazil,2005,32.7628441,6.8787651,7.7502751,0.6665400,2.5925610,14.6446867,0.2300150
Brazil,2006,34.7728233,6.7246490,7.7937779,0.7284820,2.7633171,14.5021887,2.2604101
Brazil,2007,35.0787926,7.0957270,7.8159289,0.7102550,2.8119919,14.3664284,2.2784600
Brazil,2008,33.6444740,7.5518131,7.7472019,0.7498260,1.8689930,14.8701992,0.8564420
Brazil,2009,32.0626793,7.0326610,8.1089687,0.7574320,1.8297970,13.4804211,0.8533990
Brazil,2010,32.3333168,6.6584630,8.0785580,0.8515540,1.9096900,13.9546871,0.8803630
Brazil,2011,33.1761589,7.1818209,8.2313547,0.7860220,1.9769630,14.1128197,0.8871770
Brazil,2012,32.3562012,6.6766582,8.3575478,0.8142920,1.9084960,13.8138380,0.7853690
Brazil,2013,32.3795319,6.7626872,8.2855930,0.8138360,1.8249640,13.8170204,0.8754310
Brazil,2014,31.6758213,6.6075001,8.2878761,0.8258270,1.8184540,13.2640629,0.8721020
Brazil,2015,31.9150028,6.6879048,8.3274212,0.8405720,2.0003600,13.1717997,0.8869450
Brazil,2016,32.0992279,7.2301340,8.3532543,0.8225320,1.9948950,12.7061386,0.9922720
Brazil,2017,32.2998161,6.9878030,8.4118319,0.8333200,2.0152140,13.0703259,0.9813230
Cameroon,1993,7.8192539,2.2556720,1.0094720,,0.1668940,4.3872161,
Cameroon,1994,8.0041142,2.0436370,0.9051630,,0.1379580,4.9173560,
Cameroon,1995,9.9524632,2.3837991,0.8307630,,0.1633310,6.5745702,
Cameroon,1996,10.0573616,2.3775790,0.8327380,,0.0862830,6.7550092,0.0057520
Cameroon,1997,10.2421980,2.4620750,0.8018980,,0.0791380,6.8990860,
Cameroon,1998,10.9442301,3.1171539,0.7949060,,0.0856010,6.9465690,
Cameroon,1999,10.7756786,2.6967020,0.8392100,0.1436620,0.1107820,6.9716649,0.0136580
Cameroon,2000,11.2890425,3.1770909,0.9123100,,0.1824640,7.0171781,
Cameroon,2001,12.5873337,3.8815751,0.9768060,,0.1723100,7.5566421,
Cameroon,2002,11.7613745,3.9463911,0.9803530,,0.1709900,6.6636400,
Cameroon,2003,12.2696676,3.2627931,0.9807000,0.5787920,0.1466010,7.1728458,0.1279360
Cameroon,2004,11.2777166,2.9551680,0.9467450,0.2789660,0.1249630,6.8959818,0.0758930
Cameroon,2005,11.9943476,3.4418001,0.8864620,0.0913280,0.1411610,7.2521992,0.1813980
Cameroon,2006,12.4063377,3.5405271,0.8281420,0.1095850,0.1551060,7.4935360,0.2794420
Cameroon,2007,12.8443995,3.9377019,0.8362780,0.0950640,0.1624280,7.5230012,0.2899260
Cameroon,2008,12.5300560,3.7619250,0.8441090,0.1070130,0.1554070,7.4421501,0.2194520
Cameroon,2009,13.1164923,4.2548280,0.8885470,0.1470280,0.1456740,7.4529438,0.2274720
Cameroon,2010,12.1381073,3.2879729,1.0483660,0.1379300,0.1390360,7.2936411,0.2311610
Cameroon,2011,13.0113096,3.6523049,1.0383050,0.2224350,0.0937160,7.7929468,0.2116010
Cameroon,2012,13.4544458,4.2898798,0.9929800,0.2720800,0.1015400,7.5837550,0.2142120
Cameroon,2013,14.1336489,4.3383079,1.0020120,0.2491500,0.1302490,8.1109734,0.3029560
Cameroon,2014,14.3897724,4.5386682,0.8896900,0.2714790,0.1216890,8.3836889,0.1845570
Cameroon,2015,14.6998634,4.7460508,0.8804410,0.2929760,0.1391100,8.3819332,0.2593530
Cameroon,2016,14.3622589,4.0364070,1.0518700,0.2765060,0.1594900,8.5988235,0.2391620
Canada,1990,35.1987228,17.0932789,4.2750468,0.7927340,3.5273819,9.0957994,0.4144840
Canada,1991,35.6295471,16.7621441,4.6824250,0.7989430,3.7237689,9.2244549,0.4378090
Canada,1992,35.1837769,15.7431421,4.9991422,0.7814730,3.9136789,9.2665167,0.4798210
Canada,1993,34.5548897,15.3066187,4.9055061,0.7703000,3.8881609,9.2185030,0.4658000
Canada,1994,34.5105400,15.4472456,5.0320382,0.7490860,3.8123100,9.0300493,0.4398110
Canada,1995,34.7401848,16.1321945,4.8607998,0.7787920,3.7039940,8.8255739,0.4388300
Canada,1996,35.0557175,16.5288105,4.9083390,0.7622290,3.6895850,8.7525749,0.4141810
Canada,1997,35.9119453,17.5419235,4.7806959,0.7368370,3.6823609,8.7735119,0.3966180
Canada,1998,35.8360786,17.3295193,4.9735999,0.7497970,3.7190061,8.8681440,0.1960110
Canada,1999,35.6087036,17.7523499,4.7659712,0.7366160,3.5821049,8.5698442,0.2018170
Canada,2000,34.7899323,17.4130630,4.7347498,0.7143270,3.3126230,8.4219341,0.1932350
