Entity,Year,Number of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones) ,Number of sovereign countries having elected first female MP (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones),Share of sovereign countries having elected first female MP (relative to 'ordered' milestones),Share of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Share of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Number of sovereign countries ,Number of sovereign countries having granted universal suffrage to women  ,Number of sovereign countries having elected first female MP ,Number of sovereign countries having had at least 10% women in parliament ,Number of sovereign countries having had at least 20% women in parliament,Number of sovereign countries having had at least 30% women in parliament ,Share of sovereign countries having granted universal suffrage to women ,Share of sovereign countries having elected first female MP  ,Share of sovereign countries having had at least 10% women in parliament ,Share of sovereign countries having had at least 20% women in parliament ,Share of sovereign countries having had at least 30% women in parliament
World,1922,14,11,,,,22.222221,17.460318,,,,63,14,15,,,,22.222221,23.809525,,,
World,1923,14,11,,,,21.875,17.1875,,,,64,14,15,,,,21.875,23.4375,,,
World,1924,15,11,,,,23.4375,17.1875,,,,64,15,15,,,,23.4375,23.4375,,,
World,1925,15,11,,,,23.4375,17.1875,,,,64,15,15,,,,23.4375,23.4375,,,
World,1926,15,11,,,,23.4375,17.1875,,,,64,15,15,,,,23.4375,23.4375,,,
World,1927,15,11,,,,23.4375,17.1875,,,,64,15,15,,,,23.4375,23.4375,,,
World,1928,17,13,,,,26.5625,20.3125,,,,64,17,15,,,,26.5625,23.4375,,,
World,1929,18,13,,,,28.125,20.3125,,,,64,18,15,,,,28.125,23.4375,,,
World,1930,19,13,,,,29.6875,20.3125,,,,64,19,15,,,,29.6875,23.4375,,,
World,1931,20,14,,,,31.25,21.875,,,,64,20,16,,,,31.25,25,,,
World,1932,22,14,,,,33.333332,21.212122,,,,66,22,16,,,,33.333332,24.242424,,,
World,1933,22,15,,,,33.333332,22.727272,,,,66,22,19,,,,33.333332,28.787878,,,
World,1934,24,16,,,,36.363636,24.242424,,,,66,24,20,,,,36.363636,30.30303,,,
World,1935,24,17,,,,36.363636,25.757576,,,,66,24,21,,,,36.363636,31.818182,,,
World,1936,24,17,,,,36.363636,25.757576,,,,66,24,21,,,,36.363636,31.818182,,,
World,1937,24,17,,,,36.363636,25.757576,,,,66,24,21,,,,36.363636,31.818182,,,
World,1938,24,17,,,,36.363636,25.757576,,,,66,24,21,,,,36.363636,31.818182,,,
World,1939,25,17,,,,37.878788,25.757576,,,,66,25,21,,,,37.878788,31.818182,,,
World,1940,25,18,,,,37.878788,27.272728,,,,66,25,22,,,,37.878788,33.333332,,,
World,1941,25,18,,,,37.313435,26.865671,,,,67,25,22,,,,37.313435,32.835819,,,
World,1942,26,20,,,,38.805969,29.850746,,,,67,26,24,,,,38.805969,35.820896,,,
World,1943,26,20,,,,38.235294,29.411764,,,,68,26,26,,,,38.235294,38.235294,,,
World,1944,29,21,,,,42.028984,30.434782,,,,69,29,27,,,,42.028984,39.130436,,,
World,1945,32,25,,,,45.070423,35.211269,,,,71,32,32,,,,45.070423,45.070423,,,
World,1946,40,33,1,,,54.054054,44.594593,1.3513514,,,74,40,39,1,,,54.054054,52.702702,1.3513514,,
World,1947,43,35,1,,,56.578949,46.052631,1.3157895,,,76,43,41,1,,,56.578949,53.947369,1.3157895,,
World,1948,49,40,3,,,60.493828,49.382717,3.7037036,,,81,49,45,3,,,60.493828,55.555557,3.7037036,,
World,1949,53,42,5,,,63.855423,50.602409,6.0240965,,,83,53,47,6,,,63.855423,56.626507,7.2289157,,
World,1950,55,44,7,1,,66.26506,53.012047,8.4337349,1.2048193,,83,55,49,8,1,,66.26506,59.036144,9.6385546,1.2048193,
World,1951,56,46,9,2,,66.666664,54.761906,10.714286,2.3809524,,84,56,51,10,2,,66.666664,60.714287,11.904762,2.3809524,
World,1952,59,50,12,2,,70.238098,59.523811,14.285714,2.3809524,,84,59,55,13,2,,70.238098,65.476189,15.476191,2.3809524,
World,1953,62,52,13,2,,72.093025,60.465115,15.116279,2.3255813,,86,62,56,13,2,,72.093025,65.11628,15.116279,2.3255813,
World,1954,64,54,15,3,,73.563217,62.068966,17.241379,3.4482758,,87,64,58,15,3,,73.563217,66.666664,17.241379,3.4482758,
World,1955,69,54,15,4,,79.310349,62.068966,17.241379,4.5977011,,87,69,58,15,4,,79.310349,66.666664,17.241379,4.5977011,
World,1956,70,57,15,4,,77.777779,63.333332,16.666666,4.4444447,,90,70,61,15,4,,77.777779,67.777779,16.666666,4.4444447,
World,1957,72,60,15,4,,78.260872,65.217392,16.304348,4.347826,,92,72,64,15,4,,78.260872,69.565216,16.304348,4.347826,
World,1958,74,62,15,4,,79.569893,66.666664,16.129032,4.3010755,,93,74,66,15,4,,79.569893,70.967743,16.129032,4.3010755,
World,1959,76,64,15,4,,81.720428,68.817207,16.129032,4.3010755,,93,76,68,15,4,,81.720428,73.118279,16.129032,4.3010755,
World,1960,90,67,15,5,,81.818184,60.909092,13.636364,4.5454545,,110,90,70,15,5,,81.818184,63.636364,13.636364,4.5454545,
World,1961,94,72,15,5,,83.185844,63.716816,13.274336,4.4247789,,113,94,75,15,5,,83.185844,66.371681,13.274336,4.4247789,
World,1962,102,78,15,5,,84.297523,64.462807,12.396694,4.1322312,,121,102,80,15,5,,84.297523,66.1157,12.396694,4.1322312,
World,1963,105,84,18,5,,86.065575,68.852463,14.754098,4.0983605,,122,105,86,18,5,,86.065575,70.491806,14.754098,4.0983605,
World,1964,111,89,18,5,,88.095238,70.634918,14.285714,3.9682539,,126,111,91,18,5,,88.095238,72.222221,14.285714,3.9682539,
World,1965,115,95,18,5,,89.147285,73.64341,13.953488,3.8759689,,129,115,97,18,5,,89.147285,75.193802,13.953488,3.8759689,
World,1966,119,98,20,5,,89.473686,73.684212,15.037594,3.7593985,,133,119,100,20,5,,89.473686,75.187973,15.037594,3.7593985,
World,1967,121,98,20,5,1,90.298508,73.134331,14.925373,3.7313433,.74626863,134,121,100,20,5,1,90.298508,74.626869,14.925373,3.7313433,.74626863
World,1968,125,99,21,6,1,90.579712,71.739128,15.217391,4.347826,.72463769,138,125,101,21,6,1,90.579712,73.188408,15.217391,4.347826,.72463769
World,1969,125,100,21,6,1,90.579712,72.463768,15.217391,4.347826,.72463769,138,125,102,21,6,1,90.579712,73.91304,15.217391,4.347826,.72463769
World,1970,128,103,21,7,2,91.428574,73.571426,15,5,1.4285715,140,128,105,21,7,2,91.428574,75,15,5,1.4285715
World,1971,129,106,22,9,2,89.583336,73.611115,15.277778,6.25,1.3888888,144,129,108,22,9,2,89.583336,75,15.277778,6.25,1.3888888
World,1972,130,108,22,11,2,90.277779,75,15.277778,7.6388888,1.3888888,144,130,110,22,11,2,90.277779,76.388885,15.277778,7.6388888,1.3888888
World,1973,132,110,23,12,2,91.034485,75.862068,15.862069,8.2758617,1.3793104,145,132,112,23,12,2,91.034485,77.241379,15.862069,8.2758617,1.3793104
World,1974,134,112,26,13,3,91.156464,76.190475,17.687075,8.8435373,2.0408163,147,134,115,26,13,3,91.156464,78.231293,17.687075,8.8435373,2.0408163
World,1975,139,116,27,13,3,91.447365,76.315788,17.763159,8.5526314,1.9736842,152,139,119,27,13,3,91.447365,78.289474,17.763159,8.5526314,1.9736842
World,1976,142,120,30,16,3,92.207794,77.922081,19.48052,10.38961,1.9480519,154,142,123,31,16,3,92.207794,79.870132,20.129869,10.38961,1.9480519
World,1977,144,124,32,17,3,92.903229,80,20.645161,10.967742,1.9354838,155,144,126,32,17,3,92.903229,81.290321,20.645161,10.967742,1.9354838
World,1978,147,125,34,18,3,93.037971,79.113922,21.518988,11.392406,1.8987342,158,147,127,34,18,3,93.037971,80.379745,21.518988,11.392406,1.8987342
World,1979,151,131,40,20,4,93.209877,80.864197,24.691359,12.345679,2.4691358,162,151,133,40,20,4,93.209877,82.098763,24.691359,12.345679,2.4691358
World,1980,154,135,44,23,6,93.902435,82.31707,26.829268,14.02439,3.6585367,164,154,137,44,23,6,93.902435,83.536583,26.829268,14.02439,3.6585367
World,1981,156,135,45,24,6,93.975906,81.325302,27.108435,14.457831,3.6144578,166,156,137,45,24,6,93.975906,82.530121,27.108435,14.457831,3.6144578
World,1982,156,137,46,24,6,93.975906,82.530121,27.710844,14.457831,3.6144578,166,156,139,46,24,6,93.975906,83.73494,27.710844,14.457831,3.6144578
World,1983,157,137,50,24,7,94.011978,82.035927,29.940121,14.371258,4.1916165,167,157,139,50,24,7,94.011978,83.233536,29.940121,14.371258,4.1916165
World,1984,158,140,52,24,7,94.047623,83.333336,30.952381,14.285714,4.1666665,168,158,142,52,24,7,94.047623,84.523811,30.952381,14.285714,4.1666665
World,1985,158,140,54,24,10,94.047623,83.333336,32.142857,14.285714,5.9523811,168,158,142,54,24,10,94.047623,84.523811,32.142857,14.285714,5.9523811
World,1986,161,142,57,25,11,94.705879,83.529411,33.529411,14.705882,6.4705882,170,161,144,57,25,11,94.705879,84.705879,33.529411,14.705882,6.4705882
World,1987,161,144,60,27,11,94.705879,84.705879,35.294117,15.882353,6.4705882,170,161,146,60,27,11,94.705879,85.882355,35.294117,15.882353,6.4705882
World,1988,161,144,65,27,12,94.705879,84.705879,38.235294,15.882353,7.0588236,170,161,146,65,27,12,94.705879,85.882355,38.235294,15.882353,7.0588236
World,1989,161,147,69,28,12,94.705879,86.470589,40.588234,16.470589,7.0588236,170,161,149,69,28,12,94.705879,87.647057,40.588234,16.470589,7.0588236
World,1990,162,149,69,28,11,95.857986,88.16568,40.828403,16.568047,6.5088758,169,162,150,69,28,11,95.857986,88.757393,40.828403,16.568047,6.5088758
World,1991,178,166,68,26,10,96.216217,89.729729,36.756756,14.054054,5.4054055,185,178,167,68,26,10,96.216217,90.270271,36.756756,14.054054,5.4054055
World,1992,179,170,74,25,10,96.236557,91.39785,39.784946,13.44086,5.3763442,186,179,171,74,25,10,96.236557,91.935486,39.784946,13.44086,5.3763442
World,1993,183,177,80,26,10,96.315788,93.157898,42.105263,13.684211,5.2631578,190,183,178,80,26,10,96.315788,93.684212,42.105263,13.684211,5.2631578
World,1994,185,179,86,31,11,96.858635,93.717278,45.026176,16.230366,5.7591624,191,185,179,86,31,11,96.858635,93.717278,45.026176,16.230366,5.7591624
World,1995,185,179,92,32,11,96.858635,93.717278,48.167538,16.753927,5.7591624,191,185,179,92,32,11,96.858635,93.717278,48.167538,16.753927,5.7591624
World,1996,185,180,95,33,11,96.858635,94.240837,49.73822,17.277487,5.7591624,191,185,180,95,33,11,96.858635,94.240837,49.73822,17.277487,5.7591624
World,1997,185,180,101,35,11,96.858635,94.240837,52.879581,18.324608,5.7591624,191,185,180,101,35,11,96.858635,94.240837,52.879581,18.324608,5.7591624
World,1998,185,180,105,37,12,96.858635,94.240837,54.973824,19.371727,6.2827225,191,185,180,105,37,12,96.858635,94.240837,54.973824,19.371727,6.2827225
World,1999,185,180,110,40,15,96.858635,94.240837,57.591621,20.942408,7.8534031,191,185,180,110,40,15,96.858635,94.240837,57.591621,20.942408,7.8534031
World,2000,185,180,114,43,15,96.858635,94.240837,59.685863,22.513088,7.8534031,191,185,180,114,43,15,96.858635,94.240837,59.685863,22.513088,7.8534031
World,2001,185,180,119,45,16,96.858635,94.240837,62.303665,23.560209,8.3769636,191,185,180,119,45,16,96.858635,94.240837,62.303665,23.560209,8.3769636
World,2002,186,181,125,48,18,96.875,94.270836,65.104164,25,9.375,192,186,181,125,48,18,96.875,94.270836,65.104164,25,9.375
World,2003,188,182,127,50,20,97.916664,94.791664,66.145836,26.041666,10.416667,192,188,182,127,50,20,97.916664,94.791664,66.145836,26.041666,10.416667
World,2004,188,182,137,54,21,97.916664,94.791664,71.354164,28.125,10.9375,192,188,182,137,54,21,97.916664,94.791664,71.354164,28.125,10.9375
World,2005,189,182,145,64,25,98.4375,94.791664,75.520836,33.333332,13.020833,192,189,182,145,64,25,98.4375,94.791664,75.520836,33.333332,13.020833
World,2006,190,183,146,69,25,98.445595,94.818649,75.647667,35.751297,12.953368,193,190,183,147,69,25,98.445595,94.818649,76.165802,35.751297,12.953368
World,2007,190,184,150,77,26,98.445595,95.336784,77.720207,39.896374,13.471502,193,190,184,151,78,26,98.445595,95.336784,78.238342,40.414509,13.471502
World,2008,190,185,150,80,30,98.445595,95.854919,77.720207,41.450779,15.544042,193,190,185,151,81,30,98.445595,95.854919,78.238342,41.96891,15.544042
World,2009,190,186,152,83,32,98.445595,96.373055,78.756477,43.00518,16.580311,193,190,186,153,84,32,98.445595,96.373055,79.274612,43.523315,16.580311
World,2010,190,186,156,87,32,98.445595,96.373055,80.829018,45.077721,16.580311,193,190,186,157,88,32,98.445595,96.373055,81.347153,45.595856,16.580311
World,2011,191,188,160,92,35,98.453606,96.907219,82.474228,47.42268,18.041237,194,191,188,161,93,35,98.453606,96.907219,82.989693,47.938145,18.041237
World,2012,191,188,162,97,39,98.453606,96.907219,83.505157,50,20.103092,194,191,188,164,98,39,98.453606,96.907219,84.536079,50.515465,20.103092
World,2013,191,188,164,99,45,98.453606,96.907219,84.536079,51.03093,23.195877,194,191,188,167,100,45,98.453606,96.907219,86.082474,51.546391,23.195877
World,2014,191,189,166,101,47,98.453606,97.422684,85.567009,52.061855,24.226805,194,191,189,168,102,47,98.453606,97.422684,86.597939,52.57732,24.226805
World,2015,191,189,167,103,52,98.453606,97.422684,86.082474,53.092785,26.804123,194,191,190,169,104,52,98.453606,97.938141,87.113403,53.608246,26.804123
World,2016,191,189,169,107,52,98.453606,97.422684,87.113403,55.15464,26.804123,194,191,190,171,108,52,98.453606,97.938141,88.144333,55.670105,26.804123
World,2017,191,189,171,110,54,98.453606,97.422684,88.144333,56.701031,27.835052,194,191,190,173,111,54,98.453606,97.938141,89.175255,57.216496,27.835052
