Entity,Year,Union density rate (Quality of Government (QoG) (2017))
Bulgaria,1997,32.60866758
Bulgaria,1998,29.68348476
Bulgaria,2000,23.01613558
Bulgaria,2003,23.16278105
Bulgaria,2005,18.61457588
Bulgaria,2007,17.19862824
Bulgaria,2008,17.28279774
Bulgaria,2009,16.97332666
Bulgaria,2012,17.5047608
Canada,1960,29.1625025
Canada,1961,28.51793457
Canada,1962,27.06867034
Canada,1963,26.76394533
Canada,1964,26.43881707
Canada,1965,26.70588235
Canada,1966,27.5686835
Canada,1967,29.58570769
Canada,1968,30.1530153
Canada,1969,30.10300305
Canada,1970,31.0251285
Canada,1971,30.78958362
Canada,1972,31.82123205
Canada,1973,33.07984791
Canada,1974,33.14688716
Canada,1975,34.34029851
Canada,1976,34.52698485
Canada,1977,35.07853403
Canada,1978,35.46928088
Canada,1979,34.57836443
Canada,1980,34.03370606
Canada,1981,33.912942
Canada,1982,36.79793741
Canada,1983,35.88999698
Canada,1984,35.89020086
Canada,1985,35.28783211
Canada,1986,34.5025345
Canada,1987,33.90210442
Canada,1988,33.3936038
Canada,1989,33.49382653
Canada,1990,34.02495231
Canada,1991,35.08348282
Canada,1992,35.73513731
Canada,1993,35.61703766
Canada,1994,34.98687349
Canada,1995,33.66921239
Canada,1996,33.80524891
Canada,1997,33.54245912
Canada,1998,31.77190067
Canada,1999,31.39188978
Canada,2000,30.75663754
Canada,2001,30.53803698
Canada,2002,30.25931376
Canada,2003,29.57771406
Canada,2004,29.58473064
Canada,2005,30.01054925
Canada,2006,29.7933718
Canada,2007,29.39960494
Canada,2008,29.55677708
Canada,2009,30.25894752
Canada,2010,30.02702109
Canada,2011,29.37560805
Canada,2012,29.23166023
Canada,2013,29.5
Chile,1965,22
Chile,1970,22
Chile,1973,29
Chile,1986,13.92933442
Chile,1987,14.72274378
Chile,1988,14.83940787
Chile,1989,16.06503041
Chile,1990,18.56846762
Chile,1991,20.61040813
Chile,1992,20.21661377
Chile,1993,17.89315982
Chile,1994,17.08084095
Chile,1995,15.84734429
Chile,1996,15.54490193
Chile,1997,14.42247882
Chile,1998,13.85767427
Chile,1999,13.54117345
Chile,2000,13.28515817
Chile,2001,13.12496066
Chile,2002,13.31281718
Chile,2003,14.14987273
Chile,2004,14.00779511
Chile,2005,13.52587493
Chile,2006,13.65350928
Chile,2007,13.92537087
Chile,2008,14.9616459
Chile,2009,15.84007967
Chile,2010,14.96501368
Chile,2011,14.86644804
Chile,2012,15.31688957
Chile,2013,15.03291413
China,1980,58.56640846
China,1981,62.56021646
China,1982,64.99069231
China,1983,66.81140416
China,1984,67.53158275
China,1985,68.99291928
China,1986,69.54712592
China,1987,70.65558759
China,1988,70.75911229
China,1989,76.80359634
China,1990,76.67158365
China,1991,75.94871008
China,1992,69.78481466
China,1993,68.53054078
China,1994,68.70833053
China,1995,69.75851892
China,1996,68.79016504
China,1997,62.25115899
China,2006,73.61831902
China,2008,30.40221815
China,2009,32.68888406
China,2010,34.7282121
China,2011,37.8022636
China,2012,41.16239442
China,2013,42.59992601
Croatia,1999,40
Croatia,2000,37.24957713
Croatia,2004,38.03122138
Croatia,2008,33.99875234
Croatia,2009,33.68536469
Croatia,2010,32.68247716
Croatia,2011,31.20124805
Croatia,2012,30.90494163
Cyprus,1990,76.04391335
Cyprus,1993,73.37332718
Cyprus,1995,72.6618705
Cyprus,1998,67.52931662
Cyprus,2000,65.06875477
Cyprus,2001,62.06514581
Cyprus,2002,63.10395995
Cyprus,2003,63.95067099
Cyprus,2004,62.67446742
Cyprus,2005,60.70820703
Cyprus,2006,58.68720143
Cyprus,2007,54.92882255
Cyprus,2008,54.35844563
Cyprus,2009,53.64757967
Cyprus,2010,50.70054988
Cyprus,2011,48.96859889
Cyprus,2012,47.3137023
Cyprus,2013,45.18722796
Czech Republic,1993,64.37965603
Czech Republic,1994,51.52860528
Czech Republic,1995,43.52355597
Czech Republic,1996,39.51762523
Czech Republic,1997,36.93919061
Czech Republic,1998,32.0585333
Czech Republic,1999,29.97017893
Czech Republic,2000,27.22872126
Czech Republic,2001,23.634814
Czech Republic,2002,22.2081142
Czech Republic,2003,22.28172203
Czech Republic,2004,20.98707539
Czech Republic,2005,19.70208229
Czech Republic,2006,18.69961553
Czech Republic,2007,17.91048407
Czech Republic,2008,17.41650318
Czech Republic,2009,17.17818395
Czech Republic,2010,16.63170512
Czech Republic,2011,15.82509343
Czech Republic,2012,14.34617265
Czech Republic,2013,12.7225455
Denmark,1960,56.91906005
Denmark,1961,57.83279743
Denmark,1962,58.07206068
Denmark,1963,58.45528455
Denmark,1964,58.45641646
Denmark,1965,58.19846426
Denmark,1966,58.05847953
Denmark,1967,57.36182336
Denmark,1968,58.18799547
Denmark,1969,59.22648859
Denmark,1970,60.30174197
Denmark,1971,62.22595174
Denmark,1972,61.49589184
Denmark,1973,62.206893
Denmark,1974,65.15415369
Denmark,1975,68.86940495
Denmark,1976,72.99874935
Denmark,1977,74.05840572
Denmark,1978,77.84317833
Denmark,1979,77.10393395
Denmark,1980,78.61254287
Denmark,1981,79.85570934
Denmark,1982,80.20783251
Denmark,1983,80.12487216
Denmark,1984,78.57581939
Denmark,1985,77.54765541
Denmark,1986,76.90813884
Denmark,1987,75.22378703
Denmark,1988,73.09333278
Denmark,1989,74.87431063
Denmark,1990,74.60396923
Denmark,1991,75.01421398
Denmark,1992,74.8901211
Denmark,1993,76.71868861
Denmark,1994,76.5086599
Denmark,1995,75.85980871
Denmark,1996,76.37057908
Denmark,1997,75.18392702
Denmark,1998,75.23459138
Denmark,1999,74.04949931
Denmark,2000,73.92608202
Denmark,2001,73.28863939
Denmark,2002,71.64997998
Denmark,2003,71.56176207
Denmark,2004,70.37229576
Denmark,2005,70.66847479
Denmark,2006,68.4161016
Denmark,2007,67.9380635
Denmark,2008,66.33594832
Denmark,2009,67.68863229
Denmark,2010,66.99731686
Denmark,2011,66.3572708
Denmark,2012,67.20419105
Denmark,2013,66.77298005
Estonia,1992,93.91560353
Estonia,1993,62.05064083
Estonia,1994,40.82299151
Estonia,1995,32.35143879
Estonia,1996,28.79425166
Estonia,1998,17.13586957
Estonia,2000,14.52346977
Estonia,2002,13.52201258
Estonia,2003,11.74039165
Estonia,2005,9.731007993
Estonia,2007,7.769352416
Estonia,2008,7.066844031
Estonia,2009,7.748476454
Estonia,2010,7.708013937
Estonia,2011,6.888470374
Estonia,2012,6.531087619
Finland,1960,31.8793985
Finland,1961,31.50273973
Finland,1962,35.29565522
Finland,1963,37.44887955
Finland,1964,37.02220727
Finland,1965,38.32084168
Finland,1966,39.56596167
Finland,1967,40.69467806
Finland,1968,41.02200264
Finland,1969,47.51251605
Finland,1970,51.29399381
Finland,1971,56.21228501
Finland,1972,60.81842264
Finland,1973,61.37377803
Finland,1974,63.1904185
Finland,1975,65.28251634
Finland,1976,67.55925926
Finland,1977,66.35339217
Finland,1978,66.93068812
Finland,1979,68.09590296
Finland,1980,69.38541667
Finland,1981,68.30517153
Finland,1982,68.42424242
Finland,1983,68.78134403
Finland,1984,68.98271605
Finland,1985,69.0803485
Finland,1986,70
Finland,1987,70.65164135
Finland,1988,72.30506823
Finland,1989,72.97760838
Finland,1990,72.54929912
Finland,1991,75.39690464
Finland,1992,78.39005943
Finland,1993,80.65280185
Finland,1994,80.33274956
Finland,1995,80.43626062
Finland,1996,80.4180602
Finland,1997,79.43478261
Finland,1998,77.99578059
Finland,1999,76.2716175
Finland,2000,74.9651186
Finland,2001,74.51630196
Finland,2002,73.49456099
Finland,2003,72.86995516
Finland,2004,71.45439945
Finland,2005,70.64842508
Finland,2006,70.35613245
Finland,2007,70.49665284
Finland,2008,69.76407907
Finland,2009,69.20785241
Finland,2010,68.61137441
Finland,2011,69.5514553
Finland,2012,69.78749649
Finland,2013,69.03917335
France,1960,19.64923172
France,1961,20.24986587
France,1962,19.11091087
France,1963,20.12633413
France,1964,19.73415852
France,1965,19.4747754
France,1966,18.8939466
France,1967,19.06392694
France,1968,20.41986005
France,1969,22.19282395
France,1970,21.69249106
France,1971,21.55954806
France,1972,21.58897791
France,1973,22.11168354
France,1974,21.74749359
France,1975,22.1506384
France,1976,21.29747201
France,1977,21.27586991
France,1978,20.51990527
France,1979,19.03641457
France,1980,18.2799472
France,1981,17.76921789
France,1982,17.00491561
France,1983,15.96345515
France,1984,14.9264542
France,1985,13.60699566
France,1986,12.47239399
France,1987,11.93284688
France,1988,11.22962803
France,1989,10.65365025
France,1990,9.826876207
France,1991,9.597695363
France,1992,9.608836167
France,1993,9.340645344
France,1994,8.933547805
France,1995,8.712071897
France,1996,8.285411015
France,1997,8.331321577
France,1998,8.182113073
France,1999,8.058788252
France,2000,7.970354024
France,2001,7.905037995
France,2002,8.055358734
France,2003,7.926990527
France,2004,7.725285435
France,2005,7.667617074
France,2006,7.58645115
France,2007,7.547652283
France,2008,7.565589795
France,2009,7.681807005
France,2010,7.735359887
France,2011,7.7278121
France,2012,7.747388687
France,2013,7.719737571
Germany,1960,34.67296636
Germany,1961,34.18444815
Germany,1962,33.83999806
Germany,1963,33.37412651
Germany,1964,33.07344493
Germany,1965,32.88681479
Germany,1966,32.46685304
Germany,1967,32.80981765
Germany,1968,32.24635854
Germany,1969,31.72484601
Germany,1970,32.02998115
Germany,1971,32.13307849
Germany,1972,32.36580162
Germany,1973,32.4322619
Germany,1974,33.74527967
Germany,1975,34.57936378
Germany,1976,35.10615105
Germany,1977,35.24403918
Germany,1978,35.5380411
Germany,1979,35.30386225
Germany,1980,34.89528803
Germany,1981,35.14598237
Germany,1982,35.02173367
Germany,1983,34.99908592
Germany,1984,34.89778499
Germany,1985,34.66611033
Germany,1986,33.91574197
Germany,1987,33.33016478
Germany,1988,33.11242129
Germany,1989,32.40996806
Germany,1990,31.21969691
Germany,1991,35.98748046
Germany,1992,33.86009104
Germany,1993,31.82211613
Germany,1994,30.37926848
Germany,1995,29.21773764
Germany,1996,27.75278896
Germany,1997,26.98212875
Germany,1998,25.94323457
Germany,1999,25.32283661
Germany,2000,24.57075559
Germany,2001,23.74760047
Germany,2002,23.50734605
Germany,2003,23.01838935
Germany,2004,22.17100847
Germany,2005,21.67862902
Germany,2006,20.71646576
Germany,2007,19.88737314
Germany,2008,19.1280786
Germany,2009,18.92669713
Germany,2010,18.5644806
Germany,2011,18.04588812
Germany,2012,17.8692334
Germany,2013,17.71325312
Greece,1977,35.84030908
Greece,1980,38.96882494
Greece,1983,38.93753649
Greece,1985,37.51412429
Greece,1990,34.11915768
Greece,1992,37.56449948
Greece,1995,31.30194838
Greece,1998,27.36932494
Greece,2001,24.90218371
Greece,2004,23.96254587
Greece,2005,24.08184754
Greece,2006,24.07274731
Greece,2008,23.54329019
Greece,2011,22.72231458
Greece,2013,21.51501569
Hungary,1979,94
Hungary,1987,97.77777778
Hungary,1990,83.09583333
Hungary,1995,49.11323329
Hungary,1998,27.5500164
Hungary,2001,19.98777506
Hungary,2003,17.88375559
Hungary,2005,17.46809151
Hungary,2007,15.09232955
Hungary,2008,14.5642682
Hungary,2012,10.7117353
Iceland,1979,67.15410574
Iceland,1980,66.23235613
Iceland,1983,75.62189055
Iceland,1985,78.52412488
Iceland,1991,87.91208791
Iceland,1992,87.51131222
Iceland,1993,86.51785714
Iceland,1994,87.35529831
Iceland,1995,87.30434783
Iceland,1996,87.17878105
Iceland,1997,87.72755672
Iceland,1998,88.07052233
Iceland,1999,87.41965397
Iceland,2000,89.4207531
Iceland,2001,88.09140334
Iceland,2002,92.46795362
Iceland,2003,95.16304105
Iceland,2004,99.06912408
Iceland,2005,95.56145977
Iceland,2006,91.5414329
Iceland,2007,87.10972551
Iceland,2008,79.31380764
Iceland,2013,80.70866142
India,2004,13.75941691
India,2009,12.8805874
India,2012,12.75430804
Indonesia,1960,19.99755102
Indonesia,1986,5
Indonesia,1997,4.954126441
Indonesia,2001,36.40937376
Indonesia,2002,27.06085309
Indonesia,2006,9.919733167
Indonesia,2007,9.225821757
Indonesia,2008,8.677688069
Indonesia,2009,8.495993929
Indonesia,2012,7.041985459
Ireland,1960,45.34829721
Ireland,1961,47.1201248
Ireland,1962,48.03215926
Ireland,1963,47.77760968
Ireland,1964,48.45022288
Ireland,1965,48.22910663
Ireland,1966,48.31988473
Ireland,1967,48.77044476
Ireland,1968,49.62093352
Ireland,1969,51.29247911
Ireland,1970,53.23430962
Ireland,1971,53.23961219
Ireland,1972,53.55555556
Ireland,1973,53.26506024
Ireland,1974,53.87075718
Ireland,1975,55.33992095
Ireland,1976,56.30677291
Ireland,1977,56.96511628
Ireland,1978,57.62921348
Ireland,1979,57.50956938
Ireland,1980,57.12223516
Ireland,1981,56.61020882
Ireland,1982,56.12195122
Ireland,1983,57.16886228
Ireland,1984,57.01466993
Ireland,1985,54.18146904
Ireland,1986,51.61953422
Ireland,1987,50.20714286
Ireland,1988,50.50600962
Ireland,1989,51.81982852
Ireland,1990,51.0746096
Ireland,1991,51.18730809
Ireland,1992,51.28525933
Ireland,1993,50.01335559
Ireland,1994,48.60038404
Ireland,1995,47.08181818
Ireland,1996,44.1938883
Ireland,1997,44.22549471
Ireland,1998,40.53647531
Ireland,1999,38.04389979
Ireland,2000,36.36764382
Ireland,2001,35.42485508
Ireland,2002,35.53238656
Ireland,2003,35.18060065
Ireland,2004,34.07813119
Ireland,2005,32.95488722
Ireland,2006,31.97835167
Ireland,2007,31.02047724
Ireland,2008,31.12203858
Ireland,2009,32.22009982
Ireland,2010,35.00823733
Ireland,2011,34.37812561
Ireland,2012,34.47748622
Ireland,2013,33.65146284
Israel,1968,80
Israel,1969,80
Israel,1970,80
Israel,1971,80
Israel,1972,80
Israel,1973,80
Israel,1974,80
Israel,1975,80
Israel,1976,80
Israel,1977,81
Israel,1978,82
Israel,1979,83
Israel,1980,84
Israel,1981,85
Israel,1982,84
Israel,1983,83
Israel,1984,81
Israel,1985,79
Israel,1986,77
Israel,1987,75
Israel,1988,73
Israel,1989,72
Israel,1990,71
Israel,1991,70.5
Israel,1992,70
Israel,1993,69.5
Israel,1994,68
Israel,1995,60.87650167
Israel,1996,52.8381376
Israel,2000,40.7885792
Israel,2007,32.75620028
Israel,2012,22.79693787
Italy,1960,24.67761245
Italy,1961,24.77642952
Italy,1962,25.22587932
Italy,1963,26.05902366
Italy,1964,26.57480629
Italy,1965,25.49571805
Italy,1966,25.31549554
Italy,1967,25.27072274
Italy,1968,31.43722734
Italy,1969,32.96069383
Italy,1970,36.96979159
Italy,1971,39.72528745
Italy,1972,41.78541104
Italy,1973,43.31892957
Italy,1974,46.21910734
Italy,1975,48.04586822
Italy,1976,50.46370968
Italy,1977,49.79964602
Italy,1978,50.4090168
Italy,1979,49.70567722
Italy,1980,49.58272984
Italy,1981,48.02897551
Italy,1982,46.68877833
Italy,1983,45.51532033
Italy,1984,45.31046096
Italy,1985,42.48508808
Italy,1986,40.3769018
Italy,1987,40.04565263
Italy,1988,39.81423517
Italy,1989,39.38371936
Italy,1990,38.80526003
Italy,1991,38.65659933
Italy,1992,38.87382347
Italy,1993,39.2250608
Italy,1994,38.72991012
Italy,1995,38.06985032
Italy,1996,37.35697819
Italy,1997,36.23302777
Italy,1998,35.68539983
Italy,1999,35.4015755
Italy,2000,34.80170173
Italy,2001,34.19613122
Italy,2002,33.78629822
Italy,2003,33.6716517
Italy,2004,34.1050576
Italy,2005,33.80991894
Italy,2006,33.57497151
Italy,2007,33.99333297
Italy,2008,33.8799003
Italy,2009,35.20456198
Italy,2010,36.04503825
Italy,2011,36.32918767
Italy,2012,36.86047808
Italy,2013,37.26874046
Japan,1960,32.89493671
Japan,1961,33.80225989
Japan,1962,34.5969919
Japan,1963,35.01871257
Japan,1964,35.46869345
Japan,1965,35.28164117
Japan,1966,34.749499
Japan,1967,34.40573103
Japan,1968,34.50762389
Japan,1969,35.16411379
Japan,1970,35.10284332
Japan,1971,34.57209848
Japan,1972,34.31168831
Japan,1973,33.46611342
Japan,1974,34.26450371
Japan,1975,34.53099287
Japan,1976,33.69881466
Japan,1977,32.99814274
Japan,1978,32.59541985
Japan,1979,31.75696594
Japan,1980,31.14832536
Japan,1981,30.8917513
Japan,1982,30.56612982
Japan,1983,29.75285171
Japan,1984,29.22391559
Japan,1985,28.79202411
Japan,1986,28.18680064
Japan,1987,27.71454381
Japan,1988,26.94358748
Japan,1989,26.13165206
Japan,1990,25.36711479
Japan,1991,24.78408637
Japan,1992,24.49892557
Japan,1993,24.34256055
Japan,1994,24.25324675
Japan,1995,23.96731902
Japan,1996,23.3953401
Japan,1997,22.78797997
Japan,1998,22.52794337
Japan,1999,22.18157944
Japan,2000,21.54406273
Japan,2001,20.88284597
Japan,2002,20.26073907
Japan,2003,19.73945642
Japan,2004,19.06442577
Japan,2005,18.79844243
Japan,2006,18.3497807
Japan,2007,18.25095057
Japan,2008,18.2204924
Japan,2009,18.45787546
Japan,2010,18.40380743
Japan,2011,18.99504195
Japan,2012,17.97238372
Japan,2013,17.78318026
Latvia,1992,46
Latvia,1995,27.39922775
Latvia,2003,20.23219303
Latvia,2006,16.93212714
Latvia,2007,16.59748035
Latvia,2008,15.09003538
Latvia,2010,14.99410554
Latvia,2011,13.57146074
Latvia,2012,13.12427007
Lithuania,1995,31.34676256
Lithuania,2001,16.82846715
Lithuania,2003,13.59841979
Lithuania,2006,10.95936604
Lithuania,2007,9.27344569
Lithuania,2008,9.632631942
Lithuania,2009,10.37769784
Lithuania,2010,10.04639543
Lithuania,2011,9.597250375
Lithuania,2012,8.986498334
Luxembourg,1970,46.82752458
Luxembourg,1971,45.92274678
Luxembourg,1972,45.07857734
Luxembourg,1973,45.01607717
Luxembourg,1974,45.63031709
Luxembourg,1975,45.72293717
Luxembourg,1976,46.71698113
Luxembourg,1977,47.66917293
Luxembourg,1978,48.94419306
Luxembourg,1979,49.4047619
Luxembourg,1980,50.7703595
Luxembourg,1981,52.17391304
Luxembourg,1987,49.70178926
Luxembourg,1993,44.40877475
Luxembourg,1997,42.38505747
Luxembourg,1998,43.66712391
Luxembourg,2003,42.80029477
Luxembourg,2004,42.24541202
Luxembourg,2005,41.38772664
Luxembourg,2006,40.12036108
Luxembourg,2007,38.31417625
Luxembourg,2008,36.45769933
Luxembourg,2009,35.9794748
Luxembourg,2010,35.10228283
Luxembourg,2011,33.86121509
Luxembourg,2012,32.81820736
Malaysia,1990,16.482
Malaysia,1991,16.16320126
Malaysia,1995,12.72801758
Malaysia,1996,12.00339296
Malaysia,1997,11.53287257
Malaysia,1998,11.7255505
Malaysia,1999,10.98556607
Malaysia,2000,10.66511202
Malaysia,2001,11.12328165
Malaysia,2002,11.02784077
Malaysia,2003,10.48888859
Malaysia,2004,10.51857623
Malaysia,2005,10.03718649
Malaysia,2006,10.5017097
Malaysia,2007,10.26919734
Malaysia,2008,10.13149124
Malaysia,2009,9.89575157
Malaysia,2010,9.115025871
Malaysia,2011,8.503230537
Malaysia,2012,9.338910465
Malaysia,2013,9.371786596
Malta,1983,53.41648352
Malta,1984,51.02637363
Malta,1985,58.63716814
Malta,1986,65.38345865
Malta,1987,63.38190955
Malta,1988,62.47586207
Malta,1989,65.23707317
Malta,1990,66.39694331
Malta,1991,66.94617595
Malta,1992,67.02582321
Malta,1993,60.24941874
Malta,1994,63.24990607
Malta,1995,62.08756794
Malta,1996,61.6889957
Malta,1997,62.86627695
Malta,1998,63.35789277
Malta,1999,64.20897677
Malta,2000,60.30350195
Malta,2001,59.12367646
Malta,2002,59.32747391
Malta,2003,58.51652215
Malta,2004,58.85705169
Malta,2005,56.52459016
Malta,2006,56.77125259
Malta,2007,56.41861293
Malta,2008,52.39470605
Malta,2009,52.0534479
Malta,2010,52.13993248
Malta,2011,52.40645296
Malta,2012,52.93850122
Mexico,1975,18.15041561
Mexico,1989,21.94586686
Mexico,2009,15.2
Mexico,2010,13.9
Netherlands,1960,40.0181432
Netherlands,1961,39.52051054
Netherlands,1962,38.78226132
Netherlands,1963,38.83661295
Netherlands,1964,37.62713178
Netherlands,1965,37.38869565
Netherlands,1966,38.10486167
Netherlands,1967,38.26977431
Netherlands,1968,37.49118348
Netherlands,1969,36.45088266
Netherlands,1970,36.5049783
Netherlands,1971,36.23363545
Netherlands,1972,36.61604657
Netherlands,1973,37.14642679
Netherlands,1974,36.94135115
Netherlands,1975,37.75849244
Netherlands,1976,37.11614173
Netherlands,1977,37.17917676
Netherlands,1978,37.01077844
Netherlands,1979,36.5854812
Netherlands,1980,34.78221
Netherlands,1981,33.02503948
Netherlands,1982,32.2538742
Netherlands,1983,30.6694177
Netherlands,1984,29.26356589
Netherlands,1985,28.01693405
Netherlands,1986,27.13191862
Netherlands,1987,24.67783251
Netherlands,1988,24.23495702
Netherlands,1989,24.31953766
Netherlands,1990,24.33730589
Netherlands,1991,24.14088446
Netherlands,1992,24.7859855
Netherlands,1993,25.34447124
Netherlands,1994,25.55784769
Netherlands,1995,25.24636713
Netherlands,1996,24.85761047
Netherlands,1997,24.42768693
Netherlands,1998,23.82617993
Netherlands,1999,23.4649512
Netherlands,2000,22.61146954
Netherlands,2001,21.79087506
Netherlands,2002,21.57382271
Netherlands,2003,21.34793059
Netherlands,2004,21.31723073
Netherlands,2005,20.98669857
Netherlands,2006,20.32689533
Netherlands,2007,19.34851825
Netherlands,2008,19.2459759
Netherlands,2009,19.14281102
Netherlands,2010,19.2613213
Netherlands,2011,19.11803984
Netherlands,2012,18.64834549
Netherlands,2013,18.02764714
New Zealand,1970,56.51830167
New Zealand,1971,56.32979967
New Zealand,1972,56.25649701
New Zealand,1973,58.9735416
New Zealand,1974,59.3301249
New Zealand,1975,60.91051207
New Zealand,1976,61.02454324
New Zealand,1977,62.77616463
New Zealand,1978,65.73341449
New Zealand,1979,68.97560976
New Zealand,1980,69.11907067
New Zealand,1981,65.67573748
New Zealand,1982,65.13513514
New Zealand,1983,64.46428571
New Zealand,1984,59.47368421
New Zealand,1985,55.98360656
New Zealand,1986,51.21386195
New Zealand,1987,50.25446487
New Zealand,1988,51.70655159
New Zealand,1989,52.94045652
New Zealand,1990,49.66202218
New Zealand,1991,42.89437471
New Zealand,1992,35.96321028
New Zealand,1993,33.66345758
New Zealand,1994,29.60938915
New Zealand,1995,27.19729679
New Zealand,1996,24.6503527
New Zealand,1997,23.38630567
New Zealand,1998,22.11153569
New Zealand,1999,21.66845801
New Zealand,2000,22.34946586
New Zealand,2001,22.25798617
New Zealand,2002,22.2186942
New Zealand,2003,21.14604039
New Zealand,2004,20.7838205
New Zealand,2005,20.85120884
New Zealand,2006,21.20374501
New Zealand,2007,21.30483808
New Zealand,2008,20.6118511
New Zealand,2009,21.43775211
New Zealand,2010,20.77650085
New Zealand,2011,20.81575885
New Zealand,2012,20.50424485
New Zealand,2013,19.38917875
Norway,1960,60.02034716
Norway,1961,60.81502836
