Entity,Year,Nominal Average Weekly Wages (Bank of England (2017)),Spliced Consumer Price index 2015=100 (Bank of England (2017)),Real Average Weekly Wages (Bank of England (2017))
United Kingdom,1867,0.679589353,1.314281003,51.70807091
United Kingdom,1868,0.670647388,1.291938226,51.91017453
United Kingdom,1869,0.670647388,1.227341315,54.64228897
United Kingdom,1870,0.688531318,1.227341315,56.09941665
United Kingdom,1871,0.715357213,1.244524093,57.48038282
United Kingdom,1872,0.760067039,1.303016726,58.33133404
United Kingdom,1873,0.7958349,1.343410244,59.23990111
United Kingdom,1874,0.804776865,1.299077706,61.94986345
United Kingdom,1875,0.786892935,1.27439523,61.74638107
United Kingdom,1876,0.77795097,1.270572044,61.22840288
United Kingdom,1877,0.769009004,1.26167804,60.95128707
United Kingdom,1878,0.751125074,1.233921123,60.87302178
United Kingdom,1879,0.733241144,1.179628594,62.15864449
United Kingdom,1880,0.733241144,1.215017451,60.34819857
United Kingdom,1881,0.73618195,1.201652259,61.26414231
United Kingdom,1882,0.744024102,1.213668782,61.30371919
United Kingdom,1883,0.748925446,1.207600438,62.01765273
United Kingdom,1884,0.74598464,1.174995226,63.48831242
United Kingdom,1885,0.739122757,1.139745369,64.84981445
United Kingdom,1886,0.734221413,1.121509444,65.46725192
United Kingdom,1887,0.738142488,1.115901896,66.14761483
United Kingdom,1888,0.748925446,1.12371321,66.64738292
United Kingdom,1889,0.764609749,1.139445195,67.10368804
United Kingdom,1890,0.791077009,1.141724085,69.28793212
United Kingdom,1891,0.801859967,1.149716154,69.74416809
United Kingdom,1892,0.805781043,1.154315018,69.80599147
United Kingdom,1893,0.803820505,1.146234813,70.12703644
United Kingdom,1894,0.809702119,1.123310117,72.08179707
United Kingdom,1895,0.810682388,1.112077016,72.8980436
United Kingdom,1896,0.821465346,1.108740785,74.08993672
United Kingdom,1897,0.83518911,1.125371896,74.2144986
United Kingdom,1898,0.851853682,1.128748012,75.46889766
United Kingdom,1899,0.866557715,1.136649248,76.23791742
United Kingdom,1900,0.894005245,1.19461836,74.83605434
United Kingdom,1901,0.903807934,1.200591452,75.28022397
United Kingdom,1902,0.904788203,1.200591452,75.36187281
United Kingdom,1903,0.908709278,1.205393817,75.38692046
United Kingdom,1904,0.909689547,1.20298303,75.61948293
United Kingdom,1905,0.915571161,1.207794962,75.80518133
United Kingdom,1906,0.927334388,1.207794962,76.77912371
United Kingdom,1907,0.947920035,1.222288501,77.55288823
United Kingdom,1908,0.954781917,1.228399944,77.72565618
United Kingdom,1909,0.955762186,1.234541944,77.41836481
United Kingdom,1910,0.964584606,1.245652821,77.43607125
United Kingdom,1911,0.980268909,1.246898474,78.61657781
United Kingdom,1912,1.001834825,1.284305428,78.00596363
United Kingdom,1913,1.034183699,1.279168206,80.84813976
United Kingdom,1914,1.044525536,1.275330702,81.90232811
United Kingdom,1915,1.209994928,1.43474704,84.33507052
United Kingdom,1916,1.375464319,1.694436254,81.17533579
United Kingdom,1917,1.758112288,2.12143419,82.87376042
United Kingdom,1918,2.182127604,2.588149711,84.3122635
United Kingdom,1919,2.492382714,2.849552832,87.46574852
United Kingdom,1920,2.875030682,3.288383968,87.42989596
United Kingdom,1921,2.688877617,3.005582947,89.46276527
United Kingdom,1922,2.16144393,2.584801334,83.6212788
United Kingdom,1923,1.995974539,2.429713254,82.14856365
United Kingdom,1924,2.02700005,2.412705262,84.01357936
United Kingdom,1925,2.047683723,2.419943377,84.61700974
United Kingdom,1926,1.995974539,2.40058383,83.14537964
United Kingdom,1927,2.037341887,2.342969818,86.95553273
United Kingdom,1928,2.006316376,2.335940909,85.8890038
United Kingdom,1929,2.016658213,2.314917441,87.11577257
United Kingdom,1930,1.995974539,2.250099753,88.70604676
United Kingdom,1931,1.954607191,2.153345463,90.77072047
United Kingdom,1932,1.913239843,2.097358481,91.22140351
United Kingdom,1933,1.902898006,2.053313953,92.67447889
United Kingdom,1934,1.92358168,2.053313953,93.68181019
United Kingdom,1935,1.954607191,2.067687151,94.53108949
United Kingdom,1936,2.006316376,2.082160961,96.35741009
United Kingdom,1937,2.05802556,2.152954433,95.59076256
United Kingdom,1938,2.140760256,2.187401704,97.86772371
United Kingdom,1939,2.16144393,2.248648952,96.12189257
United Kingdom,1940,2.78195415,2.626421976,105.9218273
United Kingdom,1941,3.040500074,2.910075549,104.4818261
United Kingdom,1942,3.423148043,3.116690913,109.8327726
United Kingdom,1943,3.764428663,3.222658404,116.8112841
United Kingdom,1944,3.826479685,3.309670181,115.6151361
United Kingdom,1945,3.805796011,3.402340946,111.8581609
United Kingdom,1946,3.960923566,3.507813516,112.9171647
United Kingdom,1947,4.260836839,3.753360462,113.5205873
United Kingdom,1948,4.643484807,4.042369217,114.8703782
United Kingdom,1949,4.83997971,4.155555556,116.4701
United Kingdom,1950,5.067500124,4.318390805,117.3469552
United Kingdom,1951,5.563908299,4.709195402,118.1498711
United Kingdom,1952,6.018949127,5.210727969,115.5107149
United Kingdom,1953,6.380913421,5.399616858,118.173448
United Kingdom,1954,6.794586901,5.523371648,123.015204
United Kingdom,1955,7.373729772,5.803448276,127.0577323
United Kingdom,1956,7.973556317,6.103065134,130.6483897
United Kingdom,1957,8.407913471,6.337547893,132.6682435
United Kingdom,1958,8.697484906,6.519923372,133.3985756
United Kingdom,1959,8.935347157,6.559003831,136.2302476
United Kingdom,1960,9.452439006,6.611111111,142.978069
United Kingdom,1961,10.11431657,6.82605364,148.1722398
United Kingdom,1962,10.46593903,7.112643678,147.1455552
United Kingdom,1963,10.91063802,7.262452107,150.233528
United Kingdom,1964,11.84059137,7.496934866,157.9390989
United Kingdom,1965,12.64049209,7.816091954,161.7239429
United Kingdom,1966,13.4525881,8.128735632,165.4942258
United Kingdom,1967,13.95851185,8.311111111,167.9500089
United Kingdom,1968,15.13764121,8.643295019,175.1373889
United Kingdom,1969,16.3042877,9.092720307,179.3114398
United Kingdom,1970,18.37266973,9.685440613,189.6936904
United Kingdom,1971,20.57686127,10.59731801,194.1704613
United Kingdom,1972,23.17412506,11.35938697,204.0085889
United Kingdom,1973,26.53173689,12.4210728,213.6026197
United Kingdom,1974,31.55244439,14.37509579,219.4938027
United Kingdom,1975,40.68831521,17.63831418,230.681429
United Kingdom,1976,47.4017421,20.4,232.3614809
United Kingdom,1977,52.12627159,23.44827586,222.3032171
United Kingdom,1978,59.04101524,25.20038314,234.2861809
United Kingdom,1979,68.91862136,28.06628352,245.5566349
United Kingdom,1980,83.71787346,32.31954023,259.0317587
United Kingdom,1981,95.25591726,36.13639847,263.6010264
United Kingdom,1982,104.4889329,39.06743295,267.4578927
United Kingdom,1983,113.5464485,40.9954023,276.9736169
United Kingdom,1984,120.6299567,42.74099617,282.2347804
United Kingdom,1985,131.373276,44.84482759,292.9507884
United Kingdom,1986,141.8172727,46.33639847,306.0601976
United Kingdom,1987,153.0466509,47.82145594,320.0376231
United Kingdom,1988,167.1209607,49.61915709,336.8073351
United Kingdom,1989,183.1375043,52.21800766,350.7171424
United Kingdom,1990,202.4695124,55.85900383,362.4653118
United Kingdom,1991,218.224667,60.06666667,363.3041071
United Kingdom,1992,231.309294,62.62643678,369.3476843
United Kingdom,1993,238.2056602,64.19616858,371.0589985
United Kingdom,1994,247.1860037,65.46628352,377.5775719
United Kingdom,1995,255.2547649,67.20536398,379.813083
United Kingdom,1996,264.5184696,68.8185,384.3711641
United Kingdom,1997,276.1932072,70.07416667,394.1441195
United Kingdom,1998,290.567621,71.1655,408.2984325
United Kingdom,1999,303.8625416,72.11108333,421.3811908
United Kingdom,2000,317.4166667,72.68541667,436.6992462
United Kingdom,2001,334.0833333,73.582,454.028612
United Kingdom,2002,344.5833333,74.50833333,462.4762331
United Kingdom,2003,355.6666667,75.52283333,470.9392524
United Kingdom,2004,371.25,76.5375,485.0563449
United Kingdom,2005,388.4166667,78.11183333,497.2571378
United Kingdom,2006,406.75,79.93083333,508.877467
United Kingdom,2007,426.6666667,81.7875,521.6771104
United Kingdom,2008,441.75,84.73341667,521.3409507
United Kingdom,2009,441.4166667,86.56816667,509.9064514
United Kingdom,2010,451.3333333,89.42333333,504.7153986
United Kingdom,2011,462.0833333,93.41491667,494.6569025
United Kingdom,2012,468.3333333,96.05691667,487.5581577
United Kingdom,2013,473.9166667,98.52058333,481.0331513
United Kingdom,2014,479.8333333,99.96,480.0253434
United Kingdom,2015,491.5833333,100,491.5833333
