Entity,Year,CO2 emissions (CDIAC and UN Population),Per capita CO2 emissions (CDIAC and UN Population)
World,1872,0.63491,0.449066139
World,1873,0.67528,0.475143867
World,1874,0.63858,0.446985692
World,1875,0.68996,0.480432935
World,1876,0.70097,0.485547624
World,1877,0.71198,0.490587234
World,1878,0.71932,0.493036016
World,1879,0.7707,0.525462169
World,1880,0.86612,0.587387611
World,1881,0.89181,0.601589455
World,1882,0.93952,0.630383911
World,1883,0.99824,0.666184973
World,1884,1.00925,0.669897661
World,1885,1.01659,0.67111037
World,1886,1.03127,0.677090925
World,1887,1.08265,0.706930577
World,1888,1.20009,0.779298198
World,1889,1.20009,0.77498168
World,1890,1.30652,0.839010787
World,1891,1.36524,0.871806199
World,1892,1.37258,0.871551765
World,1893,1.3579,0.85733882
World,1894,1.40561,0.882394574
World,1895,1.49002,0.930008652
World,1896,1.53773,0.954234229
World,1897,1.6148,0.99622232
World,1898,1.70655,1.04664952
World,1899,1.86069,1.134442867
World,1900,1.95978,1.187745455
World,1901,2.02584,1.220424087
World,1902,2.07722,1.243846838
World,1903,2.26439,1.347759016
World,1904,2.29008,1.354860949
World,1905,2.43321,1.430941238
World,1906,2.59469,1.516874133
World,1907,2.87728,1.672247028
World,1908,2.7525,1.590526507
World,1909,2.88095,1.655367
World,1910,3.00573,1.71756
World,1911,3.06812,1.743801841
World,1912,3.22593,1.823780718
World,1913,3.46081,1.946172444
World,1914,3.1195,1.744738432
World,1915,3.07546,1.710471942
World,1916,3.30667,1.828263727
World,1917,3.50485,1.925767712
World,1918,3.43512,1.874864756
World,1919,2.95802,1.602848468
World,1920,3.42044,1.838946237
World,1921,2.94701,1.570976927
World,1922,3.10115,1.63807123
World,1923,3.5599,1.862156065
World,1924,3.53421,1.82983176
World,1925,3.57825,1.832855088
World,1926,3.60761,1.827425402
World,1927,3.89754,1.951745526
World,1928,3.90855,1.934357317
World,1929,4.20215,2.054863137
World,1930,3.86451,1.866913043
World,1931,3.4498,1.64627056
World,1932,3.10849,1.465365789
World,1933,3.27731,1.526415134
World,1934,3.57091,1.643689093
World,1935,3.76909,1.715330719
World,1936,4.1471,1.867107933
World,1937,4.43703,1.977570253
World,1938,4.19114,1.850740954
World,1939,4.37464,1.915787016
World,1940,4.76733,2.072752174
World,1941,4.89578,2.115671351
World,1942,4.92514,2.116937112
World,1943,5.10497,2.18287618
World,1944,5.07561,2.158382787
World,1945,4.2572,1.798872838
World,1946,4.54346,1.905043783
World,1947,5.10864,2.121506772
World,1948,5.39123,2.212074097
World,1949,5.20773,2.105022553
World,1950,5.9821,2.369008427
World,1951,6.48489,2.521471251
World,1952,6.58765,2.516348349
World,1953,6.75647,2.536184844
World,1954,6.84455,2.525032694
World,1955,7.49414,2.716927287
World,1956,7.98959,2.846059654
World,1957,8.3309,2.915284364
World,1958,8.5511,2.9388744
World,1959,9.00618,3.039326137
World,1960,9.42823,3.123643474
World,1961,9.4686,3.079146241
World,1962,9.85762,3.145827026
World,1963,10.39711,3.255123587
World,1964,10.99165,3.374789317
World,1965,11.4871,3.457371518
World,1966,12.06696,3.558855552
World,1967,12.45231,3.597536962
World,1968,13.08722,3.70326615
World,1969,13.8726,3.845098979
World,1970,14.87451,4.039255864
World,1971,15.44336,4.109752647
World,1972,16.05992,4.189258501
World,1973,16.93338,4.331095531
World,1974,16.96641,4.256784562
World,1975,16.86732,4.153081008
World,1976,17.85088,4.315411205
World,1977,18.40872,4.371244501
World,1978,18.62158,4.344459384
World,1979,19.66019,4.50695456
World,1980,19.45467,4.38204517
World,1981,18.85646,4.173073846
World,1982,18.69498,4.065006802
World,1983,18.62525,3.978725154
World,1984,19.29686,4.049149514
World,1985,19.88039,4.096903409
World,1986,20.48961,4.145968704
World,1987,21.01075,4.173930105
World,1988,21.78512,4.249401371
World,1989,22.26222,4.265628236
World,1990,22.29158,4.198300395
World,1991,22.54114,4.175577485
World,1992,22.30626,4.066689373
World,1993,22.2769,3.999410863
World,1994,22.65858,4.008015902
World,1995,23.13935,4.034673652
World,1996,23.66416,4.069228482
World,1997,24.06052,4.082098209
World,1998,24.13392,4.041258127
World,1999,24.07887,3.980501436
World,2000,24.71011,4.033235527
World,2001,25.29731,4.07737637
World,2002,25.66798,4.085760435
World,2003,27.06992,4.255765045
World,2004,28.41681,4.412656118
World,2005,29.51414,4.526961425
World,2006,30.59312,4.635166533
World,2007,31.20601,4.670434598
World,2008,32.20792,4.761855705
World,2009,31.91799,4.661956543
World,2010,33.49976,4.834212006
World,2011,34.87601,4.972748664
World,2012,35.49991,5.001748184
World,2013,35.86691,4.994198364
World,2014,36.16785,4.977830378
World,2015,36.17942535,4.922724362
