Entity,Year,Median,17th percentile,83rd percentile,97.5th percentile,2.5th percentile
Latvia,2,0.875916537,0.167250391,1.865750913,3.260984842,-0.529909773
Lebanon,2,-0.071310111,-0.358478291,0.153729902,0.502964692,-0.771439486
Lesotho,2,0.172019362,-0.016405765,0.470620202,0.921825249,-0.287772472
Liberia,2,-1.207077659,-1.655200745,-0.824603675,-0.480440657,-2.226954665
Lithuania,2,0.797279144,0.116890733,1.747856293,3.140166016,-0.600670558
Luxembourg,2,0.420114372,0.048806187,0.993325063,1.844368804,-0.258061124
Macedonia,2,0.36646087,0.04795132,0.843581074,1.552434201,-0.22650475
Madagascar,2,-0.6876719,-1.079817192,-0.388576479,-0.151264613,-1.583777669
Malawi,2,-0.94873487,-1.539639469,-0.477026662,-0.089067496,-2.323678573
Malaysia,2,-1.34633965,-2.009255058,-0.817023391,-0.379727635,-2.854437055
Mali,2,-1.839774623,-2.750327339,-1.096081485,-0.440047624,-3.905838086
Mauritania,2,-1.838391716,-2.583664191,-1.215564268,-0.644158101,-3.510231866
Mauritius,2,-0.769276634,-1.16887989,-0.427413985,-0.227649944,-1.665852151
Mexico,2,-0.577636551,-0.926349202,-0.301509662,-0.05617757,-1.365878941
Moldova,2,0.381784294,-0.004944353,1.011081702,1.985786066,-0.431600868
Mongolia,2,1.550328061,0.557866433,2.688462953,4.129648556,-0.504460813
Morocco,2,-0.430172486,-0.822192987,-0.152799988,0.081489735,-1.355614637
Mozambique,2,-1.119888929,-1.715115966,-0.634123491,-0.231450695,-2.473088658
Namibia,2,-0.949101474,-1.477400342,-0.538253028,-0.191063127,-2.166911555
Nepal,2,-0.873447134,-1.429962468,-0.43725897,-0.081107249,-2.16043905
Netherlands,2,0.322556569,0.033718733,0.781835865,1.472157245,-0.212447058
New Zealand,2,0.090595475,-0.065192137,0.263414005,0.501603678,-0.27429791
Nicaragua,2,-1.458480606,-2.531662983,-0.602939489,0.22247235,-3.88036829
Nigeria,2,-1.579313418,-2.198128247,-1.060987101,-0.618651634,-2.955661001
Norway,2,1.004196837,0.348169888,1.848294409,2.94342441,-0.272365064
Pakistan,2,-1.097152884,-1.806275527,-0.545127705,-0.089340342,-2.73633675
Panama,2,-1.232688946,-1.850001358,-0.728527005,-0.178581965,-2.744375766
Paraguay,2,-1.004093901,-1.971113654,-0.253741737,0.539373386,-3.261109112
Peru,2,-0.187109627,-0.510617095,0.021670211,0.319342044,-0.995947716
Philippines,2,-1.020550729,-1.415018106,-0.689496616,-0.391542844,-1.898119747
Poland,2,0.60197517,0.07989526,1.34439175,2.387212787,-0.409819676
Portugal,2,-0.109182515,-0.352875519,0.06627117,0.324926872,-0.687162074
Romania,2,0.38464484,0.013325378,0.980045122,1.895554763,-0.362604449
Russia,2,1.369090199,0.554763839,2.427805326,3.783182343,-0.213093686
Rwanda,2,-0.711997091,-1.101341441,-0.410847353,-0.159949718,-1.599473304
Saint Vincent and the Grenadines,2,-1.041757512,-1.495857331,-0.670013835,-0.286345117,-2.149349916
Samoa,2,-0.896572293,-1.256380388,-0.601641699,-0.358064241,-1.700794999
Saudi Arabia,2,-1.80632015,-2.670241323,-1.118702305,-0.528628763,-3.770970669
Senegal,2,-1.531980619,-2.110102579,-1.040123402,-0.582828353,-2.8170703
Serbia,2,0.343203082,0.000411436,0.90677677,1.739729459,-0.346240682
Sierra Leone,2,-1.317401329,-1.781834635,-0.924417442,-0.561955071,-2.38836632
Slovakia,2,0.563129872,0.075018961,1.30520725,2.408884089,-0.3896183
Slovenia,2,0.537362565,0.075557167,1.207084878,2.181217065,-0.335421193
Solomon Islands,2,-0.993722282,-1.301010111,-0.730569901,-0.486368345,-1.662065973
South Africa,2,-0.326724703,-0.653759321,-0.101879025,0.079220312,-1.115437502
South Korea,2,0.238072623,-0.015344828,0.559932507,1.011507163,-0.340058924
Spain,2,-0.121855501,-0.454184259,0.10147367,0.46416789,-0.933098849
Sri Lanka,2,-1.27437873,-2.093530272,-0.585296567,-0.046215773,-3.095379966
Sudan,2,-1.750229558,-2.728390279,-0.967235122,-0.298766146,-3.946819555
Suriname,2,-1.424850359,-2.253038908,-0.756296496,-0.186537518,-3.314345685
Swaziland,2,-0.530805597,-0.968700288,-0.216846141,0.021056918,-1.577354396
Sweden,2,0.913853521,0.29660082,1.755208771,2.879368306,-0.213165083
Switzerland,2,0.735651287,0.15815992,1.525254022,2.604851838,-0.360896025
Tajikistan,2,0.231359828,-0.02075521,0.648434557,1.299290203,-0.387951703
Tanzania,2,-0.949912418,-1.387811797,-0.598421409,-0.30114129,-1.947512821
Thailand,2,-1.642689286,-2.519218005,-0.958877598,-0.360196797,-3.640777111
Togo,2,-1.487376946,-2.116400274,-0.963211421,-0.526657374,-2.886872772
Trinidad and Tobago,2,-1.027680901,-1.431197639,-0.677214719,-0.341554756,-2.001082613
Tunisia,2,-0.687317669,-1.174883388,-0.335156805,-0.066647928,-1.845124757
Turkey,2,0.073584229,-0.175244974,0.381649394,0.858491278,-0.60185539
Turkmenistan,2,-0.251724131,-0.681513695,0.001466829,0.3245282,-1.320472883
Uganda,2,-1.064238818,-1.549081847,-0.677813937,-0.350593428,-2.145723922
Ukraine,2,0.518217963,0.057045337,1.228166348,2.255908241,-0.334319575
United Arab Emirates,2,-1.809659488,-2.680622623,-1.093307696,-0.455250097,-3.771801297
United Kingdom,2,0.376076449,0.081978754,0.790502377,1.393384389,-0.145951386
United States,2,0.008423291,-0.254569315,0.266209711,0.692236691,-0.685257008
Uruguay,2,-0.341451396,-0.704906585,-0.091109799,0.089041732,-1.215220284
Uzbekistan,2,-0.049263753,-0.37870857,0.173992919,0.631908289,-0.916089664
Vanuatu,2,-0.744162531,-1.130640894,-0.424850278,-0.190156686,-1.603247741
Venezuela,2,-1.545818624,-2.338665483,-0.91628318,-0.327377113,-3.444051954
Vietnam,2,-1.479784224,-2.288130542,-0.818958773,-0.212223275,-3.282357726
Zambia,2,-0.870829555,-1.386827534,-0.475625931,-0.143465414,-2.056406807
Zimbabwe,2,-0.753681916,-1.27733943,-0.352952506,-0.036367419,-1.977146965
