Entity,Year,butterfly_population_unsmoothed_index,butterfly_population_smoothed_index,no_species_longterm_increase,no_species_longterm_decrease,no_species_longterm_nochange,no_species_shortterm_increase,no_species_shortterm_decrease,no_species_shortterm_nochange
Non-specialists,1992,110.4,80.879,,,,,,
Non-specialists,1993,63.09,80.686,,,,,,
Non-specialists,1994,69.98,80.364,,,,,,
Non-specialists,1995,87.09,79.92,,,,,,
Non-specialists,1996,94.18,79.351,,,,,,
Non-specialists,1997,100.6,78.661,,,,,,
Non-specialists,1998,73.79,77.868,,,,,,
Non-specialists,1999,66.68,77.008,,,,,,
Non-specialists,2000,71.61,76.113,,,,,,
Non-specialists,2001,64.86,75.206,,,,,,
Non-specialists,2002,68.07,74.308,,,,,,
Non-specialists,2003,81.28,73.428,,,,,,
Non-specialists,2004,83.36,72.572,,,,,,
Non-specialists,2005,71.94,71.752,,,,,,
Non-specialists,2006,72.77,70.99,,,,,,
Non-specialists,2007,52.96,70.307,,,,,,
Non-specialists,2008,52.23,69.726,,,,,,
Non-specialists,2009,72.27,69.255,,,,,,
Non-specialists,2010,76.2,68.888,,,,,,
Non-specialists,2011,68.54,68.619,,,,,,
Non-specialists,2012,42.65,68.451,,,,,,
Non-specialists,2013,78.7,68.386,,,,,,
Non-specialists,2014,72.77,68.402,,,,,,
Non-specialists,2015,68.7,68.49,,,,,,
Non-specialists,2016,52.11,68.64,,,,,,
Non-specialists,2017,66.52,68.845,,,,,,
Non-specialists,2018,85.7,69.084,,,,,,
Non-specialists,2019,80.35,69.332,5,7,12,0,1,23
Woodland,1990,100,94.423,,,,,,
Woodland,1991,91.83325965,90.847,,,,,,
Woodland,1992,110.407862,87.293,,,,,,
Woodland,1993,56.6239289,83.79,,,,,,
Woodland,1994,61.37620052,80.461,,,,,,
Woodland,1995,87.70008211,77.316,,,,,,
Woodland,1996,88.1048873,74.287,,,,,,
Woodland,1997,90.36494737,71.348,,,,,,
Woodland,1998,58.88436554,68.53,,,,,,
Woodland,1999,51.40436516,65.944,,,,,,
Woodland,2000,53.33348955,63.66,,,,,,
Woodland,2001,51.16818355,61.69,,,,,,
Woodland,2002,57.54399373,59.999,,,,,,
Woodland,2003,70.79457844,58.512,,,,,,
Woodland,2004,71.12135137,57.141,,,,,,
Woodland,2005,60.53408748,55.85,,,,,,
Woodland,2006,58.61381645,54.662,,,,,,
Woodland,2007,41.78303666,53.618,,,,,,
Woodland,2008,38.8150366,52.777,,,,,,
Woodland,2009,57.14786367,52.147,,,,,,
Woodland,2010,64.26877173,51.68,,,,,,
Woodland,2011,56.75446054,51.348,,,,,,
Woodland,2012,32.06269325,51.173,,,,,,
Woodland,2013,58.47900841,51.203,,,,,,
Woodland,2014,52.84452518,51.404,,,,,,
Woodland,2015,50.69907083,51.773,,,,,,
Woodland,2016,36.47539469,52.315,,,,,,
Woodland,2017,49.09078762,53.027,,,,,,
Woodland,2018,69.3425806,53.842,,,,,,
Woodland,2019,59.29253246,54.676,1,10,13,0,1,23
