Entity,Year,Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)",Dentists (headcount) (OECD),For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),"Nurses (per 1,000 population) (OECD)",Nurses (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Physicians (headcount) (OECD),Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),"Surgical specialists (per 1,000 population) (OECD)",Surgical specialists (headcount) (OECD),Hospital beds (number) (OECD),"Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)"
Austria,2014,8729,1.02,11263,1.32,44823,5.24,49395,5.78,,,83,9.71,122,14.28,279,32.65,5156,0.6,3.31,2211,27.06,42,4.91,,,,,5263,0.62,0.17,1465,154,18.02,1,8551,64815,0.78,7.58
Austria,2015,8818,1.02,11223,1.3,45097,5.22,48860,5.65,,,83,9.6,119,13.77,278,32.17,5876,0.68,3.71,2265,26.84,42,4.86,,,,,5294,0.61,0.18,1524,153,17.7,1.03,8923,65138,0.78,7.54
Austria,2016,8743,1,11185,1.28,44910,5.14,48472,5.55,,,84,9.61,118,13.51,273,31.25,5877,0.67,3.66,2357,26.88,41,4.69,,,,,5291,0.61,0.19,1661,148,16.94,1.02,8872,64838,0.79,7.42
Austria,2017,8873,1.01,10697,1.22,45235,5.14,47920,5.45,,,85,9.66,116,13.19,271,30.8,5832,0.66,3.59,2417,27.58,39,4.43,,,,,5338,0.61,0.19,1678,147,16.71,1.03,9075,64805,0.79,7.37
Austria,2018,,,,,,,,,,,,,,,,,,,,2488,,,,,,,,,,,,,,,,,,
Belgium,2005,,,46933,4.48,20497,1.96,60683,5.79,0.89,9360,,,147,14.03,214,20.42,1874,0.18,1.04,8160,68.22,157,14.98,14.04,147068,4.58,48029,15967,1.52,0.17,1803,57,5.44,0.49,5155,67430,0.81,6.44
Belgium,2006,,,46853,4.44,20156,1.91,60071,5.7,0.9,9518,,,146,13.84,211,20,1898,0.18,1.05,8456,69.01,156,14.79,14.26,150414,4.63,48810,15924,1.51,0.17,1840,55,5.21,0.5,5231,67009,0.83,6.35
Belgium,2007,,,46877,4.41,19711,1.86,59656,5.61,0.9,9601,,,142,13.36,208,19.58,1851,0.17,1.02,8699,70.1,156,14.68,14.48,153889,4.69,49831,15954,1.5,0.17,1855,52,4.89,0.52,5510,66588,0.86,6.27
Belgium,2008,,,47203,4.41,19722,1.84,59909,5.59,0.9,9665,,,141,13.17,205,19.14,1776,0.17,0.98,9019,70.9,154,14.38,14.71,157591,4.75,50843,16027,1.5,0.18,1891,51,4.76,0.53,5717,66925,0.86,6.25
Belgium,2009,,,47193,4.37,19229,1.78,59245,5.49,0.88,9496,,,136,12.6,200,18.52,1846,0.17,1.01,9377,73.72,151,13.99,14.94,161299,4.81,51923,15991,1.48,0.18,1914,49,4.54,0.54,5806,66422,0.89,6.15
Belgium,2010,,,48495,4.45,18150,1.67,59482,5.46,0.89,9672,,,131,12.02,195,17.9,1800,0.17,0.97,9758,75,149,13.68,15.06,164141,4.87,53013,16041,1.47,0.18,1932,46,4.22,0.54,5916,66645,0.9,6.12
Belgium,2011,,,48649,4.41,18136,1.64,59422,5.38,0.89,9874,,,128,11.6,195,17.67,1760,0.16,0.93,10188,79.15,149,13.5,15.4,170023,4.92,54257,16012,1.45,0.17,1865,46,4.17,0.55,6059,66785,0.91,6.05
Belgium,2012,,,48445,4.36,18032,1.62,58879,5.3,0.91,10100,,,128,11.52,194,17.47,1759,0.16,0.91,10666,83.3,149,13.42,15.74,174849,5.01,55666,15952,1.44,0.17,1890,45,4.05,0.55,6150,66477,0.93,5.99
Belgium,2013,,,48169,4.32,17979,1.61,58519,5.24,0.9,10060,,,127,11.38,190,17.03,1751,0.16,0.89,11164,88.88,146,13.08,16.18,180547,5.14,57369,15739,1.41,0.17,1899,44,3.94,0.56,6261,66148,0.95,5.93
Belgium,2014,,,47984,4.28,17606,1.57,58777,5.24,0.93,10448,,,124,11.06,180,16.06,1119,0.1,0.56,11663,93.3,139,12.4,16.62,186277,5.25,58792,15691,1.4,0.17,1907,41,3.66,0.57,6339,65590,0.96,5.85
Belgium,2015,,,48553,4.31,17200,1.53,58531,5.19,0.95,10726,,,116,10.29,179,15.88,1159,0.1,0.57,11160,91.27,139,12.33,17.01,191805,5.33,60138,15818,1.4,0.17,1930,40,3.55,0.58,6523,65753,0.97,5.83
Belgium,2016,,,48354,4.27,16960,1.5,58025,5.12,0.98,11066,,,115,10.15,177,15.62,1159,0.1,0.56,11808,96.87,137,12.09,17.48,198030,5.46,61899,15691,1.38,0.17,1958,40,3.53,0.59,6719,65314,0.99,5.76
Belgium,2017,,,47779,4.2,16644,1.46,56927,5,1.01,11440,,,115,10.11,175,15.38,1165,0.1,0.56,12417,103.74,135,11.87,17.96,204256,5.59,63615,15479,1.36,0.17,1965,40,3.52,0.6,6783,64423,,5.66
Belgium,2018,,,47612,4.18,16636,1.46,56758,4.98,1.06,12027,,,114,10,174,15.27,1165,0.1,0.55,12953,,134,11.76,18.47,210507,5.84,66561,15452,1.36,,,40,3.51,,,64248,,5.64
Brazil,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466142,,2.52
Brazil,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463314,,2.48
Brazil,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466279,,2.47
Brazil,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465822,,2.44
Brazil,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468823,,2.43
Brazil,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462129,,2.37
Brazil,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459776,,2.34
Brazil,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456291,,2.3
Canada,2005,,,,,,,87917,2.73,0.61,19546,,,,,737,22.86,10199,0.32,2.43,,,,,10.73,345840,2.34,75549,9434,0.29,0.15,4701,,,0.33,10587,99957,,3.1
Canada,2006,675,0.02,,,97614,3,73135,2.25,,,7,0.21,606,18.61,732,22.47,21238,0.65,4.93,,,,,10.78,351042,2.36,76787,13220,0.41,0.15,4747,725,22.26,0.33,10794,98289,,3.02
Canada,2007,675,0.02,,,96785,2.94,72417,2.2,0.6,19864,7,0.21,591,17.97,730,22.2,21083,0.64,4.78,,,,,10.87,357578,2.4,78772,13225,0.4,0.15,4899,723,21.98,0.34,11239,97460,,2.96
Canada,2008,675,0.02,,,94126,2.83,72113,2.17,,,7,0.21,581,17.48,724,21.78,18731,0.56,4.13,,,,,11,365676,2.44,81076,12990,0.39,0.15,4985,717,21.57,0.35,11476,94801,,2.85
Canada,2009,675,0.02,,,93622,2.78,71318,2.12,0.61,20568,7,0.21,587,17.46,724,21.53,18765,0.56,4.03,,,,,11.16,375276,2.51,84468,12935,0.38,0.15,5138,717,21.32,0.36,12145,94297,,2.8
Canada,2010,610,0.02,,,94092,2.77,71224,2.09,,,7,0.21,573,16.85,724,21.29,18997,0.56,3.96,,,,,11.26,382941,2.55,86741,12276,0.36,0.16,5285,717,21.08,0.37,12519,94702,,2.78
Canada,2011,610,0.02,,,95430,2.78,72003,2.1,,,7,0.2,584,17.01,725,21.11,19037,0.55,3.85,,,,,11.39,391067,2.63,90205,12389,0.36,0.16,5458,718,20.91,0.38,13143,96040,,2.8
Canada,2012,610,0.02,,,96100,2.77,73039,2.1,,,7,0.2,584,16.81,720,20.72,18444,0.53,3.57,,,,,11.46,398334,2.69,93358,12765,0.37,0.16,5605,713,20.52,0.4,13859,96710,,2.78
Canada,2013,625,0.02,,,94784,2.7,72891,2.07,,,7,0.2,586,16.67,722,20.54,17829,0.51,3.31,,,,,11.61,408078,2.74,96253,12894,0.37,0.17,5804,715,20.34,0.41,14278,95409,,2.71
Canada,2014,629,0.02,,,94150,2.65,73214,2.06,,,7,0.2,586,16.49,720,20.26,16940,0.48,3.03,1448,3.77,,,11.45,406804,2.78,98756,12541,0.35,0.17,5924,713,20.06,0.41,14550,94779,,2.67
Canada,2015,629,0.02,,,92966,2.59,72447,2.02,0.65,23385,7,0.2,586,16.35,719,20.07,16211,0.45,2.8,1526,3.99,,,11.61,415849,2.82,101226,12505,0.35,0.17,6133,712,19.87,0.42,14942,93595,,2.61
Canada,2016,629,0.02,,,93086,2.57,73031,2.01,0.66,23941,7,0.19,590,16.27,722,19.91,15913,0.44,2.66,1547,4.04,,,11.61,421082,2.84,103007,12565,0.35,0.17,6207,715,19.72,0.42,15130,93715,,2.58
Canada,2017,625,0.02,,,91837,2.5,71908,1.96,0.67,24600,7,0.19,589,16.05,722,19.67,15783,0.43,2.55,1690,4.49,,,11.6,425737,2.87,105510,12574,0.34,0.17,6341,715,19.48,0.42,15320,92462,,2.52
Canada,2018,625,0.02,,,91841,2.49,71909,1.95,,,,,,,,,15784,0.43,2.47,,,,,,,2.93,108124,12575,0.34,0.18,6508,,,0.43,15790,92466,,2.5
Chile,2005,6634,0.41,,,30740,1.9,,,,,182,11.26,279,17.26,401,24.81,,,,,,,,,,,,,,,,219,13.55,,,37374,,2.31
Chile,2006,7629,0.47,,,30443,1.86,,,,,189,11.57,286,17.51,408,24.98,,,,,,,,,,,,,,,,219,13.41,,,38072,,2.33
Chile,2007,7629,0.46,,,30168,1.83,,,,,189,11.45,286,17.33,408,24.72,,,,,,,,,,,,,,,,219,13.27,,,37797,,2.29
Chile,2008,7765,0.47,,,30246,1.81,34323,2.06,,,192,11.51,290,17.38,418,25.05,254,0.02,0.18,,,,,,,,,2631,0.16,,,226,13.54,,,38011,,2.28
Chile,2009,8069,0.48,,,30245,1.79,33203,1.97,,,176,10.43,276,16.35,402,23.82,213,0.01,0.14,,,,,,,,,2620,0.16,,,226,13.39,,,38314,,2.27
Chile,2010,6767,0.4,,,28062,1.64,33544,1.97,0.56,9568,184,10.78,291,17.05,415,24.32,215,0.01,0.14,6091,24.3,,,0.91,15527,1.43,24455,2979,0.17,0.02,356,231,13.54,0.2,3479,34829,0.29,2.04
Chile,2011,10516,0.61,,,27776,1.61,36273,2.1,0.59,10236,172,9.97,250,14.49,385,22.31,233,0.01,0.15,7259,29.35,,,1.11,19237,1.58,27323,2437,0.14,0.05,791,213,12.34,0.26,4528,38292,0.28,2.22
Chile,2012,9000,0.52,,,28854,1.65,35105,2.01,0.7,12297,173,9.92,255,14.62,384,22.01,165,0.01,0.1,8700,35.71,,,1.35,23464,1.74,30400,1759,0.1,0.06,1015,211,12.1,0.31,5391,37854,0.3,2.17
Chile,2013,9389,0.53,,,28782,1.63,35560,2.02,0.82,14388,170,9.64,263,14.92,389,22.06,124,0.01,0.07,9884,40.84,,,1.6,28178,1.87,33045,1702,0.1,0.07,1148,219,12.42,0.34,5992,38171,0.35,2.16
Chile,2014,9090,0.51,,,28591,1.6,35528,1.99,0.9,16119,151,8.47,241,13.52,363,20.37,65,0,0.04,10885,43.37,,,1.95,34674,2.02,36012,1798,0.1,0.07,1308,212,11.9,0.37,6606,37681,0.38,2.11
Chile,2015,9933,0.55,,,28563,1.59,36188,2.01,1,18046,150,8.33,241,13.38,363,20.16,91,0.01,0.05,11497,46.99,,,2.06,37129,2.14,38580,1778,0.1,0.08,1428,213,11.83,0.39,6998,38496,0.36,2.14
Chile,2016,10015,0.55,,,28556,1.57,36234,1.99,1.05,19120,148,8.14,245,13.47,356,19.57,91,0.01,0.05,11595,49.85,,,2.44,44406,2.3,41767,1812,0.1,0.09,1550,208,11.43,0.39,7088,38571,0.4,2.12
Chile,2017,10169,0.55,,,28684,1.56,36523,1.99,1.19,21899,148,8.05,247,13.44,358,19.48,91,0,0.05,12257,,,,2.72,50062,2.45,45088,1830,0.1,0.09,1668,210,11.43,0.43,7915,38853,0.42,2.11
Chile,2018,,,,,,,,,1.27,23504,,,,,,,,,,13136,,,,2.99,55508,2.62,48531,,,0.1,1790,,,0.45,8346,,,
China,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445000,,1.85
China,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560400,,1.93
China,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675100,,2
China,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882900,,2.14
China,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120800,,2.31
China,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387400,,2.49
China,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705100,,2.71
China,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4161500,,3.03
China,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578600,,3.31
China,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4961200,,3.57
China,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330600,,3.82
China,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5688900,,4.05
China,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120500,,4.34
Colombia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67239,,1.48
Colombia,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66968,,1.45
Colombia,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69172,,1.48
Colombia,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72747,,1.54
Colombia,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75855,,1.59
Colombia,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77523,,1.61
Colombia,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81687,,1.68
Colombia,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83789,,1.7
Colombia,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85021,,1.71
Costa Rica,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5688,,1.35
Costa Rica,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630,,1.32
Costa Rica,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5647,,1.3
Costa Rica,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5518,,1.25
Costa Rica,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546,,1.24
Costa Rica,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,,1.24
Costa Rica,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5636,,1.23
Costa Rica,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5594,,1.2
Costa Rica,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5547,,1.18
Costa Rica,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5596,,1.17
Costa Rica,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611,,1.16
Costa Rica,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5668,,1.16
Costa Rica,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5614,,1.13
Czech Republic,2005,,,,,,,54787,5.37,,,,,169,16.55,262,25.66,16275,1.59,11.35,,,,,,,4.29,43808,11297,1.11,0.14,1409,,,0.83,8436,77309,0.7,7.57
Czech Republic,2006,,,,,,,54034,5.28,,,,,164,16.02,257,25.1,16097,1.57,11.06,5543,52.38,,,9.24,94560,4.3,44064,11182,1.09,,,,,,,76245,0.7,7.45
Czech Republic,2007,,,,,,,53652,5.21,,,,,165,16.02,255,24.76,15864,1.54,10.7,5721,49.91,,,9.31,95902,4.24,43670,11046,1.07,,,,,,,75502,0.71,7.33
Czech Republic,2008,8047,0.77,465,0.04,66412,6.4,52979,5.1,,,,,164,15.79,254,24.46,15937,1.53,10.54,5920,49.51,,,9.41,97719,4.17,43280,10936,1.05,0.14,1449,,,0.84,8727,74924,0.71,7.21
Czech Republic,2009,8508,0.81,465,0.04,65634,6.28,52290,5.01,,,82,7.85,165,15.8,256,24.51,16201,1.55,10.41,6110,51.63,5,0.48,9.57,99989,4.11,42883,10850,1.04,0.14,1456,169,16.18,0.84,8806,74607,0.72,7.14
Czech Republic,2010,10429,1,311,0.03,65673,6.27,50270,4.8,,,89,8.5,160,15.28,255,24.35,20589,1.97,12.87,6292,53.71,4,0.38,9.82,102863,4.07,42614,10619,1.01,0.14,1470,162,15.47,0.85,8894,76413,0.71,7.3
Czech Republic,2011,10528,1,254,0.02,63354,6.04,48187,4.59,,,91,8.67,156,14.86,255,24.29,20359,1.94,12.44,6618,60.9,4,0.38,10.23,107353,4.02,42166,10417,0.99,0.14,1487,160,15.24,0.87,9139,74136,0.72,7.06
Czech Republic,2012,10437,0.99,267,0.03,62138,5.91,46863,4.46,,,92,8.75,156,14.84,252,23.98,20264,1.93,11.91,6255,57.61,4,0.38,9.6,100857,3.96,41582,10300,0.98,0.14,1518,156,14.84,0.89,9316,72842,0.73,6.93
Czech Republic,2013,10210,0.97,253,0.02,59999,5.71,44345,4.22,,,94,8.94,156,14.84,253,24.06,20217,1.92,11.44,6485,60.75,3,0.29,9.82,103249,4.01,42174,10047,0.96,0.15,1533,156,14.84,0.89,9397,70462,0.75,6.7
Czech Republic,2014,10230,0.97,253,0.02,59787,5.68,44047,4.18,,,91,8.65,155,14.73,257,24.42,20191,1.92,11.06,5959,54.24,3,0.29,9.93,104565,3.96,41671,9998,0.95,,,163,15.49,,,70270,0.75,6.68
Czech Republic,2015,10223,0.97,253,0.02,59837,5.67,43894,4.16,,,94,8.91,155,14.7,256,24.27,20496,1.94,10.9,5760,52,3,0.28,9.6,101247,3.97,41893,10076,0.96,,,159,15.08,,,70313,0.74,6.67
Czech Republic,2016,10316,0.98,253,0.02,59850,5.66,43773,4.14,,,96,9.09,152,14.39,260,24.61,20668,1.96,10.7,7212,64.02,3,0.28,11.54,121917,4.04,42682,10074,0.95,,,161,15.24,,,70419,0.76,6.66
Czech Republic,2017,10358,0.98,253,0.02,59603,5.63,43531,4.11,,,94,8.87,156,14.72,258,24.35,20742,1.96,10.43,,,3,0.28,,,4.09,43283,9934,0.94,,,161,15.2,,,70214,0.75,6.63
Czech Republic,2018,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,43951,,,,,,,,,,,
Denmark,2005,296,0.05,562,0.1,20044,3.7,20609,3.8,1.4,7570,,,,,,,41,0.01,0.05,2228,34.66,,,15.92,86260,4.87,26390,3541,0.65,0.16,894,,,0.5,2714,20902,1.54,3.86
Denmark,2006,350,0.06,627,0.12,19636,3.61,20232,3.72,1.4,7619,,,,,,,65,0.01,0.08,2319,35.69,,,16.13,87710,5.02,27293,3422,0.63,0.17,902,,,0.52,2811,20613,1.58,3.79
Denmark,2007,423,0.08,604,0.11,19132,3.5,19681,3.6,1.4,7671,,,,,,,101,0.02,0.12,2415,37.69,,,16.36,89344,5.16,28174,3351,0.61,0.16,895,,,0.52,2841,20159,1.62,3.69
Denmark,2008,421,0.08,446,0.08,18748,3.41,19269,3.51,1.41,7745,,,,,,,122,0.02,0.14,2509,38.58,,,16.6,91197,5.28,28991,3212,0.58,0.17,951,,,0.53,2900,19615,1.59,3.57
Denmark,2009,533,0.1,460,0.08,18303,3.31,18995,3.44,1.41,7793,,,,,,,134,0.02,0.15,2634,41.93,,,16.85,93083,5.41,29879,3191,0.58,0.18,969,,,0.54,3009,19296,1.8,3.49
Denmark,2010,401,0.07,468,0.08,18536,3.34,19059,3.44,1.42,7863,,,,,,,184,0.03,0.2,2782,43.87,,,17.08,94764,5.55,30766,3164,0.57,0.18,998,,,0.56,3130,19405,1.84,3.5
Denmark,2011,491,0.09,558,0.1,16384,2.94,17085,3.07,1.42,7935,,,,,,,208,0.04,0.22,2909,49.31,,,17.3,96362,5.67,31603,2967,0.53,0.18,998,,,0.57,3194,17433,2.04,3.13
