Entity,Year,"Number of cities with at least 10,000 inhabitants, by territory (De Vries (1984))","Total European urban population share, by region (De Vries (1984))","Urban share of total population, by territory and region (De Vries (1984))","Total European rural population share, by region (De Vries (1984))","Total European urban population, by region (De Vries (1984))","Total European rural population, by region (De Vries (1984))","Rural share of total population, by territory and region (De Vries (1984))",Total population (De Vries (1984)),Urban population (De Vries (1984)),Rural population (De Vries (1984))
Europe,1750,261,,9.5,,,,90.5,94200000,8949000,85251000
Europe,1800,364,,10,,,,90,122700000,12270000,110430000
Europe,1850,,,16.7,,,,83.300003,177000000,29559000,147441008
Europe,1890,,,29,,,,71,230400000,66816000,163584000
Europe,1980,,,34.6,,,,65.400002,405200000,140199200,265000800
France,1500,32,,4.2,,,,95.800003,16400000,688800,15711201
France,1550,34,,4.3,,,,95.699997,19000000,817000,18183000
France,1600,43,,5.9,,,,94.099998,19000000,1121000,17879000
France,1650,44,,7.2,,,,92.800003,20000000,1440000,18560000
France,1700,55,,9.199999999999999,,,,90.800003,19000000,1748000,17252000
France,1750,55,,9.1,,,,90.900002,21700000,1974700,19725300
France,1800,78,,8.800000000000001,,,,91.199997,27000000,2376000,24624000
France,1850,,,14.5,,,,85.5,35800000,5191000,30609000
France,1890,,,25.9,,,,74.099998,38400000,9945600,28454400
France,1980,,,43.6,,,,56.400002,53500000,23326000,30174000
Germany,1500,23,,3.2,,,,96.800003,12000000,384000,11616000
Germany,1550,27,,3.8,,,,96.199997,14000000,532000,13468000
Germany,1600,30,,4.1,,,,95.900002,16000000,656000,15344000
Germany,1650,23,,4.4,,,,95.599998,12000000,528000,11472000
Germany,1700,30,,4.8,,,,95.199997,15000000,720000,14280000
Germany,1750,35,,5.6,,,,94.400002,17000000,952000,16048000
Germany,1800,53,,5.5,,,,94.5,24500000,1347500,23152500
Germany,1850,,,10.8,,,,89.199997,34400000,3715200,30684798
Germany,1890,,,28.2,,,,71.800003,49400000,13930800,35469200
Germany,1980,,,32.5,,,,67.5,78100000,25382500,52717500
Ireland,1500,0,,0,,,,100,1000000,0,1000000
Ireland,1550,0,,0,,,,100,1100000,0,1100000
Ireland,1600,0,,0,,,,100,1400000,0,1400000
Ireland,1650,1,,.9,,,,99.099998,1800000,16200,1783800
Ireland,1700,3,,3.4,,,,96.599998,2800000,95200,2704800
Ireland,1750,3,,5,,,,95,3200000,160000,3040000
Ireland,1800,8,,7,,,,93,5300000,371000,4929000
Ireland,1850,,,10.2,,,,89.800003,6600000,673200,5926800
Ireland,1890,,,17.6,,,,82.400002,4800000,844800,3955200
Ireland,1980,,,21.6,,,,78.400002,4900000,1058400,3841600
Italy,1500,,,12.4,,,,87.599998,10500000,1302000,9198000
Italy,1800,,,14.6,,,,85.400002,17800000,2598800,15201200
Italy,1850,,,20.3,,,,79.699997,24000000,4872000,19128000
Italy,1890,,,21.2,,,,78.800003,30500000,6466000,24034000
Italy,1980,,,28.3,,,,71.699997,56900000,16102700,40797300
Low Countries,1500,,12.9,18.5,87.099998,,,81.5,,,
Low Countries,1550,,12.8,19.5,87.199997,,,80.5,,,
Low Countries,1600,,11.2,21.5,88.800003,,,78.5,,,
Low Countries,1650,,16.5,26.1,83.5,,,73.900002,,,
Low Countries,1700,,15.1,28.6,84.900002,,,71.400002,,,
Low Countries,1750,,11.4,24.7,88.599998,,,75.300003,,,
Low Countries,1800,,9.4,23,90.599998,,,77,,,
Low Countries,1850,,,24.1,,,,75.900002,,,
Low Countries,1890,,,34.1,,,,65.900002,,,
Low Countries,1980,,,39.2,,,,60.799999,,,
Mediterranean region,1500,65,50.7,9.5,49.299999,9278100,9021900,90.5,18300000,1738500,16561500
Mediterranean region,1550,77,51.5,11.4,48.5,10300000,9700000,88.599998,20000000,2280000,17720000
Mediterranean region,1600,101,51.4,13.7,48.599998,11462200,10837800,86.300003,22300000,3055100,19244900
Mediterranean region,1650,79,39.6,12.5,60.400002,7761600,11838400,87.5,19600000,2450000,17150000
Mediterranean region,1700,78,35.8,11.7,64.199997,8162400,14637599,88.300003,22800000,2667600,20132400
Mediterranean region,1750,94,35.1,11.8,64.900002,9301500,17198500,88.199997,26500000,3127000,23373000
Mediterranean region,1800,113,32.9,12.9,67.099998,10264800,20935200,87.099998,31200000,4024800,27175200
Mediterranean region,1850,,,18.6,,,,81.400002,42800000,7960800,34839200
Mediterranean region,1890,,,22.2,,,,77.800003,53200000,11810400,41389600
Mediterranean region,1980,,,29.4,,,,70.599998,104000000,30576000,73424000
Netherlands,1500,11,,15.8,,,,84.199997,950000,150100,799900
Netherlands,1550,12,,15.3,,,,84.699997,1250000,191250,1058750
Netherlands,1600,19,,24.3,,,,75.699997,1500000,364500,1135500
Netherlands,1650,19,,31.7,,,,68.300003,1900000,602300,1297700
Netherlands,1700,20,,33.6,,,,66.400002,1900000,638400,1261600
Netherlands,1750,18,,30.5,,,,69.5,1900000,579500,1320500
Netherlands,1800,19,,28.8,,,,71.199997,2100000,604800,1495199.9
Netherlands,1850,,,29.5,,,,70.5,3000000,885000,2115000
Netherlands,1890,,,33.4,,,,66.599998,4500000,1503000,2997000
Netherlands,1980,,,46.7,,,,53.299999,14000000,6538000,7462000
North and west region,1500,30,16,6.6,84,1328000,6972000,93.400002,8300000,547800,7752200
North and west region,1550,30,15.9,7.2,84.099998,1558200,8241800,92.800003,9800000,705600,9094400
North and west region,1600,40,16.5,8.199999999999999,83.5,1963500,9936500,91.800003,11900000,975800,10924200
North and west region,1650,45,26.4,10.9,73.599998,3933600,10966400,89.099998,14900000,1624100,13275900
North and west region,1700,53,28.3,13.1,71.699997,4528000,11472000,86.900002,16000000,2096000,13904000
North and west region,1750,65,27.8,13.6,72.199997,5087400,13212599,86.400002,18300000,2488800,15811200
North and west region,1800,105,31.9,14.9,68.099998,8325900,17774100,85.099998,26100000,3888900,22211100
North and west region,1850,,,26.1,,,,73.900002,42700000,11144700,31555300
North and west region,1890,,,43.4,,,,56.599998,59800000,25953200,33846800
North and west region,1980,,,42,,,,58,105400000,44268000,61132000
Northern Italy,1500,21,,,,,,,,,
Northern Italy,1550,22,,15.1,,,,84.900002,4700000,709700,3990300
Northern Italy,1600,30,,16.6,,,,83.400002,5400000,896400,4503600
Northern Italy,1650,19,,14.3,,,,85.699997,4300000,614900,3685099.8
Northern Italy,1700,22,,13.6,,,,86.400002,5700000,775200,4924800
Northern Italy,1750,29,,14.2,,,,85.800003,6500000,923000,5577000
Northern Italy,1800,33,,14.3,,,,85.699997,7200000,1029600,6170400
Poland,1500,0,,0,,,,100,2500000,0,2500000
Poland,1550,1,,.3,,,,99.699997,3000000,9000,2991000
Poland,1600,1,,.4,,,,99.599998,3400000,13600,3386400
Poland,1650,1,,.7,,,,99.300003,3000000,21000,2979000
Poland,1700,1,,.5,,,,99.5,2800000,14000,2786000
Poland,1750,2,,1,,,,99,3700000,37000,3663000
Poland,1800,3,,2.5,,,,97.5,4300000,107500,4192500
Poland,1850,,,9.300000000000001,,,,90.699997,6000000,558000,5442000
Poland,1890,,,14.6,,,,85.400002,9000000,1314000,7686000
Poland,1980,,,27,,,,73,35200000,9504000,25696000
Portugal,1500,1,,3,,,,97,1000000,30000,970000
Portugal,1550,4,,11.5,,,,88.5,1200000,138000,1062000
Portugal,1600,5,,14.1,,,,85.900002,1100000,155100,944900
Portugal,1650,5,,16.6,,,,83.400002,1200000,199200,1000800
Portugal,1700,5,,11.5,,,,88.5,2000000,230000,1770000
Portugal,1750,5,,9.1,,,,90.900002,2300000,209300,2090700
Portugal,1800,5,,8.699999999999999,,,,91.300003,2900000,252300,2647700
Portugal,1850,,,13.2,,,,86.800003,3800000,501600,3298400
Portugal,1890,,,12.7,,,,87.300003,5100000,647700,4452300
Portugal,1980,,,10.7,,,,89.300003,9900000,1059300,8840700
Rest of northern Europe,1500,,33.7,3.3,66.300003,,,96.699997,,,
Rest of northern Europe,1550,,32.9,3.5,67.099998,,,96.5,,,
Rest of northern Europe,1600,,32.6,4.3,67.400002,,,95.699997,,,
Rest of northern Europe,1650,,35.1,5,64.900002,,,95,,,
Rest of northern Europe,1700,,37.4,6.1,62.599998,,,93.900002,,,
Rest of northern Europe,1750,,38.9,6.5,61.099998,,,93.5,,,
Rest of northern Europe,1800,,37.1,6.4,62.900002,,,93.599998,,,
Rest of northern Europe,1850,,,11,,,,89,,,
Rest of northern Europe,1890,,,23.8,,,,76.199997,,,
Rest of northern Europe,1980,,,45.3,,,,54.700001,,,
Scandinavia,1500,1,,.9,,,,99.099998,1500000,13500,1486500
Scandinavia,1550,1,,.8,,,,99.199997,1700000,13600,1686400
Scandinavia,1600,2,,1.4,,,,98.599998,2000000,28000,1972000
Scandinavia,1650,2,,2.4,,,,97.599998,2600000,62400,2537600
Scandinavia,1700,2,,4,,,,96,2900000,116000,2784000
Scandinavia,1750,3,,4.6,,,,95.400002,3600000,165600,3434400
Scandinavia,1800,6,,4.6,,,,95.400002,5000000,230000,4770000
Scandinavia,1850,,,5.8,,,,94.199997,7900000,458200,7441800
Scandinavia,1890,,,13.2,,,,86.800003,11400000,1504800,9895200
Scandinavia,1980,,,32.9,,,,67.099998,22300000,7336700,14963300
Scotland,1500,1,,1.6,,,,98.400002,800000,12800,787200
Scotland,1550,1,,1.4,,,,98.599998,900000,12600,887400
Scotland,1600,1,,3,,,,97,1000000,30000,970000
Scotland,1650,1,,3.5,,,,96.5,1000000,35000,965000
Scotland,1700,2,,5.3,,,,94.699997,1000000,53000,947000
Scotland,1750,5,,9.199999999999999,,,,90.800003,1300000,119600,1180400
Scotland,1800,8,,17.3,,,,82.699997,1600000,276800,1323200
Scotland,1850,,,32,,,,68,2900000,928000,1972000
Scotland,1890,,,50.3,,,,49.700001,4000000,2012000,1988000
Scotland,1980,,,31.2,,,,68.800003,5200000,1622400,3577600.3
Southern Italy,1500,14,,,,,,,,,
Southern Italy,1550,15,,11.9,,,,88.099998,4200000,499800,3700200
Southern Italy,1600,20,,14.9,,,,85.099998,4800000,715200,4084800
Southern Italy,1650,20,,13.5,,,,86.5,4300000,580500,3719500
Southern Italy,1700,19,,12.2,,,,87.800003,4800000,585600,4214400
Southern Italy,1750,25,,13.8,,,,86.199997,5700000,786600,4913400
Southern Italy,1800,30,,15.3,,,,84.699997,7000000,1071000,5929000
Spain,1500,20,,6.1,,,,93.900002,6800000,414800,6385200
Spain,1550,27,,8.6,,,,91.400002,7400000,636400,6763600
Spain,1600,37,,11.4,,,,88.599998,8100000,923400,7176600
Spain,1650,24,,9.5,,,,90.5,7100000,674500,6425500
Spain,1700,22,,9,,,,91,7500000,675000,6825000
Spain,1750,24,,8.6,,,,91.400002,8900000,765400,8134600
Spain,1800,34,,11.1,,,,88.900002,10500000,1165500,9334500
Spain,1850,,,17.3,,,,82.699997,15000000,2595000,12405000
Spain,1890,,,26.8,,,,73.199997,17600000,4716800,12883199
Spain,1980,,,36.1,,,,63.900002,37200000,13429200,23770800
Switzerland,1500,1,,1.5,,,,98.5,650000,9750,640250
Switzerland,1550,1,,1.5,,,,98.5,800000,12000,788000
Switzerland,1600,2,,2.5,,,,97.5,1000000,25000,975000
Switzerland,1650,2,,2.2,,,,97.800003,1000000,22000,978000
Switzerland,1700,3,,3.3,,,,96.699997,1200000,39600,1160400
Switzerland,1750,4,,4.6,,,,95.400002,1300000,59800,1240200
Switzerland,1800,4,,3.7,,,,96.300003,1700000,62900,1637100
Switzerland,1850,,,7.7,,,,92.300003,2400000,184800,2215200
Switzerland,1890,,,16,,,,84,3000000,480000,2520000
Switzerland,1980,,,34.4,,,,65.599998,6300000,2167200,4132800
