Entity,Year,Share of Top 1% in net personal wealth
United States,1916,0.433023908
United States,1917,0.405319781
United States,1918,0.370485152
United States,1919,0.400082049
United States,1920,0.356744077
United States,1921,0.367974108
United States,1922,0.399746976
United States,1923,0.353841833
United States,1924,0.374622144
United States,1925,0.409176863
United States,1926,0.425818753
United States,1927,0.449193949
United States,1928,0.478221891
United States,1929,0.479869609
United States,1930,0.433713262
United States,1931,0.386238829
United States,1932,0.380964379
United States,1933,0.403371449
United States,1934,0.409852202
United States,1935,0.404845101
United States,1936,0.429880595
United States,1937,0.436633025
United States,1938,0.397611549
United States,1939,0.408158521
United States,1940,0.376684166
United States,1941,0.345669411
United States,1942,0.34112289
United States,1943,0.343799774
United States,1944,0.318380332
United States,1945,0.320999266
United States,1946,0.299287761
United States,1947,0.286840108
United States,1948,0.280689166
United States,1949,0.271918033
United States,1950,0.285294447
United States,1951,0.281015254
United States,1952,0.27767802
United States,1953,0.265440818
United States,1954,0.272361703
United States,1955,0.275404588
United States,1956,0.278969223
United States,1957,0.275299543
United States,1958,0.2711577
United States,1959,0.277656292
United States,1960,0.277659451
United States,1961,0.279639862
United States,1962,0.30037
United States,1963,0.276166126
United States,1964,0.29691
United States,1965,0.268707439
United States,1966,0.290149999
United States,1967,0.286529998
United States,1968,0.304959999
United States,1969,0.289290001
United States,1970,0.280910001
United States,1971,0.27662
United States,1972,0.274489999
United States,1973,0.259380003
United States,1974,0.245730001
United States,1975,0.238499998
United States,1976,0.229089998
United States,1977,0.231190002
United States,1978,0.219569998
United States,1979,0.232749998
United States,1980,0.23554
United States,1981,0.24417
United States,1982,0.246899998
United States,1983,0.237369999
United States,1984,0.23865
United States,1985,0.242824998
United States,1986,0.240620002
United States,1987,0.2534
United States,1988,0.271869999
United States,1989,0.27298
United States,1990,0.274339998
United States,1991,0.268789998
United States,1992,0.286160005
United States,1993,0.28835
United States,1994,0.288410004
United States,1995,0.29143
United States,1996,0.30021
United States,1997,0.309730001
United States,1998,0.326140001
United States,1999,0.339000002
United States,2000,0.3444
United States,2001,0.33368
United States,2002,0.322739998
United States,2003,0.321539998
United States,2004,0.331719999
United States,2005,0.335339996
United States,2006,0.34086
United States,2007,0.351009998
United States,2008,0.373800001
United States,2009,0.373429996
United States,2010,0.390049998
United States,2011,0.388309997
United States,2012,0.400980002
United States,2013,0.382770001
United States,2014,0.385620001
