Entity,Year,Total patents granted,Chemical,Computers & Communications,Medical,Electronics,Mechanical,Other
United States,1861,3021,291,11,28,72,1053,1566
United States,1862,3214,410,13,30,95,1128,1538
United States,1863,3772,470,11,74,94,1368,1755
United States,1864,4629,594,14,79,85,1667,2190
United States,1865,6089,727,16,97,116,2131,3002
United States,1866,8862,1040,13,158,161,2949,4541
United States,1867,12275,1276,28,219,197,4185,6370
United States,1868,12524,1120,26,231,193,4242,6712
United States,1869,12930,1265,33,224,239,4420,6749
United States,1870,12137,1223,37,163,219,4076,6419
United States,1871,11656,1035,72,195,261,4022,6071
United States,1872,12179,1091,107,185,250,4234,6312
United States,1873,11616,973,71,140,205,4119,6108
United States,1874,12230,1089,85,132,213,4473,6238
United States,1875,13291,1172,90,160,273,4561,7035
United States,1876,14172,1139,79,155,304,4743,7752
United States,1877,12920,1085,62,125,247,4174,7227
United States,1878,12345,1030,66,145,323,4004,6777
United States,1879,12123,1011,77,156,350,4103,6426
United States,1880,12901,1161,146,134,482,4380,6598
United States,1881,15492,1381,231,163,616,5268,7833
United States,1882,18087,1529,253,163,995,6288,8859
United States,1883,21150,1722,241,223,1138,7680,10146
United States,1884,19120,1514,236,184,867,7345,8974
United States,1885,23275,1757,308,292,1024,8473,11421
United States,1886,21756,1579,256,266,1021,7807,10827
United States,1887,20395,1319,285,272,893,7217,10409
United States,1888,19543,1339,282,240,1056,7286,9340
United States,1889,23315,1738,263,335,1367,8671,10941
United States,1890,25303,1768,384,338,1717,9514,11582
United States,1891,22303,1534,315,298,1517,8431,10208
United States,1892,22642,1546,310,278,1431,8382,10695
United States,1893,22741,1765,333,248,1540,8539,10316
United States,1894,19828,1528,255,220,1468,7599,8758
United States,1895,20854,1610,318,215,1312,7935,9464
United States,1896,21823,1645,375,220,1355,8175,10053
United States,1897,22057,1573,402,231,1325,8459,10067
United States,1898,20373,1645,192,228,1059,7845,9404
United States,1899,23278,2212,316,306,1211,8582,10651
United States,1900,24637,2363,414,341,1411,9103,11005
United States,1901,25545,2178,452,369,1654,9602,11290
United States,1902,27118,2364,463,405,1736,10071,12079
United States,1903,31027,2558,488,484,2073,11503,13921
United States,1904,30258,2304,669,413,1988,11627,13257
United States,1905,29775,2371,519,433,1852,11513,13087
United States,1906,31169,2477,558,432,1726,12341,13635
United States,1907,35859,2742,598,437,2289,14053,15740
United States,1908,32735,2627,600,433,2134,12473,14468
United States,1909,36561,2794,656,434,2564,14039,16074
United States,1910,35128,2839,555,402,2437,13496,15399
United States,1911,32855,2954,502,353,2557,12914,13575
United States,1912,36196,3093,520,438,2693,14297,15155
United States,1913,33915,2871,500,438,2390,13082,14634
United States,1914,39892,3218,749,475,3064,15400,16986
United States,1915,43120,3472,920,477,3444,16797,18010
United States,1916,43892,3497,1036,481,3530,16879,18469
United States,1917,40929,3393,1088,510,3620,15369,16949
United States,1918,38451,3391,904,488,3290,14620,15758
United States,1919,36796,3532,807,456,3282,14608,14111
United States,1920,37060,3229,783,431,3205,14455,14957
United States,1921,37792,3316,791,488,3107,14775,15315
United States,1922,38361,3788,728,363,3092,15170,15220
United States,1923,38614,3491,841,430,3048,15082,15722
United States,1924,42572,3811,971,546,3970,16078,17196
United States,1925,46432,4412,1254,553,4559,16821,18833
United States,1926,44746,4561,1093,649,4410,15829,18204
United States,1927,41701,3996,1060,653,4287,14946,16759
United States,1928,42356,4264,1082,557,4893,14706,16854
United States,1929,45267,5143,1111,643,4888,15297,18185
United States,1930,45226,5618,1137,518,4785,15673,17495
United States,1931,51756,6460,1383,517,5138,17939,20319
United States,1932,53457,7400,1432,593,5552,18000,20480
United States,1933,48774,7453,1373,637,5790,15977,17544
United States,1934,44417,6792,1167,606,5553,14163,16136
United States,1935,40616,6175,1244,661,4704,12316,15516
United States,1936,39781,6380,1380,639,4460,12131,14791
United States,1937,37683,6206,1294,676,4307,11268,13932
United States,1938,38061,6166,1274,612,4442,11596,13971
United States,1939,43071,6568,1509,618,5501,13165,15710
United States,1940,42236,6807,1578,655,5412,12860,14924
United States,1941,41108,6129,1638,670,5742,12640,14289
United States,1942,38449,6161,1657,567,5749,11338,12977
United States,1943,31054,5620,991,468,3974,9213,10788
United States,1944,28053,5432,991,449,3399,8946,8836
United States,1945,25695,5771,809,415,3063,8368,7269
United States,1946,21804,4616,1117,336,3230,6580,5925
United States,1947,20138,4077,1024,393,3274,5623,5747
United States,1948,23962,4655,866,513,4301,6672,6955
United States,1949,35131,6465,1475,627,6060,9713,10791
United States,1950,43039,7693,2084,777,6452,11620,14413
United States,1951,44332,7912,1931,993,6255,12667,14574
United States,1952,43608,7557,1787,830,5891,12699,14844
United States,1953,40468,6943,1571,751,5502,11688,14013
United States,1954,33809,6356,1210,731,4908,9490,11114
United States,1955,30432,5391,1213,612,4340,8799,10077
United States,1956,46816,9334,1783,834,7070,13349,14446
United States,1957,42743,8200,1653,807,6873,12045,13165
United States,1958,48330,9641,2117,1105,7842,13623,14002
United States,1959,52408,10639,2587,1097,8835,14078,15172
United States,1960,47169,9106,2677,886,8159,13320,13021
United States,1961,48368,10137,2613,825,7561,13648,13584
United States,1962,55690,11476,2924,1449,8795,15446,15600
United States,1963,45675,9188,2288,1196,6823,12681,13499
United States,1964,47373,9804,2516,1037,7443,13493,13080
United States,1965,62853,12367,3625,1106,11150,17816,16789
United States,1966,68395,15786,3935,1392,12081,18197,17004
United States,1967,65634,15612,3507,1527,10984,16842,17162
United States,1968,59073,13782,3067,1222,9872,15447,15683
United States,1969,67531,15936,3878,1693,12057,16861,17106
United States,1970,64377,14858,4243,1760,12144,15947,15425
United States,1971,78251,16016,5440,2136,14753,20767,19139
United States,1972,74720,20281,5233,2392,12013,18073,16728
United States,1973,73974,17017,5208,2441,12519,19444,17345
United States,1974,75981,18031,4819,2867,12037,20211,18016
United States,1975,71619,18187,4582,3228,10836,18236,16550
United States,1976,69816,18352,4611,3375,11083,16614,15781
United States,1977,65308,16009,4652,3613,10704,15551,14779
United States,1978,66069,16562,4721,3322,10387,15507,15570
United States,1979,48916,11922,3610,2789,7799,11278,11518
United States,1980,61837,14675,4696,3973,9524,14131,14838
United States,1981,65872,16595,4625,4152,10219,14717,15564
United States,1982,57943,13371,4937,3756,9997,12707,13175
United States,1983,57020,13500,4726,3490,9689,12814,12801
United States,1984,67259,14931,5466,4274,11711,15075,15802
United States,1985,71656,15317,6359,4581,12540,16380,16479
United States,1986,70800,13619,6715,5002,12323,16602,16539
United States,1987,82809,14971,8740,6030,15946,18643,18479
United States,1988,77829,14701,8540,5837,14130,17765,16856
United States,1989,95488,17793,11260,7951,17152,20459,20873
United States,1990,90401,17456,10169,7677,16152,19058,19889
United States,1991,96427,18524,10825,8433,17565,20671,20409
United States,1992,97435,19319,11223,8797,17784,20413,19899
United States,1993,98334,20033,12684,9388,17447,19811,18971
United States,1994,101607,19302,14535,9741,18781,19103,20145
United States,1995,101391,18505,15756,10250,19404,17861,19615
United States,1996,109492,18429,19154,11669,20558,19183,20499
United States,1997,111811,18506,19693,14397,20185,18853,20177
United States,1998,147299,21954,30625,18472,27030,23521,25697
United States,1999,153448,23048,31339,18702,28547,24659,27153
United States,2000,157575,22336,32386,17955,31769,26176,26953
United States,2001,166032,23176,34607,19045,35194,27579,26431
United States,2002,167330,22928,36046,18583,37185,26843,25745
United States,2003,168881,21436,37828,18708,38341,27274,25294
United States,2004,164161,19264,41969,14792,39221,25589,23326
United States,2005,143715,15176,39682,12458,34709,22367,19323
United States,2006,173898,16938,54756,15316,40783,26080,20025
United States,2007,157459,15900,49197,14215,37919,22777,17451
United States,2008,158055,15740,53301,12794,38271,21346,16603
United States,2009,167532,16168,58286,14365,41165,20727,16821
United States,2010,220225,21936,75647,21381,51229,26488,23544
United States,2011,225450,22720,79011,22598,50945,27039,23137
United States,2012,254162,24683,93733,26741,54474,28918,25613
United States,2013,279121,26384,103386,31067,59235,30982,28067
United States,2014,300184,27316,112459,33347,64827,32745,29490
United States,2015,298407,,,,,,
