Entity,Year,"Estimated average age at marriage, men (UN)","Estimated average age at marriage, women (UN)"
Botswana,1981,30.799999,26.4
Botswana,1991,30.9,26.9
Botswana,2001,30.9,26.4
Botswana,2011,29.799999,24.799999
Brazil,1960,26,22.299999
Brazil,1970,26.200001,23
Brazil,1980,25.5,22.700001
Brazil,1991,25.799999,22.5
Brazil,2000,26.200001,23.1
Brazil,2010,26.799999,23.9
British Virgin Islands,1970,28.200001,24.299999
British Virgin Islands,1980,28.200001,26.4
British Virgin Islands,1991,31.9,28.4
Brunei,1971,26.299999,22.4
Brunei,1981,26.5,23.6
Brunei,1991,27.299999,25.1
Brunei,2011,29.299999,26.1
Bulgaria,2014,34.900002,31.700001
Bulgaria,2015,35.200001,32
Bulgaria,2016,35.400002,32.299999
Bulgaria,2017,35.599998,32.5
Bulgaria,2018,35.700001,32.599998
Burkina Faso,1960,26.4,16.799999
Burkina Faso,1984,25.700001,18.5
Burkina Faso,1991,27.6,19
Burkina Faso,1992,26,18.200001
Burkina Faso,1998,26.4,18.9
Burkina Faso,2003,26.1,19.4
Burkina Faso,2006,,20.299999
Burkina Faso,2010,25.299999,19.5
Burkina Faso,2017,26.4,20
Burundi,1970,23.700001,21.700001
Burundi,1987,,21.799999
Burundi,2000,26.200001,23.4
Burundi,2002,26.1,23.700001
Burundi,2005,25.5,21.6
Burundi,2010,25.4,22.1
Burundi,2016,26.1,22.799999
Cambodia,1998,,22.1
Cambodia,2000,,22.299999
Cambodia,2004,24.6,22.799999
Cambodia,2005,24.4,22.6
Cambodia,2010,24.9,22
Cambodia,2014,24.5,21.6
Cameroon,1991,,19.1
Cameroon,1998,26.700001,20.200001
Cameroon,2000,28.1,22.700001
Cameroon,2004,25,20.1
Cameroon,2006,,22.1
Cameroon,2011,27.200001,21.299999
Cameroon,2014,28.5,22.200001
Canada,1977,24.700001,22.6
Canada,1979,25.200001,23.1
Canada,1980,25.5,23.4
Canada,1982,25.5,23.299999
Canada,1983,25.700001,24.6
Canada,1984,26,23.799999
Canada,1985,26.299999,24.1
Canada,1986,26.9,24.700001
Canada,1987,26.9,24.6
Canada,1988,27.200001,24.9
Canada,1989,27.6,25.200001
Canada,1990,27.9,25.5
Canada,1991,27.700001,25.200001
Canada,1992,28.1,25.6
Canada,1993,28.5,25.9
Canada,1994,28.9,26.200001
Canada,1995,29.299999,26.6
Canada,1996,29.6,26.9
Canada,1997,29.1,26.4
Canada,1998,29.1,26.4
Canada,1999,29.299999,26.5
Canada,2000,29.4,26.6
Canada,2001,29.5,26.799999
Canada,2002,29.6,26.799999
Canada,2003,29.299999,26.700001
Canada,2004,29.4,26.799999
Canada,2006,29.5,26.9
Canada,2013,28.799999,27.1
Canada,2015,28.799999,27.1
Canada,2016,28.799999,27.200001
Cape Verde,1960,27.6,23.299999
Cape Verde,1970,29.200001,22
Cape Verde,1980,27.299999,23.6
Cape Verde,1990,28.1,25.700001
Cape Verde,2000,28.799999,24.6
Cayman Islands,1970,25.4,19.700001
Cayman Islands,1979,27.299999,25.5
Cayman Islands,1989,27.6,25.200001
Cayman Islands,2010,29.9,28
Central African Republic,1994,24.4,19.4
Central African Republic,2000,24.799999,17.9
Central African Republic,2006,,17
Central African Republic,2010,21.700001,17.299999
Chad,1996,24.1,18.1
Chad,2000,25.200001,18.299999
Chad,2004,24.5,18.4
Chad,2010,,18.200001
Chad,2014,24.700001,18.799999
Channel Islands,1981,26.5,24.6
Channel Islands,1986,28.200001,26.799999
Channel Islands,1991,29.299999,28.200001
Channel Islands,2001,31.299999,29.700001
Chile,1971,25.700001,23.4
Chile,1976,25.4,23.4
Chile,1977,25.299999,23.4
Chile,1978,25.200001,23.4
Chile,1979,25.700001,23.299999
Chile,1980,25.700001,23.299999
Chile,1981,25.700001,23.299999
Chile,1982,25.700001,23.299999
Chile,1983,25.700001,23.299999
Chile,1984,25.700001,23.299999
Chile,1985,25.700001,23.299999
China,1995,24.200001,22.6
China,2005,25.6,23.5
China,2013,26.200001,24.4
China,2015,26.9,24.799999
China,2016,27.1,25.4
Colombia,1986,,23.5
Colombia,1990,,23.1
Colombia,1995,26.799999,22.200001
Colombia,2000,27,23.1
Colombia,2004,26.9,23
Colombia,2009,26.799999,22.299999
Colombia,2015,26.200001,22.700001
Comoros,1996,28.5,23.6
Comoros,2000,26.799999,20.799999
Comoros,2012,25.5,22.6
Congo,2005,25.799999,21.9
Congo,2009,26,21.1
Congo,2011,26.9,21.299999
Congo,2014,27.5,21.9
Cook Islands,1971,23.6,23.1
Cook Islands,1976,24.299999,24.4
Cook Islands,1981,26.200001,25.6
Cook Islands,1986,28.5,27.700001
Cook Islands,1996,31.200001,29.6
Cook Islands,2006,27.9,28
Costa Rica,2003,26.9,23.4
Costa Rica,2006,27,23.6
Costa Rica,2007,27.6,24.1
Costa Rica,2009,27.9,24.4
Costa Rica,2010,27.799999,24.200001
Costa Rica,2013,29.1,26.6
Costa Rica,2014,28.799999,25.700001
Costa Rica,2015,28.1,24.9
Costa Rica,2016,28.299999,25.299999
Costa Rica,2017,28.6,25.9
Costa Rica,2018,29.200001,26.4
Cote d'Ivoire,1994,28.1,20.9
Cote d'Ivoire,1998,28,21.9
Cote d'Ivoire,2000,29.200001,22.799999
Cote d'Ivoire,2005,27.299999,21.700001
Cote d'Ivoire,2006,,19.700001
Cote d'Ivoire,2011,28,22.299999
Cote d'Ivoire,2016,29.200001,23
Croatia,1991,28,23.799999
Croatia,2001,29.799999,26.200001
Croatia,2011,30.200001,27.4
Cuba,1970,23.4,19.5
Cuba,1981,23.5,19.799999
Cuba,2002,25.299999,21.1
Cuba,2012,25.4,21.299999
Cyprus,1973,25.9,24.200001
Cyprus,1976,26.299999,24.200001
Cyprus,1992,27,23.1
Cyprus,2001,28.700001,25.200001
Cyprus,2011,29.299999,26.4
Czech Republic,1991,25.299999,22
Czech Republic,1993,25.6,22.5
Czech Republic,1994,26,23
Czech Republic,1995,26.4,23.4
Czech Republic,1996,26.799999,23.9
Czech Republic,2002,29.200001,26.6
Czech Republic,2004,30.1,27.6
Czech Republic,2005,30.5,28.1
Czech Republic,2006,30.9,28.5
Czech Republic,2007,31.200001,28.9
Czech Republic,2008,31.6,29.299999
Czech Republic,2009,32.099998,29.799999
Czech Republic,2011,32.599998,30.200001
Czech Republic,2012,32.900002,30.4
Czech Republic,2013,33.299999,30.9
Czech Republic,2014,33.700001,31.299999
Czech Republic,2015,34.099998,31.700001
Czech Republic,2016,34.400002,32
Czech Republic,2017,34.599998,32.299999
Czech Republic,2018,34.799999,32.400002
Democratic Republic of Congo,1991,24.6,19.700001
Democratic Republic of Congo,2001,26.799999,21
Democratic Republic of Congo,2007,25.200001,20.799999
Democratic Republic of Congo,2010,,20.200001
Democratic Republic of Congo,2013,25.5,20.9
Denmark,1970,25.1,22
Denmark,1971,25.1,22.200001
Denmark,1972,25.4,22.4
Denmark,1973,25.700001,22.700001
Denmark,1974,26,23.1
Denmark,1975,26.200001,23.4
Denmark,1976,26.5,23.700001
Denmark,1977,26.9,24
Denmark,1978,27.200001,24.299999
Denmark,1979,27.6,24.799999
Denmark,1980,28,25.200001
Denmark,1982,28.9,26.1
Denmark,1983,29.4,26.700001
Denmark,1984,29.799999,27.1
Denmark,1985,30.200001,27.5
Denmark,1986,30.6,27.9
Denmark,1987,30.9,28.299999
Denmark,1988,31.200001,28.6
Denmark,1990,31.9,29.299999
Denmark,1992,32.299999,29.799999
Denmark,1994,27.700001,25
Denmark,1995,27.700001,25
Denmark,1996,27.700001,25.1
Denmark,1997,27.700001,25.1
Denmark,2001,32.900002,30.700001
Denmark,2002,32.799999,30.799999
Denmark,2003,32.900002,30.9
Denmark,2004,32.799999,30.799999
Denmark,2005,32.799999,30.799999
Denmark,2006,32.799999,30.9
Denmark,2007,32.799999,30.9
Denmark,2008,32.700001,30.799999
Denmark,2009,32.700001,30.799999
Denmark,2010,32.700001,30.799999
Denmark,2011,32.799999,31
Denmark,2012,33,31.1
Denmark,2013,33.200001,31.299999
Denmark,2014,33.299999,31.5
Denmark,2015,33.400002,31.700001
Denmark,2016,33.599998,31.799999
Denmark,2017,33.700001,31.9
Denmark,2018,33.599998,31.9
Djibouti,1991,29.299999,26.799999
Djibouti,2002,30.799999,27.700001
Djibouti,2006,,26.9
Djibouti,2012,33,29.9
Dominica,1970,32.5,29.6
Dominica,1981,33.299999,30.799999
Dominica,1991,35.400002,31.6
Dominica,2001,36.5,32.5
Dominican Republic,1986,,21.5
Dominican Republic,1991,,21.799999
Dominican Republic,1996,25.5,21.299999
Dominican Republic,1999,24.299999,21.6
Dominican Republic,2000,26.1,21.4
Dominican Republic,2002,26.1,21
Dominican Republic,2007,25.4,21
Dominican Republic,2013,24.799999,21
Dominican Republic,2014,,21.5
Ecuador,1974,25,
Ecuador,1982,24.799999,22
Ecuador,1987,,22.200001
Ecuador,1989,,22.299999
Ecuador,1990,25.200001,
Ecuador,1994,,22.799999
Ecuador,1999,,22.299999
Ecuador,2001,24.6,
Ecuador,2004,,22.200001
Ecuador,2010,25,
Egypt,1980,27,21.4
Egypt,1988,,22.1
Egypt,1992,28,22.4
Egypt,1995,28.1,22.299999
Egypt,2000,28.200001,22.700001
Egypt,2003,28.299999,22.700001
Egypt,2005,28,23
Egypt,2008,27.700001,22.700001
Egypt,2014,27.5,22
El Salvador,1971,24.700001,
El Salvador,1985,,20
El Salvador,1992,25.299999,
El Salvador,1998,,21.5
El Salvador,2002,,22
El Salvador,2007,25.5,
El Salvador,2008,,21.9
El Salvador,2014,,22.6
Equatorial Guinea,2000,28.799999,21.299999
Equatorial Guinea,2011,26.1,20.5
Eritrea,1995,25.299999,19.5
Eritrea,2002,29.1,20.6
Estonia,2014,35.200001,32.799999
Estonia,2017,36.099998,33.5
Estonia,2018,36.299999,33.599998
Ethiopia,1964,26.200001,19
Ethiopia,1968,22.9,16.799999
Ethiopia,1981,23.799999,17.6
Ethiopia,1990,,19.4
Ethiopia,2000,25.799999,20.6
Ethiopia,2005,25.700001,20.9
Ethiopia,2010,25.700001,21.200001
Ethiopia,2016,25.799999,21.299999
Faeroe Islands,1991,30.9,28.200001
Faeroe Islands,1992,31,28.299999
Faeroe Islands,2008,,30.700001
Faeroe Islands,2013,33.599998,31
Faeroe Islands,2014,34.599998,31.700001
Faeroe Islands,2015,34,30.9
Faeroe Islands,2016,34,30.799999
Faeroe Islands,2017,34.099998,30.9
Faeroe Islands,2018,34.099998,31
Falkland Islands,2016,29.799999,29
Fiji,1976,24.700001,21.700001
Fiji,1986,25.299999,22.5
Fiji,2007,27.700001,24.1
Finland,1972,25.700001,22.799999
Finland,1973,25.799999,22.9
Finland,1974,25.9,23.1
Finland,1976,26.200001,23.6
Finland,1977,26.4,23.799999
Finland,1978,26.6,24.1
Finland,1979,26.799999,24.299999
Finland,1981,27.299999,24.9
Finland,1982,27.6,25.200001
Finland,1983,27.9,25.4
Finland,1984,28.200001,25.799999
Finland,1985,28.6,26.1
Finland,1986,28.9,26.5
Finland,1987,29.299999,26.799999
Finland,1989,29.799999,27.299999
Finland,1991,30.6,28.200001
Finland,1994,31.5,29
Finland,1995,31.6,29.200001
Finland,1996,31.9,29.6
Finland,1997,32.099998,29.799999
Finland,1998,32.200001,30
Finland,2003,32.400002,30.5
Finland,2004,32.400002,30.5
Finland,2005,32.299999,30.5
Finland,2006,32.299999,30.5
Finland,2007,32.200001,30.5
Finland,2008,32.099998,30.4
Finland,2009,32,30.299999
Finland,2010,31.9,30.200001
Finland,2011,31.9,30.1
Finland,2012,31.9,30.1
Finland,2013,31.9,30.1
Finland,2014,32,30.200001
Finland,2015,32.099998,30.299999
Finland,2016,32.299999,30.5
Finland,2017,32.5,30.6
Finland,2018,32.599998,30.700001
France,1970,25.200001,22.299999
France,1971,25,22.299999
France,1972,24.9,22.200001
France,1973,24.700001,22.200001
France,1974,24.6,22.1
France,1975,24.5,22.1
France,1976,24.5,22.200001
France,1977,24.6,22.299999
France,1978,24.700001,22.5
France,1979,24.9,22.700001
France,1980,25.1,23
France,1981,25.4,23.200001
France,1982,26.200001,24.200001
France,1983,26.5,24.6
France,1984,26.9,25
France,1985,26.6,24.700001
France,1986,27,25.1
France,1987,27.5,25.6
France,1988,27.9,26
France,1989,28.4,26.4
France,1990,28.799999,26.799999
France,1991,29.200001,27.200001
France,2000,32.299999,30.200001
France,2001,32.599998,30.5
France,2003,32.900002,31
France,2005,33,31
France,2012,33.599998,32
France,2013,33.700001,32
French Guiana,1982,30.200001,27.5
French Guiana,1999,34.200001,31.700001
French Guiana,2006,33.700001,32
French Polynesia,1977,28.5,25.799999
French Polynesia,1996,32.099998,29.9
French Polynesia,2007,35.5,33.099998
French Polynesia,2012,35.799999,33.799999
Gabon,2000,26.200001,22.1
Gabon,2012,27.799999,22.9
Gambia,2000,29,20.4
Gambia,2005,,21.1
Gambia,2013,29.700001,21.5
Georgia,1979,26,22.5
Georgia,1989,26.1,22.4
Georgia,2002,28,23.700001
Georgia,2014,27.4,22.799999
Germany,1990,28.9,26.1
Germany,1991,29.299999,26.5
Germany,1992,29.6,26.799999
Germany,1993,30,27.200001
Germany,1994,30.299999,27.5
Germany,2001,32.599998,30.1
Germany,2004,33.299999,30.5
Germany,2006,33.599998,31
Germany,2012,34.200001,31.9
Germany,2013,34.200001,32
Germany,2014,33.599998,31.200001
Germany,2015,33.700001,31.4
Germany,2016,33.799999,31.5
Germany,2018,33.900002,31.700001
Ghana,1988,,20.200001
Ghana,1993,26.200001,20.5
Ghana,1998,26.6,21
Ghana,2003,26.6,22.4
Ghana,2006,,22.799999
Ghana,2008,27.700001,23.4
Ghana,2011,27.9,23.799999
Ghana,2014,27.799999,24.5
Ghana,2017,,23.700001
Gibraltar,1970,25.9,21.5
Gibraltar,1981,24.799999,21.1
Gibraltar,1991,26.299999,23.200001
Gibraltar,2001,29.299999,26.799999
Gibraltar,2012,31.799999,29.1
Greece,1981,27.6,22.5
Greece,1991,29.4,24.5
Greece,2001,31.299999,26.9
Greece,2011,32.799999,29.200001
Greenland,1974,30.1,25.4
Greenland,1975,30.4,25.799999
Greenland,1976,30.9,26.5
Greenland,1977,31.1,27
Greenland,1978,31.5,27.5
Greenland,1979,31.799999,27.6
Greenland,1980,31.9,27.9
Greenland,1981,32.299999,28.200001
Greenland,1982,32.5,28.5
Greenland,1983,32.700001,29
Greenland,1984,32.900002,29.4
Greenland,1985,33.200001,29.6
Greenland,1986,33.5,29.9
Greenland,1987,33.900002,30.299999
Greenland,1988,34.099998,30.700001
Greenland,1990,34.099998,31
Greenland,1991,34.200001,31.1
Greenland,1992,34.200001,31.200001
Greenland,1997,33.700001,31.5
Greenland,1998,33.700001,31.299999
Greenland,1999,33.5,31.299999
Greenland,2009,33.700001,30.9
Greenland,2010,33.700001,31.200001
Greenland,2011,33.799999,31.5
Greenland,2012,33.900002,31.6
Greenland,2013,34,31.700001
Greenland,2014,34.099998,32
Greenland,2015,34.200001,32.299999
Greenland,2016,34.5,32.400002
Greenland,2018,34.700001,32.900002
Grenada,1970,31.5,28.200001
Grenada,1981,33.299999,29.4
Grenada,1991,34.400002,31
Guadeloupe,1982,29.6,26.6
Guadeloupe,1999,34.200001,31.6
Guatemala,1973,23.700001,
Guatemala,1981,23.6,
Guatemala,1987,,20.6
Guatemala,1994,23.6,
Guatemala,1995,,20.5
Guatemala,1998,,20.4
Guatemala,2002,,21.6
Guatemala,2008,,22
Guatemala,2014,,22.200001
Guatemala,2018,25,
Guinea,1992,26.1,18.9
Guinea,1999,27.700001,18.700001
Guinea,2005,26.299999,19.299999
Guinea,2012,27.9,20.6
Guinea-Bissau,1960,28,
Guinea-Bissau,1979,26.6,
Guinea-Bissau,1991,28.1,
Guinea-Bissau,2000,,20.200001
Guinea-Bissau,2006,,21.700001
Guinea-Bissau,2010,,21.700001
Guinea-Bissau,2014,,24.1
Guyana,2000,27.200001,20.200001
Guyana,2005,26.200001,22.700001
Guyana,2006,,22.5
Guyana,2009,25.4,21.5
Guyana,2014,21.299999,19.200001
Haiti,1977,,21.6
Haiti,1994,26.6,22.200001
Haiti,2000,27.200001,22.200001
Haiti,2005,27.5,22.200001
Haiti,2012,28.299999,23.700001
Haiti,2013,,26.1
Haiti,2016,28.700001,24.9
Honduras,1974,24.4,
Honduras,1988,24.700001,
Honduras,1996,,20.299999
Honduras,2001,24.700001,20.4
Honduras,2005,,21.299999
Honduras,2011,,21.200001
Hong Kong,1971,30.200001,23.799999
Hong Kong,1981,28.700001,25.299999
Hong Kong,1986,29.200001,26.6
Hong Kong,1991,30,27.700001
Hong Kong,1996,30.700001,28.6
Hong Kong,2001,31.6,29.5
Hong Kong,2006,32.799999,30.299999
Hong Kong,2011,32.700001,30.299999
Hong Kong,2016,32.099998,29.9
Hungary,1971,24.700001,21
Hungary,1972,24.700001,21
Hungary,1973,24.700001,21
Hungary,1974,24.700001,21.1
Hungary,1975,24.700001,21.1
Hungary,1976,24.700001,21.1
Hungary,1977,24.700001,21.1
Hungary,1978,24.799999,21.1
Hungary,1979,24.9,21.1
Hungary,1980,24.799999,21.1
Hungary,1981,25,21.200001
Hungary,1982,25.200001,21.299999
Hungary,1983,25.299999,21.4
Hungary,1984,25.4,21.6
Hungary,1985,25.5,21.700001
Hungary,1986,25.6,21.799999
Hungary,1987,25.700001,22
Hungary,1988,25.9,22.200001
Hungary,1989,26.1,22.4
Hungary,1991,26.299999,22.799999
Hungary,1992,26.5,23.1
Hungary,1993,26.799999,23.4
Hungary,1994,27.1,23.799999
Hungary,1995,27.5,24.200001
Hungary,1996,27.799999,24.700001
Hungary,1997,28.200001,25.1
Hungary,1998,28.5,25.5
Hungary,1999,28.299999,24.700001
Hungary,2000,29.299999,26.5
Hungary,2001,29.9,26.9
Hungary,2002,30.299999,27.4
Hungary,2003,30.6,27.9
Hungary,2004,31,28.299999
Hungary,2005,31.299999,28.799999
Hungary,2006,31.700001,29.299999
Hungary,2007,32,29.700001
Hungary,2008,32.400002,30.200001
Hungary,2009,32.799999,30.700001
Hungary,2010,33.299999,31.1
Hungary,2011,33.700001,31.6
Hungary,2012,34,31.799999
Hungary,2014,34.599998,32.5
Hungary,2015,34.799999,32.799999
Hungary,2016,34.900002,32.900002
Hungary,2017,35,32.900002
Hungary,2018,35,32.900002
Iceland,1974,24.1,21.9
Iceland,1975,24.4,22.200001
Iceland,1976,24.5,22.299999
Iceland,1977,24.799999,22.6
Iceland,1978,25.1,23
Iceland,1979,25.4,23.299999
Iceland,1980,25.700001,23.799999
Iceland,1981,26.1,24.299999
Iceland,1982,26.6,24.799999
Iceland,1983,27,25.200001
Iceland,1984,27.5,25.6
Iceland,1985,28,26.1
Iceland,1986,28.4,26.6
Iceland,1987,28.9,27.200001
Iceland,1988,29.4,27.799999
Iceland,1989,29.9,28.299999
Iceland,1990,30.4,28.799999
Iceland,1991,30.9,29.299999
Iceland,1992,31.299999,29.700001
Iceland,1993,31.700001,30.200001
Iceland,1995,32.5,30.9
Iceland,1996,32.900002,31.4
Iceland,1997,28.200001,26.5
Iceland,1998,28.5,26.799999
Iceland,1999,28.9,27
Iceland,2005,29.6,27.700001
Iceland,2006,29.700001,27.700001
Iceland,2007,29.700001,27.6
Iceland,2008,29.6,27.6
Iceland,2009,29.700001,27.6
Iceland,2010,29.799999,27.799999
Iceland,2012,29.9,28
Iceland,2013,30,28.1
Iceland,2014,30.1,28.1
Iceland,2015,30.200001,28.1
Iceland,2016,29.5,27.700001
Iceland,2017,29.1,27.5
Iceland,2018,33.700001,32.400002
India,1992,24.299999,19.200001
India,1998,24.9,19.700001
India,2005,25.299999,20.200001
India,2015,26,21.4
Indonesia,1976,23.799999,19.4
Indonesia,1985,24.799999,21.1
Indonesia,1987,,21.700001
Indonesia,1991,,21.5
Indonesia,1994,,21.799999
Indonesia,1995,25.799999,22.200001
Indonesia,1997,,21.799999
Indonesia,2000,26.5,22.5
Indonesia,2002,25.9,22.1
Indonesia,2005,27,23.4
Indonesia,2007,26.9,22.299999
Indonesia,2012,,21.799999
Indonesia,2017,27.1,22.4
Iran,1976,24.200001,19.700001
Iran,1986,23.799999,20.200001
Iran,1991,24.4,21.1
Iran,1996,25.299999,22.1
Iran,2006,26.4,23.5
Iran,2011,26.799999,23.5
Iran,2016,27.5,23.1
Iraq,1977,25.299999,
Iraq,1987,26.299999,
Iraq,1997,26.9,
Iraq,2000,,25.299999
Iraq,2004,,25.299999
Iraq,2006,,22.799999
Iraq,2011,,22
Iraq,2012,,22.700001
Ireland,1983,25.700001,24.4
Ireland,1984,25.6,24.6
Ireland,1985,26.200001,24.6
Ireland,1988,26.700001,25.299999
Ireland,1989,27.1,25.799999
Ireland,1990,27.6,26
Ireland,1994,29,27.700001
Ireland,1999,30.9,29.5
Ireland,2005,32.400002,31.1
Ireland,2006,32.400002,31.299999
Ireland,2011,33,31.9
Ireland,2016,33.400002,32.400002
Isle of Man,1981,25.700001,23.200001
Isle of Man,1991,28.799999,26.4
Isle of Man,2001,31.200001,29.299999
Isle of Man,2011,32.799999,30.700001
Israel,1980,25.799999,23.299999
Israel,1981,25.9,23.4
Israel,1982,26.1,23.5
Israel,1984,26.200001,23.4
Israel,1985,26.4,23.700001
Israel,1986,26.6,23.799999
Israel,1987,26.700001,23.9
Israel,1990,27.1,24
Israel,1992,27.4,24.200001
Israel,1993,27.5,24.299999
Israel,1995,27.799999,24.5
Israel,1999,27.9,25
Israel,2000,28,25
Israel,2002,28.299999,25.299999
Israel,2003,28.799999,25.9
Israel,2004,28.5,25.5
Israel,2005,28.6,25.6
Israel,2006,28.700001,25.799999
Israel,2007,28.799999,25.799999
Israel,2008,28.799999,25.9
Israel,2009,29.1,26.200001
Israel,2010,29.200001,26.200001
Israel,2011,29.200001,26.200001
Israel,2012,29.200001,26.200001
Israel,2013,29.200001,26.200001
Israel,2014,29.200001,26.200001
Israel,2015,29.200001,26.200001
Israel,2016,29.200001,26.200001
Italy,1972,27.1,22.4
Italy,1973,27.1,22.5
Italy,1999,31.5,28.4
Italy,2000,31.799999,28.6
Italy,2002,32.400002,29.200001
Italy,2004,32.700001,29.5
Italy,2006,33.299999,30
Italy,2007,33.5,30.200001
Italy,2008,32,28.5
Italy,2009,33.799999,30.4
Italy,2010,34,30.6
Italy,2012,34.299999,31
Italy,2013,34.5,31.200001
Italy,2014,34.599998,31.299999
Italy,2016,35.099998,31.9
Italy,2017,35.200001,32.099998
Italy,2018,35.299999,32.200001
Jamaica,1970,33,21.1
Jamaica,1982,33.799999,32.200001
Jamaica,1991,34.599998,33.200001
Japan,1970,27.5,24.700001
Japan,1975,27.6,24.5
Japan,1980,28.700001,25.1
Japan,1985,29.6,25.799999
Japan,1990,30.299999,26.9
Japan,1995,30.700001,27.700001
Japan,2000,30.799999,28.6
Japan,2005,31.1,29.4
Japan,2010,31.200001,29.700001
Japan,2015,30.5,29.200001
Jordan,1976,26.200001,21.5
Jordan,1990,27.200001,24.1
Jordan,1997,28.6,25.299999
Jordan,2002,29.4,25.9
Jordan,2007,29.5,25.799999
Jordan,2009,29.200001,24.700001
Jordan,2012,29.799999,25
Jordan,2017,30.9,24.6
Kazakhstan,1979,24.1,
Kazakhstan,1989,24.6,
Kazakhstan,1995,,21.4
Kazakhstan,1999,26.1,21.6
Kazakhstan,2006,,23.299999
Kazakhstan,2009,27.6,
Kazakhstan,2010,,23.1
Kazakhstan,2015,,22.4
Kenya,1977,,20
Kenya,1984,,18.299999
Kenya,1988,,21.1
